bin,t4_bin,t1_address,t3_address,queens_cooperatives_comparable_properties_market_value_per_sqft,queens_cooperatives_comparable_properties_est_gross_income,queens_cooperatives_comparable_properties_gross_income_per_sqft
4113180.0,4113180.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 25 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 25 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",39.1,1676100,11.1
4035712.0,4035712.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""90 11 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""90 11 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",38.7,982800,11.0
4113841.0,4113841.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 30 ROOSEVELT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 30 ROOSEVELT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",51.0,1168776,13.5
4119923.0,4119923.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""36 30 172 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""36 30 172 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",49.2,170000,13.08
4007112.0,4007112.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""31 23 CRESCENT STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""31 23 CRESCENT STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",47.5,212352,12.64
4454685.0,4454685.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""268 18 82 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""268 18 82 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",42.4,1136220,12.0
4453850.0,4453850.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 20 141 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 20 141 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",54.0,3468566,13.7
4104354.0,4104354.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""168 01 12 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""168 01 12 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",40.5,467958,11.5
4304908.0,4304908.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""130 BEACH 121 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""130 BEACH 121 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",56.0,577324,14.04
4315314.0,4315314.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""60 33 251 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""60 33 251 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",42.3,1827432,12.0
4170057.0,4170057.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""241 20 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""241 20 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",41.4,1331651,11.75
4193459.0,4193459.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""85 11 LEFFERTS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""85 11 LEFFERTS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",38.8,476124,11.0
4431751.0,4431751.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 06 58 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 06 58 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",48.0,3001860,12.75
4210164.0,4210164.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""170 06 88 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""170 06 88 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",41.6,698088,11.8
4443729.0,4443729.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""18 40 211 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""18 40 211 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",58.0,5940363,14.57
4455192.0,4455192.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""15 04 212 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""15 04 212 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",58.0,1374666,14.52
4431565.0,4431565.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""112 24 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""112 24 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",50.0,3857000,13.3
4065248.0,4065248.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 05 60 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 05 60 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",56.0,809424,14.0
4065242.0,4065242.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 16 60 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 16 60 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",55.0,1322048,14.0
4434846.0,4434846.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 08 151 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 08 151 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",41.7,1761180,11.82
4435022.0,4435022.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 32 155 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 32 155 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",23.62,570601,7.7
