nys_senate,commission,global_id,descriptio,nys_assemb,councildis,gstype,rank,dense_rank
15,2000-12-01 08:00:00+08:00,{940D61F0-F9AE-45C2-B622-C3BAEA8D9296},Greenstreet,23,32,Greenstreet,1,1
11,2000-06-01 08:00:00+08:00,{E31B79B5-9D27-410C-AD56-EF0A01272AD5},Greenstreet,26,19,Greenstreet,5,1
11,2001-06-01 08:00:00+08:00,{3497D25F-EFC6-480D-BAA2-F6695F929056},Greenstreet,26,19,,5,1
11,1999-06-01 08:00:00+08:00,{F6CB86DA-BE1E-4953-B3CC-128545AC4520},Greenstreet,40,19,Greenstreet,5,1
11,2001-12-01 08:00:00+08:00,{49C8436E-C8E7-45D5-A59E-0A9168DC217E},Greenstreet,40,19,Ped_Ref,5,1
11,1999-06-01 08:00:00+08:00,{98E41803-4E4F-4099-A3AF-E616FB9FBFB9},Greenstreet,40,19,Greenstreet,5,1
34,2010-01-11 08:00:00+08:00,{29F67979-0975-42B8-984F-A920BD5E8A6E},Schneider-sampson Park,82,13,Greenstreet,2,1
11,1999-06-01 08:00:00+08:00,{18C86613-682A-4C60-83CF-B8E37462CCBD},Greenstreet,27,19,Greenstreet,5,1
14,2000-06-01 08:00:00+08:00,{4E2848FE-66AA-47D0-985D-C2377470467C},Greenstreet,27,29,Greenstreet,3,2
14,1997-06-01 08:00:00+08:00,{8906E35B-B4CC-434A-B7A7-D7F4A47E8D03},Triangle,27,29,,3,2
13,1997-12-01 08:00:00+08:00,{8AE2C859-C2F5-4219-81BD-C5D5C43AE273},Greenstreet,30,26,Greenstreet,1,1
13,1999-12-01 08:00:00+08:00,{20EE525A-9771-4977-9DDB-D6261E69138A},"Greenstreet - Broadway, Northern, 53 Pl",30,26,Greenstreet,1,1
16,2000-06-01 08:00:00+08:00,{78A044A1-9B91-47FB-B3E7-41800DBBAD23},Atlantis Triangle,25,20,Greenstreet,5,1
11,1999-06-01 08:00:00+08:00,{2F797851-E102-428A-A374-CB2C6D657941},Greenstreet,25,23,,2,2
11,1998-06-01 08:00:00+08:00,{726D0E67-176B-4E92-BCDF-BFC4ED8D62DB},Greenstreet,25,23,Greenstreet,2,2
"16, 11",2009-02-24 08:00:00+08:00,{B98E38B0-C9BF-4F37-AEE5-CBD15397B844},Greenstreet,25,24,,1,3
16,2009-02-24 08:00:00+08:00,{3A61C5AF-687D-4745-BD4D-335ECD6566EE},Greenstreet,25,24,,2,3
16,2009-02-24 08:00:00+08:00,{B0D413C6-EA5F-4C77-8425-59D4CA74CAEB},Greenstreet,25,24,Greenstreet,2,3
14,1999-12-01 08:00:00+08:00,{E8CE767F-5894-4924-ABC4-8638880DE695},Greenstreet,33,27,Greenstreet,5,1
14,1999-12-01 08:00:00+08:00,{5BE63B01-4848-435E-8BC3-7C9B685EB178},Greenstreet,29,31,,1,2
14,1999-12-01 08:00:00+08:00,{6B6F9FCA-DA7A-42A8-8620-BC3D23FDBDAA},Greenstreet,29,31,,1,2
18,2009-06-01 08:00:00+08:00,{3975B5F8-02A5-49DB-A306-C935AEF75870},Patchen ave & Broadway,54,41,Greenstreet,1,1
26,2010-01-11 08:00:00+08:00,{7D1F9525-92DA-4D1D-BE39-B4C2BB067407},GREENSTREET,66,1,,1,1
27,2006-12-01 08:00:00+08:00,{13B3A1F4-36B7-4DC4-B346-7C6BB4E264ED},Greenwich Ave & 7th Ave,66,3,Greenstreet,1,2
29,2010-01-11 08:00:00+08:00,{B6DD36D9-FC0F-4870-A518-2881CE1F487C},Greenstreet,68,8,,1,1
31,2010-01-11 08:00:00+08:00,{F186028E-795D-42DE-BFB7-F096D20BE0A1},Riverside Park-Greenstreet,70,7,TreeOnlyMed,1,1
