t1_location_name,location_code,t1_system_code,t2_system_code,t2_principal_name,t3_location_code,t4_location_name,t5_principal_name,record_count,total_amount,avg_amount,max_amount,min_amount
The Science And Medicine Middle School,K366,331800010366,331800010366,DENNIS HERRING JR,K366,The Science And Medicine Middle School,DENNIS HERRING JR,1,331800010366.0,331800010366.0,331800010366,331800010366
P.S. 008 Isaac Varian,X008,321000010008,321000010008,CLAUDIA TAHIRAJ-SADRIJA,X008,P.S. 008 Isaac Varian,CLAUDIA TAHIRAJ-SADRIJA,1,321000010008.0,321000010008.0,321000010008,321000010008
J.H.S. 218 James P. Sinnott,K218,331900010218,331900010218,Lisa ann Hermann,K218,J.H.S. 218 James P. Sinnott,Lisa ann Hermann,1,331900010218.0,331900010218.0,331900010218,331900010218
Eleanor Roosevelt High School,M416,310200010416,310200010416,DIMITRI SALIANI,M416,Eleanor Roosevelt High School,DIMITRI SALIANI,1,310200010416.0,310200010416.0,310200010416,310200010416
P.S. 140 Nathan Straus,M140,310100010140,310100010140,MELISSA RODRIGUEZ,M140,P.S. 140 Nathan Straus,MELISSA RODRIGUEZ,1,310100010140.0,310100010140.0,310100010140,310100010140
New Directions Secondary School,X350,320900011350,320900011350,James Waslawski,X350,New Directions Secondary School,James Waslawski,1,320900011350.0,320900011350.0,320900011350,320900011350
Renaissance School of the Arts,M377,310400010377,310400010377,Brian Bradley,M377,Renaissance School of the Arts,Brian Bradley,1,310400010377.0,310400010377.0,310400010377,310400010377
Alfred E. Smith Career and Technical Education Hig,X600,320700011600,320700011600,Evan Schwartz,X600,Alfred E. Smith Career and Technical Education Hig,Evan Schwartz,1,320700011600.0,320700011600.0,320700011600,320700011600
"H.E.R.O. High (Health, Education, and Research Occ",X259,320700011259,320700011259,Kristin Cahill Garcia,X259,"H.E.R.O. High (Health, Education, and Research Occ",Kristin Cahill Garcia,1,320700011259.0,320700011259.0,320700011259,320700011259
Professor Juan Bosch Public School,M178,310600010178,310600010178,DEIRDRE BUDD,M178,Professor Juan Bosch Public School,DEIRDRE BUDD,1,310600010178.0,310600010178.0,310600010178,310600010178
High School for Health Professions and Human Servi,M420,310200011420,310200011420,ROBERT GENTILE,M420,High School for Health Professions and Human Servi,ROBERT GENTILE,1,310200011420.0,310200011420.0,310200011420,310200011420
Richard R. Green High School of Teaching,M580,310200011580,310200011580,Joan Weaver,M580,Richard R. Green High School of Teaching,Joan Weaver,2,620400023160.0,310200011580.0,310200011580,310200011580
P.S. 115 Alexander Humboldt,M115,310600010115,310600010115,Boris Consuegra,M115,P.S. 115 Alexander Humboldt,Boris Consuegra,1,310600010115.0,310600010115.0,310600010115,310600010115
P.S. 019 Judith K. Weiss,X019,321100010019,321100010019,TIMOTHY SULLIVAN,X019,P.S. 019 Judith K. Weiss,TIMOTHY SULLIVAN,1,321100010019.0,321100010019.0,321100010019,321100010019
DeWitt Clinton High School,X440,321000011440,321000011440,Pierre Orbe,X440,DeWitt Clinton High School,Pierre Orbe,1,321000011440.0,321000011440.0,321000011440,321000011440
P.S. 128 Audubon,M128,310600010128,310600010128,CARY PANTALEON,M128,P.S. 128 Audubon,CARY PANTALEON,1,310600010128.0,310600010128.0,310600010128,310600010128
WHIN Music Community,M338,310600861111,310600861111,Charlie Ortiz,M338,WHIN Music Community,Charlie Ortiz,1,310600861111.0,310600861111.0,310600861111,310600861111
Soundview Academy for Culture and Scholarship,X448,320800010448,320800010448,WILLIAM FRACKELTON,X448,Soundview Academy for Culture and Scholarship,WILLIAM FRACKELTON,1,320800010448.0,320800010448.0,320800010448,320800010448
P.S. 276 Louis Marshall,K276,331800010276,331800010276,Yasmine Fidelia,K276,P.S. 276 Louis Marshall,Yasmine Fidelia,1,331800010276.0,331800010276.0,331800010276,331800010276
P.S. 77 Lower Lab School,M077,310200010077,310200010077,Sandra Miller,M077,P.S. 77 Lower Lab School,Sandra Miller,1,310200010077.0,310200010077.0,310200010077,310200010077
Forsyth Satellite Academy,M458,310100011458,310100011458,Patrick Reimer,M458,Forsyth Satellite Academy,Patrick Reimer,1,310100011458.0,310100011458.0,310100011458,310100011458
High School for Medical Professions,K633,331800011633,331800011633,Pauline Obrien,K633,High School for Medical Professions,Pauline Obrien,1,331800011633.0,331800011633.0,331800011633,331800011633
Success Academy Charter School - Flatbush,K886,331700861094,331700861094,WINTANNA ABAI,K886,Success Academy Charter School - Flatbush,WINTANNA ABAI,1,331700861094.0,331700861094.0,331700861094,331700861094
