permitid,fullpermitno,axle3nooftires,leaseexpirationdate,axle4weight,steeringloadrating,permitteecompany,loadoutlength,loadinwidth,cdno,steeringweight,applicationdate
3558,Z72R-2015423-406,4.0,,,8800.0,,,,,20000.0,2015-04-06T15:24:34.000
3872,GMEJ-2015722-660,4.0,,,9990.0,,,,,19980.0,2015-06-30T14:53:52.000
2973,XQAD-20141222-1294,,,,,,,,,,2014-11-26T20:06:14.000
3944,D82K-2015723-681,,,,,Coventry Trasport Service LLC,60.0,8.0,,,2015-07-20T16:12:04.000
3091,TILC-2015224-25,4.0,,,9000.0,,,,,18000.0,2014-12-12T14:53:29.000
2942,G87G-2014126-1188,,,,,"Richard Obreza Trucking, Inc.",57.09,8.0,,,2014-11-25T10:03:42.000
3561,KUPW-2015711-595,4.0,,,9920.0,,,,,20000.0,2015-04-07T10:38:08.000
3490,H5DJ-2015319-136,,,,,"Richard Obreza Trucking, Inc.",58.05,8.0,,,2015-03-18T10:29:29.000
3969,TMFM-2015819-749,,,,16500.0,,,,,16500.0,2015-08-05T15:00:18.000
6796,LMWS-2018111-33,,,23000.0,,,,,0.0,20000.0,2018-01-02T10:52:42.000
4166,FJVQ-20151020-892,4.0,,,9230.0,,,,,18460.0,2015-09-09T10:56:58.000
2758,EVWI-2014111-1096,4.0,,,7300.0,,,,,14600.0,2014-09-24T13:38:22.000
2640,EVWI-2014111-992,,,,,,,,,,2014-09-17T09:50:46.000
2511,EVWI-2014111-988,,,,,,,,,,2014-07-22T12:24:04.000
3985,FG5G-2015930-823,,,,,,,,,,2015-08-07T13:53:29.000
3324,S8W5-2015421-382,4.0,,,20000.0,,,,,16000.0,2015-02-12T10:12:40.000
4276,RLB6-2016114-117,,,,,gerster,60.0,8.0,,,2015-10-19T15:02:38.000
2951,G87G-2014126-1171,,,,,Mapleton Ag. Transport,55.03,8.0,,,2014-11-25T10:36:25.000
4214,FG5G-2015930-827,,,,,,,,,,2015-09-30T09:41:22.000
3928,D82K-2015723-668,,,,,Richard Obreza Trucking,57.08,8.0,,,2015-07-20T14:18:16.000
3880,GMEJ-2015722-662,4.0,,,9230.0,,,,,16000.0,2015-07-03T09:52:17.000
3930,D82K-2015723-670,,,,,Richard Obreza Trucking,57.09,8.0,,,2015-07-20T14:25:59.000
4284,RLB6-2016114-124,,,,,Coventry Trasport Service LLC,60.0,8.0,,,2015-10-19T15:26:28.000
2667,EVWI-2014111-1018,4.0,,,9090.0,,,,,18180.0,2014-09-17T13:17:38.000
3316,ZOGM-201534-86,4.0,,,8800.0,,,,,20000.0,2015-02-05T13:47:38.000
3500,H5DJ-2015319-142,,,,,"Richard Obreza Trucking, Inc.",57.09,8.0,,,2015-03-19T17:57:18.000
2971,G87G-2014126-1193,,,,,"Coventry Transport Services, LLC.",60.0,8.0,,,2014-11-25T11:51:39.000
4142,FG5G-2015930-840,4.0,,,20000.0,,,,,20000.0,2015-08-28T15:40:48.000
3600,KUPW-2015711-599,4.0,,,18460.0,,,,,18460.0,2015-04-20T10:07:00.000
3118,D3UQ-2015323-181,,,5500.0,,,,,0.0,17500.0,2014-12-17T13:10:32.000
4411,HY8C-20151030-954,4.0,,,8800.0,,,,,20000.0,2015-10-30T11:10:29.000
4337,Y3H2-20151121-995,4.0,,,9000.0,,,,,18000.0,2015-10-27T14:59:14.000
3906,LXMF-2015824-777,4.0,,,8800.0,,,,,20000.0,2015-07-13T11:10:21.000
3476,H5DJ-2015319-122,,,,,"Coventry Transport Services, LLC.",60.0,8.0,,,2015-03-17T16:05:13.000
4469,V7G8-20151123-1101,4.0,,,14780.0,,,,,14600.0,2015-11-03T11:32:10.000
4381,Y3H2-20151121-1033,4.0,,,7300.0,,,,,14600.0,2015-10-29T09:53:12.000
3354,EGHI-201533-53,4.0,,,9370.0,,,,,14060.0,2015-02-24T08:41:03.000
3469,H5DJ-2015319-115,,,,,"Charles J. Husted, Inc.",60.0,8.0,,,2015-03-17T15:39:05.000
2885,D3UQ-2015323-163,,,19448.0,,,,,,13407.0,2014-10-28T10:39:30.000
2512,EVWI-2014111-987,,,,,,,,,,2014-07-22T13:33:39.000
4272,RLB6-2016114-113,,,,,gerster,60.0,8.0,,,2015-10-19T14:48:53.000
3819,I6IA-2015623-552,,,,,Husted Trucking Inc,60.0,8.0,,,2015-06-12T16:02:18.000
4146,PMHA-20151019-874,4.0,,,18000.0,,,,,18000.0,2015-08-31T15:04:35.000
3220,TILC-2015224-29,,,,,,,,,,2015-01-14T14:08:30.000
4319,Y3H2-20151121-979,4.0,,,9000.0,,,,,18000.0,2015-10-27T08:37:03.000
3314,ZOGM-201534-68,4.0,,,14320.0,,,,,14320.0,2015-02-04T11:14:51.000
4005,AZI4-2015818-742,4.0,,,8800.0,,,,,20000.0,2015-08-10T16:40:36.000
4219,BNDU-20151028-929,,,,,,,,,,2015-10-01T13:16:13.000
3687,T65Q-2015530-496,4.0,,,10000.0,,,,,20000.0,2015-05-11T13:12:13.000
2549,X7BE-2014109-937,4.0,,,8800.0,,,,,20000.0,2014-08-11T15:32:24.000
3770,I6IA-2015623-533,,,,,Richard Obreza Trucking,57.09,8.0,,,2015-06-03T16:59:37.000
3460,KUPW-2015711-611,4.0,,,9000.0,,,,,20000.0,2015-03-17T14:38:57.000
3952,D82K-2015723-689,,,,,Husted Trucking Inc,60.0,8.0,,,2015-07-21T09:18:11.000
3142,TILC-2015224-33,,,,,,,,,,2014-12-29T07:59:09.000
3784,VO5Z-2015827-783,,,,,,,,,,2015-06-08T12:41:26.000
2594,RIE1-2014917-891,,,,,"Gerster & Sons III, Inc.",65.0,8.06,,,2014-09-02T09:57:24.000
2805,HMQ7-2014117-1142,4.0,,,8800.0,,,,,20000.0,2014-10-06T16:21:22.000
2718,EVWI-2014111-1064,4.0,,,9000.0,,,,,18000.0,2014-09-19T13:56:18.000
2870,HMQ7-2014117-1156,4.0,,,18460.0,,,,,20000.0,2014-10-24T13:39:51.000
2704,HMQ7-2014117-1137,4.0,,,20000.0,,,,,20000.0,2014-09-18T16:51:21.000
3816,I6IA-2015623-550,,,,,Coventry Trasport Service LLC,60.0,8.0,,,2015-06-12T10:51:12.000
3024,XQAD-20141222-1296,4.0,,,8800.0,,,,,20000.0,2014-12-08T16:48:55.000
5723,AWL9-2017126-213,,,,,,,,4743.0,39590.0,2016-11-30T13:23:29.000
3439,EF5A-2015715-630,,,,,,,,,,2016-05-25T21:04:06.000
3804,I6IA-2015623-542,,,,,"Gerster & Sons III, Inc.",65.0,8.06,,,2015-06-11T14:03:15.000
6862,FOLC-201837-175,,,21860.0,,,,,4800.0,21860.0,2018-01-22T20:03:09.000
2708,EVWI-2014111-1054,4.0,,,7300.0,,,,,14600.0,2014-09-19T10:18:01.000
2809,HMQ7-2014117-1146,4.0,,,8000.0,,,,,16000.0,2014-10-07T09:00:21.000
3017,V8L7-20141213-1210,,,,,"Charles J. Husted, Inc.",60.0,8.0,,,2014-12-08T11:49:43.000
3222,ANU2-2015324-194,,,,,,,,3922.0,36900.0,2015-01-15T14:25:41.000
3221,ANU2-2015324-193,,,,,,,,3392.0,36900.0,2015-01-15T14:17:16.000
4217,BNDU-20151028-927,4.0,,,8800.0,,,,,20500.0,2015-10-01T12:25:01.000
4437,B2GR-20151122-1072,4.0,,,7300.0,,,,,14600.0,2015-11-02T11:32:08.000
2551,X7BE-2014109-939,4.0,,,8800.0,,,,,20000.0,2014-08-11T15:41:34.000
2661,EVWI-2014111-1012,4.0,,,9000.0,,,,,18000.0,2014-09-17T11:32:53.000
3022,V8L7-20141213-1204,,,,,Alnye Trucking LLC,65.0,8.06,,,2014-12-08T11:58:44.000
3588,FG5G-2015930-828,,,,,,,,,,2015-04-16T12:50:02.000
2458,RIE1-2014917-902,,,,,"Greene Trucking, Inc.",58.06,8.0,,,2014-06-27T10:11:15.000
3552,Z72R-2015423-400,4.0,,,8800.0,,,,,20000.0,2015-04-06T14:54:04.000
3846,X3KY-20151023-923,,,,,,,,,,2015-06-24T14:45:16.000
2666,EVWI-2014111-1017,4.0,,,10000.0,,,,,20000.0,2014-09-17T13:15:01.000
4223,TPMJ-201615-5,4.0,,,8800.0,,,,,15500.0,2015-10-01T13:35:13.000
3596,KUPW-2015711-616,,,,,,,,,,2015-04-20T09:37:22.000
2665,EVWI-2014111-1016,4.0,,,9090.0,,,,,18180.0,2014-09-17T13:09:06.000
3938,D82K-2015723-678,,,,,Green Trucking Inc.,58.06,8.0,,,2015-07-20T14:44:11.000
2819,HMQ7-2014117-1150,4.0,,,20000.0,,,,,20000.0,2014-10-07T15:27:49.000
4434,B2GR-20151122-1069,4.0,,,7300.0,,,,,14600.0,2015-11-02T10:50:36.000
3122,D3UQ-2015323-187,,,20127.0,,,,,3716.0,18666.0,2014-12-17T16:21:05.000
2693,EVWI-2014111-1041,4.0,,,9400.0,,,,,18000.0,2014-09-18T11:38:15.000
3606,AAQU-2015427-427,4.0,,,18460.0,,,,,18460.0,2015-04-20T10:55:36.000
4318,M95Y-20151124-1116,,,,,,,,,,2015-10-27T08:10:24.000
3269,ANU2-2015324-212,,,,,,,,2986.0,33000.0,2015-01-22T14:01:25.000
3982,O6YZ-2015810-694,,,,,,,,3199.0,16566.0,2015-08-06T14:59:46.000
4430,B2GR-20151122-1064,4.0,,,7300.0,,,,,14600.0,2015-11-02T10:05:10.000
3761,I6IA-2015623-527,,,,,"Richard Obreza Trucking, Inc.",27.09,8.0,,,2015-05-31T20:22:55.000
3434,M2HR-2015424-421,4.0,,,18460.0,,,,,18460.0,2015-03-13T10:04:35.000
2908,XQAD-20141222-1273,4.0,,,7660.0,,,,,15960.0,2014-11-06T10:46:19.000
2584,RIE1-2014917-881,,,,,"Charles J. Husted, Inc.",60.0,8.0,,,2014-09-02T09:31:18.000
3163,ANU2-2015324-205,,,22000.0,,,,,2968.0,18000.0,2015-01-02T17:15:49.000
2624,HMQ7-2014117-1127,4.0,,,20000.0,,,,,20000.0,2014-09-09T15:21:57.000
3235,CZ47-2015420-366,,,,,,,,2999.0,33000.0,2015-01-16T16:23:30.000
2547,DE7L-2014108-935,4.0,,,8800.0,,,,,20000.0,2014-08-11T15:25:39.000
6701,FSVT-20171220-961,,,,,,,,4525.0,26400.0,2017-12-05T15:21:36.000
3417,RIWY-2015328-252,4.0,,,8800.0,,,,,20000.0,2015-03-09T14:41:31.000
3551,Z72R-2015423-399,4.0,,,8800.0,,,,,18460.0,2015-04-06T14:47:35.000
3693,PWXH-2015821-759,,,,17500.0,,,,,20500.0,2015-05-15T11:34:39.000
3223,BGJT-2015225-44,4.0,,,14780.0,,,,,14600.0,2015-01-15T15:05:50.000
2480,GPQZ-201482-852,4.0,,,8800.0,,,,,20000.0,2014-07-07T17:23:39.000
3265,ANU2-2015324-208,,,,,,,,2897.0,33000.0,2015-01-22T13:33:05.000
2797,XFL3-20141118-1163,,,,,,,,4525.0,26400.0,2014-10-01T11:38:58.000
2820,HMQ7-2014117-1151,4.0,,,20000.0,,,,,20000.0,2014-10-07T16:41:39.000
5710,HHQ9-2017125-200,,,,,,,,3633.0,36900.0,2016-11-30T13:08:29.000
6246,PVSR-2017824-632,,,21000.0,,,,,0.0,20000.0,2017-06-05T09:49:08.000
2498,TC4W-2014716-828,4.0,,,9230.0,,,,,20000.0,2014-07-16T11:21:02.000
2544,DE7L-2014108-930,4.0,,,8800.0,,,,,20000.0,2014-08-11T14:49:27.000
3951,D82K-2015723-688,,,,,Husted Trucking Inc,60.0,8.0,,,2015-07-21T09:17:11.000
4422,B2GR-20151122-1056,4.0,,,9000.0,,,,,18000.0,2015-11-02T09:23:33.000
3999,AZI4-2015818-736,4.0,,,8800.0,,,,,20000.0,2015-08-10T16:18:05.000
4218,BNDU-20151028-928,4.0,,,8800.0,,,,,19500.0,2015-10-01T12:39:03.000
4164,I5ZY-2015102-856,4.0,,,18460.0,,,,,18000.0,2015-09-09T08:16:20.000
3546,Z72R-2015423-394,4.0,,,8800.0,,,,,18460.0,2015-04-06T14:26:22.000
4416,B2GR-20151122-1050,4.0,,,7300.0,,,,,14600.0,2015-11-02T08:38:55.000
3788,VO5Z-2015827-782,,,,,,,,,,2015-06-09T11:30:06.000
4151,FG5G-2015930-845,4.0,,,20000.0,,,,,20000.0,2015-08-31T16:14:11.000
5975,FM43-2017321-340,,,,,,,,2905.0,32961.0,2017-01-13T13:14:30.000
4368,Y3H2-20151121-1020,4.0,,,9400.0,,,,,18000.0,2015-10-29T08:34:32.000
2858,V8L7-20141213-1219,,,,,,,,,,2014-10-21T10:10:40.000
3147,TILC-2015224-38,,,,,,,,,,2014-12-29T08:29:07.000
3671,T65Q-2015530-487,4.0,,,8800.0,,,,,20000.0,2015-05-05T13:46:25.000
3590,FG5G-2015930-830,,,,,,,,,,2015-04-16T13:43:34.000
2871,HMQ7-2014117-1157,4.0,,,18460.0,,,,,20000.0,2014-10-24T13:48:23.000
3196,YS1R-2015126-11,4.0,,,8800.0,,,,,20000.0,2015-01-08T13:57:43.000
4339,Y3H2-20151121-997,4.0,,,9000.0,,,,,18000.0,2015-10-27T15:12:25.000
4227,PMHA-20151019-881,4.0,,,9920.0,,,,,20000.0,2015-10-01T15:55:29.000
3148,Y8E9-2015415-345,,,20000.0,,,,,,17000.0,2014-12-29T15:11:02.000
2676,EVWI-2014111-1027,4.0,,,9090.0,,,,,18180.0,2014-09-17T14:19:33.000
2559,X7BE-2014109-950,4.0,,,10500.0,,,,,20000.0,2014-08-13T16:33:28.000
4153,FG5G-2015930-847,4.0,,,20000.0,,,,,20000.0,2015-08-31T16:33:58.000
4140,FG5G-2015930-839,4.0,,,20000.0,,,,,20000.0,2015-08-28T15:07:47.000
2697,EVWI-2014111-1044,4.0,,,8000.0,,,,,16000.0,2014-09-18T14:31:35.000
3463,H5DJ-2015319-109,,,,,Alnye Trucking LLC,65.0,8.06,,,2015-03-17T15:05:19.000
4613,MA7R-201619-70,,,,,,,,3132.0,36900.0,2015-12-14T09:50:42.000
3253,ZUBW-2015416-358,,,,,,,,4023.0,30388.0,2015-01-20T13:42:13.000
2510,EVWI-2014111-989,,,,,,,,,,2014-07-22T12:15:54.000
3772,NS8O-2015717-633,2.0,,,9920.0,,,,,20000.0,2015-06-04T11:46:04.000
3645,PO5U-2015710-575,,,15000.0,,,,,4134.0,15000.0,2015-04-28T16:13:15.000
4334,Y3H2-20151121-992,4.0,,,10000.0,,,,,20000.0,2015-10-27T11:06:38.000
3843,I6IA-2015623-555,,,,,Richard Obreza Trucking,58.07,8.0,,,2015-06-23T16:15:46.000
2481,GPQZ-201482-853,4.0,,,8800.0,,,,,20000.0,2014-07-07T17:35:00.000
2949,G87G-2014126-1178,,,,,"Richard Obreza Trucking, Inc.",58.07,8.0,,,2014-11-25T10:32:46.000
3233,CZ47-2015420-364,,,,,,,,3570.0,33000.0,2015-01-16T16:19:57.000
3892,EG3X-2015108-865,,,,,,,,4547.0,20000.0,2015-08-17T13:03:30.000
4199,FG5G-2015930-819,,,,,,,,,,2015-09-21T11:18:56.000
2588,RIE1-2014917-879,,,,,"Charles J. Husted, Inc.",60.0,8.0,,,2014-09-02T09:42:37.000
2608,RIE1-2014917-914,,,,,"Richard Obreza Trucking, Inc.",57.09,8.0,,,2014-09-02T10:20:40.000
4481,V7G8-20151123-1111,4.0,,,18000.0,,,,,18000.0,2015-11-03T15:00:55.000
3112,JTD1-20141215-1247,,,,,"Richard Obreza Trucking, Inc.",57.09,8.0,,,2014-12-15T16:13:10.000
3188,EODW-2015326-226,,,,,,,,4056.0,13756.0,2015-01-07T11:13:41.000
4482,V7G8-20151123-1112,4.0,,,18000.0,,,,,18000.0,2015-11-03T15:02:43.000
6674,S93X-20171227-1008,,,,,,,,3475.0,36900.0,2017-12-04T09:14:04.000
3353,EGHI-201533-52,4.0,,,9370.0,,,,,18000.0,2015-02-24T08:35:02.000
3644,V6T3-2015714-625,4.0,,,10000.0,,,,,18460.0,2015-04-28T13:02:31.000
2918,XQAD-20141222-1281,4.0,,,8800.0,,,,,20000.0,2014-11-07T10:38:15.000
4343,Y3H2-20151121-1001,4.0,,,9090.0,,,,,18180.0,2015-10-28T08:43:46.000
3477,H5DJ-2015319-123,,,,,"Earl T. Wadhams, Inc.",60.0,8.0,,,2015-03-17T16:09:02.000
3464,H5DJ-2015319-110,,,,,"Richard Obreza Trucking, Inc.",57.09,8.0,,,2015-03-17T15:10:38.000
3980,C8VW-2015817-709,,,,,gerster,60.0,8.0,,,2015-08-06T14:31:00.000
3164,ANU2-2015324-206,,,14860.0,,,,,3939.0,14860.0,2015-01-02T17:23:03.000
2742,EVWI-2014111-1086,4.0,,,9000.0,,,,,18000.0,2014-09-23T09:46:56.000
6668,S93X-20171227-1002,,,,,,,,3187.0,36900.0,2017-12-04T09:06:39.000
3806,I6IA-2015623-544,,,,,"Gerster & Sons III, Inc.",65.0,8.06,,,2015-06-11T14:12:00.000
3362,KUPW-2015711-603,,,,,,,,,,2015-02-25T20:10:35.000
4918,GHLK-2016527-421,,,17000.0,,,,,,13000.0,2016-02-04T11:52:06.000
3232,CZ47-2015420-363,,,,,,,,4036.0,33000.0,2015-01-16T16:17:53.000
2770,EVWI-2014111-1108,4.0,,,9000.0,,,,,18000.0,2014-09-25T14:02:38.000
2245,GPQZ-201482-850,,,,,,,,,,2014-05-03T14:10:23.000
2738,EVWI-2014111-1083,4.0,,,9000.0,,,,,14600.0,2014-09-22T11:03:11.000
5866,HHQ9-2017125-195,,,,,,,,3593.0,36900.0,2016-12-27T10:36:24.000
3099,O6W4-2015411-320,,,,,,,,3133.0,36900.0,2014-12-15T08:38:44.000
2947,G87G-2014126-1181,,,,,"Richard Obreza Trucking, Inc.",58.05,8.0,,,2014-11-25T10:14:37.000
3801,I6IA-2015623-539,,,,,"Gerster & Sons III, Inc.",65.0,8.06,,,2015-06-11T13:37:58.000
2730,EVWI-2014111-1075,4.0,,,7300.0,,,,,14600.0,2014-09-22T09:22:45.000
2905,PO5U-2015710-574,,,15500.0,,,,,4270.0,15500.0,2014-11-05T15:28:46.000
3271,ANU2-2015324-214,,,,,,,,3001.0,28000.0,2015-01-22T14:14:20.000
4121,HMQ7-2014117-1147,4.0,,,8000.0,,,,,16000.0,2014-10-07T09:11:45.000
3916,EF5A-2015715-627,,,,,,,,,,2015-07-15T09:48:18.000
2465,GPQZ-201482-843,,,,,,,,,,2014-07-02T10:06:42.000
2724,EVWI-2014111-1070,4.0,,,7300.0,,,,,14600.0,2014-09-19T14:22:10.000
4541,JFXV-2016128-178,,,,,,,,,,2015-11-23T16:52:49.000
2945,G87G-2014126-1185,,,,,"Richard Obreza Trucking, Inc.",58.07,8.0,,,2014-11-25T10:11:43.000
3475,H5DJ-2015319-121,,,,,"Coventry Transport Services, LLC.",60.0,8.0,,,2015-03-17T16:03:25.000
3767,I6IA-2015623-530,,,,,Richard Obreza Trucking,57.09,8.0,,,2015-06-03T15:32:36.000
3473,H5DJ-2015319-119,,,,,"Coventry Transport Services, LLC.",60.0,8.0,,,2015-03-17T15:57:06.000
3491,H5DJ-2015319-137,,,,,"Richard Obreza Trucking, Inc.",58.07,8.0,,,2015-03-18T10:35:11.000
3255,ZUBW-2015416-360,,,21860.0,,,,,4068.0,21860.0,2015-01-20T14:13:08.000
3513,ZUBW-2015416-351,,,,,,,,3658.0,25850.0,2015-03-25T13:17:19.000
3404,UCV8-2015428-437,4.0,,,7430.0,,,,,14860.0,2015-03-09T10:25:44.000
2818,HMQ7-2014117-1149,4.0,,,20000.0,,,,,20000.0,2014-10-07T15:18:03.000
2657,EVWI-2014111-1008,4.0,,,10000.0,,,,,20000.0,2014-09-17T10:59:11.000
3046,W946-2015410-292,,,,,,,,4412.0,36900.0,2014-12-10T12:40:35.000
3887,O6YZ-2015810-695,,,,,,,,,20000.0,2015-07-06T10:40:20.000
2733,EVWI-2014111-1078,4.0,,,7300.0,,,,,14600.0,2014-09-22T09:54:52.000
3390,ZOGM-201534-62,,,,,,,,,,2015-03-04T10:31:13.000
2767,EVWI-2014111-1105,4.0,,,9000.0,,,,,18000.0,2014-09-25T13:28:16.000
3493,H5DJ-2015319-139,,,,,"Richard Obreza Trucking, Inc.",57.09,8.0,,,2015-03-18T10:51:33.000
3948,D82K-2015723-685,,,,,Coventry Trasport Service LLC,60.0,8.0,,,2015-07-21T08:55:44.000
2359,GPQZ-201482-840,,,,,,,,,,2014-05-20T12:33:33.000
