dbn,p_q4d_5,p_q5a,p_q2d_5,p_q1_7,p_q4c_3,p_q3c_4,p_q8e_2,p_q8b_4,p_q2i_5,p_q12ad,n_t,p_q4b_2,p_q4e_2,p_q11e_3,p_q11c_2,p_q11c,p_q11a,p_q2f_1,p_q9_10,p_q3d_2,p_q2e_4,p_q6_3,p_q7c_5,p_q8c_3,p_q8c_4,p_q8f,p_q2c_4,p_q3d_4,p_q1_9,p_q7b_1,p_q7d_4,p_q4b,p_q11e_2,p_q5,p_q12ab_1,p_q12aa_4,p_q5i,p_q2b_4,p_q8f_3,p_q4b_3,p_q3b_3,p_q2h_5,p_q11c_3,p_q10j,eng_tot_10,p_q2d,p_q2c_2,saf_t_10,p_q12aa_5,p_q11b_2,nr_s,p_q4c_4,p_q12ac,p_q12aa_2,p_q5f,p_q8f_4,p_q4b_1,p_q2f_4,principal,p_q4d_1,p_q3a_3,p_q2c,p_q4c,p_q11b_3,p_q3a_2,p_q11a_4,p_q9_1,p_q7a_4,p_q11e_4,p_q2d_2,studentsurvey,p_q2h_4,p_q11b_4,p_q8d_2,p_q7a,p_q7c_3,p_q2f,com_s_10,p_q11c_4,p_q7b_5,rr_s,p_q3a_4,p_q8a_4,p_q2b_5,p_q5c,p_q9_6,p_q12aa_1,p_q11a_2,p_q1_5,p_q9_4,p_q4d_4,saf_s_10,p_q3a,p_q3c_5,p_q7a_1,p_q8a_5,p_q4a_3,p_q11f_3,p_q12bd,p_q10e,p_q7d_3,p_q4a
02M167,8.0,24.0,4.0,0.0,10.0,13.0,6.0,1.0,6.0,,78.0,56.0,,12.0,61.0,7.1,7.8,41.0,1.0,19.0,0.0,11.0,7.0,2.0,1.0,9.6,2.0,24.0,36.0,29.0,1.0,7.7,62.0,8.5,9.0,4.0,29.0,1.0,1.0,8.0,25.0,4.0,11.0,42.0,7.0,7.9,56.0,7.3,31.0,58.0,1211.0,2.0,,43.0,32.0,0.0,31.0,1.0,Jennifer Rehn,29.0,30.0,7.1,7.5,9.0,27.0,1.0,2.0,1.0,2.0,46.0,Yes,4.0,1.0,24.0,8.0,4.0,7.8,6.1,1.0,3.0,93.0,15.0,7.0,2.0,5.0,9.0,11.0,54.0,0.0,8.0,1.0,6.7,6.2,8.0,33.0,19.0,6.0,6.0,,22.0,3.0,7.9
16K455,5.0,15.0,2.0,0.0,9.0,11.0,7.0,8.0,7.0,,99.0,47.0,38.0,15.0,51.0,6.8,7.1,40.0,1.0,17.0,0.0,7.0,10.0,3.0,2.0,6.2,3.0,20.0,1.0,28.0,3.0,7.7,48.0,6.8,7.0,10.0,35.0,4.0,7.0,8.0,19.0,0.0,15.0,46.0,6.9,8.1,58.0,6.7,19.0,54.0,2109.0,6.0,,53.0,28.0,12.0,39.0,4.0,BERNARD GASSAWAY,29.0,24.0,7.0,7.0,17.0,22.0,3.0,4.0,8.0,5.0,53.0,Yes,4.0,5.0,12.0,7.1,5.0,7.4,5.6,6.0,4.0,61.0,11.0,16.0,2.0,4.0,13.0,12.0,59.0,0.0,3.0,5.0,5.7,5.7,6.0,24.0,30.0,8.0,14.0,,11.0,8.0,7.8
02M411,4.0,54.0,1.0,0.0,7.0,17.0,10.0,1.0,6.0,,21.0,53.0,46.0,12.0,67.0,7.4,7.7,40.0,1.0,17.0,1.0,13.0,6.0,5.0,0.0,9.9,0.0,25.0,0.0,38.0,0.0,8.2,69.0,8.3,9.0,6.0,39.0,0.0,0.0,4.0,32.0,1.0,6.0,39.0,6.9,8.1,57.0,8.2,25.0,55.0,438.0,0.0,,35.0,9.0,0.0,39.0,0.0,Alicia Perez-Katz,44.0,41.0,7.7,7.8,7.0,27.0,0.0,3.0,0.0,0.0,52.0,Yes,2.0,0.0,19.0,8.7,1.0,7.9,7.2,0.0,2.0,78.0,15.0,0.0,2.0,17.0,3.0,12.0,61.0,0.0,4.0,1.0,7.9,5.7,2.0,50.0,26.0,1.0,7.0,,28.0,0.0,8.8
18K581,0.0,9.0,3.0,3.0,9.0,16.0,3.0,3.0,10.0,,7.0,30.0,,9.0,39.0,6.4,7.4,45.0,0.0,30.0,4.0,19.0,12.0,0.0,0.0,7.6,3.0,9.0,24.0,15.0,0.0,8.4,45.0,7.0,11.0,4.0,35.0,9.0,10.0,9.0,22.0,0.0,12.0,41.0,6.1,7.7,58.0,4.8,25.0,56.0,243.0,6.0,,50.0,24.0,3.0,58.0,3.0,David Manning,30.0,24.0,7.1,7.0,22.0,21.0,3.0,8.0,13.0,3.0,47.0,Yes,3.0,3.0,9.0,6.6,12.0,7.5,5.6,15.0,3.0,88.0,9.0,28.0,0.0,21.0,8.0,7.0,48.0,0.0,8.0,7.0,4.8,5.8,19.0,34.0,25.0,12.0,16.0,,9.0,4.0,7.5
07X221,2.0,29.0,1.0,0.0,8.0,15.0,5.0,4.0,3.0,,46.0,50.0,43.0,10.0,55.0,7.3,7.9,41.0,0.0,28.0,0.0,13.0,5.0,2.0,3.0,8.8,2.0,17.0,16.0,30.0,3.0,7.8,57.0,6.8,22.0,2.0,16.0,1.0,2.0,9.0,19.0,1.0,11.0,41.0,6.7,8.0,57.0,6.9,9.0,57.0,565.0,2.0,,54.0,21.0,5.0,38.0,1.0,ELLEN REDDON FLANAGAN,37.0,23.0,7.1,7.7,6.0,31.0,1.0,6.0,2.0,1.0,52.0,Yes,4.0,0.0,14.0,7.7,9.0,7.8,6.2,1.0,3.0,94.0,11.0,8.0,0.0,4.0,11.0,23.0,53.0,0.0,5.0,1.0,6.6,5.8,19.0,31.0,20.0,5.0,4.0,,8.0,2.0,8.3
09X325,3.0,30.0,1.0,20.0,7.0,8.0,6.0,3.0,6.0,,28.0,52.0,,9.0,52.0,7.3,7.9,52.0,0.0,29.0,0.0,11.0,7.0,5.0,2.0,7.3,1.0,6.0,21.0,28.0,3.0,7.8,55.0,7.0,17.0,1.0,30.0,2.0,4.0,8.0,11.0,0.0,13.0,61.0,6.9,8.0,55.0,5.9,22.0,48.0,375.0,1.0,,50.0,25.0,9.0,36.0,1.0,Patrick Kelly,43.0,13.0,7.7,8.1,9.0,33.0,3.0,14.0,6.0,4.0,53.0,Yes,1.0,2.0,8.0,6.7,7.0,8.3,5.8,1.0,1.0,93.0,10.0,18.0,2.0,16.0,17.0,16.0,44.0,1.0,7.0,3.0,6.0,6.7,5.0,29.0,22.0,9.0,5.0,,8.0,10.0,7.6
07X161,3.0,38.0,0.0,18.0,4.0,3.0,3.0,2.0,2.0,,53.0,43.0,,2.0,47.0,8.2,8.7,55.0,2.0,25.0,0.0,8.0,3.0,1.0,2.0,9.6,0.0,6.0,0.0,57.0,1.0,8.5,46.0,7.6,21.0,2.0,16.0,1.0,0.0,3.0,8.0,0.0,3.0,57.0,7.6,8.5,47.0,7.1,19.0,43.0,,1.0,,50.0,28.0,2.0,51.0,0.0,Pablo LaSalle,49.0,16.0,8.2,8.5,6.0,31.0,1.0,7.0,1.0,0.0,41.0,No,2.0,1.0,9.0,8.4,5.0,8.4,,0.0,0.0,,4.0,9.0,0.0,20.0,9.0,24.0,32.0,16.0,4.0,1.0,,7.8,1.0,51.0,23.0,3.0,5.0,,6.0,4.0,8.5
84K712,0.0,74.0,1.0,0.0,1.0,3.0,0.0,0.0,6.0,,15.0,7.0,,1.0,19.0,9.3,9.6,93.0,2.0,29.0,0.0,7.0,3.0,1.0,0.0,10.0,0.0,1.0,0.0,85.0,0.0,9.8,16.0,8.4,19.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,68.0,9.1,9.6,19.0,9.8,26.0,27.0,,0.0,,24.0,57.0,0.0,93.0,0.0,Celestina De La Garza,91.0,4.0,8.9,9.6,0.0,4.0,0.0,0.0,0.0,0.0,9.0,No,0.0,0.0,0.0,9.5,3.0,9.8,,0.0,0.0,,0.0,0.0,0.0,12.0,2.0,22.0,7.0,0.0,22.0,0.0,,9.7,0.0,82.0,13.0,0.0,0.0,,22.0,2.0,9.9
11X078,3.0,32.0,1.0,16.0,4.0,6.0,3.0,4.0,5.0,,62.0,54.0,,7.0,52.0,7.1,8.0,39.0,1.0,30.0,1.0,20.0,9.0,2.0,2.0,9.3,1.0,8.0,0.0,29.0,3.0,7.9,55.0,7.2,10.0,5.0,7.0,3.0,2.0,6.0,18.0,2.0,12.0,52.0,7.7,8.0,60.0,7.5,18.0,53.0,,3.0,,49.0,23.0,1.0,37.0,2.0,Claudina Skerritt,42.0,18.0,7.5,8.1,11.0,33.0,2.0,7.0,3.0,1.0,51.0,No,4.0,4.0,9.0,7.4,11.0,7.7,,3.0,2.0,,6.0,20.0,1.0,13.0,7.0,12.0,42.0,22.0,8.0,4.0,,7.2,3.0,27.0,22.0,7.0,7.0,,7.0,4.0,7.8
03M084,10.0,86.0,2.0,8.0,15.0,4.0,0.0,5.0,3.0,,26.0,49.0,,8.0,55.0,7.3,8.2,36.0,4.0,20.0,4.0,12.0,17.0,2.0,2.0,9.9,2.0,14.0,0.0,30.0,4.0,7.3,47.0,9.5,4.0,8.0,25.0,2.0,0.0,13.0,18.0,7.0,9.0,55.0,6.8,8.8,54.0,7.1,41.0,47.0,,6.0,,24.0,63.0,1.0,32.0,2.0,Robin Sundick,38.0,13.0,7.3,7.1,9.0,18.0,4.0,2.0,2.0,2.0,34.0,No,4.0,4.0,13.0,8.0,2.0,7.3,,3.0,0.0,,6.0,5.0,1.0,50.0,6.0,7.0,31.0,8.0,6.0,5.0,,8.1,1.0,38.0,33.0,10.0,8.0,,29.0,6.0,7.5
04M050,3.0,61.0,4.0,11.0,5.0,19.0,1.0,0.0,3.0,,35.0,58.0,,8.0,61.0,7.1,7.5,43.0,2.0,31.0,0.0,17.0,6.0,1.0,0.0,9.8,0.0,13.0,26.0,23.0,0.0,7.9,60.0,8.5,11.0,2.0,11.0,1.0,1.0,4.0,31.0,3.0,14.0,55.0,7.0,7.9,59.0,6.6,31.0,65.0,162.0,1.0,,57.0,56.0,0.0,33.0,3.0,Rebekah Mitchell,38.0,46.0,7.0,7.9,9.0,15.0,3.0,7.0,0.0,0.0,58.0,Yes,3.0,3.0,8.0,8.1,5.0,7.8,6.2,0.0,4.0,94.0,11.0,11.0,1.0,34.0,5.0,8.0,54.0,6.0,9.0,3.0,6.0,5.6,8.0,31.0,19.0,4.0,6.0,,5.0,2.0,8.0
18K578,2.0,15.0,0.0,0.0,2.0,5.0,3.0,0.0,2.0,,15.0,41.0,29.0,5.0,26.0,8.7,8.6,77.0,0.0,29.0,2.0,12.0,2.0,2.0,2.0,7.3,2.0,8.0,0.0,57.0,5.0,9.0,46.0,7.6,33.0,0.0,19.0,2.0,3.0,0.0,23.0,0.0,7.0,42.0,7.3,8.9,43.0,6.6,19.0,45.0,175.0,0.0,,35.0,16.0,12.0,59.0,2.0,ADELE TAY FABRIKANT,61.0,12.0,8.3,8.6,2.0,25.0,0.0,5.0,0.0,0.0,23.0,Yes,3.0,0.0,10.0,8.4,0.0,9.0,7.0,0.0,2.0,65.0,3.0,3.0,0.0,8.0,8.0,31.0,37.0,0.0,18.0,0.0,7.1,7.5,3.0,47.0,28.0,0.0,6.0,,21.0,2.0,9.0
15K172,2.0,74.0,1.0,15.0,1.0,2.0,0.0,2.0,1.0,,64.0,29.0,,1.0,29.0,8.8,9.3,74.0,2.0,36.0,0.0,3.0,1.0,1.0,0.0,10.0,0.0,4.0,0.0,74.0,1.0,9.2,29.0,9.1,43.0,2.0,8.0,0.0,0.0,1.0,10.0,0.0,2.0,56.0,8.9,9.2,29.0,9.0,17.0,30.0,,0.0,,34.0,23.0,0.0,70.0,0.0,Jack Spatola,66.0,11.0,8.8,9.1,2.0,32.0,0.0,3.0,0.0,0.0,22.0,No,0.0,0.0,2.0,9.4,2.0,9.1,,1.0,0.0,,3.0,2.0,0.0,72.0,4.0,43.0,20.0,12.0,8.0,0.0,,8.3,1.0,76.0,17.0,1.0,1.0,,8.0,1.0,9.2
18K272,4.0,21.0,2.0,15.0,9.0,7.0,3.0,3.0,3.0,,60.0,48.0,,8.0,48.0,7.8,8.3,45.0,0.0,30.0,1.0,14.0,5.0,1.0,1.0,9.7,1.0,10.0,0.0,36.0,0.0,8.0,46.0,7.0,19.0,3.0,12.0,1.0,0.0,7.0,16.0,3.0,6.0,36.0,7.4,8.3,53.0,6.8,20.0,47.0,,2.0,,46.0,31.0,1.0,41.0,2.0,Dakota Keyes,43.0,14.0,7.8,8.0,11.0,26.0,1.0,7.0,2.0,1.0,43.0,No,2.0,1.0,9.0,8.2,7.0,7.9,,2.0,2.0,,7.0,10.0,1.0,20.0,11.0,21.0,34.0,12.0,8.0,2.0,,7.3,7.0,40.0,26.0,3.0,7.0,,7.0,3.0,8.2
15K261,5.0,81.0,1.0,14.0,8.0,3.0,0.0,2.0,3.0,,60.0,48.0,,5.0,47.0,7.9,8.5,52.0,5.0,32.0,1.0,7.0,9.0,1.0,1.0,9.9,1.0,8.0,0.0,43.0,2.0,8.0,49.0,9.2,4.0,8.0,23.0,1.0,1.0,9.0,19.0,1.0,7.0,48.0,7.9,9.0,46.0,7.5,47.0,45.0,,2.0,,27.0,17.0,0.0,42.0,1.0,Zipporiah Mills,39.0,12.0,8.1,8.0,9.0,29.0,2.0,3.0,1.0,1.0,28.0,No,1.0,2.0,16.0,8.6,7.0,8.2,,1.0,0.0,,4.0,3.0,0.0,60.0,4.0,5.0,28.0,18.0,5.0,1.0,,8.3,1.0,53.0,19.0,8.0,7.0,,31.0,7.0,8.1
03M415,1.0,18.0,0.0,0.0,5.0,5.0,66.0,0.0,1.0,,41.0,70.0,74.0,2.0,69.0,7.1,7.4,22.0,0.0,68.0,2.0,8.0,3.0,6.0,1.0,7.1,2.0,5.0,4.0,18.0,1.0,7.7,72.0,5.6,20.0,2.0,9.0,2.0,4.0,4.0,7.0,1.0,7.0,12.0,6.4,7.2,69.0,5.9,5.0,69.0,503.0,2.0,,69.0,6.0,1.0,23.0,2.0,Herma Hall,21.0,6.0,7.1,7.5,6.0,70.0,1.0,6.0,1.0,1.0,69.0,Yes,2.0,1.0,67.0,7.6,8.0,7.0,5.6,1.0,2.0,81.0,4.0,2.0,1.0,26.0,5.0,15.0,66.0,0.0,13.0,3.0,5.8,7.2,2.0,19.0,8.0,5.0,5.0,,5.0,7.0,7.6
09X170,1.0,88.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,,21.0,18.0,,1.0,23.0,9.2,9.6,82.0,0.0,17.0,1.0,1.0,1.0,1.0,0.0,9.9,1.0,21.0,0.0,88.0,0.0,9.5,25.0,9.2,28.0,3.0,7.0,0.0,1.0,0.0,11.0,2.0,0.0,71.0,8.8,9.4,26.0,8.8,13.0,27.0,,0.0,,43.0,26.0,0.0,82.0,0.0,Nancy Ramos,79.0,1.0,9.0,9.5,0.0,19.0,0.0,2.0,0.0,0.0,17.0,No,0.0,0.0,1.0,9.7,0.0,9.4,,0.0,0.0,,2.0,1.0,0.0,89.0,3.0,31.0,12.0,0.0,9.0,0.0,,9.3,2.0,88.0,12.0,0.0,0.0,,35.0,0.0,9.5
08X301,4.0,39.0,0.0,0.0,6.0,6.0,4.0,4.0,4.0,,29.0,45.0,,4.0,57.0,7.7,7.8,35.0,0.0,31.0,0.0,7.0,6.0,0.0,0.0,9.7,2.0,7.0,47.0,43.0,0.0,8.0,60.0,7.6,15.0,3.0,35.0,2.0,2.0,7.0,8.0,2.0,6.0,44.0,7.4,7.8,52.0,7.3,9.0,56.0,308.0,4.0,,71.0,26.0,0.0,44.0,0.0,Benjamin Basile,38.0,17.0,8.0,7.8,6.0,28.0,2.0,9.0,2.0,4.0,48.0,Yes,2.0,2.0,8.0,7.8,6.0,7.3,5.4,0.0,6.0,70.0,6.0,7.0,2.0,25.0,9.0,14.0,49.0,0.0,9.0,2.0,6.1,6.7,15.0,36.0,36.0,4.0,4.0,,9.0,2.0,8.4
10X206,2.0,5.0,0.0,18.0,2.0,6.0,2.0,1.0,2.0,,28.0,34.0,,3.0,30.0,8.9,9.0,72.0,0.0,32.0,0.0,5.0,2.0,2.0,1.0,9.6,0.0,5.0,23.0,70.0,1.0,9.0,30.0,5.7,25.0,1.0,30.0,0.0,2.0,1.0,8.0,0.0,2.0,32.0,7.3,9.1,29.0,7.3,8.0,31.0,318.0,1.0,,57.0,5.0,1.0,64.0,0.0,David Neering,63.0,12.0,8.9,8.9,3.0,53.0,0.0,3.0,0.0,1.0,26.0,Yes,1.0,0.0,7.0,9.0,2.0,9.0,5.8,0.0,1.0,86.0,2.0,3.0,0.0,2.0,6.0,27.0,26.0,0.0,8.0,0.0,6.1,7.7,6.0,66.0,12.0,1.0,2.0,,2.0,1.0,9.0
20K223,11.0,42.0,2.0,1.0,4.0,14.0,5.0,2.0,6.0,,49.0,56.0,,11.0,61.0,7.1,7.8,35.0,1.0,20.0,0.0,7.0,8.0,4.0,2.0,8.9,0.0,16.0,32.0,34.0,1.0,7.5,62.0,7.6,21.0,0.0,15.0,1.0,2.0,8.0,19.0,2.0,12.0,51.0,7.3,7.7,57.0,7.7,19.0,59.0,629.0,1.0,,52.0,23.0,5.0,27.0,0.0,ANDREW FRANK,29.0,26.0,7.9,7.9,10.0,24.0,1.0,5.0,2.0,1.0,53.0,Yes,2.0,1.0,18.0,7.9,4.0,7.6,5.9,1.0,3.0,93.0,18.0,8.0,2.0,4.0,12.0,23.0,58.0,0.0,9.0,0.0,6.9,5.4,22.0,34.0,21.0,3.0,5.0,,12.0,3.0,7.8
10X007,4.0,40.0,1.0,25.0,3.0,5.0,1.0,2.0,4.0,,46.0,44.0,,2.0,45.0,8.4,8.9,59.0,1.0,27.0,1.0,11.0,3.0,1.0,1.0,9.9,0.0,8.0,0.0,62.0,1.0,8.6,48.0,7.3,28.0,3.0,8.0,0.0,1.0,3.0,14.0,0.0,2.0,49.0,7.4,8.7,43.0,7.2,13.0,46.0,,0.0,,50.0,25.0,0.0,52.0,1.0,Renée Cloutier,53.0,16.0,8.4,8.7,6.0,25.0,0.0,5.0,0.0,0.0,37.0,No,1.0,1.0,5.0,9.0,3.0,8.6,,0.0,1.0,,5.0,1.0,0.0,12.0,7.0,27.0,28.0,23.0,7.0,0.0,,7.9,3.0,61.0,25.0,4.0,4.0,,7.0,1.0,8.5
