ell_russian_1,math_level_2_1,ell_chinese_1,ela_l3_l4_2,math_l3_l4_2,male_2
No Data,s,No Data,85.2%,85.0%,38.3%
No Data,25,No Data,58.6%,s,16.7%
s,No Data,s,No Data,No Data,s
No Data,s,No Data,s,s,60.0%
No Data,6,No Data,s,s,75.1%
s,s,s,s,s,s
No Data,41,No Data,26.3%,21.0%,59.2%
s,s,s,s,s,62.2%
s,s,s,s,s,76.7%
No Data,s,No Data,s,s,61.3%
No Data,122,No Data,46.6%,36.3%,30.1%
No Data,s,No Data,s,s,52.2%
No Data,7,No Data,s,s,36.7%
No Data,24,No Data,s,s,s
No Data,7,No Data,s,s,38.4%
No Data,122,No Data,46.6%,36.3%,30.1%
s,s,s,s,s,s
No Data,s,No Data,s,s,52.1%
No Data,s,No Data,s,s,44.0%
No Data,s,No Data,s,s,60.3%
No Data,9,No Data,s,s,37.8%
s,s,s,s,s,46.2%
No Data,s,No Data,s,s,75.0%
s,s,s,s,s,55.1%
s,No Data,s,No Data,No Data,s
No Data,s,No Data,s,s,52.1%
No Data,158,No Data,45.7%,22.1%,6.1%
s,10,s,s,s,59.3%
No Data,s,No Data,s,s,71.4%
No Data,s,No Data,s,s,61.9%
No Data,s,No Data,s,s,63.0%
No Data,34,No Data,33.6%,s,53.2%
s,s,s,s,s,74.1%
No Data,s,No Data,s,s,68.8%
s,s,s,s,s,52.4%
No Data,s,No Data,s,s,51.9%
No Data,s,No Data,s,s,72.1%
s,s,s,s,s,57.1%
s,s,8,s,s,s
No Data,s,No Data,s,s,55.6%
s,No Data,s,No Data,No Data,s
No Data,s,No Data,s,s,57.8%
No Data,s,No Data,s,s,60.0%
No Data,s,No Data,s,s,35.3%
No Data,s,No Data,s,s,60.3%
No Data,s,No Data,s,s,54.9%
No Data,No Data,No Data,No Data,No Data,51.9%
No Data,23,No Data,66.7%,38.0%,36.4%
No Data,s,No Data,s,s,s
No Data,s,No Data,s,s,50.0%
s,s,s,s,s,s
No Data,s,No Data,s,s,63.6%
No Data,s,No Data,s,s,33.3%
No Data,s,No Data,s,s,s
No Data,s,No Data,s,s,43.2%
No Data,s,No Data,s,s,36.4%
No Data,25,No Data,58.8%,s,39.2%
No Data,14,No Data,37.5%,s,43.7%
No Data,s,No Data,s,s,50.0%
No Data,s,No Data,s,s,54.8%
No Data,19,No Data,s,s,50.5%
No Data,s,No Data,s,s,s
No Data,s,No Data,s,s,69.0%
No Data,43,No Data,31.6%,s,30.0%
No Data,s,No Data,89.7%,85.7%,40.8%
s,s,s,s,s,64.8%
No Data,22,No Data,s,s,50.6%
s,s,s,s,s,62.7%
No Data,8,No Data,s,s,57.8%
No Data,51,No Data,34.5%,s,40.7%
No Data,s,No Data,s,s,s
No Data,19,No Data,s,s,56.3%
No Data,45,No Data,40.2%,23.1%,27.7%
No Data,s,No Data,s,s,34.1%
No Data,8,No Data,s,s,82.4%
No Data,45,No Data,s,s,68.3%
No Data,8,No Data,s,s,89.1%
No Data,90,No Data,41.0%,25.4%,48.7%
No Data,6,No Data,s,s,s
No Data,35,No Data,s,s,46.1%
No Data,s,No Data,s,s,42.2%
s,12,s,s,s,55.4%
No Data,s,No Data,82.5%,82.5%,44.3%
s,No Data,88,No Data,No Data,58.8%
No Data,11,No Data,s,s,56.2%
No Data,13,No Data,s,s,49.8%
s,s,s,s,s,s
No Data,8,No Data,s,s,60.9%
No Data,s,No Data,s,s,51.9%
No Data,No Data,No Data,No Data,No Data,s
No Data,8,No Data,s,s,56.9%
s,No Data,s,No Data,No Data,s
No Data,16,No Data,s,s,89.4%
No Data,No Data,No Data,No Data,No Data,60.5%
No Data,17,No Data,s,s,46.1%
No Data,s,No Data,s,s,56.3%
No Data,11,No Data,s,s,49.2%
No Data,s,No Data,s,s,45.0%
No Data,No Data,No Data,No Data,No Data,s
No Data,23,No Data,31.4%,s,71.3%
s,s,s,s,s,67.6%
No Data,10,No Data,76.7%,s,51.4%
No Data,No Data,No Data,No Data,No Data,s
No Data,28,No Data,44.8%,s,50.6%
No Data,No Data,No Data,No Data,No Data,52.9%
No Data,s,No Data,94.3%,86.9%,25.2%
No Data,40,No Data,s,s,51.5%
No Data,s,No Data,s,s,78.3%
