sped_num,fl_percent,selfcontained_num,asian_per,female_num,grade8,name,female_per,grade11,grade7,grade5,grade12
156.0,,21,10.6,309.0,82,PS 111 ADOLPH S OCHS                            ,52.7,    ,69,53,    
18.0,14,,3.8,330.0,27,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,73.5,84,28,,96
55.0,   ,1,28.3,400.0,,MILLENNIUM HIGH SCHOOL,64.6,150,,,148
91.0,,19,83.2,394.0,    ,PS 002 MEYER LONDON                             ,48.3,    ,    ,137,    
192.0,64.5,73,8.2,757.0,,BAYARD RUSTIN EDUCATIONAL COMPLEX,50.2,295,,,298
,79.1,,0.0,,,PARK WEST HIGH SCHOOL,0.0,1,,,3
68.0,60.3,1,25.0,175.0,120,TOMPKINS SQUARE MS EXTENSION,48.1,,122,,
68.0,79.3,11,4.1,146.0,,PS 064 ROBERT SIMON,49.5,,,43,
42.0,87.2,5,2.2,73.0,,UNITY CENTER FOR URBAN TECHNOLOGIES,39.9,24,,,22
54.0,,0,8.3,324.0,    ,PS 009 SARAH ANDERSON                           ,53.6,    ,    ,78,    
1.0,83.5,,0.0,233.0,,MANHATTAN BRIDGES HIGH SCHOOL,49.7,65,,,97
97.0,,29,7.9,225.0,    ,PS 142 AMALIA CASTRO                            ,52.0,    ,    ,64,    
51.0,74.6,6,6.1,164.0,,HIGH SCHOOL FOR HISTORY & COMMUNICATION,47.8,69,,,95
68.0,,1,44.5,281.0,191,NYC LAB MS FOR COLL. STUDIES                    ,48.9,    ,186,    ,    
121.0,   ,24,11.4,274.0,,PS 011 WILLIAM T HARRIS,48.0,,,72,
86.0,   ,30,1.1,185.0,,LEGACY SCHOOL FOR INTEGRATED STUDIES,52.3,66,,,71
42.0,   ,25,9.2,89.0,,SCHOOL FOR GLOBAL LEADERS,54.6,,79,,
77.0,   ,5,6.4,176.0,,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHO,35.1,93,,,106
114.0,16,,6.9,429.0,,PS 087 WILLIAM SHERMAN,47.7,,,141,
66.0,60.8,26,90.0,488.0,,PS 124 YUNG WING,48.9,,,159,
47.0,67.1,9,5.4,278.0,,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,71.5,82,,,90
54.0,   ,27,21.5,223.0,42,PS 217/IS 217 ROOSEVELT IS.,54.5,,35,46,
84.0,9.5,7,14.5,280.0,,PS 040 AUGUSTUS STGAUDENS,50.8,,,75,
59.0,79.3,6,5.3,137.0,,PS 064 ROBERT SIMON,48.6,,,47,
3.0,   ,1,24.3,157.0,,MANHATTAN INTERNATIONAL HIGH SCHOOL,50.8,62,,,54
30.0,66.3,1,1.3,222.0,,INDEPENDENCE HIGH SCHOOL,49.3,71,,,214
69.0,   ,31,9.4,143.0,78,SCHOOL FOR GLOBAL LEADERS,53.8,,79,,
28.0,62.7,4,4.9,88.0,,LOWER MANHATTAN ARTS ACADEMY,54.3,,,,
4.0,   ,1,90.9,237.0,,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,43.0,200,,,92
28.0,35,,9.8,83.0,,THE EAST VILLAGE COMMUNITY SCHOOL,47.7,,,23,
93.0,89.6,6,0.5,221.0,64,PS 188 THE ISLAND SCHOOL,50.1,,68,31,
98.0,,0,16.0,331.0,93,SCHOOL OF THE FUTURE HIGH SCHOOL                ,49.2,87,102,    ,79
51.0,43.7,12,9.8,131.0,,EARTH SCHOOL,42.8,,,40,
61.0,,0,2.8,365.0,    ,GRAMERCY ARTS HIGH SCHOOL                       ,73.7,117,    ,    ,74
23.0,   ,,3.9,14.0,,THE BUSINESS OF SPORTS SCHOOL,13.6,,,,
87.0,65.7,17,89.5,497.0,,PS 130 HERNANDO DESOTO,46.3,,,190,
67.0,   ,,27.7,268.0,,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,51.1,134,,,135
58.0,   ,9,11.4,179.0,97,MS 260 CLINTON SCHL WRITERS &,65.6,,92,,
60.0,   ,17,13.3,172.0,,PS 212 MIDTOWN WEST,49.9,,,64,
69.0,89.6,12,83.3,330.0,,PS 002 MEYER LONDON,46.6,,,118,
47.0,   ,18,20.7,191.0,,PS 033 CHELSEA SCHOOL,50.1,,,55,
132.0,   ,42,3.4,316.0,38,LIFE SCIENCES SECONDARY SCHOOL,46.9,120,41,,113
25.0,,10,7.1,33.0,    ,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLO      ,26.2,    ,    ,    ,    
28.0,38.1,12,5.5,125.0,82,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,48.8,,101,,
95.0,76.3,33,1.5,245.0,61,PS 149 SOJOURNER TRUTH,51.5,,54,47,
80.0,60.3,10,26.5,182.0,123,TOMPKINS SQUARE MS EXTENSION,48.3,,122,,
15.0,   ,1,1.4,162.0,,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,76.1,55,,,38
103.0,   ,,14.9,305.0,,PS 183 ROBERT L STEVENSON,47.3,,,84,
6.0,60,,10.0,59.0,,NYCISCHOOL,59.0,,,,
102.0,   ,13,11.1,263.0,,PS 198 ISADOR E IDA STRAUS,46.2,,,72,
32.0,28.9,10,40.3,160.0,99,IS 289,53.7,,106,,
104.0,   ,38,9.3,331.0,,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,51.2,153,,,88
86.0,12.5,1,19.6,217.0,,PS 89,47.9,,,47,
53.0,39.1,,27.4,349.0,,MILLENNIUM HIGH SCHOOL,63.7,128,,,114
158.0,   ,29,46.8,470.0,342,JHS 104 SIMON BARUCH,47.1,,304,,
114.0,47.8,,6.5,384.0,,PS 075 EMILY DICKINSON,50.7,,,146,
62.0,68.8,14,2.4,228.0,,PS 084 LILLIAN WEBER,49.7,,,98,
133.0,,16,2.3,411.0,    ,RICHARD R. GREEN HIGH SCHOOL OF TEACHING        ,67.4,96,    ,    ,122
59.0,47.6,14,12.4,137.0,,EARTH SCHOOL,43.6,,,37,
52.0,73.5,20,1.5,164.0,,NEW YORK HARBOR SCHOOL,41.6,93,,,83
68.0,   ,1,5.4,371.0,,HIGH SCHOOL M560  CITY AS SCHOOL,54.5,274,,,358
66.0,   ,12,10.4,166.0,72,MS 260 CLINTON SCHL WRITERS &,61.7,,95,,
81.0,   ,,8.4,189.0,,LOWER MANHATTAN ARTS ACADEMY,60.8,72,,,53
32.0,15.9,,7.4,205.0,71,INSTITUTE FOR COLLABORATIVE EDUCATION,50.4,58,51,,50
9.0,61.3,,5.2,111.0,,CASCADES HIGH SCHOOL,52.6,41,,,22
60.0,   ,1,7.5,303.0,,PS 009 SARAH ANDERSON,50.8,,,68,
18.0,61.2,,1.7,133.0,,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,73.9,28,,,37
57.0,89.4,9,3.6,123.0,,P.S. 015 ROBERTO CLEMENTE,43.8,,,29,
67.0,53.5,19,15.1,146.0,100,COLLABORATIVE ACADEMY OF SCIENCE,50.0,,94,,
59.0,62.1,11,3.9,192.0,,LEGACY SCHOOL FOR INTEGRATED STUDIES,53.3,46,,,36
3.0,   ,,12.7,386.0,,BARD HIGH SCHOOL EARLY COLLEGE,66.1,134,,,142
90.0,   ,60,2.3,234.0,,PS 145 BLOOMINGDALE SCHOOL,48.3,,,83,
87.0,48.6,12,13.1,239.0,,PS 110 FLORENCE NIGHTINGALE,51.4,,,54,
265.0,75,72,1.6,908.0,,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,49.4,249,,,168
46.0,83.5,20,14.3,165.0,,PS 033 CHELSEA SCHOOL,49.1,,,45,
69.0,   ,10,5.4,264.0,,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,67.7,108,,,68
109.0,79.9,36,3.5,228.0,94,PS 140 NATHAN STRAUS,47.0,,73,39,
87.0,   ,10,93.3,383.0,,PS 042 BENJAMIN ALTMAN,47.3,,,133,
79.0,59.5,14,25.3,375.0,,HIGH SCHOOL OF ECONOMICS AND FINANCE,47.9,146,,,126
51.0,23.6,,17.2,212.0,,PS 059 BEEKMAN HILL INTL,49.2,,,55,
21.0,21.3,2,3.6,86.0,,HUMANITIES PREPARATORY ACADEMY,50.9,29,,,43
34.0,65.8,,3.7,259.0,,INDEPENDENCE HIGH SCHOOL,53.6,151,,,177
19.0,47.7,,6.2,95.0,,HUMANITIES PREPARATORY ACADEMY,53.7,38,,,43
102.0,50.2,44,11.4,371.0,,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,54.3,115,,,125
12.0,27.2,,25.9,292.0,,ELEANOR ROOSEVELT HIGH SCHOOL,62.4,125,,,102
52.0,23.1,,7.6,270.0,,PS 009 SARAH ANDERSON,51.6,,,76,
80.0,,7,93.3,390.0,    ,PS 042 BENJAMIN ALTMAN                          ,48.4,    ,    ,126,    
71.0,71.8,19,3.9,200.0,,LEGACY SCHOOL FOR INTEGRATED STUDIES,52.6,63,,,46
4.0,77,,92.2,259.0,,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,47.1,127,,,102
56.0,   ,13,2.5,92.0,,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL L,58.6,29,,,22
95.0,91.1,25,3.9,221.0,,PS 142 AMALIA CASTRO,50.5,,,67,
147.0,   ,28,52.4,478.0,305,JHS 104 SIMON BARUCH,48.0,,358,,
53.0,60.07,18,90.9,480.0,,PS 124 YUNG WING,47.5,,,154,
69.0,29.3,12,6.7,305.0,,PS 166 THE RICHARD ROGERS SCHOOL OF THE ARTS AND,51.0,,,78,
88.0,   ,24,5.8,140.0,,PS 064 ROBERT SIMON,47.9,,,32,
70.0,,0,4.2,108.0,27,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SC,50.2,    ,18,19,    
2.0,,0,28.6,85.0,21,BALLET TECH / NYC PUBLIC SCHOOL FOR DANCE       ,55.2,    ,23,36,    
36.0,64,,6.6,255.0,,MANHATTAN VILLAGE ACADEMY,64.9,117,,,74
26.0,45.6,,3.1,128.0,33,ELLA BAKER SCHOOL,49.8,,24,21,
13.0,51.1,1,3.3,109.0,,CASCADES HIGH SCHOOL,51.2,20,,,64
70.0,89.6,14,84.0,344.0,,PS 002 MEYER LONDON,48.0,,,101,
15.0,61.2,1,3.2,146.0,,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,77.7,24,,,27
127.0,60.9,2,19.3,279.0,,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,47.6,99,,,82
54.0,45.2,23,4.4,121.0,36,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL L,66.1,18,31,,20
15.0,79.5,6,25.2,178.0,,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,41.6,105,,,74
100.0,62.3,2,2.7,320.0,,PS 163 ALFRED E SMITH,49.9,,,82,
17.0,   ,,6.0,342.0,30,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,73.2,96,29,,82
52.0,18.9,,7.3,243.0,,PS 009 SARAH ANDERSON,49.2,,,69,
107.0,15.6,11,6.5,232.0,,PS 003 CHARRETTE SCHOOL,42.1,,,82,
100.0,   ,13,27.8,363.0,,HIGH SCHOOL OF ECONOMICS AND FINANCE,45.0,171,,,172
101.0,59,15,28.7,351.0,,HIGH SCHOOL OF ECONOMICS AND FINANCE,44.5,95,,,134
42.0,25.5,13,33.3,154.0,99,IS 289,51.9,,97,,
281.0,68.7,117,2.9,1046.0,,NORMAN THOMAS HIGH SCHOOL,48.9,294,,,124
104.0,,33,79.7,245.0,250,I S 131                                         ,44.1,    ,159,    ,    
28.0,66,8,2.0,126.0,,FOOD AND FINANCE HIGH SCHOOL,61.8,,,,
101.0,,0,16.3,269.0,    ,PS 183 ROBERT L STEVENSON                       ,44.2,    ,    ,80,    
136.0,21.5,24,10.3,347.0,,PS 158 BAYARD TAYLOR,47.5,,,77,
154.0,47.4,78,16.8,762.0,,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,52.2,309,,,261
68.0,84.7,24,72.5,297.0,,PS 001 ALFRED E SMITH,48.6,,,96,
192.0,,12,20.5,1248.0,    ,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SER,70.6,375,    ,    ,316
39.0,15.6,11,26.0,218.0,125,MS 255 SALK SCHOOL OF SCIENCE,53.4,,142,,
109.0,18.7,,8.2,455.0,,PS 087 WILLIAM SHERMAN,51.2,,,148,
9.0,   ,,9.7,26.0,,PS 151,36.1,,,,
139.0,   ,,10.0,372.0,,PS 041 GREENWICH VILLAGE,49.1,,,108,
70.0,,2,4.1,160.0,    ,HIGH SCHOOL FOR HISTORY & COMMUNICATION         ,46.6,69,    ,    ,84
93.0,71.2,17,4.3,293.0,,PS 165 ROBERT E SIMON,48.0,,,96,
77.0,,7,9.9,239.0,    ,VANGUARD HIGH SCHOOL                            ,53.8,90,    ,    ,79
98.0,6.6,10,8.9,262.0,,PS 003 CHARRETTE SCHOOL,44.8,,,73,
167.0,   ,2,19.5,1219.0,,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SER,70.8,390,,,260
195.0,34.8,59,29.7,632.0,464,JHS 167 ROBERT F WAGNER,47.3,,458,,
32.0,   ,1,8.5,61.0,,MURRAY HILL ACADEMY,43.3,,,,
5.0,   ,,87.0,144.0,,HIGH SCHOOL FOR DUAL LANGUAGE & ASIAN STUDIES,44.4,62,,,51
15.0,,0,0.5,131.0,    ,CASCADES HIGH SCHOOL                            ,60.1,59,    ,    ,65
89.0,65.7,15,89.8,514.0,,PS 130 HERNANDO DESOTO,47.9,,,177,
54.0,44.1,24,13.0,128.0,,CHILDREN'S WORKSHOP SCHOOL,50.4,,,34,
64.0,   ,2,2.3,350.0,,THE URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG,100.0,71,,,69
19.0,,4,35.3,354.0,    ,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOO,43.9,280,    ,    ,113
8.0,,0,89.5,172.0,    ,HIGH SCHOOL FOR DUAL LANGUAGE & ASIAN STUDIES   ,48.7,83,    ,    ,76
93.0,66.2,13,22.2,1029.0,,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SER,69.7,201,,,262
53.0,88.6,13,16.7,177.0,,PS 033 CHELSEA SCHOOL,53.6,,,37,
153.0,41,92,16.9,738.0,,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,51.0,297,,,278
67.0,   ,9,4.0,88.0,,UNITY CENTER FOR URBAN TECHNOLOGIES,39.3,39,,,34
14.0,59.8,1,4.1,90.0,,THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,52.9,,,,
59.0,62.8,23,10.9,83.0,58,TECHNOLOGY ARTS AND SCIENCES STUDIO,39.3,,59,,
58.0,81.4,32,0.0,168.0,,PS 076 A. PHILIP RANDOLPH,47.3,,,46,
136.0,70.6,4,5.6,266.0,85,EAST SIDE COMMUNITY HIGH SCHOOL,48.0,73,76,,78
82.0,88.1,5,92.3,359.0,,PS 042 BENJAMIN ALTMAN,48.8,,,97,
,   ,,34.5,36.0,,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,41.4,,,,
11.0,60,,0.9,107.0,,THE URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG,100.0,,,,
110.0,56.5,3,5.6,422.0,,PS 075 EMILY DICKINSON,51.0,,,159,
34.0,37.3,,8.6,74.0,,THE EAST VILLAGE COMMUNITY SCHOOL,45.4,,,31,
184.0,   ,54,16.1,721.0,,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,50.5,346,,,303
58.0,   ,22,4.1,239.0,,PS 084 LILLIAN WEBER,49.0,,,62,
79.0,92.5,9,29.8,340.0,,PS 020 ANNA SILVER,51.9,,,97,
150.0,44.8,73,5.5,557.0,,ART AND DESIGN HIGH SCHOOL,39.6,233,,,264
62.0,   ,1,5.5,380.0,,HIGH SCHOOL M560  CITY AS SCHOOL,52.2,312,,,232
68.0,46.1,1,7.4,105.0,59,GREENWICH VILLAGE,48.8,,80,,
64.0,   ,,41.6,284.0,181,NYC LAB MS FOR COLL. STUDIES,50.5,,195,,
53.0,,0,4.7,82.0,70,QUEST TO LEARN                                  ,35.3,    ,71,    ,    
70.0,   ,1,5.2,116.0,7,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SC,54.7,,14,15,
43.0,   ,1,4.5,220.0,,INDEPENDENCE HIGH SCHOOL,52.5,115,,,167
99.0,,30,5.1,430.0,    ,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL          ,59.4,160,    ,    ,138
28.0,11.1,,9.4,90.0,,PS 150,50.0,,,25,
109.0,9.4,2,9.6,348.0,,PS 041 GREENWICH VILLAGE,49.6,,,104,
69.0,71.2,21,2.8,208.0,,PS 084 LILLIAN WEBER,49.3,,,49,
41.0,,0,33.0,251.0,    ,NYC MUSEUM SCHOOL                               ,57.6,127,    ,    ,104
3.0,40.8,,13.0,99.0,21,BALLET TECH / NYC PUBLIC SCHOOL FOR DANCE,61.5,3,23,41,4
127.0,   ,32,8.7,667.0,,ART AND DESIGN HIGH SCHOOL,52.0,366,,,293
146.0,26.2,72,8.9,405.0,332,JHS 054 B00KER T.WASHINGTON,46.2,,303,,
36.0,37.4,1,11.4,206.0,56,NYC MUSEUM SCHOOL,53.2,59,,,53
69.0,12.6,,40.2,277.0,197,NYC LAB MS FOR COLL. STUDIES,47.0,,197,,
52.0,44.1,19,12.2,117.0,,CHILDREN'S WORKSHOP SCHOOL,47.6,,,39,
79.0,89.6,8,83.6,338.0,,PS 002 MEYER LONDON,46.6,,,108,
110.0,31.3,45,9.7,392.0,295,JHS 054 B00KER T.WASHINGTON,48.6,,242,,
40.0,74,2,29.0,205.0,,PACE HIGH SCHOOL,50.0,92,,,102
73.0,79.3,22,5.7,138.0,,PS 064 ROBERT SIMON,46.0,,,44,
259.0,68.5,135,3.2,1064.0,,NORMAN THOMAS HIGH SCHOOL,50.0,414,,,162
6.0,,0,17.2,342.0,    ,ELEANOR ROOSEVELT HIGH SCHOOL                   ,67.5,120,    ,    ,137
49.0,65.6,,15.9,160.0,,PS 051 ELIAS HOWE,47.9,,,46,
94.0,,9,10.9,304.0,    ,PS 040 AUGUSTUS STGAUDENS                      ,49.4,    ,    ,84,    
237.0,   ,86,3.2,1055.0,,NORMAN THOMAS HIGH SCHOOL,49.3,336,,,136
202.0,   ,49,28.8,570.0,420,JHS 167 ROBERT F WAGNER,46.1,,411,,
15.0,68.2,,2.2,50.0,,HARVEY MILK HIGH SCHOOL,53.8,27,,,25
35.0,68.4,6,4.3,162.0,,NEW DESIGN HIGH SCHOOL,57.7,84,,,
207.0,   ,44,30.6,586.0,432,JHS 167 ROBERT F WAGNER,47.7,,403,,
145.0,,38,3.4,386.0,65,PS 165 ROBERT E SIMON                           ,46.7,    ,54,113,    
79.0,   ,3,1.8,249.0,,FOOD AND FINANCE HIGH SCHOOL,57.1,93,,,97
113.0,   ,4,11.5,323.0,,PS 290 MANHATTAN NEW SCHOOL,50.2,,,101,
51.0,   ,,2.3,504.0,,SATELLITE ACADEMY HIGH SCHOOL,55.4,347,,,107
47.0,,1,11.5,222.0,    ,NYCISCHOOL                                      ,51.3,104,    ,    ,97
85.0,,14,22.1,213.0,125,TOMPKINS SQUARE MS EXTENSION                    ,55.5,    ,125,    ,    
72.0,   ,32,10.9,107.0,93,TECHNOLOGY ARTS AND SCIENCES STUDIO,46.5,,83,,
120.0,,11,10.5,364.0,    ,PS 006 LILLIE D. BLAKE                          ,46.1,    ,    ,111,    
70.0,   ,33,0.0,217.0,,PS 076 A. PHILIP RANDOLPH,48.5,,,48,
76.0,   ,,22.6,124.0,75,GREENWICH VILLAGE,51.0,,74,,
52.0,   ,2,3.3,55.0,,THE BUSINESS OF SPORTS SCHOOL,26.2,,,,
4.0,   ,,5.7,27.0,,SCHOOL FOR THE PHYSICAL CITY HIGH SCHOOL,50.9,14,,,23
13.0,   ,2,43.0,51.0,,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,51.0,,,,
141.0,81.4,58,3.8,244.0,,PS 142 AMALIA CASTRO,46.2,,,63,
10.0,,0,60.6,242.0,    ,BARUCH COLLEGE CAMPUS HIGH SCHOOL               ,56.0,118,    ,    ,96
22.0,97.6,2,29.4,150.0,,PACE HIGH SCHOOL,48.4,101,,,
161.0,   ,10,7.5,260.0,72,EAST SIDE COMMUNITY HIGH SCHOOL,46.5,81,69,,84
43.0,8,21,15.7,188.0,,PS 77 LOWER LAB SCHOOL,52.8,,,61,
67.0,   ,,5.2,151.0,,HIGH SCHOOL FOR HISTORY & COMMUNICATION,46.0,90,,,65
34.0,63.5,,3.2,161.0,,THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,56.9,67,,,48
126.0,65.3,44,1.6,212.0,180,JHS 044 WILLIAM J O'SHEA,43.0,,158,,
93.0,61.5,37,10.0,188.0,,P.S. 019 ASHER LEVY,46.8,,,64,
26.0,13.2,,3.0,305.0,29,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,71.3,98,29,,80
60.0,88.1,8,90.4,335.0,,PS 042 BENJAMIN ALTMAN,47.2,,,104,
98.0,,9,0.7,223.0,    ,THE FACING HISTORY SCHOOL                       ,49.4,93,    ,    ,58
62.0,   ,,3.9,249.0,,NEW DESIGN HIGH SCHOOL,60.4,97,,,80
81.0,   ,,17.6,259.0,,PS 89,49.5,,,74,
298.0,74,143,4.2,1561.0,,WASHINGTON IRVING HIGH SCHOOL,55.4,390,,,409
57.0,30,1,8.2,262.0,,PS 009 SARAH ANDERSON,51.4,,,70,
95.0,6.2,6,16.2,384.0,,PS 234 INDEPENDENCE SCHOOL,47.0,,,113,
3.0,77,,90.8,242.0,,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,46.2,174,,,114
151.0,   ,29,10.5,367.0,,PS 158 BAYARD TAYLOR,49.0,,,116,
80.0,13.6,,28.4,274.0,,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,51.1,132,,,131
,78.4,,85.6,140.0,,HIGH SCHOOL FOR DUAL LANGUAGE & ASIAN STUDIES,47.9,71,,,71
45.0,   ,8,17.5,216.0,130,MS 255 SALK SCHOOL OF SCIENCE,55.7,,124,,
238.0,64.2,114,13.6,1007.0,,BAYARD RUSTIN EDUCATIONAL COMPLEX,49.7,340,,,365
