beds_number,community_school_sup_name,administrative_district_name,open_date,principal_name,admin_district_location_code,:@computed_region_92fq_4b7q,census_tract,field_support_center_name,location_1,Career Technical with ats_system_code,General Academic with ats_system_code,Transfer School with ats_system_code
321100010483,"ROSS PORTER, MEISHA",COMMUNITY SCHOOL DISTRICT 11,2015-07-01T00:00:00.000,MARIA CIOFFI,X10C,40,41400,Field Support Center - Bronx,"{'latitude': '40.901436', 'longitude': '-73.854402', 'human_address': '{""address"": ""4520 MATILDA AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10470""}'}",,11X483      ,
321200011251,,,2005-07-01T00:00:00.000,SUSANA HERNANDEZ,HS10,43,15500,Field Support Center - Bronx,"{'latitude': '40.836245', 'longitude': '-73.890591', 'human_address': '{""address"": ""1619 BOSTON ROAD"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10460""}'}",,12X251      ,
331700010191,"ELLIS, CLARENCE",COMMUNITY SCHOOL DISTRICT 17,1938-07-01T00:00:00.000,ELSI CAPOLONGO,K817,17,35900,Field Support Center - Brooklyn South,"{'latitude': '40.67173', 'longitude': '-73.924127', 'human_address': '{""address"": ""1600 PARK PLACE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11233""}'}",,17K191      ,
321000010056,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1915-07-01T00:00:00.000,M Oneill,X810,40,42902,Field Support Center - Bronx,"{'latitude': '40.875481', 'longitude': '-73.874912', 'human_address': '{""address"": ""341 EAST 207 STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10467""}'}",,10X056      ,
332000010105,"COSTANTINO, KARINA",COMMUNITY SCHOOL DISTRICT 20,1926-07-01T00:00:00.000,JOHANNA CASTRONOVO,K820,7,21400,Field Support Center - Brooklyn South,"{'latitude': '40.63332', 'longitude': '-74.003635', 'human_address': '{""address"": ""1031 59 STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11219""}'}",,20K105      ,
320700010161,"ALVAREZ, ELISA",COMMUNITY SCHOOL DISTRICT 07,1968-07-01T00:00:00.000,Eliamarie Soto,X807,35,7900,Field Support Center - Bronx,"{'latitude': '40.814168', 'longitude': '-73.905233', 'human_address': '{""address"": ""628 TINTON AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10455""}'}",,07X161      ,
310300010076,"ALTSCHUL, ILENE",COMMUNITY SCHOOL DISTRICT 03,1965-07-01T00:00:00.000,CHARLES DEBERRY,M803,36,22000,Field Support Center - Manhattan,"{'latitude': '40.806534', 'longitude': '-73.951451', 'human_address': '{""address"": ""220 WEST 121 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10027""}'}",,03M076      ,
310200011400,,,1996-06-05T00:00:00.000,Amber Najmi Shadid,HS04,10,13900,Field Support Center - Manhattan,"{'latitude': '40.767848', 'longitude': '-73.98861', 'human_address': '{""address"": ""444 WEST 56 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10019""}'}",,02M400      ,
321100010121,"ROSS PORTER, MEISHA",COMMUNITY SCHOOL DISTRICT 11,1953-07-01T00:00:00.000,Gloria Martinez,X10C,12,34800,Field Support Center - Bronx,"{'latitude': '40.866474', 'longitude': '-73.85051', 'human_address': '{""address"": ""2750 THROOP AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10469""}'}",,11X121      ,
321100011418,,,2001-07-01T00:00:00.000,IRIS WITHERSPOON,HS02,12,22800,Field Support Center - Bronx,"{'latitude': '40.851577', 'longitude': '-73.864438', 'human_address': '{""address"": ""2040 ANTIN PL"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10462""}'}",,11X418      ,
321100010287,"ROSS PORTER, MEISHA",COMMUNITY SCHOOL DISTRICT 11,2005-07-01T00:00:00.000,Magdalen Neyra,X10C,2,39000,Field Support Center - Bronx,"{'latitude': '40.880649', 'longitude': '-73.860126', 'human_address': '{""address"": ""3710 BARNES AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10467""}'}",,11X287      ,
310200010276,"LABOY, BONNIE",COMMUNITY SCHOOL DISTRICT 02,2009-07-01T00:00:00.000,Theresa Ruyter,M802,32,31704,Field Support Center - Manhattan,"{'latitude': '40.706384', 'longitude': '-74.017456', 'human_address': '{""address"": ""55 BATTERY PLACE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10280""}'}",,02M276      ,
310200010310,"ESTRELLA, ALEXANDRA",COMMUNITY SCHOOL DISTRICT 04,2017-07-01T00:00:00.000,Andrew Brown,DA79,35,15602,Field Support Center - Manhattan,"{'latitude': '40.784112', 'longitude': '-73.945647', 'human_address': '{""address"": ""321 EAST 96 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10128""}'}",,04M310      ,
310600010098,"RAMIREZ, MANUEL",COMMUNITY SCHOOL DISTRICT 06,1924-07-01T00:00:00.000,MARITZA RODRIGUEZ,M806,39,30300,Field Support Center - Manhattan,"{'latitude': '40.867741', 'longitude': '-73.917814', 'human_address': '{""address"": ""512 WEST 212 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10034""}'}",,06M098      ,
310200011288,,,2004-09-08T00:00:00.000,ROGER TURGEON,HS04,10,13500,Field Support Center - Manhattan,"{'latitude': '40.765474', 'longitude': '-73.9927', 'human_address': '{""address"": ""525 WEST 50TH STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10019""}'}",02M288      ,,
321100011288,,,2004-09-08T00:00:00.000,Fredrick Nelson,HS02,12,32400,Field Support Center - Bronx,"{'latitude': '40.860443', 'longitude': '-73.860729', 'human_address': '{""address"": ""925 ASTOR AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10469""}'}",,11X288      ,
331700010091,"ELLIS, CLARENCE",COMMUNITY SCHOOL DISTRICT 17,1904-07-01T00:00:00.000,Tessa Alleyne,K817,17,80600,Field Support Center - Brooklyn South,"{'latitude': '40.661806', 'longitude': '-73.940707', 'human_address': '{""address"": ""532 ALBANY AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11203""}'}",,17K091      ,
320900010063,"RODRIGUEZ-ROSARIO, LETICIA",COMMUNITY SCHOOL DISTRICT 09,1924-07-01T00:00:00.000,REINALDO DIAZ LENS,X809,42,14900,Field Support Center - Bronx,"{'latitude': '40.83093', 'longitude': '-73.901859', 'human_address': '{""address"": ""1260 FRANKLIN AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10456""}'}",,09X063      ,
320800010424,"AMES, KAREN",COMMUNITY SCHOOL DISTRICT 08,2008-07-01T00:00:00.000,DAVID VAZQUEZ,X808,43,11700,Field Support Center - Bronx,"{'latitude': '40.815827', 'longitude': '-73.885284', 'human_address': '{""address"": ""730 BRYANT AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10474""}'}",,08X424      ,
321000010226,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1999-07-01T00:00:00.000,GLORIA DARDEN,X810,29,24900,Field Support Center - Bronx,"{'latitude': '40.855822', 'longitude': '-73.916076', 'human_address': '{""address"": ""1950 SEDGWICK AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10453""}'}",,10X226      ,
331300010054,"FREEMAN, BARBARA",COMMUNITY SCHOOL DISTRICT 13,1922-07-01T00:00:00.000,Anthony Pirro,K813,38,24100,Field Support Center - Brooklyn North,"{'latitude': '40.692616', 'longitude': '-73.952504', 'human_address': '{""address"": ""195 SANDFORD STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11205""}'}",,13K054      ,
33160001030800.00%,"AMON, RAHESHA",COMMUNITY SCHOOL DISTRICT 16,1975-07-01T00:00:00.000,Sharon Odwin,K816,49,29300,Field Support Center - Brooklyn North,"{'latitude': '40.688323', 'longitude': '-73.935509', 'human_address': '{""address"": ""616 QUINCY STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11221""}'}",,16K308      ,
310100010020,"PHILLIPS, DANIELLA",COMMUNITY SCHOOL DISTRICT 01,1963-07-01T00:00:00.000,SARAH PINTO VIAGRAN,M801,32,3001,Field Support Center - Manhattan,"{'latitude': '40.721305', 'longitude': '-73.986312', 'human_address': '{""address"": ""166 ESSEX STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}",,01M020      ,
331400010257,"WINNICKI, ALICJA",COMMUNITY SCHOOL DISTRICT 14,1962-07-01T00:00:00.000,BRIAN DE VALE,K814,30,49100,Field Support Center - Brooklyn North,"{'latitude': '40.702759', 'longitude': '-73.941345', 'human_address': '{""address"": ""60 COOK STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11206""}'}",,14K257      ,
331900011615,,,1941-07-01T00:00:00.000,Marlon Bynum,HS05,37,119600,Field Support Center - Brooklyn North,"{'latitude': '40.67878', 'longitude': '-73.875328', 'human_address': '{""address"": ""1 WELLS STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11208""}'}",19K615      ,,
321100011270,,,2005-07-01T00:00:00.000,ZENOBIA WHITE,HS02,2,40400,Field Support Center - Bronx,"{'latitude': '40.888242', 'longitude': '-73.852714', 'human_address': '{""address"": ""921 EAST 228TH STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10466""}'}",,11X270      ,
310200010281,"LABOY, BONNIE",COMMUNITY SCHOOL DISTRICT 02,2013-07-01T00:00:00.000,JESSICA ORLEANS,M802,51,8601,Field Support Center - Manhattan,"{'latitude': '40.744288', 'longitude': '-73.972592', 'human_address': '{""address"": ""425 EAST 35TH STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10016""}'}",,02M281      ,
310400010012,"ESTRELLA, ALEXANDRA",COMMUNITY SCHOOL DISTRICT 04,1999-07-01T00:00:00.000,JANETTE CESAR,M804,35,17000,Field Support Center - Manhattan,"{'latitude': '40.792556', 'longitude': '-73.942285', 'human_address': '{""address"": ""240 EAST 109 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10029""}'}",,04M012      ,
342700010056,"BARTON, MARY",COMMUNITY SCHOOL DISTRICT 27,1896-07-01T00:00:00.000,ANN LEITER,Q827,41,13000,Field Support Center - Queens South,"{'latitude': '40.698989', 'longitude': '-73.835735', 'human_address': '{""address"": ""86-10 114 STREET"", ""city"": ""QUEENS"", ""state"": ""NY"", ""zip"": ""11418""}'}",,27Q056      ,
331800010285,"WILKINS, BEVERLY",COMMUNITY SCHOOL DISTRICT 18,1954-07-01T00:00:00.000,George Patterson,K818,26,93600,Field Support Center - Brooklyn South,"{'latitude': '40.647818', 'longitude': '-73.920784', 'human_address': '{""address"": ""5909 BEVERLY ROAD"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11203""}'}",,18K285      ,
310200011550,,,1999-07-01T00:00:00.000,Rhonda Huegel,HS10,10,8100,Field Support Center - Manhattan,"{'latitude': '40.74182', 'longitude': '-74.000238', 'human_address': '{""address"": ""250 WEST 18 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10011""}'}",,,02M550      
310200010077,"LABOY, BONNIE",COMMUNITY SCHOOL DISTRICT 02,1999-07-01T00:00:00.000,Sandra Miller,M802,1,15801,Field Support Center - Manhattan,"{'latitude': '40.785018', 'longitude': '-73.95042', 'human_address': '{""address"": ""1700 3 AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10128""}'}",,02M077      ,
310200011546,,,2012-07-01T00:00:00.000,Seung Yu,HS07,50,5000,Affinity Group,"{'latitude': '40.735361', 'longitude': '-73.987064', 'human_address': '{""address"": ""40 IRVING PLACE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10003""}'}",02M546      ,,
31020001004100.00%,"LABOY, BONNIE",COMMUNITY SCHOOL DISTRICT 02,1958-07-01T00:00:00.000,KELLY SHANNON,M802,10,7100,Field Support Center - Manhattan,"{'latitude': '40.73545', 'longitude': '-73.999094', 'human_address': '{""address"": ""116 WEST 11 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10011""}'}",,02M041      ,
331900860958,,OFFICE OF CHARTER SCHOOLS,2009-07-01T00:00:00.000,Desiree Kirton,,25,120800,,"{'latitude': '40.669356', 'longitude': '-73.867138', 'human_address': '{""address"": ""2635 LINDEN BOULEVARD"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11208""}'}",,84K740      ,
310600010209,"RAMIREZ, MANUEL",COMMUNITY SCHOOL DISTRICT 06,2014-07-01T00:00:00.000,BENJAMIN LEV,M806,23,22301,Field Support Center - Manhattan,"{'latitude': '40.82051', 'longitude': '-73.952023', 'human_address': '{""address"": ""500 WEST 138 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10031""}'}",,06M209      ,
331400011558,,,2004-09-08T00:00:00.000,GILL CORNELL,HS05,38,51900,Field Support Center - Brooklyn North,"{'latitude': '40.715561', 'longitude': '-73.954815', 'human_address': '{""address"": ""257 NORTH 6 STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11211""}'}",14K558      ,,
321000010159,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1992-02-19T00:00:00.000,LUIS LIZ,X810,22,38500,Field Support Center - Bronx,"{'latitude': '40.85568', 'longitude': '-73.893136', 'human_address': '{""address"": ""2315 WASHINGTON AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10458""}'}",,10X159      ,
321000010051,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1992-05-05T00:00:00.000,Min Hong,X810,22,39100,Field Support Center - Bronx,"{'latitude': '40.850674', 'longitude': '-73.886997', 'human_address': '{""address"": ""695 EAST 182ND STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10457""}'}",,10X051      ,
310600010218,"RAMIREZ, MANUEL",COMMUNITY SCHOOL DISTRICT 06,1991-07-01T00:00:00.000,JUNE BARNETT,M806,39,28500,Field Support Center - Manhattan,"{'latitude': '40.860951', 'longitude': '-73.930082', 'human_address': '{""address"": ""4600 BROADWAY"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10040""}'}",,06M218      ,
321000010059,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1921-07-01T00:00:00.000,Sita Basu,X810,22,39500,Field Support Center - Bronx,"{'latitude': '40.853141', 'longitude': '-73.893639', 'human_address': '{""address"": ""2185 BATHGATE AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10457""}'}",,10X059      ,
331800010272,"WILKINS, BEVERLY",COMMUNITY SCHOOL DISTRICT 18,1957-07-01T00:00:00.000,DAKOTA KEYES,K818,8,103400,Field Support Center - Brooklyn South,"{'latitude': '40.635542', 'longitude': '-73.886373', 'human_address': '{""address"": ""101-24 SEAVIEW AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11236""}'}",,18K272      ,
310500011670,"RUX, DANIKA",COMMUNITY SCHOOL DISTRICT 05,1999-07-01T00:00:00.000,Sean Davenport,M805,36,22800,Affinity Group,"{'latitude': '40.815237', 'longitude': '-73.944299', 'human_address': '{""address"": ""200-214 WEST 135TH STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10030""}'}",,05M670      ,
331700011546,,,2003-07-01T00:00:00.000,Sean Rice,HS07,11,81000,Affinity Group,"{'latitude': '40.658671', 'longitude': '-73.943839', 'human_address': '{""address"": ""600 KINGSTON AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11203""}'}",,17K546      ,
331600010021,"AMON, RAHESHA",COMMUNITY SCHOOL DISTRICT 16,1956-07-01T00:00:00.000,Leslie Frazier,K816,49,38100,Field Support Center - Brooklyn North,"{'latitude': '40.68035', 'longitude': '-73.926673', 'human_address': '{""address"": ""180 CHAUNCEY STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11233""}'}",,16K021      ,
321000010206,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1980-07-01T00:00:00.000,RAFAEL CABRAL,X810,29,25300,Field Support Center - Bronx,"{'latitude': '40.859534', 'longitude': '-73.906285', 'human_address': '{""address"": ""2280 AQUEDUCT AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10468""}'}",,10X206      ,
321000010009,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1938-07-01T00:00:00.000,JACQUELINE BAILEY,X810,22,38301,Field Support Center - Bronx,"{'latitude': '40.85644', 'longitude': '-73.898821', 'human_address': '{""address"": ""230 EAST 183 STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10458""}'}",,10X009      ,
331800011642,,,2008-07-01T00:00:00.000,Steve Dorcely,HS06,8,99000,Field Support Center - Brooklyn South,"{'latitude': '40.640543', 'longitude': '-73.898601', 'human_address': '{""address"": ""1600 ROCKAWAY PARKWAY"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11236""}'}",,18K642      ,
310200011543,,,2003-07-01T00:00:00.000,SCOTT CONTI,HS07,32,1800,Affinity Group,"{'latitude': '40.717329', 'longitude': '-73.989329', 'human_address': '{""address"": ""350 GRAND STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}",,02M543      ,
331700010012,"ELLIS, CLARENCE",COMMUNITY SCHOOL DISTRICT 17,1993-07-01T00:00:00.000,NYREE DIXON,K817,17,36300,Field Support Center - Brooklyn South,"{'latitude': '40.673124', 'longitude': '-73.920095', 'human_address': '{""address"": ""430 HOWARD AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11233""}'}",,17K012      ,
320700011495,,,1996-06-05T00:00:00.000,Hazel Joseph Roseboro,HS12,43,7100,Affinity Group,"{'latitude': '40.818041', 'longitude': '-73.911633', 'human_address': '{""address"": ""701 ST. ANNS AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10455""}'}",,07X495      ,
321000011141,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1957-07-01T00:00:00.000,LORI OMARA,X810,40,30900,Field Support Center - Bronx,"{'latitude': '40.887407', 'longitude': '-73.914141', 'human_address': '{""address"": ""660 WEST 237 STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10463""}'}",,10X141      ,
331900010171,THOMAS MCBRYDE JR,COMMUNITY SCHOOL DISTRICT 19,1912-07-01T00:00:00.000,Indira Mota,K819,37,118400,Field Support Center - Brooklyn North,"{'latitude': '40.685852', 'longitude': '-73.869434', 'human_address': '{""address"": ""528 RIDGEWOOD AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11208""}'}",,19K171      ,
321200010536,"ESPINAL PACHECO, RAFAELA",COMMUNITY SCHOOL DISTRICT 12,2011-07-01T00:00:00.000,JESSE YARBROUGH,X812,31,21601,Field Support Center - Bronx,"{'latitude': '40.838151', 'longitude': '-73.866038', 'human_address': '{""address"": ""1827 ARCHER STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10460""}'}",,12X536      ,
331800011576,,,2007-07-01T00:00:00.000,Claubentz Dieujuste,HS06,8,95000,Field Support Center - Brooklyn South,"{'latitude': '40.634451', 'longitude': '-73.916927', 'human_address': '{""address"": ""6565 FLATLANDS AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11236""}'}",,18K576      ,
321200010214,"ESPINAL PACHECO, RAFAELA",COMMUNITY SCHOOL DISTRICT 12,1999-07-01T00:00:00.000,DAVID CINTRON,X812,43,6000,Field Support Center - Bronx,"{'latitude': '40.839297', 'longitude': '-73.879931', 'human_address': '{""address"": ""1970 WEST FARMS ROAD"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10460""}'}",,12X214      ,
331300011439,,,1999-07-01T00:00:00.000,Kathleen Rucker,HS12,38,1500,Affinity Group,"{'latitude': '40.69733', 'longitude': '-73.984528', 'human_address': '{""address"": ""49 FLATBUSH AVENUE EXTENSION"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11201""}'}",,13K439      ,
