ats_system_code,location_code,location_name,primary_building_code,community_district,:@computed_region_efsh_h5xi,highschool_network_name,:@computed_region_sbqj_enih,fiscal_year,field_support_center_leader_name
09X311      ,X311,Lucero Elementary School,X064,204,10930.0,,27,2018,"RUIZ, JOSE"
13K067      ,K067,P.S. 067 Charles A. Dorsey,K067,302,17212.0,,55,2018,"FITZGERALD, BERNADETTE"
01M142      ,M142,P.S. 142 Amalia Castro,M142,103,11723.0,,4,2018,"CHU, YUET"
10X023      ,X023,P.S. 023 The New Children's School,X023,206,10935.0,,31,2018,"RUIZ, JOSE"
04M964      ,M964,Central Park East II,M171,111,12426.0,,14,2018,"CHU, YUET"
11X556      ,X556,Bronx Park Middle School,X135,211,11605.0,,32,2018,"RUIZ, JOSE"
19K422      ,K422,Spring Creek Community School,K422,305,17215.0,H.S. Network 05 Superintendent Office,47,2018,"FITZGERALD, BERNADETTE"
11X194      ,X194,P.S./M.S. 194,X194,210,11271.0,,28,2018,"RUIZ, JOSE"
11X462      ,X462,Cornerstone Academy for Social Action Middle Schoo,X189,212,12344.0,,30,2018,"RUIZ, JOSE"
19K510      ,K510,World Academy for Total Community Health High Scho,K435,305,17214.0,H.S. Network 07 Superintendent Office,47,2018,"ANORMALIZA, ALEXANDRA"
02M407      ,M407,Institute for Collaborative Education,M475,106,11724.0,H.S. Network 12 Superintendent Office,7,2018,"ANORMALIZA, ALEXANDRA"
17K354      ,K354,The School of Integrated Learning,K390,308,17615.0,,49,2018,Mauriciere de Govia
20K030      ,K030,P.S./I.S. 30 Mary White Ovington,K331,310,17216.0,,41,2018,Mauriciere de Govia
09X260      ,X260,Bronx Center for Science and Mathematics,X002,203,10934.0,H.S. Network 08 Superintendent Office,25,2018,"ANORMALIZA, ALEXANDRA"
08X130      ,X130,P.S. 130 Abram Stevens Hewitt,X130,202,10933.0,,24,2018,"RUIZ, JOSE"
07X473      ,X473,Mott Haven Village Preparatory High School,X470,201,10933.0,H.S. Network 02 Superintendent Office,23,2018,"RUIZ, JOSE"
19K065      ,K065,P.S. 065,K798,305,17215.0,,47,2018,"FITZGERALD, BERNADETTE"
13K009      ,K009,P.S. 009 Teunis G. Bergen,K009,308,13829.0,,49,2018,"FITZGERALD, BERNADETTE"
02M316      ,M316,"Urban Assembly School of Business for Young Women,",M282,101,11725.0,H.S. Network 03 Superintendent Office,1,2018,"ANORMALIZA, ALEXANDRA"
05M046      ,M046,P.S. 046 Arthur Tappan,M046,110,13097.0,,20,2018,"CHU, YUET"
10X396      ,X396,P.S. 396,X026,205,10931.0,,29,2018,"RUIZ, JOSE"
10X390      ,X39,M.S. 390,X026,205,10931.0,,29,2018,"RUIZ, JOSE"
15K516      ,K516,Sunset Park Avenues Elementary School,K333,307,13515.0,,45,2018,"FITZGERALD, BERNADETTE"
18K581      ,K581,East Flatbush Community Research School,K232,317,16866.0,,40,2018,Mauriciere de Govia
12X061      ,X06,P.S. 061 Francisco Oller,X061,203,11269.0,,25,2018,"RUIZ, JOSE"
15K015      ,K015,P.S. 015 Patrick F. Daly,K015,306,13514.0,,48,2018,"FITZGERALD, BERNADETTE"
17K246      ,K246,M.S. 246 Walt Whitman,K246,317,13510.0,,40,2018,Mauriciere de Govia
14K018      ,K018,P.S. 018 Edward Bush,K018,301,17213.0,,56,2018,"FITZGERALD, BERNADETTE"
16K025      ,K025,P.S. 025 Eubie Blake School,K025,303,18181.0,,51,2018,"FITZGERALD, BERNADETTE"
12X458      ,X458,Samara Community School,X050,203,11269.0,,25,2018,"RUIZ, JOSE"
07X547      ,X547,New Explorers High School,X790,204,10929.0,H.S. Network 02 Superintendent Office,27,2018,"RUIZ, JOSE"
10X268      ,X268,Kingsbridge International High School,X430,207,11606.0,H.S. Network 03 Superintendent Office,34,2018,"ANORMALIZA, ALEXANDRA"
17K189      ,K189,P.S. 189 The Bilingual Center,K189,317,17614.0,,40,2018,Mauriciere de Govia
13K350      ,K350,Urban Assembly School for Music and Art,K805,302,16865.0,H.S. Network 05 Superintendent Office,54,2018,"FITZGERALD, BERNADETTE"
07X369      ,X369,Young Leaders Elementary School,X040,201,10932.0,,23,2018,"RUIZ, JOSE"
01M378      ,M378,School for Global Leaders,M025,103,11723.0,,4,2018,"CHU, YUET"
19K618      ,K618,Academy of Innovative Technology,K420,305,17215.0,H.S. Network 07 Superintendent Office,47,2018,"ANORMALIZA, ALEXANDRA"
04M495      ,M495,Park East High School,M495,111,12426.0,H.S. Network 07 Superintendent Office,14,2018,"CHU, YUET"
05M692      ,M692,"High School for Mathematics, Science and Engineeri",M812,109,12428.0,H.S. Network 07 Superintendent Office,17,2018,"CHU, YUET"
01M140      ,M140,P.S. 140 Nathan Straus,M140,103,11723.0,,4,2018,"CHU, YUET"
01M110      ,M110,P.S. 110 Florence Nightingale,M110,103,11723.0,,4,2018,"CHU, YUET"
84K473      ,K473,Williamsburg Charter High School,KBYQ,301,17213.0,,56,2018,
15K519      ,K519,Cobble Hill School of American Studies,K804,306,16865.0,HS Network 06 Superintendent Office,48,2018,"FITZGERALD, BERNADETTE"
08X392      ,X392,Bronx Delta School,X192,210,11274.0,,28,2018,"RUIZ, JOSE"
02M139       ,M139,Stephen T. Mather Building Arts & Craftsmanship Hi,M625,104,12081.0,H.S. Network 03 Superintendent Office,10,2018,"ANORMALIZA, ALEXANDRA"
10X032      ,X032,P.S. 032 Belmont,X032,206,10935.0,,31,2018,"RUIZ, JOSE"
08X072      ,X072,P.S. 072 Dr. William Dorney,X072,210,11274.0,,28,2018,"RUIZ, JOSE"
10X264      ,X264,Bronx Academy for Software Engineering (BASE),X660,206,10936.0,H.S. Network 02 Superintendent Office,31,2018,"RUIZ, JOSE"
02M580      ,M580,Richard R. Green High School of Teaching,M282,101,11725.0,HS Network 04 Superintendent Office,1,2018,"CHU, YUET"
11X566      ,X566,Pelham Gardens Middle School,X144,211,11607.0,,32,2018,"RUIZ, JOSE"
20K062      ,K062,J.H.S. 062 Ditmas,K062,312,17620.0,,39,2018,Mauriciere de Govia
17K528      ,k528,The High School for Global Citizenship,K440,309,13509.0,,44,2018,Mauriciere de Govia
03M299      ,M299,The Maxine Greene HS for Imaginative Inquiry,M490,107,12420.0,H.S. Network 03 Superintendent Office,12,2018,"ANORMALIZA, ALEXANDRA"
20K445      ,K445,New Utrecht High School,K445,311,17616.0,HS Network 06 Superintendent Office,37,2018,Mauriciere de Govia
01M292      ,M292,Orchard Collegiate Academy,M056,103,11723.0,,4,2018,"CHU, YUET"
17K547      ,K547,Brooklyn Academy of Science and the Environment,K440,309,13509.0,H.S. Network 07 Superintendent Office,44,2018,"ANORMALIZA, ALEXANDRA"
07X221      ,X221,South Bronx Preparatory: A College Board School,X149,201,10932.0,H.S. Network 02 Superintendent Office,23,2018,"RUIZ, JOSE"
18K563      ,K563,It Takes a Village Academy,K415,317,16866.0,HS Network 06 Superintendent Office,40,2018,Mauriciere de Govia
15K169      ,K169,P.S. 169 Sunset Park,K169,307,18180.0,,45,2018,"FITZGERALD, BERNADETTE"
03M242      ,M242,P.S. 242 - The Young Diplomats Magnet Academy,M144,110,12424.0,,18,2018,"CHU, YUET"
06M189      ,M189,P.S. 189,M189,112,13098.0,,22,2018,"CHU, YUET"
06M187      ,M187-,P.S./I.S. 187 Hudson Cliffs,M187,112,13098.0,,22,2018,"CHU, YUET"
13K313      ,K313,Dock Street School for STEAM Studies,K611,302,16865.0,,54,2018,"FITZGERALD, BERNADETTE"
09X218      ,X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,X235,204,10930.0,,27,2018,"RUIZ, JOSE"
04M146      ,M1 46,P.S. 146 Ann M. Short,M146,111,12426.0,,14,2018,"CHU, YUET"
06M052      ,M052,J.H.S. 052 Inwood,M052,112,13098.0,,22,2018,"CHU, YUET"
20K204      ,K204,P.S. 204 Vince Lombardi,K204,311,13511.0,,37,2018,Mauriciere de Govia
12X134      ,X134,P.S. 134 George F. Bristow,X134,203,10937.0,,25,2018,"RUIZ, JOSE"
10X374      ,X374,Knowledge and Power Preparatory Academy Internatio,X435,206,10936.0,H.S. Network 08 Superintendent Office,31,2018,"ANORMALIZA, ALEXANDRA"
10X141      ,X141,Riverdale / Kingsbridge Academy (Middle School / H,X141,208,11272.0,,33,2018,"RUIZ, JOSE"
15K667      ,K667,Sunset Park High School,K564,307,13515.0,HS Network 06 Superintendent Office,45,2018,"FITZGERALD, BERNADETTE"
02M507      ,M507,Urban Assembly Gateway School for Technology,M625,104,12081.0,H.S. Network 03 Superintendent Office,10,2018,"ANORMALIZA, ALEXANDRA"
16K040      ,K040,P.S. 040 George W. Carver,K040,303,13516.0,,52,2018,"FITZGERALD, BERNADETTE"
18K068      ,K068,I.S. 068 Isaac Bildersee,K068,318,13827.0,,42,2018,Mauriciere de Govia
20K247      ,K247,P.S. 247 Brooklyn,K247,311,16867.0,,37,2018,Mauriciere de Govia
03M250      ,M250,M.S. 250 West Side Collaborative Middle School,M075,107,12422.0,,15,2018,"CHU, YUET"
03M076      ,M076,P.S. 076 A. Philip Randolph,M076,110,12424.0,,18,2018,"CHU, YUET"
15K130      ,K130,P.S. 130 The Parkside,K130,307,17620.0,,45,2018,"FITZGERALD, BERNADETTE"
02M489      ,M489,High School of Economics and Finance,M833,101,11727.0,HS Network 04 Superintendent Office,1,2018,"CHU, YUET"
24Q744      ,Q744,VOYAGES Preparatory,Q744,404,14784.0,H.S. Network 08 Superintendent Office,68,2018,"ANORMALIZA, ALEXANDRA"
02M104      ,M104,J.H.S. 104 Simon Baruch,M104,106,12073.0,,7,2018,"CHU, YUET"
13K691      ,K691,Fort Greene Preparatory Academy,K046,302,17212.0,,55,2018,"FITZGERALD, BERNADETTE"
15K029      ,K029,P.S. 029 John M. Harrigan,K029,306,16865.0,,48,2018,"FITZGERALD, BERNADETTE"
20K185      ,K185,P.S. 185 Walter Kassenbrock,K185,310,17216.0,,41,2018,Mauriciere de Govia
13K430      ,K430,Brooklyn Technical High School,K430,302,17619.0,H.S. Network 05 Superintendent Office,55,2018,"FITZGERALD, BERNADETTE"
01M450      ,M450,East Side Community School,M060,103,11729.0,H.S. Network 12 Superintendent Office,5,2018,"ANORMALIZA, ALEXANDRA"
14K157      ,K157,P.S./I.S. 157 The Benjamin Franklin Health & Scien,K157,303,17212.0,,51,2018,"FITZGERALD, BERNADETTE"
13K499      ,K499,ACORN Community High School,K909,308,13829.0,H.S. Network 05 Superintendent Office,49,2018,"FITZGERALD, BERNADETTE"
06M368      ,M368,Hamilton Heights School,M153,109,12428.0,,19,2018,"CHU, YUET"
02M282      ,M282,Urban Assembly Maker Academy,M520,101,13096.0,H.S. Network 03 Superintendent Office,2,2018,"ANORMALIZA, ALEXANDRA"
20K163      ,K163,P.S. 163 Bath Beach,K807,311,17616.0,,37,2018,Mauriciere de Govia
06M004      ,M004,P.S. 004 Duke Ellington,M004,112,13090.0,,21,2018,"CHU, YUET"
08X301      ,X301,M.S. 301 Paul L. Dunbar,X120,203,10934.0,,25,2018,"RUIZ, JOSE"
02M198      ,M198,P.S. 198 Isador E. Ida Straus,M198,108,10099.0,,11,2018,"CHU, YUET"
09X263      ,X26,Validus Preparatory Academy,X970,203,10935.0,H.S. Network 09 Superintendent Office,25,2018,"RUIZ, JOSE"
11X290      ,X290,Bronx Academy of Health Careers,X425,212,11605.0,H.S. Network 08 Superintendent Office,30,2018,"ANORMALIZA, ALEXANDRA"
09X241      ,X241,Urban Assembly School for Applied Math and Science,X970,203,10935.0,H.S. Network 03 Superintendent Office,25,2018,"ANORMALIZA, ALEXANDRA"
27Q273      ,Q273,P.S. 273,Q273,409,24014.0,,60,2018,"WILKS, MARLENE"
05M302      ,M302,KAPPA IV,M136,110,12427.0,,20,2018,"CHU, YUET"
09X525      ,X525,Bronx Leadership Academy High School,X876,203,10935.0,H.S. Network 09 Superintendent Office,25,2018,"RUIZ, JOSE"
03M307      ,M307,"Urban Assembly School for Media Studies, The",M490,107,12420.0,H.S. Network 03 Superintendent Office,12,2018,"ANORMALIZA, ALEXANDRA"
10X205      ,X205,P.S. 205 Fiorello LaGuardia,X205,206,10936.0,,31,2018,"RUIZ, JOSE"
04M497      ,M497,Central Park East I,M013,111,12426.0,,14,2018,"CHU, YUET"
11X513      ,X513,New World High School,X362,212,11275.0,H.S. Network 02 Superintendent Office,30,2018,"RUIZ, JOSE"
02M475      ,M475,Stuyvesant High School,M477,101,10368.0,HS Network 04 Superintendent Office,1,2018,"CHU, YUET"
06M463      ,M463,High School for Media and Communications,M465,112,13098.0,,22,2018,"CHU, YUET"
08X071      ,X071,P.S. 071 Rose E. Scala,X071,210,11270.0,,28,2018,"RUIZ, JOSE"
14K110      ,K110,P.S. 110 The Monitor,K110,301,18182.0,,57,2018,"FITZGERALD, BERNADETTE"
04M825      ,M825,Isaac Newton Middle School for Math & Science,M435,111,12426.0,,16,2018,"CHU, YUET"
14K126      ,K126,John Ericsson Middle School 126,K126,301,18182.0,,57,2018,"FITZGERALD, BERNADETTE"
14K250      ,K250,P.S. 250 George H. Lindsay,K250,301,17213.0,,56,2018,"FITZGERALD, BERNADETTE"
10X209      ,X209,P.S. 209,X209,205,10936.0,,29,2018,"RUIZ, JOSE"
04M037      ,M037,River East Elementary,M206,111,13093.0,,16,2018,"CHU, YUET"
03M505      ,M505,Edward A. Reynolds West Side High School,M506,107,12422.0,HS Network 10 Superintendent Office,15,2018,"CHU, YUET"
15K676      ,K676,Red Hook Neighborhood School,K027,306,13514.0,,48,2018,"FITZGERALD, BERNADETTE"
19K292      ,K292,J.H.S. 292 Margaret S. Douglas,K292,305,17214.0,,47,2018,"FITZGERALD, BERNADETTE"
02M570      ,M570,Satellite Academy High School,M920,105,11722.0,HS Network 10 Superintendent Office,8,2018,"CHU, YUET"
1 1X299      ,X299,Astor Collegiate Academy,X415,211,11607.0,H.S. Network 08 Superintendent Office,32,2018,"ANORMALIZA, ALEXANDRA"
02M289      ,M289_,I.S. 289,M089,101,10368.0,,1,2018,"CHU, YUET"
04M072      ,M072,The Lexington Academy,M072,111,12426.0,,14,2018,"CHU, YUET"
08X562      ,X562,Blueprint Middle School,X125,209,11610.0,,26,2018,"RUIZ, JOSE"
15K592      ,K592,Khalil Gibran International Academy,K806,302,17619.0,H.S. Network 07 Superintendent Office,54,2018,"ANORMALIZA, ALEXANDRA"
09X215      ,X215,Kappa,X148,203,10934.0,,25,2018,"RUIZ, JOSE"
10X442      ,X442,"Celia Cruz Bronx High School of Music, The",X430,207,11606.0,H.S. Network 03 Superintendent Office,34,2018,"ANORMALIZA, ALEXANDRA"
05M133      ,M133,P.S. 133 Fred R Moore,M133,111,13095.0,,16,2018,"CHU, YUET"
06M278      ,M278,Paula Hedbavny School,M918,112,13092.0,,22,2018,"CHU, YUET"
02M586      ,M586,Harvey Milk High School,M807,102,11724.0,HS Network 10 Superintendent Office,5,2018,"CHU, YUET"
10X254      ,X254,I.S. 254,X254,206,10936.0,,31,2018,"RUIZ, JOSE"
06M311      ,M311,Amistad Dual Language School,M176,112,13092.0,,22,2018,"CHU, YUET"
13K605      ,K605,George Westinghouse Career and Technical Education,K580,302,16865.0,H.S. Network 05 Superintendent Office,54,2018,"FITZGERALD, BERNADETTE"
07X005      ,X005,P.S. 5 Port Morris,X005,201,10933.0,,23,2018,"RUIZ, JOSE"
19K654      ,K654,Van Siclen Community Middle School,K166,305,17214.0,,47,2018,"FITZGERALD, BERNADETTE"
84K182      ,K182,Success Academy Charter School - Williamsburg,K050,301,17613.0,,56,2018,
03M163      ,M163,P.S. 163 Alfred E. Smith,M163,107,12422.0,,15,2018,"CHU, YUET"
15K039      ,K039,P.S. 039 Henry Bristow,K039,306,17617.0,,50,2018,"FITZGERALD, BERNADETTE"
09X022      ,X022,J.H.S. 022 Jordan L. Mott,X022,204,10934.0,,27,2018,"RUIZ, JOSE"
10X086      ,X086,P.S. 086 Kingsbridge Heights,X086,207,11606.0,,34,2018,"RUIZ, JOSE"
09X250      ,X250,Eximius College Preparatory Academy: A College Boa,X002,203,10934.0,H.S. Network 09 Superintendent Office,25,2018,"RUIZ, JOSE"
11X103      ,X103,P.S. 103 Hector Fontanez,X103,212,11275.0,,30,2018,"RUIZ, JOSE"
07X031      ,x031,P.S./M.S. 031 The William Lloyd Garrison,X151,204,10929.0,,27,2018,"RUIZ, JOSE"
02M294      ,M294,Essex Street Academy,M445,103,11723.0,H.S. Network 12 Superintendent Office,4,2018,"ANORMALIZA, ALEXANDRA"
02M305      ,M305,"Urban Assembly Academy of Government and Law, The",M445,103,11723.0,H.S. Network 03 Superintendent Office,4,2018,"ANORMALIZA, ALEXANDRA"
11X468      ,X468,Pelham Academy of Academics and Community Engageme,X135,211,11605.0,,32,2018,"RUIZ, JOSE"
15K058      ,K058,P.S. 058 The Carroll,K058,306,13514.0,,48,2018,"FITZGERALD, BERNADETTE"
12X273      ,X273,Frederick Douglass Academy V. Middle School,X057,206,10935.0,,31,2018,"RUIZ, JOSE"
10X386      ,X386,School for Environmental Citizenship,X079,205,10931.0,,29,2018,"RUIZ, JOSE"
01M696      ,M696,Bard High School Early College,M097,103,11723.0,HS Network 04 Superintendent Office,4,2018,"CHU, YUET"
07X151      ,X151,J.H.S. 151 Lou Gehrig,X151,204,10929.0,,27,2018,"RUIZ, JOSE"
19K615      ,K615,Transit Tech Career and Technical Education High S,K615,305,17215.0,H.S. Network 05 Superintendent Office,47,2018,"FITZGERALD, BERNADETTE"
18K635      ,K635,Olympus Academy,K242,305,13830.0,H.S. Network 07 Superintendent Office,47,2018,"ANORMALIZA, ALEXANDRA"
19K583      ,K583,Multicultural High School,K420,305,17215.0,H.S. Network 07 Superintendent Office,47,2018,"FITZGERALD, BERNADETTE"
10X024      ,X024,P.S. 024 Spuyten Duyvil,X024,208,11272.0,,33,2018,"RUIZ, JOSE"
20K102      ,K102,P.S. 102 The Bayview,K102,310,17216.0,,41,2018,Mauriciere de Govia
17K061      ,K061,M.S. 061 Dr. Gladstone H. Atwell,K061,309,13509.0,,44,2018,Mauriciere de Govia
-02M545      ,M545,High School for Dual Language and Asian Studies,M445,103,11723.0,HS Network 04 Superintendent Office,4,2018,"CHU, YUET"
19K683      ,K683,"The School for Classics: An Academy of Thinkers, W",K218,305,17215.0,H.S. Network 07 Superintendent Office,47,2018,"FITZGERALD, BERNADETTE"
09X313      ,X313,I.S. 313 School of Leadership Development,X147,203,10935.0,,25,2018,"RUIZ, JOSE"
13K093      ,K093,P.S. 093 William H. Prescott,K093,303,17618.0,,51,2018,"FITZGERALD, BERNADETTE"
14K582      ,K582,M.S. 582,K196,301,17213.0,,56,2018,"FITZGERALD, BERNADETTE"
11X153      ,X153,P.S. 153 Helen Keller,X153,210,12344.0,,28,2018,"RUIZ, JOSE"
16k308      ,K308,P.S. 308 Clara Cardwell,K308,303,18181.0,,52,2018,"FITZGERALD, BERNADETTE"
15K462      ,K462,John Jay School for Law,K460,306,17617.0,HS Network 06 Superintendent Office,50,2018,"FITZGERALD, BERNADETTE"
02M534      ,M534,Harvest Collegiate High School,M883,102,12074.0,H.S. Network 12 Superintendent Office,3,2018,"ANORMALIZA, ALEXANDRA"
02M520      ,M520,Murry Bergtraum High School for Business Careers,M520,101,13096.0,HS Network 04 Superintendent Office,2,2018,"CHU, YUET"
14K031      ,K031,P.S. 031 Samuel F. Dupont,K031,301,18182.0,,57,2018,"FITZGERALD, BERNADETTE"
17K375      ,K375,P.S. 375 Jackie Robinson School,K320,309,13509.0,,44,2018,Mauriciere de Govia
04M083      ,M083,P.S. 083 Luis Munoz Rivera,M083,111,12426.0,,14,2018,"CHU, YUET"
11X111      ,X111,P.S. 111 Seton Falls,X111,212,11275.0,,30,2018,"RUIZ, JOSE"
01M301      ,M301,"Technology, Arts, and Sciences Studio",M019,103,11724.0,,5,2018,"CHU, YUET"
09X110      ,X110,P.S. 110 Theodore Schoenfeld,X110,203,10934.0,,25,2018,"RUIZ, JOSE"
15K656      ,K656,Brooklyn High School of the Arts,K655,302,17619.0,,54,2018,"FITZGERALD, BERNADETTE"
02M427      ,M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,M620,105,12078.0,HS Network 04 Superintendent Office,8,2018,"CHU, YUET"
02M126      ,M126,P.S. 126 Jacob August Riis,M126,103,13096.0,,2,2018,"CHU, YUET"
02M,M041,P.S. 041 Greenwich Village,M041,102,12074.0,,3,2018,"CHU, YUET"
11X326      ,X326,Bronx Green Middle School,X135,211,11605.0,,32,2018,"RUIZ, JOSE"
09X327      ,X327,Comprehensive Model School Project M.S. 327,X240,204,10930.0,,27,2018,"RUIZ, JOSE"
14K318      ,K318,I.S. 318 Eugenio Maria De Hostos,K318,301,17213.0,,56,2018,"FITZGERALD, BERNADETTE"
03M452      ,M452,P.S. 452,M191,107,12420.0,,12,2018,"CHU, YUET"
04M007      ,M007,P.S. 007 Samuel Stern,M007,111,13093.0,,16,2018,"CHU, YUET"
12X463      ,X463,Urban Scholars Community School,X198,203,10934.0,,25,2018,"RUIZ, JOSE"
15K024      ,K024,P.S. 024,K024,307,13515.0,,45,2018,"FITZGERALD, BERNADETTE"
19K760      ,K760,Highland Park Community School,K171,305,17215.0,,47,2018,"FITZGERALD, BERNADETTE"
10X094      ,X094,P.S. 094 Kings College School,X094,207,11605.0,,34,2018,"RUIZ, JOSE"
03M333      ,M333,P.S. 333 Manhattan School for Children,M118,107,12422.0,,15,2018,"CHU, YUET"
01M509      ,M509,Marta Valle High School,M025,103,11723.0,HS Network 04 Superintendent Office,4,2018,"CHU, YUET"
09X543      ,X543,High School for Violin and Dance,X400,203,10934.0,H.S. Network 09 Superintendent Office,25,2018,"RUIZ, JOSE"
02M459      ,M459,Manhattan International High School,M480,108,10090.0,H.S. Network 12 Superintendent Office,11,2018,"ANORMALIZA, ALEXANDRA"
09X329      ,X329,DreamYard Preparatory School,X410,204,10935.0,H.S. Network 09 Superintendent Office,27,2018,"RUIZ, JOSE"
20K310      ,K310,The School For Future Leaders,K310,310,17621.0,,41,2018,Mauriciere de Govia
02M290      ,M290,P.S. 290 Manhattan New School,M190,108,12425.0,,11,2018,"CHU, YUET"
02M340      ,M340,Sixth Avenue Elementary School,M340,105,12074.0,,7,2018,"CHU, YUET"
15K295      ,K295,P.S. 295,K845,307,17617.0,,45,2018,"FITZGERALD, BERNADETTE"
01M650      ,M650,Cascades High School,M510,103,11723.0,HS Network 10 Superintendent Office,2,2018,"CHU, YUET"
08X125      ,X125,J.H.S. 125 Henry Hudson,X125,209,11610.0,,26,2018,"RUIZ, JOSE"
06M468      ,M468,High School for Health Careers and Sciences,M465,112,13098.0,,22,2018,"CHU, YUET"
10X306      ,X306,P.S. 306,X306,205,10931.0,,29,2018,"RUIZ, JOSE"
17K353      ,K353,Elijah Stroud Middle School,K316,308,13829.0,,49,2018,Mauriciere de Govia
20K259      ,K259,J.H.S. 259 William Mckinley,K259,310,13511.0,,41,2018,Mauriciere de Govia
11X249      ,X249,Bronx Health Sciences High School,X455,210,12344.0,H.S. Network 02 Superintendent Office,28,2018,"RUIZ, JOSE"
08X062      ,X062,P.S. 062 Inocensio Casanova,X062,202,10933.0,,24,2018,"RUIZ, JOSE"
18K588      ,K588,Middle School for Art and Philosophy,K252,317,17614.0,,40,2018,Mauriciere de Govia
07X527      ,X527,Bronx Leadership Academy II High School,X790,204,10929.0,H.S. Network 08 Superintendent Office,27,2018,"ANORMALIZA, ALEXANDRA"
16K594       ,K594,Gotham Professional Arts Academy,K040,303,13516.0,H.S. Network 12 Superintendent Office,52,2018,"ANORMALIZA, ALEXANDRA"
18K279      ,K279,P.S. 279 Herman Schreiber,K279,318,13827.0,,42,2018,Mauriciere de Govia
