evt_sqlidentity,evt_parent,evt_perioduom,evt_priority,evt_completed_trunc,evt_isstype,evt_jobtype,evt_udfchkbox05,evt_udfchar05,evt_object,evt_udfchar01,evt_target,evt_udfchar08,evt_obtype,evt_freq,evt_desc,evt_reqm,evt_class
1915135,,,,,F,GTBR,-,,B582,3. HIGH,Nov 20 2019 12:00AM,Lefferts Pl. bet. Grand Ave. and St. Jam,S,,RAT TREATMENT for Brooklyn's Finest Garden,,
2026492,,,,,F,GTBR,-,,B505-GT001,2. MED,Nov 27 2020 12:00AM,,S,,Level clean fill and fill depression front of shed Sterling CG,,
2059243,,,,,F,GTBR,-,,X164-GT001,2. MED,Mar 23 2021 12:00AM,,S,,Soil request,,
1700442,,,,,F,GTBR,-,,Q484-GT002,1. LOW,Jul 16 2018 12:00AM,,S,,14 yards of soil mix,,
1021078,,,,Feb  7 2015 12:00AM,F,IS,-,,B-04,,Feb  7 2015  9:40AM,,S,,B-04,,
1823056,,,2-MED,,F,GTBR,-,,B531-GT001,2. MED,Mar  7 2019 12:00AM,,S,,3 of 3 Deliver 7 yds. of woodchips.,,
1885149,,,,,F,GTBR,-,,B514-GT001,1. LOW,Aug  9 2019 12:00AM,,S,,Two double high 4X8 beds,,
1569645,,,,Dec 14 2017 12:00AM,F,,-,,2123602356,,Dec 14 2017 12:00AM,,F,,F 2123602356 -V,,
2867,,,,Apr 23 2009 12:00AM,F,,-,,QZ484,,Apr 23 2009 12:00AM,,S,,S QZ484 -V,,
1872860,,,,,F,GTBR,-,,X318-GT001,3. HIGH,Jul  3 2019 12:00AM,,S,,4'x4' Bed construction and delivery,,
1192,,,,Apr 23 2009 12:00AM,F,,-,,Q396,,Apr 23 2009 12:00AM,,S,,S Q396 --> S Q-12,,
1862743,,,,,F,GTBR,+,,B499-GT001,2. MED,Jun  6 2019 12:00AM,,S,,(3 of 3)Tree stump removal.,,
1223365,,,,Dec 10 2015 12:00AM,F,IS,-,,B073-BLG1225,,Dec 10 2015  7:46AM,,S,,B073-BLG1225,,
2441558,,,,,F,GTBR,-,,B481-GT001,4. URG,Jul 18 2024 12:00AM,,S,,Delivery of pre-cut lumber SEE COMMENT - 7/28 VOLUNTEER DAY (2 of 4),,
2049059,,,,,F,GTBR,-,,M338-GT001,3. HIGH,Feb 22 2021 12:00AM,,S,,DELIVERY of 7 cubic yards of top soil to Neighbors of Vega Baja Garden,,
2155514,,,,,F,GTBR,-,,X303-GT001,2. MED,Jan 11 2022 12:00AM,,S,,2 of 6 Delivery of 14 Cubic Yards of Compost Soil Mix to Sweetgum Community Gard,,
1862882,,,,,F,GTBR,-,,B515-GT001,2. MED,Jun  7 2019 12:00AM,,S,,gate repair,,
1283584,,,,Apr 23 2016 12:00AM,F,IS,-,,Q-10,,Apr 23 2016 12:21PM,,S,,Q-10,,
2129136,,,,,F,GTBR,-,,X321-GT001,2. MED,Oct 18 2021 12:00AM,,S,,delivery of gravel,,
1850744,,,2-MED,,F,GTBR,-,,BGT069,2. MED,Apr 30 2019 12:00AM,,S,,7 yards of soil,,
2088249,,,,,F,GTBR,-,,B510-GT001,2. MED,Jun 28 2021 12:00AM,,S,,Fix gate latch at Fred MacLeod CG,,
2130368,,,,,F,GTBR,-,,M377-GT001,2. MED,Oct 21 2021 12:00AM,,S,,DELIVERY of 4 cubic yards of mulch to Frederick Douglass Blvd Community Garden,,
2119920,,,,,F,GTBR,-,,M382-GT001,2. MED,Sep 24 2021 12:00AM,,S,,REMOVAL of graffiti for garden sign at Pa'lante Garden,,
1147724,,,,Jul 20 2015 12:00AM,F,IS,-,,Q327,,Jul 20 2015  5:13PM,Little Neck Pkwy & 72 Av,S,,Q327,,
1984893,,,,,F,GTBR,-,,B509-GT001,2. MED,Jul 10 2020 12:00AM,,S,,4 water barrels (1 of 2),,
996345,,,,Dec 13 2014 12:00AM,F,IS,-,,Q-05,,Dec 13 2014 12:42PM,,S,,Q-05,,
2194485,,,,,F,GTBR,-,,M299-GT001,3. HIGH,Apr 29 2022 12:00AM,,S,,DELIVERY of 30 pieces of lumber to Pleasant Village Community Garden,,
2049265,,,,,F,GTBR,-,,B521-GT001,3. HIGH,Feb 23 2021 12:00AM,,S,,Eight double high boxes (1 of 2),,
1859385,,,,,F,GTBR,-,,B514-GT001,3. HIGH,May 28 2019 12:00AM,,S,,Volunteer Day 6.11.2019 - 7 cubic yard double ground mulch,,
1000311,,,,Dec 21 2014 12:00AM,F,IS,-,,B286,,Dec 21 2014 11:51AM,,S,,B286,,
999161,,,,Dec 18 2014 12:00AM,F,IS,-,,Q136,,Dec 18 2014 12:48PM,"14 Rd, 115 St, 14 Av",S,,Q136,,
1273581,,,,Apr  3 2016 12:00AM,F,IS,-,,B265,,Apr  3 2016  3:02PM,6 Ave. bet. 55 St. and 56 St.,S,,B265,,
2110970,,,,,F,GTBR,-,,X292-GT001,3. HIGH,Aug 25 2021 12:00AM,,S,,deliver 30 bags of mulch to garden,,
1993205,,,,,F,GTBR,-,,B416-GT001,2. MED,Aug  5 2020 12:00AM,,S,,4 cubic yards compost,,
2083478,,,,,F,GTBR,-,,B383-GT001,3. HIGH,Jun 15 2021 12:00AM,,S,,7 cubic feet soil/compost - Success Garden of East New York,,
2088932,,,,,F,GTBR,-,,XGT024,2. MED,Jun 30 2021 12:00AM,,S,,deliver 1 chalk sandwich board to garden to replace stolen board,,
2753,,,,Apr 23 2009 12:00AM,F,,-,,QZ934,,Apr 23 2009 12:00AM,,S,,S QZ934 -V,,
1980395,,,,,F,GTBR,-,,Q505-GT001,3. HIGH,Jun 25 2020 12:00AM,,S,,Delivery of 3 yards compost to Community Serenity,,
2575329,,,3-HIGH,,F,GTBR,-,,M314-GT001,3. HIGH,Oct  8 2025 12:00AM,,S,,Leaning Fence,,
1935608,,,,,F,GTBR,+,,B500-GT001,2. MED,Feb  5 2020 12:00AM,,S,,Cut holes in the metal plate on double gate so a chain and lock can be used.,,
1949075,,,,,F,GTBR,-,,B447-GT001,2. MED,Mar  6 2020 12:00AM,,S,,"Scope work - Fill, restoriation, new beds",,
1862254,,,,,F,GTBR,-,,B572-GT001,2. MED,Jun  5 2019 12:00AM,,S,,Front gate needs repairing.,,
1671753,,,1-LOW,,F,GTBR,-,,Q489-GT001,2. MED,Jul  6 2018 12:00AM,,S,,Rat Abatement,,
2105358,,,,,F,GTBR,-,,X328-GT001,3. HIGH,Aug 19 2021 12:00AM,,S,,40 pieces of lumber,,
1984963,,,,,F,GTBR,-,,B474-GT001,3. HIGH,Jul 10 2020 12:00AM,,S,,Rodent treatment!,,
1135574,,,,Jun 29 2015 12:00AM,F,IS,-,,Q305,,Jun 29 2015  9:42AM,"65 Pl & 68 Av, Catalpa Av",S,,Q305,,
1248421,,,,Feb 11 2016 12:00AM,F,IS,-,,X360,,Feb 11 2016  1:15PM,,S,,X360,,
1979530,,,,,F,GTBR,-,,M333-GT001,3. HIGH,Jun 23 2020 12:00AM,,S,,DELIVERY of 20 bags of soil to Bradhurst Community Garden,,
1867860,,,,,F,GTBR,+,,X352-GT001,3. HIGH,Jun 21 2019 12:00AM,,S,,Fallen tree removal,,
1913325,,,,,F,GTBR,-,,B472-GT001,3. HIGH,Nov 14 2019 12:00AM,,S,,Rodent Treatment. Could not upload photos.,,
2018721,,,,,F,GTBR,-,,B474-GT001,3. HIGH,Oct 27 2020 12:00AM,,S,,"Deliver 7 yards of woodchips, bagged or loose.",,
2099898,,,,,F,GTBR,-,,B417-GT001,2. MED,Aug  4 2021 12:00AM,,S,,7 cu feet wood chips,,
2080696,,,,,F,GTBR,-,,B438-GT001,2. MED,Jun 10 2021 12:00AM,,S,,Deliver 9 pieces of lumber to 700 Decatur St,,
1869507,,,,,F,GTBR,-,,BGT169,2. MED,Jun 25 2019 12:00AM,,S,,10 bags of compost,,
2049363,,,,,F,GTBR,-,,B493-GT001,3. HIGH,Feb 23 2021 12:00AM,,S,,8 yrds soil/compost (2 of 2),,
2155519,,,,,F,GTBR,-,,X303-GT001,2. MED,Jan 11 2022 12:00AM,,S,,5 of 6 Delivery of 14 cubic yards of Woodchips to Sweetgum Community Garden,,
1977039,,,,,F,GTBR,-,,X320-GT001,3. HIGH,Jun 15 2020 12:00AM,,S,,"7 cy of soil,7 cy of mulch, a box of trash bags, help with trash pick up",,
2197866,,,,,F,GTBR,-,,M377-GT001,2. MED,May 10 2022 12:00AM,,S,,DELIVERY of 7 cubic yards of compost to Frederick Douglass Blvd Community Garden,,
2009844,,,,,F,GTBR,+,,M180-GT001,3. HIGH,Oct  2 2020 12:00AM,,S,,Construction of Pond fence barrier,,
1871573,,,,,F,GTBR,-,,B426-GT001,2. MED,Jul  1 2019 12:00AM,,S,,DELIVERY of 15 pieces of lumber for Powers Street Garden,,
1064771,,,,Mar 10 2015 12:00AM,F,IS,-,,Q086-01,,Mar 10 2015 11:08AM,149 St & 25 Av,S,,Q086-01,,
1001592,,,,Dec 23 2014 12:00AM,F,IS,-,,Q009-ZN02,,Dec 23 2014 12:16PM,,S,,Q009-ZN02,,
1266361,,,,Mar 19 2016 12:00AM,F,IS,-,,B-10,,Mar 19 2016  3:06PM,,S,,B-10,,
1253747,,,,Feb 25 2016 12:00AM,F,IS,-,,X360,,Feb 25 2016  7:41AM,,S,,X360,,
1020735,,,,Feb  6 2015 12:00AM,F,IS,-,,BZ312,,Feb  6 2015  9:19AM,8th Ave & 19th St,S,,BZ312,,
1252843,,,,Feb 22 2016 12:00AM,F,IS,-,,Q437,,Feb 22 2016  4:01PM,,S,,Q437,,
1105010,,,,May 13 2015 12:00AM,F,IS,-,,B073-BLG1225,,May 13 2015 11:54AM,,S,,B073-BLG1225,,
1074344,,,,Mar 20 2015 12:00AM,F,IS,-,,Q448,,Mar 20 2015  1:35PM,"Baisley & Merrick Bls,115 Av, 177 St",S,,Q448,,
1105319,,,,May 14 2015 12:00AM,F,IS,-,,X360,,May 14 2015  6:52AM,,S,,X360,,
1211495,,,,Nov 16 2015 12:00AM,F,IS,-,,B210H,,Nov 16 2015 10:51AM,,S,,B210H,,
1997459,,,,,F,GTBR,-,,M314-GT001,2. MED,Aug 20 2020 12:00AM,,S,,deliver 3 bags of stalite to Miracle Garden for rat abatement,,
1980410,,,,,F,GTBR,-,,B461-GT001,2. MED,Jun 25 2020 12:00AM,,S,,Rat abatement -,,
2068208,,,,,F,GTBR,-,,B489-GT001,2. MED,Apr 29 2021 12:00AM,,S,,DELIVERY of 16 pieces of lumber to Red Shed Garden,,
2535856,,,2-MED,,F,GTBR,-,,MGT017,2. MED,May 20 2025 12:00AM,,S,,DELIVERY 30 Bags Compost,,
1832300,,,2-MED,,F,GTBR,-,,B562,2. MED,Mar 22 2019 12:00AM,Surf Ave. bet. W. 29 St. and W. 28 St.,S,,Deliver 28 yds mixed soil and compost to Surfside,,
1944186,,,,,F,GTBR,-,,B577-GT001,2. MED,Feb 28 2020 12:00AM,,S,,DELIVERY of 15 pieces of lumber to El Garden (4/4),,
2119284,,,,,F,GTBR,-,,B458-GT001,2. MED,Sep 22 2021 12:00AM,,S,,14  cu wood chips,,
1833617,,,,,F,GTBR,-,,B383-GT001,3. HIGH,Mar 25 2019 12:00AM,,S,,Garden Clean up,,
1997907,,,,,F,GTBR,-,,B505,2. MED,Aug 21 2020 12:00AM,Ralph Ave. and Sterling Pl.,S,,Fix storm damaged gate at Sterling Community Group,,
2168750,,,,,F,GTBR,-,,X318-GT001,2. MED,Feb 10 2022 12:00AM,,S,,Garden request wheelbarrow (w/soil delivery request) - Franklin Mem,,
1850208,,,,,F,GTBR,-,,B550-GT001,3. HIGH,Apr 29 2019 12:00AM,,S,,DELIVERY of 7 c/y of soil for Keap Fourth Community Garden,,
1878466,,,,,F,GTBR,-,,XGT010,2. MED,Jul 17 2019 12:00AM,,S,,DELIVERY of 7 yards of woodchips for Little Belmont Farmers,,
2113194,,,,,F,GTBR,-,,M333,2. MED,Aug 31 2021 12:00AM,Bradhurst Ave. and W. 152 St.,S,,DELIVERY of 5 cubic yards of soil to Bradhurst Community Garden,,
2519620,,,2-MED,,F,GTBR,-,,M357-GT001,2. MED,Mar 27 2025 12:00AM,,S,,DELIVERY 20 bags Soil/Compost Mix,,
2045933,,,3-HIGH,,F,GTBR,-,,X328-GT001,3. HIGH,Feb  5 2021 12:00AM,,S,,2 of 2 DELIVERY of 14 yards of soil/compost mix for Las Casitas Community Garden,,
2105359,,,,,F,GTBR,-,,X328-GT001,3. HIGH,Aug 19 2021 12:00AM,,S,,14 cube yards of soil mix,,
1130367,,,,Jun 24 2015 12:00AM,F,IS,-,,Q398,,Jun 24 2015 11:51AM,,S,,Q398,,
2061050,,,,,F,GTBR,-,,X245-GT001,2. MED,Mar 31 2021 12:00AM,,S,,Delivery of 15 pieces of lumber - River Garden,,
2129180,,,,,F,GTBR,-,,B516-GT001,2. MED,Oct 18 2021 12:00AM,,S,,Pour concrete slab for a 10x10 shed atr Powell St CG,,
2088290,,,,,F,GTBR,+,,B576-GT001,4. URG,Jun 28 2021 12:00AM,,S,,(2 of 3) Remove Dead Tree from front of garden.,,
1826334,,,2-MED,,F,GTBR,-,,X335-GT001,2. MED,Mar 14 2019 12:00AM,,S,,DELIVERY of 15 pieces of lumber for Risse Street Garden,,
1154873,,,,Aug  2 2015 12:00AM,F,IS,-,,B315,,Aug  2 2015  9:56AM,"Surf Av, W 25 and W 27 Sts",S,,B315,,
105601,,,,May 24 2010 12:00AM,F,IS,-,,Q-16,,May 24 2010 11:58AM,,S,,Q-16,,
867493,,,,May 11 2014 12:00AM,F,IS,-,,M023,,May 11 2014  6:39PM,,S,,M023,,
1029496,,,,Feb 25 2015 12:00AM,F,IS,-,,B-04,,Feb 25 2015  8:51AM,,S,,B-04,,
105386,,,,May 24 2010 12:00AM,F,IS,-,,Q-16,,May 24 2010 10:27AM,,S,,Q-16,,
2172461,,,,,F,GTBR,-,,M401-GT001,2. MED,Feb 22 2022 12:00AM,,S,,(1/2) DELIVERY 4 cy mulch to Lydia's Magic Garden,,
2075781,,,,,F,GTBR,-,,B450-GT001,2. MED,May 27 2021 12:00AM,,S,,4 cu soil/compost mix - Clara's Garden,,
1205587,,,,Nov  1 2015 12:00AM,F,IS,-,,X-11,,Nov  1 2015  2:41PM,,S,,X-11,,
1217655,,,,Nov 29 2015 12:00AM,F,IS,-,,B210H,,Nov 29 2015  4:55PM,,S,,B210H,,
2170094,,,,,F,GTBR,-,,B579-GT001,2. MED,Feb 16 2022 12:00AM,,S,,(4/4) DELIVERY 7 cy woodchips to Imani II Community Garden,,
1935312,,,,,F,GTBR,-,,BGT063,2. MED,Feb  4 2020 12:00AM,,S,,Woodchips 7 cu feet,,
1909045,,,,,F,GTBR,-,,M310-GT001,2. MED,Oct 29 2019 12:00AM,,S,,delivery of 7 cubic yards of compost,,
2125303,,,,,F,GTBR,-,,M343-GT001,2. MED,Oct  8 2021 12:00AM,,S,,deliver 4 cubic yards of woodchips to cover bare ground,,
1861751,,,,,F,GTBR,-,,Q495-GT001,2. MED,Jun  4 2019 12:00AM,,S,,Debris removal,,
1995407,,,2-MED,,F,GTBR,-,,B519-GT001,2. MED,Aug 12 2020 12:00AM,,S,,"3 yards of woodchips, a box of black garbage bags and one pitchfork",,
1983637,,,,,F,GTBR,-,,B450-GT001,2. MED,Jul  6 2020 12:00AM,,S,,7 cu ft double grind woodchips (1 of 2),,
1788884,,,,,F,GTBR,-,,B440-GT001,1. LOW,Dec 19 2018 12:00AM,,S,,Forestry-Stump Grinding and Branch Down,,
2049144,,,,,F,GTBR,-,,B442-GT001,2. MED,Feb 22 2021 12:00AM,,S,,Soil/compost for four double high beds (2 of 2),,
1887789,,,,,F,GTBR,+,,X285-GT001,3. HIGH,Aug 19 2019 12:00AM,,S,,Retaining Wall Repair,,
2105306,,,,,F,GTBR,+,,B556-GT001,2. MED,Aug 19 2021 12:00AM,,S,,GRAFFITI REMOVAL GT Sign Know Waste Lands,,
1901221,,,,,F,GTBR,+,,X285-GT001,4. URG,Oct  2 2019 12:00AM,,S,,Fence post repair work,,
1277350,,,,Apr 11 2016 12:00AM,F,IS,-,,B073-BLG1225,,Apr 11 2016  8:27AM,,S,,B073-BLG1225,,
2172506,,,,,F,GTBR,-,,B423-GT001,2. MED,Feb 22 2022 12:00AM,,S,,(2/3) DELIVERY 4 cy mulch to Project Roots,,
1933930,,,,,F,GTBR,-,,BGT014,1. LOW,Jan 29 2020 12:00AM,,S,,DELIVERY of 4 c/y of woodchips for Scholes Street Garden (Heckscher),,
2517975,,,2-MED,,F,GTBR,-,,X324-GT001,2. MED,Mar 20 2025 12:00AM,,S,,3 of 3 GTO support build and fill double raise beds,,
1844302,,,2-MED,,F,GTBR,-,,BGT018,2. MED,Apr 16 2019 12:00AM,,S,,(2 of 2) DELIVERY of Mulch,,
1912015,,,,,F,GTBR,-,,B458-GT001,2. MED,Nov  8 2019 12:00AM,,S,,16 cubic feet soil/compost,,
1973746,,,,,F,GTBR,-,,Q518,3. HIGH,Jun  1 2020 12:00AM,Beach 84 St. bet. Rockaway Freeway and J,S,,Delivery 7 yards soil to Bay Beach 84 (1/2),,
2060510,,,2-MED,,F,GTBR,-,,M291-GT001,2. MED,Mar 29 2021 12:00AM,,S,,deliver 4 cubic yards of compost to garden.,,
1784395,,,2-MED,,F,GTBR,-,,M397-GT001,2. MED,Dec 10 2018 12:00AM,,S,,removal of razor wire on front of 11BC Serenity Garden fence,,
1862737,,,,,F,GTBR,-,,Q487-GT001,2. MED,Jun  6 2019 12:00AM,,S,,GT Other/Specialty Project - Refer to Diego's Inspection,,
1687198,,,,,F,GTBR,-,,BGT068,2. MED,Jun 21 2018 12:00AM,,S,,Deliver 15 pieces of lumber to Prospect Farm,,
1937112,,,,,F,GTBR,-,,MGT008,1. LOW,Feb  6 2020 12:00AM,,S,,DELIVERY of 4 bags of stalite to Carver Community Garden,,
2519951,,,4-URG,,F,GTBR,-,,X297-GT001,4. URG,Mar 28 2025 12:00AM,,S,,2 of 2 7 bags of cement to support pathway,,
1093426,,,,Apr 23 2015 12:00AM,F,IS,-,,QT09,,Apr 23 2015  3:27PM,,S,,QT09,,
2014954,,,,,F,GTBR,-,,B574-GT001,2. MED,Oct 19 2020 12:00AM,,S,,(3 of 3) Deliver 3 yards of woodchips.,,
1990243,,,,,F,GTBR,-,,B535-GT001,2. MED,Jul 27 2020 12:00AM,,S,,7 cubic yards mulch,,
1107622,,,,May 18 2015 12:00AM,F,IS,-,,QT09,,May 18 2015 11:47AM,,S,,QT09,,
1002091,,,,Dec 24 2014 12:00AM,F,IS,-,,B111,,Dec 24 2014 10:38AM,"3 To 4 Sts, 4 To 5 Avs",S,,B111,,
2005573,,,,,F,GTBR,-,,Q518-GT001,2. MED,Sep 18 2020 12:00AM,,S,,DELIVERY 14 cy woodchips to Bay 84th Street (1/3),,
1682956,,,1-LOW,,F,GTBR,-,,M306-GT001,1. LOW,Jun 12 2018 12:00AM,,S,,Lumber,,
1952148,,,,,F,GTBR,-,,B525-GT001,3. HIGH,Mar 12 2020 12:00AM,,S,,(1 of 6) Trash removal for a volunteer workday.,,
1982349,,,,,F,GTBR,-,,XGT008,2. MED,Jul  1 2020 12:00AM,,S,,Delivery half load soil to BLT Cauldwell Youth Garden,,
1941167,,,,,F,GTBR,-,,XGT011,1. LOW,Feb 19 2020 12:00AM,,S,,Delivery 4 cubic yards woodchips to Glover Street Garden,,
1163600,,,,Aug 16 2015 12:00AM,F,IS,-,,B-10,,Aug 16 2015  2:47PM,,S,,B-10,,
1016651,,,,Jan 24 2015 12:00AM,F,IS,-,,X-15,,Jan 24 2015  1:57PM,,S,,X-15,,
2154509,,,,,F,GTBR,-,,X321-GT001,4. URG,Jan  6 2022 12:00AM,,S,,DELIVERY of Rock Salt to Claremont Neighborhood Garden,,
2049139,,,,,F,GTBR,-,,BGT069,2. MED,Feb 22 2021 12:00AM,,S,,Soil/Compost for 5 4 X 8 double high beds (2 of 2),,
1862726,,,,,F,GTBR,-,,Q489-GT001,2. MED,Jun  6 2019 12:00AM,,S,,Removal of bamboo,,
2172449,,,,,F,GTBR,-,,X350-GT001,2. MED,Feb 22 2022 12:00AM,,S,,(5/6) DELIVERY 14 cy mulch to El Coqui Community Garden,,
2181946,,,,,F,GTBR,-,,B550-GT001,3. HIGH,Mar 18 2022 12:00AM,,S,,DELIVERY of 4 c/y of compost (bagged) to Keap Fourth Community Garden,,
2064799,,,,,F,GTBR,-,,B517-GT001,2. MED,Apr 16 2021 12:00AM,,S,,Deliver forteen (14) 2x10 Lumber to Phoenix CG,,
1186583,,,,Sep 26 2015 12:00AM,F,IS,-,,B-15,,Sep 26 2015  3:40PM,,S,,B-15,,
1182039,,,,Sep 20 2015 12:00AM,F,IS,-,,B141,,Sep 20 2015  2:23PM,Atlantic and Fountain Avs,S,,B141,,
1007331,,,,Jan  4 2015 12:00AM,F,IS,-,,B087,,Jan  4 2015  3:49PM,"41 To 44 Sts, 5 To 7 Avs",S,,B087,,
565,,,,Apr 23 2009 12:00AM,F,,-,,10206,,Apr 23 2009 12:00AM,,A,,A 10206 -V,,
2077778,,,,,F,GTBR,-,,M343-GT001,2. MED,Jun  4 2021 12:00AM,,S,,deliver 4 cubic yards of woodchips to garden,,
2181951,,,,,F,GTBR,-,,B550-GT001,2. MED,Mar 18 2022 12:00AM,,S,,DELIVERY of 7 c/y of mulch for Keap Fourth Community Garden,,
2180552,,,2-MED,,F,GTBR,-,,B579-GT001,2. MED,Mar 15 2022 12:00AM,,S,,Deliver 14 yards woodchips,,
1933921,,,,,F,GTBR,-,,BGT011,1. LOW,Jan 29 2020 12:00AM,,S,,DELIVERY of 7 c/y of compost to Classon-Fulgate,,
1576383,,,,Dec 15 2017 12:00AM,F,,-,,35329,,Dec 15 2017 12:00AM,,T,,T 35329 -V,,
2197867,,,,,F,GTBR,-,,M377-GT001,2. MED,May 10 2022 12:00AM,,S,,DELIVERY of 7 cubic yards of mulch to Frederick Douglass Blvd Community Garden,,
1866218,,,,,F,GTBR,-,,B528,2. MED,Jun 18 2019 12:00AM,Howard Ave. to Tapscott St. between Dumo,S,,Howard Garden Scope Gazebo repair,,
1880060,,,,,F,GTBR,-,,B559,2. MED,Jul 23 2019 12:00AM,Columbia St. bet. Sackett St. and De Gra,S,,DELIVERY of 14 c/y of soil/compost mix for South Brooklyn Children's Garden,,
2187965,,,,,F,GTBR,-,,B439-GT001,2. MED,Apr  7 2022 12:00AM,,S,,(2 of 2) Deliver 7 yds. of soil/compost mix to fill new beds.,,
2088213,,,,,F,GTBR,-,,B564-GT001,2. MED,Jun 28 2021 12:00AM,,S,,4 cubic feet wood chips,,
2005534,,,,,F,GTBR,-,,B474-GT001,4. URG,Sep 18 2020 12:00AM,,S,,(2 of 2) Deliver 3 rolls of chicken wire.,,
1671532,,,1-LOW,,F,GTBR,-,,M326-GT001,,Jul  6 2018 12:00AM,,S,,Rat Abatement,,
