printedschoolname,selectioncriteria3_prog1,selectioncriteria7_prog3,selectioncriteria4_prog4,geseats_prog4,council_district,gefilled_prog3,lowestpriority_prog3,selectioncriteria10_prog1,selectioncriteria3_prog6,weekendprogram,admissionsmethod_prog5,selectioncriteria12_prog6,selectioncriteria9_prog6,priority2_prog5,selectioncriteria6_prog2,selectioncriteria8_prog5,selectioncriteria8_prog3,name_prog1,selectioncriteria7_prog2,selectioncriteria2_prog5,swdappsperseat_prog3,selectioncriteria9_prog5,name_prog2,swdappsperseat_prog5,priority5_prog5,selectioncriteria6_prog1,independentwebsite,selectioncriteria6_prog6,subway,priority5_prog6,selectioncriteria10_prog5,selectioncriteria5_prog3,lowestpriority_prog4,selectioncriteria5_prog4,swdapps_prog6,priority4_prog6,priority3_prog3,priority5_prog1,surveysafety,selectioncriteria5_prog6,name_prog4,revealed_prog1
Amistad Dual Language School,Spanish Interview,.,,,10.0,,,.,.,Yes–Saturday program for academic support and enrichment.,,.,.,.,.,.,.,Amistad Spanish Dual Language Program,.,.,,.,,.,.,,amistadschool.org,.,A to Inwood - 207th St; 1 to 207th St,.,.,,,.,.,.,.,.,89.0,.,,.
School of Authors (P.S./M.S. 108 ),,.,.,.,8.0,,.,.,.,No,.,.,.,.,.,.,.,School of Authors (P.S./M.S. 108),.,.,,.,,.,.,,www.108schoolofauthors.org,.,"6 to 110th St; 2, 3 to Central Park North-110th St",.,.,.,.,.,.,.,.,,76.0,.,.,.
Professional Performing Arts School,Audition,.,.,.,3.0,,,.,.,No,.,.,.,.,.,.,.,Professional Performing Arts School,.,.,,.,,.,.,,ppasnyc.org,.,"N, Q, R to 49th St; F, M to 47-50th Sts Rockefeller Center; B, D to 7th Ave; A to 42nd St-Port Authority Bus Terminal; 2, 3, 7, S to Times Square-42nd St; 1, C, E to 50th St",.,.,.,.,.,.,.,.,,96.0,.,.,.
The Bronx School of Young Leaders,,.,,,14.0,,,.,.,Yes–Saturday program for academic support and enrichment,,.,.,.,,.,.,The Bronx School of Young Leaders,.,.,,.,,,.,,schools.nyc.gov/Find-a-School,.,"B, D to Tremont Ave; 4 to Burnside Ave; 4 to 176th St",.,.,,.,,.,.,.,,80.0,.,,.
"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",,.,.,.,30.0,,.,.,.,No,.,.,.,.,.,.,.,Juniper Valley (P.S. 128),.,.,,.,,.,.,,psis128q.org,.,M to Middle Village - Metropolitan Ave,.,.,.,.,.,.,.,.,,75.0,.,,.
J.H.S. 054 Booker T. Washington,Entrance Assessment,.,.,.,7.0,,,.,.,No,.,.,.,.,.,.,.,Booker T. Washington (J.H.S. 54),.,.,,.,,.,.,,ms54.org,.,"B, C to Cathedral Parkway-110th St; 1 to 103rd St",.,.,.,.,.,.,.,.,,94.0,.,.,.
J.H.S. 194 William Carr,,.,.,.,19.0,,,.,.,Yes,.,.,.,.,,.,.,William Carr (J.H.S. 194): Arts Infusion,,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,,.,.,.,,.,.,.,.,,81.0,.,.,.
M.S. 224 Manhattan East School for Arts & Academics,Attendance,.,.,.,8.0,,.,.,.,No,.,.,.,.,.,.,.,Manhattan East School for Arts & Academics (M.S. 224),.,.,,.,,.,.,Interview,manhattaneastschool.nyc,.,6 to 96th St; 6 to 103rd St,.,.,.,.,.,.,.,.,,90.0,.,.,.
East-West School of International Studies,,.,.,.,20.0,,,.,.,No,.,.,.,.,,.,.,East-West School of International Studies,,.,,.,,.,.,,ewsis.org,.,,.,.,.,,.,.,.,.,,90.0,.,.,.
Wadleigh Secondary School for the Performing & Visual Arts,Final 4th Grade Report Card,.,.,.,9.0,,,.,.,Yes–Saturday program for academic support and enrichment.,.,.,.,.,.,.,.,Wadleigh Secondary School For the Performing & Visual Arts,.,.,,.,,.,.,,wadleigharts.org,.,"2, 3, B, C to 116th St",.,.,.,.,.,.,.,.,,91.0,.,.,.
Urban Assembly Academy for Future Leaders,,.,.,.,7.0,,.,.,.,Yes—Saturday program for academic support and enrichment.,.,.,.,.,.,.,.,Urban Assembly Academy for Future Leaders (I.S. 286),.,.,,.,,.,.,,uafutureleaders.com,.,"1, A, B, C, D to 125th St",.,.,.,.,.,.,.,.,,78.0,.,,.
Mott Hall III,Attendance and Punctuality,.,,,16.0,,,.,.,Yes–Saturday program for certain students,,.,.,.,,.,.,Mott Hall III,.,.,,.,,,.,,motthall3.com,.,,.,.,,.,,.,.,.,,90.0,.,,.
Baychester Middle School,,.,,,12.0,,,.,.,Yes,,.,.,.,,.,.,Baychester Middle School,.,.,,.,,,.,,www.baychesterwaves.org,.,5 to Eastchester - Dyre Ave; 5 to Baychester Ave,.,.,,.,,.,.,.,,82.0,.,,.
New Directions Secondary School,,.,,,16.0,,,.,.,No,,.,.,.,,.,.,New Directions Secondary School,.,.,,.,,,.,,ndssbx.org,.,"4, B, D to 170th St",.,.,,.,,.,.,.,,86.0,.,,.
I.S. 136 Charles O. Dewey,,.,.,.,38.0,,.,.,.,Yes,.,.,.,.,.,.,.,Charles O. Dewey Middle School (I.S. 136),.,.,,.,,.,.,,ms136brooklyn.com,.,"R to 45th St; D, N, R to 36th St - 4 Ave",.,.,.,.,.,.,.,.,,90.0,.,.,.
Staten Island School of Civic Leadership,,.,.,.,49.0,,.,.,.,No,.,.,.,.,.,.,.,The Staten Island School of Civic Leadership,.,.,,.,,.,.,,sisclnyc.com,.,,.,.,.,.,.,.,.,.,,89.0,.,,.
Accion Academy,,.,.,.,17.0,,.,.,.,No,.,.,.,.,.,.,.,ACCION Academy,.,.,,.,,.,.,,www.accionacademy.com,.,"2, 5 to 174th St",.,.,.,.,.,.,.,.,,92.0,.,,.
P.S. 076 A. Philip Randolph,,.,.,.,9.0,,,.,.,Yes–Saturday program for test prep,.,.,.,.,.,.,.,A. Philip Randolph (P.S./I.S. 76),.,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,"B, C to 116th St; 2, 3, A, D to 125th St",.,.,.,.,.,.,.,.,Then to students and residents of District 3.,96.0,.,.,.
J.H.S. 067 Louis Pasteur,Academic and Personal Behaviors: 5%,.,.,.,19.0,,,.,.,No,.,.,.,.,,.,.,Louis Pasteur Middle School 67Q Gifted & Talented Program,,.,,.,Louis Pasteur STEM Program,.,.,,ms67q.com,.,,.,.,.,,.,.,.,.,,82.0,.,.,.
P.S./I.S. 268,,.,,,27.0,,,.,.,Yes–Saturday program for test prep,,.,.,.,,.,.,P.S./I.S. 268,.,.,,.,,,.,,psis268q.org,.,F to Jamaica - 179th St,.,.,,.,,.,.,.,,86.0,.,,.
I.S. 238-Susan B. Anthony Academy,,.,,,27.0,,,.,.,Yes–Saturday program for academic support and enrichment,,.,.,.,,.,.,Susan B. Anthony (I.S. 238),.,.,,.,,,.,,schools.nyc.gov/Find-a-School,.,F to Jamaica - 179th St,.,.,,.,,.,.,.,,62.0,.,,.
I.S. 075 Frank D. Paulo,4th Grade New York State Math Exam 22.5%,.,.,.,51.0,,.,.,.,Yes—Saturday program for academic support and enrichment.,.,.,.,.,.,.,.,Scholars Program,.,.,,.,Zoned Program,.,.,,is75.org,.,,.,.,.,.,.,.,.,.,,93.0,.,,.
P.S. 232 Lindenwood,,.,,,32.0,,,.,.,No,,.,.,.,.,.,.,Lindenwood (P.S. 232),.,.,,.,,.,.,,ps232q.org,.,,.,.,,,.,.,.,.,.,95.0,.,,.
I.S. 192,,.,,,27.0,,,.,.,Yes–Saturday program for academic support and enrichment,,.,.,.,,.,.,I.S. 192 The Linden,.,.,,.,,,.,,is192q.com,.,,.,.,,.,,.,.,.,,94.0,.,,.
York Early College Academy,,.,.,.,27.0,,.,.,.,Yes,.,.,.,.,.,.,.,York Early College Academy,.,.,,.,,.,.,,yorkearlycollegeacademy.com,.,,.,.,.,.,.,.,.,.,,93.0,.,.,.
Mark Twain for the Gifted & Talented (I.S. 239),,.,,,47.0,,,.,.,No,,.,.,.,.,.,.,Mark Twain (I.S. 239),.,.,,.,,.,.,,is239.schoolwires.com,.,,.,.,,,.,.,.,.,.,89.0,.,,.
"Bronx School for Law, Government and Justice","Demonstrated Interest in Program: Essay, Student Interview & Open House",.,,,16.0,,,.,.,Yes–Saturday program,,.,.,.,,.,.,"Bronx School for Law, Government and Justice",.,.,,.,,,.,,www.bronxlgj.org,.,"4, B, D to 161st St-Yankee Stadium",.,.,,.,,.,.,.,,81.0,.,,.
I.S. 318 Eugenio Maria De Hostos,Attendance,.,.,.,33.0,,.,.,.,Yes–Saturday program for academic support and enrichment.,.,.,.,.,,.,.,Eugenio Maria de Hostos (I.S. 318),,.,,.,IS 318 Chess Program,.,.,,is318.com,.,"J, M to Lorimer St; G to Broadway",.,.,.,.,.,.,.,.,,88.0,.,.,.
Institute for Collaborative Education,Writing Assignment,.,.,.,2.0,,,.,.,No,.,.,.,.,.,.,.,The Institute For Collaborative Education,.,.,,.,,.,.,,iceschoolnyc.org,.,"L to 1st Ave; 4, 5, 6, N, Q, R to 14th St-Union Square",.,.,.,.,.,.,.,.,,91.0,.,.,.
Academy for New Americans,,.,.,.,22.0,,,.,.,Yes,.,.,.,.,.,.,.,Academy For New Americans,.,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,"N, Q to 30 Ave-Grand Ave",.,.,.,.,.,.,.,.,,96.0,.,.,.
The Mary McLeod Bethune Middle School (M.S. 394),Academic and Personal Behaviors: 10%,.,.,.,36.0,,.,.,.,Yes–Saturday program for test prep,.,.,.,.,Portfolio of Student Work,.,.,The Mary McLeod Bethune Academy,Punctuality,.,,.,The Mary McLeod Bethune Middle School (M.S. 394),.,.,,schools.nyc.gov/Find-a-School,.,"A, C to Utica Ave; 3, 4 to Crown Hts-Utica Ave",.,.,.,.,.,.,.,.,,78.0,.,.,.
J.H.S. 162 The Willoughby,Attendance and Punctuality,.,,,34.0,,,.,.,Yes,,.,.,.,,.,.,Grade 6 Academy,.,.,,.,Zoned Program,,.,,www.IS162.com,.,L to Jefferson St,.,.,,.,,.,.,.,,82.0,.,,.
I.S. 392,Attendance,.,.,.,41.0,,.,.,.,Yes—Saturday program for academic support and enrichment.,.,.,.,.,.,.,.,I.S. 392,.,.,,.,,.,.,Final 4th Grade Report Card,schools.nyc.gov/Find-a-School,.,3 to Sutter Ave - Rutland Road,.,.,.,.,.,.,.,.,,84.0,.,,.
"I.S. 349 Math, Science & Tech.",,.,,,34.0,,,.,.,Yes–Saturday program for test prep,,.,.,.,,.,.,"Math, Science & Technology Magnet Program",.,.,,.,"Math, Science & Technology (I.S. 349)",,.,,schools.nyc.gov/Find-a-School,.,"M to Central Ave; L to Morgan Ave; J, Z to Myrtle Ave",.,.,,.,,.,.,.,,83.0,.,,.
The Urban Assembly School for Applied Math and Science,,.,,,16.0,,,.,.,Yes–Saturday program,,.,.,.,,.,.,The Urban Assembly School for Applied Math and Science,.,.,,.,,,.,,amsbronx.org,.,,.,.,,.,,.,.,.,,81.0,.,,.
New Voices School of Academic & Creative Arts,,.,.,.,38.0,,.,.,.,No,.,.,.,.,.,.,.,New Voices School of Academic & Creative Arts,.,.,,.,,.,.,,newvoicesbrooklyn.org,.,"R to Prospect Ave; F, G to 15th St-Prospect Park",.,.,.,.,.,.,.,.,,93.0,.,.,.
P.S./M.S. 11X498-Van Nest Academy,,.,,,13.0,,,.,.,Yes–Saturday program for academic support and enrichment,,.,.,.,,.,.,Van Nest Academy (P.S./M.S. 498),.,.,,.,,,.,,498vannestacademy.org,.,,.,.,,.,,.,.,.,,90.0,.,,.
P.S. 178 Saint Clair Mckelway,,.,.,.,41.0,,.,.,.,No,.,.,.,.,.,.,.,Saint Clair McKelway (P.S. 178),.,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,C to Rockaway Ave,.,.,.,.,.,.,.,.,,83.0,.,,.
P.S./M.S. 89,,.,,,13.0,,,.,.,Yes–Saturday program for academic support and enrichment,,.,.,.,,.,.,Application Program,.,.,,.,Zoned Program,,.,,ps89x.com,.,5 to Pelham Parkway; 2 to Allerton Ave,.,.,,.,,.,.,.,,92.0,.,,.
Preparatory Academy for Writers: A College Board School,,.,,,31.0,,,.,.,Yes–Saturday program for test prep,,.,.,.,,.,.,Preparatory Academy for Writers,.,.,,.,,,.,,preparatoryacademyforwriters.com,.,,.,.,,.,,.,.,.,,83.0,.,,.
Hawtree Creek Middle School,,.,,,28.0,,,.,.,Yes–Saturday program for test prep,,.,.,.,.,.,.,Hawtree Creek Middle School,.,.,,.,,.,.,,www.hcms297.org,.,,.,.,,,.,.,.,.,.,94.0,.,,.
P.S./I.S. 229,Attendance: 5%,.,,,43.0,,,.,.,No,,.,.,.,.,.,.,The Honors Academy @229K,.,.,,.,P.S./I.S. 229,.,.,,ps229.org,.,,.,.,,,.,.,.,.,.,87.0,.,,.
International School for Liberal Arts,New to the U.S. within three years,.,,,11.0,,,.,.,Yes,,.,.,.,,.,.,Spanish Newcomers Program,.,.,,.,,,.,,islaschool.com,.,"4, B, D to Kingsbridge Rd",.,.,,.,,.,.,.,,88.0,.,,.
Harold O. Levy School 52,,.,,,10.0,,,.,.,Yes–Saturday program for academic support and enrichment.,,.,.,.,.,.,.,Harold O. Levy School 52 Apple ConnectED Program,.,.,,.,Harold O. Levy School 52 Zoned Program,.,.,,inwood52.com & www.apple.com/connectED/,.,A to Dyckman St-200th St; 1 to Dyckman St,.,.,,,.,.,.,.,.,89.0,.,,.
Urban Assembly School for Criminal Justice,,.,,,44.0,,,.,.,No,,.,.,.,.,.,.,Urban Assembly School for Criminal Justice,.,.,,.,,.,.,,uascriminaljustice.org,.,F to Ditmas Ave,.,.,,,.,.,.,.,.,86.0,.,,.
I.S. 051 Edwin Markham,,.,.,.,50.0,,.,.,.,Yes—Saturday program for academic support and enrichment.,.,.,.,.,.,.,.,Edwin Markham (I.S. 51) Spanish Dual Language Program,.,.,,.,Edwin Markham (I.S. 51),.,.,,is51.org,.,,.,.,.,.,.,.,.,.,,71.0,.,,.
Eagle Academy for Young Men III,,.,,,27.0,,,.,.,Yes–Saturday program for academic support and enrichment,,.,.,.,,.,.,Eagle Academy For Young Men III,.,.,,.,,,.,,schools.nyc.gov/Find-a-School,.,,.,.,,.,,.,.,.,,63.0,.,,.
I.S. 5 – The Walter Crowley Intermediate School,,.,.,.,25.0,No,,.,.,Yes—Saturday program for academic support and enrichment.,.,.,.,.,.,.,.,Walter H. Crowley Intermediate School (I.S. 5) Spanish Dual Language Program,.,.,,.,Walter H. Crowley Leadership Program,.,.,,schools.nyc.gov/Find-a-School,.,R to Elmhurst Ave,.,.,.,.,.,.,.,.,,85.0,.,,.
MS 245 The Computer School,Academic Portfolio,.,.,.,6.0,,,.,.,No,.,.,.,.,.,.,.,The Computer School (M.S. 245),.,.,,.,,.,.,Interview,thecomputerschool.org,.,"B, C to 81st St-Museum of Nat Hist; 2, 3 to 72nd St; 1 to 79th St",.,.,.,.,.,.,.,.,,96.0,.,.,.
New Millennium Business Academy Middle School,,.,,,16.0,,,.,.,Yes–Saturday program for academic support and enrichment,,.,.,.,,.,.,New Millennium Business Academy Middle School,.,.,,.,,,.,,schools.nyc.gov/Find-a-School,.,"B, D to 167th St",.,.,,.,,.,.,.,Then to students and residents of Districts 9 and 10,88.0,.,,.
P.S. 288 The Shirley Tanyhill,,.,,,47.0,,,.,.,Yes–Saturday program,,.,.,.,.,.,.,"School of Leadership, Sports and Arts",.,.,,.,"The Shirley Tanyhill (P.S./I.S. 288) School of Leadership, Sports & Arts",.,.,,Facebook.com/288Eagles,.,,.,.,,,.,.,.,.,.,80.0,.,,.
MELS – Metropolitan Expeditionary Learning School,,.,.,.,29.0,,.,.,.,No,.,.,.,.,.,.,.,Metropolitan Expeditionary Learning School,.,.,,.,,.,.,,metropolitanels.com,.,,.,.,.,.,.,.,.,.,,90.0,.,.,.
P.S./I.S. 217 Roosevelt Island,Entrance Assessment: Math,.,.,.,5.0,,,.,.,Yes,.,.,.,.,.,.,.,The Roosevelt Island (P.S./I.S. 217),.,.,,.,,.,.,Writing Assignment,217pta.com,.,F to Roosevelt Island,.,.,.,.,.,.,.,.,,93.0,.,.,.
Lyons Community School,,.,.,.,34.0,,.,.,.,Yes–Saturday program for certain students.,.,.,.,.,,.,.,Lyons Community School,,.,,.,,.,.,,lyonscommunityschool.org,.,"L to Grand St; J, M to Lorimer St; G to Metropolitan Ave-Lorimer St",.,.,.,.,.,.,.,.,,81.0,.,.,.
Frederick Douglass Academy VIII Middle School,Attendance at an Open House/School Tour,.,.,.,42.0,,,.,.,Yes–Saturday program for academic support and enrichment.,.,.,.,.,.,.,.,Frederick Douglas Academy VIII,.,.,,.,,.,.,Interview,fdaviii.org,.,,.,.,.,.,.,.,.,.,,85.0,.,.,.
I.S. 98 Bay Academy,,.,,,48.0,,,.,.,No,,.,.,.,.,.,.,The Bay Academy (I.S. 98) Magnet Program,.,.,,.,,.,.,,is98.info,.,"B, Q to Sheepshead Bay",.,.,,,.,.,.,.,.,91.0,.,,.
Carroll Gardens School for Innovation (M.S. 442),,.,.,.,38.0,,.,.,.,Yes–Saturday program for test prep,.,.,.,.,.,.,.,School for Innovation (M.S. 442),.,.,,.,,.,.,,ms442.org,.,"F, G to 15th St-Prospect Park",.,.,.,.,.,.,.,.,,81.0,.,.,.
Emolior Academy,,.,.,.,17.0,,.,.,.,Yes—Saturday program,.,.,.,.,.,.,.,Emolior Academy,.,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,"2, 5 to West Farms Sq - East Tremont Ave",.,.,.,.,.,.,.,.,,78.0,.,,.
Juan Morel Campos Secondary School,Final 4th Grade Report Card,.,.,.,33.0,,.,.,.,Yes–Saturday program,.,.,.,.,,.,.,Juan Morel Campos Secondary School,,.,,.,,.,.,,www.juanmorelcampos.com,.,"Z to Marcy Ave; J, M to Hewes St; G to Broadway",.,.,.,.,.,.,.,.,,80.0,.,.,.
P.S. 315 Lab School,Final 4th Grade Report Card,.,,,14.0,,,.,.,No,,.,.,.,,.,.,The Lab School (P.S. 315),.,.,,.,,,.,,schools.nyc.gov/Find-a-School,.,"B, D to 182nd-183rd Sts; 4 to 183rd St",.,.,,.,,.,.,.,,90.0,.,,.
P.S./M.S. 194,,.,,,18.0,,,.,.,Yes–Saturday program,,.,.,.,,.,.,P.S./M.S. 194,.,.,,.,,,.,,schools.nyc.gov/Find-a-School,.,6 to Zerega Ave,.,.,,.,,.,.,.,,87.0,.,,.
P.S. 105 The Bay School,,.,,,31.0,,,.,.,Yes–Saturday program for academic support and enrichment.,,.,.,.,.,.,.,The Bay School (P.S./M.S. 105),.,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,A to Beach 44th St-Frank Ave,.,.,,,.,.,.,.,.,80.0,.,,.
Knowledge and Power Preparatory Academy III,,.,.,.,15.0,,.,.,.,Yes,.,.,.,.,.,.,.,KAPPA III,.,.,,.,,.,.,,kappaiiischool.org,.,"2, 5 to West Farms Sq - East Tremont Ave",.,.,.,.,.,.,.,.,,90.0,.,,.
M.S. 890,,.,.,.,40.0,,,.,.,Yes–Saturday program for academic support and enrichment.,.,.,.,.,.,.,.,M.S. 890,.,.,,.,,.,.,,www.ms890.org,.,"F, G, to Fort Hamilton Parkway; Q to Beverley Road",.,.,.,.,.,.,.,.,,,.,.,.
The New School for Leadership and The Arts,,.,,,14.0,,,.,.,Yes–Saturday program for academic support and enrichment,,.,.,.,,.,.,The Arts Academy (Open to Zoned Students),.,.,,.,The Academy of the Sciences,,.,,www.ms244.org,.,1 to 231st St,.,.,,.,,.,.,.,,87.0,.,,.
P.S. 3 Raul Julia Micro Society,,.,,,15.0,,,.,.,No,,.,.,.,,.,.,Raul Julia (P.S./M.S. 3),.,.,,.,,,.,,schools.nyc.gov/Find-a-School,.,,.,.,,.,,.,.,.,,86.0,.,,.
Ronald Edmonds Learning Center II,,.,.,.,41.0,,.,.,.,Yes,.,.,.,.,,.,.,Ronald Edmonds Learning Center II,,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,C to Ralph Ave,.,.,.,.,.,.,.,.,,99.0,.,.,.
Mott Hall V,,.,.,.,18.0,,.,.,.,Yes—Saturday program,.,.,.,.,.,.,.,Mott Hall V,.,.,,.,,.,.,,motthallv.org,.,6 to Elder Ave,.,.,.,.,.,.,.,.,,92.0,.,,.
P.S./I.S. 116 William C. Hughley,,.,,,27.0,,,.,.,Yes–Saturday program for test prep,,.,.,.,,.,.,William C. Hughley (P.S./I.S. 116),.,.,,.,,,.,,schools.nyc.gov/Find-a-School,.,,.,.,,.,,.,.,.,,69.0,.,,.
Tompkins Square Middle School,Group Interview,.,.,.,2.0,,,.,.,No,.,.,.,.,.,.,.,Tompkins Square Middle School,.,.,,.,,.,.,,tsmsonline.org,.,"L to 1st Ave; J, M, Z to Delancey St-Essex St; F to Lower East Side-2 Ave",.,.,.,.,.,.,.,.,,90.0,.,.,.
Manhattan Academy of Technology/Jacob Riis (P.S. 126),Attendance and Punctuality,.,.,.,1.0,,,.,.,No,.,.,.,.,.,.,.,Manhattan Academy of Technology/Jacob Riis (P.S. 126),.,.,,.,,.,.,,ps126mat.com,.,"F to East Broadway; 4, 5, 6, J, Z to Chambers St",.,.,.,.,.,.,.,.,,89.0,.,.,.
P.S. 138 Brooklyn,,.,.,.,36.0,,.,.,.,Yes–Saturday program for certain students.,.,.,.,.,,.,.,P.S. 138,,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,"F, S to Park Place; 3, A, C to Nostrand Ave; 2, 5 to President St; 2, 4, 5 to Franklin Ave",.,.,.,.,.,.,.,.,,87.0,.,.,.
J.H.S. 227 Edward B. Shallow,Attendance: 5%,.,,,38.0,,,.,.,No,,.,.,.,.,.,.,The Superintendent's Gifted Program,.,.,,.,Zoned Program,.,.,,schools.nyc.gov/Find-a-School,.,"D, N to 62nd St - New Utrecht Ave",.,.,,,.,.,.,.,.,83.0,.,,.
Bronx High School for Medical Science,Final 4th Grade Report Card,.,,,16.0,,,.,.,Yes,,.,.,.,,.,.,Bronx School For Medical Science,.,.,,.,,,.,,schools.nyc.gov/Find-a-School,.,"4, B, D to 170th St",.,.,,.,,.,.,.,,75.0,.,,.
"Queens College School for Math, Science and Technology",,.,.,.,24.0,.,.,.,.,No,.,.,.,.,.,.,.,,.,.,.,.,.,.,.,.,ps499formst.weebly.com,.,,.,.,.,.,.,.,.,.,.,91.0,.,.,.
M.S. 594,,.,,,16.0,,,.,.,Yes,,.,.,.,,.,.,M.S. 594,.,.,,.,,,.,,schools.nyc.gov/Find-a-School,.,"B, D, 4 to 161st St.; B,D to 167th St",.,.,,.,,.,.,.,,,.,,.
The Highbridge Green School,,.,,,16.0,,,.,.,Yes,,.,.,.,,.,.,The Highbridge Green School,.,.,,.,,,.,,www.highbridgegreen.com,.,4 to 167th St,.,.,,.,,.,.,.,,93.0,.,,.
Albert Shanker School for Visual and Performing Arts,Academic and Personal Behaviors: 20%,.,.,.,22.0,,,.,.,No,.,.,.,.,.,.,.,I.S. 126 Albert Shanker School for Visual and Performing Arts,.,.,,.,Visual & Performing Arts Magnet School,.,.,,is126q.com,.,"N, Q to Broadway",.,.,.,.,.,.,.,.,,78.0,.,.,.
P.S./M.S. 029 Melrose School,,.,,,17.0,,,.,.,No,,.,.,.,.,.,.,The Melrose School (P.S./M.S. 29),.,.,,.,,.,.,,psms29.org,.,"2, 5 to 3rd Ave-149th St",.,.,,,.,.,.,.,.,77.0,.,,.
J.H.S. 220 John J. Pershing,Attendance: 5%,.,,,38.0,No,,.,.,Yes–Saturday program for test prep,,.,.,.,.,.,.,The Superintendent's Gifted Program,.,.,4,.,Spanish Dual Language Program,.,.,,parent-portal.pershing220.org,.,D to Fort Hamilton Parkway,.,.,,,.,.,.,.,.,73.0,.,Zoned Program,.
All City Leadership Secondary School,Attendance and Punctuality,.,,,37.0,,,.,.,Yes,,.,.,.,,.,.,All City Leadership Secondary School,.,.,,.,,,.,,schools.nyc.gov/Find-a-School,.,"L, M to Myrtle Ave-Wyckoff Ave",.,.,,.,,.,.,.,,98.0,.,,.
