:@computed_region_yeji_bk3q,school_phone_number,incident_zip,school_not_found,bridge_highway_segment,location_type,street_name,resolution_action_updated_date
,2124080250,10023,,,Park,,2008-01-01T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,RICHMOND AVENUE,2008-01-02T00:00:00.000
,Unspecified,,,,,,2007-12-29T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,,BRONX RVR PKWY,2008-02-05T00:00:00.000
,Unspecified,,,,,,2008-11-24T00:00:00.000
,Unspecified,,,,,RIVERSIDE PARK,2008-01-01T00:00:00.000
,Unspecified,,,,,,2007-10-11T00:00:00.000
,Unspecified,,,,,MARINE PARK,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,,8 AVE,2008-01-03T00:00:00.000
,Unspecified,,,,,,2007-10-12T00:00:00.000
,Unspecified,,,,,,2007-11-29T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,MARINE PARK,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-03-19T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-01-04T00:00:00.000
,Unspecified,,,,School,,2008-08-08T00:00:00.000
,Unspecified,,,,,E 31 ST,2008-03-20T00:00:00.000
,Unspecified,,,,Street,TRAVIS AVENUE,2008-01-03T00:00:00.000
,Unspecified,,,,,15 ST E,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-03-20T00:00:00.000
,Unspecified,,,,,RIVERSIDE PARK,2008-01-01T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,EAST 89 STREET,
,Unspecified,,,,,,2008-01-09T00:00:00.000
,Unspecified,,,,,,2008-04-15T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2007-10-10T00:00:00.000
,Unspecified,,,,,,2007-10-05T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,KENO STREET,2008-03-25T00:00:00.000
,Unspecified,,,,,,2008-03-20T00:00:00.000
,Unspecified,,,,,WILLIAMSBRIDGE PLGD,2007-10-16T00:00:00.000
,Unspecified,,,,,,2008-01-29T00:00:00.000
,Unspecified,,,,,PARADE GROUND,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-01-06T00:00:00.000
,Unspecified,,,,,65 ST,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2007-12-31T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2007-11-13T00:00:00.000
,Unspecified,,,,,BRONX RVR PKWY,2008-11-05T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-03-25T00:00:00.000
,Unspecified,,,,,,2008-01-04T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,Street,EAST 58 STREET,2008-01-02T00:00:00.000
,Unspecified,,,,,169 STREET,
,Unspecified,,,,,,2008-03-20T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,BRONX RVR PKWY,2008-02-12T00:00:00.000
,Unspecified,000000,,,,,2008-01-20T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-03-25T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,Lot,31-46 99TH STREET,2008-03-21T00:00:00.000
,Unspecified,,,,Street,,2008-02-05T00:00:00.000
,Unspecified,,,,,BRONX RVR PKWY,2008-01-16T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-01-04T00:00:00.000
,Unspecified,,,,,BRONX RVR PKWY,2008-01-16T00:00:00.000
,Unspecified,,,,,,2008-03-31T00:00:00.000
,Unspecified,,,,,BRONX RVR PKWY,2008-02-04T00:00:00.000
,Unspecified,,,,,WILLIS AVE,2008-03-21T00:00:00.000
,Unspecified,,,,,,2007-12-03T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,Street,,2008-03-20T00:00:00.000
,Unspecified,,,,,,2008-01-08T00:00:00.000
,Unspecified,,,,,,2008-07-10T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-01-14T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,4 ST E,2008-01-04T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,10268,,,,WALL ST,2008-01-18T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,,PARADE GROUND,2008-01-02T00:00:00.000
,Unspecified,,,,,BAY RDGE AVE,2008-03-20T00:00:00.000
,2124080250,10023,,,Park,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,MARINE PARK,2008-01-03T00:00:00.000
,2124080250,10023,,,Park,,2008-01-02T00:00:00.000
,Unspecified,,,,Street,,
,Unspecified,,,,,,2008-03-31T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,AVE D,2008-03-20T00:00:00.000
,Unspecified,,,,,,2007-12-29T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,,,2008-01-09T00:00:00.000
,Unspecified,,,,,,2008-03-19T00:00:00.000
,Unspecified,,,,,BAY RDGE AVE,2008-03-20T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,Sidewalk,CHISOLM STREET,2008-01-02T00:00:00.000
,Unspecified,,,,,BURDEN CRST,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-03-20T00:00:00.000
,Unspecified,,,,,,2008-01-09T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,7184301800,10462,,,Park,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-01-07T00:00:00.000
,Unspecified,,,,,INDEPENDENCE AVE,2007-10-12T00:00:00.000
,Unspecified,,,,,,2007-11-27T00:00:00.000
,Unspecified,,,,,,2008-03-20T00:00:00.000
,Unspecified,,,,,BROADWAY,2008-01-02T00:00:00.000
,Unspecified,11233,,,,EASTERN PARKWAY,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-01-05T00:00:00.000
,Unspecified,,,,,ST NICHOLAS AVE,2007-12-29T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,,WILLIAMSBRIDGE PLGD,2007-10-11T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,,,2007-11-29T00:00:00.000
,Unspecified,,,,Sidewalk,,2008-01-03T00:00:00.000
,2124080250,10023,,,Park,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-03-20T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,,,2008-03-20T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,52 ST E,2008-01-04T00:00:00.000
,Unspecified,,,,,,2007-10-10T00:00:00.000
,Unspecified,,,,,NEW ENG THRWY,2007-10-10T00:00:00.000
