system,gispropnum,nys_senate,status,commission
QZ174,QZ174,12,I,1999-12-01T00:00:00.000Z
QZ408,QZ408,11,I,2000-12-01T00:00:00.000Z
QZ758,QZ758,15,I,2003-12-01T00:00:00.000Z
QZ57,QZ57,11,I,1997-06-01T00:00:00.000Z
QZ539,QZ539,14,I,1999-12-01T00:00:00.000Z
MZ216,MZ216,31,I,2010-01-11T00:00:00.000Z
X081-XZ428,X081,"33, 29",D,2010-01-11T00:00:00.000Z
M096-MZ303,M096,30,D,2010-01-11T00:00:00.000Z
QZ623,QZ623,11,I,1999-12-01T00:00:00.000Z
QZ1002,QZ1002,12,I,2010-05-01T00:00:00.000Z
X004-XZ203,X004,34,I,2010-01-11T00:00:00.000Z
M254-MZ271,M254,26,D,2010-01-11T00:00:00.000Z
QZ776,QZ776,16,D,2009-02-24T00:00:00.000Z
QZ583,QZ583,14,I,2009-02-24T00:00:00.000Z
X010-XZ210,X010,33,I,2010-01-11T00:00:00.000Z
QZ387-QZ387,QZ387,16,I,1999-06-01T00:00:00.000Z
QZ973,QZ973,11,I,2010-01-11T00:00:00.000Z
M096-MZ166,M096,30,D,2010-01-11T00:00:00.000Z
XZ104,XZ104,32,I,2010-01-11T00:00:00.000Z
MZ30,MZ30,26,I,2010-01-11T00:00:00.000Z
QZ736,QZ736,14,I,2002-06-01T00:00:00.000Z
MZ13,MZ13,26,I,2010-01-11T00:00:00.000Z
QZ523,QZ523,14,I,2000-12-01T00:00:00.000Z
QZ606,QZ606,14,I,1997-12-01T00:00:00.000Z
QZ445,QZ445,15,I,2001-12-01T00:00:00.000Z
B178-BZ186,B178,17,D,2010-01-11T00:00:00.000Z
QZ658,QZ658,10,I,2000-12-01T00:00:00.000Z
QZ412,QZ412,11,I,2000-12-01T00:00:00.000Z
QZ988,QZ988,"11, 14",I,2014-09-04T00:00:00.000Z
QZ430,QZ430,14,D,2000-06-01T00:00:00.000Z
X061-XZ418,X061,33,D,2010-01-11T00:00:00.000Z
QZ941,QZ941,14,I,2009-02-24T00:00:00.000Z
Q015-QZ699,Q015,15,I,1999-12-01T00:00:00.000Z
QZ470,QZ470,11,I,2001-12-01T00:00:00.000Z
QZ759,QZ759,15,I,2009-06-01T00:00:00.000Z
M096-MZ338,M096,30,D,2010-01-11T00:00:00.000Z
QZ59,QZ59,16,I,1997-12-01T00:00:00.000Z
QZ608,QZ608,11,I,1999-12-01T00:00:00.000Z
QZ98,QZ98,15,I,2009-02-24T00:00:00.000Z
Q283-QZ580,Q283,14,D,2009-02-24T00:00:00.000Z
MZ399,MZ399,27,I,2006-12-01T00:00:00.000Z
QZ194,QZ194,13,I,2000-12-01T00:00:00.000Z
XZ476,XZ476,34,I,2010-06-01T00:00:00.000Z
QZ60,QZ60,11,I,1997-12-01T00:00:00.000Z
QZ886,QZ886,11,I,2006-12-01T00:00:00.000Z
QZ908,QZ908,"16, 11",I,2009-02-24T00:00:00.000Z
QZ904,QZ904,15,I,2008-06-01T00:00:00.000Z
BZ551,BZ551,21,I,2009-12-01T00:00:00.000Z
QZ537,QZ537,14,I,1999-12-01T00:00:00.000Z
Q030-QZ899,Q030,"11, 14",D,2006-12-01T00:00:00.000Z
BZ558,BZ558,25,I,2014-09-04T00:00:00.000Z
QZ298,QZ298,15,I,2001-06-01T00:00:00.000Z
QZ549,QZ549,14,I,1999-12-01T00:00:00.000Z
MZ384,MZ384,31,I,2008-12-01T00:00:00.000Z
QZ610,QZ610,10,I,2001-12-01T00:00:00.000Z
QZ107,QZ107,14,I,1997-12-01T00:00:00.000Z
QZ667,QZ667,15,I,2000-12-01T00:00:00.000Z
M096-MZ154,M096,30,D,2010-01-11T00:00:00.000Z
MZ320,MZ320,27,I,2010-01-11T00:00:00.000Z
QZ409,QZ409,11,I,2009-02-24T00:00:00.000Z
B178-BZ181,B178,17,D,2010-01-11T00:00:00.000Z
XZ486,XZ486,34,I,2006-12-01T00:00:00.000Z
X092-XZ44,X092,34,I,2010-01-11T00:00:00.000Z
QZ52,QZ52,16,I,1997-06-01T00:00:00.000Z
QZ767,QZ767,11,I,2009-02-24T00:00:00.000Z
X003-XZ456,X003,34,I,2008-06-01T00:00:00.000Z
QZ428,QZ428,14,D,2000-06-01T00:00:00.000Z
B178-BZ184,B178,17,D,2010-01-11T00:00:00.000Z
QZ444,QZ444,15,I,2001-12-01T00:00:00.000Z
QZ173,QZ173,12,I,1999-12-01T00:00:00.000Z
QZ255,QZ255,13,D,2001-12-01T00:00:00.000Z
QZ259,QZ259,13,D,2001-12-01T00:00:00.000Z
QZ932,QZ932,16,I,2008-06-01T00:00:00.000Z
QZ881,QZ881,11,I,2006-12-01T00:00:00.000Z
QZ374,QZ374,11,I,1999-06-01T00:00:00.000Z
M096-MZ164,M096,30,D,2010-01-11T00:00:00.000Z
QZ770,QZ770,11,I,2009-02-24T00:00:00.000Z
QZ369,QZ369,11,I,1999-06-01T00:00:00.000Z
X033-XZ461,X033,36,D,2006-12-01T00:00:00.000Z
XZ464,XZ464,34,I,2010-01-11T00:00:00.000Z
QZ471,QZ471,11,I,2009-02-24T00:00:00.000Z
MZ100,MZ100,30,I,2010-01-11T00:00:00.000Z
QZ147,QZ147,11,I,1999-06-01T00:00:00.000Z
B100-02,B100,17,I,2010-01-11T00:00:00.000Z
QZ346,QZ346,11,I,2001-12-01T00:00:00.000Z
MZ11,MZ11,30,I,2010-01-11T00:00:00.000Z
QZ151,QZ151,11,I,1999-06-01T00:00:00.000Z
BZ357,BZ357,22,I,2010-01-11T00:00:00.000Z
QZ515,QZ515,14,I,2001-06-01T00:00:00.000Z
QZ682,QZ682,15,I,2009-02-24T00:00:00.000Z
QZ189,QZ189,13,I,2000-12-01T00:00:00.000Z
XZ465,XZ465,34,I,2010-01-11T00:00:00.000Z
XZ121C,XZ121C,34,I,2014-09-04T00:00:00.000Z
QZ102,QZ102,14,I,1997-06-01T00:00:00.000Z
QZ235,QZ235,12,I,2000-06-01T00:00:00.000Z
QZ505,QZ505,"10, 14",I,2000-06-01T00:00:00.000Z
QZ609,QZ609,11,I,1999-12-01T00:00:00.000Z
QZ731,QZ731,14,I,2002-06-01T00:00:00.000Z
QZ390,QZ390,14,I,2000-12-01T00:00:00.000Z
QZ600,QZ600,14,I,1997-06-01T00:00:00.000Z
Q243-QZ509,Q243,10,D,2000-12-01T00:00:00.000Z
M096-MZ335,M096,30,D,2010-01-11T00:00:00.000Z
QZ729,QZ729,11,I,1997-06-01T00:00:00.000Z
Q135-QZ796,Q135,11,I,2009-02-24T00:00:00.000Z
QZ279,QZ279,13,I,2000-06-01T00:00:00.000Z
QZ101,QZ101,11,I,1997-06-01T00:00:00.000Z
QZ534,QZ534,14,I,2001-12-01T00:00:00.000Z
MZ366,MZ366,26,I,2009-06-01T00:00:00.000Z
Q190-QZ797,Q190,15,D,1997-12-01T00:00:00.000Z
QZ157,QZ157,15,I,1999-06-01T00:00:00.000Z
QZ664,QZ664,15,I,2000-12-01T00:00:00.000Z
QZ749,QZ749,15,I,2003-12-01T00:00:00.000Z
QZ303,QZ303,15,I,2001-06-01T00:00:00.000Z
QZ163,QZ163,11,I,1999-06-01T00:00:00.000Z
QZ108,QZ108,14,I,1999-12-01T00:00:00.000Z
QZ24,QZ24,15,I,1997-06-01T00:00:00.000Z
QZ242,QZ242,13,D,2000-06-01T00:00:00.000Z
X004-XZ293,X004,34,I,2010-01-11T00:00:00.000Z
MZ156,MZ156,30,I,2010-01-11T00:00:00.000Z
B032-BZ411,B032,25,I,2010-01-11T00:00:00.000Z
QZ195,QZ195,12,I,2001-12-01T00:00:00.000Z
MZ379,MZ379,27,I,2008-12-01T00:00:00.000Z
B178-BZ185,B178,17,D,2010-01-11T00:00:00.000Z
X002-XZ120,X002,34,I,2010-01-11T00:00:00.000Z
MZ112,MZ112,26,I,2010-01-11T00:00:00.000Z
B106B-BZ233,B106B,22,D,2010-01-11T00:00:00.000Z
QZ884,QZ884,11,I,2006-12-01T00:00:00.000Z
QZ665,QZ665,15,I,2000-12-01T00:00:00.000Z
QZ500,QZ500,14,I,2009-02-24T00:00:00.000Z
QZ516,QZ516,14,I,2001-06-01T00:00:00.000Z
M096-MZ159,M096,30,D,2010-01-11T00:00:00.000Z
QZ254,QZ254,13,D,2001-12-01T00:00:00.000Z
XZ93,XZ93,29,I,2010-01-11T00:00:00.000Z
Q135-QZ936,Q135,11,I,2009-02-24T00:00:00.000Z
M072-MZ54,M072,31,I,2010-01-11T00:00:00.000Z
XZ473,XZ473,34,I,2014-09-04T00:00:00.000Z
Q099-QZ840,Q099,13,I,1999-06-01T00:00:00.000Z
B198-BZ155,B198,21,I,2010-01-11T00:00:00.000Z
QZ161,QZ161,11,I,1999-12-01T00:00:00.000Z
QZ768,QZ768,11,I,2009-02-24T00:00:00.000Z
QZ377-QZ377,QZ377,11,I,1999-06-01T00:00:00.000Z
Q136A,Q136A,10,I,2009-02-24T00:00:00.000Z
QZ439,QZ439,14,D,2000-06-01T00:00:00.000Z
QZ686,QZ686,"10, 15",I,2000-06-01T00:00:00.000Z
M035-MZ89,M035,30,I,2010-01-11T00:00:00.000Z
QZ187,QZ187,11,I,1999-12-01T00:00:00.000Z
M080-MZ120,M080,26,D,2010-01-11T00:00:00.000Z
MZ245,MZ245,27,I,2010-01-11T00:00:00.000Z
QZ454,QZ454,15,I,2001-12-01T00:00:00.000Z
RZ45,RZ45,24,I,2010-01-11T00:00:00.000Z
QZ20,QZ20,14,I,2005-06-01T00:00:00.000Z
QZ678,QZ678,15,I,2000-06-01T00:00:00.000Z
