objectid,system,communityb,department,parentid,sitename,class,gsgroup,parentorg
6231,QZ517,412,Q-12,Q-12,Greenstreet,GREENST,30.0,NYCPARKS
6338,QZ589,413,Q-13,Q-13,Greenstreet,GREENST,36.0,NYCPARKS
6620,X148I3-XZ117,206,X-06,X-06,Greenstreet,GREENST,6003.0,NYCPARKS
6047,QZ877,408,Q-08,Q-08,Greenstreet,GREENST,22.0,NYCPARKS
5720,XZ471,209,X-09,X-09,,GREENST,9004.0,NYCPARKS
6021,QZ777,408,Q-08,Q-08,Greenstreet,GREENST,22.0,NYCPARKS
6606,MZ105,164,M-13,M-13,Greenstreet,GREENST,0.0,NYCPARKS
6718,XZ194,207,X-13,X-07,Greenstreet,GREENST,7007.0,NYCPARKS
5988,QZ703,407,Q-07,Q-07,Greenstreet,GREENST,,NYCPARKS
5698,MZ403,102,M-02,M-02,,GREENST,1030140.0,NYCPARKS
6190,QZ29,411,Q-11,Q-11,Greenstreet,GREENST,26.0,NYCPARKS
6258,QZ572,413,Q-13,Q-13,Greenstreet,GREENST,35.0,NYCPARKS
5497,Q072-QZ810,402,Q-02,Q072,Greenstreet (albert Short Triangle),GREENST,3.0,NYCPARKS
5891,QZ293,405,Q-05,Q-05,Greenstreet,GREENST,12.0,NYCPARKS
5843,QZ245,403,Q-03,Q-03,Greenstreet,GREENST,8.0,NYCPARKS
6649,BZ233JC-BZ409,302,B-02,B-02,Greenstreet,GREENST,,NYCPARKS
6383,QZ747,414,Q-14,Q-14,Greenstreet,GREENST,40.0,NYCPARKS
6107,QZ426,409,Q-09,Q-09,Greenstreet,GREENST,24.0,NYCPARKS
5866,QZ276,403,Q-03,Q-03,Greenstreet,GREENST,6.0,NYCPARKS
5916,QZ146,406,Q-06,Q-06,Greenstreet,GREENST,14.0,NYCPARKS
6690,M071-MZ279,107,M-14,M-14,Greenstreet,GREENST,0.0,NYCPARKS
6513,Q030-QZ898,408,Q-08,Q030,Greenstreet,GREENST,19.0,NYCPARKS
6584,M096-MZ165,110,M-10,M-10,Greenstreet,GREENST,1130080.0,NYCPARKS
5683,B008-BZ535,316,B-16,B-16,,GREENST,,NYCPARKS
6787,MZ155,110,M-10,M-10,GREENSTREET,GREENST,0.0,NYCPARKS
6439,QZ926,414,Q-14,Q-14,Greenstreet,GREENST,38.0,NYCPARKS
5747,XZ474,210,X-10,X-10,,GREENST,,NYCPARKS
6143,QZ78,410,Q-10,Q-10,Greenstreet,GREENST,25.0,NYCPARKS
5950,QZ353,407,Q-07,Q-07,Greenstreet,GREENST,15.0,NYCPARKS
5656,X058-XZ452,204,X-04,X058,,GREENST,4109.0,NYCPARKS
6750,MZ02,102,M-02,M-02,Spring Street Park,PARK,1020070.0,NYCPARKS
5636,QZ960,407,Q-07,Q-07,,GREENST,17.0,NYCPARKS
5672,RZ319,503,R-03,R-03,,GREENST,,NYCPARKS
6133,QZ77,410,Q-10,Q-10,Greenstreet,GREENST,25.0,NYCPARKS
6630,X002-XZ357,227,X-11,X-11,Greenstreet,GREENST,11001.0,NYCPARKS
6608,X010-XZ119,203,X-03,X-03,Greenstreet,GREENST,3019.0,NYCPARKS
5646,QZ965,407,Q-07,Q-07,,GREENST,17.0,NYCPARKS
6585,M096-MZ173,110,M-10,M-10,Greenstreet,GREENST,1130070.0,NYCPARKS
5868,QZ281,403,Q-03,Q-03,Greenstreet,GREENST,6.0,NYCPARKS
5633,RZ315,501,R-01,R-01,,GREENST,,NYCPARKS
5667,XZ455,204,X-04,X-04,W 170 st & Edward L Grant Hwy,GREENST,4113.0,NYCPARKS
6046,QZ876,408,Q-08,Q-08,Greenstreet,GREENST,22.0,NYCPARKS
6489,Q035-QZ260,403,Q-03,Q035,Greenstreet,GREENST,7.0,NYCPARKS
6779,MZ206,110,M-10,M-10,GREENSTREET,GREENST,0.0,NYCPARKS
5789,QZ112,402,Q-02,Q-02,Greenstreet,GREENST,3.0,NYCPARKS
5700,X042-XZ466,207,X-06,X042,,GREENST,6022.0,NYCPARKS
5600,QZ953,407,Q-07,Q-07,,GREENST,26.0,NYCPARKS
6631,X002-XZ267,227,X-11,X-06,Greenstreet,GREENST,11005.0,NYCPARKS
6194,QZ906,411,Q-11,Q-11,Greenstreet,GREENST,,NYCPARKS
6591,M141-MZ262,110,M-10,M-10,Greenstreet,GREENST,0.0,NYCPARKS
6027,QZ36B,408,Q-08,Q-08,Greenstreet,GREENST,23.0,NYCPARKS
6619,XZ315,206,X-06,X-06,Greenstreet,GREENST,6009.0,NYCPARKS
6259,QZ573,413,Q-13,Q-13,Greenstreet,GREENST,35.0,NYCPARKS
6542,Q454-QZ843,413,Q-13,Q454,Greenstreet,GREENST,34.0,NYCPARKS
6570,MZ01-MZ255,105,M-05,MZG003,Greenstreet,GREENST,1080110.0,NYCPARKS
6038,QZ425,408,Q-08,Q-08,Greenstreet,GREENST,18.0,NYCPARKS
6375,QZ684,414,Q-14,Q-14,Greenstreet,GREENST,39.0,NYCPARKS
5972,QZ745,407,Q-07,Q-07,Greenstreet,GREENST,16.0,NYCPARKS
5616,QZ954,402,Q-02,Q-02,,GREENST,3.0,NYCPARKS
5724,BZ540,306,B-06,B-06,,GREENST,,NYCPARKS
6555,Q009-QZ697,481,Q-15,Q009,Greenstreet,GREENST,41.0,NYCPARKS
6124,QZ432,409,Q-09,Q-09,Greenstreet,GREENST,24.0,NYCPARKS
5742,QZ989,414,Q-14,Q-14,Greenstreet,GREENST,,NYCPARKS
6617,X081-XZ424,204,X-04,X-04,Greenstreet,GREENST,4038.0,NYCPARKS
5890,QZ301,405,Q-05,Q-05,Greenstreet,GREENST,11.0,NYCPARKS
6217,QZ510,412,Q-12,Q-12,Greenstreet,GREENST,31.0,NYCPARKS
6351,QZ917,413,Q-13,Q-13,Greenstreet,GREENST,33.0,NYCPARKS
6446,QZ657,414,Q-14,Q-14,Greenstreet,GREENST,38.0,NYCPARKS
5621,MZ372,104,M-04,M-04,,GREENST,1060150.0,NYCPARKS
6656,BZ358,310,B-10,B-10,Greenstreet,GREENST,,NYCPARKS
6321,QZ574,413,Q-13,Q-13,Greenstreet,GREENST,35.0,NYCPARKS
6155,QZ486,411,Q-07A,Q-11,Greenstreet,GREENST,28.0,NYCPARKS
5951,QZ352,407,Q-07,Q-07,Greenstreet,GREENST,15.0,NYCPARKS
6121,QZ442,409,Q-09,Q-09,Greenstreet,GREENST,24.0,NYCPARKS
5584,M080-MZ124,103,M-03,M-03,Schiff Malls,GREENST,0.0,NYCPARKS
