unique_squirrel_id,tail_twitches,runs_from,running,kuks,:@computed_region_yeji_bk3q,foraging,specific_location,color_notes,hectare
19E-PM-1018-01,True,True,True,False,4,False,,,19E
14E-AM-1008-17,False,False,False,False,4,True,,,14E
7B-AM-1008-10,False,False,False,False,4,True,,,07B
10G-AM-1006-05,False,False,False,True,4,False,,,10G
15F-AM-1007-02,False,True,True,False,4,False,,"Listed as primary white with cinnamon highlights, I changed to Gray/cinnamon - JO",15F
14B-PM-1014-05,False,True,False,False,4,True,,,14B
9F-PM-1014-05,False,False,False,False,4,True,,,09F
36I-PM-1007-06,False,False,False,False,4,False,,,36I
33E-PM-1012-07,False,False,True,False,4,False,,,33E
36B-AM-1013-02,False,False,True,False,4,False,,,36B
36I-AM-1017-03,False,False,True,False,4,True,,Cinnamon stripe on back,36I
13C-AM-1010-03,False,False,False,False,4,False,,,13C
13D-PM-1018-02,False,False,True,False,4,False,,,13D
30A-AM-1010-01,True,True,True,False,4,False,,,30A
40G-AM-1007-01,False,False,False,False,4,False,large tree,,40G
5E-AM-1008-09,False,False,True,False,4,False,went up tree,,05E
8C-PM-1013-04,False,False,True,False,4,False,,,08C
15F-AM-1007-04,False,False,False,False,4,True,,,15F
19C-PM-1018-01,True,False,True,False,4,False,,,19C
35C-PM-1013-02,False,False,False,False,4,True,,,35C
33G-AM-1013-02,False,True,False,False,4,False,shelter in hole in tree,,33G
36I-AM-1017-06,False,False,True,False,4,False,Running down tree,Darker than others,36I
19B-PM-1018-01,False,False,True,False,4,False,,,19B
5I-PM-1008-01,False,False,False,False,4,False,in tree by arsenal - climbing,,05I
15F-PM-1010-05,False,False,False,False,4,True,,,15F
13E-AM-1017-08,False,False,False,False,4,True,,,13E
8F-PM-1012-05,True,False,True,False,4,False,,,08F
41D-AM-1014-01,False,False,False,False,4,True,,,41D
15I-AM-1008-05,False,True,False,False,4,False,,,15I
10C-PM-1013-04,False,False,False,False,4,True,,,10C
36I-PM-1007-04,False,False,False,False,4,True,,,36I
32F-PM-1008-05,False,False,False,False,4,True,,,32F
14D-PM-1019-07,False,True,False,False,4,False,,,14D
33E-AM-1014-03,False,True,False,False,4,False,,,33E
25A-AM-1013-03,False,False,False,False,4,False,BIG TREE,,25A
21F-PM-1018-03,False,False,False,False,4,True,,,21F
37E-PM-1006-04,False,False,False,False,4,True,,,37E
35A-AM-1014-06,False,False,False,False,4,False,,,35A
17D-AM-1008-06,False,False,False,True,4,False,"high in tree, couldn't see it, only heard it",,17D
9B-PM-1013-07,True,False,False,False,4,True,,,09B
7A-AM-1006-02,False,True,False,False,4,False,in tree,,07A
34D-PM-1007-02,False,False,True,False,4,False,,,34D
31E-PM-1006-01,False,False,False,False,4,True,under bushes,,31E
31I-PM-1019-02,False,False,False,False,4,True,,,31I
13A-PM-1014-03,False,True,False,False,4,False,,,13A
9B-PM-1013-04,True,False,False,False,4,False,,,09B
34B-AM-1013-03,False,True,True,False,4,False,,,34B
16E-AM-1014-03,False,False,False,False,4,True,,,16E
9B-AM-1010-01,False,True,False,True,4,True,,,09B
36C-PM-1013-06,False,False,True,False,4,True,Running across wide street,,36C
3D-AM-1006-03,False,False,True,False,4,False,on top [of] a big rock/boulder in the area,,03D
8E-PM-1008-05,False,False,False,False,4,True,"5, 6, 7 all at same tree trunk base",,08E
14F-PM-1012-02,False,False,False,False,4,False,,,14F
22C-PM-1006-05,False,False,False,False,4,False,,,22C
38D-PM-1006-01,False,False,True,False,4,False,,,38D
4G-PM-1007-01,False,False,False,False,4,True,,,04G
17I-PM-1017-01,False,False,False,False,4,False,,,17I
11H-AM-1010-04,True,False,False,False,4,True,,,11H
21A-AM-1019-06,False,False,False,False,4,True,,,21A
35A-AM-1014-05,False,True,True,False,4,False,,,35A
21A-AM-1019-08,False,False,False,False,4,True,,,21A
32E-PM-1017-13,False,False,False,False,4,True,,Nothing selected as Primary. Gray selected as Highlights. Made executive adjustments.,32E
39C-PM-1006-02,False,False,False,False,4,False,,,39C
13D-PM-1018-13,False,False,False,False,4,True,,"Gray, Cinnamon & White selected as Primary. White selected as Highlights. Made executive adjustments.",13D
1G-PM-1010-01,False,False,False,False,4,False,,,01G
33E-AM-1014-02,False,True,False,False,4,False,,,33E
39H-PM-1013-01,False,False,False,False,4,False,,,39H
29C-AM-1007-03,False,True,True,False,4,False,,,29C
12F-PM-1007-04,False,False,False,False,4,True,,,12F
32I-AM-1013-05,False,False,False,False,4,True,In and below shrub,,32I
12G-PM-1007-05,False,False,False,False,4,False,,,12G
34I-PM-1010-03,False,False,True,False,4,True,in the playground.,,34I
1H-AM-1012-02,False,False,True,False,4,False,,,01H
30B-AM-1007-05,False,False,True,False,4,False,,,30B
26I-PM-1010-05,False,False,False,False,4,True,tree,,26I
