property_id,hospital_general_medical_1,council_district,_3rd_largest_property_use_1,last_modified_date_property_1,primary_property_type,report_year,last_modified_date_gas_meters,nta2020,multifamily_housing_percent,percent_of_electricity_that,estimated_data_flag_natural,adult_education_gross_floor,data_center_pdu_input_meter,multifamily_housing_number_1,office_worker_density_number,avoided_emissions_onsite,multifamily_housing_number_3,urgent_care_clinic_other,residence_hall_dormitory,museum_gross_floor_area_ft,financial_office_gross_floor,occupancy,avoided_emissions_offsite,pre_school_daycare_gross,electricity_use_grid_purchase_3,electricity_weather_normalized_1,hospital_general_medical_2,alert_water_meter_has_less,estimated_data_flag_fuel_1,data_center_cooling_equipment,number_of_active_energy_meters_1,largest_property_use_type,college_university_gross,office_number_of_computers,food_service_gross_floor,performing_arts_gross_floor,multifamily_housing_number_6,wholesale_club_supercenter_1,medical_office_percent_that_1,source_energy_use_kbtu,estimated_data_flag_1,multifamily_housing_number_4,annual_maximum_demand_kw,data_center_it_energy,parking_partially_enclosed,national_median_reference,alert_energy_meter_has_less,energy_star_certification,multifamily_housing_number,natural_gas_weather_normalized,distribution_center_gross,multifamily_housing_resident
2800624,Not Available,9.0,Not Available,2020-03-10T00:00:00.000,Multifamily Housing,2022,2023-04-08T00:00:00.000,MN0903,90,0,No,Not Available,Not Available,0.94592,Not Available,Not Available,5,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1209328.8,2,Not Available,Ok,No,Not Available,6,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,15306431.7,Not Available,123,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,160,2706,Not Available,No specific resident population
28349578,Not Available,49.0,Not Available,,Manufacturing/Industrial Plant,2022,,SI0101,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,0,0,Not Available,Unable to Check (not enough data),Not Available,Not Available,2,Manufacturing/Industrial Plant,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,,Ok,Not Available,Not Available,0,Not Available,Not Available
2709443,Not Available,20.0,11140,2020-03-17T00:00:00.000,Multifamily Housing,2022,2023-04-14T00:00:00.000,QN0704,90,0,No,Not Available,Not Available,1.14233,2.3,Not Available,8,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1920157.6,5.8,Not Available,Ok,Not Available,Not Available,5,Multifamily Housing,Not Available,25,Not Available,Not Available,0,Not Available,Not Available,11714241.2,Not Available,82,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,82,62203,Not Available,No specific resident population
2771469,Not Available,6.0,Not Available,2020-02-26T00:00:00.000,Multifamily Housing,2022,2023-03-09T00:00:00.000,MN0502,90,0,No,Not Available,Not Available,1.03393,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,2214736,25.4,Not Available,Unable to Check (not enough data),Not Available,Not Available,13,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,18,Not Available,Not Available,10625016.3,Not Available,14,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,82,43436.1,Not Available,Not Available
17387092,Not Available,1.0,Not Available,2021-09-02T00:00:00.000,Office,2022,2023-03-03T00:00:00.000,MN0201,Not Available,0,Yes,Not Available,Not Available,Not Available,1.76482,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,628667.8,7,Not Available,Ok,Not Available,Not Available,7,Office,Not Available,41,Not Available,Not Available,Not Available,Not Available,Not Available,1770979.9,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Ok,Not Available,Not Available,102,Not Available,Not Available
28524291,Not Available,45.0,Not Available,2023-07-25T00:00:00.000,Multifamily Housing,2022,,BK1701,100,0.00E+00,Not Available,Not Available,Not Available,1.09056,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,0,Not Available,286761.5,3.2,Not Available,Ok,No,Not Available,3,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,1499414.1,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,28,Not Available,Not Available,Not Available
26710209,Not Available,17.0,Not Available,2023-05-01T00:00:00.000,Office,2022,2023-05-01T00:00:00.000,BX0202,Not Available,0,No,Not Available,Not Available,Not Available,4.44444,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1150990.4,9.8,Not Available,Ok,Not Available,Not Available,11,Office,Not Available,150,Not Available,Not Available,Not Available,Not Available,Not Available,21502737.8,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Ok,Not Available,Not Available,178622.7,Not Available,Not Available
28119913,Not Available,30.0,Not Available,2023-07-12T00:00:00.000,Non-Refrigerated Warehouse,2022,2023-07-09T00:00:00.000,QN0501,Not Available,0,No,Not Available,Not Available,Not Available,1.33333,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,0,Not Available,18302,0.1,Not Available,Ok,Not Available,Not Available,5,Non-Refrigerated Warehouse,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,485000.5,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Non-Refrigerated Warehouse,Ok,Not Available,Not Available,4343.2,Not Available,Not Available
6768068,Not Available,3.0,Not Available,2019-03-24T00:00:00.000,Office,2022,2022-03-30T00:00:00.000,MN0501,Not Available,0,No,Not Available,Not Available,Not Available,2.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,945372.1,Not Available,Not Available,Ok,No,Not Available,4,Office,Not Available,127.58,Not Available,Not Available,Not Available,Not Available,Not Available,4910784.5,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Ok,Not Available,Not Available,Not Available,Not Available,Not Available
2710810,Not Available,35.0,Not Available,2022-04-18T00:00:00.000,Multifamily Housing,2022,2023-04-03T00:00:00.000,BK0802,100,0,No,Not Available,Not Available,1.69356,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,734593.4,2.8,Not Available,Ok,Not Available,Not Available,3,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,62,Not Available,Not Available,9359908.7,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,127,71984.5,Not Available,Not Available
15306290,Not Available,17.0,Not Available,2022-05-22T00:00:00.000,Multifamily Housing,2022,2023-03-03T00:00:00.000,BX0202,100,0,No,Not Available,Not Available,1.38925,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,819852.4,5.1,Not Available,Unable to Check (not enough data),No,Not Available,9,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,51,Not Available,Not Available,5915977.7,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,64,2958,Not Available,No specific resident population
23095886,Not Available,4.0,Not Available,2022-10-19T00:00:00.000,Hotel,2022,2023-03-03T00:00:00.000,MN0502,Not Available,0,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1744238.3,42.7,Not Available,Ok,Not Available,Not Available,3,Hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6025217.2,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Hotel & Motel/Inn,Ok,Not Available,Not Available,11094.3,Not Available,Not Available
24774626,Not Available,1.0,Not Available,2023-02-01T00:00:00.000,Multifamily Housing,2022,2023-03-03T00:00:00.000,MN0302,100,0,No,Not Available,Not Available,1.17639,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,95,0,Not Available,1107398.7,7.3,Not Available,Ok,Not Available,Not Available,5,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,5853711.4,Not Available,23,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,52,26801.3,Not Available,Not Available
6936560,Not Available,14.0,Not Available,2020-01-31T00:00:00.000,Multifamily Housing,2022,2023-03-10T00:00:00.000,BX0502,50,0,No,Not Available,Not Available,1.97576,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,435009.5,3.4,Not Available,Ok,Not Available,Not Available,3,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,39,Not Available,Not Available,5039816.5,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,75,37491.3,Not Available,No specific resident population
8490981,Not Available,34.0,Not Available,2019-10-12T00:00:00.000,Non-Refrigerated Warehouse,2022,2023-04-22T00:00:00.000,BK0104,Not Available,0,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,15343.8,0.1,Not Available,Unable to Check (not enough data),Not Available,Not Available,3,Non-Refrigerated Warehouse,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,73097.5,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Non-Refrigerated Warehouse,Ok,Not Available,Not Available,298.1,Not Available,Not Available
24774628,Not Available,2.0,Not Available,2023-02-01T00:00:00.000,Multifamily Housing,2022,2023-03-03T00:00:00.000,MN0202,100,0,No,Not Available,Not Available,0.78962,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,95,0,Not Available,226133.7,1.7,Not Available,Ok,Not Available,Not Available,6,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,18,Not Available,Not Available,659424.4,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,30,250,Not Available,Not Available
15746283,Not Available,22.0,Not Available,2023-04-18T00:00:00.000,Office,2022,2023-03-03T00:00:00.000,QN0105,Not Available,0,No,Not Available,Not Available,Not Available,2.29927,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1456872.8,15.2,Not Available,Ok,Not Available,Not Available,2,Office,Not Available,54,Not Available,Not Available,Not Available,Not Available,Not Available,5399933.9,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Ok,Not Available,Not Available,13162.6,Not Available,Not Available
7079432,Not Available,15.0,Not Available,2020-12-08T00:00:00.000,Multifamily Housing,2022,2023-04-03T00:00:00.000,BX0702,0,0,No,Not Available,Not Available,1.78688,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,500117.3,4.6,Not Available,Ok,Not Available,Not Available,6,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,31,Not Available,Not Available,5158698.4,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,55,36796.6,Not Available,No specific resident population
21694896,Not Available,3.0,Not Available,2023-03-14T00:00:00.000,Retail Store,2022,2023-03-03T00:00:00.000,MN0203,Not Available,0,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,0,Not Available,573615.2,39.8,Not Available,Ok,Not Available,Not Available,6,Retail Store,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2083767.4,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Retail Store,Ok,Not Available,Not Available,4549,Not Available,Not Available
14997976,Not Available,14.0,Not Available,2021-03-15T00:00:00.000,Multifamily Housing,2022,2023-04-25T00:00:00.000,BX0702,0,0,No,Not Available,Not Available,1.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,593161.9,Not Available,Not Available,Ok,Not Available,Not Available,4,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,10,Not Available,Not Available,3734522.9,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,49.74,Not Available,Not Available,Not Available
2734728,Not Available,26.0,2700,2020-04-12T00:00:00.000,Multifamily Housing,2022,2023-03-18T00:00:00.000,QN0202,90,0,Yes,Not Available,Not Available,1.03283,2.22222,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,715916.1,2.9,Not Available,Ok,Not Available,Not Available,7,Multifamily Housing,Not Available,5,Not Available,Not Available,70,Not Available,Not Available,5572150.4,Not Available,0,Not Available,Not Available,0,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,70,35041.5,Not Available,No specific resident population
24774635,Not Available,4.0,Not Available,2023-02-01T00:00:00.000,Multifamily Housing,2022,2023-03-03T00:00:00.000,MN0802,100,0,No,Not Available,Not Available,1.45029,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,95,0,Not Available,684464.3,4.8,Not Available,Ok,Not Available,Not Available,9,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,6207427.2,Not Available,36,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,60,292,Not Available,Not Available
2715746,Not Available,4.0,2385,2020-06-01T00:00:00.000,Multifamily Housing,2022,2023-04-13T00:00:00.000,MN0802,90,0,No,Not Available,Not Available,0.78042,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,2642518.9,5.2,Not Available,Ok,Not Available,Not Available,10,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,13024637.9,Not Available,49,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,106,56282.9,Not Available,Not Available
2795652,Not Available,14.0,Not Available,2020-03-12T00:00:00.000,Multifamily Housing,2022,2023-04-13T00:00:00.000,BX0701,90,0,No,Not Available,Not Available,0.86266,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,800980.6,2.8,Not Available,Ok,No,Not Available,9,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,53,Not Available,Not Available,6683996.9,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,70,38312.9,Not Available,No specific resident population
24214989,Not Available,20.0,Not Available,2022-12-15T00:00:00.000,Multifamily Housing,2022,2023-03-03T00:00:00.000,QN0704,100,0,No,Not Available,Not Available,1.21429,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,0,Not Available,1660664.8,3.4,Not Available,Ok,Not Available,Not Available,5,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,146,Not Available,Not Available,17119766.8,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,170,122433.6,Not Available,Not Available
18004868,Not Available,18.0,Not Available,2022-05-05T00:00:00.000,K-12 School,2022,2023-03-03T00:00:00.000,BX0904,Not Available,0,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,2337011.9,66.2,Not Available,Ok,Not Available,Not Available,2,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7717323.2,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Ok,Not Available,Not Available,11689,Not Available,Not Available
18104646,Not Available,48.0,Not Available,2021-10-26T00:00:00.000,Multifamily Housing,2022,2023-01-07T00:00:00.000,BK1501,100,0,No,Not Available,Not Available,0.97561,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,45,0,Not Available,305769.8,7.6,Not Available,Ok,Not Available,Not Available,4,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,20,Not Available,Not Available,2029740.4,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,40,11388.9,Not Available,No specific resident population
15288693,Not Available,34.0,Not Available,2022-05-15T00:00:00.000,Multifamily Housing,2022,2023-04-07T00:00:00.000,BK0102,100,0,No,Not Available,Not Available,2.44833,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,513843.8,5.3,Not Available,Ok,Not Available,Not Available,4,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,35,Not Available,Not Available,4053892.8,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,68,25713.2,Not Available,No specific resident population
2876343,Not Available,1.0,Not Available,2020-03-18T00:00:00.000,Multifamily Housing,2022,2023-03-18T00:00:00.000,MN0201,90,0,No,Not Available,Not Available,0.13325,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1368515.7,5.3,Not Available,Possible Issue,No,Not Available,8,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,7005645.4,Not Available,8,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,8,1754,Not Available,No specific resident population
20474488,Not Available,3.0,Not Available,2022-04-07T00:00:00.000,Office,2022,2023-03-21T00:00:00.000,MN0501,Not Available,0,No,Not Available,Not Available,Not Available,0.53097,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,60,0,Not Available,2858686.2,7.4,Not Available,Possible Issue,Not Available,Not Available,5,Office,Not Available,60,Not Available,Not Available,Not Available,Not Available,Not Available,11826583.8,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Ok,Not Available,Not Available,23676,Not Available,Not Available
15582602,Not Available,3.0,Not Available,2021-04-20T00:00:00.000,Hotel,2022,2023-04-18T00:00:00.000,MN0402,Not Available,0,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,5929963.9,15.1,Not Available,Possible Issue,Not Available,Not Available,2,Hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20771873.4,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Hotel & Motel/Inn,Ok,Not Available,Not Available,39695,Not Available,Not Available
20805143,Not Available,33.0,Not Available,2022-04-26T00:00:00.000,Multifamily Housing,2022,2023-01-07T00:00:00.000,BK0201,100,0,No,Not Available,Not Available,1.60851,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,0,Not Available,594633.1,14.7,Not Available,Ok,Not Available,Not Available,4,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,42,Not Available,Not Available,2528492.8,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,65,8224,Not Available,Not Available
22740715,Not Available,,Not Available,2022-09-23T00:00:00.000,Non-Refrigerated Warehouse,2022,,,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,2265158.6,1133.7,Not Available,Unable to Check (not enough data),Not Available,Not Available,2,Non-Refrigerated Warehouse,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6342443.9,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Non-Refrigerated Warehouse,Ok,Not Available,Not Available,Not Available,Not Available,Not Available
24127141,Not Available,26.0,10200,2023-02-21T00:00:00.000,Mixed Use Property,2022,2023-03-07T00:00:00.000,QN0201,Not Available,0,No,Not Available,Not Available,Not Available,1.96078,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1746476.6,10,Not Available,Unable to Check (not enough data),Not Available,Not Available,4,Refrigerated Warehouse,Not Available,20,Not Available,Not Available,Not Available,Not Available,Not Available,5618414.4,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Other,Ok,Not Available,Not Available,7072.6,Not Available,Not Available
2803972,Not Available,4.0,Not Available,2020-04-12T00:00:00.000,Multifamily Housing,2022,2023-04-03T00:00:00.000,MN0604,90,0,No,Not Available,Not Available,1.16684,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,6514047.1,8.4,Not Available,Ok,No,Not Available,12,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,37139779.8,Not Available,249,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,249,11293,Not Available,No specific resident population
2715809,Not Available,45.0,Not Available,2020-06-02T00:00:00.000,Multifamily Housing,2022,2023-04-13T00:00:00.000,BK1403,90,0,No,Not Available,Not Available,1.34517,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1453945.3,2.6,Not Available,Ok,Yes,Not Available,6,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,130,Not Available,Not Available,13662415.2,Not Available,0,Not Available,Not Available,0,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,214,92121.6,Not Available,Not Available
