gispropnum,global_id,pip_ratabl,department,commission,eapply,gisobjid-parentid
X195E,{5BF2B2E9-AFA1-411C-A57E-8E10DCC388F1},No,X-09,20140724000000.0,Park,100008357-X-09
M195,{3E48CA9D-4DF3-4A9D-9006-1097BFB0CFCC},Yes,M-03,20100106000000.0,Sidney Hillman Playground,100004373-M-03
M219,{BD74FF76-7CF3-456E-8DDC-765D5B50E79C},Yes,M-07,20100106000000.0,Tecumseh Playground,100004668-M-07
Q096B,{A7BB8755-91DC-405B-9CB3-7BC56D6E433C},Yes,Q-10,,Southern Fields,100007898-Q-10
X116,{C81F8FDD-AFD6-4CE8-AC02-DD043066BA6A},Yes,X-02,20100106000000.0,Rev J Polite Playground,100005185-X-02
X258,{2021ABB5-509D-4BD8-96F7-77453CD1BEC7},Yes,X-05,20100106000000.0,Cleopatra Playground,100004904-X-05
M067,{15B072EE-8468-4F73-93BD-83C3BD24356D},Yes,M-03,20100106000000.0,Sophie Irene Loeb,100004756-M-03
B429,{8AA1C01E-5D4D-4045-9C4B-09BE90FA4DF2},Yes,B-04,20100106000000.0,Hope Ballfields,100004257-B-04
B135,{9720118A-2A68-4CD0-8388-0AFDA7843B72},Yes,B-01,20100106000000.0,Newtown Barge Playground,100003859-B-01
X284,{525982B4-839B-436B-84C5-5B6C8D0B4FAD},Yes,X-02,20100106000000.0,Printer's Park,100004949-X-02
M276,{55437A65-B889-4AD5-95F0-E832B459471D},No,M-02,20100106000000.0,The Public Theater,100005031-M-02
B047A,{2F47626E-33F8-4E15-98C3-A5D942B66483},No,Q-05A,20100106000000.0,Highland Park Childrens Garden (BOOKED BY QUEENS),100003695-B-05
Q464,{1AEAE35B-1374-45AC-8866-7035922C15F1},No,Q-14,20090423000000.0,Brant Point Wildlife Sanctuary,100000421-Q-14
X314,{FC3CAC4D-DD4B-489C-BBC8-42B9B7F5A86D},No,X-01,20100106000000.0,Isla Verde Garden,100004966-X-01
X217,{793BC8CB-8319-42D3-B289-589355D301ED},Yes,X-01,20100106000000.0,Willis Playground,100005063-X-01
B394,{32CEAF16-0F33-45C7-9842-C6A55377B2F4},No,B-18,20100106000000.0,Four Sparrow Marsh,100004883-B-18
M379,{4AFACBD3-C30E-4948-BE9B-35EECBA0E49B},Yes,M-01,20100106000000.0,Canal Park,100003805-M-01
B367,{01AD13F4-0459-44AD-976B-9A84F11D1D1D},Yes,B-16,20100106000000.0,Livonia Park,100004252-B-16
B151,{854B2610-8BEC-45F0-A2E6-1CB7438EE555},Yes,B-12,20100106000000.0,Dome Playground,100004308-B-12
M069,{1AED20BF-2B18-478B-BB2D-4CEFA85683C7},Yes,M-02,20100106000000.0,Vesuvio Playground,100004938-M-02
M361,{78B799A1-4216-4643-AD02-B5E98A723324},No,M-03,20100106000000.0,Lower East Side Ecology Center,100003808-M-03
B058,{844F730C-7ED2-46FD-B641-9411AB7281F4},No,B-01,20100106000000.0,McCarren Park,100004428-B-01
Q469,{CDAB8CFB-1E49-4EA2-B355-45FC807C776D},No,Q-14,20090423000000.0,Seagirt Ave Wetlands,100000049-Q-14
B055,{9C9563A8-39F5-4CBB-A164-34D22770097D},Yes,B-01,20100106000000.0,Sternberg Park (Lindsey Park),100003863-B-01
Q391,{75534548-BB21-471B-B877-E99EDD3A40A2},Yes,Q-08,,Joseph Austin Playground,100000250-Q-08
B223R,{A2C79C14-76FA-4457-A54E-C505B7FB6076},Yes,B-01,20100106000000.0,Jaime Campiz Playground,100004394-B-01
B223DF,{733E447E-E98C-4822-9FD9-BD5F02FF2FB7},No,B-02,20100106000000.0,Brooklyn Heights Promenade,100004438-B-02
B245,{A168DC36-25D9-4480-8304-6FE3EF78070C},Yes,B-08,20100106000000.0,St. John's Park,100004071-B-08
B384,{AB462236-C5A9-4606-A1F3-9C5CB782FCDA},Yes,B-18,20100106000000.0,Fresh Creek Nature Preserve,100003745-B-18
X270,{753DEF5E-1F9D-4E8F-8FC7-45EB5F0055EA},No,X-03,20100106000000.0,Freeman Garden,100004101-X-03
B234,{D14B29EA-47A5-41BE-9158-8ADF579A8746},Yes,B-17,20100106000000.0,Tilden Playground,100004161-B-17
Q355,{62700020-4840-4F4A-A15A-7D65B9A6A794},Yes,Q-01,20090423000000.0,Strippoli Square,100000375-Q-01
X142,{F883B0AA-D83C-481C-AA13-261DA55C619B},No,X-08,20100106000000.0,Riverdale Park,100004035-X-08
B391,{A5D4F820-6198-45E2-AE6A-21A889855209},Yes,B-14,20100106000000.0,Lt. Federico Narvaez Tot Lot,100003848-B-14
X174,{37A31993-CD77-4D82-BBFE-E79B4F5628A3},Yes,X-06,20100106000000.0,Webster Playground,100004845-X-06
B255D,{D72DF938-3CC1-4728-87B1-9973B9DC7094},Yes,B-07,20100106000000.0,Park,100003914-B-07
M365,{1B8D70FD-3188-425A-B51A-B269F0CF5CD4},No,M-10,20100106000000.0,Our Little Green Acre Garden,100004274-M-10
R011,{BF441685-C447-4AAB-8918-5B3CC5287E22},Yes,R-01,20100106000000.0,Hero Park,100004540-R-01
M308,{0EE9A179-AAE2-452B-9819-2E93EC8C2A13},Yes,M-01,20100106000000.0,Washington Market Park,100004773-M-01
Q334,{72394AC0-7107-4E94-A5B5-F23C993FF86A},Yes,Q-07,,Playground Twenty One,100000454-Q-07
M235,{03F6D229-687D-4750-B62B-9608592B4104},Yes,M-03,20100106000000.0,Sol Lain Plgd,100004280-M-03
B106B,{BCB65C76-437A-4061-AD75-6DB34AED3DFD},Yes,B-13,20100106000000.0,Lafayette Playground (JOP),100004250-B-13
M122,{7CBED419-691D-4396-82C5-73DB064A4C5F},Yes,M-03,20100106000000.0,Captain Jacob Joseph Playground,100003898-M-03
Q494,{5F6C6C83-72E4-4EE8-8272-E3D4668B8DD8},Yes,Q-14,,Flight 587 Memorial Park,100000090-Q-14
Q162H01,{1BFE5327-5293-466C-B420-F73ED1C6BB3A},No,Q-14,20100106000000.0,Park,100000122-Q-14
B077,{F75E182D-5E88-4682-9DEE-6E7BF00DB3C5},Yes,B-06,20100106000000.0,Coffey Park,100004314-B-06
X304,{BC18FFD7-282C-4521-85E3-5E1007E464D1},No,X-02,,Tiffany Street Pier,100004687-X-02
B313,{B9B72EB4-4768-4CA9-B186-E64CF2F0626C},Yes,B-03,20100106000000.0,El Shabazz Playground (PS 262),100004620-B-03
Q100A,{4A48662F-0062-42F0-A485-3F0BE8B11A8A},Yes,Q-07,20090423000000.0,Daniel Carter Beard Mall,100000158-Q-07
B488,{A3ED8797-A9F4-4232-8885-DB4170401D4D},No,B-03,20100106000000.0,Red Gate Garden,100004021-B-03
B494,{85477485-CEC6-4828-AF27-B042E466C59C},No,B-03,20100106000000.0,Vernon Tandt Block Association,100004618-B-03
M130,{26B901CA-AE06-4CFE-B1C8-F6C58567E5BB},No,M-06,20100106000000.0,Recreation Center 54,100003730-M-06
X356,{7D5FAA1D-FB0A-470F-9BA9-CD533593FD16},No,X-03,20130114000000.0,Little Green Garden,100008351-X-03
B223DB,{72DC02CD-A45B-4DAA-BA5E-3F274D2208FB},No,B-02,20100106000000.0,Brooklyn Heights Promenade,100003868-B-02
Q446,{6838B0FF-BA34-48E0-B9D1-583C2BBA4E28},No,Q-14,20090423000000.0,Sorrentino Recreation Center,100000088-Q-14
M145,{64A34F0F-159E-4EEB-A181-B809222BA95D},Yes,M-01,20100106000000.0,Albert Capsouto Park,100004104-M-01
B202,{F4E5500C-9BCF-45ED-B14D-094952BD6E80},Yes,B-01,20100106000000.0,Lithuania Square,100004088-B-01
Q133A,{2F2D1A4B-66AF-4C72-A988-06B954738D16},Yes,Q-13,,Park,100008329-Q-13
X139,{5FF77CFA-B984-4341-A839-BA1ABE1B0A52},Yes,X-01,20100106000000.0,Gouverneur Morris Triangle,100004413-X-01
Q052,{509727ED-DA77-48AB-AB5F-F5843C36E452},Yes,Q-08,20090423000000.0,Captain Tilly Park,100000320-Q-08
M072,{7DF7CC7E-9717-4314-B32D-6A44E171A621},No,M-14,20100106000000.0,Riverside Park,100005045-M-14
B246,{0374C559-56ED-4988-BA55-62CAE46E2A97},Yes,B-05,20100106000000.0,Jerome Playground (PS 273),100004184-B-05
X154,{36C1A3DB-2755-46E6-A13C-2642A1EC8FD0},Yes,X-01,20100106000000.0,Melrose Playground,100004886-X-01
M060B,{FF7312B0-C505-40EA-9A80-C586942B091B},No,M-06,20100106000000.0,Park Avenue Malls 34th-39th,100005200-M-06
X253,{0A4EA237-4E52-4AEA-8B1F-A05089FF2FC1},Yes,X-15,20100106000000.0,Ambrosini Field,100004813-X-10
Q354,{FDDAC8EA-F232-4301-A0DD-32D6AEFFB3A7},Yes,Q-08,20090423000000.0,Playground Seventy Five,100000233-Q-08
Q411,{F271B81B-C39A-4432-9A25-AEA6ABEFA518},No,Q-11,,Douglaston Park Golf Course,100000252-Q-11
M033,{D00C4E51-80F2-4CA2-8928-93161F8C15A8},Yes,M-03,20100106000000.0,Hamilton Fish Park,100005068-M-03
R171,{85231BE6-F11A-4645-8354-40F9109136FE},,R-01,,,100042702-R-01
M059,{FA432DB3-2C80-4B4D-B8B4-C8C3211EBCB2},Yes,M-06,20100106000000.0,Murphys Brothers Playground,100004741-M-06
X349,{7A10EF3A-3F70-499B-8F21-DADAB024ACFF},No,X-03,20100106000000.0,Jardin de la Roca,100003876-X-03
B052,{7F0B42CD-0BB3-4CF1-BA89-E6586431B7D0},Yes,B-10,20100106000000.0,Leif Ericson Park,100004465-B-10
Q393H,{5F73DD18-0906-47A5-8C4D-1BE29CDEC8D6},Yes,Q-03,20090423000000.0,LaGuardia Landing Lights,100000282-Q-03
B111A,{8842C92B-92E3-49EB-99E4-61493E957B92},Yes,B-06,20100106000000.0,JHS 51 JOP,100003913-B-06
R088,{F92F99BD-A37C-4B40-89DD-0989C91D6F7C},No,R-02,,High Rock Park,100004808-R-02
X148C3,{859EED3E-D77A-4862-8B4B-22007F0C2C2E},Yes,X-04,20100106000000.0,Inwood Park,100004952-X-04
B324,{15373BE7-0EF4-4B2F-96BC-B4DEF766450E},Yes,B-18,20100106000000.0,Jacob Joffe Fields,100004147-B-18
X148I2,{62554866-6428-4EF7-96E6-A34EC5933DF3},No,X-06,20100106000000.0,Strip,100005071-X-03
B545,{FEFB64B7-E81C-41F8-B16D-E9BE5ACEC1FA},No,B-01,20130114000000.0,Oko Farms Aquaponics Education Garden,100008356-B-01
B261,{B4CCAF22-EF33-4A8E-8839-20BBBC7AD72A},Yes,B-05,20100106000000.0,Sankofa Park,100004726-B-05
Q284,{45B7F06B-C5B9-449F-8533-FCEC089C89F3},Yes,Q-01,20090423000000.0,sixteen Oaks Grove,100000449-Q-01
Q096,{F9FD25ED-3B64-4849-A637-79D12F811721},No,Q-10,,Southern Parkway,100000385-Q-10
B205,{295CA01F-561D-4100-B5AD-2D8C23882267},Yes,B-15,20110712000000.0,Corporal Wiltshire Square,100006886-B-15
R132,{CE57A32B-7860-4EA4-8505-5CAD00DEA7AC},No,R-03,20100106000000.0,Bunker Ponds Park,100004989-R-03
X021,{E848978D-935A-4740-B50B-E3429FD6D481},Yes,X-03,20100106000000.0,Drew Playground,100005012-X-03
Q360M,{FDC80590-FB33-438A-A179-BD4799020F5A},Yes,Q-05,20090423000000.0,Frontera Park,100000461-Q-05
Q400,{80EE6F41-8ECE-40CB-AB06-819401523580},Yes,Q-07A,20110712000000.0,Oakland Gardens,100000418-Q-11
B278,{C44EEDAC-2650-420C-938D-7CA6564F6688},Yes,B-05,20110712000000.0,Sam Leggio Triangle,100007077-B-05
M086,{19D16062-BB0F-4ED8-A495-42D822631BA7},Yes,M-06,20100106000000.0,Stuyvesant Square,100005108-M-06
B159,{E5888225-F6A3-426B-BCEE-34A6D129668B},Yes,B-08,20100106000000.0,Mount Prospect Park,100004388-B-08
B352,{B451EA54-E79C-4386-961C-BA61E781A5AE},Yes,B-18,20100106000000.0,Curtis Playground,100004064-B-18
Q471,{906F07E6-3A5C-4FBD-8DD8-636590A2ED0B},No,Q-02,20090423000000.0,Hunter's Point South Park,100000265-Q-02
Q512,{429A04BA-3FC8-42D6-A301-9A41B661AB04},No,Q-12,,,100042695-Q-12
M211A,{D5A5D7F8-B604-4C0F-8DBD-BF7360663B64},Yes,M-10,20100106000000.0,St. Nicholas Playground South,100004108-M-10
X150D,{B3571249-2D54-4CA6-81F8-3D31D541FAFA},No,X-07,20100106000000.0,Gasoline Alley,100003746-X-07
M108B,{333D915E-4392-4913-B94A-5B8E9A7AC5B9},No,M-11,20100106000000.0,Park,100004785-M-11
X119,{6F919BCC-66C0-4E08-AC7D-636D8C7521A4},Yes,X-01,20100106000000.0,Alexander's Alley,100004954-X-01
M001,{D4618026-3E38-46A3-83F0-C1C87E1E4DF2},Yes,M-02,20100106000000.0,Abingdon Square,100004667-M-02
B090,{B5F9F939-D8BC-4EEF-849A-0ED264E1173D},Yes,B-01,20100106000000.0,Sobel Playground,100003875-B-01
Q468,{63676E72-5A1C-484A-BD8B-9D323E4858FC},No,Q-03,20090423000000.0,Louis Armstrong Community Center,100000263-Q-03
B368,{0DCACC5D-2E25-4684-B37C-24A462F3A749},No,B-13,20100106000000.0,Cyclone Site,100003997-B-13
X096,{5704558E-8032-48AC-8004-73DBDF775568},Yes,X-13,20100106000000.0,Rita Ley Triangle,100005204-X-12
B021,{D23C0332-C83C-4375-A9CB-AFEB03C8B3D8},Yes,B-02,20100106000000.0,Commodore Barry Park,100004435-B-02
Q296,{96F6BA6B-0EAA-43FC-BDBB-3CDFE09CF97C},Yes,Q-01,20090423000000.0,Playground Thirty Five XXXV,100000450-Q-01
R099,{03E73453-B96F-4321-96CE-D24C3DD0C9A3},Yes,R-03,20100106000000.0,Park,100003818-R-03
M215,{7A9F528D-C2ED-4E2E-B26C-3791B0BACB09},Yes,M-11,20100106000000.0,Cherry Tree Park,100004363-M-11
M161,{83DDB79F-F603-424C-A7CF-264D2E08AC6F},Yes,M-04,20100106000000.0,McCaffrey Playground,100004217-M-04
Q066H,{4CFA9421-3D04-46C8-A0BE-9C8080CDD298},Yes,Q-01,20090423000000.0,Chappetto Square,100000149-Q-01
M042,{B2B11A75-EF65-4990-B9C7-C19591B33336},No,M-12,20100106000000.0,Inwood Hill Park,100004337-M-12
M260,{7AD20379-1418-479B-A0F0-E0AAED094D75},No,M-04,20100106000000.0,Chelsea Recreation Center,100004218-M-04
R038B,{9A07D0C0-B6D2-4BCA-B7A5-C4D434449616},No,R-02B,20100106000000.0,Park,100003752-R-02
B215,{367BAF82-747A-46F3-9E74-EA99378D4F2B},Yes,B-03,20100106000000.0,Decatur Playground (PS 35),100004542-B-03
B297,{3D60D1B7-D2D6-4408-9301-BDF84926E5A0},Yes,B-12,20100106000000.0,Albemarle Playground (PS 230),100004017-B-12
X051,{7B5D536A-422B-494F-B1D9-ED2233C1EC20},Yes,X-05,20100106000000.0,University Woods,100004111-X-05
B032,{5213D76F-C703-4A7D-AE7A-4EC4A2A367E1},No,B-02,20100106000000.0,Fort Greene Park,100004617-B-02
Q065,{3C25B1C4-1112-4186-B116-5F91310BB60C},Yes,Q-02,20090423000000.0,John (Vincent Daniels Jr. Square),100000322-Q-02
B223IB,{8CC7B469-8879-476E-9334-540B312FB426},Yes,B-02,20100106000000.0,Bar and Grill Park,100004193-B-02
Q491,{DBC7E4C6-93D9-4B40-B941-4BF805B412D0},Yes,Q-01,20090423000000.0,Carlos R. Lillo Park,100000473-Q-01
R110,{F68541D4-DAC0-4105-AD2E-B6FB805527E7},Yes,R-03,20100106000000.0,Tottenville Pool,100004789-R-03
B210D,{AFB1560F-1E12-4FD8-B2BB-A33AAC692F32},No,B-07,20100106000000.0,Backhoe Gulch,100003917-B-07
B431,{B27DA744-13D8-4E86-B199-F97F8D2A484A},No,B-02,20100106000000.0,Brooklyn Bridge Park (THIS IS HANDLED DIRECTLY BY BROOKLYN BRIDGE PARK),100005143-B-02
M319A,{4FDC4495-6538-4F74-AAE3-6C3A7BBE4B1C},No,M-09,20100106000000.0,Sugar Hill Garden,100004790-M-09
Q338,{F1338440-ED4E-4171-AA19-C95C052F4A87},Yes,Q-11,,Sy Seplowe Playground,100000273-Q-11
M325A,{69B15308-17B5-4442-AB97-C58D1205DD76},No,M-03,,,100042710-M-03
X343,{0732CDD5-18A7-438A-B942-ADEEDFC7C5A9},No,X-07,20100106000000.0,Davidson Ave. Community Gardeners Group,100004399-X-07
Q340,{AECF1315-55D2-4882-A227-DD20B3B95DAC},Yes,Q-02,20090423000000.0,Torsney Playground,100000087-Q-02
M108Q1,{D044CB00-EF47-4E4F-B773-86922C3CF06B},No,M-15,20100106000000.0,Andrew Haswell Green Park,100004685-M-08
M061,{6C3BAC26-27B4-40C7-8273-6EFEC9702F39},Yes,M-12,20100106000000.0,Plaza Lafayette,100004139-M-12
M108R,{43F37FE9-AC34-4950-B216-4600CC857381},No,M-06,20100106000000.0,Sutton Place Park,100003780-M-06
B346,{A86FED50-9EFB-43B5-99AD-A6D9DBF78C86},Yes,B-01,20100106000000.0,Ericsson Playground (JHS 126),100004426-B-01
M131,{A34BECC6-00B4-4031-B33D-0E7879BC4DF5},No,M-10,20100106000000.0,Hansborough Recreation Center,100003783-M-10
B057,{6685B699-BE8E-4D7E-A14A-EB608A7D84FC},No,B-18,20100106000000.0,Marine Park,100004993-B-18
X064,{D29B3FF6-7056-49CF-A2D6-F4C1B74A33CC},Yes,X-02,20100106000000.0,Bryant Triangle,100003725-X-02
M039,{CFFF05EE-D571-4BE0-A6E3-2EF0A84B9816},No,M-11,20100106000000.0,Harlem River Park,100005175-M-12
X148C5,{676218F5-CD27-434C-A97D-BBA39A0ABA6A},Yes,X-05,20100106000000.0,Jennie Jerome Playground,100004942-X-05
B110,{54760C46-0E6C-4194-9B88-D674341E4FE7},Yes,B-16,20100106000000.0,Marion Hopkinson Playground,100004572-B-16
B385,{BF0FA841-10C0-4707-B313-9A3930A9A6EE},Yes,B-01,20100106000000.0,WNYC Transmitter Park,100003886-B-01
Q147,{E5E28575-D4B9-41E5-99A3-C6FC769A32A1},Yes,Q-09,20090423000000.0,Ruoff Triangle,100000389-Q-09
M223,{A73C4DE8-295E-453B-82B1-F931BECBA366},Yes,M-09,20100106000000.0,Jacob H. Schiff Playground,100004367-M-09
B533,{AD2ED4D0-A6E0-4F5E-ABBE-A732A0935378},No,B-16,20100106000000.0,Abib Newborn Garden,100003834-B-16
M177,{D9009DE5-F827-420C-BA5D-AF30E4DE5970},No,M-08,20100106000000.0,Honey Locust Park,100003798-M-08
M406,{7338ADD9-84F0-426C-A952-EA4AD20A0B7C},,M-10,,,100036981-M-10
X175,{0D7AF47F-EA00-4F52-A13C-E4055A304862},Yes,X-07,20100106000000.0,Riverbend Playground,100004398-X-07
X178,{E4BFEA78-45C1-48EF-8D32-DBC065BB0E9F},Yes,X-11,20100106000000.0,Matthews Muliner Playground,100003768-X-11
Q018,{C3853538-6469-4F20-9993-6820A50026A8},Yes,Q-02,20090423000000.0,Gordon Triangle,100000295-Q-02
M313A,{64A3BAAD-7B32-4A92-A1BC-94631EEA146B},No,M-03,20100106000000.0,5th St Slope Garden,100004783-M-03
B582,{B687C2C5-C8E0-4125-9E3C-18E61DE3771D},,B-02,,,100024481-B-02
X180,{D64911DA-EFF0-4DEE-97CF-450C343363E9},Yes,X-07,20100106000000.0,Whalen Playground,100003878-X-07
X188,{E33C24CE-ACEB-4018-BAF0-3CE447C8A2AF},Yes,X-12,20100106000000.0,Wakefield Playground,100004702-X-12
R109,{3FBD063C-C8B2-48BB-93D0-31592C3BA4E2},Yes,R-01,20100106000000.0,Cpl. Thompson Park,100004148-R-01
Q262,{178C3F6A-2C23-417C-A965-1A17FE90B1C7},Yes,Q-11,,Alameda Malls,100000376-Q-11
B017,{FCE52CC2-90EF-4E74-A929-AAFE5F7A332C},Yes,B-04,20100106000000.0,Bushwick Playground,100004622-B-04
B239,{8DD4EA09-C447-41BA-AB77-887C09C99179},Yes,B-15,20100106000000.0,Sheepshead Playground,100003832-B-15
M368,{382D02F8-53B0-4215-8546-F6210558AFC4},No,M-09,20100106000000.0,West 111th St. People's Garden,100004141-M-09
X015,{878E37E7-8EBC-4F22-807E-EE8054036A5C},Yes,X-02,20100106000000.0,Joseph Rodman Drake Park,100003884-X-02
B124,{009A5EBA-1F66-44DE-8156-E70D64179FB5},Yes,B-01,20100106000000.0,William Sheridan Playground (PS 84),100004561-B-01
X281,{D0DEB2D8-C8D9-4149-A7FE-A3569F569636},Yes,X-06,20100106000000.0,Stop & Go Playground,100004844-X-06
Q069,{7EE36C46-69A6-4150-941F-6B1A9096E958},Yes,Q-04,20090423000000.0,Middleburgh Triangle,100000152-Q-04
B402,{F821DC99-B2A4-483C-8EA0-08F96BE48184},Yes,B-05,20100106000000.0,George Walker Jr. Park,100004547-B-05
X148F4,{238EEEB3-F7B5-4CC0-8E22-C42D4602A6B4},No,X-06,20100106000000.0,Park,100005065-X-06
X071,{093F60F6-A96A-4EE0-816F-CD212B5ED496},Yes,X-06,20100106000000.0,Whalen Grove,100004029-X-06
X313,{A980BCC2-527D-44AA-9EE4-24F1DA77B3C5},No,X-01,20100106000000.0,El Batey Borincano Garden,100004837-X-01
M103,{13E74215-EA2C-49C5-A7CB-E8CAD9176128},No,M-02,20100106000000.0,Tony Dapolito Recreation Center,100003961-M-02
M242,{1ADEDC5B-CEC7-4A89-95B7-71D51045328A},Yes,M-01,20100106000000.0,Collect Pond Park,100004567-M-01
B459,{522841F1-2688-435B-942F-C95E6D59294F},No,B-09,20100106000000.0,Eern Parkway Coalition,100004635-B-09
B567,{AD7B8306-94F6-43E0-A055-F197E875F2FA},,B-03,,,100042694-B-03
M019,{EB9D4A5D-B3E5-4BFE-AB58-7F305BDF29EF},Yes,M-03,20100106000000.0,Coleman Playground,100004339-M-03
B487,{15836B1F-DAA6-42E0-AAF1-C728B55CBECB},No,B-16,20100106000000.0,Preston Comm Garden,100004641-B-16
B157,{46D19E85-C8E6-458F-86C0-2C1480AD5BD9},Yes,B-15,20100106000000.0,Kelly Park Playground (PS 255),100004154-B-15
Q301,{D82D5FE3-2C46-4C5D-BD1D-8A86E8D116A4},Yes,Q-12,20090423000000.0,Jamaica Playground,100000218-Q-12
X247,{FACE1F9C-558C-442A-B893-ADE2F44C7CC3},Yes,X-02,20100106000000.0,Fox Playground,100004895-X-02
X299,{613BAD36-6429-453E-BE92-1E8A6FC281AF},Yes,X-03,20100106000000.0,Little Claremont Playgound,100005126-X-03
X025,{59B83AE8-2AB8-4954-B98A-C198C3CDD2F6},Yes,X-09,20100106000000.0,Hugh J. Grant Circle,100004697-X-09
X030,{03E888B6-F02C-4FE8-AE1A-29F1095738DC},No,X-04,20100106000000.0,Macombs Dam Park,100005060-X-04
M323,{4D71EF50-63FA-4C6D-B831-1EBF5905CB69},No,M-11,20100106000000.0,Diamante Garden,100003900-M-11
Q360D,{66002C13-7D05-4686-ABC6-20AD4FA4AFA9},No,Q-02,20090423000000.0,Strip,100000095-Q-02
Q042,{F4810079-CBB9-4BE7-BBFA-B3C0C35D5DE5},Yes,Q-07,,Poppenhusen Park,100000301-Q-07
X296,{F8075B8C-CBF6-4787-8286-015F5D19C353},No,X-04,20100106000000.0,Taqwa Community Farm,100005098-X-04
B284,{62632215-3799-411B-B2AC-32665293F259},Yes,B-09,20100106000000.0,Marc And Jason's Playground (JHS 61),100004737-B-09
M225,{12917FE1-5540-4A53-A3F8-6D0CFAA75B32},Yes,M-11,20100106000000.0,Wagner Playground,100004682-M-11
M344,{48CF5D4C-74BB-4F63-824C-A3C0B148C8A3},No,M-11,20100106000000.0,Humacao Community Garden,100004784-M-11
B310,{A9927825-8606-4506-8FE0-28D7C09DCD97},Yes,B-01,20100106000000.0,Bushwick Pool & Playground,100004086-B-01
B242,{2F8DFD83-925F-4265-BC3F-E4C9FF6CA45F},Yes,B-15,20100106000000.0,Meucci Triangle,100004207-B-15
X141,{C1C8959D-31C9-41A4-9B82-E9DA37028410},Yes,X-12,20100106000000.0,Rienzi Playground,100004608-X-12
X130,{5C239D74-6D61-4459-BFED-4042A41589C5},Yes,X-04,20100106000000.0,Barry Plaza,100004996-X-04
X331,{851E032C-7A4D-47FC-9AD8-2D18BF5160D3},No,X-05,20100106000000.0,Townsend Garden,100004037-X-05
Q096C,{B5A4B53D-0121-4CE6-A2CE-E129D41542A4},No,Q-13,20090423000000.0,Mentone Playground,100000384-Q-13
M044,{82B6D6BF-3448-44D3-A644-E7B0FD88E332},Yes,M-02,20100106000000.0,Jackson Square,100003960-M-02
Q089B,{DFA16550-4866-43B5-BAA0-7E1DDF7EB582},Yes,Q-07,,Harvey Park,100000190-Q-07
B371,{DF9E1D08-7B54-43BA-8C68-1309EE96FC89},Yes,B-05,20100106000000.0,Spring Creek Park,100004750-B-05
X237,{54424293-2244-4D6B-B414-B763830767B0},No,X-04,20100106000000.0,Yankee Stadium Garages/Lots,100005178-X-04
B070,{8461BA59-4FCC-43DE-913E-D8EBC6118380},Yes,B-14,20100106000000.0,Machate Circle,100004350-B-14
M326,{69507217-F9F9-431A-968E-F5AFFC9738A8},No,M-03,20100106000000.0,Liz Christy Garden,100003812-M-03
Q348,{F33004AE-5878-4ECC-8476-8B5CA3B76A7E},Yes,Q-06,20090423000000.0,Willow Lake Playground,100000369-Q-06
B465,{31578C12-2F1F-48E4-BBB7-7853939D864F},No,B-03,20100106000000.0,First Quincy St Block Association,100004179-B-03
