activitydetailid,lotid,area,civilian_hrs,fivedayletterno,lotdupinspectionrequestid,streetaddress,lotcleaningtotal,crossstreettwo,used_house1,total_tonnage,activitystatusdate,firstname,old_status_rea_dd,isdeleted,segmentid,ccuno,coordinatex,operatorid_detail,lotno,zone,requestconversion_notes,dumpsiteid,l_tires
203482,109775,39.0,0,,,,,,,15.8,2010-11-02T14:55:57.000,,,0,,9905673,,694,29,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
238543,140217,39.0,0,,,,,,,5.0,2010-11-02T14:55:57.000,,,0,,106236,,612,3,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
194910,105977,39.0,0,,,,,,,19.94,2010-11-02T14:55:57.000,,,0,,9905854,,619,36,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
104140,50996,39.0,16,1.0,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,707272,,694,22,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
176943,132186,,0,,,,,,,150.2,2010-11-02T14:55:57.000,,,0,,9706578,,694,12,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
290399,192306,0.0,11,,,ELTON AVENUE,0.0,EAST 161 STREET,897,0.0,2013-06-17T15:02:24.000,,,0,70443.0,1307458,1008697.0,576,25,6.0,,0.0,0
19135,167410,39.0,0,,,,,,,13.89,2010-11-02T14:55:59.000,,,0,,309735,,694,139,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
267666,180461,0.0,0,,,GERARD AVENUE,0.0,,705,0.0,2011-12-08T15:14:18.000,,,0,0.0,1111314,0.0,694,6,6.0,,0.0,0
229504,134155,40.0,0,,,,,,,202.94,2010-11-02T14:55:57.000,,,0,,7069,,337,2,1.0,PB STATUS = ASSIGNED TO INTAKE,,441
322389,208782,0.0,6,,,EAST  220 STREET,1054.35,BARNES AVENUE,850,1.0,2015-09-23T10:18:24.000,,,0,131405.0,1508375,1023545.0,694,65,,,0.0,0
49143,154383,,32,,,,,,,1.0,2010-11-02T14:55:59.000,,,0,,9703094,,623,11,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
93373,146450,,0,,,,,,,28.3,2010-11-02T14:55:57.000,,,0,,9803669,,337,109,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
70141,25235,39.0,0,,,,492.0,,,1.78,2010-11-02T14:55:54.000,,,0,,509922,,693,13,9.0,PB STATUS = ASSIGNED TO INTAKE,,0
7244,156624,40.0,0,,,,,,,6.26,2010-11-02T14:55:59.000,,,0,,210622,,694,44,9.0,PB STATUS = ASSIGNED TO INTAKE,,0
120228,64042,39.0,0,1.0,,,,,,63.36,2010-11-02T14:55:56.000,,,0,,805689,,694,20,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
87744,41903,,82,,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,610861,,694,13,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
130791,68853,39.0,77,1.0,,,,,,0.0,2010-11-02T14:55:59.000,,,0,,808789,,694,74,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
208983,112856,39.0,63,,,,,,,0.5,2010-11-02T14:55:57.000,,,0,,9900790,,694,51,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
301742,197790,0.0,0,,,FORBELL STREET,0.0,COZINE AVENUE,922,0.84,2014-04-18T08:41:46.000,,,0,51070.0,1405681,1023097.0,694,1,1.0,,0.0,0
286856,190396,0.0,0,,,AVENUE D,0.0,EAST 105 STREET,10601,0.34,2013-04-01T15:16:34.000,,,0,9009677.0,1305801,1011775.0,694,101,1.0,,0.0,0
326891,210760,0.0,0,,,BEACH   72 STREET,0.0,DE COSTA AVENUE,667,3.29,2016-01-05T11:39:14.000,INSP ZATIK,,0,54088.0,1509894,1039445.0,694,1,10.0,,0.0,0
