latitude,longitude,non_refrigerated_warehouse,distribution_center_gross,release_date,electricity_use_grid_purchase_2,retail_store_open_or_closed,convention_center_gross_floor,occupancy,office_percent_that_can_be_1,museum_gross_floor_area_ft,data_center_it_site_energy,third_party_certification,percent_of_electricity_that,office_percent_that_can_be,estimated_values_water,multifamily_housing_number,weather_normalized_source,national_median_reference,data_center_gross_floor_area,data_center_national_median,office_worker_density_number,hospital_general_medical_4,number_of_buildings,electricity_use_generated_1,largest_property_use_type_1,water_current_date,food_sales_gross_floor_area,estimated_data_flag_district,multifamily_housing_percent_1,repair_services_vehicle_shoe,property_gfa_self_reported,nta,financial_office_computer,retail_store_percent_that,natural_gas_use_kbtu,courthouse_gross_floor_area,parking_gross_floor_area,alert_energy_meter_has_less,leed_us_project_id,total_ghg_emissions_metric,multifamily_housing_government,hospital_general_medical_8,alert_data_center_issue_with,wholesale_club_supercenter,energy_star_certification_1,supermarket_grocery_open,property_gfa_calculated_1,alert_energy_meter_has,percent_of_total_electricity,last_modified_date_non,parent_property_name,enclosed_mall_gross_floor
40.795146,-73.948368,Not Available,Not Available,2019-05-01T15:32:48.000,1425874.8,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,87.2,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,105725.0,Not Available,Not Available,Not Available,Not Available,Not Available,105725,East Harlem South,Not Available,Not Available,45700,Not Available,Not Available,Ok,Not Available,497.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,105725.0,Ok,Not Available,04/09/2019 04:47 PM EDT,Not Applicable: Standalone Property,Not Available
40.823289,-73.907948,Not Available,Not Available,2019-05-01T15:32:48.000,1423759.4,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,76.1,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,111600.0,Not Available,Not Available,Not Available,Not Available,Not Available,111600,Morrisania-Melrose,Not Available,Not Available,4199699.8,Not Available,Not Available,Ok,Not Available,343.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,111600.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,Not Available
40.73679,-73.887438,Not Available,Not Available,2019-05-01T15:32:48.000,1505374.4,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,180.4,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,34560.0,Not Available,Not Available,Not Available,Not Available,Not Available,34560,Elmhurst-Maspeth,Not Available,Not Available,1896900.2,Not Available,Not Available,Ok,Not Available,228.2,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,34560.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,Not Available
40.83182,-73.898075,Not Available,Not Available,2019-05-01T15:32:48.000,2554905.6,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,68.8,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,178975.0,Not Available,Not Available,Not Available,Not Available,Not Available,178975,Morrisania-Melrose,Not Available,Not Available,433500,Not Available,Not Available,Ok,Not Available,582,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,178975.0,Ok,Not Available,04/09/2019 02:10 PM EDT,Not Applicable: Standalone Property,Not Available
40.704553,-74.006636,Not Available,Not Available,2019-05-01T15:11:40.000,45497518.7,Not Available,Not Available,60,73.99,Not Available,Not Available,Not Available,0,70.89,No,Not Available,176.4,CBECS - Office & Bank/Financial,Not Available,Not Available,3.96059,Not Available,1,Not Available,885474.0,12/31/2018,Not Available,No,Not Available,Not Available,885474,Battery Park City-Lower Manhattan,Not Available,Not Available,0,Not Available,Not Available,Ok,Not Available,5448.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,885474.0,Ok,Not Available,04/11/2019 08:18 AM EDT,Not Applicable: Standalone Property,Not Available
40.754826,-73.975683,Not Available,Not Available,2019-04-26T15:39:01.000,104751675.5,Not Available,Not Available,100,100,Not Available,Not Available,Not Available,0,100,No,Not Available,247,CBECS - Office & Bank/Financial,Not Available,Not Available,3.58422,Not Available,1,Not Available,1574123.0,12/31/2013,Not Available,No,Not Available,Not Available,1592125,Turtle Bay-East Midtown,Not Available,Not Available,397300,Not Available,Not Available,Ok,Not Available,14606,Not Available,Not Available,Ok,Not Available,10/20/2017,Not Available,1592125.0,Ok,Not Available,04/17/2019 04:24 PM EDT,Not Applicable: Standalone Property,Not Available
40.769271,-73.749369,Not Available,Not Available,2019-05-01T15:32:48.000,659198.4,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,105.8,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,44460.0,Not Available,Not Available,Not Available,Not Available,Not Available,44460,Douglas Manor-Douglaston-Little Neck,Not Available,Not Available,2003199.9,Not Available,Not Available,Ok,Not Available,215.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,44460.0,Ok,Not Available,04/09/2019 02:10 PM EDT,Not Applicable: Standalone Property,Not Available
40.748701,-73.94638,Not Available,Not Available,2019-05-01T15:32:48.000,4976060.8,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,128,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,145025.0,Not Available,Not Available,Not Available,Not Available,Not Available,145025,Hunters Point-Sunnyside-West Maspeth,Not Available,Not Available,3868400,Not Available,Not Available,Ok,Not Available,667.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,145025.0,Ok,Not Available,04/09/2019 02:10 PM EDT,Not Applicable: Standalone Property,Not Available
40.858692,-73.887214,Not Available,Not Available,2019-05-01T15:32:48.000,1846847.4,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,88.1,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,144125.0,Not Available,Not Available,Not Available,Not Available,Not Available,144125,Belmont,Not Available,Not Available,5869700.1,Not Available,Not Available,Ok,Not Available,555.2,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,144125.0,Ok,Not Available,04/09/2019 02:10 PM EDT,Not Applicable: Standalone Property,Not Available
40.764538,-73.979813,Not Available,Not Available,2019-04-30T11:38:41.000,33121195,Not Available,Not Available,100,100,Not Available,Not Available,Not Available,0,100,No,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,Not Available,3.56735,Not Available,1,Not Available,369742.0,03/31/2019,Not Available,No,Not Available,Not Available,373640,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,3138.5,Not Available,Not Available,Ok,Not Available,03/07/2018,Not Available,373640.0,Ok,Not Available,04/25/2019 04:00 PM EDT,Not Applicable: Standalone Property,Not Available
