property_id,latitude,longitude,weather_normalized_site_eui,multifamily_housing_number_3,medical_office_number_of_1,urgent_care_clinic_other,census_tract,alert_energy_meter_has_gaps,national_median_site_eui,college_university_gross,annual_maximum_demand_meter,restaurant_gross_floor_area,net_emissions_metric_tons,multifamily_housing_total,community_board,indoor_water_use_intensity,multifamily_housing_number_7,data_center_it_source_energy,site_energy_use_kbtu,multifamily_housing_resident,county,estimated_data_flag_fuel,medical_office_percent_that_1,year_ending,fuel_oil_1_use_kbtu,bank_branch_number_of,temporary_values,alert_energy_no_meters,_3rd_largest_property_use,list_of_all_property_use,retail_store_number_of_open,metered_areas_water,fitness_center_health_club,parking_open_parking_lot,medical_office_number_of,financial_office_number_of_1,hotel_gross_floor_area_ft,financial_office_weekly,diesel_2_use_kbtu,multifamily_housing_number_4,refrigerated_warehouse_gross,estimated_data_flag_natural,egrid_output_emissions_rate,convenience_store_with_gas_1
1634115,40.843546,-73.889755,49.5,Not Available,Not Available,Not Available,36901.0,Ok,77.2,Not Available,0200199E (8080423),Not Available,813.3,Not Available,206.0,Not Available,Not Available,Not Available,10432289.4,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1416310,40.758171,-73.973246,147.1,Not Available,Not Available,Not Available,100.0,Ok,141.0,Not Available,Not Available,4100,20601.3,Not Available,105.0,21.45,Not Available,35732650.5,277969569.7,Not Available,Manhattan,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Data Center,"Convenience Store without Gas Station, Data Center, Financial Office, Fitness Center/Health Club/Gym, Food Service, Office, Parking, Restaurant",Not Available,Whole Building,1672,0,Not Available,15,Not Available,70,Not Available,Not Available,Not Available,No,84.7,Not Available
1633730,40.828419,-73.900721,60.6,Not Available,Not Available,Not Available,135.0,Ok,82.6,Not Available,0200212E (8080413),Not Available,577.6,Not Available,203.0,Not Available,Not Available,Not Available,7420946.1,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634411,40.903553,-73.905229,75.7,Not Available,Not Available,Not Available,337.0,Ok,88.3,Not Available,0200120E (8052737),Not Available,349.3,Not Available,208.0,Not Available,Not Available,Not Available,5566161.7,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1407848,40.754162,-73.976557,127.8,Not Available,Not Available,Not Available,92.0,Ok,102.2,Not Available,Not Available,39213,28262.9,Not Available,105.0,Not Available,Not Available,Not Available,382602836.5,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Restaurant,"K-12 School, Office, Other, Parking, Restaurant",Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634077,40.597679,-74.071529,83.2,Not Available,Not Available,Not Available,2002.0,Ok,93.8,Not Available,0500062E (7979672),Not Available,275.7,Not Available,502.0,Not Available,Not Available,Not Available,4201892.2,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633201,40.675771,-73.816938,64.6,Not Available,Not Available,Not Available,840.0,Ok,77.0,Not Available,0400249E (8025630),Not Available,1022.3,Not Available,410.0,Not Available,Not Available,Not Available,16330215.6,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633533,40.841794,-73.875366,77.2,Not Available,Not Available,Not Available,220.0,Ok,72.0,Not Available,0201209E (8107207),Not Available,377.8,Not Available,206.0,Not Available,Not Available,Not Available,5348839.3,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634723,40.678488,-73.962105,40.6,Not Available,Not Available,Not Available,305.0,Ok,65.4,Not Available,0301382E (7944542),Not Available,273.6,Not Available,308.0,Not Available,Not Available,Not Available,3511944,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634694,40.654704,-73.941089,79,Not Available,Not Available,Not Available,814.0,Ok,67.3,Not Available,0300240E (7899910),Not Available,529.6,Not Available,317.0,Not Available,Not Available,Not Available,8311670.3,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634179,40.680463,-73.922264,61.8,Not Available,Not Available,Not Available,379.0,Ok,89.1,Not Available,0300062E (7874679),Not Available,566.9,Not Available,303.0,Not Available,Not Available,Not Available,7478886.8,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634107,40.854515,-73.896703,58.6,Not Available,Not Available,Not Available,379.0,Ok,69.2,Not Available,0200181E (8108175),Not Available,975.2,Not Available,205.0,Not Available,Not Available,Not Available,13916674.2,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634755,40.740724,-73.79283,59.3,Not Available,Not Available,Not Available,1417.0,Ok,89.0,Not Available,0400230E (8030757),Not Available,1663.8,Not Available,411.0,Not Available,Not Available,Not Available,21356251.1,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633531,40.85294,-73.894742,97.2,Not Available,Not Available,Not Available,395.0,Ok,91.9,Not Available,0201156E (8032674),Not Available,618.8,Not Available,206.0,Not Available,Not Available,Not Available,8813259.6,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634275,40.688831,-73.920906,117.5,Not Available,Not Available,Not Available,375.0,Ok,78.8,Not Available,0301762E (7944533),Not Available,375.2,Not Available,303.0,Not Available,Not Available,Not Available,5600599.1,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633555,40.68832,-73.932275,51.3,Not Available,Not Available,Not Available,293.0,Ok,60.2,Not Available,0300122E (7935419),Not Available,801.1,Not Available,303.0,Not Available,Not Available,Not Available,10461956.9,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634506,40.620446,-73.981795,60.9,Not Available,Not Available,Not Available,468.0,Ok,98.4,Not Available,0300354E (7943435),Not Available,1428.1,Not Available,312.0,Not Available,Not Available,Not Available,20014511.8,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633589,40.574411,-73.99194,72,Not Available,Not Available,Not Available,342.0,Ok,74.1,Not Available,0300287E (7934749),Not Available,412.5,Not Available,313.0,Not Available,Not Available,Not Available,6916545.8,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633476,40.810431,-73.955809,99,Not Available,Not Available,Not Available,20901.0,Ok,93.4,Not Available,0100114E (7935640),Not Available,1196.6,Not Available,109.0,Not Available,Not Available,Not Available,15508807.1,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,"K-12 School, Swimming Pool",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633759,40.660024,-73.987637,60.9,Not Available,Not Available,Not Available,147.0,Ok,76.3,Not Available,0300099E (7877769),Not Available,744.6,Not Available,307.0,Not Available,Not Available,Not Available,10168778.8,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634539,40.735275,-73.823778,82.4,Not Available,Not Available,Not Available,809.0,Ok,65.5,Not Available,0400187E (8025669),Not Available,717.3,Not Available,408.0,Not Available,Not Available,Not Available,9276083.6,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1575697,40.752925,-73.966834,67.6,Not Available,Not Available,Not Available,8603.0,Ok,82.8,Not Available,Not Available,Not Available,2037.3,Not Available,106.0,15.67,Not Available,Not Available,25879557.7,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Financial Office,"Financial Office, Office, Parking",Not Available,Whole Building,Not Available,0,Not Available,10,Not Available,48,Not Available,Not Available,Not Available,Not Available,84.7,Not Available
1634421,40.859665,-73.861006,78.7,Not Available,Not Available,Not Available,324.0,Ok,103.3,Not Available,0200213E (8106347),Not Available,1538.5,Not Available,211.0,Not Available,Not Available,Not Available,24654542.3,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634157,40.839565,-73.880358,39.5,Not Available,Not Available,Not Available,60.0,Ok,67.7,Not Available,0200211E (8080425),Not Available,552.8,Not Available,206.0,Not Available,Not Available,Not Available,8204867.3,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634135,40.789295,-73.939262,43.4,Not Available,Not Available,Not Available,162.0,Ok,71.2,Not Available,0100129E (7935673),Not Available,298.8,Not Available,111.0,Not Available,Not Available,Not Available,4740569.9,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634700,40.681572,-73.945446,72.7,Not Available,Not Available,Not Available,269.0,Ok,88.9,Not Available,0300262E (7899916),Not Available,927.1,Not Available,303.0,Not Available,Not Available,Not Available,12093106.6,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633429,40.756139,-73.772862,43.2,Not Available,Not Available,Not Available,1447.0,Ok,72.1,Not Available,0400194E (8015771),Not Available,548.0,Not Available,411.0,Not Available,Not Available,Not Available,7117179.3,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633028,40.718895,-73.979308,95.4,Not Available,Not Available,Not Available,2201.0,Ok,93.4,Not Available,0100044E (8108449),Not Available,1134.2,Not Available,103.0,Not Available,Not Available,Not Available,16784519.5,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633419,40.685492,-73.729982,76.1,Not Available,Not Available,Not Available,614.0,Ok,48.8,Not Available,0400158E (8015765),Not Available,745.2,Not Available,413.0,Not Available,Not Available,Not Available,9876824.7,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634683,40.698279,-73.752654,58.2,Not Available,Not Available,Not Available,520.0,Ok,68.0,Not Available,0400122E (8013836),Not Available,312.1,Not Available,412.0,Not Available,Not Available,Not Available,5010765.3,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633215,40.821409,-73.862976,53.6,Not Available,Not Available,Not Available,42.0,Ok,62.6,Not Available,0200142E (8052699),Not Available,392.7,Not Available,209.0,Not Available,Not Available,Not Available,5074737.6,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633183,40.745537,-73.923776,87.6,Not Available,Not Available,Not Available,18101.0,Ok,84.8,Not Available,0400137E (8013738),Not Available,583.5,Not Available,402.0,Not Available,Not Available,Not Available,9096850.4,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633766,40.693879,-73.913056,64.9,Not Available,Not Available,Not Available,435.0,Ok,90.0,Not Available,0300116E (7877775),Not Available,403.8,Not Available,304.0,Not Available,Not Available,Not Available,6366681,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1439975,40.762621,-73.973128,Not Available,Not Available,Not Available,Not Available,11202.0,Ok,89.1,Not Available,Not Available,Not Available,930.1,Not Available,105.0,20.24,Not Available,Not Available,11813838.1,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,"Office, Other",Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,84.7,Not Available
1633551,40.57752,-73.969517,80.5,Not Available,Not Available,Not Available,35602.0,Ok,84.5,Not Available,0300110E (7935417),Not Available,281.1,Not Available,313.0,Not Available,Not Available,Not Available,4257407.2,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634552,40.751356,-73.937445,65.8,Not Available,Not Available,Not Available,33.0,Ok,93.6,Not Available,0400220E (8030753),Not Available,724.9,Not Available,401.0,Not Available,Not Available,Not Available,9418927.3,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634325,40.752265,-73.884759,79.3,Not Available,Not Available,Not Available,283.0,Ok,63.1,Not Available,0401422E (8025665),Not Available,527.2,Not Available,403.0,Not Available,Not Available,Not Available,7476973.9,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633873,40.817721,-73.902421,80.7,Not Available,Not Available,Not Available,85.0,Ok,85.4,Not Available,0200173E (8080100),Not Available,491.6,Not Available,202.0,Not Available,Not Available,Not Available,6384496.7,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633948,40.809714,-73.907324,67.3,Not Available,Not Available,Not Available,35.0,Ok,90.8,Not Available,0200225E (8106331),Not Available,816.6,Not Available,201.0,Not Available,Not Available,Not Available,13232671.9,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634515,40.68588,-73.757319,121.8,Not Available,Not Available,Not Available,376.0,Ok,82.8,Not Available,0400016E (7978349),Not Available,557.4,Not Available,412.0,Not Available,Not Available,Not Available,8109806.8,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1470683,40.762605,-73.97846,122.3,Not Available,Not Available,Not Available,137.0,Ok,95.3,Not Available,Not Available,34454,17729.1,Not Available,105.0,Not Available,Not Available,Not Available,229598019.2,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,"Office, Restaurant",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,84.7,Not Available
1634177,40.726135,-73.949649,65.6,Not Available,Not Available,Not Available,573.0,Ok,73.0,Not Available,0300057E (7874671),Not Available,181.1,Not Available,301.0,Not Available,Not Available,Not Available,2480971.1,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1505280,40.756924,-73.969976,85.6,Not Available,Not Available,Not Available,100.0,Ok,109.3,Not Available,Not Available,Not Available,3910.8,Not Available,106.0,Not Available,Not Available,Not Available,51524821.6,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,24,No,Ok,Parking,"Bank Branch, Office, Other - Public Services, Parking, Retail Store",1,Whole Building,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,84.7,Not Available
1633334,40.667545,-73.991046,76.4,Not Available,Not Available,Not Available,141.0,Ok,77.1,Not Available,0300132E (7881277),Not Available,193.7,Not Available,306.0,Not Available,Not Available,Not Available,2976536.9,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633163,40.683559,-73.98027,64.5,Not Available,Not Available,Not Available,39.0,Ok,110.5,Not Available,0300345E (8315284),Not Available,631.1,Not Available,302.0,Not Available,Not Available,Not Available,9834662.7,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1426392,40.756688,-73.970128,102,Not Available,Not Available,Not Available,98.0,Ok,98.2,Not Available,Not Available,Not Available,2632.5,Not Available,106.0,8.8,Not Available,Not Available,35412154.3,Not Available,Manhattan,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Financial Office,"Financial Office, Office, Other, Retail Store",0,Whole Building,Not Available,Not Available,Not Available,5,Not Available,40,Not Available,Not Available,Not Available,Not Available,84.7,Not Available
