property_name,largest_property_use_type,borough,energy_star_certification,hospital_general_medical_5,district_steam_use_kbtu,alert_energy_meter_has_single,national_median_total_ghg,hospital_general_medical_10,city,data_center_cooling_equipment,source_eui_kbtu_ft,hospital_general_medical_12,irrigated_area_ft,green_power_onsite_kwh,indirect_ghg_emissions_metric,medical_office_percent_that,primary_property_type_self,data_center_ups_system,data_center_pdu_input_meter,water_score_multifamily_only,hospital_general_medical_6,kerosene_use_kbtu,estimated_data_flag_1,data_quality_checker_run,_3rd_largest_property_use_1,hotel_room_density_number,third_party_certification_1,electricity_use_grid_purchase_1,multifamily_housing_total_1,primary_property_type,office_number_of_workers,office_number_of_computers,municipally_supplied_potable_2,worship_facility_gross_floor,district_hot_water_use_kbtu,direct_ghg_emissions_metric,laboratory_gross_floor_area,residence_hall_dormitory,municipally_supplied_potable,other_number_of_workers_on,avoided_emissions_offsite,last_modified_date_electric,energy_star_certification_2,water_use_intensity_all_water,medical_office_weekly,hotel_gym_fitness_center,generation_date,hospital_general_medical_9,hospital_general_medical_1,energy_power_station_gross,energy_star_score,social_meeting_hall_gross,costar_property_id,data_center_pdu_output_meter,data_quality_checker_date,bank_branch_gross_floor_area
Q238-0400231,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,1330.6,Not Available,Queens,Not Available,67,Not Available,Not Available,Not Available,245.3,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,848799.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,584,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:23.000,Not Available,Not Available,Not Available,86,Not Available,Not Available,Not Available,Not Available,Not Available
X193-0200199,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,1264.6,Not Available,Bronx,Not Available,83.8,Not Available,Not Available,Not Available,334.5,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1157599.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,478.8,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:53.000,Not Available,Not Available,Not Available,85,Not Available,Not Available,Not Available,Not Available,Not Available
345 Park Ave LP,Office,MANHATTAN,Not Available,Not Available,158012528.2,Ok,19259.4,Not Available,New York,N+2,284,Not Available,Not Available,Not Available,20517.8,Not Available,Office,N+2,0,Not Available,Not Available,Not Available,Not Available,No,15012,Not Available,Not Available,34696604,Not Available,Office,7229,8340,Not Available,Not Available,Not Available,83.5,Not Available,Not Available,Not Available,Not Available,0,04/12/2019 10:49 AM EDT,No,21.45,Not Available,Not Available,2019-04-30T19:12:14.000,Not Available,Not Available,Not Available,44,Not Available,Not Available,0,Not Available,Not Available
X198-0200212,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,787.2,Not Available,Bronx,Not Available,100.4,Not Available,Not Available,Not Available,226.5,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,783999.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,351.1,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:39.000,Not Available,Not Available,Not Available,77,Not Available,Not Available,Not Available,Not Available,Not Available
X081-0200120,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,412.4,Not Available,Bronx,Not Available,112.8,Not Available,Not Available,Not Available,124.4,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,430439.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,224.9,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:35.000,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available,Not Available,Not Available
Metlife Building,Office,MANHATTAN,Not Available,Not Available,213812389.7,Ok,22604.9,Not Available,New York,Not Available,239.6,Not Available,Not Available,Not Available,27878.1,Not Available,Office,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,39213,Not Available,Not Available,47346441.4,Not Available,Office,6540,9655,Not Available,Not Available,Not Available,384.8,Not Available,Not Available,Not Available,0,0,04/22/2019 03:47 PM EDT,No,Not Available,Not Available,Not Available,2019-04-23T15:29:26.000,Not Available,Not Available,Not Available,32,Not Available,Not Available,Not Available,2019-04-23,Not Available
R039-0500062,K-12 School,STATEN IS,Not Available,Not Available,Not Available,Ok,317.9,Not Available,Staten Island,Not Available,123.3,Not Available,Not Available,Not Available,96.3,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,333200,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,179.4,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:41.000,Not Available,Not Available,Not Available,63,Not Available,Not Available,Not Available,Not Available,Not Available
Q226-0400249,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,1209,Not Available,Queens,Not Available,102.7,Not Available,Not Available,149633.3,420.6,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1455617.4,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,601.6,Not Available,Not Available,Not Available,Not Available,0,04/16/2019 03:14 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:36.000,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available,Not Available,Not Available
X879-0201209,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,351.4,Not Available,Bronx,Not Available,156.5,Not Available,Not Available,Not Available,251.4,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,869999.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,126.4,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:16.000,Not Available,Not Available,Not Available,42,Not Available,Not Available,Not Available,Not Available,Not Available
K909-0301382,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,440.2,Not Available,Brooklyn,Not Available,89.9,Not Available,Not Available,Not Available,198.5,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,686999.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,75.1,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:44.000,Not Available,Not Available,Not Available,86,Not Available,Not Available,Not Available,Not Available,Not Available
K235-0300240,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,447.6,Not Available,Brooklyn,Not Available,117.4,Not Available,Not Available,Not Available,173.1,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,599199.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,356.5,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:55 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:54.000,Not Available,Not Available,Not Available,33,Not Available,Not Available,Not Available,Not Available,Not Available
K040-0300062,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,818.7,Not Available,Brooklyn,Not Available,86.8,Not Available,Not Available,Not Available,139.6,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,482999.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,427.3,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:31.000,Not Available,Not Available,Not Available,81,Not Available,Not Available,Not Available,Not Available,Not Available
X137-0200181,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,1151.7,Not Available,Bronx,Not Available,116.6,Not Available,Not Available,Not Available,633.2,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,2191199.7,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,342.1,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:29.000,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available,Not Available,Not Available
Q430-0400230,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,2530.1,Not Available,Queens,Not Available,97,Not Available,Not Available,Not Available,651.5,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,2254739.7,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,1012.2,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:22.000,Not Available,Not Available,Not Available,84,Not Available,Not Available,Not Available,Not Available,Not Available
X023-0201156,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,581.1,Not Available,Bronx,Not Available,145.5,Not Available,Not Available,Not Available,193.3,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,668799.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,425.5,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:24.000,Not Available,Not Available,Not Available,43,Not Available,Not Available,Not Available,Not Available,Not Available
K987-0301762,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,255.6,Not Available,Brooklyn,Not Available,210.5,Not Available,Not Available,Not Available,208.5,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,721599.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,166.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:06.000,Not Available,Not Available,Not Available,15,Not Available,Not Available,Not Available,Not Available,Not Available
K324-0300122,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,945.1,Not Available,Brooklyn,Not Available,98.7,Not Available,Not Available,126373.9,458.2,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1585599.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,342.9,Not Available,Not Available,Not Available,Not Available,0,04/16/2019 01:13 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:25.000,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available,Not Available,Not Available
K505-0300354,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,2384.6,Not Available,Brooklyn,Not Available,75.4,Not Available,Not Available,403526.9,255.1,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,882788,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,1173,Not Available,Not Available,Not Available,Not Available,0,04/16/2019 02:56 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:21.000,Not Available,Not Available,Not Available,88,Not Available,Not Available,Not Available,Not Available,Not Available
K288-0300287,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,435,Not Available,Brooklyn,Not Available,99.2,Not Available,Not Available,Not Available,121,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,418799.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,291.5,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:17.000,Not Available,Not Available,Not Available,55,Not Available,Not Available,Not Available,Not Available,Not Available
M125-0100114,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,1159.5,Not Available,New York,Not Available,131.7,Not Available,Not Available,Not Available,261.3,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,904399.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,935.3,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:23.000,Not Available,Not Available,Not Available,46,Not Available,Not Available,Not Available,Not Available,Not Available
K088-0300099,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,952.1,Not Available,Brooklyn,Not Available,89,Not Available,Not Available,Not Available,227.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,788799.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,516.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:50.000,Not Available,Not Available,Not Available,72,Not Available,Not Available,Not Available,Not Available,Not Available
Q219-0400187,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,584.7,Not Available,Queens,Not Available,114.3,Not Available,Not Available,Not Available,181.1,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,626799.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,536.2,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:16.000,Not Available,Not Available,Not Available,29,Not Available,Not Available,Not Available,Not Available,Not Available
866 UN Plaza,Office,MANHATTAN,2013,Not Available,8442711.9,Ok,2452.7,Not Available,NY,Not Available,156.7,Not Available,Not Available,Not Available,2037.3,Not Available,Office,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,5484,Not Available,Not Available,5110446.6,Not Available,Office,988.6,988.6,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,04/12/2019 06:27 PM EDT,No,15.67,Not Available,Not Available,2019-04-16T00:24:19.000,Not Available,Not Available,Not Available,64,Not Available,Not Available,Not Available,Not Available,Not Available
X415-0200213,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,2027.6,Not Available,Bronx,Not Available,112,Not Available,Not Available,Not Available,457.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1584799.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,1080.6,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:30.000,Not Available,Not Available,Not Available,74,Not Available,Not Available,Not Available,Not Available,Not Available
X167-0200211,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,946.5,Not Available,Bronx,Not Available,72.7,Not Available,Not Available,Not Available,313.7,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1085599.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,239.1,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:17.000,Not Available,Not Available,Not Available,89,Not Available,Not Available,Not Available,Not Available,Not Available
M146-0100129,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,490.7,Not Available,New York,Not Available,69.4,Not Available,Not Available,Not Available,126.1,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,436480,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,172.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:27.000,Not Available,Not Available,Not Available,87,Not Available,Not Available,Not Available,Not Available,Not Available
K258-0300262,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,1161,Not Available,Brooklyn,Not Available,101.4,Not Available,Not Available,Not Available,238.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,826719.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,688.2,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:05.000,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available
Q158-0400194,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,912.9,Not Available,Queens,Not Available,62.5,Not Available,Not Available,Not Available,146.3,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,506239.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,401.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:38.000,Not Available,Not Available,Not Available,88,Not Available,Not Available,Not Available,Not Available,Not Available
M022-0100044,K-12 School,MANHATTAN,Not Available,Not Available,13670106.8,Ok,1143.7,Not Available,New York,Not Available,134.1,Not Available,Not Available,121946.5,1130.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,772312.7,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,3.4,Not Available,Not Available,Not Available,Not Available,0,04/16/2019 03:04 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:10.000,Not Available,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available
Q176-0400158,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,477.1,Not Available,Queens,Not Available,133.3,Not Available,Not Available,Not Available,342.5,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1185199.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,402.8,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:22.000,Not Available,Not Available,Not Available,11,Not Available,Not Available,Not Available,Not Available,Not Available
Q136-0400122,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,361.4,Not Available,Queens,Not Available,79,Not Available,Not Available,Not Available,73.2,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,253440,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,238.9,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:55 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:42.000,Not Available,Not Available,Not Available,64,Not Available,Not Available,Not Available,Not Available,Not Available
X100-0200142,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,471,Not Available,Bronx,Not Available,75.4,Not Available,Not Available,Not Available,104.5,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,361800,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,288.2,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:36.000,Not Available,Not Available,Not Available,67,Not Available,Not Available,Not Available,Not Available,Not Available
Q150-0400137,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,568.2,Not Available,Queens,Not Available,138.2,Not Available,Not Available,Not Available,238,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,823519.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,345.6,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:13.000,Not Available,Not Available,Not Available,47,Not Available,Not Available,Not Available,Not Available,Not Available
