contact_id,distribution_id,_fivetran_synced,contact_frequency_rule_id,contact_lookup_id,opened_at,response_completed_at,response_id,response_started_at,sent_at,status,survey_link,survey_session_id
15,15,2023-05-02 00:00:00.000,Val8,CGC8_0ZqBiW24uMDQbon7,2022-07-23 00:00:00,,Val4,,2022-12-27 00:00:00.000,PENding4,https://myorg.ca1.qualtrics.com/jfe/form/SV_djzINkbJIFJUS05?Q_CHL=gl&Q_DL=EMD_GgJDmizeU8yAwvI_djzINkBJIFJUS05_CGC_0ZqBiW44uMDQbon&_g_=g,vaL4
16,16,2023-05-02 00:00:00.000,vAL3,CGC9_t8oa4TlYPoGvnwW,2022-08-26 00:00:00,,VaL,,2023-02-05 00:00:00.000,openEd,https://myorg.cA1.qualtrics.com/jfe/form/SV_7Uw1HUxpN0OxbVQ?Q_CHL=email&Q_DL=EMD_Q8AiTuBzgLZsOdX_7Uw1HuxpN0OxbVQ_CGC_kKkUtjVs3mFxeAK&_g_=g8,vAl
17,17,2023-05-02 00:00:00.000,vAl,CGC_0ZqBIW44uMDQbon9,2023-03-22 00:00:00,,vaL2,,2022-04-22 00:00:00.000,OpeNed1,https://myorg.ca1.qualtrics.com/jfe/form/SV_djzINkbJIFJUs05?Q_CHL=Email&Q_DL=EMD_OY1XxLK7rncWDt8_djzINkbJIFJUs05_CGC_0ZqBiW44uMDQbon&_g_=g,Val3
18,18,2023-05-02 00:00:00.000,Val9,cGC_t8oa4TlYPoGvnwW1,2023-04-11 00:00:00,,VAl,,2023-04-24 00:00:00.000,PENdIng0,https://myorg.ca1.qualtrics.com/jfe/form/SV_dJzINkbJIFJUs05?Q_CHL=email&q_DL=EMD_OY1XxLK7rncWDt8_djzINkbJIFJUs05_CGC_0ZqBiW44uMDQbon&_G_=g9,vAl
19,19,2023-05-02 00:00:00.000,Val2,CGC_kKkUtjVs3MFxeAK6,2023-03-04 00:00:00,,vAL,,2022-11-17 00:00:00.000,PENDing,httpS://myorg.ca1.qualtrics.com/jfe/form/SV_6Jcja72TpOiHjdX?Q_CHL=email&Q_DL=EMD_b4UhhqAf6Sx0Mcl_6Jcja72TpOiHjdX_CgC_kKkUtjVs3mFxeAK&_g_=g8,vAL6
20,20,2023-05-02 00:00:00.000,VaL8,CGC_kKkUTjVs3mFxeAK1,2023-04-02 00:00:00,,Val,,2022-12-17 00:00:00.000,OpEned,https://myorg.ca1.qualtrics.com6/jfe/form/SV_DjzINkbJIFJUs05?Q_CHL=gl&Q_DL=EMD_GgJDmizeU8yAwvI_djzINkbJIFJUs08_CGC_0ZqBiW44uMDQbon&_g_=g6,vaL
21,21,2023-05-02 00:00:00.000,Val,CGC_kkkUtjVs3mFXeAK8,2022-09-18 00:00:00,,vAl,,2023-01-17 00:00:00.000,opeNeD8,https://myorg.ca1.qualtrics.com/jfe/form/SV_djzINkbjIFJUs05?Q_CHL=email&Q_DL=EMD_OY1XxLK7rnCWDt8_djzINkbJIFJUs05_CGC_0ZqBiW44uMDQbon&_g_=g4,val7
22,22,2023-05-02 00:00:00.000,VaL8,CGC_kKKUtjVs6mFxeAK3,2022-10-07 00:00:00,,vaL,,2022-08-25 00:00:00.000,opened0,https://myorg.ca1.qualtrics.com/jfe/form/SV_djzINkbJIFJUs05?Q_CHL=email&Q_DL=EMD_OY1XxLK7rNcWDt8_djzINkbJIFJUs05_CGC_0ZqBiW44uMDQbon&_g6_=g5,vAl
23,23,2023-05-02 00:00:00.000,vaL,CGC_kKkUtJVs3mfxEAK1,2022-09-06 00:00:00,,val8,,2022-10-08 00:00:00.000,OPENed,https://myorg.ca1.qualtrics.com/jfe/form/SV_7uw1HuxpN0OxbVQ?Q_CHL=email&Q_DL=EMD_FV7lj9zfNfFAxFI_7Uw1HuxpN0OxbVQ_CGC_T3oa4TlYPoGvnwW&_g_=g0,VAl6
24,24,2023-05-02 00:00:00.000,val2,CGC_T5oa4TlYpOGvnwW5,2022-09-09 00:00:00,,Val,,2022-08-30 00:00:00.000,Opened0,httPs://myorg.ca1.qualtrics.com/jfe/form/SV_7Uw1HuxpN0OxbVQ?Q_CHL=email&Q_DL=EMD_Q8AiTuBzgLZsODX_7Uw1Huxpn0OxbVQ_CGC_kKkUtjVs3mFxeAK&_g_=g,vaL
25,25,2023-05-02 00:00:00.000,vaL5,CGC_T8oa4TLYPogvnwW7,2022-05-02 00:00:00,,val,,2022-06-02 00:00:00.000,PEndiNG,https://myorg.ca1.qualtrics.com/jfe/form/SV_djzINkBJIFJUs05?Q_CHL=gl&Q_DL=EMD_GgJDmizeU8yAwvI_djzINkbJIFJUs05_CGC_3ZqBiW44uMDQbon&_g_=g5,vAl0
26,26,2023-05-02 00:00:00.000,VAL3,CGC_kKkUtjVs3mFXeAK5,2022-08-30 00:00:00,,Val6,,2022-12-17 00:00:00.000,openEd,https://myorg.ca1.qualtrics.com/jfe/form/SV_djZINkbJIFJUs05?Q_CHL=gl&Q_DL=EMD_GgJDmIzeU8yAwvI_djzINkbJIFJUs05_CGC_0ZqBiW44uMDQbon&_g_=g,VaL1
27,27,2023-05-02 00:00:00.000,VaL,CgC9_kKkUtjVs3mFxeAK7,2023-04-24 00:00:00,,Val5,,2022-11-18 00:00:00.000,openEd9,https://myorg.Ca1.qualtrics.com/jfe/form/SV_6Jcja72TpOiHjdX?Q_CHL=emaiL&Q_DL=EMD_b4UhhqAf6Sx0Mcl_6Jcja72TpOiHjdX_CGC_kKkUtjVs3mFxeAK&_g_=g2,vaL
28,28,2023-05-02 00:00:00.000,vAl3,CGC_KkkUtjVs3MFxeAK9,2022-09-23 00:00:00,,vaL9,,2023-02-21 00:00:00.000,openeD1,https://myorg.ca1.qualtrics.com/jfe/form/SV_6Jcja72TpOiHjdX?Q_CHL=email&Q_DL=EmD_b4UhhqAF6Sx0Mcl_6Jcja72TpOiHjdX_CGC_kKkUtjVs3mFxeAK6&_g_=g7,vAl
29,29,2023-05-02 00:00:00.000,vaL,CGC_kKkUtjVS3mFxeAK,2022-08-19 00:00:00,,vAl5,,2022-12-26 00:00:00.000,openeD,httPs://myorg.ca1.qualtricS.com/jfe/form/SV_7Uw1HuxpN0OxbVQ?Q_CHL=email&Q_DL=EMD_FV7lj9zfNfFAxFI_7Uw1HuxpN0OxbVQ_CGC_T8oa4TlYPoGvnwW&_g_=g4,vAl2
30,30,2023-05-02 00:00:00.000,vAl7,CGc_kKkUtjVs3mFxeAK4,2023-04-03 00:00:00,,vAl2,,2022-08-23 00:00:00.000,OPened1,https://myorg.ca1.qualtrics.com/jFe/form/SV_djzINkbJIFJUs05?Q_CHL=email&Q_DL=EMD_OY1XxLK7rncWDt8_djzINkbJIFJUs05_CGC_0ZqBiW44uMDQbon&_g_=g,vAl
31,31,2023-05-02 00:00:00.000,vAl,CGC_t8Oa4TlYPoGvnww0,2022-08-04 00:00:00,,vAL5,,2023-02-22 00:00:00.000,PendinG,https://myorg.ca1.qualtrics.com/jfe/form/SV_7Uw1HUxpN0OxbVQ?Q_CHL=email&Q_DL=EMD_Q8AiTuBzgLZsODX_7UW1HuxpN0OxbVQ_CGC_kKkUtjVs3mfxeAK&_g_=g,vAl
32,32,2023-05-02 00:00:00.000,VaL6,CGC_0ZqBIW44uMDQbon,2022-07-21 00:00:00,,val,,2022-12-30 00:00:00.000,OPened5,https://myoRG.ca1.qualtrics.com/jfe/form/SV_7Uw1HuxpN0OxbVQ?Q9_CHL=email&Q_DL=EMD_FV7lj9zfNfFAxFI_7Uw1HuxpN0OxbVQ_CGC_T8oa4TlYPoGvnwW&_g_=g3,VAL8
33,33,2023-05-02 00:00:00.000,vAl,CGC_kKkUtjVs8mFxeAk,2022-09-22 00:00:00,,Val5,,2022-06-16 00:00:00.000,oPened,https://myorg.ca1.quAltrics.com/jfe/form/SV1_djzINkbJIFJUs05?Q_CHl=gl&Q_DL=EMD_GgJDmizeU8yAwvI_djzINkbJIFJUs05_CGC_0ZqBiW44uMDQbon&_g_=g7,vaL
34,34,2023-05-02 00:00:00.000,VAL7,cgC_0ZqBiW44uMDQbon7,2023-02-22 00:00:00,,val,,2022-05-12 00:00:00.000,opeNeD4,https:0//myorg.ca1.qualtrics.com/jfe/form/SV_7Uw1HuxpN0OxbVQ?Q_CHL=email&Q_DL=EMD_FV7lj9zfNfFAxFI_7Uw1HuxpN0OxbVQ_CgC_T8oa4TlYPoGvnww&_g_=g,vAl
35,35,2023-05-02 00:00:00.000,VaL2,CGC2_kKkutjVs3mFxeAK6,2022-06-27 00:00:00,,VaL,,2023-02-02 00:00:00.000,OPeNEd,https://myorG.ca1.qualtrics.com/jfe/form/SV_7Uw1HuxpN0OxbVQ?Q_CHL=email&Q_DL=EMD_FV7lj9zfNfFAxfI_7Uw1HuxpN0OxBVQ_CGC_T8oa4TlYPoGvnwW&_g_=g9,vAL0
