school_name,q117_in_planning_my_last_1,q69_the_principal_assistant_1,q75_the_performance_of_the_1,q154_how_many_adults_at_this,q106_in_planning_my_last,q100_in_planning_my_last_1,q10_i_am_able_to_empower_1,q4_how_many_teachers_at_this,q36_the_principal_school,q80_in_planning_my_last_1,q128_in_planning_my_last,q169_it_s_a_priority_at_this_1,q88_in_planning_my_last,q125_in_planning_my_last_1,q47_at_this_school_once_we,q46_at_this_school_the_1,q81_in_planning_my_last_1,q29_i_would_recommend_this_1,q8_i_am_able_to_ensure_1,q52_at_this_school_teachers_1,q49_at_this_school_teachers,q134_in_planning_my_last_1,q142_how_many_students_in_1,q46_at_this_school_the,q135_how_many_students_in_1,q8_i_am_able_to_ensure,q121_in_planning_my_last_1,q130_in_planning_my_last_1,q136_how_many_students_in_1,q57_overall_my_professional_1,q131_in_planning_my_last_1,q135_how_many_students_in,q111_in_planning_my_last,q108_in_planning_my_last,q30_i_feel_respected_by_the_1,q123_in_planning_my_last_1,q106_in_planning_my_last_1,q43_at_this_school_there_1,q115_in_planning_my_last,q70_the_principal_school_1,q48_at_this_school_it_is,q31_the_principal_school_1,q87_in_planning_my_last_1,q127_in_planning_my_last_1,q48_at_this_school_it_is_1,q34_at_this_school_it_s_ok,q43_at_this_school_there,q17_central_doe_employees,q165_my_students_are_safe_1,q100_in_planning_my_last,q125_in_planning_my_last,q7_i_am_able_to_modify,q165_my_students_are_safe,q90_in_planning_my_last,q61_the_principal_school_1,q117_in_planning_my_last,q38_the_principal_and,q101_in_planning_my_last,q1_how_many_teachers_at_this,q126_in_planning_my_last,q130_in_planning_my_last,q57_overall_my_professional,q145_how_many_students_in_1,q61_the_principal_school,q14_i_am_able_to_monitor,q103_in_planning_my_last_1,q45_at_this_school_students_1,q44_this_school_has_well_1,q85_in_planning_my_last_1,q129_in_planning_my_last,q169_it_s_a_priority_at_this,q38_the_principal_and_1,q173_adults_at_this_school,q15_i_am_able_to_distinguish,q112_in_planning_my_last_1,q86_in_planning_my_last,q131_in_planning_my_last,q79_in_planning_my_last,q114_in_planning_my_last,q91_in_planning_my_last,q60_overall_my_professional,q122_in_planning_my_last,q143_how_many_students_in,q101_in_planning_my_last_1,q72_how_much_influence_do_1,q147_how_many_students_in_1,q2_how_many_teachers_at_this_1,q40_i_feel_respected_by_1,q140_discipline_is_applied,q146_how_many_students_in,q150_how_many_adults_at_this,q110_in_planning_my_last_1,q171_adults_at_this_school_1,q33_i_trust_the_principal_1,q105_in_planning_my_last,q132_in_planning_my_last_1,total_teacher_response_rate,q56_at_this_school_school_1,q86_in_planning_my_last_1,q23_teachers_in_this_school,q34_at_this_school_it_s_ok_1,q63_the_principal_school_1,q21_i_usually_look_forward,q62_the_principal_school,q12_i_am_able_to_apply_my,q23_teachers_in_this_school_1,q154_how_many_adults_at_this_1,q114_in_planning_my_last_1,q14_i_am_able_to_monitor_1,q27_i_feel_respected_by_other_1,q40_i_feel_respected_by,q175_adults_at_this_school_1,q11_i_am_able_to_design_1,q78_in_planning_my_last_1,q110_in_planning_my_last,q167_my_students_are_safe_1,q45_at_this_school_students,q88_in_planning_my_last_1,q3_how_many_teachers_at_this,q11_i_am_able_to_design,q65_the_principal_assistant,q129_in_planning_my_last_1,q32_the_principal_school_1,q104_in_planning_my_last_1
P.S. 9 Ryer Avenue Elementary School,,0.48,0.43,0.83,1.0,,0.02,0.85,0.3,0.2,0.77,0.11,,0.17,0.52,0.63,,0.52,0.02,0.05,0.71,0.09,0.26,0.37,0.39,0.98,,0.19,0.46,0.35,0.14,0.61,1.0,0.8,0.57,,0.0,0.17,,0.55,0.53,0.66,,0.16,0.47,0.28,0.83,,0.54,,0.83,1.0,0.46,,0.57,,0.32,,0.83,0.88,0.81,0.65,0.15,0.43,1.0,0.2,0.45,0.19,,0.81,0.89,0.68,0.0,1.0,0.2,,0.86,0.8,,,0.87,,0.67,,0.62,0.2,0.29,0.07,0.81,0.58,0.82,0.0,0.0,0.59,1.0,0.14,0.92,0.06,,0.67,0.72,0.51,0.54,0.41,1.0,0.33,0.17,,0.0,0.18,0.93,0.0,0.0,0.2,1.0,0.06,0.55,,0.73,1.0,0.54,0.19,0.63,0.0
Abc Plus,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,,0.0,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0
M.S. X101 Edward R. Byrne,0.2,0.18,0.57,0.82,1.0,,0.19,0.96,0.78,0.0,1.0,0.25,,0.0,0.78,0.26,,0.13,0.14,0.09,0.87,0.0,0.23,0.74,0.5,0.86,0.2,0.0,0.41,0.14,0.0,0.5,1.0,0.8,0.17,0.2,0.0,0.0,0.8,0.18,0.91,0.22,,0.0,0.09,0.74,1.0,,0.0,,1.0,0.95,0.0,,0.05,0.8,0.91,,0.87,1.0,1.0,0.86,0.14,0.95,0.91,0.0,0.52,0.0,,1.0,0.75,0.09,0.0,0.83,0.0,,1.0,0.0,0.8,,0.82,0.8,0.5,,0.27,0.32,0.3,0.26,0.64,0.82,0.9,0.2,0.0,0.23,1.0,0.0,0.49,0.0,,0.78,0.26,0.23,0.83,0.95,0.82,0.22,0.18,0.2,0.09,0.13,0.74,0.0,0.05,0.0,0.8,0.0,0.48,,0.78,0.95,0.77,0.0,0.26,0.0
Brooklyn High School For Leadership And Community Service,,0.0,0.44,0.93,,,0.0,1.0,1.0,0.0,1.0,0.0,,0.0,0.93,0.0,,0.0,0.0,0.07,1.0,0.0,0.14,1.0,0.36,1.0,,0.0,0.14,0.0,0.0,0.64,,,0.0,,,0.0,,0.14,1.0,0.0,,0.0,0.0,1.0,1.0,,0.0,,1.0,1.0,0.0,,0.0,,1.0,,1.0,1.0,1.0,1.0,0.07,1.0,1.0,,0.36,0.0,,1.0,0.0,0.0,1.0,1.0,,,1.0,0.0,,,0.86,,0.79,,0.0,0.07,0.0,0.0,1.0,0.79,1.0,,0.0,0.0,,0.0,0.82,0.0,,1.0,0.0,0.0,1.0,1.0,0.92,0.0,0.07,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.64,,1.0,1.0,0.93,0.0,0.0,
P.S. 282 Park Slope,,0.2,0.33,0.79,,,0.05,0.84,0.75,,0.67,0.0,,0.33,0.56,0.31,,0.31,0.06,0.06,0.69,0.17,0.2,0.69,0.33,0.94,,0.17,0.53,0.4,0.25,0.67,,,0.38,,,0.12,,0.27,0.56,0.47,,0.08,0.44,0.69,0.88,,0.0,,0.67,1.0,1.0,,0.31,,0.5,,0.67,0.75,0.83,0.6,0.13,0.69,0.88,,0.38,0.38,,0.83,1.0,0.5,0.0,0.94,,,0.75,,,,0.75,,0.8,,0.56,0.2,0.47,0.38,0.62,0.62,0.93,,0.0,0.38,,0.25,0.43,0.12,,0.5,0.31,0.12,0.75,0.62,0.89,0.5,0.21,,0.12,0.19,0.62,0.0,0.16,,,0.0,0.62,,0.58,0.84,0.8,0.17,0.31,
P.S. 276 Louis Marshall,,0.07,0.14,0.91,,,0.0,0.82,0.96,0.0,0.95,0.0,,0.0,0.85,0.07,,0.15,0.0,0.0,0.96,0.05,0.27,0.93,0.38,1.0,,0.05,0.31,0.07,0.0,0.62,,,0.07,,,0.0,,0.04,0.89,0.19,0.0,0.05,0.11,0.93,1.0,,0.0,,1.0,1.0,1.0,,0.07,,0.96,,0.92,1.0,0.95,0.93,0.15,0.93,0.93,,0.04,0.04,,0.95,1.0,0.04,0.0,0.93,,,1.0,0.88,,,0.96,,0.73,,0.15,0.31,0.32,0.04,1.0,0.7,0.91,,0.0,0.19,,0.0,0.67,0.04,,0.89,0.07,0.08,0.96,0.93,1.0,0.11,0.09,,0.07,0.04,0.96,0.0,0.07,0.14,,0.0,0.96,,0.75,0.93,0.96,0.05,0.19,
Ip Kids,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.8,,0.0,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0
The Lexington Academy,0.25,0.21,0.5,0.88,0.75,0.17,0.03,0.88,0.72,0.2,0.88,0.29,0.57,0.12,0.68,0.21,0.57,0.34,0.03,0.14,0.89,0.12,0.25,0.79,0.29,0.97,0.25,0.12,0.46,0.21,0.12,0.71,0.75,0.75,0.28,0.25,0.25,0.14,0.75,0.25,0.82,0.28,0.43,0.13,0.18,0.66,0.86,,0.18,0.83,0.88,0.97,0.82,0.57,0.18,0.75,0.72,0.83,0.88,0.88,0.88,0.79,0.07,0.82,0.94,0.38,0.32,0.07,0.57,0.88,0.71,0.28,0.0,0.94,0.25,0.57,0.88,0.8,0.75,0.43,0.82,0.75,0.75,0.17,0.29,0.18,0.25,0.21,0.8,0.8,0.88,0.25,0.0,0.28,0.75,0.12,0.65,0.14,0.43,0.86,0.34,0.21,0.86,0.86,0.97,0.14,0.12,0.25,0.06,0.14,0.79,0.0,0.03,0.2,0.75,0.0,0.68,0.43,0.75,0.97,0.82,0.12,0.21,0.25
School For Tourism And Hospitality,,0.58,0.9,0.75,,,0.27,0.83,0.58,0.0,,0.0,,,0.17,0.5,,0.67,0.17,0.08,0.58,,0.08,0.5,0.75,0.83,,,0.92,0.58,,0.25,,,0.42,,,0.27,,0.58,0.42,0.5,,,0.58,0.58,0.73,,0.0,,,1.0,0.0,,0.5,,0.58,,0.91,,,0.42,0.25,0.5,0.91,,0.42,0.45,,,0.0,0.42,1.0,1.0,,,,0.0,,,0.67,,0.55,,0.5,0.17,0.25,0.27,0.45,0.3,0.83,,0.0,0.5,,,0.55,0.09,,0.58,0.42,0.58,0.75,0.5,1.0,0.42,0.25,,0.09,0.25,0.73,0.0,0.0,0.0,,0.0,0.58,,0.75,1.0,0.58,,0.5,
East New York Middle School Of Excellence,0.2,0.18,0.33,0.71,,,0.11,0.89,0.78,0.0,1.0,0.18,,0.0,0.94,0.12,,0.29,0.11,0.0,0.88,0.2,0.07,0.88,0.21,0.89,0.2,0.0,0.43,0.25,0.2,0.79,,,0.22,0.2,,0.06,0.8,0.24,0.94,0.22,,0.0,0.06,0.71,0.94,,0.0,,1.0,0.94,0.0,,0.18,0.8,0.94,,0.89,1.0,1.0,0.75,0.29,0.82,0.89,,0.56,0.06,,1.0,0.82,0.06,0.0,0.88,,,0.8,0.0,0.8,,0.75,0.8,0.79,,0.59,0.29,0.28,0.06,0.79,0.64,0.86,,0.0,0.24,,0.2,0.75,0.0,,0.71,0.29,0.19,0.82,0.88,0.89,0.29,0.29,0.2,0.11,0.18,0.94,0.0,0.11,0.0,,0.0,0.44,,0.76,0.89,0.82,0.0,0.28,
Brooklyn Technical High School,0.25,0.23,0.52,0.72,0.97,0.06,0.08,0.83,0.68,0.0,0.95,0.0,1.0,0.04,0.59,0.3,0.0,0.09,0.07,0.16,0.82,0.01,0.19,0.7,0.42,0.93,0.03,0.03,0.33,0.4,0.01,0.58,0.93,0.97,0.22,0.06,0.03,0.24,0.92,0.37,0.66,0.39,0.07,0.01,0.34,0.76,0.76,,0.0,0.94,0.96,0.95,0.0,0.87,0.25,0.75,0.58,0.94,0.86,1.0,0.97,0.6,0.06,0.75,0.81,0.0,0.35,0.11,0.03,0.94,0.0,0.42,0.99,0.86,0.03,0.93,0.99,0.0,0.92,0.93,0.66,0.95,0.81,0.06,0.11,0.18,0.38,0.18,0.88,0.87,0.86,0.07,0.03,0.33,1.0,0.01,0.87,0.09,0.07,0.84,0.24,0.24,0.9,0.65,0.85,0.16,0.28,0.08,0.19,0.12,0.82,0.03,0.14,0.0,0.93,0.0,0.65,0.0,0.62,0.86,0.74,0.06,0.16,0.0
P.S. 398 Walter Weaver,,0.06,0.25,0.81,,,0.0,0.94,0.94,,0.93,0.0,,0.0,0.94,0.0,,0.06,0.0,0.0,0.94,0.0,0.06,1.0,0.12,1.0,,0.07,0.25,0.12,0.0,0.88,,,0.12,,,0.0,,0.06,0.94,0.06,,0.0,0.06,0.82,1.0,,0.0,,1.0,1.0,1.0,,0.0,,1.0,,1.0,1.0,0.93,0.88,0.12,1.0,1.0,,0.12,0.0,,0.93,1.0,0.0,0.0,1.0,,,1.0,,,,1.0,,0.75,,0.18,0.19,0.11,0.0,0.93,0.87,0.88,,0.0,0.06,,0.0,0.72,0.0,,0.88,0.18,0.0,0.94,1.0,1.0,0.12,0.19,,0.0,0.06,1.0,0.0,0.0,,,0.0,0.88,,0.89,1.0,0.88,0.07,0.06,
Bronx Aerospace High School,,0.06,0.09,0.94,1.0,,0.0,1.0,1.0,0.0,1.0,0.0,,0.0,0.94,0.0,,0.06,0.0,0.0,1.0,0.0,0.18,1.0,0.24,1.0,,0.0,0.24,0.19,0.0,0.76,0.8,1.0,0.06,,0.0,0.0,,0.0,0.94,0.06,,0.0,0.06,0.94,1.0,,0.0,,1.0,1.0,0.0,,0.0,,0.89,,1.0,1.0,1.0,0.81,0.06,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.11,1.0,1.0,0.2,,1.0,0.0,,,1.0,,0.82,,0.06,0.06,0.05,0.0,1.0,0.69,1.0,0.0,0.0,0.06,1.0,0.0,0.95,0.0,,0.94,0.06,0.0,0.89,1.0,1.0,0.06,0.06,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.89,1.0,1.0,0.0,0.0,0.0
The Judith S. Kaye School,0.0,0.0,,1.0,,,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.17,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.83,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,1.0,,0.0,,0.0,1.0,0.0,,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.17,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,1.0,0.0,0.83,,0.0,0.17,0.0,0.0,0.83,0.67,1.0,,0.0,0.0,,0.0,0.6,0.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,,1.0,1.0,1.0,0.0,0.0,
