facility_name,retail_number_of_open_or,last_modified_date,other_number_of_pcs,total_indoor_and_outdoor,release_date,retail_number_of_walk_in,medical_office_number_of,supermarkets_grocery_number_1,other_workers_on_main_shift,current_direct_ghg_emissions,parking_enclosed_floor_area,latitude,multifamily_home_total_number,difference_from_national,office_gross_floor_area_sq,county,parking_gross_floor_area,longitude,current_indirect_ghg_emissions,office_office_air_conditioned,bin,fuel_oil_2_use_kbtu,k_12_school_high_school_y,council_district,diesel_2_use_kbtu,total_floor_space_sq_ft,bank_financial_institution_1,retail_percent_cooled,bank_financial_institution,current_total_site_energy,community_board,electricity_use_kbtu,retail_pc_density,weather_normalized_site_eui,retail_open_closed_refrig,rating
Solow - 6 west 57th,0.0,2011-05-18T00:00:00.000,,,2011-07-28T10:53:55.000,0.0,,,,,,,,-73.6,54075.0,NEW YORK,,,164.37,100.0,,,,,,63924.0,,100.0,,1947026.0,,713114.82,0.2,31.5,0.0,100.0
Sample Facility,,2011-07-26T00:00:00.000,,,2011-08-01T20:29:10.000,,,,,,,,,,15000.0,ARLINGTON,,,,25.0,,,,,,15000.0,,,,,,,,,,0.0
ABRO 254 EAST 202,,2011-04-08T00:00:00.000,,,2011-07-28T10:52:04.000,,,,,177.46,,,52.0,,,BRONX,,,66.48,,,,,,,50000.0,,,,2948383.9,,708115.91,,59.0,,0.0
Vantage- 37-52 89th Street,,2011-03-25T00:00:00.000,,,2011-07-28T10:54:19.000,,,,,650.44,,40.749332,181.0,,,QUEENS,,-73.877589,123.68,,4036336.0,,,21.0,,69912.0,,,,9528460.2,403.0,1317337.54,,135.8,,0.0
Wallack- 2 W 67th,,2011-04-06T00:00:00.000,,,2011-07-28T10:54:30.000,,9.0,,,614.71,,,146.0,,,NEW YORK,,,121.55,,,,,,,126000.0,,,,9054802.0,,1294649.28,,71.2,,0.0
Esquire - 81-04 155th Ave,,2011-05-06T00:00:00.000,,,2011-07-28T10:52:51.000,,,,,311.29,,40.664267,219.0,,,QUEENS,,-73.852615,173.31,,4434938.0,,,32.0,,92484.0,,,,7697260.2,410.0,1845960.24,,86.3,,0.0
Wallack- 251 E 51st  street,0.0,2011-04-05T00:00:00.000,,,2011-07-28T10:54:30.000,0.0,2.0,,,808.89,10500.0,40.758633,151.0,,,NEW YORK,10500.0,-73.975455,347.12,,,,,4.0,,215395.0,,100.0,,13908663.6,105.0,3697243.2,0.2,63.0,0.0,0.0
Brodsky - 420 W 42nd Street,,2011-04-01T00:00:00.000,,,2011-07-28T10:52:08.000,,,,,1399.01,,40.7588,327.0,,,NEW YORK,,-73.993535,292.69,,1087184.0,,,3.0,,239798.0,,,,29414706.1,104.0,3117467.35,,131.1,,0.0
Brodsky - 200 W 60th Street,0.0,2011-04-06T00:00:00.000,,,2011-07-28T10:52:07.000,0.0,,,,2024.83,34068.0,40.771137,376.0,,,NEW YORK,34068.0,-73.98736,231.52,,1077845.0,,,6.0,,265217.0,,100.0,,28027367.6,107.0,2465918.44,0.2,105.7,0.0,0.0
United - 1150 Brighton Beach Ave,,2011-05-25T00:00:00.000,,,2011-07-28T10:54:14.000,,,,,587.68,,40.577631,188.0,,,KINGS,,-73.955718,169.33,,3245727.0,,,48.0,,158000.0,,,,12850156.3,313.0,1803562.73,,86.0,,0.0
Milstein - 251 east 32nd,0.0,2011-03-21T00:00:00.000,,,2011-07-28T10:53:00.000,0.0,,,,1241.69,14500.0,40.743644,195.0,,,NEW YORK,14500.0,-73.977142,436.73,,1020092.0,,,2.0,,146800.0,,100.0,,20326757.1,106.0,4651617.02,0.2,137.0,0.0,0.0
DE 1314 - 10801 seaview ave,,2011-05-02T00:00:00.000,,,2011-07-28T10:52:22.000,,,,,,,40.639092,325.0,,,KINGS,,-73.881532,801.36,,3233305.0,,,46.0,,165552.0,,,,8535290.6,318.0,8535290.58,,52.5,,0.0
30 Washington Street,,2011-06-10T00:00:00.000,,,2011-08-01T19:21:52.000,,,,,,,40.703531,,-31.2,89250.0,KINGS,,-73.98957,377.97,100.0,3344163.0,,,33.0,,89250.0,,,,4041308.4,302.0,3943630.54,,43.3,,79.0
ABRO 115 EAST 82ND STREET,,2011-04-07T00:00:00.000,,,2011-07-28T10:52:03.000,,,,,331.33,,40.777287,83.0,,3000.0,NEW YORK,,-73.95834,61.5,100.0,1047604.0,,,4.0,,53000.0,,,,4837678.9,108.0,655026.95,,91.3,,0.0
Stellar 3207 Van Dam Street,,2011-05-05T00:00:00.000,,,2011-07-28T10:54:00.000,,,,,707.28,,,,-53.9,301000.0,QUEENS,,,832.15,100.0,,,,,,301000.0,,,,17791983.5,,8863244.54,,59.1,,95.0
DE 2880 - 10 gracie square,,2011-05-03T00:00:00.000,,,2011-07-28T10:52:40.000,,,,,1049.77,,40.773299,161.0,,,NEW YORK,,-73.94502,172.15,,1051385.0,,,5.0,,264500.0,,,,15085873.9,108.0,1833624.21,,57.1,,0.0
Vantage- 700 West 176th Street,0.0,2011-03-25T00:00:00.000,,,2011-07-28T10:54:21.000,0.0,,,,416.53,,40.846947,161.0,,,NEW YORK,,-73.938468,102.89,,1063513.0,,,10.0,,70436.0,,100.0,,6757771.8,112.0,1095870.78,0.2,95.9,0.0,0.0
Stonehenge 322 East 63rd Street,0.0,2011-05-04T00:00:00.000,,,2011-07-28T10:54:09.000,0.0,,,,313.44,,40.762612,68.0,,1905.0,NEW YORK,,-73.961349,100.98,100.0,1044377.0,,,5.0,,72103.0,,100.0,,5032441.6,108.0,1075522.94,0.2,69.3,0.0,0.0
Stonehenge 1619 Broadway,0.0,2011-05-04T00:00:00.000,,,2011-07-28T10:54:08.000,0.0,,,,491.27,,40.761058,,-20.8,124650.0,NEW YORK,,-73.98433,607.92,100.0,1024793.0,,,3.0,,155813.0,,100.0,,15709340.8,105.0,6474963.41,0.2,104.4,0.0,69.0
Chestnut-3341-45 Reservoir,,2011-04-05T00:00:00.000,,,2011-07-28T10:52:16.000,,,,,252.48,,,104.0,,,BRONX,,,60.8,,,,,,,77700.0,,,,5393523.5,,647610.59,,72.9,,0.0
SW - 140-54 w 72nd,0.0,2011-03-30T00:00:00.000,,,2011-07-28T10:53:38.000,0.0,,,,405.95,,40.777496,41.0,,,NEW YORK,,-73.979019,99.49,,,1955536.05,,6.0,,59848.0,,100.0,,6577730.1,107.0,1059651.19,0.2,109.9,0.0,0.0
SW - 8611 whitney,,2011-03-31T00:00:00.000,,,2011-07-28T10:53:47.000,,,,,306.43,7510.0,40.741812,51.0,,,QUEENS,7510.0,-73.878812,143.99,,4039024.0,,,25.0,,75278.0,,,,7293637.2,404.0,1533685.64,,101.3,,0.0
736 West 186th St.,,2011-03-15T00:00:00.000,,,2011-07-08T11:24:46.000,,,,,253.72,,40.853717,,,,NEW YORK,,-73.936018,17.72,,1064434.0,,,10.0,,55776.0,,,,3640473.4,112.0,188731.37,,65.3,,0.0
DE3 7552 - 167 E 61 St,,2011-07-20T00:00:00.000,,,2011-07-28T10:52:46.000,,,,,,,40.763176,324.0,,,NEW YORK,,-73.966526,1472.61,,1041986.0,,,4.0,,260709.0,,,,17609146.3,108.0,5513926.28,,70.5,,0.0
DE 2122-  2-17 51st Avenue,0.0,2011-05-03T00:00:00.000,,,2011-07-28T10:52:32.000,0.0,,,,405.93,,40.742816,200.0,,,QUEENS,,-73.958322,241.69,,4540156.0,,,26.0,,238795.0,,100.0,,10204622.0,402.0,2574299.41,0.2,44.6,0.0,0.0
DE 2550 - 351 e 51st,0.0,2011-04-04T00:00:00.000,,,2011-07-28T10:52:36.000,0.0,,,,,5778.0,40.754909,167.0,,,NEW YORK,5778.0,-73.966631,1265.75,,1039660.0,,,4.0,,156740.0,,100.0,,14754316.4,106.0,6754351.17,0.2,94.9,0.0,0.0
0176 Sheraton Manhattan TMSQ,,2011-05-12T00:00:00.000,,35301.6,2011-06-29T11:32:36.000,,,,,31.94,,40.762005,,52.2,,NEW YORK,,-73.982612,6293.17,,1024818.0,,,4.0,,395000.0,,,,77028852.5,105.0,17348185.54,,180.4,,10.0
Vantage- 32-06 47th Street,0.0,2011-03-25T00:00:00.000,,,2011-07-28T10:54:19.000,0.0,,,,388.1,,40.756001,120.0,,,QUEENS,,-73.913704,79.76,,4013055.0,,,26.0,,55840.0,,100.0,,5748850.4,401.0,849480.36,0.2,103.0,0.0,0.0
Pinnacle - 25-29 st. nicholas,0.0,2011-03-23T00:00:00.000,,,2011-07-28T10:53:15.000,0.0,,,,383.69,,40.813136,97.0,,,NEW YORK,,-73.951642,94.15,,1059596.0,,,9.0,,50832.0,,100.0,,5846605.4,109.0,1002845.35,0.2,114.6,0.0,0.0
DE3 7676-3 - Rego Park Gardens Bldgs B&C&D&E,,2011-07-20T00:00:00.000,,,2011-07-28T10:52:47.000,,84.0,,,1345.04,,,192.0,,,QUEENS,,,509.53,,,,,,,302236.0,,,,30709692.0,,5427014.6,,107.1,,0.0
Samson - 24 west 40th,0.0,2011-03-22T00:00:00.000,,,2011-07-28T10:53:50.000,0.0,,,,210.21,,40.752626,,-21.2,68707.0,NEW YORK,,-73.982859,329.09,100.0,1016053.0,,,4.0,,77852.0,,100.0,,6362643.0,105.0,3505202.63,0.2,79.4,0.0,70.0
Gold 2 - 166 S 9th St,,2011-07-13T00:00:00.000,,,2011-07-28T10:52:57.000,,,,,188.04,,40.708461,43.0,,600.0,KINGS,,-73.961987,83.38,100.0,3059731.0,,,33.0,,61650.0,,,,4422700.9,301.0,888062.15,,74.7,,0.0
Marlo Towers - 301 east 48th street,0.0,2011-04-12T00:00:00.000,,,2011-07-28T10:52:59.000,0.0,,,,1318.55,5000.0,40.753493,175.0,,,NEW YORK,5000.0,-73.969097,417.44,,1038916.0,,,4.0,,243425.0,,100.0,,21091569.2,106.0,4446177.2,0.2,86.0,0.0,0.0
United - 166 Montague St,0.0,2011-05-25T00:00:00.000,,,2011-07-28T10:54:15.000,0.0,,,,99.57,,40.694345,28.0,,5600.0,KINGS,,-73.992708,139.15,100.0,3002093.0,,,33.0,,38000.0,,100.0,,3353847.4,302.0,1482144.18,0.2,89.0,0.0,0.0
Samson - 15/17 park,,2011-04-04T00:00:00.000,,,2011-07-28T10:53:49.000,,3.0,,,523.47,,40.747512,162.0,,,NEW YORK,,-73.981013,171.25,,1018516.0,,,2.0,,72615.0,,,,8432190.8,106.0,1823953.94,,116.1,,0.0
Pinnacle - 2102 beverly,,2011-04-08T00:00:00.000,,,2011-07-28T10:53:11.000,,,,,359.89,1485.0,40.644981,100.0,,,KINGS,1485.0,-73.95878,103.23,,3118551.0,4892030.01,,40.0,,60787.0,,,,5991501.2,314.0,1099471.21,,98.1,,0.0
RY- 150 West 225th Street,,2011-05-06T00:00:00.000,,,2011-07-28T10:53:31.000,,,,,2843.31,60000.0,40.875121,572.0,,,BRONX,60000.0,-73.912461,821.61,,1064521.0,,,10.0,,401475.0,,,,44644995.2,208.0,8751009.55,,109.5,,0.0
Milstein Emigrant Savings,,2011-05-06T00:00:00.000,,,2011-07-28T10:53:02.000,,,,,,,40.754391,,-9.4,317786.0,NEW YORK,,-73.980978,3338.27,100.0,1034201.0,,,4.0,,335310.0,100.0,,17524.0,38959457.0,105.0,17567991.77,,112.9,,58.0
E&M - 711 Seagirt Ave,,2011-05-31T00:00:00.000,,,2011-07-28T10:52:50.000,,,,,2549.38,,40.595996,2277.0,,,QUEENS,,-73.742187,1437.49,,4298968.0,,,31.0,,744719.0,,,,63231404.1,414.0,15310804.08,,87.4,,0.0
SW - 2575 sedgwick,,2011-03-30T00:00:00.000,,,2011-07-28T10:53:42.000,,,,,632.29,11000.0,40.868123,93.0,,,BRONX,11000.0,-73.906885,150.32,,2015157.0,,,14.0,,75000.0,,,,10195735.7,207.0,1601085.4,,135.9,,0.0
DALAN - 5429 Kings Highway,,2011-04-01T00:00:00.000,,,2011-07-28T10:52:18.000,,,,,780.74,5000.0,40.641404,228.0,,,KINGS,5000.0,-73.925506,299.03,,3321115.0,,,45.0,,195000.0,,,,17860528.1,317.0,3184950.66,,99.1,,0.0
DE 7576 - 240 east 35th,,2011-05-03T00:00:00.000,,,2011-07-28T10:52:42.000,,,,,308.9,,40.745818,92.0,,,NEW YORK,,-73.9763,157.84,,1020163.0,,,2.0,,91745.0,,,,7487509.3,106.0,1681173.85,,86.0,,0.0
Esquire - 546 5th Ave,0.0,2011-05-06T00:00:00.000,,,2011-07-28T10:52:51.000,0.0,,,,,,40.755447,,29.3,176055.0,NEW YORK,,-73.979466,1288.76,100.0,1082895.0,,,4.0,,180524.0,,100.0,,14062276.1,105.0,11952478.14,0.2,75.9,0.0,0.0
DE 1436-2 - 47-30 61st,,2011-04-26T00:00:00.000,,,2011-07-28T10:52:24.000,,,,,3235.29,33290.0,40.739653,400.0,,,QUEENS,33290.0,-73.903243,,,4432208.0,19857151.03,,26.0,,297154.0,,,,53211451.0,402.0,0.0,,181.1,,0.0
Pinnacle - 72-30 kissena,,2011-03-29T00:00:00.000,,,2011-07-28T10:53:23.000,,1.0,,,82.11,,40.727741,206.0,,,QUEENS,,-73.813736,121.23,,4455537.0,,,24.0,,97320.0,,,,2834592.5,408.0,1291244.1,,30.2,,0.0
Samson - 110 fifth,0.0,2011-03-21T00:00:00.000,,,2011-07-28T10:53:48.000,0.0,,,,214.83,,40.737424,,-41.6,159736.0,NEW YORK,,-73.992599,619.24,100.0,1015393.0,,,3.0,,168176.0,,100.0,,10633698.5,105.0,6595550.09,0.2,61.3,0.0,87.0
Pinnacle - 8505 elmhurst,,2011-03-28T00:00:00.000,,,2011-07-28T10:53:25.000,,,,,236.55,,40.743224,58.0,,,QUEENS,,-73.879719,71.95,,4037521.0,,,25.0,,60000.0,,,,5212828.8,404.0,766344.89,,91.1,,0.0
Stellar 68 West 97th Street,,2011-05-05T00:00:00.000,,,2011-07-28T10:54:04.000,,20.0,,,1262.27,29750.0,40.793404,427.0,,,NEW YORK,29750.0,-73.966677,499.85,,1055265.0,,,7.0,,312790.0,,,,21736015.2,107.0,5323908.7,,68.9,,0.0
Vantage-62-60 99th Street,,2011-05-02T00:00:00.000,,,2011-07-28T10:54:24.000,,3.0,,,1680.46,30000.0,40.733469,970.0,,1100.0,QUEENS,30000.0,-73.85756,655.58,100.0,4050421.0,,,29.0,,472300.0,,,,37794204.6,406.0,6982664.6,,85.6,,0.0
DE 1590 - 1088 park,,2011-05-03T00:00:00.000,,,2011-07-28T10:52:26.000,,9.0,,,1269.48,,40.781872,300.0,,,NEW YORK,,-73.955976,416.75,,1046956.0,,,4.0,,259999.0,,,,20464678.8,108.0,4438813.88,,77.9,,0.0
United - 1151 Brighton Beach Ave,0.0,2011-05-24T00:00:00.000,,,2011-07-28T10:54:14.000,0.0,,,,295.92,,40.577521,97.0,,,KINGS,,-73.955301,121.92,,3245670.0,,,48.0,,67000.0,,100.0,,6860958.4,313.0,1298600.38,0.2,114.3,0.0,0.0
"Vantage- 47-05 44th Street, 44-14 47 Avenue, 47-06 45th Street, 44-08 47 Avenue",,2011-03-30T00:00:00.000,,,2011-07-28T10:54:20.000,,5.0,,,278.07,,,185.0,,,QUEENS,,,95.23,,,1469425.85,,,,66716.0,,,,5678533.3,,1014268.73,,84.5,,0.0
DE 1676 - 30 beekman place,,2011-05-03T00:00:00.000,,,2011-07-28T10:52:28.000,,,,,436.3,,40.753681,58.0,,,NEW YORK,,-73.964549,62.66,,1040113.0,,,4.0,,67167.0,,,,6175254.4,106.0,667392.48,,91.7,,0.0
Pinnacle - 40-25 hampton,,2011-04-04T00:00:00.000,,,2011-07-28T10:53:19.000,,,,,346.83,,40.74666,66.0,,,QUEENS,,-73.882113,75.14,,4037150.0,,,25.0,,57000.0,,,,7319777.0,404.0,800367.37,,135.3,,0.0
Samson - 765 amsterdam,,2011-04-04T00:00:00.000,,,2011-07-28T10:53:53.000,,2.0,,,810.55,20933.0,40.79495,276.0,,,NEW YORK,20933.0,-73.969702,268.84,,1055899.0,,,7.0,,172012.0,,,,13095780.4,107.0,2863409.39,,75.9,,0.0
Pinnacle - 23-25 hillside,,2011-03-23T00:00:00.000,,,2011-07-28T10:53:13.000,,,,,866.06,,40.858811,113.0,,,NEW YORK,,-73.930309,174.83,,1000000.0,,,10.0,,113125.0,,,,12795263.3,112.0,1862092.18,,113.1,,0.0
Wallack Manag. 225 east 57th street,0.0,2011-04-04T00:00:00.000,,,2011-07-28T10:54:28.000,0.0,29.0,,,,3000.0,40.759926,375.0,,,NEW YORK,3000.0,-73.966737,2478.41,,1076272.0,,,4.0,,337837.0,,100.0,,29981437.0,106.0,7455946.43,0.2,81.3,0.0,0.0
SW - 329-43 2nd Ave,0.0,2011-03-31T00:00:00.000,,,2011-07-28T10:53:43.000,0.0,7.0,,,1471.39,20000.0,,223.0,,,NEW YORK,20000.0,,574.11,,,2086043.81,,,,272000.0,,100.0,,32708741.5,,6114874.13,0.2,105.7,0.0,0.0
DE 2714 - 1438 third ave,0.0,2011-05-03T00:00:00.000,,,2011-07-28T10:52:38.000,0.0,,,,383.29,,40.775922,197.0,,,NEW YORK,,-73.95611,222.33,,1047569.0,,,5.0,,138488.0,,100.0,,9572700.6,108.0,2368071.52,0.2,72.8,0.0,0.0
Stellar 666-68 west end ave,,2011-04-07T00:00:00.000,,,2011-07-28T10:54:04.000,,,,,1312.9,,40.793033,181.0,,61125.0,NEW YORK,,-73.974817,1144.31,100.0,1033609.0,,,6.0,,297985.0,,,,30034212.2,107.0,12188073.44,,99.8,,0.0
Stellar 49-57 CROWN STREET,,2011-05-05T00:00:00.000,,,2011-07-28T10:54:02.000,,,,,1583.71,41713.0,40.667286,473.0,,,KINGS,41713.0,-73.959905,719.3,,3029715.0,,,35.0,,320000.0,,,,37430304.8,309.0,7661304.8,,129.4,,0.0
Vantage-98-30 67 Ave,0.0,2011-03-23T00:00:00.000,,,2011-07-28T10:54:25.000,0.0,,,,747.38,,40.725023,302.0,,,QUEENS,,-73.855031,190.76,,4075086.0,,,29.0,,132724.0,,100.0,,11466782.1,406.0,2031789.87,0.2,86.4,0.0,0.0
Pinnacle - 405 e16th,,2011-03-28T00:00:00.000,,,2011-07-28T10:53:19.000,,,,,276.53,4934.0,40.640602,57.0,,,KINGS,4934.0,-73.963351,98.39,,3118767.0,,,40.0,,51176.0,,,,4806925.3,314.0,1047996.68,,93.5,,0.0
DE 2484 - 230 east 88th,,2011-05-04T00:00:00.000,,,2011-07-28T10:52:36.000,,,,,696.97,,40.779774,184.0,,,NEW YORK,,-73.952222,231.71,,1048819.0,,,5.0,,130000.0,,,,11266440.8,108.0,2467932.62,,85.1,,0.0
