site_name,address_2,fixed_address,state_senate_district,provider_id,state,bp_population
Bedford Stuyvesant New Beginnings Charter School,,True,18.0,223,NY,
Bronx,5th Floor,True,33.0,157,NY,
Procurement: Brooklyn Defender Services,,True,25.0,294,NY,
Boys and Girls Republic,,True,26.0,38,NY,
"Catholic Charities Community Services, Archdiocese of New York - HQ","Service site -80 Maiden Lane, New York, NY",True,28.0,507,NY,
Rikers Island,,False,,920,,
Staten Island Workforce1 Center,3rd Floor,True,23.0,947,NY,
BETH ISRAEL MEDICAL CENTER_Manhattan,2ND FLOOR,True,30.0,876,NY,
Flushing Library Workforce1 Center,3rd Floor,True,16.0,629,NY,
Basketball Program,,True,26.0,219,NY,
Bronx Family Justice Center,,True,32.0,10,NY,
NYCHA Ingersoll Houses,,False,,1141,,
IS 145,,True,13.0,607,NY,
Queens Drop-in,,True,10.0,869,NY,
Queens court,,True,14.0,2848,NY,
Al-Ishan Academy,,True,10.0,890,NY,
ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,,True,12.0,16,NY,
Bronx Alliance Middle School,,True,36.0,587,NY,
Bronx,,True,29.0,454,NY,
23K323 - P.S./I.S.323,,True,20.0,533,NY,
BETH ISRAEL MEDICAL CENTER_Manhattan,"3RD FLOOR, 3G",True,28.0,876,NY,
Cure Violence - 77 Precinct,,False,,152,,
AAFE Chinatown location,,True,26.0,465,NY,
Brownsville Justice Center (Brownsville),,True,20.0,152,NY,
LSNYC-SI-1,,True,23.0,446,NY,
Accent Care,,False,,813,,"[""veterans"",""nycha residents"",""seniors"",""children (0-13)""]"
Queensbridge Houses Playstreets and VIBE,,False,,607,,
Staten Island Justice Center (North Shore),,True,23.0,152,NY,
PEAK Queens,,True,14.0,2529,NY,
Manhattan Family Justice Center,,True,26.0,21,NY,
JHS 292,,True,19.0,1430,NY,
30Q149 - P.S. 149 Christa Mcauliffe School,,True,13.0,466,NY,
NYC,,False,,64,,
After School - El Punte De Williamsburg,,True,18.0,280,NY,
Al Madinah School,,True,20.0,848,NY,
Grand Concourse,,True,32.0,1577,NY,
YAP,,True,25.0,508,NY,
Boys and Girls HS,,True,25.0,1430,NY,
CC  Manhattan,9th Floor,True,30.0,771,NY,
Bronx Dance Academy School,,True,36.0,587,NY,
"CAMBA Legal Services, Inc. - HQ",,True,21.0,31,NY,
Queens Family Court,,True,14.0,152,NY,
Metropolitan New York Coordinating Council On Jewish Poverty 02804,7th Floor,True,26.0,98,NY,
"Safe Passage, Non-Residential Domestic Violence Services",,True,23.0,494,NY,"[""families""]"
BCJC,,True,20.0,152,NY,
7th Avenue Health Center,,True,21.0,106,NY,
BELA,,True,25.0,74,NY,
CATHOLIC CHARITIES COMMUNITY SERVICES ARCHDIOCESE OF NEW YORK_Bronx,,True,36.0,507,NY,
Academy for Young Writers,,True,19.0,823,NY,
