house_number,project_id,neighborhood_tabulation_area,latitude_internal,council_district,bbl,low_income_units,project_completion_date
----,76128,,,48.0,,1.0,2024-11-21T00:00:00.000
57,61640,MN1102,40.807462,9.0,1017530027.0,3.0,
1263,61846,MN1101,40.787426,8.0,1016250072.0,,
1644&,76431,BK1702,40.63266,45.0,3075600067.0,,
----,76828,,,19.0,,1.0,
670,75729,BK0702,40.660793,39.0,3008850048.0,3.0,
119,75421,SI0107,40.639104,49.0,5012720011.0,,
----,75832,,,9.0,,1.0,2024-08-14T00:00:00.000
831,76283,BX0102,40.820485,17.0,2026470018.0,,2025-03-12T00:00:00.000
----,76076,,,51.0,,,2024-10-31T00:00:00.000
59,75421,SI0107,40.639104,49.0,5012720011.0,,
3484,75173,BX1202,40.877534,12.0,2047200001.0,5.0,
90-10,75988,QN1201,40.703389,27.0,4096790059.0,,
3467,75173,BX1202,40.877941,12.0,2047220012.0,30.0,
2423,75051,MN1002,40.81924,9.0,1020100064.0,2.0,2024-12-18T00:00:00.000
165,74487,MN0703,40.799858,7.0,1018430017.0,1.0,
----,76819,,,4.0,,1.0,2025-04-18T00:00:00.000
----,76518,,,14.0,,1.0,2025-02-21T00:00:00.000
33,76740,BK0902,40.6611,40.0,3050240074.0,,2025-02-18T00:00:00.000
21-07,77143,QN0103,40.772294,22.0,4008840057.0,,
3463,75173,BX1202,40.877198,12.0,2047130001.0,5.0,
419,77113,BX0101,40.807027,8.0,2022800071.0,,
----,76689,,,29.0,,1.0,2025-03-27T00:00:00.000
1139,73354,BX0401,40.830379,16.0,2024260021.0,20.0,
54,77151,BX0501,40.856956,14.0,2032070020.0,3.0,
----,76890,,,46.0,,1.0,2025-05-02T00:00:00.000
----,75975,,,14.0,,,2024-10-01T00:00:00.000
1410,76294,BX0303,40.830418,17.0,2029940105.0,,
262,76264,BK1601,40.674263,41.0,3014480039.0,,2025-02-12T00:00:00.000
1451,74483,BX0302,40.835965,16.0,2029270031.0,6.0,2024-06-28T00:00:00.000
125,74488,MN0703,40.79993,7.0,1018610021.0,1.0,
22-51,73920,QN1401,40.606439,31.0,4156610041.0,27.0,
3914,76285,BK1202,40.637719,39.0,3053460043.0,,
2423,76342,BX1104,40.862151,15.0,2044240048.0,,2025-05-23T00:00:00.000
----,76560,,,39.0,,1.0,2025-02-14T00:00:00.000
448,76384,BK0301,40.689032,36.0,3019500007.0,,
33,75421,SI0107,40.639104,49.0,5012720011.0,,
55,75421,SI0107,40.639104,49.0,5012720011.0,4.0,
231,75051,MN1002,40.815332,9.0,1019400019.0,1.0,2024-12-18T00:00:00.000
5605,75555,BK0702,40.645239,38.0,3008370001.0,,
303,65412,BK0502,40.66774,42.0,3037670005.0,2.0,
134,76388,BK0204,40.693814,35.0,3018880100.0,,
3444,75173,BX1202,40.877941,12.0,2047220012.0,8.0,
929,74487,MN0703,40.79998,7.0,1018600064.0,1.0,
----,77086,,,8.0,,,2025-06-25T00:00:00.000
2795,74098,BK0501,40.678286,37.0,3039330055.0,8.0,
50,74788,BK1601,40.677786,37.0,3015530018.0,,
770,73332,BK0505,,42.0,3042719001.0,2.0,
2525,76317,BX0701,40.865366,14.0,2032140051.0,,2025-02-05T00:00:00.000
----,76104,,,36.0,,,2024-11-08T00:00:00.000
806,76752,BX0303,40.832885,17.0,2029630018.0,,2025-06-09T00:00:00.000
123,74488,MN0703,40.799905,7.0,1018610121.0,1.0,
1805,71239,BX0501,40.851011,14.0,2028790123.0,4.0,
225,75051,MN1001,40.803322,9.0,1018310116.0,1.0,2024-12-18T00:00:00.000
3459,75173,BX1202,40.877198,12.0,2047130001.0,12.0,
----,76962,,,17.0,,,2025-05-23T00:00:00.000
120,76058,QN1401,40.594168,31.0,4156380001.0,300.0,2025-05-06T00:00:00.000
1550,77150,BX0904,40.839338,18.0,2039370022.0,8.0,
----,75847,,,25.0,,1.0,2024-08-22T00:00:00.000
3439,75173,BX1202,40.877198,12.0,2047130001.0,8.0,
300,68208,BK0102,40.714244,34.0,3023920030.0,,
----,77088,,,49.0,,1.0,2025-06-30T00:00:00.000
51,74974,MN0302,40.717885,2.0,1003330001.0,,
3480,75173,BX1202,40.877941,12.0,2047220012.0,10.0,
507,67035,MN1102,40.796317,8.0,1018150006.0,8.0,
794,71989,BK0401,40.700895,34.0,3031310019.0,,
2013,77170,MN1001,40.8061,9.0,1019050063.0,,
3436,75173,BX1202,40.877941,12.0,2047220012.0,7.0,
633$,76302,BX1203,40.892293,11.0,2048330041.0,,2025-04-17T00:00:00.000
----,75643,,,41.0,,2.0,
2775,76432,BX0801,40.870661,14.0,2032490030.0,,
----,76383,,,49.0,,1.0,2025-01-09T00:00:00.000
23,75421,SI0107,40.639104,49.0,5012720011.0,,
47,75421,SI0107,40.639104,49.0,5012720011.0,,
2246,75051,MN1002,40.813709,9.0,1019380030.0,1.0,2024-12-18T00:00:00.000
125,76058,QN1401,40.594168,31.0,4156380001.0,300.0,2025-05-06T00:00:00.000
1942-04-01T00:00:00.000,75053,QN0102,40.775171,22.0,4009080012.0,19.0,
3489,75173,BX1202,40.877198,12.0,2047130001.0,12.0,
25,76349,MN0101,40.702777,1.0,1000050010.0,4.0,
3474-,75173,BX1202,40.877534,12.0,2047200001.0,7.0,
1848,76277,BX0901,40.839384,18.0,2039220004.0,,2025-06-27T00:00:00.000
706,77077,BK1401,40.633854,45.0,3075590047.0,,
----,76088,,,27.0,,,
1196,77058,BK0301,40.683179,36.0,3019960034.0,,
1331,76231,BX0403,40.836583,16.0,2028160057.0,,
345 8,75173,BX1202,40.877198,12.0,2047130001.0,11.0,
31-61,76427,QN0102,40.767933,22.0,4005020005.0,,
1011,74737,BX0303,40.829273,17.0,2030060067.0,6.0,2024-09-19T00:00:00.000
----,76206,,,49.0,,1.0,2024-12-13T00:00:00.000
2127,76301,BX0501,40.856364,14.0,2032100303.0,,
----,76888,,,51.0,,1.0,2025-05-02T00:00:00.000
3454,75173,BX1202,40.877198,12.0,2047130001.0,9.0,
1845,76309,BK1602,40.670816,37.0,3037090135.0,,2024-12-19T00:00:00.000
527,69582,SI0202,,50.0,,,
3491,75173,BX1202,40.877534,12.0,2047200001.0,6.0,
879,75925,BK0504,,42.0,,127.0,
39-20,77133,QN1102,40.764933,19.0,4062420026.0,,
107,74117,QN1402,40.590717,31.0,4159260001.0,13.0,
115,75421,SI0107,40.639104,49.0,5012720011.0,,
----,76364,,,43.0,,,
1907,76307,BX0501,40.853157,14.0,2028680161.0,,2025-02-20T00:00:00.000
463,76434,MN0901,40.813159,7.0,1019660040.0,,2025-05-28T00:00:00.000
1806,72943,BX0502,40.846347,15.0,2028920008.0,,
----,76619,,,35.0,,1.0,2025-03-13T00:00:00.000
2224,76716,BK1103,40.596584,47.0,3064710008.0,,
----,76090,,,29.0,,1.0,2024-11-01T00:00:00.000
----,76074,,,36.0,,1.0,2024-10-31T00:00:00.000
130,76408,BX0402,40.840092,16.0,2025190017.0,,
1840,77075,BX0501,40.851015,14.0,2028690016.0,,
3442,75173,BX1202,40.877941,12.0,2047220012.0,10.0,
----,76621,,,18.0,,1.0,2025-03-14T00:00:00.000
73,68208,BK0102,40.709178,34.0,3021360032.0,,
83,75421,SI0107,40.639104,49.0,5012720011.0,,
131,76728,BK0202,40.697929,33.0,3001070048.0,,2025-03-12T00:00:00.000
3477,75173,BX1202,40.877198,12.0,2047130001.0,8.0,
1621,76404,BK1503,40.587151,48.0,3074620067.0,,2025-06-25T00:00:00.000
99,77048,BK1602,,41.0,,,
390,47863,BX0101,40.808931,8.0,2025730071.0,8.0,
480,74034,BX0602,40.845593,15.0,2029170017.0,6.0,
258,74485,MN1201,40.84739,10.0,1021530001.0,187.0,2024-11-27T00:00:00.000
306,65412,BK0502,40.669886,42.0,3037540031.0,8.0,
19,71989,BK0401,40.699294,34.0,3031340040.0,2.0,
106,71989,BK0401,40.699133,34.0,3031840015.0,1.0,
187,69582,SI0202,40.57503,50.0,5037340041.0,,
635,55080,BK0402,,37.0,,,
722,77153,BX0902,40.82015,18.0,2035970020.0,4.0,
3447,75173,BX1202,40.877198,12.0,2047130001.0,7.0,
75,74974,MN0302,40.717885,2.0,1003330001.0,,
3477,75173,BX1202,40.877679,12.0,2047210017.0,5.0,
1360,75173,BX1202,40.877198,12.0,2047130001.0,8.0,
3469,75173,BX1202,40.877679,12.0,2047210017.0,6.0,
35,75421,SI0107,40.639104,49.0,5012720011.0,4.0,
----*,76898,,,32.0,,1.0,2025-05-09T00:00:00.000
499,76412,BK0503,40.665147,42.0,3038060005.0,,
791,65412,BK1602,40.661286,41.0,3035830027.0,3.0,
969,74487,MN0703,40.801327,7.0,1018620064.0,1.0,
1546,76750,BK1702,40.635444,45.0,3050100062.0,,
86-50,75171,QN0905,40.69195,32.0,4088400144.0,17.0,
223,73533,MN1102,40.798313,8.0,1016670012.0,4.0,
185,73472,MN0302,40.721724,1.0,1004260035.0,7.0,
1760,75540,BX0502,40.847882,14.0,2028500003.0,18.0,
256,77028,BX0502,40.84781,15.0,2028020032.0,,
81,75421,SI0107,40.639104,49.0,5012720011.0,,
3482,75173,BX1202,40.877679,12.0,2047210017.0,10.0,
12 3,75421,SI0107,40.639104,49.0,5012720011.0,,
2187,76268,BX0502,40.855157,15.0,2031570054.0,,
430,77072,BX0102,40.821749,17.0,2023790019.0,,
69,75421,SI0107,40.639104,49.0,5012720011.0,,
----,76132,,,28.0,,1.0,2024-11-25T00:00:00.000
----,76648,,,28.0,,,
1129,73316,BX0401,40.83145,16.0,2024490023.0,3.0,2025-06-27T00:00:00.000
126,74257,BK0802,40.676521,36.0,3012100046.0,,
----,76884,,,37.0,,,
3475,75173,BX1202,40.876848,12.0,2047120001.0,10.0,
755,73332,BK0505,,42.0,3042719001.0,3.0,
533,77071,BX0101,40.812624,8.0,2025790028.0,,
1143,55080,BK0402,40.690585,37.0,3033890045.0,,
1008,71989,BK0401,40.698761,34.0,3032070016.0,3.0,
686,76436,BX0102,40.817878,17.0,2026240029.0,,
29-05A,77145,QN0105,40.754526,26.0,4003710038.0,,
132,74117,QN1402,40.590717,31.0,4159260001.0,10.0,
153,77134,BK1703,40.65851,41.0,3046050045.0,,
1571,77065,BX1002,40.84396,13.0,2054010012.0,5.0,
862,76274,BX0201,40.818313,17.0,2027620042.0,,
337,65302,QN1402,,31.0,,97.0,
140,68806,BK0201,40.700353,33.0,3002120001.0,1.0,
1544,76721,BK1702,40.635499,45.0,3050100061.0,,
1038,74482,BX0402,40.833238,16.0,2025040094.0,34.0,2024-06-28T00:00:00.000
----,75756,,,17.0,,1.0,2024-07-18T00:00:00.000
985,74394,BX0202,40.821214,17.0,2027140061.0,4.0,
23-10,76341,QN0201,40.750327,26.0,4004280019.0,,
479,68208,BK0302,40.691883,36.0,3016120064.0,,
84,71989,BK0401,40.697304,34.0,3032150022.0,2.0,
1581,74483,BX0302,40.838777,15.0,2029290031.0,11.0,2024-06-28T00:00:00.000
130,77034,BX0401,40.830806,16.0,2024710019.0,,
57,75421,SI0107,40.639104,49.0,5012720011.0,,
931,76242,BK1701,40.650592,40.0,3048870063.0,,2025-05-28T00:00:00.000
1323,76745,BX0403,40.835731,16.0,2027830067.0,,
----,76150,,,45.0,,,
1735,74483,BX0302,40.842573,15.0,2029300070.0,11.0,2024-06-28T00:00:00.000
1652,77107,BK1501,40.608942,48.0,3067760028.0,,
733,77070,BX0602,40.841671,15.0,2029480057.0,,
22-25,76321,QN1401,40.600844,31.0,4157620061.0,,
----,75550,,,42.0,,,
145,75525,MN0302,40.716231,1.0,1003410062.0,,
271,77060,BK1701,40.6434,40.0,3051720041.0,2.0,
----,75864,,,18.0,,,2025-06-20T00:00:00.000
647,75015,BK0501,40.676184,37.0,3039670038.0,,
----,76121,,,21.0,,1.0,2024-11-14T00:00:00.000
99,77047,BK1602,40.657818,41.0,3036120006.0,,
27-19,77185,QN0201,40.746454,26.0,4000817502.0,,2024-08-27T00:00:00.000
3438,75173,BX1202,40.876848,12.0,2047120001.0,6.0,
1857,71239,BX0502,40.848534,14.0,2028510029.0,8.0,
----,76173,,,31.0,,2.0,2025-02-14T00:00:00.000
3472,75173,BX1202,40.877534,12.0,2047200001.0,10.0,
1483,74257,BK0802,40.676526,36.0,3012100047.0,,
3103,73098,BX0102,40.821877,17.0,2023800051.0,2.0,
547,74483,BX0302,40.83602,16.0,2029270033.0,3.0,2024-06-28T00:00:00.000
2180,77030,BX0503,40.856151,14.0,2031810008.0,,
86,76387,BX0802,40.876598,10.0,1022150569.0,,
