propid,obj_gisobjid,end_time,ncpw,start_time,off_route,njtp
Q101,100000159.0,2023-04-14T14:00:00.000,0,2023-04-14T13:46:00.000,Yes,0
M211B,100003951.0,2023-04-19T10:11:00.000,0,2023-04-19T10:10:00.000,No,0
,,2023-04-15T12:00:00.000,2,2023-04-15T11:40:00.000,,0
,,2025-01-03T08:25:00.000,1,2025-01-03T08:00:00.000,,0
QZ408,100000982.0,2023-04-15T11:28:00.000,1,2023-04-15T11:09:00.000,No,0
,,2023-04-16T18:00:00.000,1,2023-04-16T17:30:00.000,,0
Q163-ZN06B,100000548.0,2023-04-11T11:55:00.000,1,2023-04-11T09:47:00.000,Yes,1
B291,100004065.0,2023-04-18T09:57:00.000,0,2023-04-18T09:02:00.000,No,2
Q047,100000318.0,2023-04-15T08:41:00.000,0,2023-04-15T08:22:00.000,No,2
,,2023-04-20T14:46:00.000,0,2023-04-20T14:31:00.000,,3
,,2023-04-21T12:00:00.000,4,2023-04-21T11:30:00.000,,0
M043-ZN02,100005441.0,2023-04-19T12:10:00.000,2,2023-04-19T11:35:00.000,No,1
X053,100004972.0,2023-04-22T15:20:00.000,0,2023-04-22T15:15:00.000,No,1
M018,100003739.0,2023-04-22T08:30:00.000,0,2023-04-22T08:25:00.000,No,2
Q164-ZN10A,100000569.0,2023-04-11T14:00:00.000,1,2023-04-11T12:45:00.000,Yes,1
B111A,100003913.0,2023-04-20T06:21:00.000,0,2023-04-20T06:15:00.000,No,0
XZ209,100007225.0,2023-04-16T09:25:00.000,1,2023-04-16T09:05:00.000,No,1
B225,100004719.0,2023-04-19T12:43:00.000,0,2023-04-19T12:24:00.000,No,0
B223C,100004318.0,2023-04-19T18:00:00.000,0,2023-04-19T07:00:00.000,No,1
M245,100004693.0,2023-04-20T08:22:00.000,0,2023-04-20T08:17:00.000,Yes,4
M056-02,100005722.0,2023-04-12T08:00:00.000,0,2023-04-12T07:15:00.000,No,1
Q015-10,100000684.0,2023-04-18T14:45:00.000,2,2023-04-18T14:10:00.000,Yes,0
M077-02,100005724.0,2023-04-12T13:30:00.000,0,2023-04-12T12:45:00.000,No,1
BZ489,100005830.0,2023-04-16T15:45:00.000,1,2023-04-16T14:45:00.000,No,0
M071-ZN08,100005465.0,2023-04-16T15:30:00.000,0,2023-04-16T07:00:00.000,No,2
B218,100004956.0,2023-04-17T16:30:00.000,1,2023-04-17T08:00:00.000,No,0
,,2023-04-17T10:32:00.000,1,2023-04-17T10:16:00.000,,1
,,2023-04-16T10:53:00.000,1,2023-04-16T10:17:00.000,,1
X292,100004216.0,2023-04-17T09:15:00.000,1,2023-04-17T08:45:00.000,No,1
XZ433,100006270.0,2023-04-21T11:50:00.000,1,2023-04-21T11:10:00.000,No,1
MZ71,100006759.0,2023-04-15T14:00:00.000,2,2023-04-15T13:30:00.000,No,2
X021,100005012.0,2023-04-20T10:35:00.000,1,2023-04-20T10:05:00.000,Yes,4
Q458-01,100008594.0,2023-04-19T15:30:00.000,0,2023-04-19T07:00:00.000,No,0
M204,100004364.0,2023-04-18T09:35:00.000,1,2023-04-18T09:21:00.000,No,4
MZ263,100007189.0,2023-04-20T14:30:00.000,0,2023-04-20T14:00:00.000,Yes,4
,,2023-04-18T07:30:00.000,1,2023-04-18T07:00:00.000,,1
X126-ZN02,100005538.0,2023-04-18T15:30:00.000,0,2023-04-18T07:00:00.000,No,2
X292,100004216.0,2023-04-17T09:15:00.000,1,2023-04-17T08:45:00.000,No,1
B002,100004500.0,2023-04-18T11:32:00.000,0,2023-04-18T10:41:00.000,No,2
B073-ZN05,100005377.0,2023-04-14T15:30:00.000,0,2023-04-14T07:00:00.000,No,3
BZ173,100006648.0,2023-04-20T11:57:00.000,0,2023-04-20T11:50:00.000,No,3
Q220F,100000077.0,2023-04-18T10:53:00.000,1,2023-04-18T10:29:00.000,No,2
B145,100004507.0,2023-04-16T12:06:00.000,0,2023-04-16T12:03:00.000,No,0
M042-ZN01,100005445.0,2023-04-18T09:30:00.000,1,2023-04-18T08:40:00.000,No,1
X038-02,100005822.0,2023-04-16T13:46:00.000,0,2023-04-16T13:35:00.000,No,1
X150J,100004910.0,2023-04-18T08:08:00.000,1,2023-04-18T07:38:00.000,No,2
M005-06,100008250.0,2023-04-20T19:00:00.000,0,2023-04-20T07:00:00.000,No,0
X092-ZN19,100005519.0,2023-04-17T15:00:00.000,3,2023-04-17T12:30:00.000,Yes,0
BZ96,100006081.0,2023-04-17T11:23:00.000,1,2023-04-17T11:20:00.000,Yes,4
M063,100005039.0,2023-04-20T11:05:00.000,0,2023-04-20T10:30:00.000,No,2
X272,100004097.0,2023-04-17T10:45:00.000,0,2023-04-17T09:30:00.000,No,1
X041,100004220.0,2023-04-16T09:22:00.000,0,2023-04-16T09:15:00.000,No,1
X092-ZN01,100005310.0,2023-04-22T18:00:00.000,2,2023-04-22T17:00:00.000,Yes,0
,,2023-04-19T07:42:00.000,0,2023-04-19T07:00:00.000,,5
X292,100004216.0,2023-04-15T10:30:00.000,1,2023-04-15T09:40:00.000,No,1
,,2023-04-20T07:45:00.000,0,2023-04-20T07:00:00.000,,2
Q062,100000468.0,2023-04-22T11:55:00.000,2,2023-04-22T10:39:00.000,No,0
QZ276,100000798.0,2023-04-17T15:15:00.000,0,2023-04-17T14:45:00.000,No,3
BZ341,100006224.0,2023-04-16T09:04:00.000,1,2023-04-16T08:41:00.000,No,0
Q300A-ZN02,100000533.0,2023-04-10T08:15:00.000,1,2023-04-10T07:40:00.000,No,0
XZ304,100007215.0,2023-04-20T09:15:00.000,0,2023-04-20T09:00:00.000,No,1
X124,100004402.0,2023-04-19T15:30:00.000,0,2023-04-19T07:00:00.000,No,1
X242,100004971.0,2023-04-16T14:00:00.000,0,2023-04-16T13:50:00.000,No,2
B282,100004738.0,2023-04-22T14:00:00.000,1,2023-04-22T13:40:00.000,No,1
X010-ZN05,100005281.0,2023-04-17T17:55:00.000,3,2023-04-17T16:40:00.000,Yes,0
,,2023-04-20T09:10:00.000,1,2023-04-20T09:05:00.000,,2
B065-ZN09,100005354.0,2023-04-18T10:25:00.000,0,2023-04-18T10:15:00.000,No,1
M108F,100004786.0,2023-04-20T14:15:00.000,0,2023-04-20T14:10:00.000,No,1
Q047,100000318.0,2023-04-17T08:40:00.000,1,2023-04-17T08:30:00.000,No,2
,,2023-04-21T18:00:00.000,2,2023-04-21T17:00:00.000,,0
X242,100004971.0,2023-04-16T14:00:00.000,0,2023-04-16T13:50:00.000,No,2
Q360F,100000342.0,2023-04-17T11:16:00.000,0,2023-04-17T10:55:00.000,No,0
B073-ZN07,100005395.0,2023-04-14T15:30:00.000,1,2023-04-14T07:00:00.000,No,0
X118-ZN01,100005295.0,2023-04-20T15:30:00.000,0,2023-04-20T07:00:00.000,No,3
X036,100004599.0,2023-04-16T13:20:00.000,1,2023-04-16T13:05:00.000,No,1
QZ445,100001080.0,2023-04-21T11:55:00.000,1,2023-04-21T11:45:00.000,No,1
,,2023-04-19T13:06:00.000,1,2023-04-19T13:04:00.000,,0
X201,100004694.0,2023-04-21T11:09:00.000,0,2023-04-21T10:08:00.000,Yes,3
,,2023-04-17T15:30:00.000,0,2023-04-17T15:00:00.000,,0
B117,100004915.0,2023-04-19T12:45:00.000,0,2023-04-19T12:35:00.000,No,0
B077,100004314.0,2023-04-20T13:30:00.000,0,2023-04-20T13:17:00.000,Yes,5
Q023-01,100000679.0,2023-04-17T15:30:00.000,1,2023-04-17T07:00:00.000,No,2
M212,100004584.0,2023-04-21T13:45:00.000,0,2023-04-21T13:39:00.000,Yes,0
M222,100004229.0,2023-04-16T15:26:00.000,1,2023-04-16T07:11:00.000,No,1
X008-03,100005802.0,2023-04-20T11:55:00.000,0,2023-04-20T06:30:00.000,No,1
M065,100005049.0,2023-04-20T10:00:00.000,1,2023-04-20T09:00:00.000,Yes,1
Q020-ZN03,100000581.0,2023-04-18T14:23:00.000,5,2023-04-18T13:56:00.000,No,8
XZ324,100007217.0,2023-04-18T11:00:00.000,0,2023-04-18T10:47:00.000,No,0
,,2023-04-16T15:25:00.000,0,2023-04-16T15:10:00.000,,3
X008-03,100005802.0,2023-04-20T11:55:00.000,0,2023-04-20T06:30:00.000,No,1
Q470,100000264.0,2023-04-20T10:46:00.000,0,2023-04-20T10:43:00.000,No,0
X008-01,100005800.0,2023-04-17T11:55:00.000,1,2023-04-17T07:30:00.000,No,2
Q494,100000090.0,2023-04-21T12:57:00.000,0,2023-04-21T12:46:00.000,No,5
X206,100005030.0,2023-04-20T08:50:00.000,1,2023-04-20T08:21:00.000,Yes,4
M353-02,100043775.0,2023-04-18T15:30:00.000,5,2023-04-18T07:00:00.000,No,0
,,2023-04-19T08:30:00.000,1,2023-04-19T08:00:00.000,,5
M011,100004817.0,2023-04-22T08:55:00.000,1,2023-04-22T07:30:00.000,No,2
X034-XZ442,100006713.0,2023-04-17T15:00:00.000,1,2023-04-17T13:05:00.000,No,1
Q104-01,100000668.0,2023-04-18T06:10:00.000,1,2023-04-18T06:01:00.000,No,0
Q005-ZN04,100000488.0,2023-04-18T15:30:00.000,0,2023-04-18T07:00:00.000,No,1
X010-06,100005793.0,2023-04-16T15:00:00.000,0,2023-04-16T07:30:00.000,No,2
QZ39,100001157.0,2023-04-20T11:01:00.000,0,2023-04-20T10:59:00.000,No,1
Q267,100000356.0,2023-04-16T13:13:00.000,1,2023-04-16T12:58:00.000,No,0
,,2023-04-20T07:30:00.000,1,2023-04-20T07:00:00.000,,2
BZ495,100007016.0,2023-04-09T15:30:00.000,0,2023-04-09T07:00:00.000,No,0
XZ21,100007199.0,2023-04-20T10:00:00.000,0,2023-04-20T09:31:00.000,No,1
,,2023-04-15T15:20:00.000,2,2023-04-15T15:05:00.000,,1
B210J,100004461.0,2023-04-18T08:50:00.000,1,2023-04-18T08:45:00.000,No,3
X348-01,100008272.0,2023-04-16T07:45:00.000,1,2023-04-16T07:15:00.000,No,1
X030-ZN03,100008261.0,2023-04-19T14:05:00.000,1,2023-04-19T12:53:00.000,No,2
XZ01,100006702.0,2023-04-11T11:20:00.000,0,2023-04-11T11:00:00.000,No,1
B168,100004087.0,2023-04-22T14:15:00.000,0,2023-04-22T14:05:00.000,Yes,1
B266,100005078.0,2023-04-17T10:43:00.000,1,2023-04-17T10:18:00.000,Yes,2
Q007,100000106.0,2023-04-12T15:30:00.000,1,2023-04-12T07:00:00.000,No,3
B126,100003858.0,2023-04-19T09:59:00.000,0,2023-04-19T09:58:00.000,No,0
BZ75,100007276.0,2023-04-17T11:16:00.000,0,2023-04-17T11:13:00.000,No,2
B073-ZN12,100005373.0,2023-04-18T09:45:00.000,0,2023-04-18T09:28:00.000,Yes,1
M099,100005104.0,2023-04-22T10:37:00.000,1,2023-04-22T09:44:00.000,No,2
QZ173,100000717.0,2023-04-19T07:08:00.000,1,2023-04-19T07:05:00.000,No,0
B157,100004154.0,2023-04-22T11:30:00.000,1,2023-04-22T11:04:00.000,No,2
Q095-BLG5613,100024571.0,2023-04-19T17:05:00.000,2,2023-04-19T17:00:00.000,No,0
XZ11,100005900.0,2023-04-18T11:50:00.000,2,2023-04-18T10:50:00.000,Yes,0
M254,100004494.0,2023-04-15T15:20:00.000,1,2023-04-15T15:10:00.000,No,2
,,2023-04-19T10:52:00.000,0,2023-04-19T09:51:00.000,,3
X290,100003955.0,2023-04-20T11:15:00.000,0,2023-04-20T10:15:00.000,No,1
RZ30,100005982.0,2023-04-16T14:46:00.000,1,2023-04-16T14:42:00.000,No,0
,,2023-04-18T13:00:00.000,0,2023-04-18T12:00:00.000,,1
