death_count,mn_hospitalized_count_7day_avg,si_death_count_7day_avg,qn_all_case_count_7day_avg,mn_case_count_7day_avg,si_case_count,case_count_7day_avg,death_count_7day_avg,qn_death_count,bk_probable_case_count_7day_avg,si_hospitalized_count_7day_avg,bx_death_count_7day_avg,si_death_count,si_probable_case_count,bk_hospitalized_count,bk_death_count_7day_avg,bk_case_count
6,9,1,527,251,180,1355,10,2,118,6,1,1,32,21,4,577
6,4,0,71,42,20,238,4,1,8,1,1,0,0,8,1,56
28,11,3,251,86,26,687,27,8,66,4,4,1,9,18,9,106
5,3,0,89,57,26,330,4,2,8,2,1,0,0,15,1,178
8,5,1,172,81,36,526,7,0,43,4,1,1,14,26,3,204
55,37,6,1134,441,364,3070,41,14,239,20,6,10,76,88,12,1252
65,41,4,1159,430,177,2900,67,18,291,14,14,5,52,66,21,627
3,2,0,54,26,24,156,5,0,12,3,1,0,3,7,2,37
33,14,5,319,284,59,1164,46,11,38,7,8,5,5,23,16,213
10,14,1,422,231,80,1268,13,2,130,6,2,0,30,35,5,452
0,3,0,3,5,3,15,0,0,0,1,0,0,0,11,0,16
15,11,1,644,312,214,1689,11,3,140,6,2,1,49,33,4,628
8,5,0,130,67,41,490,5,0,27,2,1,1,3,33,2,284
6,16,1,489,291,143,1557,8,0,110,11,1,2,49,44,3,627
13,12,1,680,330,200,1792,12,2,145,6,2,2,35,24,5,579
7,4,1,147,261,28,702,9,1,31,3,2,1,14,8,2,238
816,226,28,1687,568,730,5189,668,267,57,72,141,32,8,471,211,1461
12,14,2,615,314,295,1833,12,1,138,20,2,4,63,42,4,632
110,25,9,369,145,32,1174,169,33,9,12,32,3,0,38,51,119
6,9,1,415,638,65,1742,4,1,72,2,1,1,12,13,1,371
13,10,1,323,158,89,927,11,4,92,5,2,1,54,12,6,224
9,8,1,244,120,138,736,9,1,64,5,1,1,45,28,6,312
26,16,2,498,152,69,1310,37,10,135,11,5,2,16,35,13,270
114,56,6,1547,979,250,4978,111,35,151,19,20,5,21,84,38,1452
489,129,28,1128,358,279,3581,648,151,54,43,141,19,4,231,204,962
26,9,1,115,53,16,348,34,8,4,2,9,1,0,14,10,113
75,42,3,1039,426,172,2781,76,16,265,12,16,7,41,88,25,681
9,15,1,941,618,175,2756,11,2,154,9,2,2,30,27,3,900
4,7,1,400,240,91,1147,8,2,97,4,1,0,18,14,2,294
3,19,0,1158,755,273,3229,6,1,176,9,1,0,51,23,2,1333
9,10,1,289,165,67,963,12,6,102,5,2,1,17,16,4,363
54,15,4,234,124,15,857,66,15,4,5,14,5,0,22,20,161
5,11,0,454,703,121,1909,4,0,82,2,1,0,21,12,1,712
8,5,0,78,54,19,282,8,2,5,3,2,0,0,6,2,40
5,4,0,138,97,61,443,4,2,51,1,1,1,7,17,1,183
253,51,13,663,254,130,2073,303,75,17,18,62,12,1,74,90,600
14,11,1,454,273,125,1406,8,3,124,8,1,2,27,27,3,372
47,16,2,542,166,134,1412,39,16,148,13,5,2,31,51,15,438
3,10,0,365,574,87,1551,4,1,68,3,1,0,13,16,1,646
5,4,0,66,39,9,247,4,0,10,2,1,0,3,7,1,33
6,4,0,63,42,15,242,5,3,5,2,1,0,0,14,2,90
1,10,0,574,612,125,1901,4,1,103,3,0,0,32,20,2,581
9,6,1,128,190,23,541,14,2,19,4,2,1,5,10,4,159
56,45,6,1755,635,452,4701,58,13,308,26,11,7,90,110,20,1642
16,5,1,98,55,28,314,18,5,6,2,4,1,1,10,4,81
13,20,1,1233,774,214,3489,8,5,182,7,1,1,46,36,3,733
108,19,6,314,130,53,1049,135,23,8,9,27,6,0,38,43,400
11,13,1,697,334,169,1842,12,3,147,6,2,0,27,30,5,382
7,26,1,1251,737,187,3484,9,1,203,15,2,0,55,43,3,725
6,3,0,51,29,12,180,7,3,11,2,1,0,4,8,2,46
23,76,1,6136,5328,1952,22240,21,7,912,22,3,4,218,212,9,9610
12,16,1,526,289,76,1411,12,2,94,4,2,2,28,30,5,461
39,19,5,460,368,111,1646,63,8,50,9,11,4,16,32,20,529
16,10,1,461,233,165,1265,10,2,117,8,2,2,60,21,3,383
4,6,1,227,410,55,1066,5,0,50,2,1,0,13,4,1,229
19,26,2,754,388,108,2027,17,6,153,8,1,1,29,44,5,727
46,30,3,1219,437,247,3052,56,18,291,21,11,2,44,84,18,938
11,18,0,1175,754,294,3281,7,4,180,9,1,1,53,35,3,1256
9,6,1,221,106,93,665,8,1,60,5,1,0,44,22,4,337
7,19,1,835,529,117,2437,8,0,144,7,1,0,26,28,3,527
6,15,1,492,270,152,1499,9,0,129,7,1,1,22,33,4,537
16,7,1,84,68,25,322,11,4,6,1,3,2,0,12,3,121
12,14,1,427,283,135,1453,12,4,134,8,2,1,36,20,5,451
76,29,7,723,555,148,2549,91,27,74,17,17,2,24,60,30,758
61,43,4,1100,420,147,2857,61,17,275,15,11,3,45,70,17,595
16,18,1,572,337,164,1635,9,7,108,11,1,1,27,33,3,441
15,28,1,1090,573,212,2994,15,6,170,13,2,0,57,51,4,1037
98,164,4,11584,6130,2093,36404,79,25,1075,47,13,4,195,268,27,10469
15,25,1,1227,732,184,3449,10,7,202,13,1,2,44,49,4,758
61,133,2,11813,5912,1710,37021,42,15,1173,40,8,2,173,291,15,8759
126,132,5,7137,3640,1119,21750,119,27,715,45,20,4,110,232,42,5678
29,28,4,1024,382,318,2696,24,8,215,27,3,4,73,76,7,913
7,20,2,594,333,62,1586,12,2,102,9,3,2,38,30,2,277
5,3,0,97,70,37,405,4,0,20,1,1,1,1,24,2,271
6,5,0,147,77,17,537,6,2,30,2,1,1,9,12,2,93
6,10,1,380,185,202,1053,11,4,105,6,2,0,66,28,4,418
43,26,2,818,278,179,2094,46,11,211,14,7,5,51,65,17,640
13,16,1,529,281,61,1406,12,4,95,5,2,1,30,34,4,508
4,11,0,541,711,87,2048,5,2,100,4,1,1,15,12,2,350
17,10,1,384,221,110,1180,14,5,124,5,3,0,17,29,4,517
5,22,0,1234,762,279,3554,8,1,203,10,1,0,52,20,3,1143
14,15,1,610,353,135,1745,13,5,110,8,3,2,43,33,3,594
14,17,1,494,291,163,1576,10,6,118,11,2,3,32,32,3,555
21,23,5,1004,398,370,2735,24,7,215,26,3,2,84,57,6,965
98,19,6,278,138,33,992,104,28,5,8,20,6,0,43,32,259
24,11,3,262,87,38,719,27,5,68,6,4,2,18,25,10,121
4,5,1,106,39,10,296,11,1,27,3,1,1,6,12,4,81
10,6,1,174,113,39,639,9,4,62,3,1,0,9,12,3,158
81,50,7,1394,886,259,4491,105,23,141,20,19,8,10,93,37,1189
9,10,1,338,215,123,1060,5,2,110,6,1,0,34,19,1,427
4,3,0,117,69,28,476,4,0,27,2,1,0,1,19,1,181
17,16,1,760,399,268,2090,14,3,155,7,2,3,38,39,6,896
9,6,0,93,71,13,349,9,4,5,1,3,0,1,14,3,73
4,3,0,51,29,15,172,7,0,10,2,1,0,5,4,2,28
33,16,1,405,126,90,1094,33,13,110,9,6,2,23,42,11,391
97,56,5,1181,483,285,3293,82,28,244,16,15,3,69,142,26,1372
6,4,0,61,38,25,191,5,2,16,3,0,0,3,5,1,41
18,5,1,104,56,14,325,18,7,6,2,3,1,0,19,5,101
13,24,1,820,410,166,2127,14,4,164,9,3,1,42,46,3,865
