neighborhood_tabulation_area,number_of_public_computer,residential_broadband_choice,residential_broadband_choice_1,total_number_of_households,street_furniture_bike_shelters,percentage_of_blocks_with,number_of_nyc_h_h_buildings,estimated_underground_utility,indoor_cabling_for_multiple,poles_reserved_by_mobile,commercial_fiber_max_isp_1,borough_name,linknyc_kiosks,fiber_drops_estimated_relative,utility_pole_make_ready_1,population_density_per_sq,number_of_households,total_accounts,percentage_of_blocks_without_1,estimated_underground_plant,mobile_dependent_households,presence_of_ibzs
SI05,3,1.73,Low,13749,0,1,0,Low,High,0.0,High,Staten Island,0,Low,Low,3585.03,13749,15648.0,High,0.0,0.05,True
QN62,1,1.92,Medium Low,5861,0,1,0,Low,High,5.0,Medium High,Queens,0,Low,Low,21227.37,5861,7625.0,Medium Low,0.73,0.15,False
BX17,4,1.86,Medium Low,15502,0,1,0,Average,Average,11.0,Medium High,Bronx,3,Average,High,64008.7,15502,15867.0,Medium High,0.97,0.1,False
BK21,5,1.83,Medium Low,11553,0,1,0,Average,Average,16.0,Medium High,Brooklyn,0,Average,High,22388.49,11553,12007.0,High,0.42,0.1,False
QN27,3,1.91,Medium Low,5221,0,1,0,Low,High,8.0,Medium High,Queens,1,Low,Low,26411.27,5221,6203.0,Medium High,1.0,0.06,False
MN21,2,2.43,High,13795,0,1,0,High,Low,5.0,High,Manhattan,49,High,High,98137.04,13795,18118.0,Low,1.0,0.07,False
MN11,2,1.87,Medium Low,20143,0,1,2,High,Low,8.0,High,Manhattan,28,High,High,96048.08,20143,20731.0,Low,1.0,0.08,False
BX98,0,0.06,Low,0,0,1,0,,,,Low,Bronx,0,,,10560.0,0,,High,,0.0,
BX52,4,1.81,Medium Low,16692,0,1,0,Low,High,21.0,High,Bronx,0,Low,Low,14395.58,16692,17079.0,Medium High,0.0,0.12,False
SI07,1,1.97,Medium High,8797,0,1,0,Low,High,1.0,Medium High,Staten Island,0,Low,Low,10800.0,8797,10376.0,Low,0.0,0.04,False
BX09,5,1.8,Low,19516,0,1,0,Average,Average,15.0,High,Bronx,0,Average,Average,29569.89,19516,19606.0,High,0.27,0.08,True
BX44,3,1.97,Medium High,22792,0,1,0,Average,Average,24.0,Medium High,Bronx,0,Average,Average,52095.38,22792,22627.0,Low,0.18,0.12,False
BK26,2,1.92,Medium Low,11421,0,1,0,Average,Average,4.0,Medium High,Brooklyn,0,Average,Average,27048.21,11421,13506.0,Medium High,0.44,0.09,False
QN06,1,1.91,Medium Low,9424,0,1,0,Low,High,3.0,Medium High,Queens,0,Low,Low,17840.52,9424,10172.0,Medium High,0.67,0.16,False
BK23,0,1.56,Low,8547,1,1,0,High,Low,2.0,High,Brooklyn,0,High,High,55651.61,8547,9120.0,High,0.94,0.09,False
BK72,2,1.93,Medium High,8144,0,1,0,Average,Average,4.0,Low,Brooklyn,0,Average,High,80542.86,8144,10179.0,High,1.0,0.07,False
BK31,5,1.97,Medium High,33164,0,1,0,Average,Average,4.0,Medium High,Brooklyn,0,Average,Average,32735.27,33164,35400.0,High,0.93,0.11,False
MN14,6,2.47,High,34793,0,1,0,High,Low,10.0,High,Manhattan,38,High,High,112140.35,34793,35043.0,Low,0.93,0.05,False
MN40,1,2.48,High,27065,0,1,0,High,Low,10.0,High,Manhattan,46,High,High,75573.61,27065,30788.0,Low,1.0,0.06,False
BX55,0,1.85,Medium Low,11763,0,1,0,Average,Average,5.0,Medium High,Bronx,0,Average,High,62851.72,11763,12330.0,Medium Low,0.96,0.11,False
BK63,0,1.63,Low,13171,0,1,0,High,Low,9.0,Medium High,Brooklyn,8,High,High,69463.16,13171,15890.0,Medium High,1.0,0.08,False
BK41,1,1.58,Low,12079,0,1,0,Average,Average,0.0,Medium High,Brooklyn,0,Average,High,61224.56,12079,14029.0,High,1.0,0.06,False
SI99,0,0.73,Low,0,0,1,0,,,0.0,Low,Staten Island,0,,,0.0,0,,High,,0.0,
QN66,1,1.99,Medium High,8141,0,1,0,Low,High,7.0,Low,Queens,0,Low,Low,18140.56,8141,8567.0,Low,0.0,0.28,False
BX63,1,1.53,Low,13427,0,1,1,Average,Average,12.0,High,Bronx,20,Average,Average,54731.43,13427,14001.0,Medium Low,0.91,0.13,False
MN06,1,1.45,Low,10213,0,1,0,Average,Average,3.0,High,Manhattan,15,Average,High,62550.0,10213,9359.0,Low,0.92,0.09,False
BX05,3,1.82,Medium Low,19667,1,1,0,High,Low,16.0,Medium High,Bronx,12,High,High,108062.96,19667,20385.0,Medium Low,1.0,0.19,False
QN56,1,1.94,Medium High,6955,0,1,0,Low,High,8.0,Low,Queens,0,Low,Low,26628.89,6955,7338.0,Medium Low,0.21,0.09,False
QN44,1,2.2,High,9184,0,1,0,Low,High,12.0,Low,Queens,0,Low,Low,15018.9,9184,9095.0,Medium High,0.0,0.07,False
BX30,0,1.77,Low,11139,0,1,0,Average,Average,9.0,Medium High,Bronx,10,Average,High,71791.49,11139,11886.0,Medium High,0.89,0.17,False
BX10,2,1.86,Medium Low,11283,0,1,0,Average,Average,18.0,High,Bronx,0,Average,Average,18931.94,11283,12011.0,Medium High,0.29,0.1,False
BX28,3,1.8,Low,18219,0,1,0,Average,Average,19.0,Medium High,Bronx,1,Average,High,55063.04,18219,18856.0,Medium Low,0.87,0.13,False
BX22,3,1.83,Medium Low,11121,0,1,0,Average,Average,2.0,Medium High,Bronx,0,Average,Average,15998.3,11121,11401.0,Medium Low,0.27,0.07,False
QN20,2,2.17,High,24554,0,1,0,Average,Average,13.0,High,Queens,0,Average,High,42045.86,24554,25973.0,Low,0.94,0.07,True
QN21,2,2.59,High,14792,0,1,0,Average,Average,16.0,Medium High,Queens,0,Average,Average,20020.29,14792,15531.0,Medium High,0.56,0.07,False
BK40,1,2.11,High,9259,0,1,0,Average,Average,3.0,Medium High,Brooklyn,0,Average,Average,45518.0,9259,11204.0,High,1.0,0.04,False
MN22,3,1.96,Medium High,21974,0,1,0,High,Low,1.0,High,Manhattan,53,High,High,110128.21,21974,24914.0,Low,1.0,0.07,False
BX31,2,1.94,Medium High,9558,0,1,0,Average,Average,14.0,Medium High,Bronx,0,Average,Average,27278.07,9558,10127.0,Low,0.0,0.13,False
BX03,2,1.95,Medium High,12133,0,1,0,Average,Average,12.0,Medium High,Bronx,0,Average,Average,26643.75,12133,12302.0,Medium Low,0.02,0.1,True
QN55,2,1.93,Medium High,21409,1,1,0,Low,High,21.0,Low,Queens,0,Low,Low,27251.35,21409,22461.0,Medium Low,0.01,0.09,False
BX41,2,1.68,Low,17861,1,1,0,Average,Average,19.0,Medium High,Bronx,18,Average,High,102030.19,17861,18005.0,Medium High,1.0,0.15,True
QN60,0,1.82,Medium Low,9930,0,1,0,Average,Average,4.0,Medium High,Queens,5,Average,Average,30237.84,9930,10710.0,High,1.0,0.11,False
BX39,7,1.68,Low,19355,0,1,2,Average,Average,26.0,High,Bronx,26,Average,Average,35223.33,19355,19401.0,Medium High,0.92,0.12,True
BK42,6,1.57,Low,38759,0,1,0,High,Low,19.0,High,Brooklyn,6,High,High,64261.11,38759,40049.0,High,1.0,0.09,False
BK32,2,2.17,High,16357,1,1,0,Average,Average,6.0,High,Brooklyn,13,Average,Average,29757.54,16357,18548.0,High,0.85,0.07,True
BK09,2,2.41,High,11150,0,1,0,High,Low,8.0,High,Brooklyn,5,High,High,65994.44,11150,14212.0,Medium High,0.88,0.05,False
BK28,1,1.83,Medium Low,29960,0,1,0,Average,Average,13.0,Medium High,Brooklyn,0,Average,High,53825.75,29960,32069.0,High,0.97,0.1,False
MN13,5,2.22,High,44426,3,1,0,High,Low,32.0,High,Manhattan,98,High,High,58263.16,44426,48127.0,Low,0.92,0.06,False
MN20,2,2.49,High,26537,0,1,1,High,Low,11.0,High,Manhattan,79,High,High,95871.15,26537,31779.0,Low,0.96,0.07,False
BK19,3,1.86,Medium Low,14441,0,1,1,High,Low,7.0,Medium High,Brooklyn,0,High,High,56151.61,14441,17208.0,Medium High,0.83,0.08,False
SI32,1,1.93,Medium High,7729,0,1,0,Low,High,0.0,Medium High,Staten Island,0,Low,Low,9386.27,7729,8400.0,Medium Low,0.0,0.05,False
MN24,3,1.81,Medium Low,19962,0,1,2,High,Low,21.0,High,Manhattan,35,High,High,48705.56,19962,23956.0,Low,0.95,0.06,False
MN12,5,2.49,High,63305,0,1,0,High,Low,7.0,High,Manhattan,136,High,High,105872.36,63305,67047.0,Low,0.92,0.06,False
SI35,1,1.99,Medium High,6157,0,1,0,Average,Average,0.0,High,Staten Island,0,Average,Average,10265.68,6157,6669.0,Low,0.0,0.07,False
BK45,1,1.96,Medium High,16052,0,1,0,Low,High,5.0,Medium High,Brooklyn,0,Low,Low,18545.78,16052,18414.0,Medium Low,0.01,0.07,False
