location_name,_05_expulsions,_02_removals,_10_expulsions,_01_superintendent,_11_superintendent,_0k_expulsions,_07_removals,_10_removals,_0k_removals,_0k_principal,_03_principal,_08_superintendent,_07_principal,_01_principal,_03_removals,_01_expulsions,_02_principal,_06_superintendent,_08_removals,_11_expulsions
Thurgood Marshall Academy for Learning and Social,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 016 Wakefield,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 345 Patrolman Robert Bolden,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 104 Simon Baruch,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,R,R
Bronx Aerospace High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 214,R,R,R,R,R,R,7,R,R,R,R,R,8,R,13,R,R,R,R,R
P.S. 307 Daniel Hale Williams,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Urban Academy Laboratory High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 009 Teunis G. Bergen,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn Preparatory High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 110 Theodore Schoenfeld,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 180 Dr. Daniel Hale Williams,R,R,R,R,R,R,38,R,R,R,R,R,R,R,R,R,R,R,R,R
West Bronx Academy for the Future,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
T. Roosevelt Evening Hs M/W,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Frederick Douglass Academy II Secondary School,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Washington Irving Yabc,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 033 Chelsea Prep,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. X303 Leadership & Community Service,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 254,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Yorkville Community School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R
Washington Irving Evng Hs T/R @NTHS,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 175 City Island,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
George Westinghouse Career and Technical Education,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 061 Dr. Gladstone H. Atwell,R,R,R,R,R,R,R,R,R,R,R,8,9,R,R,R,R,R,R,R
P.S. 016 Leonard Dunkly,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 346 Abe Stark,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
THE JUDITH S. KAYE HIGH SCHOOL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School of World Cultures,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Evander Childs Evening H.S.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
District 13 PRE-K Center,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 007 Abraham Lincoln,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R
P.S. 194 Countee Cullen,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 163 Bath Beach,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Clara Barton High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
New Heights Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Academy for Young Writers,R,R,R,R,R,R,R,R,R,R,R,R,19,R,R,R,R,R,R,R
Bronx Career and College Preparatory High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 124 Silas B. Dutcher,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 040 George W. Carver,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 029 John M. Harrigan,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. K231,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bedford Park Elementary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Hostos-Lincoln Academy of Science,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 064 Robert Simon,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 072 Dr. William Dorney,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Chelsea Career and Technical Education High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Professor Juan Bosch Public School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Highbridge Green School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Hudson High School of Learning Technologies,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 028 Wright Brothers,R,12,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 003 Charrette School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 085 Great Expectations,R,11,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R
P.S. 007 Samuel Stern,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 092 Mary McLeod Bethune,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Validus Preparatory Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Isaac Newton Middle School for Math & Science,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R
P.S. 89,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Kennedy Yabc,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"East Side Elementary School, PS 267",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
New Millennium Business Academy Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 192 - The Magnet School for Math and Science,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R
New Voices School of Academic & Creative Arts,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Careers in Sports High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 083 Luis Munoz Rivera,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 304 Early Childhood School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. X101 Edward R. Byrne,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Harlem Renaissance High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 143 Eleanor Roosevelt,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R
Bronx Green Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Gramercy Arts High School,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R
Young Women's Leadership School of Brooklyn,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn Bridge Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 039 Henry Bristow,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
W. H. Maxwell Career and Technical Education High,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 315 Lab School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,8,R
Bronx Engineering and Technology Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
District 2 Pre-K Center,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 022 Jordan L. Mott,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,R,R,R
Cornerstone Academy for Social Action Middle Schoo,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School of Language and Innovation,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn School for Music & Theatre,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 131 Albert Einstein,R,R,R,R,R,R,12,R,R,R,R,12,R,R,R,R,R,R,R,R
P.S. 208 Elsa Ebeling,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 178 - Dr. Selman Waksman,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Urban Assembly Maker Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx High School for the Visual Arts,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 049 Willis Avenue,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 059 William Floyd,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Emma Lazarus High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Vista Academy,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R
P.S. 092 Bronx,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Dos Puentes Elementary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
East Side Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 091 Bronx,R,14,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R
Jacqueline Kennedy Onassis High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Urban Assembly Academy for Future Leaders,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 112 Bronxwood,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 004 Duke Ellington,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Ampark Neighborhood,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The High School For Language And Diplomacy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 021 Philip H. Sheridan,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Riverdale / Kingsbridge Academy (Middle School / H,R,R,R,R,R,R,R,R,R,R,R,R,22,R,R,R,R,R,R,R
P.S. 182,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 255 Salk School of Science,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
El Puente Academy for Peace and Justice,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Morris Academy for Collaborative Studies,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 150,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Technology, Arts, and Sciences Studio",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Facing History School, The",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S./M.S. 029 Melrose School,R,12,R,R,R,R,6,R,R,R,R,R,8,R,R,R,R,R,15,R
Fannie Lou Hamer Freedom High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 306,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 170,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Urban Scholars Community School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 108 Sal Abbracciamento,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Community Health Academy of the Heights,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,R,R
P.S. 316 Elijah Stroud,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 206 Ann Mersereau,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,6,R,R
Fordham Leadership Academy,R,R,R,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,R
Fort Greene Preparatory Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Transit Tech Career and Technical Education High S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 025 Bilingual School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 068 Isaac Bildersee,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bedford Academy High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 044 Marcus Garvey,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Knowledge and Power Preparatory Academy Internatio,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Urban Assembly New York Harbor School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 132 The Conselyea School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
New York City Lab Middle School for Collaborative,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,13,R
Frederick Douglass Academy V. Middle School,R,R,R,R,R,R,R,R,R,R,R,R,20,R,R,R,R,R,R,R
Brooklyn Science and Engineering Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Urban Assembly School of Design and Construction,",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 061 Francisco Oller,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 042 Claremont,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Special Music School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 128 Audubon,R,29,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R
High School for Medical Professions,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Cultural Academy for the Arts and Sciences,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 036 Unionport,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"City Polytechnic High School of Engineering, Archi",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Marble Hill High School for International Studies,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 158 Bayard Taylor,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 209,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
International High School at Union Square,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Millennium Brooklyn HS,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Pelham Preparatory Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 035 Franz Siegel,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 006 Lillie D. Blake,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 019 Judith K. Weiss,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 277,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Urban Assembly School for Applied Math and Science,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R
Sheridan Academy for Young Leaders,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 77 Lower Lab School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Walton Yabc,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
A. Philip Randolph Campus High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Professional Performing Arts High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School for Health Careers and Sciences,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Dewitt Clinton Campus YABC,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Lucero Elementary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Sunset Park Prep,R,R,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,R,R
The Bronx Mathematics Preparatory School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx River High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Jonas Bronck Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
East Bronx Academy for the Future,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,R,R
P.S. 015 Patrick F. Daly,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 055 Benjamin Franklin,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 126 Dr Marjorie H Dunbar,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 107 John W. Kimball,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 083 Donald Hertz,R,R,R,R,R,R,15,R,R,R,R,R,6,R,R,R,R,R,R,R
P.S. 120 Carlos Tapia,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 125 Henry Hudson,R,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,R,R,R
P.S. 290 Juan Morel Campos,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School for Dual Language and Asian Studies,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 181 Brooklyn,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
KAPPA IV,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R
P.S. 189 The Bilingual Center,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 011 Purvis J. Behan,R,9,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 144 Michelangelo,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 219 New Venture School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R
