source_relation,date_day,keyword_id,impressions,spend,currency,conversions,tap_installs,new_downloads,tap_new_downloads,redownloads,tap_redownloads,taps
"",2021-12-19,976093308,25,0,USD,0,0,0,0,0,0,0
"",2021-12-16,976093308,18,0,USD,0,0,0,0,0,0,0
"",2021-12-13,976093308,49,0,USD,0,0,0,0,0,0,0
"",2021-12-18,976093308,29,0,USD,0,0,0,0,0,0,0
"",2021-12-09,976093308,119,2.47,USD,0,0,0,0,0,0,4
"",2021-12-15,976093308,56,0.82,USD,0,0,0,0,0,0,1
"",2021-12-17,976093308,7,1.49,USD,0,0,0,0,0,0,1
"",2021-12-13,976093309,35,0,USD,0,0,0,0,0,0,0
"",2021-12-14,976093309,1,0,USD,0,0,0,0,0,0,0
"",2021-12-15,976093309,34,0,USD,0,0,0,0,0,0,0
"",2021-12-16,976093309,49,0,USD,0,0,0,0,0,0,0
"",2021-12-09,976093309,10,0,USD,0,0,0,0,0,0,0
"",2021-12-11,976093309,15,0,USD,0,0,0,0,0,0,0
"",2021-12-19,976093309,11,0,USD,0,0,0,0,0,0,0
"",2021-12-12,976093309,25,0,USD,0,0,0,0,0,0,0
"",2021-12-17,976093309,7,0,USD,0,0,0,0,0,0,0
"",2021-12-18,976093309,28,0.13,USD,0,0,0,0,0,0,1
"",2021-12-10,976093309,23,0.77,USD,0,0,0,0,0,0,1
"",2021-12-15,976093310,45,0,USD,0,0,0,0,0,0,0
"",2021-12-18,976093310,38,0,USD,0,0,0,0,0,0,0
"",2021-12-12,976093310,30,0,USD,0,0,0,0,0,0,0
"",2021-12-17,976093310,5,0,USD,0,0,0,0,0,0,0
"",2021-12-13,976093310,74,0,USD,0,0,0,0,0,0,0
"",2021-12-20,976093310,9,0,USD,0,0,0,0,0,0,0
"",2021-12-19,976093310,57,0,USD,0,0,0,0,0,0,0
"",2021-12-16,976093310,49,0.97,USD,0,0,0,0,0,0,1
"",2021-12-11,976093310,28,1.14,USD,0,0,0,0,0,0,1
"",2021-12-09,976093310,134,0.78,USD,0,0,0,0,0,0,2
"",2021-12-11,976093311,1,0,USD,0,0,0,0,0,0,0
"",2021-12-19,976093311,2,0,USD,0,0,0,0,0,0,0
"",2021-12-16,976093311,4,0,USD,0,0,0,0,0,0,0
"",2021-12-15,976093311,1,0,USD,0,0,0,0,0,0,0
"",2021-12-10,976093311,7,0,USD,0,0,0,0,0,0,0
"",2021-12-09,976093311,14,0,USD,0,0,0,0,0,0,0
"",2021-12-18,976093311,1,0,USD,0,0,0,0,0,0,0
"",2021-12-13,976093311,11,1,USD,0,0,0,0,0,0,1
"",2021-12-12,976093311,5,1.39,USD,0,0,0,0,0,0,1
"",2021-12-12,976093312,6,0,USD,0,0,0,0,0,0,0
"",2021-12-13,976093312,38,0,USD,0,0,0,0,0,0,0
"",2021-12-15,976093312,57,0.66,USD,0,0,0,0,0,0,2
"",2021-12-14,976093312,29,0.05,USD,0,0,0,0,0,0,1
"",2021-12-11,976093312,13,0.56,USD,0,0,0,0,0,0,1
"",2021-12-09,976093312,199,4.24,USD,0,0,0,0,0,0,4
"",2021-12-20,976093312,10,0.13,USD,0,0,0,0,0,0,1
"",2021-12-17,976093312,8,0.13,USD,0,0,0,0,0,0,1
"",2021-12-16,976093312,31,1.43,USD,0,0,0,0,0,0,1
"",2021-12-15,976093314,1,0,USD,0,0,0,0,0,0,0
"",2021-12-19,983951492,1,0,USD,0,0,0,0,0,0,0
