objectid,ueid,currentuse2,nativestatus1,nativestatus3,latinname3,specieschange,height5,recordedname6,recordedname5,managementconcern
235,Q001_1987_225,,Exotic,Exotic,Celastrus orbiculatus,,All,,Wisteria,True
364,Q001_1987_364,Culvert,Exotic,,Iva frutescens,,,,,False
56,Q001_1987_76,,,,,,,,,True
1806,B384_1988_10,Vehicle,Exotic,,,,,,,False
505,X268_2007_37,,Native,Exotic,Lonicera maackii,,,,,True
651,Q021_1988_17a,Foot traffic,,,Prunus serotina,,,,,False
1869,Q024_1986_101,Horses,Exotic,,,,,,,False
2023,Q392_1994_3,,Native,Exotic,Morus alba,,,,,False
284,Q001_1987_285,,Exotic,,Betula populifolia,,,,,True
680,Q021_1988_23,,,Exotic,Celastrus orbiculatus,,5'-30',Flowering dogwood,Catbrier,False
31,Q001_1987_89,,,,Acer rubrum var. rubrum,,<5',,Jewelweed,False
635,Q021_1988_51c,Foot traffic,,,,,,,,False
356,Q001_1987_354,,,,Distichlis spicata,,,,,True
369,X268_2007_5,,Exotic,Exotic,Artemisia vulgaris,,,,,False
345,Q001_1987_348,,,,,,,,,True
1995,Q020_2005_22b,,,,Acer rubrum var. rubrum,,<5' & 5-30',Willow herb,Buckthorn,True
179,Q001_1987_172,,,,,,,,,False
319,Q001_1987_315,,,,Rhus glabra,,,,,False
157,Q001_1987_151,,,Exotic,Lonicera japonica,,,,,True
409,X308_2005_2a,,Exotic,,Solidago sp.,,<5',"Ivy, poison","Snakeroot, white",False
529,X268_2007_53,,Exotic,Exotic,Artemisia vulgaris,,,,,True
353,Q001_1987_332,Vehicle,,,,,,,,False
166,Q001_1987_179,Vehicle,,,,,,,,False
697,Q021_1988_58,,,,Quercus velutina,,,,,False
44,Q001_1987_96,,,,Parthenocissus quinquefolia,,,,,False
1871,Q024_1986_102,Horses,,,Viburnum dentatum var. lucidum,,,,,True
211,Q001_1987_209,,Exotic,Exotic,,,,,,False
545,X005_2007_14,,Native,Exotic,Hedera helix,,,,,False
272,Q001_1987_287,,Exotic,,,,,,,False
484,X268_2007_2,,Exotic,,,,,,,True
538,X268_2007_55,,Native,Exotic,Artemisia vulgaris,,,,,False
207,Q001_1987_199,,,,Rubus sp.,,,,,True
199,Q001_1987_202,,,,,,,,,False
213,Q001_1987_216,,,,Betula lenta,,All,Black oak,Black cherry,True
1884,Q024_1986_52,,Exotic,,,,,,,True
531,X268_2007_51,,Native,Native,Rhus glabra,,,,,False
429,X039_1986_10,,,,Pinus strobus,,,,,False
1993,Q020_2005_18b,,,,Betula populifolia,,,,,False
201,Q001_1987_204,,Exotic,,,,,,,True
2,Q001_1987_9,Foot traffic,,,,,,,,False
583,X007_2006_16,,Exotic,,,,,,,True
218,Q001_1987_211,Vehicle,,,Acer rubrum var. rubrum,,All,Poison ivy,White ash,True
527,X268_2007_62,,Native,Native,Sassafras albidum,,<5' & 5-30',"Ash, green","Cherry, black",False
570,R132_1989_7a,,,,,,,,,False
347,Q001_1987_180,,Exotic,,Vicia cracca,,,,,False
599,Q021_1988_163,,,,Quercus palustris,,<5' & 5-30',Sassafras,Hickory spp.,False
1897,Q024_1986_57,Vehicle access,Exotic,Exotic,Salix babylonica,,<5',,Cattails,True
657,Q021_1988_2e,,,,,,,,,False
783,Q021_1988_313,,,,Ligustrum sp.,,<5' & 5-30',,Fragrant sumac,True
665,Q021_1988_61,,,,Carya spp.,,5'-30',Red oak,Red maple,False
112,Q001_1987_45,Vehicle,,,,,,,,False
736,Q021_1988_11,,,,,,,,,False
626,Q021_1988_186,Foot traffic,Exotic,,,,,,,True
188,Q001_1987_191,,,Exotic,Salix babylonica,,<5' & 5-30',,Spicebush,True
371,Q021_1988_197,,Exotic,,Parthenocissus quinquefolia,,5'-30',,Black cherry,False
447,X039_1986_593,,,,Fraxinus pennsylvanica,,<5m & >5m,Rose,Poison ivy,False
64,Q001_1987_62,,,,Fagus grandifolia,,,,,True
631,Q021_1988_181,,,,,,,,,False
1985,Q020_2005_2c,,,Exotic,Paulownia tomentosa,,,,,True
2026,Q392_1994_12,,Exotic,,,,,,,False
411,X308_2005_5,,,Exotic,Morus alba,,<5',"Blackberry, evergreen","Dock, curly",True
401,X092_2010_707d,,,,,No,,,,False
152,Q001_1987_142,,,,,,,,,False
167,Q001_1987_176,,,,Liquidambar styraciflua,,All,Red maple,White ash,False
508,X268_2007_40,,Native,Native,Vitis sp.,,<5',,"Honeysuckle, Amur",False
252,Q001_1987_312,Foot traffic,,,,,,,,False
162,Q001_1987_169,,Exotic,Exotic,Artemisia vulgaris,,,,,True
498,X268_2007_26,,Exotic,Native,Echinocystis lobata,,,,,True
1858,Q024_1986_41,Vehicle access,Exotic,,Solidago sp.,,,,,True
318,Q001_1987_328,,,,,,,,,False
726,Q021_1988_49,,Exotic,,,,,,,False
72,Q001_1987_72,Foot traffic,Exotic,,Lindera benzoin,,<5',,Deadly nightshade,True
277,Q001_1987_276,Bike/ ATV,,,Rhus glabra,,5'-30'&>5',Silver hair,Alianthus,False
534,X268_2007_48,,Native,Exotic,Artemisia vulgaris,,,,,False
598,Q021_1988_164,,,Exotic,Acer platanoides,,,,,False
74,Q001_1987_74,,,Exotic,Artemisia vulgaris,,,,,False
328,Q001_1987_251,,Exotic,,,,,,,False
540,X268_2007_42,,Native,Exotic,Alliaria petiolata,,,,,False
200,Q001_1987_203,,Exotic,,Fraxinus americana,,<5',,Cool season grass,False
610,Q021_1988_169,,,Exotic,Ailanthus altissima,,,,,False
628,Q021_1988_184a,,,,Prunus serotina,,,,,True
117,Q001_1987_119,,,,,,,,,False
359,Q001_1987_357,Fishing,,,,,,,,True
634,Q021_1988_184b,,,,Prunus serotina,,,,,True
225,Q001_1987_234,,,,Acer pseudoplatanus,,5'-30',Bittersweet,Jewelweed,True
383,Q021_1988_196c,,,,,,,,,False
434,X039_1986_639,,,,Ulmus americana,,>5m,Paper mulberry,Horse chestnut,False
730,Q021_1988_51b,Foot traffic,,,,,,,,False
122,Q001_1987_109,Picnic,,,Viburnum spp.,,<5' & 5-30',Rubus,Bittersweet,True
690,Q021_1988_56,,,,Quercus alba,,5'-30',Rose,Arrowwood,True
481,X268_2007_15,,Native,Native,Rubus pensilvanicus,,,,,True
405,X308_2005_8,,Exotic,,Toxicodendron radicans ssp. radicans,,<5',,Chive,False
1947,Q024_1986_7,Campfire/ party,,Exotic,Picea abies,,,,,True
638,Q021_1988_96,,Exotic,,Rubus sp.,,,,,True
1866,Q024_1986_92,Horses,,,Quercus velutina,,<5' & 5-30',Arrowwood,Tar. Honeysuckle,True
25,Q001_1987_24,Vehicle,,,Cornus florida,,,,,False
1960,X080_2007_2f,,,,,,,,,False
233,Q001_1987_219,,,,Betula lenta,,<5' & 5-30',Poison ivy,Bittersweet,False
637,Q021_1988_2k,,,,,,,,,False
1948,X080_2007_4,,Exotic,Exotic,Centaurea nigra,,,,,False
664,Q021_1988_60,,,,,,,,,False
562,X005_2007_2b,Foot traffic,Exotic,,,,,,,True
106,Q001_1987_43,Vehicle,Exotic,Exotic,Acer platanoides,,All,Rose,Poison ivy,True
170,Q001_1987_164,Bicycles,,,Fagus grandifolia,,<5' & 5-30',Black cherry,Spicebush,True
350,Q001_1987_336,,Exotic,Exotic,Celastrus orbiculatus,,<5' & 5-30',,Rose,False
323,Q001_1987_317,,Exotic,,,,,,,False
119,Q001_1987_113,Vehicle,,,Quercus velutina,,<5' & 5-30',Rose,Catbrier,True
1986,Q020_2005_1,,Native,,Betula populifolia,,>30',Honeysuckle sp.,"Aspen, quaking",True
641,Q021_1988_99,,,,,,,,,False
47,Q001_1987_85,Foot traffic,,,,,,,,False
512,X268_2007_41,,Native,Native,Celtis occidentalis,,<5',"Mustard, garlic",Mugwort,True
782,Q021_1988_303,Vehicle access,,,,,,,,False
1974,Q020_2005_14,,,,Betula populifolia,,5'-30',,"Locust, black",True
283,Q001_1987_279,Bike/ ATV,,Exotic,Artemisia vulgaris,,<5',,Queen Anne's lace,True
564,R132_1989_1,,,,,,,,,False
158,Q001_1987_168,,,,,,,,,False
742,Q021_1988_8,Bike/ atv,,,,,,,,True
1922,Q024_1986_129,,,,Prunus serotina,,<5',Phragmites,Cool season grass,True
340,Q001_1987_329,,Exotic,,,,,,,False
1846,X080_2007_8,,Exotic,,,,,,,True
548,X005_2007_12,,Native,Native,Lindera benzoin,,<5',,"Ivy, poison",False
525,X268_2007_71,,Exotic,,,,,,,False
373,Q021_1988_202,,,,Acer rubrum var. rubrum,,<5',Ailanthus,Rubus,True
715,Q021_1988_13a,Foot traffic,,,,,,,,False
137,Q001_1987_150,Campfire,,,,,,,,False
1889,Q024_1986_46,,,,Solidago sp.,,,,,True
2007,Q020_2005_28,,,Exotic,,,,,,True
375,Q021_1988_201,,,,Prunus serotina,,>30' & 5-30',Flowering dogwood,Sweet cherry,True
63,Q001_1987_63,,,,Liriodendron tulipifera,,5-30'&<5',Verginia creeper,Black cherry,True
366,Q001_1987_363,,Exotic,,,,,,,False
472,Q464_1988_29,,Exotic,,,,,,,False
491,X268_2007_18,,Native,Native,Fraxinus pennsylvanica,,,,,True
55,Q001_1987_77,,Exotic,,,,,,,True
93,Q001_1987_37,,,,Impatiens capensis,,,,,True
667,Q021_1988_59,,,,Liquidambar styraciflua,,,,,False
574,X007_2006_4,,Native,,,,,,,False
1809,B384_1988_14a,,Exotic,,,,,,,False
1816,B384_1988_19,,Exotic,Exotic,Ailanthus altissima,,,,,False
190,Q001_1987_187,Bicycles,,,,,,,,True
115,Q001_1987_125,,,,,,,,,True
89,Q001_1987_58,,,,Parthenocissus quinquefolia,,<5',,Mugwort,True
30,Q001_1987_90,,Exotic,,,,,,,True
92,Q001_1987_54,,,,Quercus velutina,,All,Flowering dogwood,Black birch,False
620,Q021_1988_176,,,,Quercus velutina,,,,,False
441,X039_1986_581,,,,Robinia pseudoacacia,,<5m,Phragmites,Jewelweed,False
604,Q021_1988_162a,,,,Prunus serotina,,,,,False
694,Q021_1988_47,Picnic,,,,,,,,False
275,Q001_1987_281,,Exotic,,,,,,,False
636,Q021_1988_2a,,,,,,,,,False
579,X007_2006_10,,Exotic,Exotic,Artemisia vulgaris,,,,,True
41,Q001_1987_116,,,,Sassafras albidum,,5'-30',,Red maple,False
435,X039_1986_575,,,,Vitis sp.,,<5m & >5m,Joe-Pye weed,Catbrier,False
291,Q001_1987_282,,Exotic,,,,,,,False
262,Q001_1987_257,Bike/ ATV,Exotic,,,,,,,True
400,X092_2010_1087,,Exotic,,,No,,,,False
1891,Q024_1986_48,Vehicle access,,,,,,,,False
624,Q021_1988_52c,Foot traffic,,,,,,,,False
1926,Q024_1986_19,Picnic,Exotic,,Ulmus americana,,>30',Star of bethlehem,American basswood,True
692,Q021_1988_65,,,,Sassafras albidum,,,,,False
774,Q021_1988_241b,,,,,,,,,False
352,Q001_1987_330,,Exotic,,Phragmites australis,,,,,False
765,Q021_1988_249,Vehicle access,,,Quercus rubra,,,,,False
127,Q001_1987_107,,Exotic,,Vitis sp.,,All,,J. Honeysuckle,False
767,Q021_1988_248,,,,,,,,,False
1892,Q024_1986_49,Vehicle access,,,,,,,,True
729,Q021_1988_70,,,,Quercus rubra,,5'-30',,Grey birch,False
423,X039_1986_732,Foot traffic,,,,,,,,False
2019,Q392_1994_5,,,,,,,,,False
94,Q001_1987_53,Bikes,,,Cornus florida,,,,,True
427,X039_1986_825,,,,Juglans nigra,,<5m,Honeysuckle sp.,Bittersweet,False
281,Q001_1987_273,,,,,,<5',Rubus,Tick trefoil,True
585,X007_2006_8,,Native,Native,Spartina patens,,,,,False
591,X007_2006_7a,,Native,,,,,,,False
420,X308_2005_6b,,Exotic,Exotic,Rubus phoenicolasius,,5'-30',Pokeweed,"Maple, Norway",False
786,Q021_1988_278c,,Exotic,,,,,,,True
1815,B384_1988_17b,,,,Iva frutescens,,,,,False
681,Q021_1988_30,Foot traffic,,,Prunus serotina,,,,,True
196,Q001_1987_183,Campfire,,,Sassafras albidum,,<5' & 5-30',Poison ivy,Black cherry,False
367,Q001_1987_311,,Exotic,,,,,,,False
298,Q001_1987_270,,,,,,,,,True
1962,X080_2007_14,,Exotic,,,,,,,True
65,Q001_1987_61,,Exotic,,,,,,,True
378,Q021_1988_199,,,,,,,,,False
19,Q001_1987_15,,,,Prunus serotina,,<5' & 5-30',Red oak,Poison ivy,True
1943,Q024_1986_145,,,,,,,,,True
1972,Q020_2005_9a,,,,Populus deltoides,,,,,True
1994,Q020_2005_23,,,Exotic,,,<5',,European pasturegrass,True
1933,Q024_1986_10,Vehicle access,,,Fagus sp.,,<5' & 5-30',English ivy,Jet black bead,True
194,Q001_1987_185,,,,Betula lenta,,>30' & 5-30',Pin oak,Black locust,True
1935,Q024_1986_13,Vehicle access,Exotic,Exotic,Platanus ×hispanica,,<5',Japanese katsura,Cool season grass,False
629,Q021_1988_182,,,,,,,,,False
476,X268_2007_9,,Exotic,,,,,,,False
1965,Q020_2005_2a,,,Exotic,Paulownia tomentosa,,,,,True
372,Q021_1988_203,Vehicle access,,Exotic,Rosa sp.,,<5' & 5-30',Smooth sumac,Bayberry,False
607,Q021_1988_51d,Foot traffic,,,,,,,,False
