objectid,ueid_base,height3,recordedname1,height1,environmentaldisturbance1,currentuse3,soilcondition,historicalindicators3,height6,latinname1
1967,Q020_2005_8,<5' & >30',"Bulrush, black",<5' & >30',Dumping,,Dry/Moist,,,Scirpus atrovirens
397,X092_2010_713,,Cool season grass,<5',Soil compaction,,Dry/Moist,,,
391,X092_2010_1078,,Phragmites,<5' & 5-30',Fire,,Surface water,,,Phragmites australis
169,Q001_1987_173,,Mugwort,<5' & 5-30',Trash,,Moist,,,Artemisia vulgaris
456,X039_1986_549,<5m & >5m,Black locust,<5m & >5m,Dumping,,Moist,,>5m,Robinia pseudoacacia
601,Q021_1988_162,<5' & 5-30',Pin oak,All,Trash,,Dry,,,Quercus palustris
702,Q021_1988_45,,Pin oak,>30',Compacton,Horses,Dry,,,Quercus palustris
709,Q021_1988_68,5'-30',Sassafras,5'-30',Trash,,Dry,,5-30',Sassafras albidum
449,X039_1986_570,<5m,Phragmites,<5m,,,Wet,,,Phragmites australis
236,Q001_1987_230,<5' & 5-30',Red oak,>30' & 5-30',,,Dry,,,Quercus rubra
1900,Q024_1986_63,<5',Phragmites,<5',Dumping,Horses,Surface water,,,Phragmites australis
739,Q021_1988_3,,Ornamental shrubs,5'-30',,,Dry,,,
677,Q021_1988_26,5'-30',Black oak,>30',Dumping,,Dry,,,Quercus velutina
1919,Q024_1986_119,<5',Black locust,All,Trash,,Dry,,,Robinia pseudoacacia
189,Q001_1987_189,,Jewelweed,<5' & 5-30',Auto,,Moist,,,Impatiens capensis
659,Q021_1988_24,<5',Sassafras,All,Dumping,,Dry,,5-30,Sassafras albidum
615,Q021_1988_171,All,Red oak,<5' & >30',,,Dry,,,Quercus rubra
362,Q001_1987_359,<5' & 5-30',Mulberry,5'-30',Dumping,,Dry,,,Morus sp.
310,Q001_1987_246,,Ailanthus,5'-30',Dumping,,Dry,,,Ailanthus altissima
699,Q021_1988_44,5'-30',Sassafras,All,Soil compaction,,Dry,,,Sassafras albidum
1913,Q024_1986_73,<5',Mugwort,<5',Dumping,Vehicle access,Dry,,,Artemisia vulgaris
1817,B384_1988_17,<5',S. alterniflora,<5',,,Wet,,,Spartina alterniflora
27,Q001_1987_23,<5' & 5-30',American beech,All,Erosion,Picnic,Dry,,">30' &5-30""",Fagus grandifolia
519,X268_2007_67,,"Hops, Japanese",<5',,,Dry/Moist,,,Humulus japonicus
611,Q021_1988_174,,Red maple,All,Dumping,,Surface water,,,Acer rubrum var. rubrum
759,Q021_1988_251,,Sweetgum,>30' & 5-30',Fire,Foot traffic,Moist,,,Liquidambar styraciflua
2020,Q392_1994_13,,,,,,,,,
1998,Q020_2005_27,<5',"Cottonwood, Eastern",<5' & >30',,,Dry/Moist,,,Populus deltoides
7,Q001_1987_12,,Gray birch,<5' & 5-30',Erosion,,Dry,,,Betula populifolia
777,Q021_1988_234,All,Pin oak,>30' & 5-30',Trash,,Moist,,,Quercus palustris
632,Q021_1988_180,,Black locust,<5' & 5-30',,,Dry,,,Robinia pseudoacacia
268,Q001_1987_300,<5',Black cherry,<5' & 5-30',,,Dry,,,Prunus serotina
34,Q001_1987_92,>30' & 5-30',Red oak,All,Dumping,,Moist,,5-30'&5',Quercus rubra
711,Q021_1988_154,,Red oak,>30',Dumping,,Dry,,,Quercus rubra
88,Q001_1987_51,,Red oak,>30' & 5-30',Erosion,Vehicle,Moist,,,Quercus rubra
103,Q001_1987_34,All,Red oak,All,Compaction,Tree house,Moist,,<5',Quercus rubra
57,Q001_1987_79,>30',Pin oak,>30',,,Moist,,,Quercus palustris
458,X039_1986_543,<5m & >5m,Red oak,>5m,Dumping,,Well drained,,<5m,Quercus rubra
95,Q001_1987_52,,Red oak,>30' & 5-30',Compaction,,Dry,,,Quercus rubra
543,X268_2007_3,,"Ragweed, common",<5',,,Dry/Moist,,,Ambrosia artemisiifolia
530,X268_2007_52,5'-30',"poplar, lombardy",5'-30',Vandalism,,Dry/Moist,,,Populus nigra
1875,Q024_1986_108,<5' & 5-30',Japanese knotweed,<5' & 5-30',,Horses,Dry,,,Reynoutria japonica
749,Q021_1988_52,,Cool season grass,<5',Soil compaction,,Dry,,,
5,Q001_1987_11,<5' & 5-30',Bittersweet,<5' & 5-30',,,Dry,,,Celastrus orbiculatus
204,Q001_1987_200,,,,Scraping,,Dry,,,
640,Q021_1988_98,5'-30',Red oak,>30',Trash,,Moist,,,Quercus rubra
728,Q021_1988_71,5'-30',Black cherry,5'-30',Fire,,Dry,,,Prunus serotina
1961,X080_2007_1,>30' & 5-30',Cool season grass,<5',,,Dry/Moist,,,
416,X308_2005_6,<5',"Bittersweet, Oriental",<5',,,Dry/Moist,Seawall/dock,<5',Celastrus orbiculatus
101,Q001_1987_33,,,,,Dirt bikes,Dry,,,
431,X039_1986_22,<5m,Fern,<5m,,,Surface water,,,
140,Q001_1987_139,>30' & 5-30',Hickory spp.,>30',Erosion,,Dry,,All,Carya spp.
161,Q001_1987_155,>30',Black cherry,>30',Trash,,Dry,,All,Prunus serotina
1804,X110A_2007_1,,Cool season grass,<5',Trash,,Dry/Moist,,,
380,Q021_1988_196,,Tulip tree,>30' & 5-30',,,Dry,,,Liriodendron tulipifera
432,X039_1986_23,<5m,Day lily,<5m,,,Wet,,,Hemerocallis fulva
741,Q021_1988_3,,Ornamental shrubs,5'-30',,,Dry,,,
480,X268_2007_13,5'-30',"Hickory, bitternut",all,Trash,,Dry/Moist,,,Carya cordiformis
230,Q001_1987_233,,Cool season grass,<5',Trash,,Dry,,,
424,X039_1986_209,<5m,White poplar,>5m,,,Moist,,,Populus alba
764,Q021_1988_250,>30',Red oak,>30' & 5-30',Compaction,,Dry,,,Quercus rubra
1936,Q024_1986_142,<5',Phragmites,<5',Fire,,Dry,,,Phragmites australis
418,X308_2005_6,<5',"Bittersweet, Oriental",<5',,,Dry/Moist,Seawall/dock,<5',Celastrus orbiculatus
1921,Q024_1986_128,<5',Green ash,>30' & 5-30',Dumping,,Wet,,>30',Fraxinus pennsylvanica
490,X268_2007_23,<5' & 5-30',"Bittersweet, orienta",<5' & 5-30',Dumping,,Dry/Moist,FDNY call box,,Celastrus orbiculatus
250,Q001_1987_308,<5',Phragmites,<5' & 5-30',,,Moist,,,Phragmites australis
37,Q001_1987_130,All,Black oak,>30' & 5-30',Trash,,Dry,,,Quercus velutina
2002,Q020_2005_17,<5' & 5-30',Sweetgum,all,Trash,,Dry/Moist,,5-30',Liquidambar styraciflua
104,Q001_1987_39,<5',Virginia creeper,<5',Erosion,,Dry,,,Parthenocissus quinquefolia
792,Q021_1988_277,<5',Smooth sumac,<5' & 5-30',Dumping,,Dry,,,Rhus glabra
16,Q001_1987_3,All,Bittersweet,All,Dumping,,Dry,,5-30',Celastrus orbiculatus
1914,Q024_1986_72,<5' & 5-30',Smooth sumac,<5' & 5-30',Dumping,Vehicle access,Dry,Sewer line,<5',Rhus glabra
129,Q001_1987_98,<5',Mugwort,<5',Compaction,,Dry,,,Artemisia vulgaris
705,Q021_1988_34,,Pin oak,>30',Soil compaction,Campfire/ party,Dry,,,Quercus palustris
689,Q021_1988_54,5'-30',Rose,5'-30',Soil compaction,,Moist,,,Rosa sp.
446,X039_1986_592,<5m,Hawthorn,<5m,,,Wet,,<5m,Crataegus sp.
1990,Q020_2005_4,,"Locust, black",5'-30',Dumping,,Dry,,,Robinia pseudoacacia
1954,X080_2007_7,<5' & 5-30',"Mulberry, white",<5' & 5-30',,,Dry/Moist,,,Morus alba
747,Q021_1988_4,5'-30',Black oak,>30',Fire,,Dry,,,Quercus velutina
228,Q001_1987_227,<5',London planetree,>30' & 5-30',Dumping,,Wet,,,Platanus ×hispanica
1813,B384_1988_11,,Mugwort,<5' & 5-30',Dumping,,Dry/Moist,,,Artemisia vulgaris
768,Q021_1988_240,5'-30',Mugwort,<5',Compaction,,Dry,,,Artemisia vulgaris
39,Q001_1987_118,<5' & 5-30',Black oak,All,Fire,,Dry,,,Quercus velutina
163,Q001_1987_178,,Mugwort,<5' & 5-30',,,Dry,,,Artemisia vulgaris
448,X039_1986_573,<5m & >5m,Ash( green & white),<5m & >5m,Erosion,,Moist,,>5m,Fraxinus sp.
433,X039_1986_640,<5m,Cool season seal,<5m,Pesticides,,Well drained,,,
257,Q001_1987_249,5'-30',Cool season grass,<5',Dumping,,Dry,,,
437,X039_1986_567,<5m,White poplar,>5m,,,Well drained,,,Populus alba
666,Q021_1988_66,>30',Red oak,>30',Trash,,Dry,Exotic planting,,Quercus rubra
238,Q001_1987_228,,Red oak,All,Erosion,,Dry,,,Quercus rubra
556,X005_2007_6,<5' & 5-30',"Oak, red",>30',Trash,,Dry/Moist,,,Quercus rubra
567,R132_1989_4,5'-30',Red oak,all,,,Dry/Moist,,,Quercus rubra
494,X268_2007_24,,"Knotweed, Japanese",5'-30',Dumping,,Dry/Moist,,,Reynoutria japonica
650,Q021_1988_18,,Smooth sumac,5'-30',Trash,,Dry,,,Rhus glabra
343,Q001_1987_349,<5' & 5-30',Phragmites,<5' & 5-30',,,Moist,,,Phragmites australis
2027,Q392_1994_9,,Myrica pensylvanica,,,,,,,Morella pensylvanica
182,Q001_1987_160,,Black birch,>30' & 5-30',,,Dry,,,Betula lenta
593,Q021_1988_50,,,,,,Dry,,,
11,Q001_1987_16,All,Black berry,All,Compaction,Campfire,Dry,,All,Rubus sp.
77,Q001_1987_68,>30'&5<5',"Oak, black",All,Erosion,,Moist,,5-30'&<5',Quercus velutina
81,Q001_1987_29,<5',Black locust,All,Leaf dump,,Dry,,<5',Robinia pseudoacacia
18,Q001_1987_20,<5' & 5-30',Bittersweet,All,Erosion,,,,,Celastrus orbiculatus
355,Q001_1987_352,,Black cherry,<5' & 5-30',,,Dry,,,Prunus serotina
83,Q001_1987_67,>30'&<5',"Oak, red",>30',Erosion,Vehicle access,Dry,,5-30',Quercus rubra
159,Q001_1987_153,All,Black cherry,>30' & 5-30',Dumping,,Moist,Exotic,,Prunus serotina
523,X268_2007_68,,Mugwort,<5' & 5-30',,,Dry/Moist,,,Artemisia vulgaris
1968,Q020_2005_6,5'-30',Phragmites,<5' & 5-30',Dumping,,Dry/Moist,,<5',Phragmites australis
315,Q001_1987_313,<5',Cool season grass,<5',,,Dry,,,
346,Q001_1987_333,5'-30',E.  Cottonwood,>30' & 5-30',Dumping,,Moist,,5-30'&<5',Populus deltoides
1881,Q024_1986_43,<5',Mugwort,<5',Dumping,Horses,Dry,,,Artemisia vulgaris
110,Q001_1987_49,All,Red oak,All,Dumping,,Dry,,<5' &5-30',Quercus rubra
652,Q021_1988_2,,Cool season grass,<5',,,Dry,,,
135,Q001_1987_145,,Water willow,<5',,,Surface water,,,
516,X268_2007_60,,Mugwort,<5' & 5-30',,,Dry/Moist,,,Artemisia vulgaris
669,Q021_1988_51,,Pin oak,>30',,Vehicle access,Dry,,,Quercus palustris
710,Q021_1988_67,>30',Black birch,>30',Trash,,Dry,,,Betula lenta
1957,X080_2007_15,<5',Porcelain berry,<5' & 5-30',,,Dry/Moist,,,Ampelopsis brevipedunculata
473,Q464_1988_30,<5',White sweet clover,<5',Dumping,,Dry/Moist,,,Melilotus alba
148,Q001_1987_138,All,White oak,>30',Dumping,,Dry,,,Quercus alba
1950,X080_2007_2,,,,,,,,,
707,Q021_1988_146,>30' & 5-30',Sweetgum,All,Dumping,,Dry,,,Liquidambar styraciflua
1944,Q024_1986_3,>30',Red oak,>30',,Vehicle access,Dry,,>30',Quercus rubra
377,Q021_1988_200,<5',Ailanthus,All,Vandalism,,Dry,,,Ailanthus altissima
1854,Q024_1986_98,>30',Black cherry,All,Compaction,Horses,Dry,,,Prunus serotina
785,Q021_1988_271,,Rose,<5' & 5-30',,,Dry,,,Rosa sp.
1859,Q024_1986_84,>30',Black oak,All,,Horses,Dry,,,Quercus velutina
1945,Q024_1986_4,>30',Pin oak,>30',,,Dry,,,Quercus palustris
766,Q021_1988_239,,Cool season grass,<5',,,Dry,,,
553,X005_2007_11,,"Bittersweet,Oriental",<5' & 5-30',,,Dry/Moist,,,Celastrus orbiculatus
542,X268_2007_7,,"Knotweed, Japanese",<5' & 5-30',Trash,,Dry/Moist,,,Reynoutria japonica
587,X007_2006_5,<5',"Goldenrod, seaside",<5',Trash,,Moist,,,Solidago sempervirens
22,Q001_1987_18,<5',Poison ivy,<5' & 5-30',Fire,,Dry,,All,Toxicodendron radicans ssp. radicans
794,Q021_1988_279,5'-30',Black locust,5'-30',,,Dry,,,Robinia pseudoacacia
229,Q001_1987_229,All,Red oak,All,Trash,,Dry,,All,Quercus rubra
1847,X080_2007_9,,Norway maple,<5' & 5-30',,,Dry/Moist,,,Acer platanoides
160,Q001_1987_154,<5' & 5-30',White ash,>30' & 5-30',,,Dry,,,Fraxinus americana
2010,Q020_2005_24,<5',Buckthorn,<5' & 5-30',,,Dry,,<5',
483,X268_2007_17,<5' & 5-30',Sassafras,<5' & 5-30',,,Dry/Moist,,,Sassafras albidum
327,Q001_1987_319,<5',Ailanthus,<5' & 5-30',Dumping,,Dry,,,Ailanthus altissima
647,Q021_1988_19,,Ailanthus,>30',Trash,,Dry,,,Ailanthus altissima
9,Q001_1987_26,All,Black birch,All,Compaction,Vehicle,Moist,,,Betula lenta
671,Q021_1988_51,,Pin oak,>30',,Vehicle access,Dry,,,Quercus palustris
48,Q001_1987_84,<5' & >30',Black oak,>30',,,Dry,,,Quercus velutina
1899,Q024_1986_59,,Black locust,<5' & 5-30',,Horses,Dry,,,Robinia pseudoacacia
10,Q001_1987_5,,Cool season grass,<5',Compaction,Picnic,Dry,,,
463,R119_1989_7,,Sweet Pepperbush,<5',,,Surface water,,,Clethra alnifolia
723,Q021_1988_50,,,,,,Dry,,,
1979,Q020_2005_11,5'-30',"Locust, black",all,Dumping,,Dry,,all,Robinia pseudoacacia
772,Q021_1988_241,,Sweetgum,>30' & 5-30',Compaction,,Dry,,,Liquidambar styraciflua
97,Q001_1987_29,<5',Black locust,All,Leaf dump,,Dry,,<5',Robinia pseudoacacia
720,Q021_1988_52,,Cool season grass,<5',Soil compaction,,Dry,,,
554,X005_2007_7,,"Nightshade, enchante",<5',Trash,,Wet,,,Circaea canadensis
1912,Q024_1986_71,<5',Mugwort,<5',Dumping,Vehicle access,Dry,,,Artemisia vulgaris
1874,Q024_1986_105,<5' & 5-30',Rubus,<5',Dumping,Sports,Dry,,<5' & 5-30',Rubus sp.
470,R119_1989_1,,Sweetgum,All,Dumping,,Dry/Moist,,,Liquidambar styraciflua
215,Q001_1987_214,<5' & 5-30',Ailanthus,All,Dumping,,Dry,,,Ailanthus altissima
687,Q021_1988_33,>30',White oak,>30',Soil compaction,,Dry,,,Quercus alba
1852,Q024_1986_95,<5' & 5-30',Japanese knotweed,<5' & 5-30',,,Dry,,,Reynoutria japonica
202,Q001_1987_206,,Black locust,5'-30',Trash,,Dry,,,Robinia pseudoacacia
1984,Q020_2005_13,<5',Moss sp.,<5',,,Moist,,,
658,Q021_1988_16,,,,Soil compaction,Horses,Dry,,,
1938,Q024_1986_159,,Japanese knotweed,<5' & 5-30',Trash,,Dry,,,Reynoutria japonica
258,Q001_1987_268,5'-30',Black willow,5'-30',Dumping,,Surface water,,,Salix nigra
295,Q001_1987_242,>30',Black oak,>30',Erosion,,Dry,,5-30'&<5',Quercus velutina
1877,Q024_1986_110,All,Black oak,All,Trash,Horses,Moist,,All,Quercus velutina
569,R132_1989_2,all,White oak,all,,,Dry/Moist,,,Quercus alba
748,Q021_1988_50,,,,,,Dry,,,
1902,Q024_1986_64,<5',Mugwort,<5',Dumping,,Moist,,<5',Artemisia vulgaris
331,Q001_1987_338,<5',Phragmites,<5',Compaction,,Surface water,,,Phragmites australis
546,X005_2007_15,,"Bittersweet, Orienta",<5',,,Dry/Moist,,,Celastrus orbiculatus
563,X005_2007_1,,,,,,Dry,,,
212,Q001_1987_210,>30' & 5-30',Sweetgum,All,Trash,Culvert,Moist,,,Liquidambar styraciflua
2000,Q020_2005_17,<5' & 5-30',Sweetgum,all,Trash,,Dry/Moist,,5-30',Liquidambar styraciflua
1908,Q024_1986_61,<5',Polygonum,<5',Dumping,,Dry,,,Polygonum sp.
752,Q021_1988_255,>30' & 5-30',Black birch,>30',Compaction,,Dry,,,Betula lenta
485,X268_2007_4,<5',"Locust, black",<5' & 5-30',,,Dry/Moist,,,Robinia pseudoacacia
1934,Q024_1986_9,>30',Red oak,>30',Compaction,,Moist,,<5',Quercus rubra
584,X007_2006_13,<5',spike grass,<5',Trash,,Wet,,,Distichlis spicata
2021,Q392_1994_2,,Morus alba,,,,,,,Morus alba
1860,Q024_1986_88,All,Norway maple,All,Erosion,,Dry,,,Acer platanoides
259,Q001_1987_267,<5',Bittersweet,5'-30',,,Dry,,,Celastrus orbiculatus
683,Q021_1988_27,,Black oak,>30',Dumping,,Dry,,,Quercus velutina
600,Q021_1988_51,,Pin oak,>30',,Vehicle access,Dry,,,Quercus palustris
1983,Q020_2005_11,5'-30',"Locust, black",all,Dumping,,Dry,,all,Robinia pseudoacacia
226,Q001_1987_235,>30',Black willow,>30',Trash,,Dry,,,Salix nigra
384,Q021_1988_194,5'-30',Red oak,>30' & 5-30',Dumping,,Dry,,,Quercus rubra
210,Q001_1987_207,All,Black oak,All,Compaction,,Dry,,,Quercus velutina
150,Q001_1987_132,All,Black oak,>30',Trash,,Dry,,5-30',Quercus velutina
443,X039_1986_584,>5m,Red oak,>5m,Trash,,Moist,,<5m & >5m,Quercus rubra
138,Q001_1987_148,<5',Bittersweet,<5' & 5-30',Compaction,,Dry,,,Celastrus orbiculatus
365,Q001_1987_362,<5',London planetree,All,Trash,,Moist,,,Platanus ×hispanica
247,Q001_1987_302,<5',Mugwort,<5',Scraping,,Dry,,,Artemisia vulgaris
2024,Q392_1994_11,,Viburnum dentatum,,,,,,,Viburnum dentatum var. lucidum
633,Q021_1988_175,<5' & 5-30',Red oak,>30',,,Dry,,,Quercus rubra
2008,Q020_2005_10,,Oriental bittersweet,<5',,,Dry,,,Celastrus orbiculatus
511,X268_2007_58,,Mugwort,<5' & 5-30',,,Dry/Moist,,,Artemisia vulgaris
287,Q001_1987_284,5'-30'&<5',Porcelain berry,5'-30'&<5',Dumping,,Dry,,,Ampelopsis brevipedunculata
155,Q001_1987_158,>30' & 5-30',White ash,>30' & 5-30',Auto,,Dry,,,Fraxinus americana
1844,X080_2007_11,,"Mulberry, white",<5' & 5-30',,,Dry/Moist,,,Morus alba
171,Q001_1987_141,,Black oak,>30' & 5-30',Fire,,Dry,,,Quercus velutina
1940,Q024_1986_144,<5',Mugwort,<5' & 5-30',Fire,,Dry,,,Artemisia vulgaris
775,Q021_1988_238,>30',Black oak,>30',Fire,,Dry,,,Quercus velutina
133,Q001_1987_124,<5' & 5-30',Water willow,<5',,,Surface water,,,
754,Q021_1988_257,<5',Wild grape,All,,,Dry,,,Vitis sp.
619,Q021_1988_179,,Pin oak,>30' & 5-30',,,Dry,,,Quercus palustris
154,Q001_1987_149,All,Red oak,All,,,Dry,,,Quercus rubra
533,X268_2007_49,<5' & 5-30',Hackberry,<5' & 5-30',,,Dry/Moist,,,Celtis occidentalis
183,Q001_1987_157,All,Black birch,>30' & 5-30',,,Dry,,,Betula lenta
