property_name,alert_meter_has_overlaps,year_built,_3rd_largest_property_use,multifamily_housing_number_3,financial_office_gross_floor,multifamily_housing_government,hospital_general_medical_8,college_university_gross,medical_office_number_of_1,alert_meter_has_gaps,office_gross_floor_area_ft,avoided_emissions_onsite,metered_areas_energy,energy_power_station_gross,hospital_general_medical_11,address_2,national_median_source_eui,financial_office_number_of_1,municipally_supplied_potable,alert_data_center_does_not,movie_theater_gross_floor,energy_star_certification_1,percent_of_total_electricity,weather_normalized_site_1,weather_normalized_site_eui,office_percent_that_can_be_1,nta,college_university_number,outpatient_rehabilitation,convention_center_gross_floor,bank_branch_number_of,longitude,energy_star_score,wholesale_club_supercenter,fuel_oil_4_use_kbtu,metered_areas_water,weather_normalized_site_2,retail_store_gross_floor,property_gfa_epa_calculated_1,number_of_buildings,retail_store_open_or_closed,office_number_of_computers,adult_education_gross_floor,other_number_of_computers,hotel_gym_fitness_center,medical_office_number_of,district_hot_water_use_kbtu,_2nd_largest_property_use_1,multifamily_housing_number_6,national_median_total_ghg,site_energy_use_kbtu,weather_normalized_site_3,estimated_data_flag_1,automobile_dealership_gross,data_center_it_source_energy,outdoor_water_use_all_water,postcode,diesel_2_use_kbtu,avoided_emissions_offsite,council_district,multifamily_housing_number_2,worship_facility_gross_floor
Westbrook Builders,Ok,1938,Not Available,1.25604,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,126,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,81.2,Not Available,Bensonhurst East,Not Available,Not Available,Not Available,Not Available,-73.983279,83,Not Available,Not Available,Whole Building,45893.6,Not Available,62100.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,48,351,4905603,133139.5,Not Available,Not Available,Not Available,Not Available,11223,Not Available,0,44.0,0,Not Available
The FEGS Weinberg Center,Ok,1929,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,100.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,54.3,Not Available,Norwood,Not Available,Not Available,Not Available,Not Available,-73.879223,Not Available,Not Available,Not Available,Not Available,2805.7,Not Available,77220.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,246.7,4243701.9,841248.3,Not Available,Not Available,Not Available,Not Available,10467,Not Available,0,11.0,Not Available,Not Available
675 Zerega Avenue,Ok,2008,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,103.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.3,41.3,Not Available,Soundview-Castle Hill-Clason Point-Harding Park,Not Available,Not Available,Not Available,Not Available,-73.842259,77,Not Available,Not Available,Whole Building,39260.6,Not Available,127260.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,505.7,5227774.2,391200,Not Available,Not Available,Not Available,Not Available,10473,Not Available,0,18.0,Not Available,Not Available
Beverly Apartment Corp.,Ok,1947,Not Available,1.4,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,121.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,79.2,Not Available,Forest Hills,Not Available,Not Available,Not Available,Not Available,-73.8563,80,Not Available,Not Available,Whole Building,59226.3,Not Available,82403.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,445.5,6396632.5,177647.4,Not Available,Not Available,Not Available,Not Available,11374,Not Available,0,29.0,Not Available,Not Available
Waldorf Astoria,Ok,1930,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,214.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,131.1,Not Available,Turtle Bay-East Midtown,Not Available,Not Available,Not Available,Not Available,-73.974358,26,Not Available,Not Available,Whole Building,71158.6,Not Available,1600000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14000,Not Available,12454.7,211819934.9,25532994.1,Not Available,Not Available,Not Available,Not Available,10022,Not Available,0,4.0,Not Available,Not Available
"Whitehall Properties, LLC",Ok,1985,Not Available,0.67846,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,92,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.1,139.2,Not Available,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Available,Not Available,-74.012753,1,Not Available,Not Available,Whole Building,21379.7,Not Available,169055.0,1,Not Available,Not Available,Not Available,9,Not Available,Not Available,Not Available,36402,0,684.5,23197779.8,2155535.8,Not Available,Not Available,Not Available,Not Available,10004,Not Available,0,1.0,0,Not Available
Anderson Ave Assoc 1038-1052,Ok,1926,Not Available,2.47748,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,179.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1.6,181.2,Not Available,Highbridge,Not Available,Not Available,Not Available,Not Available,-73.926487,10,Not Available,Not Available,Whole Building,138010,Not Available,88800.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,172,677.6,15985673.7,671776.4,Not Available,Not Available,Not Available,Not Available,10452,Not Available,0,8.0,0,Not Available
838 Riverside Drive,Ok,1920,Not Available,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,123.2,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,72.2,Not Available,Washington Heights South,Not Available,Not Available,Not Available,Not Available,-73.945876,81,Not Available,Not Available,Not Available,35204.7,Not Available,56190.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14.56,296.7,4104200.2,157542.6,Not Available,Not Available,Not Available,Not Available,10032,Not Available,0,7.0,Not Available,Not Available
2116 Ditmas Avenue - 36377,Ok,1935,Not Available,1.5415,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,138.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,71.5,Not Available,Flatbush,Not Available,Not Available,Not Available,Not Available,-73.957767,92,Not Available,Not Available,Whole Building,46539.4,Not Available,75900.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,78,446,5392067,225715.7,Not Available,Not Available,Not Available,Not Available,11226,Not Available,0,40.0,3,Not Available
20 Beekman (262),Ok,1957,Not Available,1.4,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,132.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Turtle Bay-East Midtown,Not Available,Not Available,Not Available,Not Available,-73.964751,92,Not Available,Not Available,Whole Building,Not Available,Not Available,98800.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,661.8,6034893.6,Not Available,Not Available,Not Available,Not Available,Not Available,10022,Not Available,0,4.0,Not Available,Not Available
