property_name,alert_meter_has_overlaps,year_built,_3rd_largest_property_use,multifamily_housing_number_3,financial_office_gross_floor,multifamily_housing_government,hospital_general_medical_8,college_university_gross,medical_office_number_of_1,alert_meter_has_gaps,office_gross_floor_area_ft,avoided_emissions_onsite,metered_areas_energy,energy_power_station_gross,hospital_general_medical_11,address_2,national_median_source_eui,financial_office_number_of_1,municipally_supplied_potable,alert_data_center_does_not,movie_theater_gross_floor,energy_star_certification_1,percent_of_total_electricity,weather_normalized_site_1,weather_normalized_site_eui,office_percent_that_can_be_1,nta,college_university_number,outpatient_rehabilitation,convention_center_gross_floor,bank_branch_number_of,longitude,energy_star_score,wholesale_club_supercenter,fuel_oil_4_use_kbtu,metered_areas_water,weather_normalized_site_2,retail_store_gross_floor,property_gfa_epa_calculated_1,number_of_buildings,retail_store_open_or_closed,office_number_of_computers,adult_education_gross_floor,other_number_of_computers,hotel_gym_fitness_center,medical_office_number_of,district_hot_water_use_kbtu,_2nd_largest_property_use_1,multifamily_housing_number_6,national_median_total_ghg,site_energy_use_kbtu,weather_normalized_site_3,estimated_data_flag_1,automobile_dealership_gross,data_center_it_source_energy,outdoor_water_use_all_water,postcode,diesel_2_use_kbtu,avoided_emissions_offsite,council_district,multifamily_housing_number_2,worship_facility_gross_floor
612 West 144th Street,Ok,1924,Not Available,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.9,104.5,Not Available,Hamilton Heights,Not Available,Not Available,Not Available,Not Available,-73.951766,32,Not Available,Not Available,Whole Building,46106.6,Not Available,51570.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15.94,279.2,5431682.2,228503.5,Not Available,Not Available,Not Available,Not Available,10031,Not Available,0,7.0,Not Available,Not Available
350 Lefferts Rltys,Ok,1941,Not Available,1.38889,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,120.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,53.4,Not Available,,Not Available,Not Available,Not Available,Not Available,,100,Not Available,Not Available,Not Available,43368.8,Not Available,83520.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,491.4,4488198.6,35954.4,Not Available,Not Available,Not Available,Not Available,11225,Not Available,0,,Not Available,Not Available
ON - 5589 - 18TH & 6TH - NY,Ok,2014,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,263.1,Not Available,1023.1,Ok,Not Available,Not Available,Not Available,0.2,111.8,Not Available,,Not Available,Not Available,Not Available,Not Available,,34,Not Available,Not Available,Whole Building,7837.9,51923,51923.0,0,0.09624,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,377.6,5826761.3,1471119.8,Not Available,Not Available,Not Available,Not Available,10011-2018,Not Available,0,,Not Available,Not Available
New Bedford 129 Street,Ok,1969,Not Available,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,121.1,Not Available,4865.3,Ok,Not Available,Not Available,Not Available,Not Available,51.4,Not Available,Kew Gardens,Not Available,Not Available,Not Available,Not Available,-73.823664,12,Not Available,Not Available,Whole Building,Not Available,Not Available,107250.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,342.9,5467689.1,1616680.7,Not Available,Not Available,Not Available,Not Available,11415,Not Available,0,29.0,0,Not Available
Deepdale Gardens J11,Ok,1953,Not Available,2.11146,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,136.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.9,107.3,Not Available,Douglas Manor-Douglaston-Little Neck,Not Available,Not Available,Not Available,Not Available,-73.725538,33,Not Available,Not Available,Not Available,55046.9,Not Available,62516.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4624,0,350,6618420.3,352442.6,Not Available,Not Available,Not Available,Not Available,11362,Not Available,0,23.0,4,Not Available
250 West 99th Street,Ok,1925,Not Available,1.98092,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,150.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,86.9,Not Available,Upper West Side,Not Available,Not Available,Not Available,Not Available,-73.970861,79,Not Available,Not Available,Whole Building,39737.5,Not Available,54520.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,341.8,4756341.6,223354.1,Not Available,Not Available,Not Available,Not Available,10025,Not Available,0,6.0,8,Not Available
Clearview 2 Bldg N-05 to N-10,Ok,1952,Not Available,4.14761,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Multiple Addresses-See Unique Bldg ID,198.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1.2,273.7,Not Available,Ft. Totten-Bay Terrace-Clearview,Not Available,Not Available,Not Available,Not Available,-73.792402,1,Not Available,Not Available,Whole Building,76343.6,Not Available,65580.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7197,0,644.5,18039573.3,759155.7,Not Available,Not Available,Not Available,Not Available,11360,Not Available,0,19.0,1,Not Available
Seward Park Housing Corp (Mixed Use),Ok,1963,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,14590,Not Available,Whole Building,Not Available,Not Available,Not Available,192.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,33.5,3438,100,Lower East Side,Not Available,Not Available,Not Available,9,-73.984031,1,Not Available,Not Available,Not Available,628275.7,Not Available,18752.0,1,Not Available,32,Not Available,Not Available,Not Available,Not Available,Not Available,4162,Not Available,176.5,63671836.2,481405.7,Not Available,Not Available,Not Available,Not Available,10002,Not Available,0,1.0,Not Available,Not Available
"FRIENDLY HANDS APARTMENTS, LLC",Possible Issue,2007,Other - Entertainment/Public Assembly,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,172,Not Available,Whole Building,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,75.7,100,East Harlem North,Not Available,Not Available,Not Available,Not Available,-73.938328,Not Available,Not Available,Not Available,Whole Building,41975,Not Available,76941.0,1,Not Available,1,Not Available,Not Available,Not Available,Not Available,Not Available,4357,76,369.7,5798592.8,477664.9,Not Available,Not Available,Not Available,Not Available,10035,Not Available,0,8.0,6,4357
80 West 40th Street LLC,Ok,1910,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,63676,Not Available,Whole Building,Not Available,Not Available,Not Available,231.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,123.7,100,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,-73.984541,44,Not Available,Not Available,Whole Building,2911.6,Not Available,66112.0,1,Not Available,198,Not Available,Not Available,Not Available,Not Available,Not Available,2436,Not Available,600.2,8262050.5,1073180.1,Not Available,Not Available,Not Available,Not Available,10018,Not Available,0,4.0,Not Available,Not Available
Third Hsg Bldg #4,Unable to Check (not enough data),1953,Not Available,2.05714,Not Available,100% Yes,Not Available,Not Available,Not Available,Unable to Check (not enough data),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,127.9,Not Available,1629.7,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Pomonok-Flushing Heights-Hillcrest,Not Available,Not Available,Not Available,Not Available,-73.807878,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,17500.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,67.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11365,Not Available,Not Available,24.0,0,Not Available
Highmount Associates 1,Ok,1940,Not Available,1.3587,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,134.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,76.3,Not Available,East Village,Not Available,Not Available,Not Available,Not Available,-73.985892,78,Not Available,Not Available,Whole Building,615.1,Not Available,33120.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,35,234.7,2538254.6,145296.2,Not Available,Not Available,Not Available,Not Available,10003,Not Available,0,2.0,3,Not Available
Deepdale Gardens F24,Ok,1952,Not Available,1.98396,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,134.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1,122.8,Not Available,Douglas Manor-Douglaston-Little Neck,Not Available,Not Available,Not Available,Not Available,-73.727207,16,Not Available,Not Available,Not Available,49769.3,Not Available,48388.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4427,0,270.3,5879851.4,282756.6,Not Available,Not Available,Not Available,Not Available,11362,Not Available,0,23.0,3,Not Available
505 West 37 L.L.C.,Ok,2007,Not Available,1.14353,Not Available,100% Yes,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,130.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,87.9,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Not Available,Not Available,Not Available,-73.998177,33,Not Available,Not Available,Whole Building,484031.6,Not Available,864868.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65647,0,4345.2,75854556.1,6269989.5,Not Available,Not Available,Not Available,Not Available,10018,Not Available,0,3.0,51,Not Available
41 Utica Avenue - 25967,Ok,1982,Not Available,2.38137,Not Available,100% Yes,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,137.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,68.7,Not Available,Crown Heights North,Not Available,Not Available,Not Available,Not Available,-73.930235,93,Not Available,Not Available,Not Available,122503.5,Not Available,209963.0,22,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,1208.3,14220225.6,637104.3,Not Available,Not Available,Not Available,Not Available,11223,Not Available,0,36.0,17,Not Available
800 Victory Boulevard,Ok,1961,Not Available,2,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Common areas only,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.2,25.9,Not Available,Grymes Hill-Clifton-Fox Hills,Not Available,Not Available,Not Available,Not Available,-74.094166,Not Available,Not Available,Not Available,Not Available,19923.2,Not Available,100000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,150,507.1,2727456.3,174886.6,Not Available,Not Available,Not Available,Not Available,10301,Not Available,0,49.0,Not Available,Not Available
Kashtan Realty LLC,Ok,1962,Not Available,1.10513,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,129.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,82.9,Not Available,North Riverdale-Fieldston-Riverdale,Not Available,Not Available,Not Available,Not Available,-73.896596,62,Not Available,Not Available,Whole Building,51783.3,Not Available,76009.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81,401.6,6323535.5,329201,Not Available,Not Available,Not Available,Not Available,10462,Not Available,0,11.0,10,Not Available
1150 Pelham Parkway So,Ok,1953,Not Available,1.4386,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,134.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,15.6,Not Available,Pelham Parkway,Not Available,Not Available,Not Available,Not Available,-73.855347,100,Not Available,Not Available,Whole Building,2543.2,Not Available,57000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,50,223.3,902053.8,185758.5,Not Available,Not Available,Not Available,Not Available,10461,Not Available,0,13.0,6,Not Available
32 Broadway,Ok,1900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,142990,Not Available,Whole Building,Not Available,Not Available,Not Available,249.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.1,95.4,100,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Available,Not Available,-74.013096,62,Not Available,Not Available,Not Available,12675.2,Not Available,142990.0,1,Not Available,285.98,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1215.6,13640179.6,2391217,Not Available,Not Available,Not Available,Not Available,10006,Not Available,0,1.0,Not Available,Not Available
1265 Walton Avenue,Ok,1926,Not Available,1.32238,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,134.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.8,92.2,Not Available,West Concourse,Not Available,Not Available,Not Available,Not Available,-73.918334,60,Not Available,Not Available,Not Available,56654.1,Not Available,71840.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,77,409.5,6677341.5,279934.7,Not Available,Not Available,Not Available,Not Available,10452,Not Available,0,16.0,Not Available,Not Available
The Penn Club of New York,Ok,1900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,289,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.2,107.6,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,-73.981087,47,Not Available,Not Available,Whole Building,12450.5,Not Available,59000.0,1,Not Available,Not Available,Not Available,Not Available,5000,Not Available,Not Available,Not Available,Not Available,481,6393013,1495824.5,Not Available,Not Available,Not Available,Not Available,10036,Not Available,0,4.0,Not Available,Not Available
Elison Realty Assoc. LLC,Ok,1941,Not Available,1.4,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,122.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,69.2,Not Available,Kensington-Ocean Parkway,Not Available,Not Available,Not Available,Not Available,-73.973829,84,Not Available,Not Available,Not Available,42514.9,Not Available,72800.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,371.5,4946226.6,230122.5,Not Available,Not Available,Not Available,Not Available,11218,Not Available,0,39.0,Not Available,Not Available
500 TRINITY AVENUE,Ok,1927,Retail Store,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.8,99.5,Not Available,Mott Haven-Port Morris,Not Available,Not Available,Not Available,Not Available,-73.91025,Not Available,Not Available,Not Available,Whole Building,62204.6,2435,78390.0,1,1.23203,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4703,69,402.4,7754715.1,461932.9,Not Available,Not Available,Not Available,Not Available,10455,Not Available,0,8.0,Not Available,Not Available
(7324) - East Midtown Plaza(2),Ok,1970,Not Available,0.6684,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,311 E. 23RD ST; 333 E. 23RD ST,107.2,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,,72,Not Available,Not Available,Whole Building,457668.9,Not Available,927590.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,3964.9,57193999.7,Not Available,Not Available,Not Available,Not Available,Not Available,10010,Not Available,0,,40,Not Available
31 Ocean Parkway,Ok,1929,Not Available,1.29813,Not Available,100% Yes,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,120.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,Not Available,Not Available,Windsor Terrace,Not Available,Not Available,Not Available,Not Available,-73.974201,60,Not Available,Not Available,Whole Building,50517.8,Not Available,90900.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,28,477.6,7265856,354518.4,Not Available,Not Available,Not Available,Not Available,11218,Not Available,0,39.0,8,Not Available
1478 Walton Ave - 38868,Ok,1928,Not Available,1.36017,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,132.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,85.8,Not Available,West Concourse,Not Available,Not Available,Not Available,Not Available,-73.914776,57,Not Available,Not Available,Not Available,60037.3,Not Available,87489.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,78,464.1,7482662.7,439670.3,Not Available,Not Available,Not Available,Not Available,10452,Not Available,0,14.0,7,Not Available
586 River Avenue (American Self Storage),Ok,1952,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,109.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.2,38.9,Not Available,West Concourse,Not Available,Not Available,Not Available,Not Available,-73.929594,73,Not Available,Not Available,Not Available,21163.4,Not Available,118000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,460.7,4572873.6,556800,Not Available,Not Available,Not Available,Not Available,10451,Not Available,0,8.0,Not Available,Not Available
9325/27 KINGS HIGHWAY,Ok,1950,Not Available,1.55172,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,136.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.4,67.7,Not Available,,Not Available,Not Available,Not Available,Not Available,,88,Not Available,1229903.9,Whole Building,36884.5,Not Available,92800.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,96,541.1,6185963.1,383573.8,Not Available,Not Available,Not Available,Not Available,11212,Not Available,0,,0,Not Available
51-33 Goldsmith Street,Ok,1962,Not Available,0.90258,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,126.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.1,44.8,Not Available,Elmhurst,Not Available,Not Available,Not Available,Not Available,-73.880406,98,Not Available,Not Available,Whole Building,3145.4,Not Available,56505.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,63,324.6,2580278,211061.7,Not Available,Not Available,Not Available,Not Available,11373,Not Available,0,25.0,4,Not Available
80 Fort Washington Ave,Ok,1920,Not Available,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,122.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.8,82.2,Not Available,Washington Heights South,Not Available,Not Available,Not Available,Not Available,-73.943923,87,Not Available,Not Available,Whole Building,54225,Not Available,68838.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17.33,403.1,5521996,69606,Not Available,Not Available,Not Available,Not Available,10032,Not Available,0,7.0,Not Available,Not Available
DLX Industries,Ok,1990,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,7000,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.4,51.4,100,East New York (Pennsylvania Ave),Not Available,Not Available,Not Available,Not Available,-73.900329,Not Available,Not Available,Not Available,Whole Building,26263.5,Not Available,70000.0,1,Not Available,15,Not Available,Not Available,Not Available,Not Available,Not Available,7000,Not Available,Not Available,3529707.5,285390.7,Not Available,Not Available,Not Available,Not Available,11207,Not Available,0,42.0,Not Available,Not Available
(5102) - Ocean Terrace,Ok,1962,Not Available,1.24146,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,126.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.9,104.1,Not Available,Gravesend,Not Available,Not Available,Not Available,Not Available,-73.966438,42,Not Available,Not Available,Whole Building,184809.5,Not Available,201375.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,1107.5,20412419.9,726233.3,Not Available,Not Available,Not Available,Not Available,11235,Not Available,0,47.0,8,Not Available
Brooklyn Excelsior Charter School,Ok,2003,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,167.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.4,83.2,Not Available,Stuyvesant Heights,Not Available,Not Available,Not Available,Not Available,-73.925506,44,Not Available,Not Available,Whole Building,23354.1,Not Available,55627.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,302.9,4681134.1,671783.1,Not Available,Not Available,Not Available,Not Available,11221,Not Available,0,41.0,Not Available,Not Available
(6970) - 9701 Shore Owners Corp,Ok,1935,Not Available,1.30716,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,131.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,84.8,Not Available,Bay Ridge,Not Available,Not Available,Not Available,Not Available,-74.037567,63,Not Available,Not Available,Whole Building,78650.2,Not Available,114753.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,91,606.8,9398282.6,546256.3,Not Available,Not Available,Not Available,Not Available,11209,Not Available,0,43.0,7,Not Available
77 Water Street,Ok,1969,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,638447,Not Available,Whole Building,Not Available,Not Available,Not Available,240.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,81.9,100,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Available,Not Available,-74.008681,78,Not Available,Not Available,Not Available,Not Available,Not Available,662800.0,1,Not Available,2004,Not Available,1,Not Available,Not Available,Not Available,24353,Not Available,5847.7,56423588.6,6640555.8,Not Available,Not Available,Not Available,Not Available,10005,Not Available,0,1.0,Not Available,Not Available
40 Woodruff LLC,Ok,1940,Not Available,1.02544,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,122.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,74.5,Not Available,Flatbush,Not Available,Not Available,Not Available,Not Available,-73.964624,76,Not Available,Not Available,Whole Building,48292.1,Not Available,76065.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,66,392.8,5659457.7,246362.5,Not Available,Not Available,Not Available,Not Available,11226,Not Available,0,40.0,0,Not Available
Hollywood Towers,Ok,2012,Not Available,1.4,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,121.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Schuylerville-Throgs Neck-Edgewater Park,Not Available,Not Available,Not Available,Not Available,-73.829482,79,Not Available,Not Available,Whole Building,Not Available,Not Available,50934.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,216.8,2725528.4,Not Available,Not Available,Not Available,Not Available,Not Available,10461,Not Available,0,13.0,Not Available,Not Available
Club Quarters Wall Street,Ok,1902,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Another configuration,Not Available,Not Available,Not Available,266.8,Not Available,8464,Ok,Not Available,Not Available,Not Available,Not Available,53725.6,Not Available,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Available,Not Available,-74.009143,1,Not Available,Not Available,Not Available,Not Available,Not Available,100000.0,1,Not Available,Not Available,Not Available,Not Available,632,Not Available,Not Available,Not Available,Not Available,1470,5310266046,1944854.2,Not Available,Not Available,Not Available,Not Available,10005,Not Available,0,1.0,Not Available,Not Available
America Sanford Ave,Ok,1928,Not Available,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,121.1,Not Available,7481.2,Ok,Not Available,Not Available,Not Available,Not Available,40.2,Not Available,East Flushing,Not Available,Not Available,Not Available,Not Available,-73.820081,44,Not Available,Not Available,Whole Building,Not Available,Not Available,54491.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,174.2,2170994.2,641917.3,Not Available,Not Available,Not Available,Not Available,11355,Not Available,0,20.0,1,Not Available
"Helgar Realty Co, LLC",Ok,1911,Manufacturing/Industrial Plant,Not Available,Not Available,Not Available,Not Available,Not Available,9.17,Ok,44126,Not Available,Whole Building,Not Available,Not Available,Not Available,148.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,47.4,100,West Village,Not Available,Not Available,Not Available,Not Available,-74.000065,Not Available,Not Available,Not Available,Not Available,2180.6,Not Available,55826.0,1,Not Available,155.8,Not Available,Not Available,Not Available,Not Available,Not Available,8450,Not Available,224,2690181.6,711524.8,Not Available,Not Available,Not Available,Not Available,10012,Not Available,0,1.0,Not Available,Not Available
110-114 HORATIO II LLC,Ok,1900,Not Available,1.4,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,126.8,Not Available,3601.5,Ok,Not Available,Not Available,Not Available,0.5,64.4,Not Available,West Village,Not Available,Not Available,Not Available,Not Available,-74.009061,86,Not Available,Not Available,Whole Building,56118.9,Not Available,111280.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,556.8,7000327.1,455468.1,Not Available,Not Available,Not Available,Not Available,10014,Not Available,0,3.0,20,Not Available
(5334) - Riverdale Arms,Ok,1964,Not Available,1.35865,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,136.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,Not Available,Not Available,North Riverdale-Fieldston-Riverdale,Not Available,Not Available,Not Available,Not Available,-73.898479,38,Not Available,4888002.7,Whole Building,1645,Not Available,57410.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,64,432,6097371.7,304436.5,Not Available,Not Available,Not Available,Not Available,10471,Not Available,0,11.0,5,Not Available
4200 Ave K,Ok,1955,Not Available,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,116.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,130.6,Not Available,Flatlands,Not Available,Not Available,Not Available,Not Available,-73.934688,1,Not Available,Not Available,Whole Building,67225.7,Not Available,96000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,451,12233584.2,998506.9,Not Available,Not Available,Not Available,Not Available,11210,Not Available,0,45.0,Not Available,Not Available
