total_area_sq_ft,operating_edp_,number_of_current_apartments,senior_development,data_as_of,number_of_rental_rooms,number_of_section_8_transition_apartments,method,number_of_residential_bldgs,total_of_fixed_income_household,location_street_d
"292,673.0",236,616,,1/1/2025,"2,932.0",0.0,CONVENTIONAL,5.0,249.0,KINGSLAND PL
"162,107.6",237,472,,1/1/2025,"2,195.0",0.0,CONVENTIONAL,2.0,218.0,
"4,495.3",482,15,,1/1/2025,65.5,,CONVENTIONAL,1.0,,JEFFERSON PL
"103,289.2",445,389,,1/1/2025,"1,707.5",115.0,CONVENTIONAL,2.0,173.0,AMSTERDAM AVE
"322,506.3",240,379,,1/1/2025,"1,769.5",0.0,CONVENTIONAL,5.0,138.0,GUY BREWER BLVD
"52,283.2",765,116,,1/1/2025,508.0,,TURNKEY,8.0,38.0,SAINT JOHNS PL
"28,363.0",236,66,,1/1/2025,279.0,,TURNKEY,1.0,22.0,E 161ST ST
"5,231.2",482,20,,1/1/2025,85.0,0.0,CONVENTIONAL,1.0,4.0,
"131,271.2",777,150,,1/1/2025,711.0,,TURNKEY,4.0,,WYTHE AVE
"192,810.9",231,604,,1/1/2025,"2,822.0",0.0,CONVENTIONAL,5.0,227.0,WEBSTER AVE
"814,916.2",234,"1,097",,1/1/2025,"5,287.5",0.0,CONVENTIONAL,12.0,463.0,LAFAYETTE AVE
"620,389.6",568,810,,1/1/2025,"3,686.0",0.0,CONVENTIONAL,10.0,343.0,ROCKAWAY AVE
"462,432.6",516,"1,296",,1/1/2025,"6,121.0",0.0,CONVENTIONAL,10.0,511.0,PARK AVE
"73,935.7",680,209,,1/1/2025,933.5,0.0,CONVENTIONAL,1.0,92.0,BUSHWICK AVE
"46,104.9",249,78,,1/1/2025,428.0,,TURNKEY,2.0,,E 136TH ST
"21,038.6",219,66,,1/1/2025,259.0,,TURNKEY,1.0,36.0,E 112TH ST
"1,520,494.6",369,"2,160",,1/1/2025,"9,116.0",0.0,CONVENTIONAL,31.0,922.0,36TH AVE
"187,028.0",278,373,,1/1/2025,"1,865.5",0.0,TURNKEY,1.0,142.0,W 28TH ST
"237,077.1",245,747,,1/1/2025,"3,519.5",0.0,CONVENTIONAL,6.0,344.0,E 110TH ST
"345,698.5",227,761,PARTIALLY (1 BUILDING),1/1/2025,"3,576.5",0.0,CONVENTIONAL,6.0,352.0,STUYVESANT AVE
"599,719.0",313,874,,1/1/2025,"4,235.0",0.0,CONVENTIONAL,10.0,353.0,YATES AVE
"580,373.7",534,"1,245",,1/1/2025,"5,765.5",0.0,CONVENTIONAL,13.0,564.0,E 106TH ST
"22,448.3",326,46,,1/1/2025,208.0,,TURNKEY,1.0,,BROOK AVE
"357,676.7",239,798,,1/1/2025,"3,748.0",0.0,CONVENTIONAL,7.0,320.0,E 170TH ST
