objectid,bin,longitude,census_tract,parkzone,length,:@computed_region_yeji_bk3q,communityboard,latitude-physicalid
145646,5109656.0,-74.116521,128.06,,,1,503.0,40.561866-88563.0
150045,5057161.0,-74.112249,128.06,,,1,503.0,40.559516-95882.0
150439,5057168.0,-74.112857,128.06,,,1,503.0,40.559787-95882.0
149639,5057151.0,-74.111046,128.06,,,1,503.0,40.558822-95882.0
145239,5109698.0,-74.116329,128.06,,,1,503.0,40.562915-164303.0
149636,5056396.0,-74.110871,128.06,,,1,503.0,40.560063-95327.0
148055,4266079.0,-73.78125,294.0,,,3,412.0,40.674899-96965.0
144034,5041745.0,-74.186562,291.02,,,1,502.0,40.590466-49540.0
145252,5053733.0,-74.08821,112.01,,,1,502.0,40.582898-85632.0
138874,5015225.0,-74.092756,39.0,,,1,501.0,40.623094-85840.0
149657,2018822.0,-73.872832,449.01,,,5,212.0,40.896998-nan
139638,5015228.0,-74.092661,39.0,,,1,501.0,40.622729-94128.0
139641,5149406.0,-74.092737,39.0,,,1,501.0,40.622524-94128.0
150050,5055466.0,-74.114123,128.06,,,1,503.0,40.560933-35070.0
128825,4024565.0,-73.898381,309.05,,,3,403.0,40.75911-26433.0
148445,3199442.0,-73.958153,582.0,,,2,315.0,40.59804-43884.0
138832,5129298.0,-74.088889,39.0,,,1,501.0,40.624681-49966.0
140843,5015227.0,-74.092464,39.0,,,1,501.0,40.622941-94128.0
142423,5045555.0,-74.066519,20.02,,,1,502.0,40.600743-57182.0
150041,5056429.0,-74.11109,128.06,,,1,503.0,40.559355-95882.0
136024,5013908.0,-74.077241,27.0,,,1,501.0,40.623427-98446.0
149234,4165995.0,-73.736528,1301.0,,,3,413.0,40.73715-78982.0
148454,1044859.0,-73.958332,126.01,,,4,108.0,40.767905-21705.0
151229,4091941.0,-73.876998,619.0,,,3,405.0,40.709991-10023.0
149227,1051847.0,-73.947752,166.0,,,4,111.0,40.788706-89952.0
150445,5055471.0,-74.113546,128.06,,,1,503.0,40.560579-35070.0
131632,4111276.0,-73.798263,1059.0,,,3,407.0,40.773481-96274.0
140846,5015230.0,-74.09297,39.0,,,1,501.0,40.622125-94128.0
125222,5021099.0,-74.130901,187.03,,,1,502.0,40.601239-64943.0
144032,2024586.0,-73.869334,68.0,,,5,209.0,40.830784-40524.0
138437,5015147.0,-74.09148,39.0,,,1,501.0,40.625648-98342.0
133623,3013757.0,-74.005005,108.01,,,2,307.0,40.640973-42316.0
138440,5015147.0,-74.09148,39.0,,,1,501.0,40.625648-98342.0
150037,3393791.0,-73.987408,326.0,,,2,313.0,40.576632-42412.0
138844,5015147.0,-74.09148,39.0,,,1,501.0,40.625648-98342.0
151631,4063714.0,-73.890156,667.01,,,3,405.0,40.723535-95835.0
138841,5015169.0,-74.090828,39.0,,,1,501.0,40.625728-98342.0
146442,5053746.0,-74.089013,112.01,,,1,502.0,40.582551-85632.0
150024,514621900.00%,-74.19951,198.0,,,1,503.0,40.527818-15998.0
149646,3172142.0,-73.978612,436.0,,,2,311.0,40.614934-51406.0
140423,5015240.0,-74.091397,39.0,,,1,501.0,40.622909-53929.0
140435,5015254.0,-74.089625,39.0,,,1,501.0,40.622814-93945.0
148434,5109719.0,-74.116329,128.06,,,1,503.0,40.562915-164299.0
150032,5056413.0,-74.111908,128.06,,,1,503.0,40.560123-95327.0
124423,5.02e+06,-74.130901,187.03,,,1,502.0,40.601239-54036.0
150457,5062516.0,-74.149359,146.05,,,1,503.0,40.554028-53652.0
138833,4255491.0,-73.807658,818.0,,,3,410.0,40.669668-97296.0
149633,5056398.0,-74.111123,128.06,,,1,503.0,40.560206-95327.0
138870,5015239.0,-74.091264,39.0,,,1,501.0,40.623164-53929.0
150459,4136084.0,-73.784377,1133.0,,,3,411.0,40.764631-83411.0
148452,3140613.0,-74.002929,214.0,,,2,312.0,40.63334-42615.0
136022,4311383.0,-73.904419,249.0,,,3,402.0,40.744403-28877.0
122024,5019599.0,-74.130483,187.03,,,1,502.0,40.606762-75402.0
148449,3027963.0,-73.96381,203.0,,,2,308.0,40.67921-39659.0
121624,1045886.0,-73.954674,124.0,,,4,108.0,40.768958-19465.0
138423,5108840.0,-74.077375,27.0,,,1,501.0,40.624182-57196.0
142029,2085869.0,-73.913697,309.0,,,5,208.0,40.887111-59758.0
138024,5013859.0,-74.077131,27.0,,,1,501.0,40.624767-57196.0
140031,5023884.0,-74.130976,207.02,,,1,501.0,40.636197-59012.0
130829,5044027.0,-74.071856,20.01,,,1,501.0,40.610873-55708.0
146450,5055476.0,-74.113828,128.06,,,1,503.0,40.561109-90288.0
140030,5023894.0,-74.131243,207.02,,,1,501.0,40.635988-59153.0
143630,3015045.0,-74.012438,100.0,,,2,307.0,40.640926-37028.0
144026,5053757.0,-74.089304,112.01,,,1,502.0,40.582016-44999.0
148050,5055418.0,-74.11442,128.06,,,1,503.0,40.562135-88566.0
140444,5015245.0,-74.088804,39.0,,,1,501.0,40.623191-85842.0
139225,5113098.0,-74.075262,27.0,,,1,501.0,40.625416-55645.0
132422,4166599.0,-73.728917,1621.0,,,3,413.0,40.730205-34367.0
139644,5015231.0,-74.093111,39.0,,,1,501.0,40.621895-94128.0
140463,5023792.0,-74.130035,207.02,,,1,501.0,40.637641-76905.0
148423,4287374.0,-73.74788,680.0,,,3,413.0,40.660728-27477.0
138834,5110572.0,-74.088852,39.0,,,1,501.0,40.624352-49966.0
140425,5015241.0,-74.09148,39.0,,,1,501.0,40.622643-53929.0
145240,5109700.0,-74.116329,128.06,,,1,503.0,40.562915-164303.0
145264,3245652.0,-73.95616,610.04,,,2,313.0,40.579067-85317.0
134840,5013872.0,-74.078186,27.0,,,1,501.0,40.624566-93751.0
138432,5015256.0,-74.088858,39.0,,,1,501.0,40.622859-49964.0
150031,4541477.0,-73.719482,1551.03,,,3,413.0,40.750793-nan
140469,4019375.0,-73.918923,97.0,,,3,401.0,40.777219-21415.0
142035,1084717.0,-74.004115,99.03,,,4,104.0,40.755814-1802.0
149224,2086313.0,-73.907383,323.0,,,5,208.0,40.904875-61139.0
148825,5109648.0,-74.116521,128.06,,,1,503.0,40.561866-164299.0
149642,3135079.0,-73.986763,258.0,,,2,311.0,40.614252-51031.0
146436,5052936.0,-74.090335,112.01,,,1,502.0,40.58308-45000.0
140829,5015256.0,-74.088858,39.0,,,1,501.0,40.622859-49964.0
138864,5015214.0,-74.091186,39.0,,,1,501.0,40.623922-53926.0
135236,2087905.0,-73.859801,380.0,,,5,212.0,40.877479-57419.0
149638,5056426.0,-74.110715,128.06,,,1,503.0,40.559062-98844.0
135235,,,,,,5,212.0,nan-57419.0
138880,4.16e+06,-73.779285,1333.0,,,3,408.0,40.731663-6620.0
151623,5035229.0,-74.150715,273.01,,,1,502.0,40.608027-58347.0
144037,3150796.0,-74.033461,44.0,,,2,310.0,40.628836-84775.0
140437,4019162.0,-73.920609,95.0,,,3,401.0,40.774794-65898.0
138435,5015139.0,-74.090728,33.0,,,1,501.0,40.626456-53924.0
128023,1011034.0,-74.003857,77.0,,,4,102.0,40.737814-1259.0
140446,5015246.0,-74.089193,39.0,,,1,501.0,40.623169-85842.0
146041,510967600.00%,-74.115248,128.06,,,1,503.0,40.562376-102697.0
146446,5109655.0,-74.116521,128.06,,,1,503.0,40.561866-88563.0
127226,4208349.0,-73.808956,230.0,,,3,408.0,40.710897-27114.0
146429,,,,,,1,502.0,nan-nan
146425,4455240.0,-73.780517,997.04,,,3,407.0,40.78373-34294.0
148432,5109684.0,-74.116329,128.06,,,1,503.0,40.562915-164303.0
149222,1048078.0,-73.954384,148.02,,,4,108.0,40.780708-3401.0
146030,5067071.0,-74.153972,156.01,,,1,503.0,40.541409-55341.0
134843,4108948.0,-73.813487,1059.0,,,3,407.0,40.774218-20244.0
146051,5056369.0,-74.111644,128.06,,,1,503.0,40.561358-55575.0
149647,3133038.0,-73.995627,250.0,,,2,311.0,40.623409-57873.0
134825,5013890.0,-74.075696,27.0,,,1,501.0,40.624342-98446.0
131228,2059496.0,-73.853979,388.0,,,5,212.0,40.879119-100590.0
143224,4294578.0,-73.842231,892.01,,,3,410.0,40.65017-32954.0
145642,5053735.0,-74.088484,112.01,,,1,502.0,40.58307-85632.0
149236,4244091.0,-73.731228,600.0,,,3,413.0,40.694756-80317.0
138829,5095197.0,-74.08822,33.0,,,1,501.0,40.625384-49966.0
140828,5015255.0,-74.089275,39.0,,,1,501.0,40.622834-93945.0
150831,5056426.0,-74.110715,128.06,,,1,503.0,40.559062-98844.0
149245,5.06e+06,-74.115088,128.06,,,1,503.0,40.561415-88564.0
148039,5109668.0,-74.115248,128.06,,,1,503.0,40.562376-88553.0
150451,1081585.0,-73.963936,189.0,,,4,107.0,40.798818-23429.0
145630,,,,,,1,502.0,nan-nan
144422,5053756.0,-74.089441,112.01,,,1,502.0,40.582087-44999.0
138459,5015218.0,-74.092029,39.0,,,1,501.0,40.623737-85841.0
150822,1002083.0,-74.010058,39.0,,,4,101.0,40.718971-448.0
148459,2004751.0,-73.900324,151.0,,,5,203.0,40.830751-41787.0
142044,4002456.0,-73.923066,181.02,,,3,402.0,40.744999-82362.0
129223,503392000.00%,-74.133895,273.02,,,1,502.0,40.598724-58207.0
149632,4221567.0,-73.771405,402.0,,,3,412.0,40.699879-101532.0
140447,4128851.0,-73.79985,1017.0,,,3,407.0,40.780164-27026.0
148030,5109701.0,-74.116329,128.06,,,1,503.0,40.562915-164303.0
146452,5055474.0,-74.113604,128.06,,,1,503.0,40.560972-90288.0
146034,5109696.0,-74.116329,128.06,,,1,503.0,40.562915-164303.0
146025,4616756.0,-73.780447,997.04,,,3,407.0,40.784084-101117.0
145640,5053746.0,-74.089013,112.01,,,1,502.0,40.582551-85632.0
