location,width,nta,:@computed_region_92fq_4b7q
"{'type': 'Point', 'coordinates': [-73.94404777028993, 40.67829561612317]}",,BK61 /,49
"{'type': 'Point', 'coordinates': [-73.9854775259179, 40.71818522952839]}",,MN28 /,32
"{'type': 'Point', 'coordinates': [-73.9914387172198, 40.76131004712333]}",4.0,Hell's Kitchen,10
"{'type': 'Point', 'coordinates': [-74.08963997805915, 40.623319135480116]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.11103422602064, 40.55995928315075]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.09203702852875, 40.624578661039386]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.1232788388218, 40.57663062761298]}",,SI24 /,14
"{'type': 'Point', 'coordinates': [-74.11211808489698, 40.560553394165126]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-73.9478911609905, 40.7215155842919]}",10.0,BK76 /,38
"{'type': 'Point', 'coordinates': [-73.92184482381532, 40.7366180171856]}",,Sunnyside,33
"{'type': 'Point', 'coordinates': [-74.08910665456217, 40.58224373973968]}",,SI36 /,14
"{'type': 'Point', 'coordinates': [-74.09089225405836, 40.622575895161475]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.15942834919164, 40.54441073512534]}",,SI54 /,9
"{'type': 'Point', 'coordinates': [-74.02141975257996, 40.62995888303065]}",,Bay Ridge,44
"{'type': 'Point', 'coordinates': [-73.77480927194588, 40.765274155325486]}",,Bayside,20
"{'type': 'Point', 'coordinates': [-74.11055336098178, 40.560579928735514]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.09268896943021, 40.62347651206176]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.09136917073828, 40.62552156543858]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.08862321202056, 40.62551243501017]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-73.73136542417802, 40.694699957781985]}",,Cambria Heights,6
"{'type': 'Point', 'coordinates': [-74.09088915089224, 40.623200894868276]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.11331516859383, 40.56217808093666]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.09132246326845, 40.62207770544644]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.11172833712516, 40.56124176331927]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.1134613753895, 40.56226847642093]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.00852245436364, 40.63031857379758]}",32.0,BK30 /,7
"{'type': 'Point', 'coordinates': [-74.11647195913373, 40.56343176959949]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.09291469671265, 40.62341071101279]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.09258013198148, 40.6242463390066]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.08891600196826, 40.622682378638636]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-73.95593255139906, 40.65512613005408]}",,BK60 /,11
"{'type': 'Point', 'coordinates': [-74.13387034324204, 40.598860458231755]}_",,SI05 /,14
"{'type': 'Point', 'coordinates': [-74.09125575758118, 40.62334045333577]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.18273562955444, 40.595472331882895]}",,SI05 /,14
"{'type': 'Point', 'coordinates': [-74.08903017746957, 40.622678333199126]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.11259450863069, 40.56113128806713]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.02354099907215, 40.61842771396618]}",3.0,Bay Ridge,44
"{'type': 'Point', 'coordinates': [-73.95102448407135, 40.78425308283357]}",,Upper East Side-Carnegie Hill,1
"{'type': 'Point', 'coordinates': [-74.1145378564894, 40.557607844565574]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-73.95286996860511, 40.687503182912664]}",8.0,BK75 /,49
"{'type': 'Point', 'coordinates': [-73.97095670981699, 40.79005625330643]}",,Upper West Side (Central),19
"{'type': 'Point', 'coordinates': [-74.09153794038129, 40.62202619730196]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.09251991997198, 40.62195452979514]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.09304550232619, 40.624150601223015]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-73.72906736942895, 40.70227215122271]}",,Cambria Heights,6
"{'type': 'Point', 'coordinates': [-74.14279056441075, 40.60967055408966]}",,SI07 /,14
"{'type': 'Point', 'coordinates': [-74.07800755345163, 40.62416786071988]}",,SI37 /,13
"{'type': 'Point', 'coordinates': [-73.73656089256534, 40.73694285000424]}",,Bellerose,16
"{'type': 'Point', 'coordinates': [-73.93942577877512, 40.65560434478841]}",25.0,BK91 /,17
"{'type': 'Point', 'coordinates': [-74.08929481590557, 40.62266336268375]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-73.96474481232734, 40.804278981082376]}",,Morningside Heights,23
"{'type': 'Point', 'coordinates': [-74.08881990325621, 40.582812222417054]}",,SI36 /,14
"{'type': 'Point', 'coordinates': [-73.94414306357055, 40.62804196116052]}",14.0,BK58 /,26
"{'type': 'Point', 'coordinates': [-73.91186342810924, 40.637707682225965]}",18.0,Canarsie,8
"{'type': 'Point', 'coordinates': [-73.73866981057843, 40.720309316158435]}",,Queens Village,16
"{'type': 'Point', 'coordinates': [-74.0922300974293, 40.6231634441142]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.07837380056175, 40.62407653943668]}",,SI37 /,13
"{'type': 'Point', 'coordinates': [-74.11336060725043, 40.55813424803429]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.11738366190983, 40.56252990017468]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.0879479518734, 40.5821832798977]}",,SI36 /,14
"{'type': 'Point', 'coordinates': [-73.7805349993451, 40.784313104774775]}",,Bay Terrace-Clearview,20
"{'type': 'Point', 'coordinates': [-73.975646827359, 40.63329533413851]}",19.0,BK41 /,18
"{'type': 'Point', 'coordinates': [-74.07317813096272, 40.5933452471582]}",,SI36 /,14
"{'type': 'Point', 'coordinates': [-73.82593109002597, 40.684114236653066]}",,South Ozone Park,46
"{'type': 'Point', 'coordinates': [-74.09346330458008, 40.62316522039515]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.09276597429051, 40.62421737574464]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.11330582291524, 40.56113240299107 ]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.09100182676453, 40.62570560630179]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-73.95392471530903, 40.704145242912034]}",15.0,BK72 /,38
"{'type': 'Point', 'coordinates': [-73.89871149913677, 40.70228174544358]}",,Ridgewood,34
"{'type': 'Point', 'coordinates': [-74.11271565620484, 40.560921017477234]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.11643084222416, 40.562110332603204]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.03471787274619, 40.632370904342075]}",25.0,Bay Ridge,44
"{'type': 'Point', 'coordinates': [-74.11153234149279, 40.56009709146789]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.13088024029413, 40.60672684318438]}",,SI05 /,13
"{'type': 'Point', 'coordinates': [-74.11167305781521, 40.56017736908107]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.11568189962564, 40.56170008274342]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-73.77856467569248, 40.74961118217812]}",,QN46 /,3
"{'type': 'Point', 'coordinates': [-74.11364396072682, 40.56041697683005]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.13091988299742, 40.63565275797661]}",,SI28 /,13
"{'type': 'Point', 'coordinates': [-73.81981293609819, 40.785619840606714]}",,Whitestone-Beechhurst,20
"{'type': 'Point', 'coordinates': [-74.13065932987487, 40.63635625072266]}",,SI28 /,13
"{'type': 'Point', 'coordinates': [- 74.19959361238105, 40.52773017445136]}",,SI01 /,9
"{'type': 'Point', 'coordinates': [-74.07730413396833, 40.623602652571186]}",,SI37 /,13
"{'type': 'Point', 'coordinates': [-73.88926032344631, 40.77140012908519]}",,Astoria (North)-Ditmars-Steinway,4
"{'type': 'Point', 'coordinates': [-74.07580537422892, 40.60869052920071]}",,/,13
"{'type': 'Point', 'coordinates': [-74.0771147016648, 40.62454753195766]}",,SI37 /,13
"{'type': 'Point', 'coordinates': [-74.09227561827517, 40.62253031432511]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.0772220794285, 40.62362832062771]}",,SI37 /,13
"{'type': 'Point', 'coordinates': [-74.11143618379555, 40.56004119297413]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.09222328356509, 40.62296826624403]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.09279130749073, 40.621846193103714]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.07320132874216, 40.59312245582685]}",,SI36 /,14
"{'type': 'Point', 'coordinates': [-74.11525904675699, 40.56151704421786]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.07737610190178, 40.62435055876708]}",,SI37 /,13
"{'type': 'Point', 'coordinates': [-73.96847337994089, 40.69107265286905]}",,BK69 /,48
"{'type': 'point', 'coordinates': [-74.13102204411233, 40.60128403498094]}",,SI05 /,13
"{'type': 'Point', 'coordinates': [-74.112579299232, 40.55986273088687]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-73.92220496831976, 40.608102950737354]}",12.0,BK45 /,8
"{'type': 'Point', 'coordinates': [-74.00286617258807, 40.633250318259556]}",25.0,Borough Park,7
"{'type': 'Point', 'coordinates': [-73.78624612108725, 40.71298921750829]}",,/,24
"{'type': 'Point', 'coordinates': [-74.07588581862021, 40.62413771112343]}",,SI37 /,13
"{'type': 'Point', 'coordinates': [-73.95774859334168, 40.6610704653462]}",,/,11
"{'type': 'Point', 'coordinates': [-74.1155571081607, 40.562619765810425]}",,SI25 /,14
"{'type': 'Point', 'coordknates': [-74.11412222024394, 40.561493974753674]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.09140954614831, 40.62227946599109]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-73.93794424191528, 40.8194085915651]}",,Harlem (North),36
"{'type': 'Point', 'coordinates': [-74.11331637510902, 40.55791370958507]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-73.9017383809553, 40.69885065097627]}",,QN20 /,30
"{'type': 'Point', 'coordinates': [-74.08962509427217, 40.58256773165027]}",,/,14
"{'type': 'Point', 'coordinates': [-74.11121105102922, 40.55921612180123]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.11097159475572, 40.560814215767046]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-73.9043721242937, 40.74435840812778]}",,Woodside,33
"{'type': 'Point', 'coordinates': [-74.0887042321704, 40.62336717522241]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.0783517025109, 40.62437200273575]}",,SI37 /,13
"{'type': 'Point', 'coordinates': [-73.98045838845547, 40.638632739378934]}",18.0,Borough Park,27
"{'type': 'Point', 'coordinates': [-74.09262366132901, 40.62181819931718]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-73.9476624254221, 40.788713247814194]}",,East Harlem (South),35
"{'type': 'Point', 'coordinates': [-74.00191607825963, 40.735774874065264]}",,MN23 /,10
"{'type': 'Point', 'coordinates': [-74.13102279372188, 40.6363859703648]}",,SI28 /,13
"{'type': 'Point', 'coordinates': [-74.09007158123723, 40.582865452122995]}",,SI36 /,14
"{'type': 'Point', 'coordinates': [-74.08943734120031, 40.623450649911675]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-73.98764098178188, 40.762869801576585]}",,Hell's Kitchen,10
"{'type': 'Point', 'coordinates': [-74.11518674294362, 40.561869103680124]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.08855811267337, 40.6252219255283]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-73.9642224369138, 40.798974187949696]}",,Upper West Side-Manhattan Valley,23
"{'type': 'Point', 'coordinates': [-74.11631368427216, 40.563591567508674]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.11686604031308, 40.56323182226174]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-73.73655346033496, 40.73704369454392]}",,Bellerose,16
"{'type': 'Point', 'coordinates': [-73.85032571067795, 40.7850842458455]}",,College Point,20
"{'type': 'Point', 'coordinates': [-74.00507264570426, 40.75640868943502]}",,Chelsea-Hudson Yards,10
"{'type': 'Point', 'coordinates': [-73.8597984565339, 40.877462155538886]}",,/,2
"{'type': 'Point', 'coordinates': [-73.93731215927733, 40.67626310818809]}",,BK61 /,49
"{'type': 'Point', 'coordinates': [-73.98708633471605, 40.576455545596225]}",,BK21 /,45
"{'type': 'Point', 'coordinates': [-73.98960370148883, 40.71775180787]}",,MN27 /,32
"{'type': 'Point', 'coordinates': [-73.92406626445762, 40.655641606834564]}",,BK96 /,17
"{'type': 'Point', 'coordinates': [-73.91830243503702, 40.67751182201895]}",10.0,BK79 /,17
"{'type': 'Point', 'coordinates': [-74.0891591626247, 40.62349102401261]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.12852099780164, 40.606829471645284]}",,SI05 /,13
"{'type': 'Point', 'coordinates': [-74.11041811842095, 40.56050321846235]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-73.95575237109102, 40.76852650077568]}",,Upper East Side-Lenox Hill-Roosevelt Island,1
"{'type': 'Point', 'coordinates': [-73.92350146112025, 40.613914027890516]}",30.0,Marine Park-Mill Basin-Bergen Beach,8
"{'type': 'Point', 'coordinates': [-74.07822897893894, 40.60256305081321]}",,SI14 /,14
"{'type': 'Point', 'coordinates': [-73.95367820807833, 40.57635589328414]}",,BK19 /,15
"{'type': 'Point', 'coordinates': [-74.07803985721192, 40.624274096545264]}",,SI37 /,13
"{'type': 'Point', 'coordinates': [-74.19788252734863, 40.54910022055924]}",,SI48 /,9
"{'type': 'Point', 'coordinates': [-73.94345382501102, 40.68559352423392]}",16.0,BK75 /,49
"{'type': 'Point', 'coordinates': [-74.07677553090679, 40.62464842533382]}",,SI37 /,13
"{'type': 'Point', 'coordinates': [-73.93628600706546, 40.65168723906904]}",16.0,BK91 /,17
"{'type': 'Point', 'coordinates': [-74.11566477521865, 40.561079077112936]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.09101338639557, 40.62595404482524]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.15332086893842, 40.551934117500956]}",,SI54 /,9
"{'type': 'Point', 'coordinates': [-73.92276224665481, 40.625044741531774]}",14.0,Flatlands,8
"{'type': 'Point', 'coordinates': [-74.09287423255701, 40.5930125960127]}",,SI36 /,14
"{'type': 'Point', 'coordinates': [-74.0886212539532, 40.624340162809716]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.11356147856115, 40.56128583124129]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-73.99132826793773, 40.76126417420372]}",4.0,Hell's Kitchen,10
"{'type': 'Point', 'coordinates': [-73.73874539768714, 40.65568886901168]}",,Rosedale,47
"{'type': 'Point', 'coordinates': [-74.13081967432801, 40.60130273115864]}",,SI05 /,13
"{'type': 'Point', 'coordinates': [-74.11699123684147, 40.56291659014442]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.16056054917608, 40.592153311629076]}",,SI24 /,9
"{'type': 'Point', 'coordinates': [-74.11641458314467, 40.56367366602907]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-73.7786034211466, 40.74969203255695]}",,QN46 /,3
"{'type': 'Point', 'coordinates': [-73.96302816669404, 40.5926824181899]}",26.0,Gravesend (East)-Homecrest,45
{''[4,,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.11445433484444, 40.56182580567887]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.07488554975724, 40.62513555377968]}",,SI37 /,13
"{'type': 'Point', 'coordinates': [-74.12332258137972, 40.60160646792269]}",,SI05 /,14
"{'type': 'Point', 'coordinates': [-74.0912604684247, 40.62433671825038]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.11402977391822, 40.560530732200874]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-73.81783755242897, 40.72021894397719]}",,Kew Gardens Hills,24
"{'type': 'Point', 'coordinates': [-73.93449503373022, 40.66620638094881]}",26.0,BK61 /,48
"{'type': 'Point', 'coordinates': [-74.0894989481123, 40.62333742674766]}",,SI08 /,13
{''[4,,Howard Beach-Lindenwood,41
"{'type': 'Point', 'coordinates': [-74.1127178534061, 40.56182067521128]}",,SI45 /,14
"{'type': 'Point', 'coordinates': [-73.95992774618766, 40.681951391969015]}",4.0,BK69 /,49
"{'type': 'Point', 'coordinates': [-74.1251519631956, 40.6144426115781]}",,SI07 /,14
"{'type': 'Point', 'coordinates': [-74.11424909633843, 40.560785091336726]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.07883520391414, 40.624033313147685]}",,SI37 /,13
"{'type': 'Point', 'coordinates': [-73.91251440539719, 40.63703663147764]}",,Canarsie,8
"{'type': 'Point', 'coordinates': [-74.0886693607996, 40.58201609811276]}",,SI36 /,14
"{'type': 'Point', 'coordinates': [-73.92176307810891, 40.736878260416916]}",,Sunnyside,33
