address_1,latitude,longitude,hospital_general_medical_2,electricity_use_grid_purchase_1,generation_date,weather_normalized_site,k_12_school_gross_floor_area,stadium_closed_gross_floor,manufacturing_industrial,primary_property_type_self,electricity_use_generated,occupancy,municipally_supplied_potable_3,nyc_borough_block_and_lot,date_property_last_modified,refrigerated_warehouse_gross,hospital_general_medical_8,outpatient_rehabilitation,financial_office_number_of,hospital_general_medical_4,hospital_general_medical_14,water_use_all_water_sources,fitness_center_health_club,nta,national_median_reference,district_steam_cost,pre_school_daycare_gross,bank_branch_gross_floor_area,community_board,office_percent_that_can_be,food_service_gross_floor,indoor_water_use_all_water,other_number_of_workers_on,convenience_store_with_gas,fuel_oil_2_use_kbtu,estimated_data_flag,retail_store_open_or_closed,national_median_site_eui,hospital_general_medical_12,personal_services_health,weather_normalized_source,roller_rink_gross_floor_area,indoor_arena_gross_floor,social_meeting_hall_gross,multifamily_housing_percent,hospital_general_medical_1,urgent_care_clinic_other,worship_facility_gross_floor
2612 W 2 ST PLPM,40.585708,-73.971212,Not Available,1006742.7,2014-05-01T11:03:41.000,139710.7,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,3072340001,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Gravesend,,Not Available,Not Available,Not Available,313.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,91.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1160 Third Avenue,40.766971,-73.962639,Not Available,1191488.1,2014-05-01T23:04:29.000,217691.4,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1014027501,02/06/2014 06:32 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5601.6,Not Available,Upper East Side-Carnegie Hill,,Not Available,Not Available,Not Available,108.0,Not Available,Not Available,5601.6,Not Available,Not Available,0,No,0,Not Available,Not Available,Not Available,174.7,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
82 Wall Street,40.705415,-74.007729,Not Available,1237434.1,2014-04-30T11:37:15.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,25,Not Available,1000390001,04/25/2014 06:50 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Battery Park City-Lower Manhattan,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,101.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,143.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
920 Riverside Drive,40.838824,-73.945635,Not Available,1081871.8,2014-04-30T10:00:36.000,53976,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1-02136-0210,04/03/2014 12:37 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Washington Heights South,,Not Available,Not Available,Not Available,112.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,107.7,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
13620 Roosevelt Ave,40.759785,-73.829236,Not Available,22442450.5,2014-04-30T15:47:51.000,317999.9,Not Available,Not Available,Not Available,Retail Store,Not Available,100,Not Available,4050190005,02/10/2014 01:08 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Flushing,"PBA PLUS - 42, Retail store",Not Available,Not Available,Not Available,407.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,121.4,Not Available,Not Available,620.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
327 Central Park West,40.789792,-73.966491,Not Available,2365698.9,2014-04-29T14:45:40.000,2087.4,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1-01206-7501,03/31/2014 08:04 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5623.1,Not Available,Upper West Side,,Not Available,Not Available,Not Available,107.0,Not Available,Not Available,5623.1,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,150.5,Not Available,Not Available,Not Available,2,Not Available,Not Available,Not Available
174 Hudson Street,40.722374,-74.00815,Not Available,2700574.1,2014-05-06T13:09:23.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0,1002200031,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,561.1,Not Available,SoHo-TriBeCa-Civic Center-Little Italy,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,101.0,100,Not Available,561.1,Not Available,Not Available,Not Available,No,Not Available,70.9,Not Available,Not Available,163.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
785 Fifth Avenue,40.764627,-73.972745,Not Available,5468357.8,2014-05-01T23:04:17.000,721.1,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1013740069,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Upper East Side-Carnegie Hill,,132726.5024,Not Available,Not Available,108.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,118.8,Not Available,Not Available,Not Available,15,Not Available,Not Available,Not Available
3130 Grand Concourse,40.875123,-73.886286,Not Available,2843228.5,2014-04-28T10:15:43.000,5941.8,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,2-03311-7501,04/17/2014 10:00 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bedford Park-Fordham North,,Not Available,Not Available,Not Available,207.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
22-24 78th Street,40.768051,-73.89144,Not Available,1403267.6,2014-04-29T14:02:57.000,55708.7,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,4010077501,04/29/2014 10:01 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Steinway,,Not Available,Not Available,Not Available,401.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,113.3,Not Available,Not Available,Not Available,29.12,Not Available,Not Available,Not Available
1919 Williamsbridge Road,40.852799,-73.853325,Not Available,1477692.8,2014-04-30T13:41:52.000,19641,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,2-03037-0025,04/28/2014 10:48 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14000.1,Not Available,Pelham Parkway,,Not Available,Not Available,Not Available,211.0,Not Available,Not Available,14000.1,1,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,164.9,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
257 West 86th Street,40.788559,-73.977065,Not Available,1226278.9,2014-05-01T23:04:00.000,2242.7,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1012340007,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Upper West Side,,Not Available,Not Available,Not Available,107.0,Not Available,Not Available,Not Available,Not Available,Not Available,3603925.7,No,Not Available,Not Available,Not Available,Not Available,111.2,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
220 Riverside Boulevard,40.77969,-73.987882,Not Available,21646553.7,2014-04-30T18:56:18.000,388511.1,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1011717502,02/06/2014 06:31 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,21229.3,Not Available,Lincoln Square,,Not Available,Not Available,Not Available,107.0,Not Available,Not Available,21229.3,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,136.9,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
350 E 77 Street,40.771508,-73.95482,Not Available,1060360.5,2014-04-30T13:50:15.000,2009.5,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1014510031,04/15/2014 07:32 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Lenox Hill-Roosevelt Island,,Not Available,Not Available,Not Available,108.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,133.8,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
44 West 62nd Street,40.770755,-73.98262,Not Available,5933891.1,2014-05-01T23:04:52.000,3798.4,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1011140061,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Lincoln Square,,344854.8923,Not Available,Not Available,107.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,164.2,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
730 Third Avenue,40.753104,-73.972757,Not Available,39881844.4,2014-05-01T09:40:38.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1013000033,11/13/2013 05:33 AM EST,Not Available,Not Available,Not Available,20,Not Available,Not Available,14803.9,Not Available,Turtle Bay-East Midtown,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,106.0,100,Not Available,Not Available,14,Not Available,Not Available,No,Not Available,135.7,Not Available,Not Available,235.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
250 West 24th Street,40.745378,-73.996651,Not Available,1604502.6,2014-04-29T14:45:42.000,2139.2,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1-00773-0012,03/31/2014 02:41 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,,Not Available,Not Available,Not Available,104.0,Not Available,Not Available,Not Available,Not Available,Not Available,7661980.3,No,Not Available,Not Available,Not Available,Not Available,173.2,Not Available,Not Available,Not Available,5,Not Available,Not Available,Not Available
315 Hudson St,40.72631,-74.00749,Not Available,19413113.1,2014-04-21T16:09:44.000,46.9,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1005970012,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,SoHo-TriBeCa-Civic Center-Little Italy,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,102.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,77.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
84-09 35th Avenue,40.75201,-73.882634,Not Available,1133211.5,2014-04-07T11:36:26.000,62941.2,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,4014450034,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Jackson Heights,,Not Available,Not Available,Not Available,403.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,125.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
121 EAST 24TH STREET,40.740448,-73.984894,Not Available,2025008.4,2014-04-29T12:14:58.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1008800014,03/28/2014 12:57 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Gramercy,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,100.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
130 Jane Street,40.738137,-74.009093,Not Available,1230853.4,2014-04-30T13:50:25.000,26892.1,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1006410010,02/06/2014 06:32 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1355.6,Not Available,West Village,,Not Available,Not Available,Not Available,102.0,Not Available,Not Available,1355.6,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,131,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
282 Lafayette Ave,40.688353,-73.964511,Not Available,4454707.2,2014-04-29T09:40:11.000,Not Available,136000,Not Available,Not Available,K-12 School,Not Available,100,0,3-01947-0001,04/22/2014 10:32 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,291,Not Available,Clinton Hill,"CBECS combination - 4, K12",Not Available,Not Available,Not Available,302.0,Not Available,Not Available,291,Not Available,Not Available,Not Available,No,Not Available,62.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
209 East 23rd Street,40.738642,-73.982679,Not Available,Not Available,2014-05-01T16:19:03.000,Not Available,Not Available,Not Available,Not Available,College/University,Not Available,100,Not Available,1009040007,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Gramercy,"PBA PLUS - 27, College/university",Not Available,Not Available,Not Available,106.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
175 lawrence avenue,40.6308,-73.973311,Not Available,3335902.2,2014-05-16T12:23:01.000,37844.6,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,Not Available,09/15/2013 04:31 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Flatbush,CBECS - Office & Bank/Financial,Not Available,Not Available,Not Available,314.0,89.29,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,108.8,Not Available,Not Available,137.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
11 Madison Avenue,40.741617,-73.987449,Not Available,Not Available,2014-05-01T12:16:56.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1008547501,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,"CBECS combination - 2, Bank_LG+Office",1414799.126,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
85-09 151st Ave,40.668248,-73.849372,Not Available,2942435.1,2014-04-28T18:04:25.000,126213,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,4114177501,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1020.1,Not Available,Lindenwood-Howard Beach,,Not Available,Not Available,Not Available,410.0,Not Available,Not Available,1020.1,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,117.1,Not Available,Not Available,Not Available,25,Not Available,Not Available,Not Available
1840 Grand Concourse,40.848054,-73.907271,Not Available,1124212.4,2014-04-30T06:38:26.000,4047,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,2-02801-0001,04/29/2014 12:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2693.7,Not Available,Mount Hope,,Not Available,Not Available,Not Available,205.0,Not Available,Not Available,2693.7,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,162.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
55 E 59th Street,40.763336,-73.970789,Not Available,17861065.9,2014-05-01T13:41:14.000,15624.7,Not Available,Not Available,Not Available,Office,Not Available,100,0,1-01374-7501,04/29/2014 01:15 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5568.5,Not Available,Upper East Side-Carnegie Hill,"CBECS combination - 2, Bank_LG+Office",47711.1025,Not Available,Not Available,108.0,100,Not Available,5568.5,Not Available,Not Available,Not Available,No,0,100,Not Available,Not Available,207.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
165 Broadway,40.709589,-74.010186,Not Available,193330436.9,2014-04-25T11:35:45.000,15373.7,Not Available,Not Available,Not Available,Office,Not Available,95,0,1-00062-7501,01/10/2014 06:08 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,42439.7,Not Available,Battery Park City-Lower Manhattan,"CBECS combination - 2, Bank_LG+Office",2133719.836,Not Available,Not Available,101.0,100,Not Available,42142.3,Not Available,Not Available,Not Available,No,0,174.4,Not Available,Not Available,307.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
71 WEST 23RD STREET,40.742441,-73.991667,Not Available,17362316.8,2014-04-28T14:48:07.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1008250001,03/19/2014 12:13 PM EDT,Not Available,Not Available,Not Available,10,Not Available,Not Available,4704,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,1.71914,112.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
225 Park Ave South,40.737366,-73.988424,Not Available,33275994,2014-04-18T14:21:52.000,64582.4,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1008740001,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,23183,Not Available,Gramercy,"CBECS combination - 2, Bank_LG+Office",0,Not Available,10000,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,123,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
70 Little West Street,40.70706,-74.016519,Not Available,Not Available,2014-05-01T14:06:26.000,424954.5,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1-00016-7517,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Battery Park City-Lower Manhattan,,Not Available,Not Available,Not Available,101.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
50 ARLO RD ENT,40.619938,-74.092171,Not Available,74311.7,2014-05-01T11:03:44.000,24369.7,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,5005950015,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Grymes Hill-Clifton-Fox Hills,,Not Available,Not Available,Not Available,501.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,126.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
320 East 43rd Street,40.750156,-73.970935,Not Available,13084972.2,2014-04-29T14:50:04.000,4397,Not Available,Not Available,Not Available,Office,Not Available,100,0,1-01335-0005,04/29/2014 10:48 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1342,Not Available,Turtle Bay-East Midtown,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,106.0,100,Not Available,1342,Not Available,Not Available,Not Available,No,Not Available,63.6,Not Available,Not Available,181.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
401-409 East 110th street,40.792132,-73.938046,Not Available,5391369.4,2014-04-24T14:53:49.000,14918.3,Not Available,Not Available,Not Available,Self-Storage Facility,Not Available,100,0,1-01704-0001,04/17/2014 12:41 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,268.2,Not Available,East Harlem South,"PBA - 5, Nonrefrigerated warehouse",Not Available,Not Available,Not Available,111.0,Not Available,Not Available,268.2,0,Not Available,Not Available,No,Not Available,17.8,Not Available,Not Available,82.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
220 West 19 Street,40.742093,-73.998528,Not Available,3817874.5,2014-05-01T12:16:57.000,27909.2,Not Available,Not Available,Not Available,Office,Not Available,100,0.1886724,1007680050,12/19/2013 06:55 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1921.7,17500,Hudson Yards-Chelsea-Flatiron-Union Square,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,104.0,100,Not Available,1921.7,Not Available,Not Available,Not Available,No,Not Available,103.8,Not Available,Not Available,134.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1461 SHORE PKWY PLPM,40.598335,-74.005315,Not Available,1304622.6,2014-05-01T11:03:39.000,52185.8,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,3064680016,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bath Beach,,Not Available,Not Available,Not Available,311.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,110.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
