location_code,geographical_district_code,y_coordinate,nta,fiscal_year,status_descriptions,administrative_district_name,primary_building_code,nta_name,longitude,primary_address_line_1
K681,16,191221,BK35,2020,Open,COMMUNITY SCHOOL DISTRICT 16,K026,Stuyvesant Heights,-73.9317,1014 LAFAYETTE AVENUE
M085,5,236932,MN03,2020,Open,OFFICE OF CHARTER SCHOOLS,M838,Central Harlem North-Polo Grounds,-73.934951,2350 5TH AVENUE
K245,22,174243,BK42,2020,Open,COMMUNITY SCHOOL DISTRICT 22,K735,Flatbush,-73.962743,249 EAST 17TH STREET
K253,21,150675,BK19,2020,Open,COMMUNITY SCHOOL DISTRICT 21,K253,Brighton Beach,-73.961962,601 OCEANVIEW AVENUE
M015,1,202349,MN28,2020,Open,COMMUNITY SCHOOL DISTRICT 01,M015,Lower East Side,-73.978747,333 EAST  4 STREET
K344,21,151505,BK23,2020,Open,,K303,West Brighton,-73.972009,521 WEST AVENUE
K676,15,186259,BK33,2020,Open,COMMUNITY SCHOOL DISTRICT 15,K027,Carroll Gardens-Columbia Street-Red Hook,-74.005151,27 HUNTINGTON STREET
K546,17,179253,BK60,2020,Open,,K470,Prospect Lefferts Gardens-Wingate,-73.943839,600 KINGSTON AVENUE
K036,19,179922,BK82,2020,Open,CITYWIDE SPECIAL EDUCATION,K857,East New York,-73.887195,2045 LINDEN BOULEVARD
K035,16,187582,BK35,2020,Open,COMMUNITY SCHOOL DISTRICT 16,K035,Stuyvesant Heights,-73.935891,272 MACDONOUGH STREET
K045,32,189372,BK78,2020,Open,COMMUNITY SCHOOL DISTRICT 32,K045,Bushwick South,-73.91043,84 SCHAEFER STREET
K671,23,181999,BK81,2020,Open,COMMUNITY SCHOOL DISTRICT 23,K263,Brownsville,-73.911279,210 CHESTER STREET
K355,14,196519,BK72,2020,Open,OFFICE OF CHARTER SCHOOLS,K016,Williamsburg,-73.962049,157 WILSON STREET
K770,17,180975,BK96,2020,Open,COMMUNITY SCHOOL DISTRICT 17,K398,Rugby-Remsen Village,-73.927979,60 EAST  94 STREET
K088,15,180026,BK32,2020,Open,COMMUNITY SCHOOL DISTRICT 15,K088,Sunset Park West,-73.988743,544 7TH AVENUE
K213,19,179695,BK82,2020,Open,COMMUNITY SCHOOL DISTRICT 19,K213,East New York,-73.889968,580 HEGEMAN AVENUE
M372,4,228032,MN33,2020,Open,COMMUNITY SCHOOL DISTRICT 04,M117,East Harlem South,-73.942285,240 EAST 109 STREET
K417,13,190511,BK75,2020,Open,OFFICE OF CHARTER SCHOOLS,KAEX,Bedford,-73.950714,600 LAFAYETTE AVENUE
K096,21,160837,BK29,2020,Open,COMMUNITY SCHOOL DISTRICT 21,K096,Bensonhurst East,-73.984985,99 AVENUE P
K463,15,183105,BK37,2020,Open,,K460,Park Slope-Gowanus,-73.97858,237 7 AVENUE
M301,1,205239,MN22,2020,Closed,COMMUNITY SCHOOL DISTRICT 01,M019,East Village,-73.984496,185 1 AVENUE
M383,5,233507,MN03,2020,Open,OFFICE OF CHARTER SCHOOLS,MABT,Central Harlem North-Polo Grounds,-73.937717,70 EAST 129 STREET
K003,13,187864,BK69,2020,Open,COMMUNITY SCHOOL DISTRICT 13,K003,Clinton Hill,-73.955219,50 JEFFERSON AVENUE
M196,1,201469,MN28,2020,Closed,COMMUNITY SCHOOL DISTRICT 01,M188,Lower East Side,-73.9777,442 EAST HOUSTON STREET
M092,5,236178,MN03,2020,Open,COMMUNITY SCHOOL DISTRICT 05,M092,Central Harlem North-Polo Grounds,-73.945838,222 WEST 134 STREET
K182,14,198649,BK73,2020,Open,OFFICE OF CHARTER SCHOOLS,K050,North Side-South Side,-73.960137,183 SOUTH  3 STREET
K372,15,185634,BK37,2020,Open,CITYWIDE SPECIAL EDUCATION,K834,Park Slope-Gowanus,-73.9855,512 CARROLL STREET
M340,2,208489,MN13,2020,Open,COMMUNITY SCHOOL DISTRICT 02,M340,Hudson Yards-Chelsea-Flatiron-Union Square,-73.995534,590 SIXTH AVENUE
K728,21,149485,BK21,2020,Open,,K728,Seagate-Coney Island,-73.985413,2865 WEST 19TH STREET
K910,19,187478,BK83,2020,Open,OFFICE OF CHARTER SCHOOLS,KAKT,Cypress Hills-City Line,-73.867071,396 GRANT AVENUE
M115,6,247547,MN36,2020,Open,COMMUNITY SCHOOL DISTRICT 06,M115,Washington Heights South,-73.93514,586 WEST 177 STREET
K928,15,175322,BK40,2020,Open,OFFICE OF CHARTER SCHOOLS,KAGI,Windsor Terrace,-73.97872,3002 FORT HAMILTON PARKWAY
K533,17,179253,BK60,2020,Closed,,K470,Prospect Lefferts Gardens-Wingate,-73.943839,600 KINGSTON AVENUE
K930,15,173494,BK34,2020,Open,OFFICE OF CHARTER SCHOOLS,KCGR,Sunset Park East,-74.012089,5323 5 AVENUE
K028,16,187116,BK35,2020,Open,COMMUNITY SCHOOL DISTRICT 16,K040,Stuyvesant Heights,-73.921099,265 RALPH AVENUE
M153,6,240403,MN04,2020,Open,COMMUNITY SCHOOL DISTRICT 06,M153,Hamilton Heights,-73.947599,1750 AMSTERDAM AVENUE
