beds,highschool_network_location,location_type_description,principal_phone_number,state_code,census_tract,x_coordinate,Charter with system_code,DOE with system_code
331500860953,,General Academic,718-875-1403,NY,5900,982821,84K730,
332300010327,,General Academic,718-495-7801,NY,92400,1008721,,23K327
332300010747,,General Academic,,NY,90800,1010320,,23K747
310300011404,HS10,Transfer School,212-724-2039,NY,16900,991316,,03M404
331800011566,HS06,General Academic,718-968-4200,NY,95000,1007307,,18K566
310400860849,,General Academic,646-812-9400,NY,19400,1002595,84M335,
331800011642,HS06,General Academic,718-290-8720,NY,99000,1012391,,18K642
307500013370,,Special Education,718-372-3777,NY,35602,992619,,75K370
331900860891,,General Academic,718-927-5540,NY,110400,1015961,84K359,
307500011169,,Special Education,212-348-6140,NY,14802,996548,,75M169
310100010188,,General Academic,212-677-5710,NY,2000,990520,,01M188
310200010151,,General Academic,212-722-5240,NY,14402,998849,,02M151
331700010722,,General Academic,718-467-4501,NY,87600,1001919,,17K722
332300010392,,General Academic,718-498-2491,NY,90000,1007032,,23K392
332100010121,,General Academic,718-377-8845,NY,46400,990226,,21K121
331900860880,,General Academic,718-485-4924,NY,112600,1013844,84K358,
332100010101,,General Academic,718-372-0221,NY,30200,986482,,21K101
310300011307,HS03,General Academic,212-501-1110,NY,15100,988236,,03M307
332200010251,,General Academic,718-251-4110,NY,72200,1005374,,22K251
332200010139,,General Academic,718-282-5254,NY,152200,993724,,22K139
310200010003,,General Academic,212-691-1183,NY,7300,982601,,02M003
331700010241,,General Academic,718-636-4725,NY,21300,995090,,17K241
307900013580,,Alternative,718-636-5770,NY,24900,998907,,79K580
331800011415,HS10,General Academic,718-629-4523,NY,93600,1005836,,18K415
331700010375,,General Academic,718-693-6655,NY,32500,995490,,17K375
332100860949,,General Academic,718-513-6951,NY,35400,992025,84K744,
332200010889,,General Academic,929-397-9171,NY,49200,992295,,22K889
332100011572,HS12,General Academic,718-333-7700,NY,30600,988051,,21K572
333200010123,,General Academic,718-821-4810,NY,44500,1005769,,32K123
310100010370,,General Academic,212-673-9488,NY,3400,988991,,01M370
310600010176,,General Academic,212-569-0290,NY,29100,1005285,,06M176
332000010205,,General Academic,718-236-2380,NY,25600,987917,,20K205
331400010196,,General Academic,718-497-0139,NY,48500,1001055,,14K196
310300010256,,General Academic,212-222-2857,NY,17700,992277,,03M256
333200011556,HS05,General Academic,718-919-4212,NY,39300,1004396,,32K556
333200010274,,General Academic,718-642-5300,NY,39300,1004166,,32K274
310500861088,,General Academic,929-394-1347,NY,21303,997202,84M357,
331700861040,,General Academic,646-790-2121,NY,31701,997687,84K756,
332300010323,,General Academic,718-495-7781,NY,92400,1008863,,23K323
310600010018,,General Academic,917-521-2220,NY,29900,1008662,,06M018
310400010037,,General Academic,212-802-3035,NY,19400,1002595,,04M037
331300010056,,General Academic,718-857-3149,NY,23100,995195,,13K056
331700010091,,General Academic,718-756-0243,NY,80600,1000700,,17K091
310400010007,,General Academic,212-860-5827,NY,19600,1001035,,04M007
310600010028,,General Academic,212-690-3014,NY,23900,1000294,,06M028
310500011362,,General Academic,212-666-1278,NY,20901,996507,,05M362
331500010094,,General Academic,718-435-6034,NY,9800,981809,,15K094
310300011415,HS07,General Academic,212-749-5800,NY,21800,996943,,03M415
310200861043,,General Academic,646-790-2153,NY,12700,986932,84M170,
331500010131,,General Academic,718-431-1960,NY,22400,986124,,15K131
332300010446,,General Academic,718-485-1679,NY,89600,1008247,,23K446
332000010503,,General Academic,718-439-5962,NY,7400,978894,,20K503
331500010516,,General Academic,718-369-8330,NY,8200,981864,,15K516
331600010308,,General Academic,718-571-6960,NY,29300,1002135,,16K308
331700011459,,General Academic,718-564-2451,NY,79400,995768,,17K459
310300010044,,General Academic,917-441-1163,NY,16100,990453,,03M044
310500010036,,General Academic,212-690-5807,NY,19701,996040,,05M036
331800010219,,General Academic,929-397-9566,NY,88600,1005809,,18K219
310200010412,HS04,General Academic,212-691-6119,NY,8300,983634,,02M412
310200011308,HS04,General Academic,212-505-0143,NY,1800,987208,,02M308
331300861079,,General Academic,,NY,1100,987892,84K766,
331700010354,,General Academic,718-774-0362,NY,34300,1001559,,17K354
332000010264,,General Academic,718-630-1650,NY,6000,976076,,20K264
307500013373,,Special Education,718-782-6800,NY,25700,999442,,75K373
310600010325,,General Academic,212-234-1335,NY,22301,997529,,06M325
310500011304,HS04,General Academic,212-694-6020,NY,22102,998878,,05M304
310200010276,,General Academic,212-266-5800,NY,31704,979410,,02M276
307500013004,,Special Education,929-275-3937,NY,107800,1017745,,75K004
331300011509,HS01,General Academic,718-694-8357,NY,1300,987987,,13K509
331400861007,,General Academic,718-635-3294,NY,25700,998792,84K367,
310300010145,,General Academic,212-678-2857,NY,18900,993771,,03M145
331500010447,,General Academic,718-330-9328,NY,3900,989723,,15K447
331300010351,,General Academic,718-399-1061,NY,23100,995195,,13K351
331400010577,,General Academic,718-486-6211,NY,51900,996087,,14K577
333200010151,,General Academic,718-326-6360,NY,43700,1009695,,32K151
310600010178,,General Academic,212-569-0327,NY,28300,1004083,,06M178
333200011549,HS05,General Academic,718-381-7100,NY,43500,1008721,,32K549
331400011434,,General Academic,,NY,51700,997187,,14K434
333200860906,,General Academic,718-453-0425,NY,43100,1006686,84K538,
332100011525,HS06,General Academic,718-258-9283,NY,76800,995593,,21K525
332000010180,,General Academic,718-851-8070,NY,47000,987234,,20K180
331900010661,,General Academic,718-647-0913,NY,117000,1016367,,19K661
331300011419,HS05,General Academic,718-243-9413,NY,1500,988540,,13K419
310300010163,,General Academic,212-678-2854,NY,18500,992980,,03M163
310400861046,,General Academic,212-348-2518,NY,17401,998513,84M168,
331400010050,,General Academic,718-387-4184,NY,52300,995301,,14K050
331600011669,HS10,Transfer School,718-804-6800,NY,27100,1003221,,16K669
310300010247,,General Academic,212-496-1050,NY,16100,990453,,03M247
310200010150,,General Academic,212-732-4392,NY,3900,981234,,02M150
331900010678,,General Academic,718-257-4061,NY,116400,1017780,,19K678
331800011585,,General Academic,718-968-4200,NY,95000,1007361,,22K585
310600010223,,General Academic,212-281-5028,NY,21703,997732,,06M223
310400860919,,General Academic,212-722-0232,NY,16400,999452,84M382,
332200011453,,General Academic,,NY,62600,1001848,,22K453
307500013721,,Special Education,718-996-8199,NY,30800,989270,,75K721
331700010249,,General Academic,718-282-8828,NY,50600,993558,,17K249
331700861094,,General Academic,,NY,79400,996043,84K886,
310400010101,,General Academic,212-860-5890,NY,17200,999604,,04M101
310200010347,,General Academic,917-326-6609,NY,6400,989424,,02M347
331300011499,HS05,General Academic,718-789-2258,NY,30500,994891,,13K499
310600011346,HS07,General Academic,212-342-6600,NY,24100,1000218,,06M346
331600011455,HS05,General Academic,718-467-1700,NY,27100,1003221,,16K455
331700010399,,General Academic,718-693-3023,NY,82400,997663,,17K399
331600010534,,General Academic,718-574-6032,NY,28100,1000681,,16K534
331800011576,HS06,General Academic,718-968-1530,NY,95000,1007307,,18K576
331300011595,HS05,General Academic,718-398-3061,NY,24300,997093,,13K595
331600861095,,General Academic,,NY,28100,1000681,84K883,
307900013612,,Alternative,212-889-7567,NY,7400,988468,,79K612
331700011600,HS06,Career Technical,718-636-4900,NY,21300,995155,,17K600
331300861039,,General Academic,646-790-2137,NY,21100,990876,84K752,
331300861077,,General Academic,,NY,227,996223,84K879,
331500011698,HS10,Transfer School,718-237-8902,NY,5300,980298,,15K698
331900011659,HS05,General Academic,718-647-1672,NY,118000,1020493,,19K659
331800010068,,General Academic,718-241-4800,NY,95600,1008892,,18K068
331900010662,,General Academic,718-647-1301,NY,117000,1016367,,19K662
331400010031,,General Academic,718-383-8998,NY,56100,996961,,14K031
310500861001,,General Academic,212-316-7602,NY,22400,998395,84M065,
332100010281,,General Academic,718-996-6706,NY,30400,986037,,21K281
310200010397,,General Academic,212-266-4800,NY,1501,982855,,02M397
331600010026,,General Academic,718-919-5707,NY,29100,1003152,,16K026
310400010057,,General Academic,212-876-5522,NY,18200,1000420,,04M057
332300010332,,General Academic,718-495-7805,NY,90800,1010320,,23K332
310600861073,,General Academic,646-558-0027,NY,27300,1002079,84M265,
332200011555,HS03,General Academic,718-853-6184,NY,50400,991933,,22K555
331600010628,,General Academic,718-573-2307,NY,27300,1002031,,16K628
331300011674,HS03,Career Technical,718-875-1473,NY,1300,988103,,13K674
331300011336,HS01,General Academic,718-783-4842,NY,26900,999338,,13K336
331500011464,HS05,General Academic,718-832-4300,NY,15500,990192,,15K464
331900010218,,General Academic,718-647-9050,NY,111800,1019054,,19K218
331800010066,,General Academic,718-922-3505,NY,97000,1010039,,18K066
307500013368,,Special Education,718-388-9494,NY,25700,998792,,75K368
310500010125,,General Academic,212-666-6400,NY,20901,996507,,05M125
333200010383,,General Academic,718-574-0390,NY,43100,1006686,,32K383
333200011551,HS01,Career Technical,718-381-7100,NY,43500,1008721,,32K551
310400861081,,General Academic,212-328-9370,NY,16800,997716,84M204,
332000010102,,General Academic,718-748-7404,NY,6800,976268,,20K102
332100011468,HS03,General Academic,718-333-7850,NY,30600,988051,,21K468
331700011544,HS06,General Academic,718-467-7400,NY,81000,999832,,17K544
331500010169,,General Academic,718-853-3224,NY,9200,983778,,15K169
331500861011,,General Academic,718-280-9556,NY,150200,989071,84K758,
310600010132,,General Academic,212-927-7857,NY,27100,1002519,,06M132
331900011639,HS05,General Academic,718-235-3592,NY,118000,1020493,,19K639
332200010890,,General Academic,929-397-9200,NY,49200,992295,,22K890
331700010587,,General Academic,718-773-3343,NY,87600,1001919,,17K587
331700861027,,General Academic,718-989-6702,NY,30500,995319,84K333,
331900010760,,General Academic,718-235-1785,NY,118400,1020461,,19K760
310400010083,,General Academic,212-860-5847,NY,18000,1000322,,04M083
310300010333,,General Academic,212-222-1450,NY,17700,992277,,03M333
332000010682,,General Academic,718-621-2730,NY,42800,987949,,20K682
331900860972,,General Academic,718-495-5620,NY,113400,1012477,84K769,
331400011640,,Career Technical,718-486-2500,NY,51900,996793,,14K640
310300011402,HS03,Career Technical,212-787-1189,NY,16900,991316,,03M402
332100010225,,General Academic,718-743-9793,NY,61004,996512,,21K225
307500013369,,Special Education,718-852-1701,NY,4100,988878,,75K369
331300010011,,General Academic,718-638-2661,NY,19900,993710,,13K011
331800010232,,General Academic,718-773-2662,NY,88000,1003928,,18K232
331500011684,HS05,General Academic,718-832-4333,NY,15500,990192,,15K684
333200861059,,General Academic,718-282-7426,NY,43300,1007760,84K733,
332000010048,,General Academic,718-232-3873,NY,24400,987813,,20K048
331400860825,,General Academic,718-388-8847,NY,123700,995342,84K703,
