manhattan_condominiums_comparable_properties_condo_section,longitude,manhattan_condominiums_comparable_properties_net_operating_income,bin,comparable_rental_1_address,comparable_rental_2_net_operating_income,comparable_rental_3_gross_income_per_sqft,comparable_rental_2_neighborhood,comparable_rental_3_address,comparable_rental_1_estimated_gross_income,comparable_rental_1_full_market_value,borough,manhattan_condominiums_comparable_properties_market_value_per_sqft,comparable_rental_2_address,comparable_rental_3_full_market_value,comparable_rental_2_estimated_expense,latitude-manhattan_condominiums_comparable_properties_expense_per_sqft
1408-R1,-73.993744,669307,1079085.0,160 MOTT STREET,763612.0,32.31,LOWER EAST SIDE,155 NORFOLK STREET,420894,2212000,1,183.59,259 BROOME STREET,"3,414,000",339677.0,40.721041-10.18
0643-R1,-73.988447,360537,1006741.0,186 ORCHARD STREET,801587.0, ,ALPHABET CITY, ,432830,2259000,1,182.94,355 EAST 10 STREET, ,343276.0,40.729694-8.44
0247-R1,-73.970725,2364789,1038781.0,330 EAST 46 STREET,2267872.0,42.75,MIDTOWN EAST,245 EAST 44 STREET,5262298,27947000,1,195.06,340 EAST 51 STREET,"38,697,000",1168512.0,40.751839-11.71
0779-R1,-74.016729,9281671,1080815.0,325 NORTH END AVENUE,10492823.0, ,CIVIC CENTER, ,14824344,79263000,1,205.46,343 BROADWAY, ,3635867.0,40.707977-12.62
1863-R1,-73.994391,936203,1087722.0,444 WEST 35 STREET,1882197.0, ,MIDTOWN WEST, ,2416825,12620000,1,207.36,150 WEST 47 STREET, ,681559.0,40.755998-10.72
1195-R1,-73.992865,1364280,1015027.0,220 EAST 22 STREET,1784389.0,37.02,EAST VILLAGE,320 EAST 22 STREET,4258943,24143000,1,213.63,223 2 AVENUE,"15,162,000",730891.0,40.745403-11.57
0587-R1,-73.981934,2070813,1076154.0,207 EAST 30 STREET,1470840.0,37.12,MURRAY HILL,226 EAST 30 STREET,1675311,8588000,1,197.5,121 EAST 31 STREET,"21,608,000",580070.0,40.744049-10.28
1368-R1,-74.009139,9551100,1086104.0,669 WASHINGTON STREET,5411267.0, ,GREENWICH VILLAGE-WEST, ,4874232,25608000,1,231.85,330 BLEECKER STREET, ,2053968.0,40.731166-14.2
1399-R1,-74.009164,5835940,1086554.0,450 WASHINGTON STREET,747503.0, ,SOHO, ,12050000,65664000,1,223.57,423 WEST BROADWAY, ,221865.0,40.725534-13.5
0301-R1,-74.008851,1376488,1012012.0,149 ESSEX STREET,1784389.0,29.72,EAST VILLAGE,355 EAST 10 STREET,1417275,8509000,1,213.62,223 2 AVENUE,"6,008,000",730891.0,40.734764-11.57
0730-R1,-74.003182,2380730,1001866.0,13 SPRING STREET,1154018.0, ,LOWER EAST SIDE, ,6442633,18450000,1,141.0,80 RUTGERS SLIP, ,947113.0,40.717849-11.12
1585-R1,-74.007742,2574254,1087494.0,450 WASHINGTON STREET,700871.0, ,SOHO, ,12050000,65664000,1,206.44,202 AVENUE OF THE AMERICA, ,194875.0,40.724842-13.0
0204-R1,-73.975374,6361651,1031798.0,2200 BROADWAY,9905580.0,42.2,UPPER WEST SIDE (79-96),2139 BROADWAY,6767501,35013000,1,222.31,424 WEST END AVENUE,"49,977,000",3285337.0,40.782117-12.74
1851-R1,-73.992739,11282761,1087767.0,155 EAST 29 STREET,9595577.0, ,CHELSEA, ,12294262,67089000,1,253.7,527 WEST 23 STREET, ,3895061.0,40.743756-13.14
0864-R1,-73.99461,94017,1007888.0,246 MOTT STREET,76213.0,38.61,LITTLE ITALY,285 MOTT STREET,992652,3962000,1,103.24,228 ELIZABETH STREET,"5,291,000",80086.0,40.723692-10.3
1567-R1,-73.980401,369623,1030096.0,32 WEST 72 STREET,422194.0, ,UPPER EAST SIDE (79-96), ,336549,1927000,1,206.95,118 EAST 92 STREET, ,98127.0,40.780284-8.77
1201-R1,-73.977928,3687130,1028633.0,50 WEST 72 STREET,3292546.0, ,UPPER WEST SIDE (59-79), ,5072576,24948000,1,200.03,321 COLUMBUS AVENUE, ,1519056.0,40.777053-12.7
2009-R1,-74.008539,1696743,1002166.0,336 BROADWAY,582828.0,37.13,TRIBECA,30 CHARLTON STREET,6730608,38422000,1,183.51,36 LAIGHT STREET,"9,435,000",271026.0,40.720143-12.19
0367-R1,-73.990693,92901,1003827.0,23 ESSEX STREET,121685.0,16.33,LOWER EAST SIDE,17 LUDLOW STREET,133874,1356000,1,99.13,44 HESTER STREET,"528,000",82259.0,40.715512-8.0
0391-R1,-73.974415,659916,1070846.0,465 COLUMBUS AVENUE,524997.0,29.17,UPPER WEST SIDE (79-96),20 WEST 87 STREET,799945,4527000,1,176.81,293 CENTRAL PARK WEST,"2,874,000",250357.0,40.787422-11.4
1869-R1,-73.99436,3409218,1087723.0,30 WEST 18 STREET,4122369.0,29.2,CHELSEA,120 WEST 21 STREET,3824599,21289000,1,228.62,220 WEST 26 STREET,"22,220,000",1035252.0,40.742694-7.59
1305-R1,-73.998777,1946285,1086198.0,460 WEST 20 STREET,1417153.0,41.41,CHELSEA,305 WEST 13 STREET,3221669,18806000,1,227.75,222 WEST 15 STREET,"12,783,000",390417.0,40.741434-10.19
2200-R1,-73.99017,3695481,1088574.0,419 WEST 52 STREET,5025835.0, ,CLINTON, ,7697270,40722000,1,223.26,831 9 AVENUE, ,1839217.0,40.766891-10.79
0221-R1,-73.980883,515021,1033765.0,306 WEST 80 STREET,683448.0, ,UPPER WEST SIDE (79-96), ,713531,3795000,1,189.68,328 WEST 85 STREET, ,228211.0,40.785126-8.66
1965-R1,-73.994732,2187325,1087941.0,75 5 AVENUE,2101723.0,38.79,FLATIRON,91 7 AVENUE,2641970,13200000,1,248.8,43 WEST 16 STREET,"13,333,000",827202.0,40.737361-8.81
1557-R1,-74.016151,8991643,1087243.0,22 RIVER TERRACE,13482072.0, ,TRIBECA, ,14519700,73281000,1,271.23,20 RIVER TERRACE, ,4569252.0,40.706358-11.18
1058-R1,-73.988229,17064047,1085722.0,160 RIVERSIDE BOULEVARD,12159092.0,44.26,UPPER WEST SIDE (59-79),145 WEST 67 STREET,23826702,139350000,1,242.68,140 RIVERSIDE BOULEVARD,"142,445,000",4117857.0,40.779031-10.95
0852-R1,-73.978651,217504,1005216.0,510 EAST 13 STREET,200214.0,25.65,ALPHABET CITY,523 EAST 12 STREET,428846,1813000,1,105.12,208 AVENUE A,"1,257,000",136874.0,40.728603-10.8
1987-R1,-73.988651,4891850,1087769.0,796 AVENUE OF THE AMERICA,2814130.0, ,FLATIRON, ,12367980,70783000,1,171.13,30 WEST 18 STREET, ,1010469.0,40.740289-7.66
0800-R1,-73.983946,4673516,1082450.0,217 WEST 58 STREET,1517411.0,33.51,MIDTOWN WEST,840 9 AVENUE,6933276,34000000,1,222.83,307 WEST 57 STREET,"15,969,000",755320.0,40.767176-10.79
1655-R1,-73.978862,4825480,1087455.0,245 EAST 44 STREET,5415998.0,51.86,CLINTON,115 EAST 34 STREET,7225467,38697000,1,244.51,419 WEST 52 STREET,"46,292,000",2281272.0,40.757593-13.7
1659-R1,-73.992191,2442718,1087504.0,140 WEST 19 STREET,501318.0,45.73,FLATIRON,43 WEST 16 STREET,885244,5301000,1,295.07,146 5 AVENUE,"15,807,000",157061.0,40.739422-7.4
1196-R1,-74.008124,1470122,1001998.0,36 LAIGHT STREET,4089994.0,30.65,TRIBECA,176 WEST BROADWAY,853854,4345000,1,120.0,147 CHAMBERS STREET,"8,377,000",1503252.0,40.71874-9.9
0665-R1,-73.993672,584069,1084745.0,13 SPRING STREET,423809.0,31.53,LITTLE ITALY,139 CHRYSTIE STREET,6442633,18450000,1,158.86,29 PRINCE STREET,"1,562,000",177333.0,40.72129-9.43
2128-R1,-73.980219,8085499,1030903.0,216 WEST 76 STREET,15622390.0, ,UPPER WEST SIDE (59-79), ,13455837,11600000,1,138.48,150 AMSTERDAM AVENUE, ,5135550.0,40.783534-11.5
2167-R1,-73.991762,16439986,,605 WEST 42 STREET,5415998.0, ,CLINTON, ,31039140,15837000,1,165.5,419 WEST 52 STREET, ,2281272.0,40.767935-11.03
2158-R1,-73.994389,1228617,1088513.0,450 AVENUE OF THE AMERICA,1104061.0, ,GREENWICH VILLAGE-WEST, ,2313554,12820000,1,278.29,115 WEST 13 STREET, ,472607.0,40.736321-14.14
0417-R1,-73.982149,6234887,1070362.0,139 COLUMBUS AVENUE,7606973.0,42.2,UPPER WEST SIDE (59-79),2139 BROADWAY,13972420,70374000,1,196.45,135 CENTRAL PARK WEST,"49,977,000",3580774.0,40.775608-16.43
0884-R1,-73.995581,123347,1003333.0,30 HENRY STREET,76061.0, ,CHINATOWN, ,227598,1207000,1,77.65,37 MARKET STREET, ,106787.0,40.712205-9.2
1496-R1,-73.991846,3429625,1087152.0,752 BROADWAY,3117805.0, ,GREENWICH VILLAGE-CENTRAL, ,8075291,43598000,1,222.04,85 4 AVENUE, ,1607446.0,40.729365-13.0
1057-R1,-74.004929,3939415,1011692.0,295 PARK AVENUE SOUTH,1784389.0, ,EAST VILLAGE, ,7020404,38509000,1,239.46,223 2 AVENUE, ,730891.0,40.739881-12.28
0627-R1,-73.978757,5790771,1030909.0,2200 BROADWAY,6622944.0, ,UPPER WEST SIDE (59-79), ,6767501,35013000,1,193.49,2139 BROADWAY, ,2864467.0,40.782573-12.28
2079-R1,-74.0025,2756986,1088222.0,336 BROADWAY,1216996.0, ,CHINATOWN, ,6730608,38422000,1,226.95,133 MULBERRY STREET, ,248405.0,40.716951-14.85
1523-R1,-74.003829,1627293,1083568.0,460 WEST 20 STREET,1717547.0, ,CHELSEA, ,3221669,18806000,1,246.65,401 WEST 22 STREET, ,746441.0,40.748175-11.93
0081-R1,-73.980618,2792930,1029786.0,261 AMSTERDAM AVENUE,3373719.0,47.96,UPPER WEST SIDE (59-79),228 WEST 71 STREET,3603673,20161000,1,173.55,50 WEST 72 STREET,"26,081,000",1698857.0,40.776483-11.81
1295-R1,-73.993229,834528,1013595.0,444 WEST 35 STREET,2275742.0, ,FASHION, ,2416825,12620000,1,192.64,488 7 AVENUE, ,792441.0,40.753785-9.9
1211-R1,-74.009017,1275207,1012046.0,142 WEST 23 STREET,525569.0, ,LITTLE ITALY, ,2220338,13844000,1,245.51,54 SPRING STREET, ,188918.0,40.735431-9.08
1702-R1,-74.007063,1054024,1001619.0,423 WEST BROADWAY,633328.0,35.98,SOUTHBRIDGE,9 MAIDEN LANE,969368,5617000,1,216.1,23 PECK SLIP,"10,730,000",326119.0,40.716704-7.68
0018-R1,-74.007245,1010000,1011760.0,669 WASHINGTON STREET,1763552.0, ,GREENWICH VILLAGE-WEST, ,4874232,25608000,1,130.92,697 GREENWICH STREET, ,746192.0,40.734007-10.2
1541-R1,-74.010741,562937,1087244.0,100 MAIDEN LANE,520743.0, ,CHINATOWN, ,12265285,69551000,1,184.71,69 BAYARD STREET, ,399654.0,40.704514-14.34
0714-R1,-73.984191,660940,1005764.0,56 ST MARK'S PLACE,1035573.0, ,LOWER EAST SIDE, ,645820,3223000,1,205.97,19 CLINTON STREET, ,294256.0,40.725173-9.27
0612-R1,-73.9804,19929906,1076225.0,145 WEST 67 STREET,14261659.0,33.04,UPPER WEST SIDE (59-79),180 RIVERSIDE BOULEVARD,25139281,142445000,1,250.7,45 WEST 60 STREET,"105,995,000",4777413.0,40.770148-10.95
0890-R1,-74.008197,283814,1010376.0,100 SULLIVAN STREET,207099.0, ,GREENWICH VILLAGE-WEST, ,1247289,6455000,1,105.82,174 WEST HOUSTON STREET, ,99988.0,40.726681-10.5
1200-R1,-73.992528,33078,1008483.0,63 2 AVENUE,394126.0,21.86,EAST VILLAGE,640 BROADWAY,585350,1716000,1,96.16,77 2 AVENUE,"4,419,000",203037.0,40.726739-8.77
0542-R1,-74.006891,4499318,1067116.0,75 BARROW STREET,2921885.0,33.2,GREENWICH VILLAGE-WEST,26 GROVE STREET,380871,1797000,1,157.54,464 HUDSON STREET,"4,544,000",824416.0,40.730063-12.0
1629-R1,-74.012207,10342871,1087716.0,211 NORTH END AVENUE,10499169.0, ,TRIBECA, ,13788111,75778000,1,247.48,325 NORTH END AVENUE, ,4325175.0,40.716863-12.68
0314-R1,-74.007361,350948,1012169.0,809 GREENWICH STREET,367449.0,43.89,GREENWICH VILLAGE-WEST,345 WEST 12 STREET,646661,3584000,1,234.96,82 JANE STREET,"1,221,000",201599.0,40.738766-11.26
0767-R1,-73.977817,753546,1023752.0,117 WEST 58 STREET,1332577.0,37.6,MIDTOWN WEST,21 WEST 58 STREET,2091041,10606000,1,159.02,134 WEST 58 STREET,"10,856,000",554759.0,40.765476-10.61
0280-R1,-73.98499,1305162,1025257.0,330 WEST 55 STREET,1169524.0,31.23,MIDTOWN WEST,306 WEST 51 STREET,1095785,4986000,1,178.3,328 WEST 53 STREET,"4,544,000",501351.0,40.763839-7.35
1138-R1,-73.978407,748676,1088368.0,628 EAST 11 STREET,415920.0,32.18,ALPHABET CITY,155 AVENUE B,323594,1581000,1,154.5,145 AVENUE C,"2,051,000",199831.0,40.727009-11.92
0510-R1,-73.964676,4925139,1071989.0,136 EAST 55 STREET,5004699.0, ,UPPER EAST SIDE (59-79), ,7426465,35422000,1,188.03,1081 3 AVENUE, ,2249317.0,40.75818-14.13
0580-R1,-73.980355,1893781,1076164.0,371 2 AVENUE,2295544.0,36.37,KIPS BAY,311 EAST 21 STREET,2626322,12561000,1,213.72,321 EAST 22 STREET,"8,603,000",814630.0,40.737628-6.92
0859-R1,-73.993039,1136924,1016069.0,27 WEST 16 STREET,1448710.0,41.94,GREENWICH VILLAGE-CENTRAL,220 PARK AVENUE SOUTH,1841747,9742000,1,179.37,6 EAST 13 STREET,"6,218,000",500971.0,40.736782-17.45
2021-R1,-73.994336,757314,1084914.0,30 CHARLTON STREET,298547.0, ,SOHO, ,1643414,9435000,1,202.49,114 THOMPSON STREET, ,117705.0,40.722278-13.6
0686-R1,-74.000191,357341,1007271.0,423 WEST BROADWAY,792450.0, ,SOHO, ,969368,5617000,1,126.09,112 SULLIVAN STREET, ,356644.0,40.722751-9.49
0384-R1,-73.975128,4434637,1033386.0,2495 BROADWAY,10791718.0,34.35,UPPER WEST SIDE (79-96),620 COLUMBUS AVENUE,6215220,35480000,1,196.25,2380 BROADWAY,"39,619,000",3214726.0,40.791067-14.26
0327-R1,-73.979296,1270174,1029969.0,113 WEST 71 STREET,1227474.0,48.12,UPPER WEST SIDE (59-79),322 COLUMBUS AVENUE,1030791,5961000,1,153.79,2020 BROADWAY,"9,985,000",581033.0,40.77763-11.95
0098-R1,-73.97012,2084867,1040811.0,47 EAST 64 STREET,1477097.0, ,MIDTOWN WEST, ,1726049,8600000,1,187.7,21 WEST 58 STREET, ,767546.0,40.764673-12.89
1984-R1,-73.970181,1065505,1032528.0,2476 BROADWAY,1629008.0, ,UPPER WEST SIDE (79-96), ,1862613,8697000,1,139.47,2512 BROADWAY, ,814704.0,40.791448-8.67
1472-R1,-73.984265,1163835,1087118.0,118 MADISON AVENUE,1470840.0,44.48,MURRAY HILL,80 MADISON AVENUE,1305224,7554000,1,218.62,121 EAST 31 STREET,"12,655,000",580070.0,40.745032-8.9
1089-R1,-73.975204,2029148,1033604.0,2476 BROADWAY,1629008.0, ,UPPER WEST SIDE (79-96), ,1862613,8697000,1,163.15,2512 BROADWAY, ,814704.0,40.792508-11.37
0330-R1,,506105,,810 BROADWAY,3117805.0,28.76,GREENWICH VILLAGE-CENTRAL,232 EAST 12 STREET,466285,2105000,1,133.91,85 4 AVENUE,"8,641,000",1607446.0,nan-10.93
0594-R1,-74.010862,1959927,1075706.0,211 NORTH END AVENUE,10499169.0,39.44,TRIBECA,450 WASHINGTON STREET,13788111,75778000,1,222.33,325 NORTH END AVENUE,"65,664,000",4325175.0,40.716745-12.13
1250-R1,-73.979339,1125944,1086134.0,207 EAST 30 STREET,792247.0, ,MURRAY HILL, ,1675311,8588000,1,218.3,657 2 AVENUE, ,282471.0,40.746249-11.9
0502-R1,-73.997214,3714222,1068149.0,128 7 AVENUE,279879.0, ,CHELSEA, ,1838192,10834000,1,230.58,209 WEST 20 STREET, ,57200.0,40.741961-7.69
0294-R1,-73.998975,345188,1007627.0,59 THOMPSON STREET,792450.0, ,SOHO, ,385865,1672000,1,125.99,112 SULLIVAN STREET, ,356644.0,40.724189-9.49
1290-R1,-73.991937,233724,1086185.0,54 SPRING STREET,1035573.0, ,LOWER EAST SIDE, ,714487,3935000,1,249.93,19 CLINTON STREET, ,294256.0,40.718233-10.85
0564-R1,-73.995469,406112,1075930.0,212 GRAND STREET,209364.0, ,LOWER EAST SIDE, ,379406,1793000,1,142.01,139 CHRYSTIE STREET, ,136244.0,40.71932-10.65
0544-R1,-74.004056,900775,1076087.0,305 WEST 13 STREET,934008.0, ,GREENWICH VILLAGE-WEST, ,2339956,12783000,1,202.2,110 BANK STREET, ,297465.0,40.740391-8.62
1045-R1,-74.007486,3273218,1002167.0,36 LAIGHT STREET,792450.0,34.97,SOHO,133 MULBERRY STREET,853854,4345000,1,162.67,112 SULLIVAN STREET,"9,005,000",356644.0,40.719855-10.15
0360-R1,-74.016574,2576257,1000436.0,211 NORTH END AVENUE,1454260.0,41.58,FINANCIAL,325 NORTH END AVENUE,13788111,75778000,1,222.33,9 MAIDEN LANE,"79,263,000",645225.0,40.710118-12.13
0245-R1,-73.985031,777992,1018090.0,105 EAST 24 STREET,863589.0,40.69,GRAMERCY,131 EAST 23 STREET,777385,4009000,1,153.73,124 EAST 24 STREET,"11,494,000",516401.0,40.740506-12.82
1836-R1,-74.007874,14401692,1085950.0,211 NORTH END AVENUE,9217573.0, ,FINANCIAL, ,13788111,75778000,1,197.93,100 MAIDEN LANE, ,3047712.0,40.705486-11.87
0293-R1,-74.004954,300619,1009975.0,53 BARROW STREET,89132.0,26.56,GREENWICH VILLAGE-WEST,52 BARROW STREET,1174447,7279000,1,112.53,72 BEDFORD STREET,"1,093,000",89206.0,40.731591-11.0
1221-R1,-73.992461,940641,1014985.0,140 WEST 19 STREET,1121853.0,31.16,CHELSEA,28 WEST 26 STREET,885244,5301000,1,244.98,216 8 AVENUE,"2,521,000",374047.0,40.744429-11.57
0274-R1,-73.995142,636676,1014351.0,321 WEST 29 STREET,865025.0,31.81,CHELSEA,160 WEST 22 STREET,549287,2625000,1,175.14,245 WEST 25 STREET,"6,446,000",433392.0,40.749869-11.87
1383-R1,-73.992427,99339,1008204.0,9 MINETTA STREET,162988.0, ,GREENWICH VILLAGE-CENTRAL, ,294529,2547000,1,101.02,101 MAC DOUGAL STREET, ,82878.0,40.724655-11.0
1162-R1,-74.007229,869539,1079154.0,23 PECK SLIP,1454260.0, ,FINANCIAL, ,959447,2948000,1,200.01,9 MAIDEN LANE, ,645225.0,40.713827-9.37
0303-R1,-73.992679,2272603,1009092.0,60 EAST 12 STREET,287261.0,26.97,GREENWICH VILLAGE-CENTRAL,107 UNIVERSITY PLACE,3782521,17545000,1,116.89,810 BROADWAY,"6,127,000",179024.0,40.731476-10.78
0078-R1,-73.979488,727961,1033881.0,328 WEST 85 STREET,531053.0, ,UPPER WEST SIDE (79-96), ,911659,5029000,1,189.69,306 WEST 80 STREET, ,182478.0,40.788667-8.66
1853-R1,-74.010013,17440967,1001022.0,100 MAIDEN LANE,10499169.0,49.57,TRIBECA,211 NORTH END AVENUE,12265285,69551000,1,216.4,325 NORTH END AVENUE,"75,778,000",4325175.0,40.707588-10.51
0583-R1,-73.9917,471274,1075788.0,212 GRAND STREET,209364.0, ,LOWER EAST SIDE, ,379406,1793000,1,137.12,139 CHRYSTIE STREET, ,136244.0,40.714848-10.84
0450-R1,-74.017104,3710936,1065321.0,211 NORTH END AVENUE,10499169.0,35.98,TRIBECA,9 MAIDEN LANE,13788111,75778000,1,222.34,325 NORTH END AVENUE,"10,730,000",4325175.0,40.709097-12.13
1866-R1,-73.990571,7186000,1087777.0,511 WEST 55 STREET,13943673.0,28.07,CLINTON,911 8 AVENUE,15512917,82455000,1,132.9,839 11 AVENUE,"44,539,000",5038018.0,40.766614-8.96
0387-R1,-73.974214,370703,1033623.0,204 WEST 94 STREET,522643.0,39.33,UPPER WEST SIDE (79-96),226 WEST 97 STREET,472756,2147000,1,174.9,311 WEST 94 STREET,"1,695,000",182236.0,40.792344-8.18
1575-R1,-73.989687,707438,1003623.0,191 MADISON STREET,458650.0, ,LOWER EAST SIDE, ,205854,845000,1,121.52,155 NORFOLK STREET, ,268260.0,40.714093-12.5
0105-R1,-73.968616,1033321,1039464.0,924 2 AVENUE,881204.0,34.6,MIDTOWN EAST,320 EAST 50 STREET,877557,3425000,1,233.67,214 EAST 51 STREET,"4,311,000",312644.0,40.754108-10.99
0127-R1,-73.983228,2017619,1019668.0,371 2 AVENUE,432955.0,40.86,GRAMERCY,155 EAST 23 STREET,2626322,12561000,1,153.52,217 EAST 22 STREET,"10,281,000",225694.0,40.738005-12.88
0970-R1,-73.995114,2491230,1085464.0,216 8 AVENUE,2101723.0,35.57,FLATIRON,245 WEST 25 STREET,1495900,8434000,1,246.77,43 WEST 16 STREET,"6,393,000",827202.0,40.744802-12.92
0021-R1,-74.00861,593554,1001106.0,9 MAIDEN LANE,639862.0, ,FINANCIAL, ,2099485,10730000,1,155.83,12 JOHN STREET, ,250756.0,40.70935-8.93
0533-R1,-73.974285,755170,1071383.0,310 WEST 95 STREET,731504.0, ,UPPER WEST SIDE (79-96), ,1494965,8599000,1,127.7,311 WEST 95 STREET, ,238353.0,40.794839-11.04
0547-R1,-73.985091,4048264,1076239.0,212 AMSTERDAM AVENUE,3473264.0,35.28,UPPER WEST SIDE (59-79),50 WEST 72 STREET,6325208,32218000,1,201.27,228 WEST 71 STREET,"24,948,000",1655073.0,40.778981-12.9
1008-R1,-73.967781,547106,1031567.0,465 COLUMBUS AVENUE,1280579.0, ,UPPER WEST SIDE (79-96), ,799945,4527000,1,158.63,519 COLUMBUS AVENUE, ,659635.0,40.787434-10.89
0789-R1,-73.995141,906290,1007129.0,212 GRAND STREET,582726.0,39.36,SOHO,294 BROOME STREET,379406,1793000,1,115.54,101 CROSBY STREET,"1,641,000",,40.71983-10.7
2198-R1,-74.017252,7552523,1000055.0,211 NORTH END AVENUE,9217573.0,41.58,FINANCIAL,325 NORTH END AVENUE,13788111,75778000,1,239.97,100 MAIDEN LANE,"79,263,000",3047712.0,40.709448-10.51
1499-R1,-74.000112,3123821,1012826.0,421 WEST 24 STREET,1689756.0, ,CHELSEA, ,723740,3861000,1,245.5,342 9 AVENUE, ,476755.0,40.748178-8.6
0126-R1,-73.979594,4631383,1028260.0,212 AMSTERDAM AVENUE,4954169.0,44.22,MIDTOWN WEST,8 WEST 74 STREET,6325208,32218000,1,189.57,217 WEST 58 STREET,"17,953,000",1979107.0,40.773595-11.99
0007-R2,-73.978063,3933230,1034856.0,217 WEST 58 STREET,2982535.0,36.11,MIDTOWN CBD,260 WEST 52 STREET,6933276,34000000,1,179.27,141 EAST 56 STREET,"38,193,000",1123226.0,40.763116-10.45
1765-R1,-73.97708,7594706,1087675.0,166 EAST 34 STREET,8946286.0, ,MURRAY HILL, ,8251095,44891000,1,256.16,155 EAST 29 STREET, ,3347976.0,40.745294-12.9
2071-R1,-74.01402,5369438,1088442.0,325 NORTH END AVENUE,1454260.0,28.62,FINANCIAL,12 JOHN STREET,14824344,79263000,1,183.93,9 MAIDEN LANE,"4,807,000",645225.0,40.709139-11.06
0499-R1,-74.010551,2874364,1066317.0,336 BROADWAY,394505.0, ,SOUTHBRIDGE, ,6730608,38422000,1,242.1,24 PECK SLIP, ,186455.0,40.716124-12.3
2041-R1,-74.008504,1019042,1010303.0,30 CHARLTON STREET,700871.0,46.9,SOHO,423 WEST BROADWAY,1643414,9435000,1,243.48,202 AVENUE OF THE AMERICA,"5,617,000",194875.0,40.724957-8.96
1061-R1,-74.007929,373259,1002142.0,7 HARRISON STREET,582828.0,29.55,TRIBECA,112 SULLIVAN STREET,634619,2414000,1,152.77,36 LAIGHT STREET,"5,941,000",271026.0,40.719879-9.17
0848-R1,-73.992295,1962963,1015053.0,12 EAST 22 STREET,1681099.0,27.75,MURRAY HILL,225 WEST 23 STREET,3548932,19463000,1,210.56,80 MADISON AVENUE,"8,330,000",992660.0,40.745971-16.51
0087-R1,-73.966071,5024209,1041959.0,157 EAST 57 STREET,5004699.0,40.75,UPPER EAST SIDE (59-79),1033 3 AVENUE,5047223,27378000,1,228.74,1081 3 AVENUE,"55,189,000",2249317.0,40.762278-10.47
0089-R1,-73.997882,1500460,1009504.0,42 WEST 10 STREET,567555.0, ,GREENWICH VILLAGE-CENTRAL, ,1159167,5324000,1,115.03,123 WAVERLY PLACE, ,369530.0,40.733683-11.0
1101-R1,-73.969439,5839029,1041908.0,1218 2 AVENUE,8296574.0,43.09,MIDTOWN EAST,400 EAST 66 STREET,9184500,54514000,1,259.56,333 EAST 56 STREET,"30,910,000",2718960.0,40.763394-12.08
1124-R1,-73.978702,236797,1085808.0,638 EAST 14 STREET,213518.0, ,ALPHABET CITY, ,380518,1828000,1,153.63,628 EAST 11 STREET, ,110076.0,40.727151-11.2
0379-R1,-73.971401,678137,1041003.0,32 WEST 72 STREET,728569.0, ,UPPER EAST SIDE (59-79), ,336549,1927000,1,203.81,334 EAST 79 STREET, ,270162.0,40.766048-9.06
