activitydetailid,activityid,lotbllingtotal,house1,structure,act_date,crmno,supp_ind,total_loads,channel,vehicleno,scanno,billingdate,usedoverride,lotstatusdate,refid,boroid,copyexistingaddress,enddate,old_main_lot_id,uniform_hrs,activitybllingtotal,used_crossstreettwo,inspectiondate
16488,37613,,,0,2003-05-13T00:00:00.000,,,1.5,929,AT-001,,,0,2003-05-13T00:00:01.000,,7,,2003-05-13T00:00:00.000,LOT90002,56,,,2003-01-23T00:00:00.000
305707,47527,0.0,979,0,2014-06-24T00:00:00.000,,,0.11,867,bg-001,,2014-06-09T10:51:01.000,0,2014-06-26T00:00:00.000,0.0,7,1.0,2014-06-26T00:00:00.000,,76,,JAMAICA LINE,2014-06-05T00:00:00.000
20984,37904,,,0,2003-08-21T00:00:00.000,,,16.91,867,AF-101,,,0,2003-08-26T00:00:01.000,,8,,2003-08-26T00:00:00.000,LOT96561,121,,,2003-08-05T00:00:00.000
100351,9487,,,0,2007-04-16T00:00:00.000,,,1.0,677,,,,0,2007-05-01T00:00:01.000,,10,,2007-05-01T00:00:00.000,LOT158144,254,,,2007-03-06T00:00:00.000
255608,38745,0.0,44,0,2011-03-14T00:00:00.000,,,0.1,867,ct-003,,2011-03-04T15:01:36.000,0,2011-03-14T00:00:00.000,0.0,7,1.0,2011-03-14T00:00:00.000,,31,,LIBERTY AVENUE,2011-03-02T00:00:00.000
7590,29561,,,0,2002-10-30T00:00:00.000,,,2.0,867,CR-011,,,0,2002-11-01T00:00:01.000,,9,,2002-11-01T00:00:00.000,LOT77407,32,,,2002-05-30T00:00:00.000
64721,21438,,,0,2005-09-29T00:00:00.000,,,1.0,867,,,,0,2005-09-29T00:00:01.000,,7,,2005-09-29T00:00:00.000,LOT137869,44,,,2005-09-28T00:00:00.000
2278,29241,,,0,2002-07-22T00:00:00.000,,,5.0,867,AT-131,,,0,2002-07-22T00:00:01.000,,7,,2002-07-22T00:00:00.000,LOT74695,32,,,2002-05-15T00:00:00.000
184163,18365,,,0,1999-06-04T00:00:00.000,,,74.0,867,AF-003,,,0,1999-06-18T00:00:01.000,,7,,1999-06-18T00:00:00.000,LOT21839,215,,,1999-05-04T00:00:00.000
192510,18656,,,0,1999-11-01T00:00:00.000,,,3.0,867,,,,0,1999-11-04T00:00:01.000,,9,,1999-11-04T00:00:00.000,LOT24422,26,,,1999-03-10T00:00:00.000
98001,8590,,,0,2007-03-22T00:00:00.000,,,0.0,867,,,,0,2007-03-22T00:00:01.000,,7,,2007-03-22T00:00:00.000,LOT156101,13,,,2007-01-02T00:00:00.000
96970,9216,,,0,2007-01-31T00:00:00.000,,,0.0,867,,,,0,2007-02-28T00:00:01.000,,8,,2007-02-28T00:00:00.000,LOT156005,165,,,2006-12-21T00:00:00.000
2.15e+05,22882,,,0,2000-10-11T00:00:00.000,,,11.0,929,AL-403,,,0,2000-10-13T00:00:01.000,,7,,2000-10-13T00:00:00.000,LOT43491,177,,,2000-09-12T00:00:00.000
84901,7819,,,0,2006-08-07T00:00:00.000,,,1.0,867,AT-119,,,0,2006-08-09T00:00:01.000,,7,,2006-08-09T00:00:00.000,LOT149113,122,,,2006-07-19T00:00:00.000
104443,4768,,,0,1998-10-01T00:00:00.000,,N,33.0,929,,,,0,1998-10-19T00:00:01.000,,9,,1998-10-19T00:00:00.000,LOT13348,110,,,1998-08-24T00:00:00.000
47064,3203,,,0,2004-12-03T00:00:00.000,,,1.0,867,AS-003,,,0,2004-12-03T00:00:01.000,,8,,2004-12-03T00:00:00.000,LOT123953,30,,,2004-09-28T00:00:00.000
186775,18559,,,0,1999-07-29T00:00:00.000,,,11.0,867,AF-101,,,0,1999-07-30T00:00:01.000,,8,,1999-07-30T00:00:00.000,LOT23887,92,,,1998-08-05T00:00:00.000
207388,23741,,,0,1998-02-27T00:00:00.000,,N,105.0,929,AL-202,,,0,1998-02-27T00:00:01.000,,9,,1998-02-27T00:00:00.000,LOT1407,298,,,1997-10-14T00:00:00.000
70360,5689,,,0,2005-12-16T00:00:00.000,,,3.0,867,,,,0,2005-12-28T00:00:01.000,,7,,2005-12-28T00:00:00.000,LOT140565,354,,,2005-12-01T00:00:00.000
189384,18309,,,0,1999-09-08T00:00:00.000,,,37.0,867,,,,0,1999-09-10T00:00:01.000,,7,,1999-09-10T00:00:00.000,LOT21955,126,,,1999-01-05T00:00:00.000
153818,8901,,,0,1998-12-09T00:00:00.000,,,1.0,929,,,,0,1998-12-10T00:00:01.000,,7,,1998-12-10T00:00:00.000,LOT15501,8,,,1998-10-16T00:00:00.000
2.42e+05,34819,,,0,1998-05-15T00:00:00.000,,N,10.0,867,,,,0,1998-05-15T00:00:01.000,,6,,1998-05-15T00:00:00.000,LOT2750,51,,,1998-02-02T00:00:00.000
