activitydetailid,area,civilian_hrs,fivedayletterno,lotdupinspectionrequestid,streetaddress,lotcleaningtotal,crossstreettwo,total_tonnage,activitystatusdate,firstname,old_status_rea_dd,isdeleted,segmentid,ccuno,coordinatex,operatorid_detail,lotno,zone,requestconversion_notes,dumpsiteid,l_tires,lotid-used_house1
286856,0.0,0,,,AVENUE D,0.0,EAST 105 STREET,0.34,2013-04-01T15:16:34.000,,,0,9009677.0,1305801,1011775.0,694,101,1.0,,0.0,0,190396-10601
249558,39.0,45,,,,,,18.96,2010-11-02T14:55:59.000,,,0,,107137,,694,35,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,143303-nan
89637,,0,,,,,,308.2,2010-11-02T14:55:54.000,,,0,,9803742,,337,56,10.0,PB STATUS = ASSIGNED TO INTAKE,,0,8132-nan
128982,39.0,0,1.0,,,,,0.0,2010-11-02T14:55:59.000,,,0,,808961,,694,55,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,69131-nan
43862,40.0,0,,,,,,2.91,2010-11-02T14:55:56.000,,,0,,411211,,554,69,9.0,PB STATUS = ASSIGNED TO INTAKE,,0,13967-nan
84014,39.0,0,,,,,,0.0,2010-11-02T14:55:57.000,,,0,,608529,,694,66,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,38206-nan
207388,,0,,,,,,598.22,2010-11-02T14:55:57.000,,,0,,9707270,,619,84,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,32165-nan
2.50e+05,39.0,0,,,,,,5.0,2010-11-02T14:55:57.000,,,0,,207664,,694,29,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,148982-nan
66391,40.0,0,,,,158.03,,0.0,2010-11-02T14:55:57.000,,,0,,509865,,693,77,9.0,PB STATUS = ASSIGNED TO INTAKE,,0,25160-nan
100883,,0,,,,,,79.0,2010-11-02T14:55:54.000,,,0,,9806209,,337,54,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,24681-nan
41719,39.0,0,,,,,,2.0,2010-11-02T14:55:56.000,,,0,,406755,,693,35,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,7338-nan
228355,,0,,,,,,327.45,2010-11-02T14:55:57.000,,,0,,9707263,,623,13,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,109886-nan
131824,39.0,0,1.0,,,,,0.03,2010-11-02T14:55:56.000,,,0,,810742,,694,25,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,71389-nan
100351,40.0,0,1.0,,,,,3.2,2010-11-02T14:55:54.000,,,0,,706401,,694,15,11.0,PB STATUS = ASSIGNED TO INTAKE,,0,49531-nan
66575,39.0,0,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,513033,,694,1,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,30328-nan
164149,39.0,0,1.0,,,1658.86,,5.4,2010-11-02T14:55:56.000,,,0,,1008057,,693,112,10.0,PB STATUS = ASSIGNED TO INTAKE,,0,93317-nan
172922,,0,,,,,,691.37,2010-11-02T14:55:54.000,,,0,,9806488,,694,70,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,50905-nan
178108,,0,,,,,,736.8,2010-11-02T14:55:56.000,,,0,,9808902,,694,43,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,59572-nan
93373,,0,,,,,,28.3,2010-11-02T14:55:57.000,,,0,,9803669,,337,109,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,146450-nan
782,39.0,0,,,,,,0.0,2010-11-02T14:55:57.000,,,0,,208967,,694,44,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,151250-nan
87354,39.0,0,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,610853,,579,50,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,41841-nan
70141,39.0,0,,,,492.0,,1.78,2010-11-02T14:55:54.000,,,0,,509922,,693,13,9.0,PB STATUS = ASSIGNED TO INTAKE,,0,25235-nan
181145,39.0,26,,,,,,152.5,2010-11-02T14:55:56.000,,,0,,9903734,,694,53,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,96725-nan
208983,39.0,63,,,,,,0.5,2010-11-02T14:55:57.000,,,0,,9900790,,694,51,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,112856-nan
39518,,0,,,,,,708.1,2010-11-02T14:55:56.000,,,0,,9801556,,612,25,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,104517-nan
237877,,0,,,,,,282.0,2010-11-02T14:55:56.000,,,0,,9707515,,331,54,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,100494-nan
6023,39.0,0,,,,,,10.0,2010-11-02T14:55:59.000,,,0,,209592,,694,15,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,152654-nan
92245,39.0,0,,,,,,77.69,2010-11-02T14:55:57.000,,,0,,612675,,579,187,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,44833-nan
238866,39.0,0,,,,,,34.71,2010-11-02T14:55:57.000,,,0,,105231,,694,4,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,139174-nan
170077,39.0,0,0.0,,,,,0.26,2010-11-02T14:55:56.000,,,0,,1011049,,694,7,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,97951-1965
68156,39.0,0,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,512703,,694,1,10.0,PB STATUS = ASSIGNED TO INTAKE,,0,29105-nan
178565,39.0,0,,,,,,194.1,2010-11-02T14:55:59.000,,,0,,9901577,,619,1,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,75266-nan
265666,0.0,61,,,CHRISTOPHER AVENUE,0.0,LIBERTY AVENUE,1.73,2011-10-26T10:20:47.000,,,0,47121.0,1110299,1010154.0,694,2,4.0,,0.0,0,179139-44
192133,40.0,14,,,,620.84,,1.5,2010-11-02T14:55:56.000,,,0,,9801431,,694,8,11.0,PB STATUS = ASSIGNED TO INTAKE,,0,101778-nan
46926,39.0,0,,,,,,4.49,2010-11-02T14:55:54.000,,,0,,411658,,693,27,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,14672-nan
306438,,0,,,,0.0,BEACH CHANNEL DRIVE,1.0,2014-08-04T14:39:38.000,CECILIA,,0,57991.0,1407614,1048500.0,694,7,10.0,,0.0,0,200223-331
214467,39.0,0,,,,,,40.0,2010-11-02T14:55:57.000,,,0,,6508,,694,52,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,122708-nan
293522,0.0,0,,,CHURCH AVENUE,0.0,FLATBUSH AVENUE,0.0,2013-08-26T09:09:36.000,,,0,28363.0,1308122,996072.0,694,58,4.0,,0.0,0,192622-2286
187729,39.0,0,,,,,,237.5,2010-11-02T14:55:59.000,,,0,,9904798,,694,63,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,103325-nan
37913,39.0,0,,,,2006.68,,14.08,2010-11-02T14:55:54.000,,,0,,407782,,694,43,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,8839-nan
102402,39.0,0,1.0,,,,,0.0,2010-11-02T14:55:57.000,,,0,,707399,,694,32,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,51402-nan
283498,,8,,,HANCOCK STREET,0.0,BROADWAY,0.73,2012-12-27T10:55:33.000,SHANNEN,,0,9009702.0,1211464,1007211.0,694,15,4.0,,0.0,0,188930-956
288286,0.0,0,,,ROCKAWAY AVENUE,0.0,EAST NEW YORK AVENUE,0.44,2013-04-29T14:49:50.000,,,0,43880.0,1306619,1008913.0,694,46,4.0,,0.0,0,191190-367
45506,,0,,,,,,487.3,2010-11-02T14:55:56.000,,,0,,9801555,,337,37,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,101425-nan
83044,,0,,,,,,34.5,2010-11-02T14:55:59.000,,,0,,9708340,,623,6,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,167219-nan
244323,39.0,0,,,,,,15.32,2010-11-02T14:55:57.000,,,0,,1103,,694,44,10.0,PB STATUS = ASSIGNED TO INTAKE,,0,129308-nan
1.44e+05,40.0,0,1.0,,,410.87,,0.25,2010-11-02T14:55:56.000,,,0,,907338,,693,18,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,79234-nan
112739,39.0,0,1.0,,,,,17.57,2010-11-02T14:55:56.000,,,0,,713634,,694,57,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,60468-nan
247345,40.0,0,,,,,,152.9,2010-11-02T14:55:56.000,,,0,,9707523,,618,48,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,101001-nan
127309,39.0,0,1.0,,,,,0.0,2010-11-02T14:55:56.000,,,0,,807646,,694,57,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,67185-nan
290399,0.0,11,,,ELTON AVENUE,0.0,EAST 161 STREET,0.0,2013-06-17T15:02:24.000,,,0,70443.0,1307458,1008697.0,576,25,6.0,,0.0,0,192306-897
294748,0.0,0,,,104 STREET,0.0,164 AVENUE,0.65,2013-09-25T14:40:25.000,,,0,54463.0,1309726,1032094.0,694,1512,10.0,,0.0,0,194425-164-02
174530,,0,,,,,,659.16,2010-11-02T14:55:57.000,,,0,,9808025,,694,30,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,50704-nan
231882,39.0,0,,,,,,35.89,2010-11-02T14:55:59.000,,,0,,103489,,694,33,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,134136-nan
75616,,0,,,,,,308.2,2010-11-02T14:55:54.000,,,0,,9803742,,664,56,10.0,PB STATUS = ASSIGNED TO INTAKE,,0,8132-nan
71745,39.0,0,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,514665,,694,16,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,32224-nan
229533,39.0,0,,,,,,85.0,2010-11-02T14:55:59.000,,,0,,103908,,694,33,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,134747-nan
81960,40.0,0,,,,604.08,,0.0,2010-11-02T14:55:57.000,,,0,,607490,,693,60,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,36538-nan
179927,39.0,0,,,,,,16.2,2010-11-02T14:55:56.000,,,0,,9902128,,694,42,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,82704-nan
21428,39.0,0,,,,1630.79,,12.11,2010-11-02T14:55:59.000,,,0,,309052,,694,4,2.0,PB STATUS = ASSIGNED TO INTAKE,,4,166709-nan
229504,40.0,0,,,,,,202.94,2010-11-02T14:55:57.000,,,0,,7069,,337,2,1.0,PB STATUS = ASSIGNED TO INTAKE,,441,134155-nan
113692,39.0,0,1.0,,,,,2.21,2010-11-02T14:55:56.000,,,0,,713837,,694,13,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,60791-nan
136790,39.0,0,1.0,,,,,0.57,2010-11-02T14:55:56.000,,,0,,813078,,694,50,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,74671-nan
327800,0.0,0,,,164 STREET,1806.87,107 AVENUE,1.49,2016-01-19T10:31:12.000,,,0,60330.0,1510157,1042220.0,694,61,,,0.0,0,211158-107-58
84808,40.0,0,,,,1089.48,,4.48,2010-11-02T14:55:54.000,,,0,,606982,,693,38,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,35793-nan
24167700.00%,,58,,,,,,45.5,2010-11-02T14:55:59.000,,,0,,9802343,,612,50,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,106434-nan
136739,39.0,0,1.0,,,,,0.35,2010-11-02T14:55:59.000,,,0,,813041,,693,67,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,74575-nan
37261,,0,,,,,,76.1,2010-11-02T14:55:57.000,,,0,,9802242,,337,19,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,116296-nan
180892,39.0,0,,,,,,243.8,2010-11-02T14:55:56.000,,,0,,9903705,,694,13,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,93871-nan
309615,,34,,,CHRISTOPHER AVENUE,0.0,GLENMORE AVENUE,0.0,2014-10-24T11:51:37.000,JOSEPH,,0,47121.0,1407373,1010154.0,694,3,4.0,,0.0,0,199852-44
38915,39.0,0,,,,,,20.45,2010-11-02T14:55:54.000,,,0,,409583,,694,74,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,11401-nan
36347,,0,,,,,,617.3,2010-11-02T14:55:57.000,,,0,,9705962,,337,8,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,119163-nan
191317,39.0,0,,,,,,166.8,2010-11-02T14:55:59.000,,,0,,9802016,,694,14,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,102329-nan
14158,39.0,0,,,,,,33.5,2010-11-02T14:55:59.000,,,0,,211759,,694,30,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,157020-nan
172209,,0,,,,,,185.7,2010-11-02T14:55:57.000,,,0,,9706656,,623,32,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,145881-nan
184020,40.0,0,,,,,,45.9,2010-11-02T14:55:56.000,,,0,,9805616,,694,3,11.0,PB STATUS = ASSIGNED TO INTAKE,,0,100704-nan
67446,39.0,0,,,,,,13.03,2010-11-02T14:55:54.000,,,0,,513311,,694,46,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,30051-nan
41363,39.0,0,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,409238,,694,6,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,11039-nan
258254,0.0,0,2.0,,WITHERS STREET,543.34,LT JOHN A CRISCI STREET,0.0,2011-05-16T11:48:39.000,,,0,165147.0,1106668,997678.0,694,8,,,0.0,0,174691-26
251351,39.0,124,,,,,,15.0,2010-11-02T14:55:57.000,,,0,,206717,,694,52,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,147281-nan
179827,39.0,0,,,,,,490.9,2010-11-02T14:55:56.000,,,0,,9901841,,612,36,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,83042-nan
28295,40.0,0,,,,,,9.1,2010-11-02T14:55:54.000,,,0,,313209,,694,50,11.0,PB STATUS = ASSIGNED TO INTAKE,,0,3308-nan
304549,,11,,,BROADWAY,0.0,JEFFERSON AVENUE,0.5,2014-06-23T14:26:39.000,REFUSED,,0,106371.0,1406880,1007027.0,694,6,4.0,,0.0,0,199310-17
9833,39.0,156,,,,,,12.0,2010-11-02T14:55:59.000,,,0,,210265,,694,36,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,154112-nan
2.20e+05,39.0,0,,,,,,8.0,2010-11-02T14:55:57.000,,,0,,6687,,694,5,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,126197-nan
288275,0.0,0,,,ROCKAWAY AVENUE,0.0,EAST NEW YORK AVENUE,0.44,2013-04-29T14:49:50.000,,,0,43880.0,1306619,1008913.0,694,48,4.0,,0.0,0,191192-367
301742,0.0,0,,,FORBELL STREET,0.0,COZINE AVENUE,0.84,2014-04-18T08:41:46.000,,,0,51070.0,1405681,1023097.0,694,1,1.0,,0.0,0,197790-922
27872900.00%,0.0,0,,,FULTON STREET,0.0,SOMERS STREET,0.2,2012-08-09T10:29:07.000,,,0,43912.0,1208478,1008873.0,694,8,4.0,,0.0,0,185409-2055
194910,39.0,0,,,,,,19.94,2010-11-02T14:55:57.000,,,0,,9905854,,619,36,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,105977-nan
270271,0.0,10,,,SHERIDAN AVENUE,0.0,MARCY PLACE,0.2,2012-02-06T11:21:18.000,,,0,174352.0,1205378,1008184.0,694,48,6.0,,0.0,0,181721-1346
223896,,0,,,,,,68.65,2010-11-02T14:55:57.000,,,0,,9700851,,613,21,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,133734-nan
322389,0.0,6,,,EAST  220 STREET,1054.35,BARNES AVENUE,1.0,2015-09-23T10:18:24.000,,,0,131405.0,1508375,1023545.0,694,65,,,0.0,0,208782-850
175598,,0,,,,,,210.4,2010-11-02T14:55:56.000,,,0,,9805853,,619,71,9.0,PB STATUS = ASSIGNED TO INTAKE,,30,56502-nan
130791,39.0,77,1.0,,,,,0.0,2010-11-02T14:55:59.000,,,0,,808789,,694,74,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,68853-nan
148886,40.0,0,1.0,,,,,0.19,2010-11-02T14:55:59.000,,,0,,910469,,694,20,10.0,PB STATUS = ASSIGNED TO INTAKE,,0,82874-nan
55259,39.0,39,,,,,,1.2,2010-11-02T14:55:54.000,,,0,,505352,,693,34,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,19500-nan
68187,39.0,0,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,514051,,694,22,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,31105-nan
135430,39.0,0,1.0,,,,,0.1,2010-11-02T14:55:56.000,,,0,,812296,,331,8,9.0,PB STATUS = ASSIGNED TO INTAKE,,0,73292-nan
324940,0.0,6,,,FULTON STREET,0.0,HULL STREET,9.41,2015-11-23T12:42:55.000,,,0,167593.0,1509128,1007101.0,694,19,2.0,,0.0,0,209541-2012
71955,39.0,0,,,,,,12.25,2010-11-02T14:55:54.000,,,0,,605272,,694,41,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,32834-nan
216783,39.0,0,,,,,,41.39,2010-11-02T14:55:57.000,,,0,,6891,,694,14,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,123698-nan
46713,,0,,,,,,115.7,2010-11-02T14:55:57.000,,,0,,9707834,,337,23,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,116635-nan
326891,0.0,0,,,BEACH   72 STREET,0.0,DE COSTA AVENUE,3.29,2016-01-05T11:39:14.000,INSP ZATIK,,0,54088.0,1509894,1039445.0,694,1,10.0,,0.0,0,210760-667
88920,40.0,0,,,,361.05,,0.5,2010-11-02T14:55:54.000,,,0,,609419,,693,43,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,39619-nan
242766,39.0,0,,,,,,110.87,2010-11-02T14:55:59.000,,,0,,107180,,612,12,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,142641-nan
95166,,0,,,,,,201.7,2010-11-02T14:55:57.000,,,0,,9802255,,331,15,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,132457-nan
142738,39.0,0,1.0,,,,,0.3,2010-11-02T14:55:56.000,,,0,,907080,,694,43,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,78761-nan
