resp,sc1,ih5a_2,cc1,ih4_2,bf1amns,fdate,cp10mns,mp1,st2,el13a,cp8,bc1a,sd1wks,cp4,el13c,el12wks,el17c,ih4_3,selchild,mh3,fixd2,cp6a,st3
1342,1,,2.0,,4.0,24-Mar-16,,0,4,,,6,,,,,2.0,,,2.0,11691.0,,1
437,1,,6.0,,4.0,2-Mar-16,,0,4,10.0,45.0,8,,1.0,10.0,,2.0,,,,11216.0,2.0,4
162,1,,5.0,,6.0,25-Feb-16,,3,4,,40.0,11,,1.0,,6.0,2.0,,,,11206.0,2.0,4
1135,1,,,,6.0,21-Mar-16,,0,4,,60.0,3,,1.0,,,,,,,98115.0,2.0,4
965,1,,5.0,,,18-Mar-16,,0,4,6.0,40.0,7,,1.0,6.0,12.0,2.0,,,,10009.0,1.0,4
677,1,,3.0,,7.0,9-Mar-16,,0,4,2.0,666.0,5,,1.0,2.0,6.0,2.0,,,,19810.0,2.0,4
717,1,,5.0,,5.0,10-Mar-16,,2,4,0.0,48.0,12,,1.0,3.0,8.0,2.0,,,,11207.0,1.0,4
1239,1,,5.0,,9.0,23-Mar-16,1.0,1,4,,40.0,6,,2.0,,,2.0,,,,11369.0,1.0,4
1235,1,,,,6.0,23-Mar-16,,1,4,,60.0,8,,1.0,,,,,,,10466.0,2.0,4
1512,1,,,,4.0,30-Mar-16,,1,4,,35.0,5,,1.0,,,,,,,11223.0,6.0,4
811,1,,,,6.0,14-Mar-16,,0,4,12.0,80.0,11,,1.0,0.0,,,,,,10016.0,5.0,4
1339,1,,,,4.0,24-Mar-16,,2,4,,40.0,8,,1.0,,,,,,,11377.0,3.0,4
42,1,,1.0,,6.0,24-Feb-16,,3,4,77.0,40.0,12,,1.0,1.0,,2.0,,,,10553.0,1.0,4
740,1,,,,8.0,12-Mar-16,,2,2,,,4,,,,,,,,,10303.0,,2
746,1,,5.0,,5.0,12-Mar-16,,3,4,4.0,35.0,11,,1.0,6.0,,2.0,,,,11434.0,1.0,4
1292,1,,,,3.0,23-Mar-16,,5,4,,666.0,8,,1.0,,,,,,,11225.0,3.0,4
187,1,,,,6.0,25-Feb-16,,5,4,,40.0,2,,1.0,,,,,,,11219.0,5.0,4
1389,1,,,,,25-Mar-16,,1,4,,9.0,12,,1.0,,,,,,,11202.0,1.0,4
879,1,,6.0,,6.0,16-Mar-16,,0,4,0.0,45.0,7,,1.0,6.0,16.0,2.0,,,,10027.0,1.0,4
603,1,,6.0,,,8-Mar-16,,3,4,,0.0,2,12.0,1.0,,12.0,1.0,,,,11236.0,1.0,4
1253,1,,,,,23-Mar-16,,2,4,,40.0,12,,1.0,,,,,,,11214.0,1.0,4
1492,1,,2.0,,,29-Mar-16,,0,4,3.0,40.0,9,,1.0,12.0,,2.0,,,,10467.0,1.0,4
173,1,,,,6.0,25-Feb-16,,4,4,,22.0,3,,1.0,,6.0,,,,,11213.0,3.0,4
427,1,,,,5.0,2-Mar-16,,1,4,0.0,30.0,1,,1.0,6.0,6.0,,,,,10455.0,1.0,2
49,1,,6.0,,7.0,24-Feb-16,3.0,0,4,,60.0,9,,1.0,,,1.0,,,,11215.0,2.0,4
301,1,,,,4.0,28-Feb-16,,6,4,,777.0,9,,1.0,,,,,,,10468.0,6.0,4
453,1,,2.0,,4.0,3-Mar-16,,0,4,,40.0,5,,1.0,,,1.0,,,,11219.0,1.0,2
473,1,,2.0,,5.0,7-Mar-16,,1,4,0.0,40.0,12,,1.0,0.0,,2.0,,,2.0,11373.0,4.0,4
609,1,,6.0,,6.0,8-Mar-16,,0,4,7.0,40.0,4,,1.0,5.0,12.0,2.0,,,,11372.0,1.0,4
90,1,,5.0,,,25-Feb-16,,2,4,,,3,,,,,2.0,,,,10452.0,,2
1106,1,,1.0,,,21-Mar-16,,0,4,6.0,40.0,6,,1.0,0.0,,2.0,,,,10031.0,1.0,4
23,1,,2.0,,4.0,24-Feb-16,,2,4,6.0,40.0,10,,1.0,1.0,,1.0,,,,10475.0,2.0,4
750,1,,,,4.0,12-Mar-16,,0,4,,54.0,9,,1.0,,,,,,2.0,10305.0,1.0,4
224,1,,,,,26-Feb-16,,1,4,,60.0,99,,1.0,,,,,,,11226.0,4.0,4
1340,1,,3.0,,,24-Mar-16,,1,4,0.0,666.0,8,,1.0,12.0,6.0,2.0,,,,10474.0,1.0,4
118,1,,,,6.0,25-Feb-16,,4,4,,40.0,9,,1.0,,,,,,,11213.0,5.0,4
624,1,,,,6.0,13-Mar-16,,0,4,,,2,,,,,,,,,10459.0,,1
261,1,,,,5.0,27-Feb-16,,2,4,,40.0,4,,1.0,,,,,,,10458.0,2.0,4
236,1,,2.0,,,26-Feb-16,,2,4,6.0,45.0,8,,1.0,0.0,12.0,2.0,,,,10314.0,1.0,2
1179,1,,5.0,,,22-Mar-16,,1,4,0.0,50.0,12,,1.0,12.0,14.0,2.0,,,,10036.0,1.0,4
789,1,,,,4.0,14-Mar-16,,2,2,,40.0,8,,1.0,,,,,,,11225.0,3.0,1
1193,1,,6.0,,6.0,22-Mar-16,,1,4,,,10,,,,,2.0,,,,11372.0,,4
727,1,,,,5.0,11-Mar-16,,3,4,,40.0,1,,1.0,,,,,,,10457.0,5.0,4
1308,1,,,,,24-Mar-16,,0,4,,777.0,2,,1.0,,,,,,,10303.0,3.0,4
935,1,,5.0,,8.0,17-Mar-16,,1,4,,777.0,4,,1.0,,,1.0,,,,11219.0,5.0,4
345,1,,,,8.0,29-Feb-16,,1,2,,777.0,3,,1.0,,,,,,2.0,10039.0,3.0,4
852,1,,,,,18-Mar-16,,1,1,,0.0,9,,2.0,,,,,,,10457.0,6.0,4
1457,1,,5.0,,,28-Mar-16,,1,4,2.0,70.0,1,,1.0,6.0,12.0,2.0,,,,10021.0,1.0,4
373,1,,7.0,,6.0,29-Feb-16,,0,4,99.0,50.0,7,,1.0,8.0,,2.0,,,,10027.0,3.0,4
1093,1,,6.0,,5.0,21-Mar-16,,0,4,4.0,50.0,9,10.0,1.0,0.0,10.0,2.0,,,,10463.0,2.0,4
160,1,,,,,25-Feb-16,,2,4,,40.0,8,,1.0,,,,,,,11209.0,3.0,4
906,1,,,,4.0,17-Mar-16,,1,4,,40.0,12,,1.0,,,,,,,11208.0,1.0,4
825,1,,3.0,,,15-Mar-16,2.0,1,4,,40.0,8,,1.0,,,2.0,,,,10314.0,1.0,4
1214,1,,,,6.0,22-Mar-16,,0,77,0.0,,5,,,12.0,,,,,,11218.0,,4
36,1,,,,5.0,24-Feb-16,,0,4,,40.0,12,,1.0,,6.0,,,,,10472.0,2.0,4
1137,1,,6.0,,12.0,21-Mar-16,,5,4,0.0,35.0,5,6.0,1.0,6.0,6.0,2.0,,,,11218.0,5.0,4
856,1,,1.0,,,16-Mar-16,,2,4,0.0,777.0,6,,2.0,6.0,,2.0,,,,11206.0,4.0,4
590,1,,2.0,,5.0,8-Mar-16,,0,4,,40.0,12,,2.0,,5.0,1.0,,,,11368.0,3.0,4
119,1,,5.0,,3.0,25-Feb-16,,0,4,,40.0,11,,1.0,,12.0,1.0,,,,11221.0,1.0,4
987,1,,1.0,,6.0,19-Mar-16,,2,4,0.0,40.0,9,,1.0,2.0,,2.0,,,,75024.0,2.0,4
1256,1,,2.0,,7.0,31-Mar-16,,1,99,,,3,,,,8.0,2.0,,,,10475.0,,4
713,1,,3.0,,8.0,13-Mar-16,,2,4,,666.0,8,,1.0,,6.0,1.0,,,,11219.0,3.0,4
1113,1,,2.0,,12.0,21-Mar-16,,0,2,,777.0,8,,2.0,,,1.0,,,,11367.0,4.0,4
133,1,,2.0,,4.0,25-Feb-16,,0,4,,777.0,6,,1.0,,,2.0,,,,10458.0,1.0,4
325,1,,,,6.0,28-Feb-16,,3,1,,40.0,99,,1.0,,,,,,,11432.0,1.0,4
96,1,,5.0,,8.0,25-Feb-16,,1,4,,,12,,,,,2.0,,,,10458.0,,4
75,1,,5.0,,6.0,25-Feb-16,,0,4,6.0,50.0,9,,1.0,6.0,12.0,2.0,,,,29707.0,2.0,4
595,1,,,,2.0,8-Mar-16,,0,4,,40.0,6,,1.0,,,,,,,11368.0,3.0,4
999,1,,6.0,,6.0,18-Mar-16,,0,4,1.0,40.0,2,,1.0,7.0,8.0,2.0,,,,10469.0,1.0,4
769,1,,5.0,,,13-Mar-16,,6,4,,30.0,9,,1.0,,,2.0,,,,11204.0,3.0,4
706,1,,,,4.0,10-Mar-16,,1,4,4.0,40.0,9,,1.0,0.0,19.0,,,,,10308.0,1.0,4
1079,1,,6.0,,6.0,20-Mar-16,,2,4,6.0,60.0,9,,1.0,0.0,,1.0,,,,11215.0,1.0,4
167,1,,5.0,,6.0,25-Feb-16,,0,4,4.0,12.0,3,,1.0,0.0,,2.0,,,,10012.0,1.0,4
583,1,,5.0,,,8-Mar-16,,0,4,0.0,30.0,5,,1.0,6.0,6.0,2.0,,,,11203.0,1.0,4
1306,1,,5.0,,4.0,23-Mar-16,,0,4,9.0,55.0,12,,1.0,0.0,12.0,1.0,,,,11233.0,1.0,4
1516,1,,,,6.0,30-Mar-16,,0,4,,32.0,9,,1.0,,,,,,,11370.0,1.0,4
1016,1,,2.0,,4.0,18-Mar-16,,2,1,6.0,50.0,8,,1.0,6.0,,2.0,,,1.0,11362.0,3.0,4
1227,1,,,,2.0,23-Mar-16,,1,4,,40.0,8,,1.0,,,,,,,10452.0,1.0,4
1159,1,,3.0,,6.0,28-Mar-16,,4,1,,777.0,8,,2.0,,,2.0,,,1.0,10468.0,1.0,1
945,1,,2.0,,6.0,17-Mar-16,,0,4,,25.0,3,,2.0,,,1.0,,,2.0,11370.0,1.0,4
1210,1,,5.0,,8.0,22-Mar-16,1.0,0,4,,40.0,4,,1.0,,,2.0,,,,11435.0,1.0,4
722,1,,,,4.0,10-Mar-16,,0,4,,40.0,3,,1.0,,,,,,,10801.0,1.0,4
986,1,,1.0,,,18-Mar-16,,0,4,,40.0,4,,1.0,,,2.0,,,,11434.0,3.0,2
1263,1,,,,6.0,23-Mar-16,,1,4,,40.0,7,,1.0,,,,,,,10459.0,3.0,4
977,1,,,,,18-Mar-16,,1,4,,8.0,6,,1.0,,,,,,,11207.0,1.0,1
478,1,,2.0,,,4-Mar-16,,0,4,,30.0,7,,1.0,,,77.0,,,,10312.0,1.0,4
1386,1,,,,5.0,28-Mar-16,,3,4,,40.0,2,,1.0,,,,,,,11213.0,2.0,4
937,1,,6.0,,4.0,17-Mar-16,,0,4,,40.0,12,,1.0,,,1.0,,,,10469.0,1.0,4
466,1,,2.0,,5.0,4-Mar-16,6.0,0,4,0.0,30.0,1,,1.0,12.0,,2.0,,,,11217.0,1.0,4
219,1,,6.0,,4.0,26-Feb-16,,0,4,0.0,20.0,9,,2.0,16.0,16.0,2.0,,,,11222.0,1.0,4
210,1,,5.0,,4.0,26-Feb-16,,0,4,,777.0,4,,1.0,,,2.0,,,,11226.0,1.0,2
449,1,,6.0,,12.0,3-Mar-16,,0,4,1.0,,6,,,0.0,1.0,2.0,,,,11219.0,,4
967,1,,1.0,,7.0,18-Mar-16,,1,4,,666.0,2,,1.0,,,1.0,,,,11212.0,1.0,4
785,1,,4.0,,6.0,14-Mar-16,,1,4,,,5,,,,6.0,2.0,,,,11206.0,,4
697,1,,1.0,,,15-Mar-16,,0,3,0.0,777.0,11,,2.0,6.0,12.0,2.0,,,,10303.0,1.0,4
1417,1,,2.0,,6.0,25-Mar-16,,2,4,,666.0,12,,1.0,,,2.0,,,,10034.0,1.0,4
573,1,,5.0,,6.0,9-Mar-16,,1,4,0.0,60.0,11,,2.0,6.0,6.0,2.0,,,,11215.0,1.0,4
25,1,,2.0,,,29-Feb-16,2.0,0,4,,40.0,9,,1.0,,,1.0,,,,11373.0,1.0,4
1153,1,,5.0,,5.0,22-Mar-16,,1,4,,,3,,,,10.0,1.0,,,,11565.0,,4
836,1,,5.0,,6.0,15-Mar-16,,0,4,,50.0,8,,1.0,,,2.0,,,,10280.0,4.0,4
1311,1,,,,5.0,24-Mar-16,,0,4,,6.0,2,,1.0,,,,,,,10472.0,2.0,4
720,1,,,,,10-Mar-16,,1,4,,999.0,12,,1.0,,,,,,,11229.0,1.0,4
482,1,,6.0,,4.0,4-Mar-16,,0,4,20.0,50.0,3,,1.0,12.0,,2.0,,,,10023.0,1.0,4
907,1,,,,6.0,17-Mar-16,,0,4,,4.0,2,,1.0,,,,,,,10704.0,2.0,4
499,1,,,,9.0,5-Mar-16,,1,4,,45.0,8,,1.0,,,,,,,10007.0,2.0,4
612,1,,2.0,,7.0,11-Mar-16,,1,4,,35.0,10,,2.0,,4.0,2.0,,,,10466.0,1.0,4
398,1,,,,5.0,1-Mar-16,,2,4,,40.0,10,,1.0,,,,,,,11210.0,1.0,4
424,1,,2.0,,5.0,2-Mar-16,,1,4,0.0,38.0,10,,1.0,4.0,4.0,2.0,,,,10468.0,5.0,4
1255,1,,,,6.0,23-Mar-16,,1,4,,80.0,11,,1.0,,,,,,,10208.0,2.0,4
1440,1,,1.0,,5.0,28-Mar-16,,2,4,,40.0,1,,1.0,,,77.0,,,,10467.0,1.0,4
876,1,,7.0,,5.0,16-Mar-16,,2,4,,777.0,6,,1.0,,,2.0,,,,6704.0,77.0,1
880,1,,,,6.0,16-Mar-16,,2,4,,40.0,12,,1.0,,,,,,,10455.0,3.0,4
1081,1,,,,,20-Mar-16,,1,4,,777.0,5,,1.0,,,,,,,10468.0,2.0,4
1224,1,,5.0,,2.0,24-Mar-16,,2,4,,45.0,11,,1.0,,3.0,1.0,,,,90026.0,1.0,4
497,1,,,,6.0,5-Mar-16,,1,99,,0.0,11,,2.0,,,,,,,11421.0,1.0,4
733,1,,,,,11-Mar-16,,0,4,,,10,,,,,,,,,11418.0,,4
422,1,,,,,2-Mar-16,,0,77,,777.0,9,,1.0,,,,,,,11223.0,6.0,1
665,1,,3.0,,1.0,11-Mar-16,,2,4,77.0,777.0,12,,1.0,77.0,15.0,1.0,,,,11233.0,4.0,4
34,1,,6.0,,7.0,24-Feb-16,,0,4,,40.0,3,,2.0,,,2.0,,,,10462.0,3.0,4
1525,1,,,,3.0,31-Mar-16,,2,4,,40.0,3,,1.0,,,,,,,10466.0,3.0,4
588,1,,,,4.0,8-Mar-16,,2,4,,40.0,10,,1.0,,,,,,,11421.0,2.0,2
1381,1,,7.0,,4.0,25-Mar-16,,1,4,0.0,40.0,10,,1.0,0.0,,2.0,,,,11205.0,1.0,4
1264,1,,,,2.0,23-Mar-16,,0,4,,777.0,5,,2.0,,,,,,,10461.0,5.0,1
800,1,,2.0,,,14-Mar-16,,2,4,,666.0,11,,1.0,,8.0,2.0,,,,11414.0,3.0,4
768,1,,5.0,,4.0,15-Mar-16,,2,4,2.0,40.0,11,,1.0,0.0,10.0,2.0,,,,11366.0,6.0,4
332,1,,,,,29-Feb-16,,0,4,,40.0,10,,1.0,,,,,,,11221.0,1.0,4
598,1,,6.0,,,8-Mar-16,,2,4,,35.0,1,,2.0,,,1.0,,,,10068.0,4.0,1
647,1,,5.0,,,9-Mar-16,,0,4,0.0,40.0,12,,1.0,16.0,16.0,2.0,,,,10128.0,1.0,4
794,1,,,,6.0,14-Mar-16,,0,4,,80.0,8,,1.0,,,,,,,10467.0,1.0,4
397,1,,5.0,,5.0,1-Mar-16,,1,4,2.0,50.0,11,,1.0,10.0,,2.0,,,,10010.0,1.0,4
1149,1,,2.0,,4.0,22-Mar-16,,0,4,0.0,,4,,,0.0,,1.0,,,,10454.0,,4
1204,1,,7.0,,,26-Mar-16,,0,1,0.0,60.0,8,,1.0,0.0,10.0,2.0,,,,10023.0,2.0,4
1379,1,,6.0,,4.0,25-Mar-16,,0,4,1.0,40.0,6,,2.0,0.0,,1.0,,,,7036.0,4.0,4
544,1,,1.0,,12.0,7-Mar-16,,0,4,,0.0,2,,1.0,,6.0,1.0,,,,11249.0,3.0,4
553,1,,5.0,,5.0,8-Mar-16,,1,4,0.0,50.0,1,,1.0,4.0,,2.0,,,,10065.0,3.0,4
835,1,,,,7.0,15-Mar-16,,0,4,,45.0,4,,1.0,,,,,,,11212.0,2.0,4
616,1,,,,11.0,8-Mar-16,,0,4,,666.0,4,,1.0,,,,,,,10472.0,1.0,4
474,1,,,,,4-Mar-16,,0,4,,50.0,9,,1.0,,,,,,,22301.0,1.0,4
221,1,,,,5.0,26-Feb-16,,0,4,,50.0,2,,1.0,,,,,,,11229.0,5.0,4
20,1,,5.0,,6.0,24-Feb-16,,2,4,,40.0,4,,1.0,,,2.0,,,,11419.0,2.0,4
1391,1,,6.0,,,25-Mar-16,,0,4,0.0,60.0,2,,1.0,0.0,,1.0,,,,11377.0,5.0,4
310,1,,,,5.0,28-Feb-16,,1,4,,45.0,4,,1.0,,,,,,,11212.0,1.0,4
1388,1,,,,5.0,25-Mar-16,,0,2,,70.0,5,,1.0,,,,,,,11231.0,1.0,2
1299,1,,2.0,,,23-Mar-16,,1,4,4.0,35.0,5,,1.0,6.0,6.0,2.0,,,,11418.0,1.0,4
1446,1,,,,6.0,28-Mar-16,,2,4,,50.0,12,,1.0,,,,,,,11215.0,1.0,4
744,1,,5.0,,6.0,12-Mar-16,,0,4,,,5,,,,,1.0,,,2.0,11374.0,,4
522,1,,,,,6-Mar-16,,0,4,,40.0,3,,1.0,,,,,,,11237.0,1.0,4
1187,1,,5.0,,4.0,28-Mar-16,,0,4,1.0,40.0,7,,1.0,0.0,12.0,2.0,,,,10065.0,4.0,4
76,1,,,,,25-Feb-16,,3,2,,40.0,8,,1.0,,,,,,,10457.0,1.0,1
1257,1,,5.0,,6.0,23-Mar-16,,1,4,0.0,50.0,10,,1.0,16.0,,2.0,,,,10280.0,1.0,4
754,1,,2.0,,,12-Mar-16,,0,4,2.0,60.0,6,,1.0,20.0,,1.0,,,,10453.0,1.0,4
1267,1,,,,6.0,23-Mar-16,,0,1,,40.0,7,,1.0,,,,,,,10467.0,2.0,1
1034,1,,5.0,,,19-Mar-16,,1,4,,70.0,12,,1.0,,11.0,2.0,,,,10128.0,1.0,4
141,1,,5.0,,6.0,25-Feb-16,,0,2,8.0,35.0,2,,1.0,8.0,16.0,2.0,,,,11215.0,1.0,4
821,1,,1.0,,,15-Mar-16,,1,4,,40.0,12,,1.0,,,2.0,,,,11219.0,4.0,4
1478,1,,,,6.0,29-Mar-16,,4,4,,,11,,,,,,,,,10453.0,,4
124,1,,,,6.0,25-Feb-16,,1,4,,45.0,4,,1.0,,,,,,,7003.0,3.0,4
947,1,,2.0,,7.0,18-Mar-16,,0,4,0.0,45.0,8,,1.0,0.0,,1.0,,,,11234.0,1.0,4
787,1,,,,2.0,14-Mar-16,,3,4,,40.0,3,,1.0,,,,,,,10033.0,2.0,4
355,1,,5.0,,6.0,29-Feb-16,,0,2,,45.0,12,,2.0,,,2.0,,,,11233.0,2.0,4
969,1,,3.0,,4.0,18-Mar-16,,1,4,0.0,777.0,7,,2.0,6.0,,1.0,,,,11434.0,3.0,4
833,1,,,,7.0,15-Mar-16,,0,4,,777.0,12,,1.0,,,,,,,11225.0,6.0,4
365,1,,6.0,,6.0,29-Feb-16,,0,4,1.0,,1,,,6.0,16.0,1.0,,,,10039.0,,4
1068,1,,5.0,,6.0,20-Mar-16,,1,4,4.0,40.0,11,,1.0,24.0,24.0,1.0,,,,11101.0,1.0,4
202,1,,,,,26-Feb-16,3.0,0,4,,40.0,8,,1.0,,,,,,,11434.0,1.0,1
375,1,,1.0,,4.0,29-Feb-16,,0,4,,40.0,2,,2.0,,4.0,1.0,,,1.0,10036.0,1.0,1
652,1,,,,,9-Mar-16,,1,4,,40.0,10,,1.0,,,,,,,11213.0,1.0,2
858,1,,,,12.0,16-Mar-16,,1,4,,777.0,4,,2.0,,,,,,,10460.0,3.0,4
1396,1,,,,12.0,25-Mar-16,,0,4,,40.0,10,,1.0,,,,,,,11226.0,1.0,2
1067,1,,5.0,,5.0,20-Mar-16,,0,2,3.0,45.0,1,,1.0,77.0,,2.0,,,,10017.0,1.0,4
1022,1,,6.0,,6.0,18-Mar-16,,1,1,3.0,30.0,1,,1.0,5.0,12.0,2.0,,,,11218.0,1.0,4
216,1,,,,,26-Feb-16,,1,4,,,8,,,,,,,,,8873.0,,4
743,1,,,,3.0,12-Mar-16,,2,4,,48.0,6,,1.0,,,,,,,10467.0,3.0,4
558,1,,5.0,,6.0,8-Mar-16,,0,4,,55.0,4,,1.0,,,1.0,,,,11231.0,1.0,4
121,1,,,,,25-Feb-16,,1,2,,40.0,2,,1.0,,,,,,,11206.0,1.0,3
555,1,,5.0,,8.0,8-Mar-16,,1,4,4.0,60.0,12,,1.0,8.0,12.0,2.0,,,,11201.0,1.0,4
958,1,,6.0,,4.0,19-Mar-16,,0,4,3.0,40.0,5,,1.0,8.0,14.0,2.0,,,,94401.0,1.0,4
419,1,,,,6.0,2-Mar-16,,0,4,,40.0,4,,1.0,,,,,,,11223.0,3.0,4
1529,1,,,,6.0,31-Mar-16,,1,4,,40.0,6,,1.0,,,,,,,11226.0,1.0,4
493,1,,5.0,,,5-Mar-16,,0,4,6.0,40.0,7,,1.0,6.0,12.0,2.0,,,,10027.0,3.0,4
994,1,,2.0,,,18-Mar-16,,1,3,,,4,,,,,2.0,,,,10452.0,,4
855,1,,,,8.0,25-Mar-16,,1,2,,35.0,5,,1.0,,,,,,1.0,10031.0,1.0,2
660,1,,7.0,,12.0,9-Mar-16,,3,4,,40.0,8,,1.0,,,1.0,,,2.0,11231.0,1.0,2
826,1,,5.0,,,15-Mar-16,,0,4,1.0,40.0,9,,1.0,77.0,,2.0,,,,10027.0,2.0,4
67,1,,2.0,,4.0,24-Feb-16,,2,4,,40.0,2,,1.0,,,1.0,,,,11233.0,1.0,4
734,1,,6.0,,3.0,11-Mar-16,,0,4,4.0,40.0,9,,1.0,0.0,,2.0,,,,11103.0,1.0,4
942,1,,1.0,,4.0,17-Mar-16,,0,4,8.0,40.0,11,,1.0,8.0,12.0,2.0,,,,10473.0,3.0,4
1048,1,,,,,20-Mar-16,,0,4,,30.0,12,,1.0,,,,,,,11214.0,5.0,4
1169,1,,2.0,,,22-Mar-16,,0,4,6.0,777.0,5,,1.0,6.0,,2.0,,,,11208.0,1.0,4
1345,1,,6.0,,2.0,24-Mar-16,,4,4,3.0,,8,,,0.0,,2.0,,,,10456.0,,4
445,1,,,,6.0,2-Mar-16,,1,3,,0.0,10,,2.0,,,,,,,10453.0,1.0,4
1234,1,,5.0,,,23-Mar-16,,4,4,,,5,,,,,2.0,,,,11204.0,,4
812,1,,3.0,,,15-Mar-16,,0,4,,40.0,2,,1.0,,8.0,1.0,,,,60076.0,1.0,2
135,1,,,,6.0,25-Feb-16,,1,2,,60.0,8,,1.0,,,,,,,10024.0,4.0,4
50,1,,2.0,,,25-Feb-16,,1,4,0.0,40.0,9,,1.0,3.0,,1.0,,,,10031.0,1.0,2
1544,1,,6.0,,7.0,3-Apr-16,,6,4,,20.0,9,,1.0,,6.0,2.0,,,,11219.0,3.0,4
805,1,,5.0,,,14-Mar-16,,1,2,,40.0,1,,1.0,,,1.0,,,1.0,10040.0,5.0,4
827,1,,6.0,,5.0,15-Mar-16,,0,4,0.0,40.0,2,,1.0,10.0,14.0,2.0,,,,11201.0,1.0,4
667,1,,,,5.0,9-Mar-16,,2,3,,777.0,8,,1.0,,,,,,,11369.0,2.0,1
1240,1,,1.0,,4.0,23-Mar-16,,0,2,0.0,777.0,99,,1.0,24.0,,2.0,,,,10027.0,3.0,4
626,1,,5.0,,6.0,8-Mar-16,,0,4,0.0,40.0,6,,1.0,0.0,14.0,1.0,,,,11377.0,2.0,4
415,1,,6.0,,7.0,2-Mar-16,,0,4,,,3,,,,,1.0,,,,19142.0,,4
536,1,,5.0,,6.0,7-Mar-16,,0,2,6.0,65.0,4,,1.0,6.0,,2.0,,,,11217.0,2.0,4
1126,1,,,,,21-Mar-16,,0,4,8.0,,12,,,4.0,16.0,,,,,10011.0,,4
142,1,,2.0,,12.0,25-Feb-16,,0,4,8.0,40.0,4,,1.0,4.0,12.0,1.0,,,2.0,10026.0,1.0,4
952,1,,1.0,,6.0,18-Mar-16,,1,4,0.0,25.0,5,,1.0,0.0,,1.0,,,,11354.0,1.0,4
730,1,,,,3.0,11-Mar-16,,1,4,,32.0,5,,1.0,,,,,,,11434.0,1.0,4
1095,1,,,,,21-Mar-16,,5,4,,20.0,6,,1.0,,,,,,,11249.0,2.0,4
