other,owner_s__house_street,zoning_distr_1,landmarked,block,special_distr_1,proposed_occupancy,pre_filing_date,zoning_distr_2,fully_permitted,owner_type_description
X,EAST 38TH STREET                ,R8          ,,2138,,RES ,2017-06-01T00:00:00.000,,2017-07-17T00:00:00.000,CORPORATION                             
X,W 145 ST                        ,R7-2        ,,2025,,RES ,2014-12-09T00:00:00.000,,2015-04-01T00:00:00.000,CORPORATION                             
X,WEST 22ND ST                    ,C1-6A       ,,744,,RES ,2013-05-03T00:00:00.000,,2013-07-30T00:00:00.000,PARTNERSHIP                             
X,NEW STREET                      ,R7-2        ,,2243,,J-2 ,2014-11-03T00:00:00.000,C8-3        ,2014-11-14T00:00:00.000,CORPORATION                             
X,BOWERY                          ,R7-2        ,,276,,RES ,2012-10-03T00:00:00.000,,2013-05-02T00:00:00.000,PARTNERSHIP                             
X,EAST 25TH STREET                ,C6-4        ,,1039,CL    ,J-1 ,2014-12-16T00:00:00.000,,2016-10-18T00:00:00.000,PARTNERSHIP                             
X,SYLVAN WAY                      ,C2-8        ,,910,,RES ,2015-04-28T00:00:00.000,R7B         ,2015-10-01T00:00:00.000,PARTNERSHIP                             
X,LEXINGTON AVENUE                ,R8          ,,2139,,J-2 ,2015-03-13T00:00:00.000,,2015-11-19T00:00:00.000,PARTNERSHIP                             
X,7TH AVENUE                      ,C5-5        ,,24,LM    ,J-2 ,2014-02-19T00:00:00.000,,2014-03-20T00:00:00.000,PARTNERSHIP                             
X,SYLVAN WAY                      ,M1-6        ,,580,,COM ,2015-05-07T00:00:00.000,,2016-03-04T00:00:00.000,CORPORATION                             
X,WEST 65TH STREET                ,R10A        ,,1118,,PUB ,2014-12-22T00:00:00.000,,2015-01-20T00:00:00.000,CORPORATION                             
X,WALSH DRIVE                     ,R10A        ,Y,1196,,RES ,2014-06-27T00:00:00.000,,2014-10-14T00:00:00.000,PARTNERSHIP                             
X,PARK AVENUE SOUTH               ,C1-9A       ,,927,,COM ,2013-09-05T00:00:00.000,R8B         ,2013-09-27T00:00:00.000,PARTNERSHIP                             
X,RENSENS LANE                    ,R7-2        ,,1610,,RES ,2014-05-20T00:00:00.000,,2014-11-21T00:00:00.000,INDIVIDUAL                              
X,VANDERBILT AVENUE               ,C5-2        ,,834,,COM ,2014-12-03T00:00:00.000,C6-4        ,2015-10-14T00:00:00.000,PARTNERSHIP                             
X,SPRING STREET                   ,M1-5A       ,Y,501,,RES ,2013-07-03T00:00:00.000,,2013-09-18T00:00:00.000,CONDO/CO-OP                             
X,PARK AVENUE SOUTH               ,C6-6        ,,1263,MID   ,COM ,2014-12-09T00:00:00.000,,2017-04-12T00:00:00.000,CORPORATION                             
X,EAST 40TH ST                    ,C6-6        ,,1306,MID   ,RES ,2013-06-21T00:00:00.000,,2013-08-14T00:00:00.000,PARTNERSHIP                             
X,EAST 10TH STREET                ,R8B         ,Y,379,,COM ,2013-06-18T00:00:00.000,R8A         ,2013-11-27T00:00:00.000,PARTNERSHIP                             
X,PARK AVENUE                     ,C6-3        ,,1050,HY    ,PUB ,2014-04-30T00:00:00.000,C2-8        ,2014-10-30T00:00:00.000,GOV - OTHER                             
X,EAST 27TH ST 3RD FLR            ,C6-1        ,,871,,COM ,2014-04-10T00:00:00.000,,2014-05-06T00:00:00.000,PARTNERSHIP                             
X,PRESIDENTIAL WAY                ,R8A         ,,372,,RES ,2013-10-11T00:00:00.000,,2013-11-18T00:00:00.000,PARTNERSHIP                             
X,WEST 37TH STREET                ,C1-8X       ,Y,1398,,COM ,2013-06-17T00:00:00.000,,2013-09-11T00:00:00.000,PARTNERSHIP                             
X,BROADWAY                        ,R7-2        ,,2173,,RES ,2014-02-13T00:00:00.000,,2014-04-09T00:00:00.000,CORPORATION                             
X,MASS AVE. #908                  ,R10A        ,,1235,,COM ,2014-04-14T00:00:00.000,,2014-06-19T00:00:00.000,PARTNERSHIP                             
X,WEST 55 STREET                  ,R8B         ,,1561,,RES ,2014-10-28T00:00:00.000,,2015-09-02T00:00:00.000,PARTNERSHIP                             
X,MADISON AVENUE                  ,C5-3        ,,1284,MID   ,COM ,2014-10-16T00:00:00.000,,2014-12-04T00:00:00.000,PARTNERSHIP                             
