job_description,job_status,owner_s__house__,applicant_professional_title,owner_s__phone__,pc_filed,zip_code,other_description,doc__,initial_cost,building_type,zoning_distr_3,approved
"INSTALLATION OF NEW TELECOMMUNICATIONS ANTENNA COMPONENTS ON THE ROOF.           INSTALLATION OF ADDITIONAL EQUIPMENT CABINET ON THE ROOF.  ALL WORK IN           COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.               ",R,145         ,PE,9733974814, ,10023,ANTENNA        ,1,20000.0,OTHER,,2015-06-26T00:00:00.000
"INSTALLATION OF TELECOMMUNICATIONS ANTENNAS ON THE ROOF.ALL IN CONFORMANCE WITH  TPPN# 5/98.NO CHANGE IN USE,EGRESS OR OCCUPANCY.                                ",R,175         ,PE,2124582609, ,10005,ANTENNA        ,1,4000.0,OTHER,,2013-11-07T00:00:00.000
"INSTALLATION OF NEW ANTENNA SECTORS ON ROOF. INSTALLATION OF NEW STEEL PLATFORM  ON ROOF. ALL WORK IN COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS, OR     OCCUPANCY.                                                                      ",R,81          ,PE,3479479777, ,10027,ANTENNA        ,1,80000.0,OTHER,,2014-03-14T00:00:00.000
"DECOMMISSION OF EXISTING TELECOMMUNICATIONS SITE. REMOVE ALL ROOFTOP EQUIPMENT   AND ANTENNAS. NO CHANGE IN USE, EGRESS OR OCCUPANCY.                            ",R,770         ,PE,2128887400, ,10065,ANTENNA        ,1,30000.0,OTHER,,2015-04-13T00:00:00.000
MODIFICATION TO EXISTING TELECOMMUNICATION SITE REPLACE ANTENNAS WITH RELATED RRH UNITS AND INSTALL GPS UNITS ONROOF.ALL WORK IN CONFORMANCE WITH TPPN# 5/98 NO CHANGE IN USE EGRESS OR OCCUPANCY,R,167-41      ,PE,4843587841, ,11434,ANTENNA        ,1,4300.0,OTHER,,2015-12-03T00:00:00.000
"INSTALLATION OF ANTENNAS ON THE ROOF. REPLACEMENT OF EXISTING ANTENNAS ON THE    ROOF. INSTALLATION OF ADDITIONAL EQUIPMENT WITHIN THE EXISTING EQUIPMENT ROOM    LOCATED IN THE BASEMENT. ALL WORK IN COMPLIANCE WITH TPPN 5/98. NO CHANGE IN     USE, EGRESS OR OCCUPANCY.                                                       ",R,333         ,PE,2128778500, ,10001,ANTENNA        ,1,15000.0,OTHER,,2015-07-27T00:00:00.000
"INSTALLATION OF TELECOMMUNICATIONS ANTENNAS ON FA?ADE.  RETROFIT OF EXISTING     CABINET ON ROOF.  ALL WORK IN COMPLIANCE WITH TPPN 5/98.  NO CHANGE TO           OCCUPANCY, USE, OR EGRESS.                                                      ",R,1568        ,PE,9724846411, ,10036,ANTENNA        ,1,10000.0,OTHER,,2013-12-02T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.                                          ",R,412         ,PE,6466429954, ,10001,ANTENNA        ,1,47000.0,OTHER,,2015-02-13T00:00:00.000
MODIFICATION TO EXISTING TELECOMMUNICATIONS SITE.  REPLACEMENT OF FIVE (5)       ANTENNAS ON ROOF.                                                               ,R,125         ,PE,2123598541, ,10017,ANTENNA        ,1,5500.0,OTHER,,2013-05-17T00:00:00.000
"REMOVAL OF EXISTING TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE, AND RELATED    ANTENNAS ON ROOF.  ALL WORK IN COMPLIANCE WITH TPPN 5/98.  NO CHANGE TO          OCCUPANCY, USE, OR EGRESS.                                                      ",R,450         ,PE,9738988589, ,10123,ANTENNA        ,1,20000.0,OTHER,,2015-06-23T00:00:00.000
"INSTALLATION OF RRU UNITS ON TO AN EXISTING TELECOMMUNICATION SITE ON THE ROOF. INSTALLATION OF ACCESS GATES AND REMOVAL OF RAILING ON THE ROOF. ALL WORK IN COMPLIANCE WITH TTPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,PO          ,PE,9733974814, ,10001,ANTENNA        ,1,10000.0,OTHER,,2015-10-16T00:00:00.000
"INSTALLATION OF TELECOMMUNICATION ANTENNA COMPONENTS ON THE ROOF. ALL WORK IN COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,165         ,PE,9733974814, ,10023,ANTENNA        ,1,10000.0,OTHER,,2017-03-13T00:00:00.000
"INSTALLATION OF ANTENNAS WITH RELATED RRH UNITS ON THE ROOF. ALL IN CONFORMANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",R,4           ,PE,9733974800, ,7054,ANTENNA        ,1,3000.0,OTHER,,2015-05-26T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATION SITE. INSTALL ANTENNAS AND RELATED RRH UNITS AND REPLACE AN EQUIPMENT CABINET ON ROOF.  ALL WORK IN CONFORMANCE WITH TPPN#5/98.  NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",R,4           ,PE,2017573053, ,7054,ANTENNA        ,1,7500.0,OTHER,,2018-01-11T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.    ",R,2090        ,PE,9176978786, ,10037,ANTENNA        ,1,77000.0,OTHER,,2014-07-28T00:00:00.000
MODIFICATION TO EXISTING TELECOMMUNICATIONS SITE. REPLACE TWELVE (12) ANTENNAS   ON THE ROOF.                                                                    ,R,200         ,PE,2128011000, ,10128,ANTENNA        ,1,13200.0,OTHER,,2013-05-23T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. INSTALLING (3) ADDITIONAL ANTENNAS ON THE ROOF. INSTALLING (1) ADDITIONAL CABINET ON EXISTING STEEL PLATFORM ON THE ROOF.  ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS, OR         OCCUPANCY.                                                                      ",R,2123        ,PE,7188245001, ,10461,ANTENNA        ,1,9500.0,OTHER,,2015-03-09T00:00:00.000
"MODIFICATION TO EXISTING ANTENNA SITE. REPLACING (2) EXISTING TELECOM CABINETS   IN EXISTING EQUIPMENT ROOM ON 9TH FLOOR. REMOVING (2) ANTENNAS ON THE ROOF AND   RELOCATING (6) EXISTING ANTENNAS ON THE ROOF. ALL IN CONFORMANCE WITH            TPPN#5/98.NO CHANGE IN USE,EGRESS OR OCCUPANCY                                  ",R,1230        ,PE,2123278001, ,10065,ANTENNA        ,1,15600.0,OTHER,,2015-02-24T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. INSTALLING (3) ADDITIONAL ANTENNAS ON THE ROOF. INSTALLING (1) ADDITIONAL CABINET ON EXISTING STEEL PLATFORM ON THE ROOF.  ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS, OR         OCCUPANCY.                                                                      ",R,826         ,PE,2123538223, ,10003,ANTENNA        ,1,9500.0,OTHER,,2014-12-03T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCEW WITH TPPN # 5/98. NO CHANGE IN USE,  EGRESS OR OCCUPANCY.  ",R,44          ,PE,2127248342, ,10024,ANTENNA        ,1,77000.0,OTHER,,2013-05-09T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATION SITE.  REPLACE ANTENNAS AND INSTALL RELATED RRH UNITS ON ROOF.  ALL WORK IN CONFORMANCE WITH TPPN#5/98.  NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",R,4           ,PE,2017573053, ,7054,ANTENNA        ,1,3300.0,OTHER,,2015-05-26T00:00:00.000
"CREATE NEW TELECOMMUNICATIONS ROOM ON 1ST FLOOR WITH RELATED HVAC. RELATED       CONDENSERS ON SET BACK ROOF AT 2ND FLOOR. RELATED GPS ANTENNAS ON ROOF. NO       CHANGE IN USE, EGRESS OR OCCUPANCY.                                             ",R,540         ,PE,2125212283, ,10065,ANTENNA        ,1,52000.0,OTHER,,2014-09-24T00:00:00.000
"REMOVING ALL TELECOMMUNICATION EQUIPMENT INSTALLED UNDER APPLICATION #104920846  ON THE ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE,       EGRESS, OR OCCUPANCY.                                                           ",R,8000        ,PE,7189906413, ,11432,ANTENNA        ,1,25000.0,OTHER,,2014-04-17T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATIONS SITE. REPLACE (9) ANTENNAS WITH      RELATED RRH, AND INSTALL (1) GPS ANTENNA ON ROOF.  ALL WORK IN CONFORMANCE WITH  TPPN #5/98.  NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                            ",R,1261        ,PE,2125646662, ,10001,ANTENNA        ,1,10900.0,OTHER,,2015-03-27T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.                                          ",R,2562        ,PE,7183676004, ,10458,ANTENNA        ,1,30000.0,OTHER,,2014-07-24T00:00:00.000
"REMOVAL OF EXISTING TELECOMMUNICATIONS EQUIPMENT AND DUNNAGE ON ROOF.  REMOVAL   OF RELATED ANTENNAS ON ROOF AND FACADE.  ALL WORK IN COMPLIANCE WITH TPPN 5/98.  NO CHANGE TO OCCUPANCY, USE, OR EGRESS.                                         ",R,150         ,PE,2123554900, ,10155,ANTENNA        ,1,20000.0,OTHER,,2013-09-24T00:00:00.000
"INSTALLATION OF TELECOMMUNICATION ANTENNA COMPONENTS ON THE ROOF.   ALL WORK IN COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,975         ,PE,9733974814, ,10452,ANTENNA        ,1,10000.0,OTHER,,2016-09-06T00:00:00.000
"REPLACING (8) EXISTING ANTENNAS ON ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN    #5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                                  ",R,215         ,RA,2128746400, ,10024,ANTENNA        ,1,8800.0,OTHER,,2014-08-28T00:00:00.000
"REPLACEMENT OF EXISTING TELECOMMUNICATIONS ANTENNAS WITH INSTALLATION OF RELATED RRH UNITS ON ROOF.  RETROFIT OF EXISTING CABINET AND INSTALLATION OF NEW CABINET ON EXISTING TELECOMMUNICATIONS PLATFORM ON ROOF.  ALL WORK IN COMPLIANCE WITH    TPPN 5/98.  NO CHANGE TO OCCUPANCY, USE, OR EGRESS.                             ",R,300         ,PE,2019134115, ,7003,ANTENNA        ,1,20000.0,OTHER,,2015-05-26T00:00:00.000
"MODIFICATION OF EXISTING SITE. REPLACING AND INSTALL ANTENAS ON ROOF.  ALL WORK  IS IN CONFORMANCE WITH TPPN3 5/98. NO CHANGE INUSE, EGRESS OR                    OCCUPANCY.                                                                      ",R,435         ,PE,2126273400, ,10011,ANTENNA        ,1,5300.0,OTHER,,2013-08-21T00:00:00.000
"INSTALLATION OF TELECOMMUNICATIONS CABINETS AND AIR HANDLING UNITS IN BASEMENT   INSTALLATION OF CONDENSING UNITS ON ROOF AND INSTALLATION OF ANTENNAS ON ROOF    AND FACADE. INSTALLATION OF RELATED PARTITIONS FILED UNDER SEPARATE APPLICATI    ON. ALL WORK IN COMPLIANCE WITH TPPN 5/98. NO CHANGE TO OCCUPANCY , USE, OR EG   RESS.                                                                           ",R,277         ,PE,2015710700, ,10007,ANTENNA        ,1,70000.0,OTHER,,2014-12-09T00:00:00.000
"REMOVING ALL TELECOMMUNICATION EQUIPMENT ON THE ROOF. TELECOM INSTALLATION       INSTALLED UNDER APPLICATION #103354255. ALL WORK IS IN CONFORMANCE WITH TPPN     #5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                                  ",R,100         ,PE,2122435900, ,10011,ANTENNA        ,1,25000.0,OTHER,,2014-04-04T00:00:00.000
"INSTALLATION OF RRU UNITS AND ADDITIONAL EQUIPMENT CABINET ON TO AN EXISTING TELECOMMUNICATION SITE ON THE ROOF. ALL WORK IN COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,4           ,PE,9733974814, ,7054,ANTENNA        ,1,15000.0,OTHER,,2015-10-09T00:00:00.000
"REPLACEMENT OF ANTENNAS ON ROOF. INSTALLATION OF GPS UNIT ON ROOF. INSTALLATION  OF RRH UNITS ON ROOF AND INSTALLATION OF CABINET ON ROOF.    ALL WORK IN         COMPLIANCE OF TPPN 5/98. NO CHANGE TO USE, EGRESS OR OCCUPANCY.                 ",R,160         ,PE,2127727600, ,10065,ANTENNA        ,1,30000.0,OTHER,,2013-10-21T00:00:00.000
"MODIFICATION TO EXISTING SITE. ADD AND REPLACE ANTENNAS ON ROOF, IN CONFORMANCE  WITH TPPN:5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                         ",R,30          ,PE,2126895230, ,10010,ANTENNA        ,1,12600.0,OTHER,,2013-11-07T00:00:00.000
"INSTALLING TELECOMMUNICATIONS EQUIPMENT CABINETS ON THE FIRST FLOOR WITH RELATED ANTENNAS MOUNTED TO EXISTING SIGN. ALL IN CONFORMANCE WITH TPPN 5/98. NO CHANGE  IN USE, EGRESS, OR OCCUPANCY.                                                   ",R,211         ,PE,2126869802, ,10016,ANTENNA        ,1,15000.0,OTHER,C1-8A       ,2014-08-21T00:00:00.000
"INSTALLATION OF TELECOMMUNICATIONS ANTENNAS ON THE ROOF.ALL IN CONFORMANCE WITH  TPPN# 5/98.NO CHANGE IN USE,EGRESS OR OCCUPANCY.                                ",R,60          ,PE,2128359040, ,11021,ANTENNA        ,1,8000.0,OTHER,,2014-02-24T00:00:00.000
"INSTALLATION OF (2) ADDITIONAL RRH UNITS ON THE ROOF. ALL IN CONFORMANCE WITH    TPPN# 5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                             ",R,14          ,PE,9083980520, ,7054,ANTENNA        ,1,2000.0,OTHER,,2014-09-24T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.    ",R,135         ,PE,2128076969, ,10016,ANTENNA        ,1,77000.0,OTHER,,2015-05-08T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATION SITE.  RETROFIT AN EXISTING EQUIPMENT CABINET IN THE EXISTING 4TH FLOOR EQUIPMENT AREA AND INSTALL RELATED RRH UNITS.  ALL WORK IN CONFORMANCE WITH TPPN#5/98.  NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",R,20          ,PE,2128250362, ,10005,ANTENNA        ,1,2500.0,OTHER,,2015-05-14T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. INSTALLING (3) ADDITIONAL ANTENNAS ON THE ROOF. RETROFITTING (1) EXISTING CABINET WITHIN EXISTING TELECOM ROOM IN CELLAR. ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,420         ,PE,2123684471, ,10034,ANTENNA        ,1,5500.0,OTHER,,2015-08-03T00:00:00.000
"REMOVAL OF EXISITNG TELECOMMUNICATIONS ANTENNA SECTORS ON THE ROOF. REMOVAL OF   EXISITNG TELECOMMUNICATIONS EQUIPMENT SHELTER AND RELATED DUNNAGE ON THE ROOF.   ALL WORK DONE IN COMPLIANCE WITH TPPN 5/98 NO CHANGE IN USE, EGRESS OR           OCCUPANCY.                                                                      ",R,591         ,PE,2016484016, ,11530,ANTENNA        ,1,15000.0,OTHER,,2015-01-22T00:00:00.000
"INSTALLATION OF TELECOMMUNICATIONS CABINET IN EXISTING MECHANICAL ROOM WITH      RELATED ANTENNAS ON ROOF.  ALL WORK IN COMPLIANCE WITH TPPN 5/98.  NO CHANGE TO  OCCUPANCY, USE, OR EGRESS.                                                      ",R,277         ,PE,2128261862, ,10172,ANTENNA        ,1,15000.0,OTHER,,2013-06-13T00:00:00.000
"INSTALL TELECOMMUNICATIONS CABINETS, RELATED ANTENNAS AND RELATED DUNNAGE ON     ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.    ",R,54-01       ,PE,2125347350, ,11362,ANTENNA        ,1,77000.0,OTHER,,2013-08-06T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. INSTALLING (3) ADDITIONAL ANTENNAS ON     EXISTING TOWER ON GRADE. INSTALLING (1) ADDITIONAL CABINET ON EXISTING CONCRETE  PAD ON GRADE. ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE, IN USE,     EGRESS, OR OCCUPANCY.                                                           ",R,591         ,PE,2128324540, ,10044,ANTENNA        ,1,9500.0,OTHER,,2014-09-22T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.    ",R,939         ,PE,3479548705, ,10019,ANTENNA        ,1,77000.0,OTHER,,2014-12-11T00:00:00.000
"INSTALLATION OF TELECOMMUNICATION ANTENNA COMPONENTS ON THE ROOF. ALL WORK IS IN COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.               ",R,4           ,PE,9733974814, ,7054,ANTENNA        ,1,10000.0,OTHER,,2015-05-28T00:00:00.000
"INSTALLATION OF NEW TELECOMMUNICATIONS ANTENNA COMPONENTS.    ALL WORK IN COMPLIANCE WITH TPPN 9/58. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,1841        ,PE,9733974814, ,10023,ANTENNA        ,1,10000.0,OTHER,,2015-07-20T00:00:00.000
"REPLACEMENT OF EXISTING TELECOMMUNICATIONS ANTENNAS WITH INSTALLATION OF RELATED RRH UNITS ON ROOF.  RETROFIT OF CABINET AND INSTALLATION OF RRH UNITS ON         EXISTING TELECOMMUNICATIONS PLATFORM ON ROOF.  ALL WORK IN COMPLIANCE WITH TPPN  5/98.  NO CHANGE TO OCCUPANCY, USE, OR EGRESS.                                  ",R,280         ,PE,2125329191, ,10006,ANTENNA        ,1,15000.0,OTHER,,2015-05-15T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. INSTALLING (3) ADDITIONAL ANTENNAS ON THE ROOF. INSTALLING (1) ADDITIONAL CABINET ON EXISTING STEEL PLATFORM ON THE ROOF.  ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS, OR         OCCUPANCY.                                                                      ",R,750         ,PE,5619950320, ,33487,ANTENNA        ,1,9500.0,OTHER,,2015-03-23T00:00:00.000
"ANTENNA MODIFICATION OF EXISTING SITE. RELOCATING EXISTING ANTENNAS ON THE ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS, OR         OCCUPANCY.                                                                      ",R,405         ,PE,9172144111, ,10018,ANTENNA        ,1,4000.0,OTHER,,2013-05-31T00:00:00.000
"REMOVAL OF ALL EQUIPMENT IN EXISTING TELECOMMUNICATIONS SHELTER ON ROOF.         SHELTER AND DUNNAGE TO REMAIN.  REMOVAL OF RELATED ANTENNAS ON ROOF AND FA?ADE.  ALL WORK IN COMPLIANCE WITH TPPN 5/98.  NO CHANGE TO OCCUPANCY, USE, OR EGRESS. ",R,280         ,PE,2125321497, ,10016,ANTENNA        ,1,20000.0,OTHER,,2013-07-24T00:00:00.000
"REMOVAL OF EXISTING TELECOMMUNICATIONS ROOM IN BASEMENT.  REMOVAL OF RELATED     ANTENNAS ON ROOF AND FACADE.  ALL WORK IN COMPLIANCE WITH TPPN 5/98.  NO CHANGE  TO OCCUPANCY, USE, OR EGRESS.                                                   ",R,30          ,PE,2122694888, ,10005,ANTENNA        ,1,20000.0,OTHER,,2013-09-20T00:00:00.000
"REPLACE EXISTING TELECOMMUNICATION ANTENNAS AND RELATED RRH UNITS ON ROOF. REMOVAL/INSTALLATION OF EQUIPMENT CABINET AND NEW RRH UNITS IN THE EXISTING EQUIPMENT CABINET ON ROOF. ALL WORK IN COMPLIANCE WITH TPPN 5/98. NO CHANGE TO OCCUPANCY, USE, OR EGRESS.",R,7           ,PE,2125606475, ,10001,ANTENNA        ,1,35000.0,OTHER,,2017-06-23T00:00:00.000
"INSTALL TELECOMMUNICATIONS CABINETS &RELATED DUNNAGE ON ROOF. RELATED ANTENNAS   ON ROOF AND FACADE IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR  OCCUPANCY._RELATED CONDUIT IN  BASEMENT,                                        ",R,1557        ,PE,2123986338, ,10036,ANTENNA        ,1,50000.0,OTHER,,2013-11-04T00:00:00.000
"INSTALLATION OF TELECOMMUNICATIONS ANTENNAS ON THE FACADE AND ROOF.ALL IN        CONFORMANCE WITH TPPN# 5/98.NO CHANGE IN USE,EGRESS OR OCCUPANCY                ",R,6           ,PE,5169039473, ,11021,ANTENNA        ,1,3000.0,OTHER,,2014-02-27T00:00:00.000
"REPLACING (4)EXISTING ANTENNAS AND INSTALLING (1) NEW ANTENNA ON ROOF.ALL WORK   IN CONFORMANCE WITH TPPN# 5/98.NO CHANGE IN USE,EGRESS OR OCCUPANCY.            ",R,350         ,PE,2127364300, ,10018,ANTENNA        ,1,5400.0,OTHER,,2013-10-30T00:00:00.000
"REPLACING (3) EXISTING ANTENNAS ON THE ROOF. ALL WORK IS IN CONFORMANCE WITH     TPPN #5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                             ",R,347         ,RA,2126865252, ,10016,ANTENNA        ,1,3300.0,OTHER,,2014-05-14T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. REPLACING (8) ANTENNAS AND INSTALLING (1) ANTENNA ON THE ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN $5/98. NO CHANGE IN    USE, EGRESS, OR OCCUPANCY.                                                      ",R,60          ,PE,2128011000, ,10023,ANTENNA        ,1,9800.0,OTHER,,2014-09-15T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.    ",R,1178        ,PE,2126892600, ,10001,ANTENNA        ,1,87000.0,OTHER,,2014-01-22T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATION SITE.  INSTALL RRH UNITS ON THE ROOF. ALL WORK IN CONFORMANCE WITH TPPN#5/98.  NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",R,4           ,PE,2017573053, ,7054,ANTENNA        ,1,9000.0,OTHER,,2017-09-18T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.    ",R,347         ,PE,2126865588, ,10016,ANTENNA        ,1,77000.0,OTHER,,2014-11-17T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATIONS SITE. INSTALL NEW GPS ANTENNAS ON    ROOF. RELATED RADIOHEAD ON 42ND FLOOR. NO CHNAGE IN USE, EGRESS OR OCCUPANCY.   ",R,150         ,PE,2123700928, ,10017,ANTENNA        ,1,9000.0,OTHER,,2013-06-28T00:00:00.000
