full_location_address,longitude,census_tract,latitude,job_readiness_ex_resume_help,wifi_dwn,target_population,:@computed_region_92fq_4b7q,operator_name,education_ex_personal_growth,thu_open,oversight_agency
"55 East 102nd Street , 10029, Manhattan, New York, USA",-73.95035589999999,168.0,40.7910818,N,96.0,Older Adults,35.0,Acacia Network,N,9:00 AM - 5:00 PM,NYC Aging
"546 Main Street, 10044, Manhattan, New York, USA",-73.9496423,23803.0,40.7617502,N,456.9,Older Adults,1.0,The Carter Burden Network,Y,9:00 AM - 5:00 PM,NYC Aging
"109-04 160th Street, 11433, Queens, New York, USA",-73.7920635,260.0,40.6936896,N,10.4,All NYC residents,46.0,Southern Queens Park Association (SQPA),N,9:00 AM - 11:00 PM,Department of Youth and Community Development (DYCD)
"3540 Bivona Street, 10475, Bronx, New York, USA",-73.8326634,46209.0,40.8828451,N,0.0,Older Adults,2.0,Regional Aid For Interim Needs Inc.,N,8:00 AM - 4:00 PM,NYC Aging
"132 Canal St. , 10304, Staten Island, New York, USA",-74.07785369999999,27.0,40.6260781,Y,1000.0,All NYC residents,13.0,New York Public Library (NYPL),Y,11:00 AM - 7:00 PM,New York Public Library (NYPL)
"106-06 Queens Boulevard, 11375, Queens, New York, USA",-73.8475496,711.0,40.7214365,Y,75.3,Older Adults,28.0,Selfhelp Community Services Inc.,N,7:00 AM - 10:00 PM,NYC Aging
"1385 East Gun Hill Road, 10469, Bronx, New York, USA",-73.8450766,358.0,40.8701433,Y,1000.0,All NYC residents,2.0,New York Public Library (NYPL),Y,10:00 AM - 7:00 PM,New York Public Library (NYPL)
"206 South Ave, 10303, Staten Island, New York, USA",-74.1666216,323.0,40.6346631,Y,1000.0,All NYC residents,13.0,New York Public Library (NYPL),Y,11:00 AM - 7:00 PM,New York Public Library (NYPL)
"325 East 156th Street, 10451, Bronx, New York, USA",-73.91774199999999,69.0,40.8215801,N,0.0,Older Adults,43.0,Presbyterian Senior Services,Y,8:00 AM - 4:00 PM,NYC Aging
"221 West 143rd Street, 10030, Manhattan, New York, USA",-73.94103009999999,232.0,40.82115719999999,N,511.4,Older Adults,36.0,"SAGE (Services and Advocacy for Gay, Lesbian, Bisexual and Transgender)",Y,10:00 AM - 6:00 PM,NYC Aging
"50 Humboldt Street, 11206, Brooklyn, New York, USA",-73.9403732,489.0,40.7029839,Y,35.0,All NYC residents,30.0,"Grand Street Settlement, Inc.",Y,2:00 PM - 10:00 PM,Department of Youth and Community Development (DYCD)
"1553 University Avenue, 10453, Bronx, New York, USA",-73.9220149,20501.0,40.8463167,N,34.5,All NYC residents,42.0,,N,8:00 AM - 11:00 PM,Department of Youth and Community Development (DYCD)
"1265 43rd St. at 13th Ave. , 11219, Brooklyn, New York, USA",-73.9889694,,40.63892939999999,N,100.0,All NYC residents,27.0,Brooklyn Public Library (BPL),Y,10:00AM - 8:00 PM,Brooklyn Public Library (BPL)
"495 Gates Avenue, 11216, Brooklyn, New York, USA",-73.94702029999999,265.0,40.6868033,Y,0.0,All NYC residents,49.0,"Police Athletic League, Inc.",Y,10:00 AM - 10:00 PM,Department of Youth and Community Development (DYCD)
"1866 Washington Avenue, 10457, Bronx, New York, USA",-73.8983428,395.0,40.8460586,Y,1000.0,All NYC residents,22.0,New York Public Library (NYPL),Y,10:00 AM - 6:00 PM,New York Public Library (NYPL)
"3377 White Plains Road, 10467, Bronx, New York, USA",-73.8673211,374.0,40.8747134,Y,30.6,Older Adults,2.0,Regional Aid For Interim Needs Inc.,N,8:00 AM - 4:00 PM,NYC Aging
"262 East 21st Street, 11216, Brooklyn, New York, USA",-73.9598233,51002.0,40.6481082,N,466.6,Older Adults,11.0,Fort Greene Council,Y,9:00 AM - 5:00 PM,NYC Aging
"2111 Lafontaine Avenue, 10457, Bronx, New York, USA",-73.89231459999999,37504.0,40.8502559,N,0.0,All NYC residents,22.0,Good Shepherd Services,N,8:00 AM - 10:00 PM,Department of Youth and Community Development (DYCD)
"446 Third Avenue, 10016, Manhattan, New York, USA",-73.9799337,72.0,40.7438203,Y,1000.0,All NYC residents,50.0,New York Public Library (NYPL),Y,10:00 AM - 6:00 PM,New York Public Library (NYPL)
"650 W. 235th St., 10463, Bronx, New York, USA",-73.9146818,309.0,40.8862804,Y,1000.0,All NYC residents,40.0,New York Public Library (NYPL),Y,10:00 AM - 6:00 PM,New York Public Library (NYPL)
"444 Amsterdam Avenue (between West 81st and West 82nd Streets) , 10024, Manhattan, New York, USA",-73.9769005,167.0,40.7851141,Y,1000.0,All NYC residents,19.0,New York Public Library (NYPL),Y,10:00 AM - 7:00 PM,New York Public Library (NYPL)
"576 Blake Avenue, 11207, Brooklyn, New York, USA",-73.89680469999999,1134.0,40.6671776,Y,0.0,All NYC residents,25.0,"Grand Street Settlement, Inc.",Y,2:00 PM - 10:00 PM,Department of Youth and Community Development (DYCD)
"94-11 217 Street, 11428, Queens, New York, USA",-73.7390482,566.0,40.7198909,N,24.4,All NYC residents,16.0,Queens Public Library (QPL),N,12pm - 8pm,Queens Public Library (QPL)
"2525 Coney Island Ave. at Ave. V, 11223, Brooklyn, New York, USA",-73.96060670000001,584.0,40.59524340000001,N,100.0,All NYC residents,15.0,Brooklyn Public Library (BPL),N,10:00AM - 8:00 PM,Brooklyn Public Library (BPL)
"332 E 70th Street, 10021, Manhattan, New York, USA",-73.95778299999999,12601.0,40.7666347,Y,92.4,Older Adults,1.0,Lenox hill neighborhood house,Y,8:00 AM - 6:00 PM,NYC Aging
"158-21 Jewel Avenue, 11365, Queens, New York, USA",-73.81010669999999,122703.0,40.7326235,N,24.4,All NYC residents,24.0,Queens Public Library (QPL),N,12pm - 8pm,Queens Public Library (QPL)
"Fifth Avenue and 42nd Street, 10018, Manhattan, New York, USA",-73.98088709999999,,40.7534883,Y,1000.0,All NYC residents,51.0,New York Public Library (NYPL),Y,10:00 AM - 6:00 PM,New York Public Library (NYPL)
"877 Southern Boulevard, 10459, Bronx, New York, USA",-73.8941552,89.0,40.8186064,Y,200.0,All NYC residents,43.0,New York Public Library (NYPL),Y,10:00 AM - 6:00 PM,New York Public Library (NYPL)
"91-41 63rd Drive, 11374, Queens, New York, USA",-73.864511,695.0,40.72732269999999,N,24.4,All NYC residents,28.0,Queens Public Library (QPL),N,12pm - 8pm,Queens Public Library (QPL)
"203 West 115th Street, 10026, Manhattan, New York, USA",-73.9535293,218.0,40.8030902,Y,1000.0,All NYC residents,36.0,New York Public Library (NYPL),Y,11:00 AM - 7:00 PM,New York Public Library (NYPL)
"144-20 243rd Street, 11422, Queens, New York, USA",-73.7399267,65401.0,40.6599806,N,24.4,All NYC residents,47.0,Queens Public Library (QPL),N,12pm - 8pm,Queens Public Library (QPL)
"117-11 Sutphin Boulevard, 11436, Queens, New York, USA",-73.7916995,28801.0,40.6803288,N,24.4,All NYC residents,46.0,Queens Public Library (QPL),N,12pm - 8pm,Queens Public Library (QPL)
"159-36 Harlem River Drive, 10039, Manhattan, New York, USA",-73.9360921,24302.0,40.83324570000001,N,79.0,Older Adults,36.0,Cothoa Luncheon Club Inc.,N,9:00 AM - 5:00 PM,NYC Aging
"135 West 23rd Street, 10011, Manhattan, New York, USA",-73.9941643,91.0,40.7437564,N,517.9,Older Adults,10.0,Visions/Services For The Blind And Visually Impaired,N,9:00 AM - 7:00 PM,NYC Aging
"12143 Flatlands Ave. at New Jersey Ave., 11207, Brooklyn, New York, USA",-73.8857781,1104.0,40.6532776,N,100.0,All NYC residents,25.0,Brooklyn Public Library (BPL),N,10:00AM - 8:00 PM,Brooklyn Public Library (BPL)
"55 Pierrepont Street, 11201, Brooklyn, New York, USA",-73.9951007,501.0,40.6959779,N,97.5,Older Adults,38.0,Catholic Charities Brooklyn & Queens,N,9:00 AM - 5:00 PM,NYC Aging
"465 St. Ann's Avenue, 10455, Bronx, New York, USA",-73.9142876,43.0,40.8126057,Y,0.0,All NYC residents,35.0,Bronxworks,Y,8:30 AM - 4:30 PM,Department of Youth and Community Development (DYCD)
"240 Division Ave. at Marcy Ave., 11211, Brooklyn, New York, USA",-73.9575654,529.0,40.7069304,N,100.0,All NYC residents,38.0,Brooklyn Public Library (BPL),N,10:00AM - 8:00 PM,Brooklyn Public Library (BPL)
"3601 surf avenue , 11224, brooklyn, new york, usa",-74.00235239999999,342.0,40.5736461,N,92.1,Older Adults,45.0,Jewish Association For Services For The Aged,N,9:00 AM - 5:00 PM,NYC Aging
"100 Gold Street, 10038, Manhattan, New York, USA",-74.00323829999999,1501.0,40.71022780000001,N,60.0,Older Adults,32.0,Hamilton Madison House Inc.,N,9:00 AM - 5:00 PM,NYC Aging
"1544 Hassock Street, 11691, Queens, New York, USA",-73.7529084,103201.0,40.6090879,Y,0.0,All NYC residents,47.0,The Child Center of New York,Y,2:#0 PM - 10:00 PM,Department of Youth and Community Development (DYCD)
"1000 Utica Ave. , 11203, Brooklyn, New York, USA",-73.93038709999999,860.0,40.6486442,Y,100.0,All NYC residents,26.0,Brooklyn Public Library (BPL),N,10:00AM - 8:00 PM,Brooklyn Public Library (BPL)
"975 Waring Avenue, 10469, Bronx, New York, USA",-73.8594416,324.0,40.8614942,N,91.0,Older Adults,12.0,Jewish Association For Services For The Aged,Y,8:30 AM - 4:30 PM,NYC Aging
"86-25 Francis Lewis Boulevard, 11427, Queens, New York, USA",-73.764817,49201.0,40.7250606,N,94.1,Older Adults,16.0,Jewish Association For Services For The Aged,N,8:00 AM - 4:00 PM,NYC Aging
"310 Audubon Avenue, 10033, Manhattan, New York, USA",-73.9328268,269.0,40.84838680000001,Y,634.0,Older Adults,39.0,ARC XVI Fort Washington INC,N,9:00 AM - 5:00 PM,NYC Aging
"69-61 Grand Avenue , 11378, Queens, New York, USA",-73.8937065,49302.0,40.7272312,N,310.0,Older Adults,34.0,Selfhelp Community Services Inc.,Y,8:00 AM - 4:00 PM,NYC Aging
"311 Greenwich Street 2nd Floor, 10013, Manhattan, New York, USA",-74.0106018,21.0,40.7165872,N,24.3,Older Adults,32.0,"Greenwich House, Inc.",N,9:00 AM - 3:00 PM,NYC Aging
"1044 Eastern Pkwy. at Schenectady Ave., 11213, Brooklyn, New York, USA",-73.93364,35102.0,40.6684861,Y,100.0,All NYC residents,48.0,Brooklyn Public Library (BPL),N,10:00AM - 8:00 PM,Brooklyn Public Library (BPL)
"3304 Clarendon Road, 11203, Brooklyn, New York, USA",-73.9454882,830.0,40.6431916,N,9.0,Older Adults,26.0,Fort Greene Council,Y,8:00 AM - 4:00 PM,NYC Aging
"212 Ainsile Street, 11211, Brooklyn, New York, USA",-73.9457967,,40.7129354,N,0.7,Older Adults,30.0,St. Nicks Alliance,N,8:00 AM - 4:00 PM,NYC Aging
"2702 Linden Boulevard, 11208, Brooklyn, New York, USA",-73.8645674,1214.0,40.6687694,N,91.0,Older Adults,25.0,Fort Greene Council,N,8:00 AM - 4:00 PM,NYC Aging
"2600 Netherland Avenue, 10463, Bronx, New York, USA",-73.91419859999999,29302.0,40.8792957,N,245.8,Older Adults,40.0,Riverdale Senior Services Center for Ageless Living,N,8:30 AM - 4:30 PM,NYC Aging
"250-06 Hillside Avenue, 11426, Queens, New York, USA",-73.7171226,157101.0,40.7351203,N,24.4,All NYC residents,16.0,Queens Public Library (QPL),N,12pm - 8pm,Queens Public Library (QPL)
"9941 Fort Hamilton Parkway, 11209, Brooklyn, New York, USA",-74.0317484,162.0,40.6118762,N,25.0,All NYC residents,44.0,NYC Parks & Recreation,N,9am-4:30pm,NYC Parks & Recreation
"3035 Middletown Road, 10461, Bronx, New York, USA",-73.8291686,26602.0,40.8444795,N,31.0,Older Adults,12.0,RAIN Total Care Inc.,Y,8:30 AM - 4:00 PM,NYC Aging
"2002 Cornaga Avenue, 11691, Queens, New York, USA",-73.7535521,100803.0,40.6023714,N,24.4,All NYC residents,47.0,Queens Public Library (QPL),N,2:30pm - 6pm,Queens Public Library (QPL)
"76 Kingsland Avenue, 11211, Brooklyn, New York, USA",-73.9401389,44901.0,40.7184169,Y,0.0,All NYC residents,30.0,Coalition for Hispanic Family Services,Y,5:00 PM - 10:00 PM,Department of Youth and Community Development (DYCD)
"666 New Lots Avenue at Barbey St., 11207, Brooklyn, New York, USA",-73.8850901,1122.0,40.6651422,N,300.0,All NYC residents,25.0,Brooklyn Public Library (BPL),N,10:00AM - 8:00 PM,Brooklyn Public Library (BPL)
"68-07 Burns Street, 11375, Queens, New York, USA",-73.85180120000001,711.0,40.7216215,N,90.3,Older Adults,28.0,Young Israel Programs Inc.,N,9:30 AM - 4:30 PM,NYC Aging
"3208 Fulton Street, 11208, Brooklyn, New York, USA",-73.8768679,1178.0,40.6821112,N,350.0,Older Adults,37.0,Cypress Hills-Fulton Street Senior Citizens Center Inc.,N,8:15 AM - 4:15 PM,NYC Aging
"75-01 Broadway, 11373, Queens, New York, USA",-73.89014499999999,267.0,40.7464368,N,383.2,Older Adults,5.0,Acacia Network,Y,8:00 AM - 4:00 PM,NYC Aging
"169-09 137th Avenue, 11434, Queens, New York, USA",-73.7711423,33404.0,40.672748,N,24.4,All NYC residents,46.0,Queens Public Library (QPL),N,12pm - 8pm,Queens Public Library (QPL)
"1419 Dorchester Road, 11226, Brooklyn, New York, USA",-73.9642985,520.0,40.6394309,N,80.0,Older Adults,11.0,,Y,8:00 AM - 4:00 PM,NYC Aging
"231 Broadway, 10310, Staten Island, New York, USA",-74.117153,105.0,40.6358895,N,33.4,Older Adults,13.0,West Brighton Older Adult Center,N,8:00 AM - 3:00 PM,NYC Aging
"1000 St. Nicholas Avenue, 10032, Manhattan, New York, USA",-73.939702,24301.0,40.83451489999999,Y,1000.0,All NYC residents,39.0,New York Public Library (NYPL),Y,10:00 AM - 7:00 PM,New York Public Library (NYPL)
"108-41 Guy R. Brewer Boulevard, 11433, Queens, New York, USA",-73.7901976,258.0,40.6957026,N,24.4,All NYC residents,6.0,Queens Public Library (QPL),N,12pm - 8pm,Queens Public Library (QPL)
"976 Castleton Avenue, 10310, Staten Island, New York, USA",-74.1148258,105.0,40.6345183,Y,1000.0,All NYC residents,13.0,New York Public Library (NYPL),Y,11:00 AM - 6:00 PM,New York Public Library (NYPL)
"18-48 Cornaga Avenue, 11691, Queens, New York, USA",-73.7513252,101003.0,40.60248929999999,Y,40.2,All NYC residents,47.0,NYC Parks & Recreation,N,10am-6pm,NYC Parks & Recreation
"422 Central Avenue, 11221, Brooklyn, New York, USA",-73.9167389,417.0,40.6929691,Y,0.0,All NYC residents,30.0,Coalition for Hispanic Family Services,Y,5:00 PM - 10:00 PM,Department of Youth and Community Development (DYCD)
"108 West 146th Street, 10039, Manhattan, New York, USA",-73.9364039,232.0,40.8212896,N,323.1,Older Adults,36.0,Arc Xvi Fort Washington Inc,Y,9:00 AM - 5:00 PM,NYC Aging
"3025 Cross Bronx Expressway, 10465, Bronx, New York, USA",-73.86315309999999,158.0,40.8335967,Y,1000.0,All NYC residents,31.0,New York Public Library (NYPL),Y,10:00 AM - 6:00 PM,New York Public Library (NYPL)
"372 East 152nd Street, 10455, Bronx, New York, USA",-73.9177493,67.0,40.8182828,N,84.7,Older Adults,43.0,Eastside House Settlement Inc.,N,9:00 AM - 3:00 PM,NYC Aging
"250 West 65th Street, 10023, Manhattan, New York, USA",-73.9868137,15101.0,40.7745077,Y,0.0,All NYC residents,19.0,Goddard Riverside Outreach,Y,8:30 AM - 10:00 PM,Department of Youth and Community Development (DYCD)
"601 Crotona Park North, 10457, Bronx, New York, USA",-73.8949264,36902.0,40.8431927,Y,0.0,All NYC residents,22.0,Community Association for Progressive Dominicans (ACDP),Y,10:00 AM - 11:00 PM,Department of Youth and Community Development (DYCD)
