bin__,paid,cluster,street_name,existing_occupancy,pc_filed,job_status_descrp,proposed_zoning_sqft,enlargement_sq_footage,job_type,owner_s_business_name,loft_board,gis_census_tract,fully_paid,zoning_dist2,fire_suppression,adult_estab,existing_dwelling_units,zoning_dist1,fully_permitted,proposed_occupancy,doc__,efiling_filed,vertical_enlrgmt,job_no_good_count,building_class,building_type
3334738,05/01/2018,N,MYRTLE AVE,COM,,SIGNED OFF,0,0,A3,PROOTO GOURMET & DELI,N,191.0,05/01/2018,,,N,6.0,R7A,05/01/2018,COM,1,Y,,0,S5,OTHERS
3000464,10/20/2004,,HANOVER PLACE,COM,Y,SIGNED OFF,0,0,A2,Next Generation Chera LLC,,37.0,10/20/2004,,,N,,C6-1,11/22/2004,,1,,,0,W9,OTHERS
1040809,02/20/2009,N,EAST 61 STREET,J-1,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,795 FIFTH AVENUE CORPORATION,N,11401.0,02/20/2009,R10H,,N,208.0,C5-1,06/15/2009,J-1,1,Y,,0,H7,OTHERS
3390657,06/18/2004,,AMBER STREET,J-0,Y,SIGNED OFF,0,0,A2,LORING ESTATES,,1220.0,06/18/2004,,,N,,R4,07/01/2004,,1,,,0,C0,1-2-3 FAMILY
5174426,04/01/2020,N,TITUS AVENUE,,,SIGNED OFF,0,0,A3,PRA,N,12804.0,04/01/2020,,,N,,R3-1,04/07/2020,,1,Y,,0,A1,1-2-3 FAMILY
3021769,07/16/2004,,8 STREET,COM,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A3,107 8 ST. REALTY,,121.0,07/16/2004,,,N,,M2-1,07/19/2004,,1,,,0,Z9,OTHERS
3331259,12/13/2004,,ATLANTIC AVENUE,RES,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A3,151-155 ATLANTIC AVE. INC.,,7.0,12/13/2004,,,N,,R6,12/29/2004,,1,,,0,R0,OTHERS
3154223,07/26/2004,,90 STREET,COM,Y,SIGNED OFF,0,0,A2,"Bay Ridge Volvo, Inc.",,160.0,07/26/2004,,,N,,C8-1,07/28/2004,,1,,,0,G2,OTHERS
1082153,10/09/2018,N,3RD AVENUE,E,,SIGNED OFF,0,0,A2,"605 THIRD AVENUE FEE, LLC",N,88.0,10/09/2018,C1-9,,N,0.0,C5-3,10/16/2018,E,1,Y,,0,O4,OTHERS
1062994,05/29/2014,N,WEST 169 STREET,,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,NYCSCA,N,251.0,05/29/2014,,,,,,,,5,Y,,0,W1,OTHERS
3116107,10/19/2004,,OCEAN AVENUE,,N,SIGNED OFF,0,0,A2,400_OCEAN REALTY LLC,N,50804.0,10/20/2004,,,N,,,11/15/2004,,1,,,0,D1,OTHERS
3343256,04/30/2021,N,LINCOLN AVENUE,RES,,PLAN EXAM - APPROVED,0,0,A3,LINDEN PLAZA PRESERVATION,N,1208.0,05/03/2021,,,N,319.0,R6,,RES,1,Y,,0,D1,OTHERS
3390750,10/27/2004,,SCHENCK STREET,,Y,SIGNED OFF,0,0,NB,The GLC Group,,1028.0,10/27/2004,R5,,N,,C1-2,05/26/2005,J-0,1,,,0,R0,1-2-3 FAMILY
3071890,01/02/2015,N,BUSHWICK AVE,RES,,SIGNED OFF,0,0,A2,SILVERSHORE PROPERTIES 17 LLC,N,389.0,01/02/2015,,,N,4.0,R6,02/20/2015,RES,1,Y,,0,S4,OTHERS
3002749,11/06/2013,N,HENRY STREET,,,SIGNED OFF,0,0,A2,,N,7.0,11/06/2013,,,,,,,,2,Y,,0,A4,1-2-3 FAMILY
2061106,08/23/2021,N,MICKLE AVENUE,R-3,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,,N,358.0,08/24/2021,,,N,1.0,R4,08/30/2021,R-3,1,Y,,0,A2,1-2-3 FAMILY
5154700,08/03/2004,,VANDUZER STREET,,N,PLAN EXAM - APPROVED,0,0,A2,"RELIABLE ROOFING, LLC",N,47.0,12/09/2004,,,N,,,,,1,,,0,A1,1-2-3 FAMILY
3057923,08/23/2021,N,NORTH ELLIOT PLACE,RES,,PLAN EXAM - IN PROCESS,0,0,A2,HOUSING PRESERVATION & DEVELOPME,N,211.0,08/23/2021,,,N,5.0,R6,,RES,1,Y,,0,R0,1-2-3 FAMILY
3007371,11/19/2004,,4 AVENUE,RES,Y,PERMIT ISSUED - PARTIAL JOB,0,0,A2,,,119.0,11/19/2004,,,N,,M1-2,,,1,,,0,S9,OTHERS
3387682,03/15/2004,,20 STREET,,Y,SIGNED OFF,0,0,NB,"20th Street, LLC",,1502.0,03/15/2004,,,N,,R5,08/10/2004,J-0,1,,,0,R0,1-2-3 FAMILY
4080447,05/03/2021,N,STANHOPE STREET,R-3,,SIGNED OFF,0,0,A2,,N,591.0,05/03/2021,R6B,,N,3.0,R5B,05/12/2021,R-3,1,Y,,0,C0,1-2-3 FAMILY
4123651,08/23/2021,N,JASMINE AVENUE,R-3,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,,N,1201.0,08/23/2021,,,N,1.0,R2,08/25/2021,R-3,1,Y,,0,A1,1-2-3 FAMILY
3214565,03/23/2004,,EAST   51 STREET,RES,Y,SIGNED OFF,0,1395,A1,,,722.0,03/23/2004,,,N,,R4,03/14/2005,RES,1,,Y,0,B3,1-2-3 FAMILY
1065071,09/24/2013,N,SEAMAN AVE,RES,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A3,INWOOD PARK ASSOCIATES LLC,N,295.0,09/24/2013,,,N,61.0,R7-2,12/10/2013,RES,1,Y,,0,D1,OTHERS
3240573,10/04/2004,,FLATBUSH AVENUE,F-4,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,NIKODEMO OPERATING CO.,,672.0,10/04/2004,,X,N,,C8-1,10/08/2004,,1,,,0,K5,OTHERS
4003516,06/05/2014,N,THOMSON AVENUE,,,PLAN EXAM - APPROVED,0,0,A1,DORMITORY AUTHORITY STATE OF NY,N,1.0,06/05/2014,,,,,,,,2,Y,,0,W9,OTHERS
1016957,06/20/2008,N,MADISON AVENUE,COM,,SIGNED OFF,0,0,A2,AMERICAN ACADEMY OF DRAMATIC ART,N,74.0,06/20/2008,,,N,0.0,C5-2,03/06/2009,COM,1,,,0,W8,OTHERS
3001503,10/21/2020,N,COLUMBIA HEIGHTS,RES,,PLAN EXAM - DISAPPROVED,0,0,A2,192 COLUMBIA HEIGHTS LLC,N,301.0,10/21/2020,,,N,1.0,R6,,RES,1,Y,,0,A4,1-2-3 FAMILY
5003250,03/01/2021,N,KISSEL AVENUE,,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A3,,N,67.0,03/02/2021,,,N,,R2,05/03/2021,,1,Y,,0,A2,1-2-3 FAMILY
3429034,05/03/2021,N,CONSELYEA STREET,,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,NB,COBBLESTONE ESTATES LLC,N,501.0,05/03/2021,,,,,,,,2,Y,,0,V0,1-2-3 FAMILY
2009750,07/10/2020,N,BOSTON ROAD,,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A3,BOSTON CLINTON ASSOCIATES LLC,N,151.0,08/28/2020,,,N,,R6,05/03/2021,,1,Y,,0,V0,OTHERS
1048094,07/08/2020,N,E 89 ST,RES,,SIGNED OFF,0,0,A2,AEJ 160 E 89 ST LLC,N,14802.0,07/08/2020,,,N,51.0,R8B,07/14/2020,RES,1,Y,,0,D3,OTHERS
4244631,11/29/2021,N,228TH STREET,RES,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,,N,600.0,11/29/2021,,,N,1.0,R2A,12/08/2021,RES,1,Y,,0,A1,1-2-3 FAMILY
3322807,11/18/2004,,JACKSON STREET,RES,N,PLAN EXAM - DISAPPROVED,0,1500,A1,,N,501.0,11/22/2004,,,N,,R6,,J-2,1,,,0,C0,OTHERS
5042017,07/09/2003,,PRICES LANE,J-3,N,SIGNED OFF,0,1071,A1,CMP HOME IMPROVEMENTS,N,29102.0,07/11/2003,,,N,,R3-2,10/24/2003,J-3,1,,Y,0,A1,1-2-3 FAMILY
3208218,04/16/2004,,FLATBUSH AVENUE,COM,Y,SIGNED OFF,0,0,A2,,,740.0,04/16/2004,R5,,N,,C2-2,06/15/2004,,1,,,0,K4,OTHERS
3348771,07/30/2004,,METROTECH CENTER,E,Y,SIGNED OFF,0,0,A2,Forest City Myrtle Assoc. LLC,,15.0,07/30/2004,,,N,,C6-1,09/22/2004,,1,,,0,O6,OTHERS
4546964,11/16/2020,N,13 AVENUE,K,,SIGNED OFF,0,0,DM,"ASTORIA GAS TURBINE POWER, LLC",N,10701.0,11/16/2020,,,N,0.0,M3-1,09/14/2021,,1,Y,,0,U2,OTHERS
3391759,07/13/2004,,16 STREET,,Y,SIGNED OFF,0,0,A1,198-210 16 STREET LLC,,141.0,07/13/2004,,,N,,,,,2,,,0,R0,OTHERS
3002806,12/30/2004,,COURT STREET,COM,Y,SIGNED OFF,0,0,A2,,,43.0,01/04/2005,,,N,,C2-4,04/26/2005,,1,,,0,S2,OTHERS
3319776,01/04/2005,,CONEY ISLAND AVENUE,COM,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,834 Realty L.L.C.,,1522.0,01/04/2005,C2-3,,N,,R6,04/11/2005,,1,,,0,E2,OTHERS
3254016,03/08/2022,N,AVENUE W,,,APPLICATION PROCESSED - ENTIRE,0,0,A3,,N,388.0,03/08/2022,,,N,,R4,,,1,Y,,0,S1,1-2-3 FAMILY
3330048,11/15/2004,,GREEN STREET,,Y,SIGNED OFF,0,0,A2,MINC PLATFORM LLC,,563.0,11/15/2004,,,N,,M1-1,12/10/2004,,1,,,0,R0,OTHERS
5849845,02/06/2009,N,HYLAN BOULEVARD,E,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,JDK HYLAN PROPERTIES LLC,N,176.0,02/06/2009,,,N,0.0,R3X,02/11/2009,E,1,,,0,G7,OTHERS
3111526,12/01/2004,,EAST   34 STREET,RES,Y,PLAN EXAM - APPROVED,0,0,A2,,,830.0,12/01/2004,,,N,,R4,,,1,,,0,A9,1-2-3 FAMILY
3077434,06/28/2019,N,BROADWAY,,,SIGNED OFF,0,0,A1,1499 BROADWAY ESTATES LLC,N,397.0,06/28/2019,,,,,,,,2,Y,,0,C1,OTHERS
3233346,05/03/2021,N,FLATLANDS 8 STREET,R-3,,SIGNED OFF,0,0,A2,,N,1018.0,05/03/2021,,,N,1.0,R4-1,05/10/2021,R-3,1,Y,,0,A5,1-2-3 FAMILY
3002382,04/14/2004,,GARDEN PLACE,RES,Y,SIGNED OFF,0,0,A2,,,7.0,04/14/2004,,,N,,R3-2,04/27/2004,,1,,,0,A9,OTHERS
3388871,09/14/2004,,HART STREET,,Y,SIGNED OFF,0,0,NB,-,,261.0,09/14/2004,,,N,,R6,03/14/2005,J-0,1,,,0,C0,1-2-3 FAMILY
3391185,08/16/2004,,EAST   69 STREET,,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,Coral Headquaters LLC,,706.0,08/16/2004,,,N,,,,,2,,,0,A5,1-2-3 FAMILY
3054657,01/05/2005,,MYRTLE AVENUE,COM,Y,PERMIT ISSUED - PARTIAL JOB,0,0,A2,R. C. Deli,,191.0,01/05/2005,R6,X,N,,C2-3,,,1,,,0,S2,OTHERS
2005352,10/09/2013,N,DAWSON STREET,,,PLAN EXAM - DISAPPROVED,0,0,A1,"CLM EQUITIES II, LP",N,87.0,10/09/2013,,,,,,,,2,Y,,0,C7,OTHERS
1007385,10/30/2013,N,SIXTH AVENUE,E,,SIGNED OFF,0,0,A2,TRINITY REAL ESTATE,N,37.0,10/30/2013,,,N,,M1-6,10/30/2013,E,1,Y,,0,O6,OTHERS
3000472,12/11/2008,N,LIVINGSTON STREET,J-2,,PLAN EXAM - APPROVED,3769,0,A1,,N,37.0,12/11/2008,,,N,6.0,C6-4,,R-2,1,Y,,0,,OTHERS
5047613,05/03/2021,N,REID AVENUE,,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,NYC SCA,N,64.0,05/03/2021,,,,,,,,2,Y,,0,W1,OTHERS
1028743,11/07/2018,N,COLUMBUS AVENUE,,,SIGNED OFF,0,0,A2,FAIRSTEAD CAPITAL,N,161.0,11/07/2018,,,,,,,,2,Y,,0,D7,OTHERS
3397004,07/06/2007,,JAMAICA AVENUE,,,SIGNED OFF,0,0,NB,NYC SCA,,117601.0,07/06/2007,,,,,,,,7,,,0,W1,OTHERS
3033796,07/28/2004,,BEDFORD AV,,N,SIGNED OFF,0,0,A2,DASNY,N,323.0,07/29/2004,,,N,,,08/29/2005,,1,,,0,W5,OTHERS
3035835,06/15/2004,,BERGEN STREET,RES,Y,SIGNED OFF,0,0,A3,,,309.0,06/15/2004,,,N,,R6,06/18/2004,,1,,,0,C0,1-2-3 FAMILY
3074795,10/09/2018,N,KNICKERBOCKER AVENUE,,,SIGNED OFF,0,0,A1,"KNICKERBOCKER 427, LLC",N,431.0,10/09/2018,,,,,,,,2,Y,,0,S5,OTHERS
3002544,05/11/2009,N,LIVINGSTON STREET,J-2,,PERMIT ISSUED - ENTIRE JOB/WORK,48300,0,A1,67 LIVINGSTON ST LLC,N,9.0,05/11/2009,,,N,92.0,C5-2,05/03/2010,R-2,1,Y,,0,D5,OTHERS
1059931,12/06/2018,N,WEST 132ND STREET,RES,,SIGNED OFF,0,0,DM,COLUMBIA UNIVERSITY,N,219.0,12/06/2018,,,N,31.0,C6-1,07/25/2019,,1,Y,,0,V1,OTHERS
3065931,11/06/2013,N,NORMAN AVENUE,,,PLAN EXAM - DISAPPROVED,0,0,A3,ALL AMERICAN BUILDING & DEVELOP.,N,589.0,11/06/2013,,,N,,M1-1,,,1,Y,,0,H8,OTHERS
3035469,02/11/2005,,BROOKLYN AVENUE,J-2,Y,SIGNED OFF,0,0,A3,,,806.0,02/11/2005,,,N,,R6,02/14/2005,,1,,,0,R0,OTHERS
3394297,08/03/2004,,WEST   17 STREET,J-2,Y,PLAN EXAM - DISAPPROVED,0,0,A2,OCEAN BATH REALTY LLC,,308.0,08/03/2004,,,N,,R5,,,1,,,0,C0,OTHERS
4258544,03/08/2022,N,140TH STREET,R-3,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,,N,194.0,03/08/2022,,,N,2.0,R3A,03/10/2022,R-3,1,Y,,0,B3,1-2-3 FAMILY
3229159,10/12/2006,,REMSEN AVENUE,PUB,N,SIGNED OFF,0,0,A3,NY SCHOOL CONSTRUCTION AUTHORITY,N,964.0,10/12/2006,,,N,,R4,10/12/2006,,1,,,0,W1,OTHERS
3117663,07/19/2004,,FLATBUSH AVENUE,RES,Y,SIGNED OFF,0,0,A3,H & L GRAZI REALTY INC.,,51001.0,07/19/2004,,,N,,C4-2,07/29/2004,,1,,,0,C7,OTHERS
3394531,04/09/2004,,LORIMER STREET,RES,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A3,,,511.0,04/09/2004,,,N,,R6,04/21/2004,,1,,,0,C1,OTHERS
1033653,11/21/2019,N,WEST 94 STREET,RES,,SIGNED OFF,0,0,A2,250 TENANTS CORP,N,179.0,11/21/2019,C4-6A,,N,147.0,R8,12/23/2019,RES,1,Y,,0,D4,OTHERS
3391338,02/22/2005,,DEVOE STREET,J-2,Y,SIGNED OFF,0,0,A2,"CORSIM, INC",,481.0,02/22/2005,,,N,,R6,07/12/2006,,1,,,0,C2,OTHERS
3401186,12/08/2004,,PITKIN AVENUE,D-2,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A3,D.M.N. REALTY LLC,,1144.0,12/08/2004,,,N,,M1-4,12/09/2004,,1,,,0,F5,OTHERS
3006779,12/07/2004,,DOUGLASS STREET,,N,PERMIT ISSUED - ENTIRE JOB/WORK,0,830,A2,,N,75.0,12/09/2004,,,N,,,12/15/2004,,1,,,0,A5,1-2-3 FAMILY
3335143,03/11/2019,N,FLUSHING AVENUE,,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,BROOKLYN NAVY YARD DEVELOP.CORP,N,543.0,03/11/2019,,,,,,,,2,Y,,0,T2,OTHERS
1088463,03/20/2019,N,EAST 85 STREET,,,SIGNED OFF,0,0,A2,HALSTEAD MGMT REALTY LLC,N,14801.0,03/20/2019,,,,,,,,2,Y,,0,R0,OTHERS
1036156,12/07/2018,N,LEXINGTON AVENUE,,,PLAN EXAM - APPROVED,0,0,A2,"TS 405 LEXINGTON OWNER, LLC",N,92.0,12/07/2018,,,,,,,,3,Y,,0,O4,OTHERS
3051169,12/14/2007,,GATES AVENUE,,Y,PLAN EXAM - DISAPPROVED,0,0,SI,510GatesAveInc/Hymowitz&Freeman,,265.0,12/19/2007,,,N,,,,,1,,,0,N9,OTHERS
3348849,03/23/2004,,FLATBUSH AVENUE,,Y,SIGNED OFF,0,0,A2,"F.C. Hanson Associates, LLC",,35.0,03/23/2004,,,N,,,,,2,,,0,R0,OTHERS
3120532,11/19/2004,,NEWKIRK AVENUE,RES,Y,PLAN EXAM - DISAPPROVED,0,0,A2,N.A.,,828.0,11/19/2004,,,N,,R6,,,1,,,0,S2,1-2-3 FAMILY
1079585,09/12/2018,N,MOTT STREET,RES,,SIGNED OFF,0,0,A2,HOP YIK REALTY CORP.,N,41.0,09/12/2018,,,N,16.0,C6-2G,09/13/2018,RES,1,Y,,0,,OTHERS
3322680,10/21/2004,,NASSAU AVENUE,COM,Y,SIGNED OFF,0,0,A2,,,569.0,10/21/2004,R6,X,N,,C1-3,11/26/2004,,1,,,0,C7,OTHERS
3427417,12/22/2005,,53 STREET,,N,SIGNED OFF,0,0,DM,RICHE NORTHESTERN TIRE,N,464.0,12/22/2005,,,N,1.0,,12/22/2005,,1,,,0,B1,OTHERS
3011354,07/07/2004,,SEVENTH AVENUE,PUB,Y,SIGNED OFF,0,0,A1,CHRIST UNITED METHODIST CHURCH,,94.0,07/07/2004,,,N,,R6,03/09/2006,G,1,,,0,W8,OTHERS
3009551,11/22/2004,,FIFTH AVENUE,,Y,PRE-FILING,0,0,A1,"724 FIFTH AVENUE, BK, LLC",,145.0,,,,N,,,,,2,,,0,C1,OTHERS
5168749,03/28/2017,N,FREEBORN STREET,,,SIGNED OFF,0,0,NB,,N,11201.0,03/28/2017,,,,,,,,2,Y,,0,A5,1-2-3 FAMILY
3038221,01/06/2005,,CROWN STREET,RES,Y,PLAN EXAM - DISAPPROVED,0,0,A2,,,355.0,01/06/2005,,,N,,R7-1,,,1,,,0,B1,1-2-3 FAMILY
1080484,08/23/2021,N,EAST 72 STREET,RES,,PLAN EXAM - APPROVED,0,0,A3,CANIDO BASONAS CONSTRUCTION,N,126.0,08/23/2021,,,N,144.0,R10A,,RES,1,Y,,0,D6,OTHERS
3070297,07/19/2004,,SHARON STREET,J-3,Y,PLAN EXAM - DISAPPROVED,0,0,A2,,,481.0,07/19/2004,,,N,,M1-1,,,1,,,0,A9,1-2-3 FAMILY
1038761,11/12/2020,N,E 45TH ST,E,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,304 EAST 45THH ST C/O COLLIER,N,90.0,12/11/2020,C1-9,,N,,C5-2,05/03/2021,E,1,Y,,0,R0,OTHERS
3204977,11/18/2004,,EAST   18 STREET,RES,Y,SIGNED OFF,0,0,A3,owner,,600.0,11/18/2004,,,N,,C4-2,12/06/2004,,1,,,0,V0,1-2-3 FAMILY
3204021,11/18/2004,,AVENUE Z,,N,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A3,587_DEVELOPMENT INCORORATED,N,590.0,11/23/2004,,,N,,,03/15/2005,,1,,,0,G7,OTHERS
3116704,07/13/2004,,FLATBUSH AVENUE,F-4,Y,SIGNED OFF,0,0,A2,TACO BELL/PIZZA HUT/CHUNKY CHICK,,79602.0,07/13/2004,,X,N,,C1-2,07/16/2004,,1,,,0,K2,OTHERS
3414197,08/31/2016,N,6TH STREET,G,,SIGNED OFF,0,0,A3,NEW YORK METHODIST HOSPITAL,N,153.0,08/31/2016,,,N,,R7B,09/02/2016,G,1,Y,,0,I1,OTHERS
3230967,11/22/2004,,ROCKAWAY PARKWAY,RES,Y,SIGNED OFF,0,0,A3,,,988.0,11/22/2004,,,N,,R5,12/07/2004,,1,,,0,B1,OTHERS
3391028,10/07/2004,,CHAUNCEY ST,J-0,Y,SIGNED OFF,0,0,A3,AUTUMN EQUITIES,,381.0,10/07/2004,,,N,,R5,10/08/2004,,1,,,0,C0,1-2-3 FAMILY
3148710,10/07/2004,,3 AVENUE,,N,SIGNED OFF,0,0,A2,7513 THIRD AVENUE,N,66.0,10/08/2004,R6,,N,,C1-2,11/22/2004,,1,,,0,S2,OTHERS
3128342,06/29/2004,,45 STREET,E,Y,PLAN EXAM - DISAPPROVED,0,0,A2,,,232.0,06/29/2004,,,N,,R6,,,1,,,0,S2,OTHERS
3002084,12/15/2004,,MONTAGUE STREET,RES,Y,PLAN EXAM - DISAPPROVED,0,0,A2,William Hurcomb,,502.0,12/15/2004,R7-2,,N,,C1-3,,,1,,,0,C7,OTHERS
3008089,07/27/2016,N,DENNETT,R-3,,SIGNED OFF,0,0,A2,,N,77.0,08/03/2016,,,N,1.0,R6B,11/02/2017,R-3,1,Y,,0,A5,1-2-3 FAMILY
3024467,10/01/2004,,8 AVENUE,,N,SIGNED OFF,0,0,A2,MONTAUK CONDOMINIUM,N,159.0,10/01/2004,,,N,,,10/19/2004,,1,,,0,R0,OTHERS
3071018,01/24/2005,,MESEROLE STREET,J-2,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A3,SUPERIOR CONS & CONSULTING CORP,,493.0,01/24/2005,,,N,,R6,01/25/2005,,1,,,0,C3,OTHERS
3027480,12/16/2004,,PACIFIC STREET,,Y,SIGNED OFF,0,0,A2,Pacific Associates LLC,,203.0,12/16/2004,,,N,,R6B,01/11/2005,,1,,,0,C1,OTHERS
3425085,02/09/2006,,EMERALD STREET,,Y,PLAN EXAM - APPROVED,0,0,NB,39 Emerald LLC,,1220.0,02/09/2006,,,N,,,,,2,,,0,V0,1-2-3 FAMILY
3153753,08/27/2013,N,4TH AVE,COM,,SIGNED OFF,0,0,A2,"DII ENTERPRISES, LLC",N,160.0,08/27/2013,,,N,,C4-2A,09/24/2013,COM,1,Y,,0,K4,OTHERS
5131966,11/29/2021,N,RENSSELAER AVENUE,RES,,SIGNED OFF,0,0,A2,,N,20804.0,12/02/2021,,,N,1.0,R3X,12/03/2021,RES,1,Y,,0,A5,1-2-3 FAMILY
3000697,07/01/2004,,ATLANTIC AVENUE,RES,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,Brawta Cafe Inc.,,41.0,07/01/2004,,X,N,,C6-1,07/12/2004,,1,,,0,K4,OTHERS
5157743,01/16/2019,N,ARTHUR KILL ROAD,COM,,SIGNED OFF,0,0,A2,UNITED HEBREW CEMETERY INC.,N,14606.0,01/16/2019,,,N,,R3-2,03/16/2020,COM,1,Y,,0,Z8,OTHERS
3159084,07/08/2004,,74 STREET,RES,Y,SIGNED OFF,0,0,A2,,,264.0,07/08/2004,,,N,,R5,07/21/2004,,1,,,0,A5,1-2-3 FAMILY
1087083,07/01/2009,N,FOURTH AVENUE,E,,SIGNED OFF,0,0,A2,RELATED MGMT AAF,N,61.0,07/08/2009,,,N,1.0,C6-1,10/19/2009,E,1,,,0,K2,OTHERS
3392234,04/19/2004,,GROVE STREET,,,SIGNED OFF,0,0,NB,350 GROVE STREET LLC,,441.0,04/19/2004,,,,,,,,3,,,0,R0,OTHERS
3336213,09/24/2004,,ROGERS AVENUE,RES,Y,SIGNED OFF,0,0,A1,-,,822.0,09/24/2004,R6,,N,,C2-3,02/03/2005,RES,1,,,0,C0,1-2-3 FAMILY
1056578,06/25/2014,N,W 104 ST,,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,NEW SHIRR PROPERTIES 104 LLC,N,191.0,06/25/2014,,,,,,,,2,Y,,0,D3,OTHERS
5026076,10/04/2018,N,INNIS STREET,PUB,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,NYC SCA,N,213.0,10/04/2018,,,N,,R3-2,01/29/2021,PUB,1,Y,,0,W1,OTHERS
3192605,03/05/2004,,VANSICKLEN STREET,,N,SIGNED OFF,0,722,A2,,N,398.0,03/05/2004,,,N,,,05/24/2005,,1,,,0,B3,1-2-3 FAMILY
3000472,07/29/2011,N,LIVINGSTON STREET,J-2,,PERMIT ISSUED - ENTIRE JOB/WORK,3769,0,A1,,N,37.0,07/29/2011,,,N,6.0,C6-4,02/10/2012,R-2,1,Y,,0,,OTHERS
