referencenumber,externalreferencenumber,schoolnumber,compassdirectiontwo,schooldismissal,am_count,visionzero
CQ02-1567B,QBC02-1622,,,,,No
CK01-0206,BT4429,,,,,No
CX17-3286B,DOT-351177-Z6D3,,,,,No
CK18-1138B,DOT-373805-G5Z9,,,,,No
CM09-0004A,CCU08-8206/11182/11447937122,,,,,No
CS05-1926B,TN51263,,,,,No
CK02-0041B,32853,,,,,No
CM16-1196B,,,,,,No
CK98-1691B,BK98/0226,,,,,No
CX05-1406A,XBC05-422,,,,,No
CX10-1982A,CCU10-10177/SR11613901386,,,,,No
CQ17-1177B,DOT-335733-V5S9/111406328333,,,,,No
CM99-0052B,18857,,,,,No
CK22-3117B,DOT-569314-W7V7,,,,,No
CQ01-0764B,QBC01-0775,,,,,No
CQ14-2149B,DOT-249516-Z9P0/CRM0585676/CRM0585248,,,,,No
CX03-0889B,7074/1-5220547,,,,,No
CQ16-0140B,DOT-287045-V2L3/109TH PCT. - #1,,,,,No
CX14-0201B,DOT-221856-C387/CRM0002670,,,,,No
CM15-1156B,DOT-258882-Q0V4/111083508630/15-0365,,,,,No
CM01-0347B,6TH PRECINCT,,,,,No
CM04-1150B,,,,,,No
CK08-0264,BBC08-372,P.S. 221,,,,No
CX19-1680B,DOT-419044-X8R2,,,,,No
CQ13-2196,13/188,P.S. 228,,2014-03-24T00:00:00.000,2014-03-24T00:00:00.000,No
CQ14-1709B,DOT-245415-W9Q7,,,,,No
CQ17-4115B,DOT-360175-X5G9,,,,,No
CX03-0532B,B2003-0224BBE-554/48TH PRECINCT,,,,,No
CM07-0425,,,,,,No
CQ08-1575A,QBC08-1316,,,,,No
CK07-1599A,CEQRNO.08DME005K,,,,,No
CM04-0386B,10TH PRECINCT,,,,,No
CQ17-0734B,DOT-329698-S7S8,,,,,No
CM23-2900B,DOT-619344-X5K9,,,,,No
CM15-0964B,DOT-258256-G2R8,,,,,No
CM14-0811,DOT-226262-T5K1,OX-44,,2016-03-01T00:00:00.000,2016-03-01T00:00:00.000,No
CM14-0423B,DOT-224379-V8B3,,,,,No
CM18-2122B,DOT-383659-F4B8,,,,,No
SM98-0038B,13477/13478,,,,,No
CX13-0490,XBC-13-90,,,,2013-09-03T00:00:00.000,No
