manhattan_condominiums_comparable_properties_address,census_tract,comparable_rental_3_neighborhood,comparable_rental_2_building_classification,manhattan_condominiums_comparable_properties_neighborhood,comparable_rental_3_estimated_gross_income,comparable_rental_1_market_value_per_sqft,comparable_rental_2_expense_per_sqft,comparable_rental_3_year_built,manhattan_condominiums_comparable_properties_estimated_gross_income,comparable_rental_2_gross_income_per_sqft,comparable_rental_1_neighborhood,comparable_rental_1_net_operating_income,comparable_rental_2_full_market_value,comparable_rental_2_distance_from_condo_in_miles,comparable_rental_2_estimated_gross_income,comparable_rental_3_building_classification,nta
112 LIBERTY STREET,13.0,SOUTHBRIDGE,D5-ELEVATOR,FINANCIAL,"534,309",154.48,11.06,1900,461000,35.98,FINANCIAL,639862,10730000.0,0.16,2099485.0,C7-WALK-UP,Battery Park City-Lower Manhattan                                          
149 EAST 62 STREET,11402.0,UPPER EAST SIDE (79-96),D9-ELEVATOR,UPPER EAST SIDE (59-79),"346,763",321.96,9.96,1925,175889,36.82,UPPER EAST SIDE (79-96),525192,5365000.0,0.84,998731.0,D6-ELEVATOR,Upper East Side-Carnegie Hill                                              
3 WOOSTER STREET,47.0, ,D1-ELEVATOR,SOHO, ,198.91,8.16, ,930028,37.13,LOWER EAST SIDE,217073,9435000.0,0.35,1643414.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
345 EAST 56 STREET,108.0, ,D6-ELEVATOR,MIDTOWN EAST, ,173.41,12.91, ,7724504,41.62,MIDTOWN CBD,4804962,37783000.0,0.37,7254016.0, ,Turtle Bay-East Midtown                                                    
386 COLUMBUS AVENUE,165.0, ,D6-ELEVATOR,UPPER WEST SIDE (59-79), ,213.01,10.38, ,1803604,41.44,UPPER WEST SIDE (59-79),414563,4527000.0,0.27,799945.0, ,Upper West Side                                                            
117 EAST 29 STREET,72.0,MURRAY HILL,D1-ELEVATOR,MURRAY HILL,"1,252,321",217.18,15.76,1945,1124450,50.69,MURRAY HILL,525598,3400000.0,0.11,659000.0,D9-ELEVATOR,Murray Hill-Kips Bay                                                       
43 EAST 30 STREET,74.0,MURRAY HILL,D3-ELEVATOR,MURRAY HILL,"2,673,759",218.67,9.95,1923,1522496,35.17,MURRAY HILL,997853,10879000.0,0.11,2050910.0,D6-ELEVATOR,Midtown-Midtown South                                                      
73 5 AVENUE,52.0,FLATIRON,D5-ELEVATOR,FLATIRON,"1,410,829",235.88,10.14,1900,1947023,39.46,FLATIRON,1294248,10954000.0,0.16,1949681.0,D5-ELEVATOR,Hudson Yards-Chelsea-Flatiron-Union Square                                 
879 8 AVENUE,133.0,MIDTOWN WEST,D5-ELEVATOR,MIDTOWN WEST,"795,858",129.37,17.04,1945,1706876,56.79,MIDTOWN WEST,693464,5520000.0,0.0,1670875.0,D9-ELEVATOR,Clinton                                                                    
975 1 AVENUE,98.0, ,D9-ELEVATOR,MIDTOWN EAST, ,138.46,7.13, ,1742515,36.02,MIDTOWN EAST,244126,5338000.0,0.0,901996.0, ,Turtle Bay-East Midtown                                                    
1009 MADISON AVENUE,142.0, ,D9-ELEVATOR,UPPER EAST SIDE (59-79), ,234.36,12.95, ,7277543,37.9,UPPER EAST SIDE (59-79),5877118,29372000.0,0.16,5895071.0, ,Upper East Side-Carnegie Hill                                              
625 EAST 11 STREET,28.0, ,C4-WALK-UP,ALPHABET CITY, ,170.2,11.73, ,365541,34.48,ALPHABET CITY,247342,1581000.0,0.05,323594.0, ,Lower East Side                                                            
99 EAST 4 STREET,38.0, ,D6-ELEVATOR,EAST VILLAGE, ,213.56,9.23, ,2552670,35.5,EAST VILLAGE,1784389,7475000.0,0.55,1366791.0, ,East Village                                                               
317 WEST 95 STREET,183.0, ,D1-ELEVATOR,UPPER WEST SIDE (79-96), ,228.25,7.6, ,1118441,30.93,UPPER WEST SIDE (79-96),1137473,5465000.0,0.0,969857.0, ,Upper West Side                                                            
76 BEDFORD STREET,67.0,GREENWICH VILLAGE-WEST,C5-WALK-UP,GREENWICH VILLAGE-WEST,"268,346",254.2,7.22,1910,513139,14.44,GREENWICH VILLAGE-WEST,963798,617000.0,0.03,178338.0,C4-WALK-UP,West Village                                                               
27 GREAT JONES STREET,5502.0, ,D9-ELEVATOR,GREENWICH VILLAGE-CENTRAL, ,106.62,7.89, ,480643,34.97,GREENWICH VILLAGE-CENTRAL,359476,1837000.0,0.15,393359.0, ,West Village                                                               
85 AVENUE A,32.0, ,D1-ELEVATOR,EAST VILLAGE, ,195.88,8.17, ,879758,36.94,EAST VILLAGE,426159,7623000.0,0.3,1329829.0, ,East Village                                                               
214 EAST 9 STREET,38.0, ,D1-ELEVATOR,EAST VILLAGE, ,184.79,8.91, ,484183,29.72,LOWER EAST SIDE,305593,6008000.0,0.55,1144863.0, ,East Village                                                               
160 WOOSTER STREET,49.0, ,D9-ELEVATOR,SOHO, ,152.8,8.96, ,1461689,41.2,SOHO,792450,5293000.0,0.2,895746.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
225 EAST 34 STREET,78.0, ,D6-ELEVATOR,MURRAY HILL, ,245.62,13.29, ,10468620,48.82,MURRAY HILL,5966003,67089000.0,0.28,12294262.0, ,Murray Hill-Kips Bay                                                       
200 CHAMBERS STREET,21.0, ,D8-ELEVATOR,TRIBECA, ,272.44,12.13, ,14329121,41.58,TRIBECA,10110341,79263000.0,0.5,14824344.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
845 UNITED NATIONS PLAZA,90.0, ,D8-ELEVATOR,MIDTOWN EAST, ,299.75,15.77, ,51500000,77.82,MIDTOWN EAST,23364320,162328000.0,0.88,27503376.0, ,Turtle Bay-East Midtown                                                    
41 WEST 72 STREET,157.0, ,D7-ELEVATOR,UPPER WEST SIDE (59-79), ,173.5,13.58, ,5457510,43.02,UPPER WEST SIDE (59-79),3373719,24812000.0,0.15,4811602.0, ,Lincoln Square                                                             
196 STANTON STREET,2201.0,ALPHABET CITY,D7-ELEVATOR,LOWER EAST SIDE,"342,516",194.17,8.21,1900,1588341,34.35,LOWER EAST SIDE,1011303,15587000.0,0.17,2764792.0,D5-ELEVATOR,Lower East Side                                                            
160 7 AVENUE,87.0, ,D1-ELEVATOR,CHELSEA, ,231.44,6.71, ,4614675,39.54,CHELSEA,1432711,2116000.0,0.04,337079.0, ,Hudson Yards-Chelsea-Flatiron-Union Square                                 
210 WEST 19 STREET,87.0, ,D1-ELEVATOR,CHELSEA, ,231.44,8.17, ,1990587,37.71,CHELSEA,1432711,5034000.0,0.0,848796.0, ,Hudson Yards-Chelsea-Flatiron-Union Square                                 
300 RECTOR PLACE,31704.0,FINANCIAL,D8-ELEVATOR,TRIBECA,"2,099,485",272.44,12.13,1900,5239413,41.58,TRIBECA,10110341,79263000.0,0.0,14824344.0,D5-ELEVATOR,Battery Park City-Lower Manhattan                                          
1 EAST 62 STREET,11401.0, ,D9-ELEVATOR,UPPER EAST SIDE (59-79), ,209.8,9.96, ,900179,36.82,UPPER WEST SIDE (59-79),261618,5365000.0,0.97,998731.0, ,Upper East Side-Carnegie Hill                                              
468 GREENWICH STREET,39.0,SOHO,D1-ELEVATOR,SOHO,"895,746",162.66,8.16,1910,922681,37.13,TRIBECA,582828,9435000.0,0.31,1643414.0,D9-ELEVATOR,SoHo-TriBeCa-Civic Center-Little Italy                                     
225 WEST 83 STREET,171.0, ,D7-ELEVATOR,UPPER WEST SIDE (79-96), ,258.14,12.03, ,14778636,34.35,UPPER WEST SIDE (79-96),9905580,39619000.0,0.38,8230191.0, ,Upper West Side                                                            
15 BROAD STREET,7.0,TRIBECA,D7-ELEVATOR,FINANCIAL,"13,788,111",239.74,11.99,2004,27436591,34.26,FINANCIAL,9217573,26237000.0,0.27,5447340.0,D8-ELEVATOR,Battery Park City-Lower Manhattan                                          
231 10 AVENUE,99.0, ,D6-ELEVATOR,CHELSEA, ,275.51,12.78, ,2219713,42.2,CHELSEA,2503016,12961000.0,0.18,2463988.0, ,Hudson Yards-Chelsea-Flatiron-Union Square                                 
7 EAST 20 STREET,52.0, ,D5-ELEVATOR,FLATIRON, ,193.63,12.24, ,1013880,45.13,FLATIRON,337248,19463000.0,0.1,3548932.0, ,Hudson Yards-Chelsea-Flatiron-Union Square                                 
29 WEST 65 STREET,149.0, ,D9-ELEVATOR,UPPER WEST SIDE (59-79), ,268.6,9.38, ,1442997,36.98,MIDTOWN CBD,2007516,2376000.0,1.18,736991.0, ,Lincoln Square                                                             
640 WEST END AVENUE,179.0, ,D7-ELEVATOR,UPPER WEST SIDE (79-96), ,236.85,9.66, ,2171425,27.41,UPPER WEST SIDE (79-96),2033154,8697000.0,0.09,1862613.0, ,Upper West Side                                                            
65 NASSAU STREET,1502.0, ,D6-ELEVATOR,FINANCIAL, ,183.88,8.06, ,848506,28.62,FINANCIAL,1454260,4807000.0,0.0,890618.0, ,Battery Park City-Lower Manhattan                                          
1360 6 AVENUE,104.0,MIDTOWN WEST,D6-ELEVATOR,MIDTOWN WEST,"6,871,120",205.96,10.45,1987,5414392,38.2,MIDTOWN WEST,4954169,22571000.0,0.44,4105761.0,D6-ELEVATOR,Midtown-Midtown South                                                      
2 COLUMBUS AVENUE,145.0,MIDTOWN WEST,D1-ELEVATOR,UPPER WEST SIDE (59-79),"10,738,875",260.25,13.7,1925,11136641,46.22,MIDTOWN WEST,7292533,40722000.0,0.35,7697270.0,D6-ELEVATOR,Lincoln Square                                                             
135 WEST 58 STREET,137.0,MIDTOWN WEST,D7-ELEVATOR,MIDTOWN WEST,"2,244,643",160.28,8.98,1926,1128376,30.54,MIDTOWN WEST,1421583,9964000.0,0.05,1887336.0,D9-ELEVATOR,Midtown-Midtown South                                                      
16 WEST 48 STREET,96.0,MURRAY HILL,D1-ELEVATOR,MIDTOWN WEST,"8,508,843",228.98,13.7,1980,6858355,46.22,MIDTOWN EAST,5130056,40722000.0,0.73,7697270.0,D6-ELEVATOR,Midtown-Midtown South                                                      
107 WEST 82 STREET,169.0, ,D9-ELEVATOR,UPPER WEST SIDE (79-96), ,197.8,3.89, ,1584076,20.84,UPPER EAST SIDE (59-79),728569,6570000.0,1.59,1195707.0, ,Upper West Side                                                            
40 SUTTON PLACE,10601.0, ,D9-ELEVATOR,MIDTOWN EAST, ,268.6,12.14, ,2535092,34.65,MIDTOWN CBD,2007516,7971000.0,1.45,1656890.0, ,Turtle Bay-East Midtown                                                    
240 EAST 10 STREET,40.0,EAST VILLAGE,D7-ELEVATOR,EAST VILLAGE,"1,091,808",310.6,7.14,2003,2390890,38.22,ALPHABET CITY,3995659,12870000.0,0.15,2727060.0,D1-ELEVATOR,East Village                                                               
2 AMSTERDAM AVENUE,147.0, ,D1-ELEVATOR,UPPER WEST SIDE (59-79), ,239.67,13.7, ,3897000,46.22,CLINTON,2025721,40722000.0,0.39,7697270.0, ,Lincoln Square                                                             
130 WEST 17 STREET,81.0, ,D3-ELEVATOR,CHELSEA, ,180.69,9.22, ,934625,28.73,CHELSEA,836726,4916000.0,0.18,963766.0, ,Hudson Yards-Chelsea-Flatiron-Union Square                                 
456 WEST 19 STREET,89.0, ,D6-ELEVATOR,CHELSEA, ,291.62,7.55, ,2549240,47.77,CHELSEA,1011324,9213000.0,0.29,1456924.0, ,Hudson Yards-Chelsea-Flatiron-Union Square                                 
890 8 AVENUE,131.0, ,D6-ELEVATOR,MIDTOWN WEST, ,301.75,10.2, ,3532000,40.49,MIDTOWN WEST,3266211,22563000.0,0.2,3992592.0, ,Midtown-Midtown South                                                      
105 CHAMBERS STREET,21.0, ,D6-ELEVATOR,CIVIC CENTER, ,195.78,13.32, ,480114,39.19,CIVIC CENTER,10492823,84991000.0,0.13,17024841.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
200 WEST 78 STREET,163.0, ,C7-WALK-UP,UPPER WEST SIDE (59-79), ,228.88,14.79, ,437511,45.29,UPPER WEST SIDE (79-96),319922,2217000.0,0.11,437512.0, ,Upper West Side                                                            
151 EAST 20 STREET,50.0,GRAMERCY,D9-ELEVATOR,GRAMERCY,"543,863",241.89,8.14,1912,341769,30.11,GRAMERCY,787270,4096000.0,0.05,749557.0,D7-ELEVATOR,Gramercy                                                                   
160 WEST END AVENUE,155.0, ,D6-ELEVATOR,UPPER WEST SIDE (59-79), ,166.18,9.68, ,14832432,30.4,MIDTOWN WEST,8732975,58954000.0,0.91,11566789.0, ,Lincoln Square                                                             
400 WEST 12 STREET,79.0, ,D8-ELEVATOR,GREENWICH VILLAGE-WEST, ,289.87,15.86, ,10202023,59.25,GREENWICH VILLAGE-WEST,3305116,7469000.0,0.33,1372517.0, ,West Village                                                               
15 PARK ROW,1501.0, ,D7-ELEVATOR,SOUTHBRIDGE, ,157.42,11.48, ,6407044,34.76,FINANCIAL,5271269,27581000.0,0.18,5562279.0, ,Battery Park City-Lower Manhattan                                          
285 LAFAYETTE STREET,43.0,LITTLE ITALY,D7-ELEVATOR,LITTLE ITALY,"6,442,633",418.62,16.0,1982,3182103,54.24,SOHO,582726,6763000.0,0.09,601142.0,D7-ELEVATOR,SoHo-TriBeCa-Civic Center-Little Italy                                     
315 7 AVENUE,95.0,MURRAY HILL,D6-ELEVATOR,CHELSEA,"2,673,759",117.52,12.26,1923,4364265,46.11,CHELSEA,5884971,25390000.0,0.49,4599769.0,D6-ELEVATOR,Midtown-Midtown South                                                      
186 5 AVENUE,58.0,FLATIRON,D8-ELEVATOR,FLATIRON,"476,194",267.04,10.99,1925,343260,35.76,FLATIRON,501318,2530000.0,0.2,494396.0,D9-ELEVATOR,Hudson Yards-Chelsea-Flatiron-Union Square                                 
50 PINE STREET,7.0, ,D6-ELEVATOR,FINANCIAL, ,539.79,10.51, ,1644087,42.28,SOUTHBRIDGE,394505,69551000.0,0.03,12265285.0, ,Battery Park City-Lower Manhattan                                          
38 STUYVESANT STREET,40.0, ,C7-WALK-UP,EAST VILLAGE, ,153.53,12.27, ,483862,35.04,EAST VILLAGE,271829,2160000.0,0.05,449283.0, ,East Village                                                               
200 WEST END AVENUE,155.0,UPPER WEST SIDE (59-79),D5-ELEVATOR,UPPER WEST SIDE (59-79),"16,276,949",233.8,15.48,2002,9894766,47.96,UPPER WEST SIDE (59-79),9361100,26081000.0,0.12,5128337.0,D8-ELEVATOR,Lincoln Square                                                             
310 WEST 52 STREET,133.0,MIDTOWN WEST,D1-ELEVATOR,MIDTOWN WEST,"10,738,875",260.25,13.7,1925,11524449,46.22,MIDTOWN WEST,7292533,40722000.0,0.18,7697270.0,D6-ELEVATOR,Clinton                                                                    
250 EAST 49 STREET,90.0, ,D3-ELEVATOR,MIDTOWN EAST, ,232.93,13.78, ,4522590,40.53,MIDTOWN EAST,2697667,21369000.0,0.53,4285399.0, ,Turtle Bay-East Midtown                                                    
225 RECTOR PLACE,31704.0, ,D8-ELEVATOR,TRIBECA, ,272.44,12.13, ,11752712,41.58,TRIBECA,10110341,79263000.0,0.0,14824344.0, ,Battery Park City-Lower Manhattan                                          
5 EAST 44 STREET,94.0,MIDTOWN EAST,D7-ELEVATOR,MIDTOWN CBD,"879,967",182.31,12.93,2008,1168828,79.82,MIDTOWN CBD,638048,13177000.0,0.45,2124117.0,D9-ELEVATOR,Midtown-Midtown South                                                      
30 WEST 9 STREET,63.0,GREENWICH VILLAGE-CENTRAL,D7-ELEVATOR,GREENWICH VILLAGE-CENTRAL,"937,085",167.76,11.3,1917,419558,29.14,GREENWICH VILLAGE-CENTRAL,469640,5324000.0,0.05,1159167.0,D3-ELEVATOR,West Village                                                               
242 EAST 15 STREET,48.0, ,C7-WALK-UP,GRAMERCY, ,240.49,10.26, ,251952,38.2,GRAMERCY,389587,3111000.0,0.0,562064.0, ,Gramercy                                                                   
223 WEST 80 STREET,167.0,UPPER WEST SIDE (79-96),D1-ELEVATOR,UPPER WEST SIDE (79-96),"911,659",234.52,6.45,1920,891906,38.42,UPPER WEST SIDE (79-96),599577,5497000.0,0.18,873120.0,D2-ELEVATOR,Upper West Side                                                            
53 NORTH MOORE STREET,39.0, ,D1-ELEVATOR,TRIBECA, ,162.66,8.16, ,2868341,37.13,TRIBECA,582828,9435000.0,0.5,1643414.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
22 RIVERSIDE DRIVE,163.0,UPPER WEST SIDE (59-79),D7-ELEVATOR,UPPER WEST SIDE (59-79),"417,697",174.71,8.93,1963,1431903,27.53,UPPER WEST SIDE (59-79),470955,2944000.0,0.16,604461.0,D1-ELEVATOR,Upper West Side                                                            
76 WEST 85 STREET,169.0,UPPER WEST SIDE (79-96),D7-ELEVATOR,UPPER WEST SIDE (79-96),"1,668,070",202.53,9.07,1905,1441459,53.08,UPPER WEST SIDE (79-96),1280579,15600000.0,0.05,2535296.0,D6-ELEVATOR,Upper West Side                                                            
52 EAST 72 STREET,130.0,UPPER EAST SIDE (59-79),D6-ELEVATOR,UPPER EAST SIDE (59-79),"570,017",331.14,12.23,1981,1916214,44.74,UPPER EAST SIDE (59-79),1438866,3973000.0,0.35,726238.0,D9-ELEVATOR,Upper East Side-Carnegie Hill                                              
40 EAST 62 STREET,11401.0, ,D8-ELEVATOR,UPPER EAST SIDE (59-79), ,268.6,12.47, ,1006686,40.81,MIDTOWN CBD,2007516,65712000.0,0.59,12528071.0, ,Upper East Side-Carnegie Hill                                              
63 COOPER SQUARE,38.0, ,D9-ELEVATOR,EAST VILLAGE, ,195.88,13.52, ,1088062,51.13,EAST VILLAGE,426159,3935000.0,0.62,714487.0, ,East Village                                                               
71 AVENUE D,2601.0,ALPHABET CITY,D5-ELEVATOR,ALPHABET CITY,"329,949",133.78,10.13,1910,792799,39.74,ALPHABET CITY,654786,7214000.0,0.2,1280553.0,C1-WALK-UP,Lower East Side                                                            
29 WEST 19 STREET,54.0, ,D9-ELEVATOR,FLATIRON, ,284.39,12.99, ,518361,48.32,CHELSEA,1840534,38509000.0,0.37,7020404.0, ,Hudson Yards-Chelsea-Flatiron-Union Square                                 
103 GREENE STREET,49.0, ,D1-ELEVATOR,SOHO, ,243.47,9.17, ,1237168,29.55,SOHO,700871,5941000.0,0.18,1149094.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
100 RIVERSIDE BOULEVARD,151.0,UPPER WEST SIDE (59-79),D8-ELEVATOR,UPPER WEST SIDE (59-79),"19,481,001",248.91,11.78,1998,17174341,39.68,UPPER WEST SIDE (59-79),12159092,82455000.0,0.56,15512917.0,D6-ELEVATOR,Lincoln Square                                                             
155 WEST 71 STREET,157.0, ,D9-ELEVATOR,UPPER WEST SIDE (59-79), ,185.78,10.51, ,1539175,33.42,UPPER WEST SIDE (59-79),1227474,3877000.0,0.17,761565.0, ,Lincoln Square                                                             
217 WEST 14 STREET,81.0,CHELSEA,C4-WALK-UP,CHELSEA,"718,814",185.97,11.71,1920,588429,35.71,CHELSEA,305329,4099000.0,0.0,825366.0,C7-WALK-UP,Hudson Yards-Chelsea-Flatiron-Union Square                                 
13 RECTOR STREET,13.0, ,D8-ELEVATOR,FINANCIAL, ,239.74,13.22, ,14551083,49.57,FINANCIAL,9217573,75778000.0,0.33,13788111.0, ,Battery Park City-Lower Manhattan                                          
57 BOND STREET,5502.0,EAST VILLAGE,D5-ELEVATOR,GREENWICH VILLAGE-CENTRAL,"597,163",319.03,8.77,1920,916439,21.86,GREENWICH VILLAGE-CENTRAL,3710453,4419000.0,0.08,1007446.0,C7-WALK-UP,West Village                                                               
7 LISPENARD STREET,33.0, ,C1-WALK-UP,TRIBECA, ,104.99,16.13, ,397494,32.22,SOHO,260982,895000.0,0.16,240567.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
10 WEST END AVENUE,147.0,CLINTON,D9-ELEVATOR,UPPER WEST SIDE (59-79),"7,697,270",222.82,9.03,1987,8582339,32.68,CLINTON,5025835,40459000.0,0.39,7516343.0,D1-ELEVATOR,Lincoln Square                                                             
125 EAST 4 STREET,38.0, ,D1-ELEVATOR,EAST VILLAGE, ,195.88,8.17, ,663145,36.94,EAST VILLAGE,426159,7623000.0,0.39,1329829.0, ,East Village                                                               
246 WEST 17 STREET,81.0, ,D1-ELEVATOR,CHELSEA, ,213.67,8.17, ,2610926,37.71,CHELSEA,1762506,5034000.0,0.09,848796.0, ,Hudson Yards-Chelsea-Flatiron-Union Square                                 
240 EAST 15 STREET,48.0, ,C4-WALK-UP,GRAMERCY, ,211.46,12.79, ,290643,44.74,GRAMERCY,411117,2932000.0,0.1,545524.0, ,Gramercy                                                                   
17 BOND STREET,5502.0, ,C7-WALK-UP,GREENWICH VILLAGE-CENTRAL, ,95.9,12.51, ,428453,36.79,GREENWICH VILLAGE-CENTRAL,603242,2902000.0,0.25,597163.0, ,West Village                                                               
230 WEST 78 STREET,163.0, ,D1-ELEVATOR,UPPER WEST SIDE (59-79), ,181.6,13.7, ,3616157,46.22,CLINTON,2201122,40722000.0,1.26,7697270.0, ,Upper West Side                                                            
583 BROADWAY,49.0, ,D7-ELEVATOR,SOHO, ,271.75,6.42, ,3181695,34.84,SOHO,747503,18450000.0,0.25,6442633.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
76 MADISON AVENUE,56.0, ,D9-ELEVATOR,FLATIRON, ,210.53,13.84, ,2400782,40.69,MURRAY HILL,1681099,11494000.0,0.27,2305902.0, ,Hudson Yards-Chelsea-Flatiron-Union Square                                 
211 MADISON AVENUE,82.0, ,D7-ELEVATOR,MURRAY HILL, ,272.22,12.16, ,3735670,41.34,MURRAY HILL,2584876,20022000.0,0.24,3756801.0, ,Murray Hill-Kips Bay                                                       
525 PARK AVENUE,11402.0, ,D6-ELEVATOR,UPPER EAST SIDE (59-79), ,130.97,10.45, ,3316081,38.2,UPPER EAST SIDE (59-79),2066603,22571000.0,0.22,4105761.0, ,Upper East Side-Carnegie Hill                                              
17 BATTERY PLACE,13.0, ,D8-ELEVATOR,FINANCIAL, ,164.26,12.4, ,17310000,43.81,FINANCIAL,7911142,148410000.0,0.48,27484973.0, ,Battery Park City-Lower Manhattan                                          
101 ALLEN STREET,18.0, ,D6-ELEVATOR,LOWER EAST SIDE, ,211.75,9.23, ,187655,35.5,LOWER EAST SIDE,1035573,7475000.0,0.32,1366791.0, ,Chinatown                                                                  
360 WEST 22 STREET,89.0,CHELSEA,D6-ELEVATOR,CHELSEA,"3,640,627",139.73,10.45,1974,6143597,44.05,CHELSEA,2943141,38536000.0,0.17,6709922.0,D1-ELEVATOR,Hudson Yards-Chelsea-Flatiron-Union Square                                 
11 MONROE STREET,8.0,LOWER EAST SIDE,D9-ELEVATOR,LOWER EAST SIDE,"2,101,131",178.64,13.05,1987,242145,39.36,CHINATOWN,520743,1641000.0,0.53,324716.0,D9-ELEVATOR,Chinatown                                                                  
630 1 AVENUE,8601.0,MURRAY HILL,D9-ELEVATOR,KIPS BAY,"12,598,191",228.55,10.31,1972,18207652,31.69,KIPS BAY,11115393,61856000.0,0.32,12289373.0,D6-ELEVATOR,Turtle Bay-East Midtown                                                    
39 JOHN STREET,1502.0,CIVIC CENTER,D7-ELEVATOR,FINANCIAL,"903,594",275.64,14.15,2005,763299,44.58,LOWER EAST SIDE,1131418,3528000.0,0.34,686500.0,D6-ELEVATOR,Battery Park City-Lower Manhattan                                          
11 EAST 29 STREET,74.0,MURRAY HILL,D8-ELEVATOR,MURRAY HILL,"8,251,095",240.78,9.0,1975,10047073,31.16,FLATIRON,9379470,26493000.0,0.24,4989611.0,D6-ELEVATOR,Midtown-Midtown South                                                      
43 WEST 64 STREET,149.0, ,D3-ELEVATOR,UPPER WEST SIDE (59-79), ,243.93,14.7, ,4157549,46.83,UPPER WEST SIDE (59-79),3473264,10295000.0,0.24,1996804.0, ,Lincoln Square                                                             
555 WEST 23 STREET,99.0, ,D7-ELEVATOR,CHELSEA, ,240.71,10.17, ,11841879,42.07,CHELSEA,9595577,70783000.0,0.84,12367980.0, ,Hudson Yards-Chelsea-Flatiron-Union Square                                 
54 BLEECKER STREET,5502.0,SOHO,D5-ELEVATOR,GREENWICH VILLAGE-CENTRAL,"582,726",95.9,14.06,1900,843330,50.0,GREENWICH VILLAGE-CENTRAL,603242,7106000.0,0.12,1319175.0,D2-ELEVATOR,West Village                                                               
2101 BROADWAY,159.0, ,D6-ELEVATOR,UPPER WEST SIDE (59-79), ,222.31,10.14, ,16885946,33.41,UPPER WEST SIDE (59-79),6622944,35013000.0,0.26,6767501.0, ,Lincoln Square                                                             
159 EAST 30 STREET,72.0,GRAMERCY,D6-ELEVATOR,MURRAY HILL,"1,082,500",179.28,10.98,1984,1948354,29.42,MURRAY HILL,1160639,9181000.0,0.13,1953567.0,D6-ELEVATOR,Murray Hill-Kips Bay                                                       
21 SOUTH END AVENUE,31704.0, ,D5-ELEVATOR,TRIBECA, ,222.35,11.06, ,8077137,35.98,TRIBECA,10499169,10730000.0,0.38,2099485.0, ,Battery Park City-Lower Manhattan                                          
