total_enrollment,ell_chinese_1,math_level_3_2,dbn,grade_5,asian_2,white_2
36,,,06M128,,s,s
21,,s,30Q149,s,s,s
s,,,03M163,,s,s
s,,,20K506,,s,s
27,,s,03M247,,s,s
s,,,03M334,,s,s
26,,s,20K200,6,s,1
10,,s,09X109,s,s,s
s,,,09X053,,s,s
25,,s,24Q311,,s,s
36,,s,20K200,6,0.19444444444444445,0.8055555555555556
s,,,15K516,,s,s
s,,,10X077,,s,s
s,,s,30Q149,,s,s
36,,0.25,01M110,6,0.3611111111111111,0.3611111111111111
10,,s,09X449,,s,s
12,,s,03M166,s,s,0.8333333333333334
75,,s,03M165,6,s,s
15,s,,20K506,,s,s
15,,s,19K108,s,s,s
54,,s,30Q127,8,s,s
15,,s,09X443,s,s,s
120,,s,24Q143,13,s,s
11,,s,30Q150,s,s,s
8,,s,06M098,,s,s
s,,,10X077,,s,s
34,,,30Q329,,s,s
14,s,s,03M256,,s,s
36,,s,06M018,,s,s
s,s,,02M130,,s,s
17,,s,03M163,s,s,s
16,,,24Q013,,s,s
12,,s,15K230,s,0.8333333333333334,s
92,,0.06521739130434782,20K176,31,0.8152173913043478,0.14130434782608695
61,s,s,04M372,,s,s
7,,s,10X054,,s,s
s,,,21K238,,s,s
213,,s,02M130,31,0.8215962441314554,0.06103286384976526
14,s,,14K034,,s,1
s,,,06M028,,s,s
22,,,30Q017,,s,s
27,,s,09X449,,s,s
63,,0.2857142857142857,20K200,11,0.1746031746031746,0.7619047619047619
10,,,09X011,,s,s
8,s,s,07X223,,s,s
s,,s,15K058,s,s,s
7,,,13K003,,s,s
s,s,,17K316,,s,s
137,,s,06M210,10,s,s
33,,s,19K089,s,s,s
s,,s,04M096,,s,s
17,,s,12X092,,s,s
s,,,24Q016,,s,s
17,,s,05M200,s,s,s
18,s,s,12X092,,s,s
s,,,14K196,,s,s
s,s,,02M111,,s,s
s,s,,03M334,,s,s
91,,0.1590909090909091,20K204,15,0.7802197802197802,0.15384615384615385
86,,0.42857142857142855,25Q163,6,1,s
7,,s,18K068,,s,s
13,,s,03M163,s,s,s
s,,,19K345,,s,s
38,,s,19K662,,s,s
36,,s,03M084,s,s,0.6388888888888888
11,,,08X333,,s,s
8,,s,21K281,,1,s
305,,0.1357142857142857,03M166,41,0.14426229508196722,0.6491803278688525
39,,0.4230769230769231,13K009,11,s,0.23076923076923078
6,,,06M513,,s,s
94,,s,09X073,13,s,s
42,,s,31R022,s,s,s
s,,s,03M087,s,s,s
s,,,30Q280,,s,s
11,,s,09X325,,s,s
s,,s,03M145,s,s,s
s,,s,03M145,s,s,s
32,,s,06M328,,s,s
650,,0.1588785046728972,01M539,102,0.34923076923076923,0.4492307692307692
97,93,0.4375,01M184,10,0.9587628865979382,s
11,,s,04M072,,s,s
15,,,20K506,,s,s
98,s,0.48,17K249,,s,s
54,,0.25,05M129,14,s,s
18,,,22K139,,s,s
12,,s,11X370,,s,s
10,,s,02M198,s,s,s
9,,s,04M012,s,s,s
s,,s,20K204,s,s,s
19,s,,22K139,,s,s
72,,s,20K164,,0.6388888888888888,0.18055555555555555
19,s,s,31R044,,s,s
s,,s,06M153,s,s,s
17,,s,10X024,s,s,s
37,,s,02M077,7,s,0.7567567567567568
101,,0.1320754716981132,10X007,19,0.18811881188118812,s
15,,,20K506,,s,s
23,,s,05M129,s,s,s
32,,s,30Q166,s,s,s
59,s,s,27Q197,6,s,s
13,,s,08X130,13,s,s
