dbn,location,p_q11b,p_q11f_1,p_q8f_1,p_q9,p_q10b,p_q2d_1,p_q7c_1,p_q7d_5,p_q8b_5,p_q10l,p_q2g_5,p_q11b_1,nr_p,p_q2i_4,p_q11a_3,p_q12aa_3,p_q5b,p_q8c_2,p_q1_4,p_q2h_3,aca_p_10,p_q8f_5,aca_tot_10,p_q4a_5,p_q8e_5,p_q12bb,p_q2i_3,p_q8e_4,p_q4e_5,p_q6_4,p_q4e_1,com_p_10,p_q5h,p_q3c_1,p_q11f_2,p_q2f_2,p_q3b,p_q2g_1,p_q2a_5,p_q4d_3,p_q8d_4,p_q1_12,p_q7b,p_q3d,p_q5g,sch_type,p_q2c_1,p_q3a_5,p_q2b_2,p_q11d_2,p_q7a_2,p_q7b_2,p_q8b_3,p_q9_3,p_q2a_2,p_q10k,p_q2a_4,p_q7a_5,p_q2c_5,p_q7b_4,p_q8e_3,borough,saf_tot_10,rr_t,p_q7d_1,p_q2g_4,p_q10i,p_q2g,p_q3a_1,p_q1_10,p_q3c_2,p_q8d_5,p_q2f_5,p_q8a_3,p_q4e_3,p_q3d_3,p_q5j,p_q2e_3,p_q10d,p_q11d_1,p_q4c_5,p_q2d_3,com_t_10,saf_p_10,p_q7d,p_q7d_2,p_q1_1,p_q8c_1,p_q7b_3,rr_p,p_q12aa,p_q2e_5,p_q9_9,p_q10,p_q4b_4,com_tot_10,p_q12ab,eng_p_10
12X286,Fannie Lou Hamer Middle School,7.3,42.0,63.0,,27.0,50.0,49.0,4.0,16.0,0.0,0.0,36.0,222,2.0,2.0,7.0,25.0,26.0,0.0,2.0,8.2,22.0,7.3,2.0,24.0,,2.0,0.0,,0.0,,8.1,88.0,28.0,58.0,43.0,7.0,55.0,0.0,2.0,2.0,0.0,8.1,,43.0,Middle School,46.0,0.0,34.0,58.0,45.0,49.0,4.0,17.0,32.0,14.0,2.0,4.0,0.0,2.0,4.0,BRONX,7.1,70,30.0,2.0,14.0,8.4,32.0,56.0,28.0,31.0,0.0,15.0,,21.0,55.0,4.0,46.0,33.0,0.0,0.0,5.6,8.2,7.2,52.0,0.0,46.0,5.0,25,,4.0,20.0,,0.0,6.7,,8.1
08X093,P.S. 093 Albert G. Oliver,7.5,24.0,85.0,,11.0,25.0,17.0,0.0,10.0,1.0,3.0,26.0,349,0.0,1.0,3.0,25.0,2.0,14.0,2.0,7.9,12.0,7.6,0.0,12.0,,0.0,0.0,,1.0,,7.8,77.0,74.0,74.0,74.0,9.2,21.0,0.0,1.0,0.0,0.0,8.0,,11.0,Elementary School,23.0,1.0,76.0,75.0,60.0,80.0,1.0,3.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,BRONX,8.2,71,15.0,0.0,60.0,7.4,29.0,0.0,23.0,13.0,0.0,4.0,,6.0,67.0,0.0,78.0,24.0,0.0,0.0,6.7,8.8,7.1,85.0,14.0,86.0,0.0,100,,10.0,5.0,,0.0,7.2,,8.0
12X684,Wings Academy,6.8,29.0,35.0,,36.0,41.0,24.0,5.0,32.0,0.0,3.0,24.0,470,1.0,7.0,8.0,7.0,10.0,0.0,20.0,7.3,39.0,7.3,2.0,44.0,,11.0,3.0,10.0,6.0,28.0,6.9,36.0,24.0,58.0,54.0,5.3,28.0,1.0,7.0,4.0,24.0,8.1,,12.0,High School,27.0,17.0,58.0,56.0,59.0,61.0,9.0,12.0,53.0,0.0,2.0,4.0,3.0,1.0,4.0,BRONX,6.9,69,28.0,2.0,3.0,7.3,21.0,0.0,30.0,36.0,0.0,10.0,11.0,29.0,23.0,5.0,28.0,27.0,2.0,1.0,6.4,7.7,7.3,59.0,0.0,50.0,2.0,45,,20.0,20.0,,3.0,6.2,,7.1
09X042,P.S. 042 Claremont,8.5,64.0,91.0,,14.0,56.0,51.0,1.0,6.0,1.0,2.0,60.0,399,0.0,2.0,2.0,22.0,7.0,11.0,4.0,8.7,4.0,8.5,2.0,5.0,,3.0,0.0,,1.0,,8.6,73.0,79.0,33.0,44.0,9.0,52.0,0.0,2.0,1.0,0.0,8.8,,13.0,Elementary School,52.0,2.0,46.0,36.0,42.0,44.0,1.0,36.0,41.0,4.0,0.0,1.0,1.0,0.0,0.0,BRONX,8.4,91,57.0,0.0,4.0,8.4,76.0,0.0,14.0,7.0,0.0,4.0,,6.0,26.0,1.0,75.0,61.0,1.0,0.0,7.5,9.1,8.5,41.0,5.0,84.0,1.0,85,,9.0,7.0,,0.0,8.0,,8.7
06M540,A. Philip Randolph Campus High School,6.4,23.0,30.0,,35.0,44.0,24.0,5.0,28.0,4.0,4.0,20.0,1398,2.0,10.0,19.0,20.0,8.0,0.0,14.0,7.0,52.0,7.1,9.0,49.0,,11.0,3.0,18.0,3.0,21.0,7.0,58.0,19.0,64.0,46.0,5.1,42.0,0.0,8.0,2.0,33.0,7.5,,25.0,High School,38.0,18.0,59.0,59.0,56.0,60.0,6.0,15.0,60.0,0.0,2.0,5.0,2.0,2.0,4.0,MANHATTAN,6.7,92,32.0,3.0,4.0,7.8,19.0,0.0,31.0,41.0,0.0,14.0,11.0,30.0,23.0,3.0,32.0,22.0,5.0,2.0,6.8,7.7,7.5,55.0,0.0,50.0,8.0,19,,34.0,18.0,,3.0,6.3,,7.2
10X306,P.S. 306,8.2,55.0,62.0,,23.0,59.0,48.0,2.0,16.0,3.0,2.0,53.0,566,2.0,3.0,6.0,16.0,9.0,13.0,8.0,8.5,30.0,8.0,2.0,26.0,,6.0,1.0,,4.0,,8.3,33.0,49.0,41.0,38.0,8.0,55.0,0.0,2.0,3.0,0.0,8.8,,15.0,Elementary School,52.0,4.0,45.0,42.0,41.0,38.0,4.0,23.0,38.0,2.0,1.0,1.0,0.0,0.0,0.0,BRONX,7.9,81,52.0,0.0,9.0,8.4,48.0,0.0,27.0,25.0,0.0,10.0,,17.0,28.0,4.0,54.0,52.0,1.0,3.0,7.1,8.6,8.3,42.0,1.0,66.0,3.0,57,,17.0,13.0,,1.0,7.7,,8.1
02M394,EMMA LAZARUS HIGH SCHOOL,7.9,45.0,74.0,,15.0,49.0,47.0,1.0,5.0,1.0,6.0,40.0,130,1.0,1.0,8.0,4.0,13.0,0.0,1.0,8.2,21.0,8.1,6.0,14.0,,1.0,0.0,9.0,0.0,41.0,7.9,60.0,25.0,55.0,52.0,6.9,46.0,1.0,1.0,0.0,98.0,8.6,,19.0,High School,41.0,2.0,60.0,61.0,52.0,48.0,1.0,16.0,44.0,1.0,0.0,3.0,2.0,0.0,0.0,MANHATTAN,8.7,100,52.0,0.0,4.0,8.2,22.0,0.0,33.0,12.0,1.0,1.0,4.0,23.0,41.0,1.0,27.0,37.0,5.0,0.0,6.7,9.0,8.4,45.0,0.0,76.0,3.0,65,,10.0,19.0,,0.0,7.1,,7.8
05M285,Harlem Renaissance High School,7.9,48.0,56.0,,49.0,57.0,49.0,5.0,26.0,2.0,2.0,42.0,207,4.0,4.0,27.0,22.0,4.0,0.0,24.0,8.2,33.0,7.9,6.0,29.0,,4.0,2.0,6.0,0.0,49.0,7.7,33.0,36.0,48.0,47.0,6.6,53.0,0.0,11.0,2.0,23.0,8.6,,24.0,High School,52.0,7.0,39.0,41.0,44.0,43.0,0.0,9.0,24.0,4.0,4.0,4.0,2.0,0.0,4.0,MANHATTAN,7.7,94,51.0,4.0,8.0,8.1,40.0,0.0,36.0,31.0,0.0,4.0,0.0,22.0,24.0,2.0,20.0,46.0,9.0,2.0,6.3,8.6,8.4,41.0,0.0,65.0,4.0,24,,39.0,3.0,,0.0,6.8,,8.0
14K019,P.S. 019 Roberto Clemente,8.0,54.0,83.0,,18.0,58.0,53.0,1.0,12.0,6.0,1.0,46.0,349,0.0,1.0,12.0,39.0,2.0,23.0,3.0,8.4,15.0,8.2,1.0,10.0,,4.0,1.0,,1.0,,8.3,63.0,53.0,43.0,42.0,8.3,50.0,0.0,3.0,1.0,0.0,8.8,,13.0,Elementary School,49.0,1.0,48.0,49.0,44.0,40.0,2.0,19.0,46.0,6.0,0.0,1.0,1.0,0.0,0.0,BROOKLYN,8.5,91,54.0,1.0,12.0,8.2,42.0,0.0,27.0,12.0,0.0,4.0,,23.0,53.0,3.0,74.0,48.0,2.0,1.0,7.2,9.1,8.4,44.0,0.0,86.0,2.0,77,,15.0,18.0,,0.0,7.7,,8.3
19K452,Frederick Douglass Academy VIII Middle School,8.0,45.0,73.0,,57.0,59.0,51.0,6.0,22.0,1.0,6.0,43.0,204,2.0,3.0,15.0,47.0,5.0,0.0,14.0,8.4,23.0,8.3,0.0,21.0,,4.0,0.0,,0.0,,8.0,56.0,35.0,51.0,43.0,6.5,52.0,0.0,1.0,1.0,0.0,8.7,,46.0,Middle School,34.0,7.0,51.0,54.0,46.0,48.0,1.0,19.0,41.0,1.0,0.0,2.0,2.0,0.0,1.0,BROOKLYN,8.0,78,42.0,1.0,3.0,8.4,35.0,33.0,32.0,27.0,1.0,7.0,,29.0,39.0,0.0,45.0,41.0,0.0,1.0,7.4,8.9,8.1,52.0,0.0,70.0,1.0,76,,37.0,16.0,,1.0,7.3,,8.0
02M575,Manhattan Comprehensive Night and Day High School,8.0,43.0,66.0,,24.0,50.0,42.0,3.0,13.0,1.0,7.0,44.0,696,1.0,0.0,3.0,27.0,12.0,0.0,3.0,8.2,28.0,8.3,7.0,24.0,,3.0,0.0,7.0,3.0,46.0,8.0,49.0,25.0,56.0,46.0,7.1,42.0,1.0,3.0,1.0,35.0,8.5,,25.0,High School,48.0,3.0,54.0,59.0,47.0,50.0,2.0,13.0,41.0,0.0,0.0,2.0,1.0,0.0,1.0,MANHATTAN,8.6,86,48.0,0.0,4.0,8.1,35.0,0.0,31.0,18.0,2.0,1.0,4.0,23.0,43.0,4.0,28.0,36.0,3.0,2.0,7.4,8.9,8.1,44.0,0.0,69.0,1.0,39,,16.0,19.0,,0.0,7.3,,7.9
09X063,P.S. 063 Author's Academy,8.2,58.0,76.0,,21.0,54.0,48.0,8.0,19.0,4.0,3.0,51.0,401,1.0,1.0,6.0,29.0,4.0,22.0,5.0,8.5,21.0,8.2,3.0,16.0,,6.0,0.0,,3.0,,8.2,41.0,39.0,37.0,38.0,7.1,51.0,0.0,2.0,1.0,0.0,8.5,,8.0,Elementary School,51.0,3.0,52.0,43.0,44.0,48.0,2.0,22.0,40.0,3.0,0.0,1.0,1.0,0.0,0.0,BRONX,8.1,100,48.0,0.0,6.0,8.4,40.0,0.0,40.0,23.0,0.0,6.0,,16.0,26.0,1.0,59.0,52.0,2.0,1.0,7.1,8.8,8.2,40.0,5.0,74.0,4.0,77,,22.0,11.0,,1.0,7.6,,8.1
01M063,P.S. 063 William McKinley,8.3,58.0,75.0,,51.0,57.0,38.0,9.0,20.0,2.0,7.0,55.0,161,1.0,3.0,14.0,66.0,6.0,17.0,8.0,8.5,23.0,8.2,0.0,20.0,,4.0,1.0,,3.0,,8.2,61.0,59.0,35.0,41.0,7.2,45.0,0.0,5.0,2.0,0.0,8.6,,13.0,Elementary School,50.0,1.0,44.0,42.0,47.0,53.0,3.0,14.0,33.0,4.0,2.0,2.0,2.0,0.0,0.0,MANHATTAN,8.4,55,40.0,0.0,9.0,8.1,57.0,0.0,38.0,24.0,0.0,4.0,,7.0,25.0,2.0,58.0,51.0,2.0,3.0,6.9,8.6,7.9,47.0,12.0,69.0,1.0,73,,28.0,13.0,,2.0,7.5,,8.4
03M299,"High School for Arts, Imagination and Inquiry",7.3,20.0,39.0,,45.0,29.0,20.0,1.0,38.0,1.0,2.0,22.0,378,1.0,1.0,5.0,6.0,3.0,0.0,8.0,7.5,52.0,7.4,2.0,51.0,,3.0,1.0,6.0,1.0,21.0,6.9,69.0,9.0,77.0,68.0,4.6,29.0,0.0,3.0,1.0,24.0,7.9,,20.0,High School,26.0,4.0,73.0,78.0,73.0,78.0,1.0,17.0,70.0,1.0,1.0,2.0,1.0,0.0,1.0,MANHATTAN,7.5,100,21.0,0.0,2.0,7.6,11.0,0.0,34.0,42.0,0.0,4.0,5.0,38.0,27.0,3.0,14.0,19.0,3.0,4.0,6.8,8.4,7.3,75.0,0.0,57.0,1.0,46,,11.0,7.0,,0.0,6.6,,7.3
12X197,P.S. 197,7.8,50.0,68.0,,13.0,54.0,49.0,8.0,30.0,5.0,11.0,44.0,539,1.0,2.0,9.0,39.0,3.0,1.0,7.0,8.0,30.0,8.7,7.0,25.0,,5.0,1.0,,4.0,,8.0,46.0,77.0,43.0,49.0,7.7,41.0,0.0,10.0,1.0,0.0,8.5,,15.0,Early Childhood School,50.0,4.0,51.0,43.0,49.0,47.0,5.0,28.0,51.0,4.0,1.0,3.0,2.0,1.0,0.0,BRONX,9.1,3,45.0,0.0,16.0,8.1,51.0,0.0,16.0,33.0,1.0,7.0,,15.0,22.0,3.0,71.0,50.0,2.0,0.0,10.0,8.8,8.2,44.0,17.0,65.0,2.0,21,,23.0,5.0,,1.0,9.0,,8.0
01M142,P.S. 142 Amalia Castro,8.0,49.0,78.0,,39.0,59.0,46.0,2.0,18.0,1.0,4.0,45.0,344,0.0,1.0,8.0,56.0,4.0,13.0,6.0,8.3,19.0,8.0,3.0,17.0,,3.0,0.0,,1.0,,8.3,66.0,49.0,49.0,45.0,7.8,49.0,0.0,2.0,2.0,0.0,8.8,,13.0,Elementary School,52.0,3.0,46.0,49.0,44.0,45.0,2.0,22.0,41.0,22.0,0.0,1.0,0.0,0.0,1.0,MANHATTAN,8.3,91,53.0,0.0,24.0,8.3,47.0,0.0,38.0,24.0,0.0,3.0,,12.0,30.0,0.0,65.0,48.0,1.0,1.0,7.0,9.0,8.4,43.0,6.0,75.0,0.0,81,,13.0,7.0,,0.0,7.6,,8.5
12X680,Bronx Coalition Community High School,6.7,30.0,28.0,,19.0,36.0,26.0,4.0,26.0,0.0,4.0,25.0,142,7.0,11.0,11.0,12.0,19.0,0.0,11.0,6.7,33.0,6.8,2.0,27.0,,7.0,6.0,10.0,21.0,27.0,7.0,34.0,24.0,56.0,48.0,6.4,35.0,2.0,7.0,6.0,2.0,6.7,,22.0,High School,31.0,13.0,51.0,61.0,51.0,49.0,2.0,26.0,56.0,0.0,2.0,4.0,3.0,8.0,6.0,BRONX,6.7,100,22.0,5.0,0.0,7.3,25.0,0.0,36.0,29.0,2.0,8.0,14.0,18.0,25.0,4.0,27.0,20.0,7.0,5.0,5.8,7.1,6.7,56.0,0.0,43.0,15.0,42,,14.0,14.0,,4.0,6.2,,6.9
13K571,M.S. 571,6.8,27.0,53.0,,43.0,47.0,31.0,8.0,19.0,4.0,3.0,24.0,189,2.0,11.0,20.0,42.0,8.0,2.0,16.0,7.4,35.0,6.7,1.0,38.0,,5.0,3.0,,9.0,,7.6,45.0,30.0,53.0,44.0,6.5,52.0,2.0,13.0,5.0,0.0,7.9,,19.0,Middle School,42.0,6.0,55.0,51.0,49.0,49.0,8.0,27.0,50.0,3.0,2.0,2.0,6.0,0.0,3.0,BROOKLYN,6.5,55,30.0,2.0,13.0,8.3,31.0,52.0,31.0,30.0,2.0,15.0,,33.0,23.0,3.0,42.0,32.0,2.0,2.0,4.1,7.7,7.6,58.0,0.0,55.0,9.0,37,,26.0,15.0,,3.0,5.8,,7.5
03M076,P.S. 076 A. Philip Randolph,7.4,46.0,67.0,,33.0,59.0,39.0,4.0,25.0,2.0,4.0,39.0,369,2.0,4.0,16.0,58.0,3.0,14.0,15.0,8.0,29.0,7.8,3.0,22.0,,5.0,1.0,,3.0,,7.9,70.0,63.0,47.0,45.0,7.5,47.0,0.0,7.0,3.0,0.0,8.3,,30.0,Elementary School,45.0,6.0,47.0,45.0,47.0,55.0,4.0,14.0,41.0,7.0,1.0,2.0,0.0,0.0,1.0,MANHATTAN,7.4,97,49.0,1.0,18.0,8.1,49.0,0.0,21.0,26.0,0.0,10.0,,15.0,24.0,3.0,63.0,45.0,4.0,4.0,7.2,8.5,8.2,43.0,9.0,65.0,3.0,65,,19.0,11.0,,1.0,6.9,,8.2
08X305,Pablo Neruda Academy for Architecture and World Studies,7.5,36.0,32.0,,28.0,47.0,39.0,7.0,30.0,4.0,5.0,36.0,346,4.0,5.0,9.0,9.0,4.0,0.0,8.0,7.6,47.0,7.1,3.0,46.0,,4.0,3.0,11.0,6.0,35.0,7.6,52.0,37.0,55.0,43.0,7.0,46.0,1.0,6.0,4.0,21.0,8.0,,7.0,High School,44.0,12.0,51.0,53.0,47.0,48.0,1.0,18.0,41.0,1.0,0.0,5.0,1.0,1.0,4.0,BRONX,7.1,80,43.0,4.0,7.0,7.8,38.0,0.0,33.0,37.0,1.0,7.0,11.0,16.0,23.0,4.0,25.0,38.0,4.0,3.0,5.1,8.0,7.8,43.0,0.0,56.0,6.0,23,,34.0,18.0,,3.0,6.2,,7.6
