job_s1_no,gis_latitude,special_action_status,house__,other,fuel_storage,fuel_burning,approved,boiler,existingno_of_stories,lot,curb_cut,landmarked,standpipe,proposed_dwelling_units,street_frontage,job_status,gis_council_district
1015928,40.684107,N,727,X,,,11/01/2005,,0,4.0,,N,,4.0,0,X,41.0
3294901,40.722654,W,10,X,,,,,9,2.0,,N,,146.0,0,D,1.0
1006896,40.636485,N,5818,X,,,09/14/2004,,0,45.0,,N,,2.0,0,X,38.0
1002471,40.619669,N,1193,X,,,10/27/2004,,0,53.0,,N,,21.0,0,X,44.0
1001992,40.575859,N,155,,,,08/19/2004,,0,14.0,,N,,,0,X,48.0
1002972,40.813035,N,213,X,,,,,0,123.0,,N,,,0,X,9.0
3294858,40.874416,N,3224,X,,,05/19/2021,,3,197.0,,N,,2.0,0,X,12.0
2891806,40.843111,N,2591,X,,,12/31/2017,,1,52.0,,N,,6.0,0,X,13.0
3285448,40.731978,N,152-40,X,,,05/03/2021,,2,63.0,,N,,248.0,0,R,24.0
1010434,40.721764,N,12,X,,,10/01/2004,,0,17.0,,N,,,0,X,34.0
1472462,40.618816,N,39,,,,10/11/2006,,0,382.0,,N,,,0,U,49.0
1721629,40.74537,N,64-58,X,,,09/09/2009,,1,33.0,,N,,1.0,0,X,23.0
1007805,40.708951,N,286,,,,10/01/2004,,0,2.0,,N,,5.0,0,X,34.0
101537900.00%,40.691907,A,350,,,,,,0,15.0,,,,,0,X,33.0
1000851,40.715795,N,629,,,,06/30/2004,,0,31.0,,N,,3.0,0,X,34.0
1005178,40.723692,N,262,X,,,,,0,7502.0,,N,,,0,X,1.0
1007918,40.743517,W,40,,,,,,0,65.0,,N,,,0,R,3.0
1013951,40.687235,N,539A,X,,,12/02/2004,,0,76.0,,N,,3.0,18,X,36.0
3247209,40.79279,N,2128,X,,,09/12/2020,,4,4.0,,N,,5.0,0,R,8.0
3285120,40.632867,N,463,X,,,05/03/2021,,0,35.0,,N,,,38,R,49.0
2150,40.85869,N,4697,X,,,,,0,38.0,,,,,0,R,15.0
3233104,40.831657,N,1323,X,,,05/03/2021,,0,15.0,,N,,,214,R,16.0
2576370,40.737553,N,285,,,,10/17/2003,X,0,63.0,,,,12.0,0,R,3.0
1004342,40.748276,N,350,,,,,,0,41.0,,Y,,,0,X,4.0
1015854,40.606803,N,902,X,,,12/27/2004,,0,50.0,,N,,,0,P,44.0
1005267,40.624882,N,1041,X,,,04/26/2004,,0,63.0,,N,,2.0,0,X,43.0
1854819,40.688075,N,303,X,,,07/12/2010,,4,55.0,,N,,2.0,0,X,33.0
1637707,40.721488,N,481,,,,12/03/2008,,5,32.0,,Y,,0.0,0,X,1.0
1015776,40.653692,N,74,X,,,12/23/2004,,0,30.0,,N,,1.0,0,X,39.0
1006647,40.654841,N,566,X,,,05/06/2004,,0,21.0,X,N,,3.0,0,X,39.0
1005278,40.84482,N,2137,X,,,10/11/2013,,5,27.0,,N,,20.0,0,P,15.0
1428134,40.613042,N,1795,X,,,03/26/2001,,0,53.0,,N,,,0,R,50.0
1.000844E+6,40.596054,N,2266,X,,,07/14/2004,,0,13.0,,N,,,0,X,43.0
3225420,40.590694,N,350,X,,,07/13/2020,,0,14.0,,N,,,158,R,31.0
1012542,40.700951,N,237,X,,,11/15/2004,,0,2.0,,N,,3.0,25,X,33.0
1010738,40.689071,N,9,,,,10/20/2004,,0,27.0,,N,,,0,X,33.0
1001284,40.619656,N,419,,,,07/26/2004,,0,37.0,,N,,,0,X,43.0
1753376,40.798918,N,178,X,,,03/12/2012,,8,43.0,,N,,22.0,0,X,8.0
1005199,40.617517,N,9315,X,,,06/08/2004,,0,75.0,,N,,1.0,0,X,43.0
1001650,40.64983,N,1902,X,,,07/07/2004,,0,101.0,,N,,,0,X,40.0
1003049,40.68032,N,242,X,,,09/03/2004,,0,108.0,X,N,,3.0,0,X,37.0
3309745,40.753628,N,147-11,X,,,08/23/2021,,2,62.0,,N,,1.0,0,R,20.0
3154518,40.707762,N,249,X,,,10/02/2019,,4,14.0,,N,,8.0,0,R,34.0
1009447,40.664085,N,778,X,,,12/09/2004,,0,10.0,,N,,2.0,0,X,42.0
1002344,40.747983,N,876,,,,11/15/2018,,4,1.0,,N,,,0,X,3.0
3232572,40.781147,N,160,X,,,07/08/2020,,8,43.0,,N,,51.0,0,X,5.0
1005151,40.675459,N,2256,X,,,05/26/2004,,0,28.0,,N,,3.0,0,X,37.0
3311056,40.875481,N,3321,X,,,08/25/2021,,1,20.0,,N,,1.0,0,R,12.0
1017405,40.669989,N,1226,,,X,01/19/2005,X,0,16.0,,N,,31.0,0,X,35.0
1000467,40.639861,N,5214,X,,,04/28/2004,,0,45.0,,N,,4.0,0,X,38.0
1002647,40.65317,N,281,,,,07/14/2004,,0,57.0,,N,,,0,X,41.0
1326434,40.591144,W,325,X,,,,,0,60.0,,N,,2.0,100,J,32.0
1708304,40.608952,N,7821,X,,,11/05/2009,,2,1.0,,,,2.0,0,R,47.0
1001355,4068.03%,N,188,X,,,07/02/2004,,0,2.0,,N,,1.0,0,X,37.0
1005463,40.809967,N,98,,,,,,0,61.0,,N,,,0,X,9.0
1000547,40.667379,N,432,X,,,06/25/2004,,0,117.0,,N,,3.0,0,X,42.0
1476302,40.589126,N,19,X,,,05/25/2007,,0,6.0,,N,,1.0,0,R,50.0
1009382,40.657414,N,544,,,,10/12/2004,X,0,36.0,,N,,6.0,0,X,42.0
1003547,40.647934,N,862,,,,07/29/2004,,1,48.0,,N,,,45,X,42.0
3293870,40.63283,N,4801,X,,,05/18/2021,,0,8.0,,N,,,262,R,45.0
1014767,40.684025,N,227,X,,,12/30/2004,,0,8.0,,N,,,0,X,33.0
1001645,40.654219,N,674,X,,,11/10/2004,,0,64.0,,N,,3.0,0,X,39.0
1004200,40.607077,N,946,X,,,04/30/2004,,0,115.0,,N,,,0,X,44.0
1515967,40.615138,W,988,X,,,12/09/2004,,0,1.0,,N,,1.0,0,P,49.0
1000364,40.625455,N,1828,X,,,04/16/2004,X,0,1.0,,N,,2.0,0,X,45.0
100049000.00%,40.695525,N,57,X,,,04/26/2004,,0,12.0,,Y,,125.0,0,X,33.0
1000011,40.668861,N,412,,,,03/19/2004,,0,17.0,,N,,,0,P,39.0
1000601,40.67677,N,1246,X,,,12/22/2004,,0,32.0,,N,,3.0,0,X,36.0
1003213,40.693707,N,15,X,,,09/07/2004,,0,40.0,,N,,,0,X,33.0
3294892,40.632859,N,71,X,,,05/03/2021,,2,25.0,,N,,1.0,0,R,49.0
2929792,40.814946,N,769,,,,,,1,83.0,,N,,0.0,0,J,8.0
1016308,40.641472,N,566,X,,,02/10/2005,,0,34.0,,N,,2.0,0,R,38.0
3.342459E+6,4068.19%,N,339,X,,,,,2,57.0,,N,,3.0,0,J,41.0
1012718,40.605702,N,2044,,,,12/07/2004,,0,26.0,X,N,,4.0,0,X,47.0
1002584,40.672395,N,620,X,,,01/19/2005,,1,30.0,,N,,,0,X,38.0
1011568,40.653557,N,380,X,,,10/25/2004,,0,42.0,,N,,,0,X,40.0
1009410,40.653401,N,109,X,,,10/05/2004,,0,56.0,,N,,2.0,0,Q,41.0
1012588,40.692632,N,360,X,,,11/17/2004,,0,39.0,,N,,,0,X,33.0
1001069,40.582846,N,39,X,,,07/12/2004,,0,48.0,,N,,,96,X,48.0
1001969,40.575536,N,1318,,,,07/06/2004,,0,250.0,,N,,,0,Q,47.0
1678609,40.685439,N,430,X,,,04/22/2009,,6,7501.0,,N,,47.0,0,R,35.0
1002733,40.676575,C,136-20,X,,,,,0,26.0,,N,,,340,D,31.0
1008455,40.755704,N,496,,,,10/11/2018,,5,66.0,,N,,8.0,0,R,3.0
1006440,40.618695,N,378,,,,03/01/2004,,1,29.0,,N,,,20,X,43.0
1011878,40.688896,N,275,X,,,11/10/2004,,0,1.0,,N,,,0,P,33.0
3293911,40.891048,N,4034A,X,,,05/14/2021,,2,6.0,,N,,1.0,0,R,12.0
1017408,40.650827,N,3011,X,,,01/19/2005,X,0,1.0,,N,,,0,X,40.0
1973238,40.747221,N,163,,,X,05/26/2011,,5,37.0,,N,,19.0,0,X,4.0
1015362,40.682281,W,347,X,,,01/12/2005,,0,53.0,,Y,,1.0,0,P,36.0
1013118,40.718987,N,214,X,,,11/23/2004,,0,14.0,,N,,8.0,25,X,34.0
3294768,40.710142,N,2012,X,,,05/06/2021,,2,16.0,,N,,3.0,0,X,30.0
1.001541E+6,40.673238,N,229,X,,,10/06/2004,,0,109.0,,N,,2.0,0,X,37.0
1015781,40.638881,W,622,X,,,12/23/2004,,0,17.0,,N,,2.0,0,Q,38.0
1010571,40.702181,A,70,,,,,X,0,101.0,,N,,,0,X,33.0
1789661,40.766135,N,35-14,X,,,10/26/2010,,3,23.0,X,N,,,0,R,20.0
2603937,40.753917,N,439,,,,04/18/2016,,10,16.0,,N,,35.0,0,X,4.0
1002848,40.744079,N,165,X,,,,,0,28.0,,N,,,0,X,2.0
1000804,40.699115,N,62,,,X,06/26/2004,X,0,27.0,,Y,,,0,X,33.0
1005709,40.615232,N,1103,X,,,,,0,53.0,,N,,,0,P,48.0
1003906,40.660425,N,332,X,,,05/25/2004,,0,27.0,,N,,2.0,0,R,38.0
3311571,40.577293,N,785,X,,,08/23/2021,,2,42.0,,N,,1.0,0,X,50.0
1000299,40.692226,N,197,,,,06/15/2004,,0,16.0,,N,,,0,X,33.0
1014534,40.583847,N,2801,X,,,12/29/2004,,0,63.0,X,N,,49.0,0,X,48.0
1000117,40.709747,N,88,X,,,03/25/2004,,0,19.0,,N,,,0,Q,33.0
1473064,40.624792,N,47,X,,,11/17/2006,,0,4.0,,N,,1.0,50,X,49.0
1013736,40.713043,N,337,,,,12/06/2004,,0,107.0,,N,,,0,X,33.0
1002345,40.736926,N,85-18,X,,,10/14/2013,,2,15.0,,N,,2.0,0,X,25.0
1012153,40.655253,A,103,,,,,,0,,,N,,,0,P,42.0
1000788,40.63657,W,4614,X,,,,,0,39.0,,N,,42.0,0,J,44.0
1005346,40.636394,C,1881A,X,,,03/02/2004,,0,24.0,,N,,,0,Q,46.0
1005862,40.654674,N,685,X,,,10/11/2013,,2,11.0,,N,,,0,X,40.0
1000743,40.711296,N,166,,,,06/23/2004,,0,73.0,,N,,3.0,0,X,34.0
1005294,4072.53%,N,178,X,,,03/05/2004,,0,3.0,,N,,4.0,0,X,33.0
2723859,40.722932,N,63,X,,,07/19/2017,,6,7503.0,,Y,,23.0,0,X,1.0
1001797,40.605935,N,1869,X,,,08/09/2004,,0,56.0,,N,,2.0,0,R,46.0
3028033,40.677016,W,225,X,,,,,13,4.0,,N,,63.0,0,J,39.0
1000114,40.631884,N,1189,X,,,04/29/2004,,0,29.0,,N,,2.0,0,X,46.0
1299853,40.761991,N,162-23,,,,03/03/2004,,0,133.0,,N,,,0,X,19.0
1009392,40.577666,N,615,,,,10/05/2004,,0,8.0,,N,,,0,X,48.0
100887,40.745216,N,29-10,X,,,,,0,1.0,,N,,,0,P,26.0
1004287,40.595228,N,8949,X,,,05/11/2004,,0,11.0,,N,,,0,X,43.0
1014577,40.623203,N,6507,X,,,12/17/2004,,0,7.0,,N,,2.0,0,X,38.0
1008678,40.686839,N,381,X,,,,,0,1.0,,Y,,,0,R,35.0
777400,40.867719,N,1053,X,,,01/07/2010,,0,8.0,,N,,1.0,125,X,12.0
1614455,40.765409,N,2,X,,,04/03/2009,,41,67.0,,Y,,208.0,0,R,4.0
1012673,40.710677,N,43,X,,,01/12/2005,,0,27.0,,N,,3.0,0,R,33.0
1001067,40.61707,N,9425,,,,07/09/2004,,0,6.0,,N,,60.0,0,R,43.0
1000416,40.686882,W,88,,,,04/23/2004,,0,30.0,,N,,,0,Q,35.0
3044583,40.750214,N,235,X,,,08/02/2018,,33,23.0,,N,,,0,X,4.0
1003728,40.69107,A,408-416,X,,,,,0,12.0,,N,,,0,X,33.0
575186,40.747221,N,163,X,,,08/16/2006,,0,37.0,,N,,8.0,0,X,4.0
3337097,40.840471,W,1823,X,,,,,3,217.0,,N,,2.0,0,H,17.0
1012666,40.677266,N,226,X,,,11/23/2004,,0,30.0,,N,,5.0,0,Q,39.0
1001199,40.682436,N,213,X,,,07/15/2004,,0,43.0,,N,,,0,P,39.0
1583796,40.613042,N,1795,,,,11/17/2008,,1,49.0,,N,,,0,R,50.0
1001327,40.63929,C,2619,X,,,,,0,79.0,,N,,15.0,0,J,45.0
1011074,40.652488,N,386,X,,,10/22/2004,,0,26.0,,N,,6.0,0,R,41.0
1011880,40.688896,A,275,X,,,,,0,1.0,,N,,,0,P,33.0
1011844,40.695163,N,89-93,X,,,11/19/2004,,0,7501.0,,Y,,,0,X,33.0
2750557,4059.76%,N,54-49,X,,,12/13/2016,,7,1.0,,N,,53.0,0,X,31.0
1006567,40.667619,C,592,X,,,,,0,44.0,,N,,2.0,0,J,41.0
2923617,40.660709,N,246,X,,,11/09/2018,,0,16.0,,N,,8.0,0,R,40.0
2067069,40.688888,N,99,X,,,12/16/2015,,2,7.0,,N,,2.0,0,R,37.0
3271299,40.629371,W,7500,X,,,,,3,40.0,,N,,3.0,0,J,43.0
1003323,40.610565,N,76,X,,,09/22/2004,,0,2042.0,X,N,,1.0,0,X,46.0
1005177,40.594444,N,2736,X,,,04/27/2006,,0,11.0,,N,,15.0,56,X,48.0
1010691,40.60425,N,2156,,,,10/27/2004,,0,30.0,X,N,,2.0,0,X,47.0
1504505,40.594078,N,27,X,,,07/11/2003,,0,102.0,,N,,1.0,0,X,50.0
1000236,40.636106,N,834,X,,,04/09/2004,,0,20.0,,N,,,0,X,38.0
1001253,40.722747,N,99,X,,,09/09/2004,,0,32.0,,N,,3.0,0,R,33.0
3325465,40.694342,N,116-07,X,,,12/01/2021,,2,32.0,,N,,1.0,0,R,27.0
1005665,40.601886,N,2062,X,,,03/03/2004,,0,33.0,,N,,1.0,0,X,46.0
1016641,40.638357,N,5722,,,,02/11/2005,,0,143.0,,N,,2.0,0,X,38.0
1004883,40.781149,N,1049,,,,,,0,7501.0,,N,,,0,X,4.0
2224529,40.691315,N,303,X,,,,,0,28.0,,Y,,,0,X,33.0
2.755724E+6,40.734482,N,111,,,,,,0,1.0,,Y,,,0,R,3.0
3295049,40.847527,N,334,X,,,,,0,34.0,,N,,,249,J,15.0
372298,40.718247,W,246,X,,,11/08/2001,,0,21.0,,N,,,0,P,1.0
2450362,40.698749,N,590,X,,,01/02/2015,,3,31.0,,N,,4.0,0,X,34.0
1090832,40.587788,N,2528,X,,,12/04/2007,,0,18.0,,N,,3.0,110,R,47.0
1006030,40.707211,N,110-38,X,,,02/22/2019,,0,28.0,,N,,,168,R,27.0
1017024,40.690123,N,199,X,,,07/29/2005,,0,10.0,,N,,46.0,0,X,33.0
1011572,40.588014,W,1515,X,,,,,0,30.0,,N,,,0,P,48.0
1303283,40.710006,N,182-08,X,,,12/26/2003,,0,27.0,X,N,,2.0,0,X,27.0
330869400.00%,40.618773,N,1548,X,,,,,0,27.0,,N,,,80,J,43.0
1007458,40.758034,N,38-55,,,,11/01/2013,,1,559.0,,N,,,175,X,26.0
3011620,40.693892,N,551,X,,,05/01/2018,,4,73.0,,N,,6.0,0,X,35.0
1007555,40.749076,N,605,,,,,,0,12.0,,N,,,0,X,4.0
1003804,40.601158,N,2467,,,,04/15/2004,,0,79.0,,N,,1.0,0,X,48.0
1001227,40.672881,N,107,,,,07/16/2004,,0,11.0,,N,,,0,R,39.0
3294609,40.671074,N,735,X,,,05/03/2021,,17,9001.0,,N,,319.0,0,P,42.0
1000903,40.655761,C,168,,,,07/02/2004,X,0,1.0,,N,,,0,R,38.0
3335923,40.772795,N,112,X,,,,,0,68.0,,Y,,,100,D,4.0
1015865,40.682709,N,528,X,,,07/28/2005,,0,23.0,,N,,4.0,0,X,41.0
1008057,40.688807,N,44,,,,02/16/2005,X,0,35.0,,N,,,0,X,35.0
3211538,40.723747,N,164-33,X,,,05/06/2021,,2,45.0,,N,,2.0,0,R,24.0
1011126,40.630999,N,9522,X,,,04/05/2005,,0,90.0,X,N,,3.0,0,X,46.0
1003849,40.772169,N,52,,,,,,0,7501.0,,N,,,0,X,5.0
1008810,4076.99%,N,132,X,,,,,0,60.0,,Y,,,0,X,4.0
9.27496E+5,40.625111,N,6413,,,,07/18/2001,,0,4.0,,,,,0,X,38.0
3056858,40.880617,N,3305,X,,,06/28/2021,,0,364.0,,N,,4.0,0,Q,12.0
3309411,40.697233,W,33,X,,,,,4,7501.0,,N,,5.0,0,H,35.0
1001143,40.639784,N,1254,,,,07/14/2004,,0,19.0,,N,,,0,X,40.0
1477840,40.603993,N,33,X,,,09/29/2008,,0,39.0,,N,,1.0,80,X,50.0
3214534,40.567089,N,50,X,,,04/07/2020,,0,94.0,,N,,,25,X,50.0
1014523,40.69045,N,151,X,,,12/20/2004,,0,7.0,,Y,,3.0,0,R,33.0
1007983,40.68316,W,457,X,,,06/25/2007,,0,5.0,,N,,2.0,0,P,36.0
3294932,40.714646,N,21,X,,,,,0,44.0,,N,,,0,R,34.0
315097,4.071851E+1,N,137,X,,,05/27/2000,,0,22.0,,,,8.0,0,Q,1.0
1.006987E+6,40.664034,N,419,,,,10/29/2004,,0,1.0,,N,,6.0,0,X,39.0
1008460,40.867882,N,60,,,,09/24/2013,,6,40.0,,N,,61.0,0,R,10.0
2552143,40.706246,N,160-10,X,,,03/03/2016,,14,21.0,,N,,106.0,0,X,24.0
1014681,40.625905,N,266,X,,,12/23/2004,,0,34.0,,N,,2.0,0,Q,43.0
1368705,40.760153,N,42-04,X,,,03/24/2009,,0,31.0,X,N,,3.0,0,P,20.0
1014328,40.690068,N,205,,,,12/10/2004,,0,8.0,,N,,210.0,0,X,33.0
1001769,40.607077,A,946,,,,,,0,115.0,,N,,,0,X,44.0
1428370,40.609101,N,585,X,,,04/25/2001,,0,14.0,,N,,,0,X,50.0
1001968,40.628531,N,7612,,,,07/06/2004,,0,47.0,,N,,,0,Q,43.0
1235719,40.748084,W,27-10,X,,,03/03/2003,,0,41.0,X,N,,,0,P,26.0
