address_1,electricity_use_kwh,k_12_school_presence_of,k_12_school_pc_density,parking_weekly_hours_of_access,nta,multifamily_home_market_rate,current_site_energy_intensity,target_rating_1_100,warehouse_unrefrigerated_4,bank_financial_institution_5,current_energy_period_ending,retail_cash_register_density,bank_financial_institution_3,facility_type,current_source_energy,current_rating_1_100,k_12_school_gross_floor_area,medical_office_gross_floor,hotel_percent_cooled,district_steam_use_kbtu,k_12_school_open_weekends,other_weekly_operating_hours,office_workers_density,fuel_oil_4_use_kbtu,multifamily_home_gross_floor,parking_open_floor_area_w,indoor_water_use_kgal,multifamily_home_laundry_1,eligibility_for_energy_star,warehouse_unrefrigerated,hotel_gross_floor_area_sq,natural_gas_use_kbtu,current_weather_normalized
2 Hinkley Place,321989.0,,,,,,89.9,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,123.8,0,,,,,,,,,84945.0,,,0.0,Not Eligible: Rating must be 75 or above,,,6536500.0,125.7
509 west 155th street,215118.8,,,,Washington Heights South,Market Rate,94.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,124.5,0,,,,,,,,4807706.18,58674.0,,,5.0,Not Eligible: Rating must be 75 or above,,,,124.5
991-993 carroll st,260817.0,,,,,Market Rate,120.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,163.2,0,,,,,,,,,55012.0,,,0.0,Not Eligible: Rating must be 75 or above,,,5736180.65,174.1
910 west end ave,449596.7,,,,Upper West Side,Market Rate,77.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,107.8,0,,,,,,,,,120542.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,107.1
229 West 78th Street / 230 West 79th Street,732327.2,,,,,Market Rate,74.6,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,101.6,0,,,,,,,,,202927.0,,,100.0,Not Eligible: Rating must be 75 or above,,,,101.6
253 EAST 202 STREET,217924.5,,,112.0,Bedford Park-Fordham North,Market Rate,62.8,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,99.9,0,,,,,,,,,47500.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,,99.9
85-02 139th street,477089.8,,,112.0,Briarwood-Jamaica Hills,Market Rate,97.6,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,148.0,0,,,,,,,2.3,,79500.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,6204070.97,152.9
799 park ave,668205.8,,,112.0,Upper East Side-Carnegie Hill,Market Rate,65.2,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,112.8,0,,2300.0,,7081076.7,,,,,141185.0,0.0,,53.0,Not Eligible: Rating must be 75 or above,,,,117.5
200-210 east 65 st.,6249397.5,,,0.0,Lenox Hill-Roosevelt Island,Market Rate,87.2,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,162.5,0,,83677.0,,,,,,,416253.0,0.0,,79.0,Not Eligible: Rating must be 75 or above,,,,161.2
233 East 70th Street,463763.9,,,,Lenox Hill-Roosevelt Island,Market Rate,111.2,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,158.5,0,,1500.0,,,,,,,80624.0,,,18.0,Not Eligible: Rating must be 75 or above,,,7992951.61,158.9
21 Spring Street/216 Motts St,845781.0,,,,,Market Rate,41.2,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,78.4,0,,2445.0,,,,,,,182204.0,,,0.0,Not Eligible: Rating must be 75 or above,,,4863477.42,80.5
200 west 86th st,1120128.5,,,,Upper West Side,Market Rate,60.8,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,85.8,0,,3860.0,,,,,,,352821.0,,,85.0,Not Eligible: Rating must be 75 or above,,,,85.8
2 Pinehurst Ave,208054.0,,,,Washington Heights South,Market Rate,96.9,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,128.6,0,,,,,,,,,53874.0,,,40.0,Not Eligible: Rating must be 75 or above,,,,128.6
1019 Van Siclen Avenue,250062.5,,,,East New York,Market Rate,47.2,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,69.6,0,,,,,,,,,97000.0,,,0.0,Not Eligible: Rating must be 75 or above,,,3723470.97,70.2
315 West 33rd Street,6944709.7,,,,Hudson Yards-Chelsea-Flatiron-Union Square,Market Rate,86.9,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,181.7,0,,,,,,,2.3,,391603.0,,,60.0,Not Eligible: Rating must be 75 or above,,,28427993.55,182.4
939 Union Street,220840.0,,,,Park Slope-Gowanus,Market Rate,89.1,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,141.9,0,,,,,,,,,35555.0,,,44.0,Not Eligible: Rating must be 75 or above,,,2415903.23,149.0
128 Central Park South,329089.7,,,,Midtown-Midtown South,Market Rate,70.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,102.1,0,,4730.0,,,,,,,85696.0,,,34.0,Not Eligible: Rating must be 75 or above,,,5239700.0,106.8
82-68 Langdale Street,623756.1,,,,Glen Oaks-Floral Park-New Hyde Park,Market Rate,120.5,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,177.7,0,,,,,,,,,94685.0,,,0.0,Not Eligible: Rating must be 75 or above,,,9282645.16,180.4
80-11 Shore Parkway,466500.0,,,,Lindenwood-Howard Beach,Market Rate,80.1,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,123.2,0,,,,,,,,,92900.0,,,0.0,Not Eligible: Rating must be 75 or above,,,5851300.0,124.7
240 East 55th Street,,,,,Turtle Bay-East Midtown,Market Rate,,,,,2011-05-31T00:00:00.000,,,Multifamily Housing,,0,,,,,,,,,68225.0,,,4.0,Not Eligible: Rating must be 75 or above,,,,
175 west 72nd,592642.6,,,,,Market Rate,95.3,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,141.6,0,,1025.0,,,,,,,86797.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,141.6
"102-146 Beach 59th St, 5707-5715 Shore Front Pkwy",13727787.1,,,112.0,Hammels-Arverne-Edgemere,Affordable Housing,86.1,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,189.2,0,,,,,,,2.3,,1060921.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,46535458.06,194.3
1010 fifth ave,575840.0,,,,Upper East Side-Carnegie Hill,Market Rate,51.2,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,71.2,0,,4000.0,,,,,,,231000.0,,,116.0,Not Eligible: Rating must be 75 or above,,,,70.7
778 park ave,210336.8,,,,Upper East Side-Carnegie Hill,Market Rate,81.7,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,114.7,0,,800.0,,7115260.92,,,,,95130.0,,,52.0,Not Eligible: Rating must be 75 or above,,,,124.9
222 west 83rd street,533443.6,,,,Upper West Side,Market Rate,77.1,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,105.8,0,,,,,,,,,147036.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,104.7
3175 Grand Concourse,221286.2,,,,Bedford Park-Fordham North,Market Rate,86.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,114.7,0,,,,,,,,,64876.0,,,0.0,Not Eligible: Rating must be 75 or above,,,700058.06,112.7
2 West End Ave,595098.0,,,112.0,Brighton Beach,Market Rate,99.1,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,145.4,0,,,,,,,,,112000.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,9071983.87,149.6
45 west 45th street,1720154.8,,,,Midtown-Midtown South,,65.4,0.0,,,2010-12-31T00:00:00.000,0.3,,Office,169.3,80,,,,,,,2.3,2791978.46,,,,,Not Eligible: Default space values used,,,,164.6
125 cedar street,221433.5,,,,Battery Park City-Lower Manhattan,Market Rate,66.6,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,98.9,0,,,,,,,,2960348.72,48271.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,98.3
25 W 39th St,2951793.5,,,112.0,Midtown-Midtown South,,89.9,0.0,,,2010-12-31T00:00:00.000,,,Office,223.2,69,,,,6778338.0,,,2.3,,,0.0,,,Not Eligible: Rating must be 75 or above,,,,223.3
2383 Second Avenue,2830135.8,,,112.0,East Harlem North,Market Rate,173.7,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,260.2,0,,,,,,,,,255632.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,37706900.0,245.3
2494-100 Maspeth Avenue,365122.6,,,,,Market Rate,47.1,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,75.3,0,,,,,,,2.3,,102244.0,,,0.0,Not Eligible: Rating must be 75 or above,,,3952051.61,76.4
275 West 96th St.,1346833.9,,,,Upper West Side,,60.2,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,84.4,0,,,,,,,,,454038.0,,,,Not Eligible: Rating must be 75 or above,,,1146600.0,84.4
7 East 116th Street,465404.1,,,112.0,East Harlem North,Market Rate,87.1,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,138.5,0,,,,,,,2.3,,76429.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,5120441.94,146.3
333 Rector place,1392912.0,,,112.0,Battery Park City-Lower Manhattan,Market Rate,53.0,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,105.6,0,,,,,,,,,205992.0,0.0,,174.0,Not Eligible: Rating must be 75 or above,,,,104.0
30 east 85th st,1463716.1,,,112.0,Upper East Side-Carnegie Hill,Market Rate,91.5,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,149.8,0,,,,,,,,,177537.0,0.0,,69.0,Not Eligible: Rating must be 75 or above,,,,144.0
1795 Riverside Drive,289123.0,,,,Washington Heights North,Market Rate,88.5,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,117.8,0,,894.0,,,,,,,77182.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,117.8
123-10 Ocean Promenade,374489.7,,,112.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Market Rate,122.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,186.7,0,,,,,,,,,50100.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,4856880.65,194.8
2041-47 Holland Ave,652033.0,,,,Pelham Parkway,Market Rate,84.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,109.9,0,,,,,,,,,209542.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,109.9
"2879-2885, 2819-2825, 2814-2820, 2894-2900, 2954-",17426634.8,,,112.0,,Market Rate,118.2,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,195.8,0,,,,,,,,,1894922.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,164606600.0,197.0
310 East 53rd Street,1615845.2,,,112.0,Turtle Bay-East Midtown,Market Rate,88.7,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,165.9,0,,,,,,,,,166199.0,0.0,,84.0,Not Eligible: Rating must be 75 or above,,,9866380.65,165.9
200 West End Ave,1354400.0,,,112.0,Lincoln Square,Market Rate,42.5,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,89.3,0,,,,,,,,,210068.0,0.0,,326.0,Not Eligible: Rating must be 75 or above,,,5430645.16,86.9
49 East 86th Street,503680.0,,,,Upper East Side-Carnegie Hill,Market Rate,98.6,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,145.2,0,,,,,,,,,86270.0,,,60.0,Not Eligible: Rating must be 75 or above,,,,142.4
363 east 76th street,1411525.9,,,112.0,Lenox Hill-Roosevelt Island,Market Rate,83.4,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,149.9,0,,800.0,,12646334.58,,,,,199351.0,0.0,,24.0,Not Eligible: Rating must be 75 or above,,,,147.1
,179633.0,,,,,,40.9,0.0,,,2010-12-31T00:00:00.000,,,Office,136.5,57,,,,,,,2.33,,,,,,Not Eligible: Rating must be 75 or above,,,,136.3
140-16 45th ave,397906.5,,,,East Flushing,Market Rate,78.0,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,136.4,0,,,,,,,,,56700.0,,,0.0,Not Eligible: Rating must be 75 or above,,,2868290.32,138.6
950-958 woody crest ave,286802.9,,,,,Market Rate,109.0,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,146.1,0,,,,,,,,5921390.9,58307.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,146.1
70 Battery Place,1470734.7,,,112.0,Battery Park City-Lower Manhattan,Market Rate,46.2,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,98.3,0,,,,,,,,,230765.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,5646877.42,97.9
3489-95 Broadway,386797.5,,,,Hamilton Heights,Market Rate,98.1,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,129.8,0,,,,,,,,,95039.0,,,70.0,Not Eligible: Rating must be 75 or above,,,,129.8
1200 Gravesend Neck,263449.2,,,,,Market Rate,79.3,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,112.1,0,,500.0,,,,,,,69210.0,,,12.0,Not Eligible: Rating must be 75 or above,,,4705445.16,114.7
1401 - 1419 New York Avenue,2489708.4,,,,East Flatbush-Farragut,Market Rate,51.7,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,114.2,0,,,,,,,,,324000.0,,,0.0,Not Eligible: Rating must be 75 or above,,,8241100.0,111.1
43-35 44th street,358066.6,,,,Hunters Point-Sunnyside-West Maspeth,Market Rate,119.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,156.4,0,,,,,,,,,79450.0,,,9.0,Not Eligible: Rating must be 75 or above,,,,156.4
501 east 87th street,1885703.2,,,112.0,Yorkville,Market Rate,130.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,216.5,0,,,,,,,,,184274.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,17584564.52,212.4
1280 ocean ave,265624.8,,,,Flatbush,Market Rate,98.1,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,130.5,0,,,,,,,,,75000.0,,,0.0,Not Eligible: Rating must be 75 or above,,,6453693.55,134.2
300 East 75th Street,,,,,Lenox Hill-Roosevelt Island,,,,,,2010-11-30T00:00:00.000,,,Multifamily Housing,,0,,,,,,,,,,,,,Not Eligible: Rating must be 75 or above,,,,
"60 Division Avenue/50-54,64-70 Division Avenue",6394432.3,,,112.0,,Market Rate,126.6,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,217.1,0,,,,,,,2.3,,558085.0,0.0,,240.0,Not Eligible: Rating must be 75 or above,,,53033141.94,214.9
222 bedford park boulevard,227576.0,,,,Bedford Park-Fordham North,Market Rate,104.5,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,135.4,0,,,,,,,,,60563.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,135.4
752 West End Ave,1129356.8,,,,Upper West Side,Market Rate,70.6,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,118.5,0,,,,,,,,,182248.0,,,0.0,Not Eligible: Rating must be 75 or above,,,10143500.0,121.4
3647 broadway,349737.8,,,,Hamilton Heights,Market Rate,75.0,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,100.7,0,,,,,,,,,117314.0,,,12.0,Not Eligible: Rating must be 75 or above,,,8050458.06,105.4
1131-33 OGDEN AVENUE,2244944.0,,,,Highbridge,Market Rate,100.6,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,145.7,0,,,,,,,,,404690.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,141.7
630 Lenox Ave,1458090.3,,,,Central Harlem North-Polo Grounds,Market Rate,113.9,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,179.9,0,,,,,,,2.3,,185318.0,,,0.0,Not Eligible: Rating must be 75 or above,,,14892329.03,178.8
376 Broadway,,,,,SoHo-TriBeCa-Civic Center-Little Italy,,0.0,,,,2011-03-31T00:00:00.000,,,Residence Hall/Dormitory,0.0,0,,,,,,,,,,,,,Not Eligible: Rating must be 75 or above,,,,0.0
2060 anthony ave,262815.1,,,,Mount Hope,Market Rate,105.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,135.7,0,,,,,,,,,71584.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,135.7
941 park ave,408209.7,,,,Upper East Side-Carnegie Hill,Market Rate,59.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,78.5,0,,4500.0,,,,,,,171359.0,,,34.0,Not Eligible: Rating must be 75 or above,,,,78.5
1472 york ave,408975.5,,,,Lenox Hill-Roosevelt Island,Market Rate,149.5,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,188.9,0,,,,,,,2.3,,82122.0,,,0.0,Not Eligible: Rating must be 75 or above,,,13343754.84,193.1
108-24 71st Road,972800.0,,,112.0,Forest Hills,Market Rate,101.7,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,163.3,0,,,,,,,2.3,,124921.0,0.0,,190.0,Not Eligible: Rating must be 75 or above,,,10299900.0,163.0
1100 Madison Avenue,826300.0,,,,Upper East Side-Carnegie Hill,Both Affordable and Market Rate,75.3,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,133.3,0,,,,,,,,5243655.17,106947.0,,,0.0,Not Eligible: Rating must be 75 or above,,,613700.0,128.2
227 Haven Ave,213415.7,,,,Washington Heights South,Market Rate,108.6,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,133.6,0,,,,,,,,,70980.0,,,4.0,Not Eligible: Rating must be 75 or above,,,,133.6
609 columbus ave,1243561.3,,,112.0,Upper West Side,Market Rate,78.6,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,136.2,0,,,,13019149.14,,,,,214093.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,,140.7
1019 Van Siclen Avenue,2460431.4,,,,East New York,Market Rate,101.1,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,149.1,0,,2700.0,,,,,2.3,,435510.0,,,0.0,Not Eligible: Rating must be 75 or above,,,36635106.45,150.5
2100 bronx park east,579875.8,,,,Pelham Parkway,Market Rate,93.8,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,125.2,0,,,,,,,,487635.8,167637.0,,,0.0,Not Eligible: Rating must be 75 or above,,,13259900.0,130.5
288 9th Street,716674.8,,,,,Market Rate,107.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,146.4,0,,,,,,,,,165367.0,,,0.0,Not Eligible: Rating must be 75 or above,,,15320406.45,152.0
85-05 35th ave,426190.8,,,112.0,Jackson Heights,Market Rate,113.5,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,169.0,0,,,,,,,,,66204.0,0.0,,9.0,Not Eligible: Rating must be 75 or above,,,5670512.9,174.5
390/396/370/376 Bristol Street,1392602.3,,,,,Affordable Housing,58.7,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,195.9,0,,,,,,,,,81000.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,201.2
1181 Sheridan Ave.,316870.0,,,,East Concourse-Concourse Village,,99.8,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,136.2,0,,,,,,,,,72000.0,,,,Not Eligible: Rating must be 75 or above,,,795183.87,136.2
2160 bolton street,276309.9,,,,Pelham Parkway,Market Rate,101.0,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,131.5,0,,,,,,,,,74452.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,131.5
555 e 78th street,175112.3,,,,Lenox Hill-Roosevelt Island,Market Rate,92.0,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,114.4,0,,,,,,,,,75854.0,,,0.0,Not Eligible: Rating must be 75 or above,,,6381800.0,119.4
241-10 Oak Park Drive,690480.0,,,,Douglas Manor-Douglaston-Little Neck,Market Rate,22.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,60.5,0,,,,,,,,,145500.0,,,92.0,Not Eligible: Rating must be 75 or above,,,898622.58,59.8
21 East 22nd Street,933600.0,,,,Hudson Yards-Chelsea-Flatiron-Union Square,Market Rate,59.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,109.7,0,,10000.0,,,,,,,139276.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,106.5
,179633.0,,,,,,40.9,0.0,,,2010-12-31T00:00:00.000,,,Office,136.5,57,,,,,,,2.33,,,,,,Not Eligible: Rating must be 75 or above,,,,136.3
15 west 81st street,1634606.5,,,,Upper West Side,Market Rate,78.5,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,119.1,0,,5050.0,,,,,,,320823.0,,,70.0,Not Eligible: Rating must be 75 or above,,,,116.1
355 East 72nd Street,1262328.5,,,112.0,Lenox Hill-Roosevelt Island,Market Rate,84.5,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,138.8,0,,,,,,,,,179407.0,0.0,,6.0,Not Eligible: Rating must be 75 or above,,,,136.4
301 Audubon Avenue,246412.3,,,,Washington Heights North,Market Rate,113.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,157.2,0,,600.0,,,,,,,49473.0,,,0.0,Not Eligible: Rating must be 75 or above,,,4834932.26,165.8
499 ft washington,235485.9,,,,,Market Rate,99.9,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,137.8,0,,3171.0,,,,,2.3,,46332.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,137.8
250 Livingston Street,1306800.0,,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,60.3,0.0,,,2010-12-31T00:00:00.000,0.3,,Office,94.7,0,,,,,,,2.3,,,,,,Not Eligible: Rating must be 75 or above,,,,94.7
3881 sedgwick ave,246001.0,,,,Van Cortlandt Village,Market Rate,95.9,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,121.3,0,,,,,,,,,79942.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,121.3
130 martense street,246561.4,,,,Prospect Lefferts Gardens-Wingate,Market Rate,116.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,152.6,0,,,,,,,,,62634.0,,,0.0,Not Eligible: Rating must be 75 or above,,,6446358.06,158.3
78-11 main street,287562.0,,,112.0,Kew Gardens Hills,Market Rate,85.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,126.8,0,,,,,,,,,60028.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,4142248.39,131.6
261 Wadsworth Ave,319851.3,,,,Washington Heights North,Market Rate,125.7,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,160.3,0,,700.0,,,,,,,75512.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,160.3
4035 hampton street,226005.7,,,,Elmhurst,Market Rate,102.6,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,138.4,0,,,,,,,,,57000.0,,,7.0,Not Eligible: Rating must be 75 or above,,,5077235.48,143.7
555 West 59th Street,2084206.5,,,112.0,Lincoln Square,Market Rate,85.3,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,152.0,0,,,,,,,,,229780.0,0.0,,370.0,Not Eligible: Rating must be 75 or above,,,15035538.71,152.3
3 east 71st street,329045.8,,,,Upper East Side-Carnegie Hill,Market Rate,86.9,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,135.2,0,,5500.0,,5771079.6,,,,,73864.0,,,22.0,Not Eligible: Rating must be 75 or above,,,,144.5
3100 Ocean Parkway,989760.0,,,,West Brighton,Market Rate,126.2,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,172.5,0,,,,,,,,,160000.0,,,0.0,Not Eligible: Rating must be 75 or above,,,20862100.0,180.3
433 West 21st Street,280100.1,,,,Hudson Yards-Chelsea-Flatiron-Union Square,Market Rate,111.9,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,151.4,0,,,,,,,,,63928.0,,,0.0,Not Eligible: Rating must be 75 or above,,,6198277.42,156.7
303 Greenwich Street / 147-149 Reade Street,650746.5,,,,,Market Rate,60.2,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,120.8,0,,,,3710605.74,,,,,83573.0,,,18.0,Not Eligible: Rating must be 75 or above,,,,121.5
