asian,cd_32,cd_34,cd_07,cd_29,cd_02,cd_44,cd_17,cd_11,cd_10,cd_41,male,cd_06
*,0,0,0,0,0,0,0,0,0,0,*,0
514,110,89,71,92,37,75,190,104,129,159,1892,37
88,*,13,44,*,26,*,28,16,27,24,236,*
0,0,0,0,0,0,0,0,0,0,0,*,0
41,*,*,*,*,*,*,19,21,*,11,294,*
*,0,*,*,0,0,0,0,0,0,0,*,0
55,*,*,*,*,32,0,304,202,20,*,955,*
*,0,0,0,0,0,0,0,0,0,0,*,0
1341,272,303,325,214,183,144,547,326,481,487,7508,89
*,0,0,0,0,0,0,0,0,0,0,0,0
66,10,*,*,11,12,*,47,17,17,21,413,*
*,0,*,*,*,0,*,*,*,0,*,20,*
0,0,0,0,0,0,0,*,0,*,0,*,0
104,18,*,*,22,*,0,48,19,10,*,349,*
326,74,95,85,36,26,45,291,100,102,173,"1,464",20
*,0,0,0,0,0,0,0,0,0,0,20,0
0,0,0,0,0,0,0,0,0,0,0,*,0
32,*,*,*,*,*,*,29,*,11,17,231,*
20,*,0,*,*,*,*,*,*,*,*,56,0
0,0,0,0,0,0,0,0,*,0,0,*,0
"1,558",324,396,348,199,207,230,592,331,414,499,"6,655",109
0,0,0,0,0,0,0,0,0,0,0,*,0
19,0,0,0,0,0,0,0,*,*,0,48,0
0,0,0,0,0,0,0,0,0,*,0,*,0
1238,205,157,174,144,72,147,309,202,256,309,3874,59
285,93,156,227,74,126,76,594,284,408,500,3626,67
*,0,0,0,*,0,0,0,0,*,0,15,0
0,0,0,0,0,0,0,0,0,0,0,*,0
18,*,*,*,0,*,*,13,*,*,*,122,*
0,0,0,0,0,0,0,0,0,0,0,*,0
1739,331,374,327,224,235,171,554,393,448,477,8640,99
2085,275,345,331,242,266,149,881,488,424,684,10703,143
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,*,0,*,0
*,0,0,0,0,*,0,*,0,0,0,33,*
0,0,0,0,0,0,0,0,0,0,0,*,0
*,*,*,*,0,0,*,*,*,0,*,10,0
2356,434,562,490,321,473,232,1034,778,709,1048,18214,291
77,21,41,33,*,33,13,175,66,59,117,922,18
0,0,0,0,0,0,0,0,0,0,0,*,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,*,0,0,0,0
0,0,0,*,0,0,0,0,0,0,0,*,0
0,0,0,0,0,0,0,*,0,0,0,*,0
*,*,*,*,0,*,0,0,*,*,*,46,0
22,0,*,*,*,*,*,*,*,*,*,112,*
220,39,43,43,25,26,48,129,55,67,67,906,15
0,*,0,0,0,0,0,0,0,0,0,*,0
151,*,31,36,24,17,15,55,43,17,56,1123,53
*,0,0,0,0,0,0,*,0,0,0,*,0
531,79,100,105,67,56,79,290,164,139,194,2249,42
0,0,0,0,0,*,0,*,0,*,0,*,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,*,0
*,0,0,*,0,0,0,0,0,0,0,*,0
*,0,0,0,0,0,0,0,0,0,0,*,0
0,0,0,0,0,*,0,*,0,0,0,17,*
64,*,14,10,*,11,*,20,16,*,18,353,*
44,*,13,27,*,*,*,*,14,15,16,127,*
0,0,*,*,0,*,0,0,0,0,0,*,0
101,28,42,52,16,18,19,46,20,30,79,1458,101
0,0,0,0,0,0,0,0,0,*,0,*,0
0,0,0,0,0,0,0,0,0,0,0,*,0
*,0,0,0,0,0,0,0,0,0,*,29,0
0,0,0,0,0,0,0,0,0,0,0,0,0
*,0,*,0,0,0,0,*,0,0,*,39,0
39,*,10,*,*,*,*,13,*,*,14,216,*
1595,294,342,286,250,193,146,552,332,440,476,7714,92
498,93,94,76,73,48,60,306,165,136,198,2334,30
*,0,*,0,0,0,0,*,0,0,0,28,0
*,*,*,0,*,*,0,*,*,*,*,23,*
10,0,0,0,0,*,0,*,*,0,*,38,0
*,*,*,19,*,*,*,*,*,33,11,92,*
*,*,*,*,*,*,*,*,*,*,*,41,*
0,0,0,0,0,0,0,0,0,0,0,0,0
*,0,0,0,0,*,0,0,0,0,0,*,0
2421,381,399,389,291,290,177,1080,613,508,826,13101,216
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,*,0,0,0,*,0
32,*,*,10,*,*,*,21,17,*,16,237,*
*,0,*,0,*,0,0,*,*,*,0,22,0
*,0,0,*,0,0,0,0,0,0,0,*,0
*,0,0,0,0,0,0,*,0,0,0,*,0
0,0,0,0,0,0,0,0,0,*,*,*,0
842,232,223,195,144,115,107,531,295,369,420,3687,53
0,0,0,0,0,*,0,0,0,0,0,*,0
17,0,0,0,0,*,0,*,*,0,*,44,0
0,0,0,*,*,*,0,*,0,*,*,*,0
*,0,0,*,*,*,0,*,*,*,*,42,*
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,*,0,0,0
*,0,0,0,*,0,0,*,0,0,0,*,0
*,0,0,0,0,0,0,0,0,0,0,*,0
0,0,0,0,0,*,0,*,0,*,*,*,0
0,0,0,0,0,0,0,0,0,0,0,0,0
15,*,*,*,*,*,*,12,*,*,*,102,*
135,26,27,52,23,47,15,130,63,41,76,1344,20
*,*,*,*,0,*,*,*,0,0,*,39,0
175,21,12,14,*,*,12,41,28,34,26,452,*
101,37,18,10,29,*,*,36,17,14,45,545,*
*,0,0,0,0,*,*,*,0,*,0,*,0
0,0,0,0,0,0,0,0,0,0,*,*,0
*,0,0,0,0,*,0,0,0,0,0,*,*
