nys_wms_rejection_code,cd_08,has_limited_english,cd_47,_45_64,has_reasonable_accommodation,unknown_race,cd_49,cd_36,has_limited_english_1,cd_50,_65,cd_26,cd_43
N13-Failure to Use/Apply for Benefit/Resource,0,*,0,*,0,0,*,0,16,0,*,*,0
E95-Died,0,0,*,12,0,0,0,0,14,0,*,*,0
FX1-Failure to Take Part in Rehab 1st Occurrence,0,0,0,0,0,0,0,0,*,0,0,0,0
P44-Failure to Comply With Drug/Alcohol Screening,0,0,0,*,0,0,0,0,*,0,0,0,0
E77-Living with Parent,11,22,*,*,*,*,*,12,284,*,*,*,*
"M91-Client Request, Phone",*,23,0,24,*,*,*,*,57,*,*,0,0
Y12-Client Active On A PA Case,79,439,34,524,101,*,37,37,1660,*,121,27,16
G46-Ineligible for  Child Care in Lieu of Temporary Assistance,0,0,0,0,0,0,0,0,*,0,0,0,0
E78-Living with Child's Other Parent,*,31,*,15,0,0,*,*,46,0,*,*,*
M13-Duplicate Assistance Active Cash Assistance Case in Other State,*,*,0,*,0,0,0,0,10,0,*,0,0
"M67-PA, FS - Part of Another PA, FS Application",15,135,*,125,21,*,*,*,418,*,26,*,*
"F49-Excess Resources, SNAP Disaster Area",0,0,0,*,0,0,0,0,*,0,0,0,0
E69-Failure to Complete Eligibility Process.,*,*,0,*,0,0,0,0,14,0,*,0,0
E72-Institutionalized,0,*,0,*,0,0,*,0,12,0,*,0,*
N21-Fail to Complete Employment Assessment,0,*,*,*,0,0,0,*,11,0,0,0,0
F33-Excess Income-Deemed income of Alien Sponsor FA SNAP Transitional Benefits),0,0,0,0,0,0,0,0,*,0,0,0,0
F70-Parental Control of Child,*,*,0,0,0,0,0,0,*,0,0,0,0
M98 - Duplicate Assistance - Non AFIS in NYS,0,*,*,11,*,0,0,0,24,0,0,*,*
F93-Failure to Sign Citizenship/Alien Declaration HH=1 MA Sep Determination,10,481,*,91,*,*,*,*,88,*,14,39,*
E35-Excess Unearned Income Ineligible Budget Required,128,958,72,1429,210,101,71,105,3783,55,1241,74,56
F21-Failure to Apply/Provide SSN,*,*,*,171,0,*,*,0,235,0,24,0,0
E78-Living with Child's Other Parent,*,21,0,*,0,0,0,0,38,0,0,0,0
N17-Failure to Complete Eligibility Process,*,*,0,*,0,0,0,*,14,0,0,0,0
E72-Institutionalized,0,0,0,*,*,0,0,0,*,0,0,0,0
V21-Failure to Provide Verification,236,3126,164,2846,115,40,203,208,7357,120,753,130,130
F52-Failure to Provide on Income or Resources for Federal Reporting,0,0,0,0,0,0,0,0,*,0,0,0,0
Total,1132,9296,628,9102,612,100,622,951,32134,333,3667,514,435
E60-Unable to Locate.,*,*,0,16,*,*,0,*,40,*,0,0,0
E35-Excess Unearned Income Ineligible Budget Required,28,110,21,335,14,*,26,24,945,*,201,14,*
E60-Unable to Locate.,*,*,0,10,0,0,0,0,22,0,*,*,0
N17-Failure to Complete Eligibility Process,*,*,0,28,*,0,0,0,61,*,*,*,0
E75-Refusal of Everyone in Household to Apply,*,32,*,25,*,*,*,*,48,*,*,0,*
F10-Failure to Keep Initial Appointment/Interview,0,0,0,*,0,0,0,0,*,0,*,0,0
N10-Failure to Keep/Complete Appointment,0,*,*,*,0,0,0,*,*,*,*,0,0
E73-In Foster Care,0,0,0,0,0,0,0,0,*,0,0,0,0
F93-Failure to Sign Citizenship/Alien Declaration HH=1 MA Sep Determination,0,184,0,42,*,*,0,*,55,0,10,*,*
F17-Failure to Validate Incorrect Social Security Number,0,*,0,*,0,0,0,0,*,0,0,0,0
"NF1-IPV: Purchased IIIegal Drugs with SNAP, 1st Violation",0,0,0,0,0,0,0,0,*,0,0,0,0
F63-In Prison,0,*,0,0,0,0,0,0,*,0,0,0,0
Y12-Client Active On A PA Case,94,535,49,610,119,*,44,65,2040,14,239,35,28
E10-Failure to Keep/Complete Interview: No Schedule Appointment,624,"2,850",173,"4,726",733,388,350,356,"14,862",133,"1,407",224,89
Total,"1,431","9,200",613,"11,427",980,187,891,"1,105","37,212",443,"3,157",479,493
E35-Excess Unearned Income Ineligible Budget Required,113,700,72,1215,153,76,64,87,3048,30,985,71,53
N10-Failure to Keep/Complete Appointment,0,19,0,10,0,0,*,0,21,0,0,*,0
"M66-PA, FS - Receiving PA/FS in Another Case",88,518,22,547,119,26,42,57,1826,10,91,27,12
"M67-PA, FS - Part of Another PA, FS Application",14,80,*,81,10,*,*,*,250,*,37,*,*
G92-Client Request-CA Only-Written,0,*,0,*,0,0,0,*,*,0,0,0,0
U42-Excess Resources-Refused to Sell Property,0,0,0,0,0,0,0,0,*,0,0,0,0
E61-Not a Resident of District,*,*,0,14,0,*,0,0,32,0,*,*,0
E77-Living with Parent,*,16,*,*,0,0,*,*,185,*,*,*,*
F86-Failure to Verify Alien Status,0,*,0,0,0,0,0,0,0,0,0,0,0
"M67-PA, FS - Part of Another PA, FS Application",22,134,13,161,25,*,13,19,529,*,54,*,*
M48-Parent's Offer of a Home - Minor Not Pregnant/Parenting,0,0,0,0,0,0,0,0,*,0,0,0,0
"WE1 - Failure to Comply with Employment Requirements (HH=1) 1st Occurrence (PA Rejection, Until Compliance) (SNAP Closing -Timely, 1 Month or Until Compliance)",0,0,0,0,0,0,0,0,*,0,0,0,0
N16-Failure to Contact Agency,0,0,0,*,0,0,0,0,*,0,0,0,0
E95-Died,*,*,0,*,*,*,0,*,12,0,*,0,0
E63-Not a Resident of State,0,*,0,*,*,0,0,0,*,0,0,0,0
N14-Filing Unit Member Failed to Apply,*,86,*,48,*,*,*,*,164,0,*,*,*
M98 - Duplicate Assistance - Non AFIS in NYS,*,*,0,*,*,0,0,0,18,0,*,*,*
E70-Ineligible Boarder,0,*,0,0,0,0,0,0,*,0,0,0,0
Total,1736,12955,960,15376,980,258,1151,1417,49147,645,5347,933,623
E30-Excess Earned income,238,1649,109,1653,149,123,130,153,5832,66,210,94,66
M78-Continue IPV Sanction,0,*,0,*,0,0,0,0,0,0,0,0,0
M48-Parent's Offer of a Home - Minor Not Pregnant/Parenting,0,0,0,0,0,0,0,0,*,0,0,0,0
F53-Refusal by Parent to Apply for Child,0,0,0,0,0,0,0,0,*,0,0,0,0
E30-Excess Earned income,167,1294,90,1359,124,105,114,113,4652,55,181,62,52
E61-Not a Resident of District,0,14,0,13,*,0,0,0,59,0,*,*,*
E35-Excess Unearned Income Ineligible Budget Required,51,119,31,404,24,*,19,37,1210,13,172,17,*
E61-Not a Resident of District,0,10,0,10,*,*,*,0,58,0,*,0,0
E75-Refusal of Everyone in Household to Apply,*,69,*,53,*,*,*,*,120,*,28,*,*
Y99-Other,*,61,*,69,*,0,*,*,132,*,14,*,*
P45-Failure to Comply With Drug/Alcohol Assessment,0,*,0,0,0,0,*,0,*,0,*,0,0
N10-Failure to Keep/Complete Appointment,*,96,*,36,*,0,0,*,57,*,95,*,*
E30-Excess Earned income,405,2059,168,3565,178,51,259,335,11111,108,369,174,87
"N31-Voluntary Quit, 1st Occurrence",0,0,0,0,0,0,0,0,*,0,0,0,0
F15-Failure to Verify Date of Birth,10,*,0,*,*,*,*,0,43,0,*,0,0
E63-Not a Resident of State,*,*,0,*,*,0,*,0,36,0,*,0,0
G96 - Client Request - CA Only - Verbal-MA & SNAP Separate Determination,0,*,0,*,*,*,0,*,18,0,*,0,0
E76-Living with Child,0,*,0,*,0,0,0,0,11,0,0,0,0
