female,calendar_year,cd_30,cd_40,native_american,cd_39,cd_16,cd_37,total,pacific_islander,african_american,cd_38,cd_13
*,2024,0,0,0,0,*,0,12,0,*,0,0
171,2022,*,*,0,*,11,*,258,0,90,*,16
*,2025,0,0,0,0,0,0,*,0,*,0,0
*,2023,0,0,0,0,0,0,10,0,*,0,0
0,2022,0,0,0,0,0,0,*,0,*,0,0
*,2023,0,0,0,0,0,0,*,0,0,0,0
*,2023,0,*,0,0,0,0,11,0,*,*,0
*,2024,0,0,0,0,0,0,*,0,0,0,0
11048,2023,200,312,80,105,502,408,17814,43,5746,225,316
*,2024,0,0,0,0,0,0,*,0,*,0,0
40,2024,0,0,0,*,*,*,54,0,18,*,*
*,2024,0,0,0,0,0,0,*,*,*,0,0
*,2024,0,0,0,0,0,0,22,0,*,0,0
*,2024,0,0,0,0,0,0,*,0,*,0,0
0,2023,0,0,0,0,0,0,*,0,*,0,0
56,2024,0,*,0,0,*,*,87,0,25,0,0
*,2023,0,0,0,0,0,0,*,0,0,0,0
"24,002",2023,298,789,269,250,1037,754,"40,882",144,15044,381,512
51,2022,*,*,*,0,*,0,70,0,12,*,0
21,2023,*,*,*,0,*,0,37,0,11,*,*
16,2023,0,*,0,0,*,0,23,0,*,0,*
*,2023,0,0,0,0,0,0,*,0,*,0,0
108,2024,*,*,*,*,*,*,183,*,44,*,*
7945,2023,135,226,50,75,354,285,10497,19,3892,124,216
413,2023,*,14,*,*,21,26,775,*,307,12,*
999,2024,*,30,*,11,20,36,1690,*,381,22,*
4624,2024,73,132,31,42,247,171,6719,32,2031,84,125
*,2024,0,0,0,0,0,0,*,0,*,0,0
*,2024,0,0,0,0,0,0,*,0,*,0,0
*,2023,*,*,0,*,*,0,15,0,*,0,0
80,2023,*,*,0,0,*,*,104,0,35,0,*
*,2023,0,0,0,0,*,*,*,0,*,0,0
*,2024,0,0,0,*,0,*,*,0,*,0,0
305,2023,*,*,*,*,12,*,475,0,180,*,*
1217,2023,38,37,*,12,57,45,1929,*,338,31,29
63,2022,0,0,0,0,17,*,84,0,28,0,*
0,2023,0,*,0,0,0,0,*,0,0,0,0
*,2022,0,0,0,0,0,0,*,0,*,0,0
42486,2023,534,1270,367,484,2127,1660,69181,152,26307,730,1022
10,2024,0,0,0,0,0,*,15,0,*,0,0
3310,2023,41,76,27,38,170,112,4807,12,1563,60,99
*,2024,0,0,0,0,0,0,*,0,*,0,0
22,2023,0,0,0,0,0,0,47,0,12,0,*
58681,2023,681,1885,575,522,2852,1867,95290,530,35223,1019,1362
*,2023,0,0,0,0,0,0,22,0,10,0,0
*,2023,0,0,0,0,0,0,*,0,*,0,0
10173,2024,170,303,64,96,520,388,13833,46,4866,170,322
6907,2023,122,205,40,67,357,253,9280,32,3381,96,220
*,2023,0,0,0,0,0,0,*,0,*,0,0
*,2024,0,0,0,0,0,0,*,0,*,0,0
42034,2024,699,1428,289,488,1847,1597,64709,154,21170,883,1213
30,2024,0,0,0,0,0,*,43,0,18,0,0
"5,249",2023,86,149,46,39,251,175,"7,557",52,2798,90,147
*,2024,0,0,0,0,0,0,*,0,*,0,0
*,2024,0,0,0,0,0,0,*,0,0,0,0
39,2023,0,0,0,0,*,*,47,0,10,0,*
0,2022,0,0,0,0,0,0,*,0,0,0,0
*,2024,0,0,0,0,0,0,12,0,*,0,0
17,2024,*,0,0,0,0,0,23,0,*,0,0
*,2023,0,0,0,0,0,0,*,0,*,0,0
2324,2024,48,122,*,30,96,74,3749,*,942,77,44
14,2024,0,*,0,*,*,*,30,*,*,0,*
*,2024,0,*,0,0,0,0,27,0,*,*,0
0,2025,0,0,0,0,0,0,*,0,*,0,0
69,2024,0,*,*,*,*,*,113,0,50,0,*
0,2022,0,0,0,0,0,0,*,0,0,0,0
225,2025,0,*,*,*,19,*,373,*,157,*,*
21,2022,*,0,0,0,*,0,32,0,*,*,0
*,2024,0,0,0,0,*,0,11,0,*,0,0
"4,560",2023,75,124,28,31,215,147,"6,312",18,2441,67,119
