cd_19,cd_33,cd_03,_18_24,cd_46,cd_09,cd_25,cd_12,cd_23,has_reasonable_accommodation_1
*,0,0,*,0,0,0,0,0,13
0,0,0,*,0,0,0,0,0,13
0,0,0,0,0,0,0,0,0,*
*,10,18,162,22,17,*,10,*,1045
0,0,0,*,0,0,*,0,0,*
0,*,0,26,*,*,0,*,*,108
0,0,0,0,0,*,0,*,0,*
0,0,0,0,0,0,0,0,0,*
0,0,0,30,*,*,*,*,*,167
0,0,0,*,0,0,0,0,0,*
*,*,*,46,*,*,*,*,*,341
11,15,19,392,42,91,13,80,22,2967
460,437,513,10115,954,1280,670,1413,607,63338
*,*,*,60,*,10,*,*,*,310
0,0,0,*,0,0,0,0,0,*
0,0,*,32,*,*,*,*,*,156
0,0,0,0,0,0,0,0,0,16
17,*,12,196,15,31,15,51,10,1868
32,44,148,229,92,437,40,227,45,9608
*,0,*,19,*,*,*,*,0,94
*,16,42,364,20,32,*,45,12,2006
0,0,0,0,0,*,0,*,0,*
*,*,17,49,23,23,13,38,16,1254
0,0,0,*,0,*,0,0,0,20
0,0,0,0,0,0,0,0,0,*
*,*,*,21,*,*,*,*,*,226
0,0,0,*,0,0,0,0,0,*
0,0,0,12,0,*,0,0,0,49
0,0,0,*,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*
92,90,125,1400,248,223,165,227,150,11638
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*
*,*,10,344,*,14,10,10,*,537
0,0,0,*,*,*,0,0,0,*
*,14,34,249,39,59,*,46,*,2331
33,49,46,768,77,107,47,166,50,6225
16,25,21,324,36,65,23,59,29,2755
0,0,*,10,0,0,0,0,0,30
0,0,0,*,0,*,0,0,0,*
0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*
0,0,0,*,0,0,0,*,0,15
*,0,*,54,*,*,*,*,*,252
153,175,197,4754,369,380,237,371,190,21918
42,37,36,1103,115,157,87,159,67,7028
0,0,0,0,0,0,0,0,0,*
23,26,35,284,52,22,44,45,40,2683
*,0,0,*,0,*,0,0,0,15
0,0,0,0,*,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*
0,0,0,*,*,*,0,*,0,66
0,0,0,0,0,0,0,0,0,*
0,*,0,0,0,0,0,0,0,*
0,0,0,*,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,*
