schoolyear,ell_num,white_num,k,black_num
20052006,46.0,2,,56
20082009,38.0,3,34,312
20112012,29.0,7,    ,138
20112012,46.0,82,96,75
20112012,94.0,7,    ,123
20052006,68.0,22,,376
20052006,12.0,187,,240
20092010,5.0,31,,133
20052006,20.0,4,,29
20092010,9.0,61,49,34
20112012,23.0,11,    ,128
20052006,4.0,7,,34
20112012,14.0,11,    ,56
20092010,6.0,27,51,2
20112012,65.0,19,35,104
20082009,39.0,384,,186
20052006,3.0,108,,48
20062007,237.0,16,,56
20092010,3.0,108,54,58
20102011,,240,52,11
20112012,128.0,16,102,55
20062007,42.0,380,,205
20072008,17.0,3,,106
20102011,9.0,11,,28
20052006,22.0,22,,141
20052006,58.0,11,69,98
20082009,14.0,17,,102
20112012,39.0,112,71,109
20072008,29.0,20,,223
20102011,21.0,14,53,79
20062007,18.0,17,,136
20092010,5.0,230,,39
20072008,395.0,71,,302
20112012,30.0,318,101,73
20052006,44.0,351,,173
20102011,231.0,12,139,31
20052006,1.0,104,28,27
20092010,32.0,20,,124
20062007,302.0,0,,3
20082009,24.0,299,130,30
20102011,9.0,28,,150
20102011,42.0,58,,152
20092010,64.0,6,43,67
20082009,3.0,17,,94
20092010,3.0,14,,49
20062007,55.0,61,,369
20072008,41.0,6,,104
20062007,2.0,139,,53
20062007,30.0,3,25,70
20102011,50.0,14,66,58
20092010,3.0,106,28,15
20102011,1.0,41,,54
20072008,40.0,36,,184
20092010,37.0,3,,81
20062007,92.0,29,73,174
20062007,72.0,10,,117
20092010,13.0,19,,88
20062007,8.0,9,,50
20092010,3.0,305,,41
20112012,22.0,304,139,88
20092010,12.0,8,,47
20092010,10.0,25,,52
20072008,25.0,589,141,40
20102011,15.0,142,98,20
20052006,100.0,23,68,164
20112012,6.0,584,125,24
20072008,42.0,26,,115
20072008,72.0,147,95,163
20052006,1.0,37,,47
20062007,78.0,96,,77
20082009,394.0,0,,3
20112012,57.0,17,    ,205
20112012,64.0,481,    ,126
20062007,11.0,14,30,41
20052006,22.0,19,,116
20052006,10.0,35,,34
20112012,1.0,97,    ,177
20082009,42.0,350,126,45
20082009,2.0,89,,161
20062007,25.0,11,,224
20102011,17.0,8,,48
20092010,23.0,28,,108
20062007,13.0,9,,104
20092010,40.0,301,103,89
20062007,37.0,8,68,342
20112012,10.0,134,    ,31
20082009,6.0,77,,84
20112012,12.0,125,55,32
20082009,13.0,12,,71
20092010,13.0,48,44,105
20112012,29.0,39,    ,71
20112012,20.0,4,31,63
20072008,2.0,119,,38
20072008,56.0,251,90,38
20052006,3.0,17,,82
20102011,6.0,264,,89
20112012,23.0,13,    ,108
20092010,29.0,13,,208
20072008,261.0,13,,58
20062007,21.0,6,26,87
20052006,44.0,9,61,341
20092010,11.0,35,,49
20082009,57.0,8,,78
20062007,54.0,88,,570
20102011,8.0,10,,87
20062007,15.0,13,,149
20112012,22.0,169,    ,360
20102011,6.0,725,103,192
20052006,7.0,12,35,40
20092010,28.0,10,,170
20072008,3.0,18,,59
20102011,9.0,588,145,33
20082009,31.0,525,162,143
20052006,11.0,40,16,43
20052006,45.0,73,,174
20082009,175.0,44,,645
20112012,47.0,307,76,27
20072008,464.0,46,,791
20102011,10.0,170,56,46
20082009,41.0,14,,272
20102011,386.0,18,117,65
20092010,,23,,53
20112012,28.0,652,140,72
20092010,83.0,175,,245
20072008,202.0,10,87,63
20112012,171.0,39,171,12
20072008,45.0,296,,139
20082009,18.0,554,138,38
20072008,10.0,31,46,106
20052006,2.0,5,,30
20072008,69.0,41,61,32
20102011,15.0,377,117,33
20062007,,229,57,22
20112012,157.0,107,68,66
20052006,96.0,30,82,184
20072008,5.0,10,,93
20112012,1.0,11,    ,26
20062007,,5,,31
20082009,187.0,50,,46
20102011,34.0,49,,190
20072008,35.0,10,,207
20092010,22.0,2,,43
20112012,207.0,10,    ,18
20052006,14.0,41,,363
20112012,13.0,590,130,20
20052006,29.0,21,,237
20102011,2.0,313,,84
20102011,20.0,11,,46
20112012,33.0,40,    ,185
20082009,23.0,511,150,42
20092010,68.0,90,,401
