tracking_number,work_permit,job_filing_number,owner_business_name,filing_representative_middle_initial,bbl,census_tract,council_district,applicant_license
648552685,M01206142-S4-ST,M01206142-S4,520 MADISON AVENUE,,1012890014.0,102.0,4.0,608236
993981613,X01278258-S2-GC,X01278258-S2,Not Applicable,,2032630284.0,279.0,11.0,612866
429729437,M00694487-I1-GC#,M00694487-I1,PR,,1006937502.0,9901.0,3.0,622810
970076996,M01216287-S1-MS,M01216287-S1,PR,,1008250012.0,58.0,3.0,38001
122319282,Q01273445-S2-PL,Q01273445-S2,UNITED DEVELOPERS LLC,,4122550013.0,28802.0,28.0,2145
206928661,B00591507-I1-AN,B00591507-I1,MILLER MANAGEMENT,,3072800188.0,35602.0,48.0,18635
203377871,M01017189-I1-PMM,M01017189-I1,"SAFWAY ATLANTIC, LLC",,1021380040.0,251.0,10.0,608211
583281716,M01158768-I1-GC,M01158768-I1,Rockrose Development Corp,M,1008560009.0,56.0,3.0,613010
882103562,S01291647-I1-SL,S01291647-I1,childs,,5015250062.0,251.0,50.0,613329
190377797,Q01279976-I1-GC-CX,Q01279976-I1,SHUN HE LLC.,,4064040009.0,80301.0,20.0,612508
863899318,M01073902-S2-EW-SP,M01073902-S2,SOVEREIGN PARTNERS,,1008177502.0,54.0,3.0,1058
890723610,B00338846-S1-BE,B00338846-S1,SELA GROUP LLC,,3018770001.0,211.0,35.0,4245
106477834,M01121418-I1-SH,M01121418-I1,OWNERS REP,,1006250041.0,77.0,3.0,617232
765859011,M01025839-I1-GC,M01025839-I1,,,1012450019.0,171.0,6.0,618806
842658090,M00896782-I1-PMM,M00896782-I1,"SAFWAY ATLANTIC, LLC",,1010197502.0,125.0,3.0,608211
606545841,M01308106-S1-PL,M01308106-S1,MRR 76 LLC,,1013900142.0,130.0,4.0,2365
276848225,Q01304405-I1-MS,Q01304405-I1,HJEKC LLC,,4001730026.0,18502.0,26.0,610142
835114980,S01077927-I1-GC-CX,S01077927-I1,Not Applicable,,5042730076.0,13201.0,50.0,24862
526948490,B00587291-S6-PL,B00587291-S6,714 EAST 2ND ST. LLC,,3053950046.0,478.0,40.0,1564
133491062,S01239048-I1-GC-CX,S01239048-I1,BLUE STAR GROUP LLC,,,248.0,51.0,24862
965331124,B00963609-I1-SH,B00963609-I1,NEW YORK CITY HOUSING AUTHORITY,,3013790055.0,34901.0,36.0,18914
582136083,M01,M01160464-I1,1250 BROADWAY ASSOCIATES LLPC,,1008330011.0,76.0,3.0,624221
149257329,B00965051-I1-SH,B00965051-I1,NEW YORK CITY HOUSING AUTHORITY,,3035090059.0,900.0,41.0,18914
411766068,M01052483-I1-GC,M01052483-I1,BOROUGH OF MANHATTAN COMMUNITY COLL,,1001420050.0,39.0,1.0,39485
756197362,M08019018-I1-SF,M08019018-I1,SAFWAY ATLANTIC LLC,,1000430006.0,7.0,1.0,608211
402218840,X01,X01251906-S1,ONEVESTA PROPERTY MANAGEMENT,,2033430076.0,423.0,11.0,612866
394248465,S00846792-I1-GC-CX,S00846792-I1,BLUE STAR GROUP LLC,,5070460123.0,20805.0,51.0,24862
944617218,B00734102-S7-SE,B00734102-S7,PR,,3065920001.0,442.0,44.0,9592
648093467,Q01140383-I1-SG,Q01140383-I1,RJ CAPITAL CONSTRUCTION LTD,,4032387505.0,711.0,29.0,247
725852684,M00,M00523418-I1,,,1018940031.0,199.0,7.0,1824
918144817,X01115789-S2-CC,X01115789-S2,UNITED 2441 LLC,,2053890032.0,264.0,13.0,619703
602843831,M01176676-I1-GC,M01176676-I1,MOMA,,1012690020.0,104.0,4.0,39485
481212333,B01109630-I1-SH,B01109630-I1,PLATINUM SERVICES NY LLC,,3023270023.0,553.0,34.0,620254
218141534,X01004429-S1-ST,X01004429-S1,THE VOREA GROUP LLC,,2023500001.0,6301.0,17.0,611339
540897376,B01214693-S1-PL,B01214693-S1,CCS MGT MAINT LLC,,3013930011.0,359.0,41.0,2436
306206965,M01072466-S1-SF,M01072466-S1,KINGS GROUP NY CORP,,1008920080.0,80.0,4.0,615905
163420220,Q00900187-S2-FO-EA,Q00900187-S2,PR,,4051220055.0,853.0,20.0,617287
426267700,Q01159580-I1-SF,Q01159580-I1,BAY RESTORATION CORP,,4008307501.0,113.0,22.0,34424
8.74870387E+8,B01204961-S1-PL,B01204961-S1,PR,,3028570024.0,477.0,34.0,1567
364680301,S00490341-I1-FN,S00490341-I1,NYC DDC,,5059000500.0,22801.0,51.0,613847
418920695,Q01222474-I1-FN,Q01222474-I1,GLOBAL AQUCISITIONS & HOLDINGS CORP,,4141670037.0,884.0,32.0,618278
322297793,B00637676-S1-BE,B00637676-S1,RATHOD,Y,3050890064.0,79602.0,40.0,4245
574480240,M01132510-I1-SH,M01132510-I1,"JASCO, INC",,1009310014.0,66.0,2.0,617185
713433169,M00600672-Z2-PL,M00600672-Z2,PR,,1007510020.0,97.0,3.0,2535
291003397,M01049436-I1-ST,M01049436-I1,Wells Fargo Bank NA,,1007027501.0,9903.0,3.0,2660
446242847,S01281949-I1-SL,S01281949-I1,PR,,5021130103.0,29106.0,51.0,613329
445986107,B01090517-S2-ST,B01090517-S2,,,3011580069.0,163.0,35.0,619970
986793111,Q01170734-S1-MS,Q01170734-S1,NEW YORK PRESBYTERIAN QUEENS,,4051650001.0,799.0,20.0,3611
234271029,M01218757-I1-SH,M01218757-I1,"SAFWAY ATLANTIC, LLC",,1007120040.0,83.0,3.0,608211
528217344,M00924977-I1-EW-SP,M00924977-I1,NORTHWELL HEALTH LENOX HILL HOSPITA,,1006170055.0,77.0,3.0,422
104288617,B01011401-I1-FN,B01011401-I1,B. WARRANTY HOME CONSTRUCTION INC.,,3058910043.0,68.0,47.0,4170
315581658,S01217728-I1-SL,S01217728-I1,Not Applicable,,5069190001.0,20803.0,51.0,613329
938984206,M01156954-I1-GC,M01156954-I1,ROCK 54 LLC,,1012700049.0,104.0,4.0,613531
165303156,M01195910-I1-GC,M01195910-I1,"1040 AVENUE OF THE AMERICAS, LLC",,1008410001.0,84.0,4.0,613531
634380557,S01230127-I1-GC-CX,S01230127-I1,Not Applicable,,5002240044.0,125.0,49.0,24862
184280897,B01239231-I1-PMM,B01239231-I1,"SAFWAY ATLANTIC, LLC",,3008280001.0,22.0,38.0,608211
472568173,Q01180759-I1-SL,Q01180759-I1,Not Applicable,,4065980080.0,77902.0,24.0,104468
309354008,M01064132-I1-MS,M01064132-I1,BUILDING REP,,1002830024.0,6.0,1.0,619289
428394030,M00,M00912754-I1,PR,,1008650014.0,82.0,4.0,613010
768348814,M01087018-I1-FN,M01087018-I1,"SAFWAY ATLANTIC, LLC",,1000627501.0,13.0,1.0,608211
247055701,M01327331-S1-PMM,M01327331-S1,"SAFWAY ATLANTIC, LLC",,1018860001.0,203.0,7.0,608211
634380557,S01230127-I1-GC-CX,S01230127-I1,Not Applicable,,5002240044.0,125.0,49.0,24862
882131786,B01130089-I1-GC,B01130089-I1,Not Applicable,,3063480074.0,296.0,43.0,618877
235384642,X01182700-I1-SH,X01182700-I1,BAY RESTORATION CORP,,2031110065.0,36501.0,15.0,34424
655261564,M01081798-S1-MS,M01081798-S1,PARK TOWER MANAGEMENT LTD,,1012900021.0,102.0,4.0,604966
625407299,M01224353-I1-FN,M01224353-I1,"SAFWAY ATLANTIC, LLC",,1012687502.0,104.0,4.0,608211
428341622,B01197698-I1-SL,B01197698-I1,Not Applicable,,3014140074.0,35102.0,35.0,611783
213602203,Q01219213-I1-MS,Q01219213-I1,"ABS PARTNERS REAL ESTATE, LLC",,4035600010.0,553.0,34.0,602667
987100604,B08032596-I1-MS,B08032596-I1,DCAS,,3001407503.0,11.0,33.0,139
889736565,X00692070-I1-GC,X00692070-I1,NYC SCA,,2031700001.0,23704.0,14.0,619983
8.67361064E+8,B01204250-I1-GC,B01204250-I1,79th Street Holdings LLC,,3062630043.0,272.0,43.0,21310
366801940,M01290657-I1-SH,M01290657-I1,"SAFWAY ATLANTIC, LLC",,1016040006.0,168.0,8.0,608211
417345975,M00653684-I1-ST,M00653684-I1,NYCHA,,1017570001.0,210.0,9.0,600067
428360852,M01216340-I1-ST,M01216340-I1,PR,,1008250012.0,58.0,3.0,38001
971811169,Q00546535-I1-SH,Q00546535-I1,NYC SCHOOL CONSTRUCTION AUTHORITY,,4097070048.0,236.0,24.0,35521
821168902,B01322433-I1-GC,B01322433-I1,L Plus Beauty Inc,,3019817501.0,201.0,35.0,620566
271018025,B00629993-S8-MS,B00629993-S8,TWO TREES,,3024140026.0,551.0,33.0,611357
176824509,X00795971-S3-ST,X00795971-S3,CITYSQUASH,,2030560005.0,387.0,15.0,605348
652362151,M01290657-S1-SF,M01290657-S1,"SAFWAY ATLANTIC, LLC",,1016040006.0,168.0,8.0,608211
782665469,B00202585-I1-ST,B00202585-I1,PR,,3009890058.0,153.0,39.0,620603
532930735,M01269876-I1-GC,M01269876-I1,Rockrose Development Corp,,1008510035.0,56.0,2.0,613010
966205066,S00864081-I1-GC-CX,S00864081-I1,BLUE STAR GROUP LLC,,5070460122.0,20805.0,51.0,24862
785656435,Q01147032-I1-GC-CX,Q01147032-I1,DEVENDRA BALKARRAN,,4088790006.0,14.0,32.0,622401
332417326,x00868217-i1-sf,X00868217-I1,MHANY MANAGEMENT INC.,,2026840054.0,83.0,17.0,606141
805804756,M08029551-I1-PMM,M08029551-I1,1HOTELS,,1012730071.0,11201.0,4.0,36271
757023502,B01305878-I1-MS,B01305878-I1,NEW CLAY STUDIOS LLC,,3004160048.0,75.0,39.0,613816
866059146,S00702791-I1-GC-CX,S00702791-I1,MASON MAGUIRE LLC,,5070340014.0,20805.0,51.0,24862
953390008,B01172528-S1-PL,B01172528-S1,VOGUE OPTICAL LTD,,3074220061.0,59402.0,48.0,2493
842782748,B00568722-I1-GC-CX,B00568722-I1,CONEY ISLAND CHAPEL,,3072040106.0,370.0,48.0,616336
117942698,X00523275-I1-FN,X00523275-I1,KOM MANAGEMENT,,2045760018.0,342.0,12.0,603276
992434288,B01124768-I1-GC,B01124768-I1,BROOKLYN BOTANIC GARDENS,,3011830001.0,177.0,35.0,39485
325512227,B01214920-I1-SL,B01214920-I1,Not Applicable,,3003020046.0,45.0,39.0,35290
3.24924328E+8,M01113791-I1-SC,M01113791-I1,"SAFWAY ATLANTIC, LLC",,1010197502.0,125.0,3.0,608211
622557454,S01283713-I1-SL,S01283713-I1,Not Applicable,V,5004620174.0,18901.0,50.0,613329
618289550,Q01003678-I1-GC,Q01003678-I1,MALBA CAPITAL INC,,4044530003.0,945.0,19.0,623907
983658210,B01121570-I1-AN,B01121570-I1,AT&T MOBILITY,,3072427501.0,366.0,48.0,621912
678306590,M01079990-I1-SC,M01079990-I1,"AKAM ASSOCIATES, INC.",,1014270018.0,12602.0,5.0,7682
925336336,S00490341-I1-FN,S00490341-I1,NYC DDC,,5059000500.0,22801.0,51.0,613847
600977673,M01185407-I1-GC,M01185407-I1,PR,,1007020010.0,9903.0,3.0,2571
891327450,X00997393-I1-GC,X00997393-I1,"AKAM ASSOCIATES, INC.",,2059530240.0,323.0,11.0,617114
483426598,B00587291-S6-PL,B00587291-S6,714 EAST 2ND ST. LLC,,3053950046.0,478.0,40.0,1564
395641337,X01234474-I1-SH,X01234474-I1,ROYAL BUILDERS GROUP INC,,2047590059.0,364.0,12.0,610541
886457203,B01254391-I1-SF,B01254391-I1,"JASCO, INC",,3017957501.0,263.0,36.0,617185
292652613,M01198061-S1-PL,M01198061-S1,SCF MANAGEMENT LLC,,1004987502.0,49.0,1.0,1510
697852444,M00936552-I1-ST,M00936552-I1,PR,,1000270009.0,7.0,1.0,13698
771500004,M00860626-I1-GC,M00860626-I1,CBRE INC.,,1007950037.0,87.0,3.0,613010
44988825600.00%,B00629993-Z1-PL,B00629993-Z1,TWO TREES,,3024140026.0,551.0,33.0,2394
448836542,X00927718-I1-GC,X00927718-I1,NEIGHBORHOOD RESTORE,,2023890047.0,145.0,16.0,622195
829271169,S01271241-I1-SL,S01271241-I1,,,5049770009.0,13204.0,51.0,613329
351207118,S01236259-I1-GC-CX,S01236259-I1,BLUE STAR GROUP LLC,,,248.0,51.0,24862
685507066,X01201226-S7-SE,X01201226-S7,Castling Capital Group,,2046560083.0,394.0,12.0,625971
603866424,M00941492-I1-FN,M00941492-I1,"SAFWAY ATLANTIC, LLC",,1021380040.0,251.0,10.0,608211
714885310,B01048332-S2-PL,B01048332-S2,PR,,3010300064.0,151.0,39.0,1138
570662456,M01236669-S3-MS,M01236669-S3,ERICA ROJAS,,1010600023.0,133.0,3.0,612866
724358662,M011 56882-S2-PL,M01156882-S2,PR,,1012860035.0,102.0,4.0,1851
462000663,M01156970-I1-GC,M01156970-I1,ROCK 54 LLC,,1012700049.0,104.0,4.0,613531
823136692,Q00976723-I1-GC-CX,Q00976723-I1,PR,,4092490040.0,138.0,29.0,621912
1.97413570E+8,S01275316-I1-SL,S01275316-I1,PR,V,5032910114.0,9601.0,50.0,613329
211210486,B00485579-I1-GC-CX,B00485579-I1,BUILD 360,,3004230041.0,75.0,39.0,609469
850233816,M01302543-I1-GC,M01302543-I1,MANHATTAN CENTER STUDIOS,,1007580028.0,111.0,3.0,39485
905214032,B00591507-I1-AN,B00591507-I1,MILLER MANAGEMENT,,3072800188.0,35602.0,48.0,622580
225874475,S00864105-I1-GC-CX,S00864105-I1,BLUE STAR GROUP LLC,,5070460119.0,20805.0,51.0,24862
797287360,B01244248-I1-FN,B01244248-I1,PR,,3008690048.0,14902.0,39.0,618770
268192620,Q01179617-I1-GC,Q01179617-I1,GREEK BUILDING LLC,,4010040004.0,317.0,22.0,618442
880989950,M01221424-S1-BE,M01221424-S1,FORKOSH CONSTRUCTION CO INC,,1008960001.0,48.0,2.0,2042
594235942,M01238149-I1-GC,M01238149-I1,,,1013447501.0,98.0,4.0,612866
518008446,M01015398-S1-MS,M01015398-S1,PR,,1012450031.0,171.0,6.0,602973
628560057,B00840325-I1-SH,B00840325-I1,PLATINUM SERVICES NY LLC,,3028670001.0,44901.0,34.0,620254
281054962,B01068882-I1-GC,B01068882-I1,Not Applicable,,3045060015.0,1220.0,42.0,31872
519540911,B00677180-I1-ST,B00677180-I1,INDUSTRY CITY,,3006790001.0,1802.0,38.0,611358
384995836,B01013899-I1-SH,B01013899-I1,PR,,3013790041.0,34901.0,36.0,18914
524269799,M01093107-I1-FN,M01093107-I1,"SAFWAY ATLANTIC, LLC",,1018320029.0,181.0,7.0,608211
39886885400.00%,B01109630-I1-SF,B01109630-I1,PLATINUM SERVICES NY LLC,,3023270023.0,553.0,34.0,620254
262277612,M00980935-I1-FN,M00980935-I1,"SAFWAY ATLANTIC, LLC",,1014310046.0,134.0,5.0,608211
977238365,B00401241-I1-ST,B00401241-I1,BRIDGE ZALE CONSTRUCTION CORP.,,3010270011.0,117.0,38.0,31417
633099465,X00970025-I1-CC,X00970025-I1,1040 CASTLE HILL AVENUE LLC,,2036940035.0,98.0,18.0,31445
608658862,B01182878-S1-PL,B01182878-S1,Not Applicable,,3065400079.0,448.0,44.0,2282
585130066,B01196159-S2-ST,B01196159-S2,BD5P LLC,,3003390050.0,67.0,39.0,610950
914387271,M01267576-I1-GC,M01267576-I1,BROOKFIELD PROPERTIES,,1012580009.0,96.0,4.0,604037
172006425,M00600672-Z2-PL,M00600672-Z2,PR,,1007510020.0,97.0,3.0,2535
171146026,M00234306-I1-EW-SP,M00234306-I1,530 FIFTH AVENUE CONDOMINIUM,,1012607503.0,96.0,4.0,684
835114980,S01077927-I1-GC-CX,S01077927-I1,Not Applicable,,5042730076.0,13201.0,50.0,24862
390813921,B00964621-I1-SH,B00964621-I1,NEW YORK CITY HOUSING AUTHORITY,,3013810013.0,359.0,41.0,18914
5.33953807E+8,Q01286799-I1-SL,Q01286799-I1,Not Applicable,,4024960051.0,49302.0,30.0,35290
410968077,X01149603-I1-GC,X01149603-I1,SRII ASSOCIATES LLC,,2039690001.0,20601.0,18.0,625025
744184837,Q01168295-I1-SL,Q01168295-I1,Not Applicable,,4120070240.0,18402.0,28.0,622219
100094578,M01188847-I1-ST,M01188847-I1,99 PARK AVENUE  ASSOCIATES LLC,,1008950001.0,80.0,4.0,2288
941593215,B08032581-I1-GC,B08032581-I1,DCAS,,3001407503.0,11.0,33.0,614007
417828513,M01029754-I1-SF,M01029754-I1,MNK ENTERPRISES NY INC,,1006190039.0,73.0,3.0,623945
420727539,S01186947-I1-GC-CX,S01186947-I1,BLUE STAR GROUP LLC,,5070340080.0,20805.0,51.0,24862
207669516,S01134832-I1-GC,S01134832-I1,Not Applicable,,5005800123.0,33.0,49.0,615297
119804376,M01201556-I1-GC,M01201556-I1,C&W,,1012830069.0,94.0,4.0,626771
394248465,S00846792-I1-GC-CX,S00846792-I1,BLUE STAR GROUP LLC,,5070460123.0,20805.0,51.0,24862
528165668,M01129153-I1-AN,M01129153-I1,HALSTEAD MANAGEMENT,,1011220023.0,15301.0,6.0,621912
829151062,S00646664-I1-FN,S00646664-I1,COLGATE MAINTENANCE CORP.,,5022420125.0,279.0,50.0,608523
12628696000.00%,M00607019-I1-FN,M00607019-I1,SAFWAY ATLANTIC LLC,,1014850115.0,124.0,5.0,608211
890706958,B01127965-I1-SH,B01127965-I1,5615 VAN CLEEF REAL ESTATE LLC,,3032680032.0,431.0,37.0,624420
560553367,Q01288693-I1-GC,Q01288693-I1,Not Applicable,,4150000012.0,306.0,31.0,623510
338638556,Q01312144-I1-SL,Q01312144-I1,Not Applicable,,4010430008.0,30904.0,22.0,619734
446495130,B08029013-S1-FO,B08029013-S1,"BRIDGE DEVELOPMENT PARTNERS, LLC",,3006350013.0,1801.0,38.0,32144
227543946,Q00805709-I1-GC,Q00805709-I1,NYC SCHOOL CONSTRUCTION AUTHORITY,,4124950166.0,33405.0,28.0,611334
454463370,X00868217-I1-SH,X00868217-I1,MHANY MANAGEMENT INC.,,2026840054.0,83.0,17.0,606141
195280199,B01302460-I1-GC,B01302460-I1,ST. KEVIN RC CHURCH,,3001190043.0,13.0,33.0,612866
143997030,M01220767-I1-PL,M01220767-I1,SILVERSTEIN PROPERTIES INC.,,1009980029.0,119.0,4.0,728
578549152,S01211881-I1-SL,S01211881-I1,,,5045500133.0,14606.0,51.0,616224
392158452,M01157659-S2-MS,M01157659-S2,,,1005610014.0,59.0,2.0,613262
612064524,Q00976723-S2-AN,Q00976723-S2,PR,,4092490040.0,138.0,29.0,621912
859383698,M01243239-I1-GC,M01243239-I1,NRCF 2GC LLC,,1012990027.0,92.0,4.0,613010
698618741,B00501131-I1-GC,B00501131-I1,AVIEW EQUITIES,,3053220004.0,50401.0,40.0,614175
810609749,S01063018-I1-PMM,S01063018-I1,PROFESSIONAL LINE CORP,,5046330291.0,14605.0,51.0,621720
156809172,B00844768-I1-ST,B00844768-I1,COBBLE HILL HOME LLC,,3002960036.0,45.0,39.0,3021
905193881,M01094144-I1-MS,M01094144-I1,300 PARK AVENUE INC.,,1012850036.0,102.0,4.0,613010
229922193,M00657367-I1-PL,M00657367-I1,NYCHA,,1003230001.0,1002.0,2.0,1141
969482049,M01022331-I1-GC,M01022331-I1,PR,,1007457502.0,89.0,3.0,25132
830922529,M01311963-I1-GC,M01311963-I1,Not Applicable,,1008520001.0,56.0,3.0,39485
541578538,M01240699-I1-GC%,M01240699-I1,RCPI Landmarks LLC,,1012660001.0,104.0,4.0,39485
842444342,Q01259848-I1-SL,Q01259848-I1,Not Applicable,,4044290026.0,945.0,19.0,35290
511041202,S00490341-I1-FN,S00490341-I1,NYC DDC,,5059000500.0,22801.0,51.0,613847
332417326,X00868217-I1-SF,X00868217-I1,MHANY MANAGEMENT INC.,,2026840054.0,83.0,17.0,606141
835114980,S01077927-I1-GC-CX,S01077927-I1,Not Applicable,,5042730076.0,13201.0,50.0,24862
173456835,B01145087-I1-SH,B01145087-I1,PR,,3046520045.0,890.0,41.0,18914
509478729,M01266258-I1-SC,M01266258-I1,HILTON GARDEN INN FNANCIAL CENTER,,1008387502.0,84.0,4.0,6490
607483094,@M01084751-I1-GC,M01084751-I1,CBRE INC.,,1007950044.0,87.0,3.0,613010
137992048,Q00922887-I1-GC,Q00922887-I1,PR,,4161860008.0,938.0,32.0,624404
101201320,Q01135488-I1-FN,Q01135488-I1,VERDUGOS GC CORP.,,4161030077.0,94202.0,31.0,31820
13349106200.00%,S01239048-I1-GC-CX,S01239048-I1,BLUE STAR GROUP LLC,,,248.0,51.0,24862
667159642,M01280587-I1-PL,M01280587-I1,VORNADO REALTY TRUST,,1007830070.0,101.0,3.0,2055
949331493,M01139683-S3-FN,M01139683-S3,Solid State Properties LC,,1004840012.0,49.0,1.0,621184
4.46736587E+8,M01287862-I1-SC,M01287862-I1,COHEN BROTHERS REALTY,,1008870095.0,72.0,2.0,176
894645450,M01241524-I1-SC,M01241524-I1,M.G.R. RESTORATION INC.,,1007920020.0,81.0,3.0,6461
157065912,X00868217-I1-SF,X00868217-I1,MHANY MANAGEMENT INC.,,2026840054.0,83.0,17.0,612491
311123475,B00940936-I1-GC,B00940936-I1,YESHIVAT DARCHE ERES INC.,,3065360045.0,454.0,44.0,9592
327153681,M01043535-I1-GC,M01043535-I1,CBRE INC.,,1007950037.0,87.0,3.0,613010
822166430,X01105121-S2-CC,X01105121-S2,UNITED 2441 LLC,,2053890032.0,264.0,13.0,619703
