trip_weight,num_non_hh_travelers,o_purpose_category,added_trip,o_purpose_imputed,d_purpose,park_location,home_cms_zone,linked_trip_num,transit_access,mode_type_detailed,o_congestion
16.4,0,6,0,33,1,4,Northern Bronx,18,995,26,0
10.8,0,3,0,11,1,4,Staten Island,10,995,25,0
0.0,0,5,0,41,50,995,Inner Queens,15,995,48,0
407.0,0,2,995,10,50,995,Outer Queens,3,995,48,0
4660.2,0,5,0,44,997,995,Northern Bronx,11,1,16,0
29.7,0,5,0,42,42,6,Outer Queens,6,995,25,1
31.8,0,1,0,1,10,995,Inner Brooklyn,9,995,5,0
42.5,4,5,0,44,63,995,Northern Bronx,8,995,48,1
1669.9,1,5,0,44,997,995,Inner Queens,2,995,48,0
96.1,1,7,0,50,10,995,Inner Brooklyn,49,995,48,1
14.0,0,6,0,33,33,3,Middle Queens,4,995,25,0
0.0,0,6,0,33,60,995,Northern Manhattan,13,995,48,1
31.0,0,8,0,63,1,995,Inner Queens,7,995,48,0
87.8,1,9,0,997,60,995,Manhattan Core,13,1,11,1
82.1,0,10,0,60,63,995,Northern Manhattan,16,1,11,0
15.2,0,9,0,997,1,995,Northern Bronx,19,995,48,0
162.4,0,8,0,63,63,995,Southern Bronx,18,995,48,0
16.4,0,6,0,33,33,4,Northern Bronx,63,995,26,0
2266.1,0,1,995,1,51,995,Southern Bronx,1,995,48,0
162.4,0,6,0,33,50,995,Southern Bronx,4,995,48,0
10.8,0,1,0,1,33,4,Staten Island,15,995,25,0
16.4,1,1,0,1,997,6,Northern Bronx,43,995,26,0
31.8,1,6,0,33,50,995,Inner Brooklyn,46,995,48,1
0.0,0,1,0,1,60,995,Northern Manhattan,24,995,48,0
10.8,0,6,0,33,33,3,Staten Island,11,995,26,0
29.7,0,6,0,33,63,4,Outer Queens,40,995,26,0
0.0,0,10,0,60,10,995,Inner Queens,16,995,48,1
16.4,0,9,0,997,50,6,Northern Bronx,44,995,26,0
2689.1,0,9,0,997,33,995,Manhattan Core,19,1,11,0
0.0,0,10,0,60,60,995,Northern Manhattan,10,1,11,0
4660.2,0,9,0,997,1,995,Northern Bronx,49,995,48,0
10.8,0,1,0,1,33,4,Staten Island,36,995,25,0
31.8,1,6,0,33,1,995,Inner Brooklyn,57,995,48,0
42.5,0,6,0,33,33,6,Northern Bronx,37,995,25,0
41.9,0,6,0,33,1,995,Outer Queens,3,995,48,0
38.5,0,2,0,10,1,995,Inner Brooklyn,4,1,11,0
96.1,1,5,0,42,50,4,Inner Brooklyn,19,995,33,0
2689.1,0,6,0,33,1,995,Manhattan Core,3,995,3,1
96.1,0,7,0,50,10,995,Inner Brooklyn,39,995,48,0
31.8,0,1,0,1,60,995,Inner Brooklyn,25,995,48,0
0.0,1,-9998,0,-9998,50,4,Northern Bronx,13,995,25,0
0.0,-9998,-9998,0,-9998,-9998,995,Southern Bronx,28,-9998,995,0
31.8,0,7,0,50,1,995,Inner Brooklyn,24,995,48,0
2689.1,0,6,0,33,33,995,Manhattan Core,22,995,48,0
1067.4,0,9,995,997,997,995,Manhattan Core,3,995,48,1
0.0,0,6,0,33,44,995,Northern Manhattan,6,995,48,0
29.7,0,1,0,1,33,4,Outer Queens,32,995,26,0
0.0,-9998,-9998,0,-9998,-9998,995,Northern Manhattan,21,-9998,995,1
87.8,0,6,0,33,33,995,Manhattan Core,9,1,11,1
42.5,4,8,0,63,63,995,Northern Bronx,11,995,48,1
2689.1,0,6,0,33,33,995,Manhattan Core,6,995,48,0
0.0,-9998,-9998,0,-9998,-9998,995,Southern Bronx,36,-9998,995,0
15.2,0,9,0,997,1,995,Northern Bronx,12,995,48,0
31.8,0,10,0,60,60,995,Inner Brooklyn,27,1,11,1
15.2,0,10,0,60,60,995,Northern Bronx,22,1,11,0
14.3,0,8,0,51,1,995,Northern Bronx,10,995,48,0
16.4,1,9,0,997,997,6,Northern Bronx,2,995,26,0
