boro_block_lot,expense_per_sqft_3,total_units_3,estimated_expense,estimated_expense_1,boro_block_lot_3,building_classification_1,year_built_3,gross_income_per_sqft_1,address_1,market_value_per_sqft,boro_block_lot_2,expense_per_sqft_1,gross_sqft,full_market_value_2,full_market_value_1,gross_income_per_sqft_3,year_built_1,total_units,neighborhood,gross_sqft_2
1-00891-0023,,,720040,481133,,D1  -ELEVATOR,,45.97,221 EAST 33 STREET,221.44,1-00918-0051,13.55,35734,7915000,10386000,,1900,35,MURRAY HILL,22820
1-00918-0001,18.59,19.0,1650722,596911,1-00920-0045,D5  -ELEVATOR,1910.0,48.98,577 2 AVENUE,234.38,1-00893-0082,19.47,82826,27408000,9754000,48.63,1915,108,MURRAY HILL,110949
1-01038-0006,15.23,14.0,181099,119361,1-01041-0064,C7  -WALK-UP,1920.0,39.85,365 WEST 50 STREET,233.35,1-01041-0063,11.96,10735,3131000,2261000,45.6,1920,16,MIDTOWN WEST,10250
1-00375-0030,14.12,50.0,255966,305071,1-00397-0022,C4  -WALK-UP,1910.0,35.88,374 EAST 10 STREET,169.4,1-00392-0048,14.81,17556,8925000,4696000,35.08,1900,19,ALPHABET CITY,43871
1-00850-0057,13.51,19.0,146347,129508,1-00468-0035,D3  -ELEVATOR,1950.0,41.94,20 EAST 22 STREET,243.23,1-00452-0039,12.32,11380,5022000,3919000,43.99,1925,23,FLATIRON,11214
1-01062-0026,20.68,20.0,139725,135068,1-01058-0055,C4  -WALK-UP,1901.0,57.52,409 WEST 52 STREET,315.87,1-01066-0024,18.63,7500,1902000,2572000,54.65,1910,20,CLINTON,5540
1-00720-0049,18.66,266.0,606414,968173,1-00772-0056,D6  -ELEVATOR,1927.0,45.7,401 WEST 22 STREET,236.5,1-00717-0077,16.58,36575,28219000,18049000,45.39,1999,46,CHELSEA,68260
1-01148-0056,20.74,24.0,1108076,2214780,1-01150-0051,D3  -ELEVATOR,1926.0,48.34,120 WEST 79 STREET,218.22,1-01126-0038,19.31,53427,26865000,26495000,47.61,1926,45,UPPER WEST SIDE (59-79),71890
1-00793-0022,20.8,20.0,907132,4645277,1-00134-0011,D8  -ELEVATOR,1930.0,47.28,450 NORTH END AVENUE,245.75,1-01332-0029,18.99,53298,76684000,64777000,48.63,1998,29,CHELSEA,324212
1-00143-0009,13.19,13.0,307475,20889802,1-00092-0017,D6  -ELEVATOR,1900.0,39.67,310 GREENWICH STREET,234.12,1-00016-0100,10.6,24500,426598000,375422000,42.33,1975,11,TRIBECA,1881621
1-00875-0047,11.75,21.0,2391900,629112,1-00873-0022,D8  -ELEVATOR,1910.0,53.13,245 PARK AVENUE SOUTH,317.22,1-00878-0004,14.07,170000,70182000,20388000,53.86,1940,193,GRAMERCY,145299
1-00744-0003,13.36,25.0,508065,159673,1-00771-0004,C4  -WALK-UP,1910.0,53.78,237 9 AVENUE,321.77,1-00741-0001,16.79,37887,4469000,3880000,49.67,1910,62,CHELSEA,12197
1-00771-0065,18.48,19.0,294776,274278,1-00772-0016,D1  -ELEVATOR,1920.0,40.63,220 WEST 21 STREET,238.73,1-00797-0074,10.64,19470,14676000,6278000,48.64,1920,23,CHELSEA,41423
1-01170-0023,14.05,24.0,786902,1446317,1-01150-0051,D3  -ELEVATOR,1926.0,48.52,120 WEST 79 STREET,291.64,1-01185-0030,12.61,62403,2520000,26495000,47.79,1926,40,UPPER WEST SIDE (59-79),11700
1-00888-0037,14.13,311.0,1744087,1270279,1-00913-0001,D7  -ELEVATOR,1972.0,42.93,184 LEXINGTON AVENUE,242.75,1-00892-0001,13.04,133749,29669000,39506000,42.85,1984,140,MURRAY HILL,115221
1-01065-0033,13.04,15.0,103277,120000,1-01060-0104,C7  -WALK-UP,1900.0,44.53,886 10 AVENUE,258.21,1-01062-0034,12.22,7920,3381000,3650000,44.84,1910,12,CLINTON,8592
1-01211-0029,,,754568,250746,,D6  -ELEVATOR,,48.76,465 COLUMBUS AVENUE,266.52,1-01228-0013,12.99,47487,13137000,5644000,,1988,62,UPPER WEST SIDE (79-96),45640
1-00872-0053,9.18,28.0,88742,126112,1-00901-0045,C5  -WALK-UP,1920.0,53.54,222 EAST 21 STREET,338.2,1-00871-0050,13.31,7670,2696000,3302000,48.82,1920,13,GRAMERCY,6718
1-00564-0036,13.65,49.0,878845,303479,1-00558-0010,D5  -ELEVATOR,1930.0,46.0,110 EAST 13 STREET,278.24,1-00564-0004,11.74,74859,9230000,7738000,45.56,1900,21,GREENWICH VILLAGE-CENTRAL,43395
1-01129-0045,,,996529,3184974,,D6  -ELEVATOR,,50.58,177 EAST 75 STREET,271.9,1-00016-0221,17.05,58723,64777000,44200000,,1962,31,UPPER WEST SIDE (59-79),244617
1-00910-0014,16.66,24.0,1009954,840698,1-00914-0010,D3  -ELEVATOR,1930.0,50.29,207 EAST 30 STREET,274.99,1-00885-0066,17.55,55737,9381000,15723000,52.04,1985,113,MURRAY HILL,28240
1-00745-0012,11.74,20.0,114289,59352,1-00770-0029,C1  -WALK-UP,1901.0,48.94,306 WEST 22 STREET,301.28,1-00745-0020,11.88,9735,2426000,2334000,48.84,1920,20,CHELSEA,9690
1-00791-0062,13.1,48.0,424230,413128,1-00792-0012,D1  -ELEVATOR,1940.0,41.02,114 WEST 16 STREET,236.17,1-00797-0074,12.62,32384,14676000,6255000,42.18,1939,42,CHELSEA,41423
1-00846-0064,,,550732,373900,,D7  -ELEVATOR,,51.4,31 WEST 17 STREET,286.24,1-00826-0056,13.47,36400,3282000,8330000,,2005,11,FLATIRON,10750
1-01067-0022,11.32,69.0,410357,366185,1-01117-0014,D7  -ELEVATOR,1904.0,45.41,814 10 AVENUE,232.33,1-01056-0019,14.53,24426,7323000,6320000,47.15,1920,42,CLINTON,29308
1-00891-0001,12.36,11.0,336870,562889,1-00915-0056,D6  -ELEVATOR,1920.0,45.9,156 EAST 37 STREET,262.91,1-00888-0031,13.53,24898,15825000,7628000,45.76,1924,17,MURRAY HILL,62188
1-00397-0025,13.56,17.0,180275,337297,1-00392-0022,C4  -WALK-UP,1900.0,33.75,181 EAST 2 STREET,168.81,1-00392-0048,12.87,13524,8925000,1973000,34.56,1910,23,ALPHABET CITY,43871
1-00892-0080,,,274381,212759,,D1  -ELEVATOR,,52.36,217 EAST 33 STREET,263.41,1-01321-0038,13.53,14912,4183000,5617000,,1930,29,MURRAY HILL,15402
1-01203-0001,,,2582107,3449899,,D1  -ELEVATOR,,20.42,721 COLUMBUS AVENUE,77.49,1-01206-0001,11.19,224531,20345000,21852000,,1969,190,UPPER WEST SIDE (79-96),244841
1-00884-0027,16.75,12.0,415233,515221,1-00911-0028,D1  -ELEVATOR,1917.0,48.72,221 EAST 33 STREET,277.84,1-00915-0056,14.51,28617,2657000,10386000,48.87,1900,37,MURRAY HILL,9342
1-00614-0037,12.76,32.0,178232,219778,1-00620-0068,C1  -WALK-UP,1900.0,41.43,33 BANK STREET,322.31,1-00624-0059,10.55,13968,4026000,5224000,52.45,1915,20,GREENWICH VILLAGE-WEST,10440
1-00514-0010,19.18,40.0,665415,385956,1-00504-0019,D5  -ELEVATOR,1910.0,43.31,508 BROOME STREET,237.23,1-00501-0006,17.87,40500,10328000,6124000,45.64,1900,15,SOHO,20670
1-00603-0037,17.78,20.0,1145095,1998751,1-00134-0011,D5  -ELEVATOR,1930.0,52.19,80 VARICK STREET,311.54,1-00016-0221,15.96,81040,64777000,17950000,53.84,1920,40,GREENWICH VILLAGE-WEST,244617
1-00584-0018,18.56,52.0,204822,266008,1-00592-0082,D1  -ELEVATOR,1924.0,47.08,84 GROVE STREET,267.06,1-00592-0046,16.22,13484,5752000,3960000,48.08,1885,19,GREENWICH VILLAGE-WEST,16500
1-01126-0042,18.71,14.0,193713,142812,1-01185-0030,D1  -ELEVATOR,1925.0,54.38,9 WEST 73 STREET,288.38,1-01124-0013,17.2,10174,4942000,2321000,55.58,1900,12,UPPER WEST SIDE (59-79),20700
1-00641-0052,11.48,62.0,386292,471825,1-00634-0047,D5  -ELEVATOR,1965.0,45.23,123 BANK STREET,263.96,1-00642-0004,12.73,30345,36000000,14265000,45.33,1930,14,GREENWICH VILLAGE-WEST,85030
1-00373-0021,18.54,128.0,243900,1988648,1-00336-0005,D1  -ELEVATOR,1982.0,43.44,50 NORFOLK STREET,235.66,1-00421-0044,14.42,16914,1933000,9941000,50.11,1982,18,ALPHABET CITY,38880
1-00520-0029,14.44,59.0,615597,314391,1-00590-0022,D7  -ELEVATOR,1920.0,49.65,423 WEST BROADWAY,273.01,1-00488-0037,15.21,47100,6124000,10328000,46.47,1910,63,SOHO,21598
1-00641-0010,,,638807,513420,,D5  -ELEVATOR,,48.0,133 CHARLES STREET,169.38,1-00629-0051,14.88,50820,2626000,9280000,,1896,50,GREENWICH VILLAGE-WEST,8885
1-00793-0017,13.5,13.0,444751,477480,1-00770-0031,D5  -ELEVATOR,1910.0,53.9,585 AVENUE OF THE AMERICAS,329.25,1-00801-0049,13.84,32322,4538000,6689000,54.95,1920,15,CHELSEA,26027
1-00902-0009,9.88,27.0,214646,434009,1-00901-0054,D3  -ELEVATOR,1925.0,42.62,220 EAST 24 STREET,268.6,1-00906-0011,9.55,22476,6775000,19504000,43.71,1985,40,GRAMERCY,22430
1-00818-0058,15.9,245.0,442714,406377,1-00816-0007,D7  -ELEVATOR,1965.0,49.31,31 WEST 17 STREET,281.58,1-00843-0003,14.64,30240,23833000,8330000,48.01,2005,12,FLATIRON,63255
1-00443-0050,16.46,17.0,167075,145816,1-00446-0033,C7  -WALK-UP,1900.0,46.58,57 1 AVENUE,243.68,1-00446-0026,16.57,10083,3462000,3700000,42.28,1900,25,EAST VILLAGE,10788
1-00475-0028,17.49,20.0,1004500,1962432,1-00134-0011,D5  -ELEVATOR,1930.0,48.25,80 VARICK STREET,227.82,1-00016-0221,15.67,49000,64777000,17950000,49.9,1920,18,SOHO,244617
1-00608-0074,10.15,62.0,360045,169465,1-00634-0047,D1  -ELEVATOR,1965.0,41.84,12 CHARLES STREET,247.72,1-00609-0053,11.34,31750,12104000,7328000,43.0,1905,25,GREENWICH VILLAGE-WEST,34026
1-00763-0077,18.52,37.0,145157,911571,1-01034-0046,C7  -WALK-UP,1920.0,42.1,450 9 AVENUE,218.8,1-01033-0021,16.59,9575,4201000,20885000,41.95,1910,19,FASHION,9203
1-00621-0035,13.54,17.0,169734,169914,1-00634-0067,C7  -WALK-UP,1900.0,65.4,228 WEST 4 STREET,382.31,1-00612-0062,16.28,9270,3948000,4205000,64.14,1905,15,GREENWICH VILLAGE-WEST,9252
1-01119-0050,11.98,27.0,1120557,506526,1-01152-0056,D1  -ELEVATOR,1900.0,52.5,34 WEST 65 STREET,291.64,1-01126-0038,13.43,74013,26865000,8261000,48.5,1939,60,UPPER WEST SIDE (59-79),71890
1-00890-0049,,,1691931,2172001,,D7  -ELEVATOR,,50.28,20 PARK AVENUE,225.88,1-00889-0022,21.44,74798,26177000,26269000,,1939,117,MURRAY HILL,102487
1-00884-0001,14.91,311.0,1705808,447607,1-00913-0001,D5  -ELEVATOR,1972.0,55.24,577 2 AVENUE,324.38,1-00887-0010,14.6,114407,3461000,9754000,54.85,1915,151,MURRAY HILL,13750
1-01211-0013,8.32,11.0,134091,120995,1-01245-0045,C1  -WALK-UP,1900.0,37.89,103 WEST 80 STREET,231.21,1-01196-0051,8.42,14100,2458000,3377000,38.73,1900,20,UPPER WEST SIDE (79-96),11540
1-00519-0014,17.07,40.0,596008,330720,1-00504-0019,D7  -ELEVATOR,1910.0,46.47,423 WEST BROADWAY,260.55,1-00488-0037,16.0,43346,6124000,10328000,45.83,1910,58,SOHO,21598
1-00830-0046,15.49,12.0,1078863,2257777,1-00779-0052,D8  -ELEVATOR,1927.0,45.41,35 WEST 33 STREET,247.54,1-00833-0075,14.1,69649,29244000,37894000,45.97,2002,24,FASHION,62612
1-00891-0059,,,692461,414190,,D5  -ELEVATOR,,48.62,577 2 AVENUE,265.96,1-00860-0015,13.51,39100,14806000,9754000,,1915,38,MURRAY HILL,32917
1-00543-0052,15.42,12.0,183241,207630,1-00552-0070,C7  -WALK-UP,1900.0,51.14,199 BLEECKER STREET,300.0,1-00525-0021,15.24,13070,11855000,4134000,50.46,1932,12,GREENWICH VILLAGE-CENTRAL,29559
1-01058-0027,10.01,15.0,154923,84671,1-01056-0046,C4  -WALK-UP,1910.0,27.42,439 WEST 48 STREET,129.6,1-01056-0058,10.37,12315,1894000,1122000,28.59,1901,17,CLINTON,11235
1-00583-0029,6.74,62.0,322482,110700,1-00634-0047,D1  -ELEVATOR,1965.0,36.26,84 GROVE STREET,255.9,1-00588-0071,6.75,47846,17791000,3960000,38.25,1885,25,GREENWICH VILLAGE-WEST,31460
1-00517-0008,15.89,42.0,149890,291800,1-00502-0006,C7  -WALK-UP,1900.0,57.13,195 SPRING STREET,340.51,1-00519-0030,16.68,9433,6401000,4527000,57.82,1900,22,SOHO,11717
1-00449-0002,,,306656,136749,,C7  -WALK-UP,,49.59,174 2 AVENUE,248.85,1-00463-0013,11.34,16251,5477000,4899000,,1900,13,EAST VILLAGE,12080
1-00482-0001,16.07,26.0,721395,399799,1-00445-0004,D9  -ELEVATOR,1900.0,56.65,202 AVENUE OF THE AMERICAS,273.3,1-00459-0029,18.39,31365,3953000,8541000,56.66,1910,17,SOHO,45426
1-00740-0047,,,137350,1048335,,C7  -WALK-UP,,39.13,177 8 AVENUE,241.76,1-00792-0043,13.49,12475,2954000,23092000,,1925,18,CHELSEA,9300
1-00526-0023,,,212908,229063,,C7  -WALK-UP,,65.5,190 BLEECKER STREET,376.36,1-00542-0061,19.45,11343,3255000,5445000,,1900,23,GREENWICH VILLAGE-CENTRAL,9190
1-00847-0038,15.63,87.0,1669925,1869526,1-00850-0064,D6  -ELEVATOR,1911.0,51.08,268 PARK AVENUE SOUTH,301.11,1-00843-0003,17.09,106841,23833000,33462000,52.38,1927,54,FLATIRON,63255
1-00776-0065,18.26,13.0,1266084,2711688,1-00801-0049,D6  -ELEVATOR,1907.0,42.98,208 WEST 23 STREET,210.83,1-00722-0043,17.8,66636,12059000,46866000,45.13,1927,82,CHELSEA,30500
1-01067-0028,11.63,53.0,502927,1838359,1-01067-0052,D1  -ELEVATOR,1926.0,37.76,410 WEST 53 STREET,223.74,1-01067-0018,11.04,43809,6869000,55785000,39.78,1987,48,CLINTON,39210
1-00741-0041,13.92,19.0,107646,203773,1-00741-0002,C7  -WALK-UP,1910.0,53.88,228 WEST 18 STREET,325.97,1-00764-0061,14.33,7700,7591000,5499000,55.99,1915,17,CHELSEA,23112
1-00584-0061,14.75,52.0,363366,203524,1-00592-0082,D1  -ELEVATOR,1924.0,47.2,84 GROVE STREET,271.65,1-00592-0046,12.41,24635,5752000,3960000,48.2,1885,36,GREENWICH VILLAGE-WEST,16500
1-00354-0031,9.88,19.0,193468,126559,1-00413-0004,C7  -WALK-UP,1909.0,20.03,129 RIVINGTON STREET,83.23,1-00286-0001,8.73,19405,1699000,1200000,20.78,1930,24,LOWER EAST SIDE,10980
1-00551-0001,14.94,35.0,8573435,2081642,1-00574-0005,D6  -ELEVATOR,1902.0,48.74,20 5 AVENUE,244.05,1-00553-0041,15.72,469263,6608000,44096000,44.18,1940,350,GREENWICH VILLAGE-CENTRAL,37939
1-00389-0030,12.5,12.0,109000,113083,1-00407-0046,C1  -WALK-UP,1900.0,41.25,509 EAST 12 STREET,223.17,1-00379-0010,13.37,8720,1443000,3431000,39.98,1900,12,ALPHABET CITY,8883
1-00860-0027,,,867153,1363350,,D7  -ELEVATOR,,50.84,31 EAST 31 STREET,240.22,1-00886-0058,14.9,41670,2601000,24020000,,1914,44,MURRAY HILL,21236
1-01147-0059,13.53,12.0,391978,1635565,1-01126-0026,D3  -ELEVATOR,1900.0,41.93,120 WEST 79 STREET,224.16,1-01126-0038,14.26,28971,26865000,26495000,41.13,1926,22,UPPER WEST SIDE (59-79),71890
1-01184-0019,15.74,72.0,3276012,3921922,1-01492-0036,D6  -ELEVATOR,1962.0,47.87,135 CENTRAL PARK WEST,254.1,1-01491-0004,18.05,203479,54799000,82036000,47.39,1906,81,UPPER WEST SIDE (59-79),102053
1-00857-0018,16.87,12.0,2072000,8436225,1-00823-0047,D8  -ELEVATOR,1904.0,48.93,776 AVENUE OF THE AMERICAS,278.52,1-00850-0039,18.56,140000,33462000,165343000,50.1,2000,138,FLATIRON,109393
1-00626-0050,13.83,49.0,127098,116269,1-00641-0044,C4  -WALK-UP,1900.0,49.82,47 JANE STREET,302.07,1-00626-0051,12.7,9190,4830000,3322000,51.03,1901,18,GREENWICH VILLAGE-WEST,8965
1-01207-0006,10.91,45.0,313815,92118,1-01253-0035,D3  -ELEVATOR,1925.0,32.85,4 WEST 90 STREET,174.7,1-01200-0043,11.88,28764,4210000,2031000,32.42,1930,42,UPPER WEST SIDE (79-96),17046
1-01064-0057,14.0,32.0,133000,148796,1-01066-0005,C4  -WALK-UP,1920.0,48.25,441 WEST 56 STREET,271.89,1-01066-0021,15.88,9500,1112000,2495000,47.48,1910,20,CLINTON,8550
1-00406-0040,,,141353,109827,,C7  -WALK-UP,,25.67,129 AVENUE D,120.2,1-00404-0004,10.54,12030,7518000,2180000,,1910,16,ALPHABET CITY,15162
1-00555-0011,14.88,486.0,535918,326744,1-00548-0070,D5  -ELEVATOR,1976.0,45.13,110 EAST 13 STREET,258.55,1-00545-0059,12.64,36016,62127000,7738000,44.59,1900,15,GREENWICH VILLAGE-CENTRAL,147773
1-00791-0001,12.91,170.0,1596856,1001520,1-00791-0036,D9  -ELEVATOR,1974.0,49.29,91 7 AVENUE,297.08,1-00765-0035,16.05,126134,33412000,20408000,48.29,1920,65,CHELSEA,128350
1-00772-0067,21.66,13.0,473177,3809927,1-00801-0049,D9  -ELEVATOR,1907.0,49.37,229 7 AVENUE,253.79,1-00802-0001,17.96,24378,6946000,84075000,52.45,1987,19,CHELSEA,25144
1-00568-0024,14.43,47.0,826904,637907,1-00573-0019,D8  -ELEVATOR,1917.0,54.84,107 UNIVERSITY PLACE,326.0,1-00574-0005,14.7,56252,15976000,9230000,56.97,1940,62,GREENWICH VILLAGE-CENTRAL,41296
1-00849-0055,7.29,22.0,349648,1166129,1-00844-0019,D6  -ELEVATOR,1900.0,46.54,268 PARK AVENUE SOUTH,291.4,1-00850-0064,10.66,32800,31451000,33462000,46.29,1927,14,FLATIRON,78646
1-00640-0064,10.74,19.0,135559,204761,1-00633-0060,C1  -WALK-UP,1900.0,40.55,26 HORATIO STREET,239.71,1-00624-0059,11.03,12290,4026000,3641000,39.63,1904,18,GREENWICH VILLAGE-WEST,10440
1-00419-0040,7.17,40.0,147250,85967,1-00298-0015,C7  -WALK-UP,1900.0,22.51,129 RIVINGTON STREET,127.27,1-00413-0004,5.93,20798,2249000,1200000,25.61,1930,31,LOWER EAST SIDE,12000
1-00529-0057,14.44,180.0,393818,7673740,1-00545-0059,D6  -ELEVATOR,1909.0,49.37,300 MERCER STREET,273.67,1-00530-0038,15.67,25132,4574000,181224000,49.05,1976,13,GREENWICH VILLAGE-CENTRAL,22448
1-00436-0057,18.33,20.0,273300,178396,1-00435-0028,C1  -WALK-UP,1900.0,47.15,416 EAST 9 STREET,228.13,1-00437-0044,19.09,15000,3426000,3502000,43.64,1900,25,EAST VILLAGE,9410
1-00620-0066,17.36,20.0,128013,200831,1-00620-0037,C1  -WALK-UP,1920.0,56.33,207 WEST 10 STREET,302.96,1-00621-0058,15.03,7100,6157000,7194000,55.07,1905,15,GREENWICH VILLAGE-WEST,23296
1-00405-0051,13.66,50.0,149460,295390,1-00397-0022,C4  -WALK-UP,1910.0,33.13,374 EAST 10 STREET,150.78,1-00392-0048,14.34,10585,8925000,4696000,32.32,1900,12,ALPHABET CITY,43871
1-01162-0020,13.04,24.0,292328,99406,1-01184-0002,D1  -ELEVATOR,1963.0,53.21,317 WEST 74 STREET,327.23,1-01154-0202,12.92,22626,12097000,2044000,53.33,1920,42,UPPER WEST SIDE (59-79),42102
1-01197-0052,11.24,37.0,407619,1180758,1-01211-0052,D3  -ELEVATOR,1930.0,31.09,144 WEST 86 STREET,157.56,1-01200-0043,12.23,36265,4210000,15905000,30.64,1929,28,UPPER WEST SIDE (79-96),17046
1-00376-0005,,,164287,309150,,C7  -WALK-UP,,29.74,195 AVENUE B,143.11,1-00353-0024,11.45,15086,1200000,5490000,,1910,24,ALPHABET CITY,14497
1-00909-0045,19.2,311.0,279840,2409362,1-00913-0001,D6  -ELEVATOR,1972.0,54.14,226 EAST 30 STREET,265.25,1-00884-0048,22.02,14575,34532000,37141000,51.86,1989,11,MURRAY HILL,137628
1-00740-0049,17.57,15.0,148079,156330,1-00740-0011,C4  -WALK-UP,1900.0,53.2,340 WEST 17 STREET,291.03,1-00741-0060,17.37,8525,4018000,3821000,50.36,1910,15,CHELSEA,9864
1-00619-0038,16.4,17.0,97073,186718,1-00590-0029,C7  -WALK-UP,1920.0,55.73,228 WEST 4 STREET,330.39,1-00634-0067,17.89,6450,4356000,4205000,56.08,1905,12,GREENWICH VILLAGE-WEST,8902
1-01145-0061,11.82,96.0,1413177,1780133,1-01144-0001,D7  -ELEVATOR,1906.0,46.8,50 WEST 72 STREET,279.54,1-01144-0061,12.38,114150,35714000,32059000,46.61,1927,156,UPPER WEST SIDE (59-79),110770
1-00517-0005,17.43,24.0,141162,281662,1-00519-0026,C1  -WALK-UP,1920.0,56.5,104 SULLIVAN STREET,336.78,1-00519-0028,15.03,9392,3805000,6246000,54.85,1910,20,SOHO,11826
1-00775-0060,9.22,13.0,988769,339193,1-00770-0031,D5  -ELEVATOR,1910.0,47.51,283 7 AVENUE,212.12,1-00802-0006,13.49,86280,4595000,6946000,37.58,1920,43,CHELSEA,24254
1-00832-0039,13.01,12.0,555384,1860664,1-00779-0052,D8  -ELEVATOR,1927.0,51.4,35 WEST 33 STREET,316.33,1-00833-0075,11.62,42689,29244000,37894000,51.96,2002,41,FASHION,62612
1-00440-0031,13.2,12.0,156312,156164,1-00451-0051,C7  -WALK-UP,1900.0,35.81,174 2 AVENUE,161.83,1-00435-0030,12.95,10400,4031000,4899000,34.96,1900,15,EAST VILLAGE,10038
1-00916-0023,20.48,132.0,1618136,1403099,1-00891-0039,D6  -ELEVATOR,1955.0,47.33,15 PARK AVENUE,224.16,1-00912-0036,19.73,82014,9754000,26491000,50.72,1924,117,MURRAY HILL,30658
1-00344-0154,8.55,18.0,127708,98725,1-00348-0004,C7  -WALK-UP,1920.0,17.92,129 RIVINGTON STREET,82.76,1-00415-0012,6.81,18753,2559000,1200000,28.88,1930,21,LOWER EAST SIDE,32786
1-00144-0023,12.54,86.0,351482,155810,1-00506-0016,D1  -ELEVATOR,1920.0,43.12,160 MOTT STREET,249.06,1-00504-0036,13.02,30222,11997000,2663000,41.83,1910,12,TRIBECA,33750
1-00573-0075,,,772724,686075,,D8  -ELEVATOR,,42.0,107 UNIVERSITY PLACE,230.24,1-00576-0076,15.81,56527,9369000,9230000,,1940,61,GREENWICH VILLAGE-CENTRAL,37824
1-00421-0075,9.33,50.0,177395,429497,1-00397-0022,C1  -WALK-UP,1910.0,24.46,627 EAST 9 STREET,116.34,1-00392-0022,9.79,18120,4696000,8925000,24.1,1900,24,LOWER EAST SIDE,20599
1-01121-0008,5.52,20.0,75356,41920,1-01122-0008,C5  -WALK-UP,1910.0,39.35,67 WEST 68 STREET,260.52,1-01122-0026,5.43,11197,2149000,2760000,37.5,1910,16,UPPER WEST SIDE (59-79),8580
1-00642-0045,18.31,17.0,148769,216970,1-00622-0067,C4  -WALK-UP,1901.0,50.44,82 JANE STREET,266.34,1-00626-0051,14.78,8125,4830000,5362000,51.1,1900,20,GREENWICH VILLAGE-WEST,8965
1-00574-0010,14.66,20.0,64504,69078,1-00552-0014,C5  -WALK-UP,1900.0,44.72,43 WEST 9 STREET,255.23,1-00573-0009,12.97,4400,2485000,2152000,46.1,1900,11,GREENWICH VILLAGE-CENTRAL,9135
1-01045-0051,13.86,38.0,944828,574335,1-01041-0038,D5  -ELEVATOR,1945.0,43.39,369 WEST 52 STREET,237.64,1-01036-0054,15.51,65750,5775000,11335000,44.6,1940,56,MIDTOWN WEST,32520
1-00539-0008,14.6,23.0,139868,427598,1-00540-0033,C5  -WALK-UP,1900.0,58.11,224 SULLIVAN STREET,329.23,1-00552-0014,16.06,9580,1961000,12872000,55.14,1900,21,GREENWICH VILLAGE-CENTRAL,4460
1-00495-0002,,,943289,249152,,D9  -ELEVATOR,,50.35,212 GRAND STREET,264.76,1-00459-0029,17.52,54431,3953000,3977000,,1920,22,LITTLE ITALY,45426
1-00387-0044,15.38,128.0,230380,1552855,1-00336-0005,D1  -ELEVATOR,1982.0,24.53,50 NORFOLK STREET,105.28,1-00421-0044,11.26,20460,1933000,9941000,31.2,1982,36,ALPHABET CITY,38880
1-00416-0055,,,215076,288301,,C7  -WALK-UP,,59.62,94 RIVINGTON STREET,272.07,1-00416-0032,17.12,8928,5702000,5809000,,1920,12,LOWER EAST SIDE,16306
1-00609-0001,9.85,162.0,1658720,456228,1-00618-0033,D8  -ELEVATOR,1931.0,42.14,30 GREENWICH AVENUE,238.77,1-00617-0021,12.09,137882,15384000,13373000,40.79,1920,139,GREENWICH VILLAGE-WEST,43280
1-00299-0027,7.51,24.0,92561,184247,1-00418-0037,C7  -WALK-UP,1900.0,42.87,19 PIKE STREET,292.17,1-00308-0021,9.73,12325,1981000,3339000,43.48,1910,16,LOWER EAST SIDE,9478
1-01169-0037,,,925303,493823,,D3  -ELEVATOR,,42.48,115 WEST 71 STREET,219.42,1-01182-0029,13.58,56147,9415000,8121000,,1913,38,UPPER WEST SIDE (59-79),44838
1-00638-0019,,,1500678,179556,,C1  -WALK-UP,,24.88,200 WAVERLY PLACE,94.82,1-00622-0067,10.46,118350,4914000,9997000,,1900,100,GREENWICH VILLAGE-WEST,9050
1-01163-0001,13.02,38.0,1631198,155397,1-01143-0027,D1  -ELEVATOR,1913.0,36.65,312 WEST 73 STREET,206.77,1-01162-0005,11.08,125284,5124000,3433000,38.48,1920,102,UPPER WEST SIDE (59-79),25266
1-00877-0084,15.04,46.0,1056592,2157690,1-00875-0003,D6  -ELEVATOR,1911.0,47.82,295 PARK AVENUE SOUTH,267.77,1-00879-0017,14.85,71151,16901000,70182000,49.14,1900,94,GRAMERCY,56670
1-00745-0019,15.57,15.0,93536,63149,1-00771-0033,C1  -WALK-UP,1901.0,45.46,306 WEST 22 STREET,266.49,1-00745-0029,12.64,7400,2025000,2334000,47.71,1920,11,CHELSEA,9250
1-01206-0032,12.84,11.0,389100,1729710,1-01203-0038,D3  -ELEVATOR,1930.0,34.3,295 CENTRAL PARK WEST,182.0,1-01198-0029,11.89,32725,45249000,29337000,34.74,1941,20,UPPER WEST SIDE (79-96),253749
1-00748-0001,13.18,210.0,10478004,4967340,1-00760-0068,D8  -ELEVATOR,2008.0,35.92,312 11 AVENUE,187.61,1-00858-0008,12.82,817317,152830000,111698000,34.17,2008,763,CHELSEA,407555
1-00520-0056,15.61,13.0,161960,122712,1-00520-0045,C1  -WALK-UP,1920.0,43.51,67 SULLIVAN STREET,225.61,1-00489-0005,13.47,9924,1734000,1656000,44.37,1900,13,SOHO,9110
1-01007-0054,,,1527120,1358119,,D7  -ELEVATOR,,47.93,841 7 AVENUE,229.35,1-01008-0026,15.92,75600,14973000,22826000,,1923,61,MIDTOWN WEST,54838
1-00471-0031,10.48,19.0,142816,139560,1-00353-0024,C7  -WALK-UP,1930.0,48.14,112 ELDRIDGE STREET,296.5,1-00298-0015,11.63,12280,3747000,2249000,47.38,1909,20,LITTLE ITALY,22722
