centername,violationratepercent,inspectiondate,datepermitted
Making A Difference For The Future Inc.,,,
"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC",25.0,2021-12-13T00:00:00.000,2012-10-25T00:00:00.000
"JACKSON CHILD DEVELOPMENT CENTER, INC.",20.0,2022-04-26T00:00:00.000,2004-02-02T00:00:00.000
"BRIGHT HORIZONS CHILDREN'S CENTERS,  INC.",0.0,2022-04-14T00:00:00.000,2004-03-04T00:00:00.000
"HAPPY DRAGON OF NEW YORK, INC.",0.0,2020-07-23T00:00:00.000,2010-03-22T00:00:00.000
Razi School,33.3333,2023-02-01T00:00:00.000,
PARSONS PRESCHOOL,0.0,2022-05-20T00:00:00.000,2015-09-02T00:00:00.000
ST. MARGARET MARY SCHOOL,100.0,2021-12-16T00:00:00.000,
BRIGHT HORIZONS CHILDREN'S CENTERS,0.0,2021-10-14T00:00:00.000,2014-10-31T00:00:00.000
LITTLE BERRIES INC,40.0,2023-04-20T00:00:00.000,2011-06-20T00:00:00.000
Kinder Prep Childcare 2 Inc.,0.0,2023-02-17T00:00:00.000,2021-12-03T12:56:36.000
BROOKLYN ARCHDIOCESE,50.0,2021-11-17T00:00:00.000,
Laurelton Child Care Inc.,20.0,2021-09-20T00:00:00.000,2004-03-15T00:00:00.000
SUMMER OF ARTS AND SPORTS,0.0,2020-08-11T00:00:00.000,2019-06-21T15:19:42.000
Ebenezer Preparatory School /Ebenezer Preparatory School,0.0,2022-09-29T00:00:00.000,
Babove Worldwide Institute,50.0,2022-05-26T00:00:00.000,2022-08-11T11:39:07.000
RAVEN DAY CARE,66.6667,2023-03-30T00:00:00.000,
OUR LADY OF PERPETUAL HELP CATHOLIC ACADEMY OF BROOKLYN,0.0,2022-12-22T00:00:00.000,
WILLIAMSBURG MONTESSORI,100.0,2022-02-09T00:00:00.000,
PACCOR KIDS,50.0,2022-09-27T00:00:00.000,2004-12-17T00:00:00.000
LITTLE FRIENDS SCHOOL SUNNYSIDE INC,20.0,2022-02-15T00:00:00.000,2018-02-08T11:06:28.000
ST. HELENA SCHOOL,50.0,2021-12-10T00:00:00.000,
BRIGHT HORIZONS CHILDREN'S CENTERS,0.0,2020-12-29T00:00:00.000,2014-10-31T00:00:00.000
THE ROCHDALE EARLY ADVANTAGE PRESCHOOL,66.6667,2021-11-10T00:00:00.000,
WE R EXPLORERS LLC,0.0,2021-03-02T00:00:00.000,2017-05-11T18:44:12.000
BNOSMENACHEM,0.0,2022-11-23T00:00:00.000,
STREAM ACADEMY BY THE BAY,50.0,2023-03-03T00:00:00.000,
BNOS SPINKA BOYS SCHOOL,,,
CITG SUMMER PROGRAM,0.0,2022-07-20T00:00:00.000,2013-07-01T00:00:00.000
BUSHWICK UNITED EARLY LEARN,0.0,2022-10-04T00:00:00.000,2019-02-13T10:53:38.000
LITTLE SUNSHINE CENTER,20.0,2022-06-15T00:00:00.000,2019-03-19T12:43:51.000
"BOOKS & RATTLES, INC.",50.0,2023-03-15T00:00:00.000,2005-04-24T00:00:00.000
"BATTERY PARK CITY DAY NURSERY, INC.",0.0,2021-03-05T00:00:00.000,2004-06-04T00:00:00.000
BSDC INC,0.0,2022-11-30T00:00:00.000,2022-10-03T09:35:24.000
"EAST CALVARY DAY CARE CENTER, INC.",25.0,2022-11-21T00:00:00.000,2004-12-01T00:00:00.000
"A HOUSE ON BEEKMAN, INC.",28.5714,2023-03-01T00:00:00.000,2015-01-14T00:00:00.000
Talmud Torah of Kasho,,2021-04-06T00:00:00.000,
"LITTLE SCHOLARS EARLY DEVELOPMENT CENTER, LLC",80.0,2022-05-06T00:00:00.000,2019-05-23T14:40:42.000
ASIAN AMERICAN COALITION FOR EDUCATION,60.0,2022-06-01T00:00:00.000,2021-07-29T12:00:30.000
SAINT STANISLAUS KOSTKA CATHOLIC ACADEMY,100.0,2021-11-09T00:00:00.000,
"NORTHEAST BRONX DAY CARE CENTER,INC.",20.0,2023-01-19T00:00:00.000,2008-12-01T00:00:00.000
CC,25.0,2022-06-02T00:00:00.000,2009-08-17T00:00:00.000
HEARTSHARE HUMAN SERVICES OF NEW YORK,50.0,2022-09-09T00:00:00.000,2008-03-24T00:00:00.000
JOY DAYCARE INC.,50.0,2023-03-24T00:00:00.000,2018-10-17T14:44:02.000
"A TO Z CENTER TOO, INC.",25.0,2022-09-08T00:00:00.000,2006-06-20T00:00:00.000
"NICHOLAS CARDELL DAY CARE CENTER, INC.",0.0,2022-05-16T00:00:00.000,2003-09-11T00:00:00.000
EINSTEIN DAYCARE INC.,0.0,2021-07-01T00:00:00.000,2016-02-25T16:23:38.000
"OUR CHILDREN FIRST, INC",80.0,2021-05-06T00:00:00.000,2019-03-29T09:16:32.000
"BEGINNINGS NURSERY SCHOOL, INC.",20.0,2023-01-05T00:00:00.000,2011-11-30T00:00:00.000
"KOG INDUSTRIES, INC.",50.0,2021-09-15T00:00:00.000,2005-01-18T00:00:00.000
OUR LjTTLE ANGELS CORP,33.3333,2021-01-27T00:00:00.000,2005-03-16T00:00:00.000
CDP,50.0,2023-01-25T00:00:00.000,2004-10-01T00:00:00.000
FUNDAY DAYCARE CENTER INC.,14.2857,2021-12-10T00:00:00.000,2014-06-09T00:00:00.000
SUNSHINE DAY CARE,0.0,2023-04-04T00:00:00.000,2011-12-06T00:00:00.000
ASSOCIATION TO BENEFIT CHILDREN,50.0,2021-06-08T00:00:00.000,2003-07-11T00:00:00.000
"SMALL WONDER PRESCHOOL,INC.",40.0,2021-11-23T00:00:00.000,1989-06-20T00:00:00.000
YOUNG RISERS INFANT-TODDLER PROGRAM,20.0,2021-03-17T00:00:00.000,2017-03-21T10:54:26.000
SHOSTAKOVICH SCHOOL,0.0,2022-03-03T00:00:00.000,2004-11-10T00:00:00.000
BRIGHT HORIZONS CHILDREN'S CENTER,60.0,2021-02-08T00:00:00.000,2006-09-28T00:00:00.000
STRONG PLACE FOR HOPE DAY CARE,16.6667,2021-07-21T00:00:00.000,2012-09-27T00:00:00.000
ADAPT COMMUNITY NETWORK/ HARRY H. GORDON SCHOOL,60.0,2023-04-20T00:00:00.000,2020-09-09T10:33:06.000
WAKE EDEN COMMUNITY BAPTIST CHURCH,0.0,2022-10-26T00:00:00.000,2004-12-15T00:00:00.000
THE SHIELD INSTITUTE,83.3333,2023-01-23T00:00:00.000,1985-04-08T00:00:00.000
"TUTOR TIME LEARNING CENTER, LLC",0.0,2021-06-03T00:00:00.000,2004-06-28T00:00:00.000
CHILDREN OF AMERICA QUEENS,,2022-07-11T00:00:00.000,2016-08-23T14:36:55.000
"BILINGUAL NEST, LLC",16.6667,2022-12-14T00:00:00.000,2017-09-14T19:07:39.000
82ND STREET ACADEMICS,0.0,2022-10-12T00:00:00.000,2004-07-18T00:00:00.000
TALMUD TORAH DNITRA,100.0,2021-11-04T00:00:00.000,
"URBAN CONCEPTS OF NEW YORK, ROUND THE CLOCK NURSERY, INC",,2021-12-02T00:00:00.000,2002-07-09T00:00:00.000
STEPPING STONES,0.0,2022-06-08T00:00:00.000,2004-06-25T00:00:00.000
"KID KRAZY, INC.",0.0,2022-01-19T00:00:00.000,2003-12-16T00:00:00.000
STEPPING STONES,0.0,2021-07-28T00:00:00.000,2020-07-14T15:42:11.000
BEANSPROUTS DAY CAMP,0.0,2020-07-10T00:00:00.000,2015-04-28T00:00:00.000
"SPUYTEN DUYVIL PRESCHOOL, INC.",0.0,2023-04-05T00:00:00.000,2004-04-01T00:00:00.000
MOST HOLY REDEEMER CATHOLIC ACADEMY,100.0,2022-06-23T00:00:00.000,
EIS LAASOIS CHILD DEVELOPMENT SERVICES,33.3333,2022-07-28T00:00:00.000,2021-03-31T10:04:04.000
BUILDING BLOCKS LAND,0.0,2021-12-03T00:00:00.000,2013-03-20T00:00:00.000
AIM HIGH CHILDREN'S SERVICES,50.0,2020-09-29T00:00:00.000,2014-09-16T00:00:00.000
MARC  ACADEMY AND FAMILY CENTER,50.0,2023-03-15T00:00:00.000,2016-10-18T12:00:17.000
VIP - VERY IMPORTANT PEOPLE II DAY CARE CENTER,0.0,2023-01-03T00:00:00.000,2007-03-02T00:00:00.000
SEMILLITAS CORP.,50.0,2023-04-21T00:00:00.000,2002-02-25T00:00:00.000
LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,66.6667,2022-11-01T00:00:00.000,2022-04-29T11:13:50.000
ALTSCHOOL PRESCHOOL,100.0,2021-06-02T00:00:00.000,
"3467 READY, SET,  LEARN L L C",,2022-03-25T00:00:00.000,2010-08-11T00:00:00.000
SHINING SMILES DAYCARE 1 INC.,33.3333,2023-03-23T00:00:00.000,2019-07-09T08:27:07.000
Kochavim Ktanim Child Care Inc,50.0,2022-02-16T00:00:00.000,2018-07-19T13:51:22.000
BEANSTALK CHILD CARE ACADEMY,50.0,2022-09-20T00:00:00.000,2019-06-13T10:38:04.000
"JEWISH COMMUNITY CENTER OF STATEN ISLAND, INC.",33.3333,2021-08-04T00:00:00.000,2018-08-29T12:31:22.000
AHI EZER EARLY CHILDHOOD CORP.,0.0,2022-06-16T00:00:00.000,2017-08-29T08:13:52.000
EIS LAASOIS CHILD DEVELOPMENT SERVICES,33.3333,2022-07-14T00:00:00.000,2021-03-31T10:04:04.000
"JACKSON CHILD DEVELOPMENT CENTER, INC.",20.0,2022-04-26T00:00:00.000,2004-02-02T00:00:00.000
THE CHILDREN'S AID SOCIETY,0.0,2023-03-08T00:00:00.000,2002-12-05T00:00:00.000
ST. HELENA SCHOOL,50.0,2021-12-10T00:00:00.000,
BANK STREET COLLEGE FAMILY CENTER,33.3333,2022-12-14T00:00:00.000,2004-10-07T00:00:00.000
"INNER FORCE TOTS,INC.",20.0,2021-01-28T00:00:00.000,2010-03-22T00:00:00.000
HELEN KELLER SERVICES FOR THE BLIND,33.3333,2021-04-19T00:00:00.000,2018-12-13T14:37:01.000
ABR Prospect LLC,40.0,2022-10-07T00:00:00.000,2021-09-03T15:42:19.000
"INTERNATIONAL PRESCHOOLS, INC.",0.0,2021-09-27T00:00:00.000,2013-09-06T00:00:00.000
BEGINNING STEPS DAY CARE,40.0,2021-03-10T00:00:00.000,2014-05-19T00:00:00.000
KINDER PREP CHILDCARE INC,14.2857,2023-03-27T00:00:00.000,2019-04-09T10:16:51.000
EAST SIDE SETTLEMENT  HOUSE HEAD START/ DAY CARE,100.0,2021-06-23T00:00:00.000,2005-06-06T00:00:00.000
HAWTHORNE CORNERS DAY CARE CENgER INC.,50.0,2021-07-27T00:00:00.000,2004-04-01T00:00:00.000
A KIDS SPACE TO DREAM,100.0,2023-03-07T00:00:00.000,2022-05-19T14:02:14.000
"URBAN CONCEPTS OF NEW YORK ROUND THE CLOCK NURSERY, INC.",20.0,2023-02-24T00:00:00.000,2009-11-17T00:00:00.000
THE CHILD STUDY CENTER OF NEW YORK,0.0,2021-05-19T00:00:00.000,1985-09-14T00:00:00.000
BA,20.0,2021-04-07T00:00:00.000,2019-03-18T16:16:31.000
PERRY KIDS INC.,75.0,2021-11-16T00:00:00.000,2014-09-15T00:00:00.000
THE FOREST HILLS JEWISH CENTER,16.6667,2022-03-10T00:00:00.000,2004-05-03T00:00:00.000
"ELITE KIDS SERVICES, INC",75.0,2022-09-30T00:00:00.000,2013-09-26T00:00:00.000
KIDDIE ACADEMY OF TRIBECA,25.0,2021-03-15T00:00:00.000,2019-09-16T15:55:46.000
"POLICE ATHLETIC LEAGUE, INC.",20.0,2021-09-08T00:00:00.000,2009-09-14T00:00:00.000
"THE EDUCTIONAL ALLIANCE, INC.",0.0,2023-03-28T00:00:00.000,2003-07-18T00:00:00.000
KIDDIE ACADEMY OF WILLIAMSBURG,20.0,2021-12-09T00:00:00.000,2018-05-15T13:36:28.000
Family Health Centers at NYU Langone,0.0,2021-06-21T00:00:00.000,2016-10-03T15:34:14.000
CRECHE LES ETOILES LLC,40.0,2022-09-14T00:00:00.000,2021-04-29T15:19:18.000
PROJECT SOCIAL CARE HEAD START,25.0,2022-01-27T00:00:00.000,2008-12-23T00:00:00.000
BEANSTALK CHILD CARE ACADEMY,66.6667,2021-04-19T00:00:00.000,2019-06-21T09:55:42.000
BRONX STARBRIGHT DAYCARE,50.0,2022-02-08T00:00:00.000,2022-01-21T09:54:12.000
TLE,33.3333,2021-01-07T00:00:00.000,2019-05-09T13:51:01.000
LIL INVENTORS CHILD CARE AQUEDUCT,40.0,2021-01-27T00:00:00.000,2018-12-18T12:31:46.000
"BOOKS AND RATTLES, INC.",100.0,2022-11-01T00:00:00.000,2005-06-13T00:00:00.000
ST. FRANCIS OF ASSISI SCHOOL,50.0,2021-10-21T00:00:00.000,
NY KIDS CLUB,0.0,2022-09-16T00:00:00.000,2019-05-15T10:22:13.000
AMAZING KIDS LEARNING CENTER,25.0,2020-08-21T00:00:00.000,2020-01-30T11:10:28.000
"HANSON PLACE CHILD DEVELOPMENT CENTER, INC",0.0,2020-10-30T00:00:00.000,2005-03-31T00:00:00.000
"SMALL WONDER PRESCHOOL,INC.",40.0,2021-11-23T00:00:00.000,1989-06-20T00:00:00.000
"UNION SETTLEMENT ASSOCIATION, INC.",16.6667,2023-03-27T00:00:00.000,2002-10-28T00:00:00.000
WAKE EDEN COMMUNITY BAPTIST CHURCH,0.0,2021-10-20T00:00:00.000,2004-12-15T00:00:00.000
FAMILY HEALTH CENTERS AT NYU LANGONE,0.0,2022-01-12T00:00:00.000,2005-09-16T00:00:00.000
